answer,question
"[""Ryan Guzman""]",who played adam schiff on law & order
"[""2017""]",where were the beach scenes in jaws filmed
"[""Lake Baikal""]",when was the last amendment made to the us constitution
"[""Ireland""]",when was the last time baseball was in the olympics
"[""A mood swing""]",when was your song by elton john released
"[""12""]",when did sputnik 2 come back to earth
"[""2024""]",who does lois griffin's voice on family guy
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",most td passes in a college football season
"[""State governments""]",how many seasons are in it's always sunny in philadelphia
"[""Islamic prophet Muhammad""]",who won the bafta award for best director in 2008
"[""Queen's Park""]",who wore all the lantern rings at once
"[""2000""]",when was the new deal put into place
"[""originally from the Greek""]",what cell division process is responsible for the formation of gametes
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",when did battle of the sexes come out
"[""1962""]",in law the main reason for complaint or accusation
"[""2017""]",when does the mist air on spike tv
"[""1950""]",who was the longest living president of the united states
"[""10""]",who won the most medals in 1936 olympics
"[""James Arthur""]",when did the astros make it to the world series
"[""Saddam Hussein""]",who sang the song bang bang in kill bill
"[""2000""]",when did the data protection act change to include all computer records
"[""A concerto""]",what is the tallest bridge in west virginia
"[""Jimmy Cliff""]",the girl who plays violet in american horror story
"[""42""]",who wrote the speed of the sound of loneliness
"[""Prince Phillip""]",which layer of the atmosphere is the ozone layer located
"[""2002""]",where will the next summer olympics be held 2020
"[""Zaira Wasim""]",what was the first television show in color
"[""Lake Baikal""]",who won the bathroom on block all stars
"[""Abigail Rokison-Woodall""]",when was the last time ireland qualified for world cup
"[""2017""]",a programming language that had a built-in support for a simple form of literate programming
"[""December 2003""]",when did the golden compass book come out
"[""12""]",how many seasons are in it's always sunny in philadelphia
"[""1943""]",who plays belle's dad in beauty and the beast
"[""Potassium chlorate""]",who plays baelfire in once upon a time
"[""1974""]",who recorded heard it through the grapevine first
"[""in 2018""]",who sings i just want you to dance with me tonight
"[""redox reactions""]",when did keeping up with the joneses come out
"[""Carole King""]",who had the fastest lap on top gear
"[""12""]",where did spandau ballet get their name from
"[""December 15, 2017""]",how many fred astaire dance studios are there
"[""Richard Dawson""]",in what modern day country did the renassaince start in
"[""1981""]",who wants to be a millionaire 2018 most won
"[""Anderson Silva""]",what star wars movie came out before the last jedi
"[""Atlanta–Fulton County Stadium""]",when do stores stop selling alcohol in virginia
"[""the Cambrian explosion""]",who won season 2 of the next iron chef
"[""Venus""]",what are some natural resources in north korea
"[""Season 4, Episode 8""]",the dna directed synthesis of an rna molecule is called
"[""San Antonio""]",who won the superbowl in 2004 and 2005
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who is the current inspector of police in uganda
"[""Clayton Moore""]",who played the mom in the princess bride
"[""1998""]",who plays claire on days of our lives
"[""Josh Groban""]",when did puerto rico became independent from spain
"[""PewDiePie""]",who is the main character in the book theif
"[""Calcium ions""]",who is in charge when the president dies
"[""10 one-hour episodes""]",who plays francis on malcom in the middle
"[""1939""]",where did lorelai gilmore go to high school
"[""San Antonio""]",when does the season finale of andi mack come on
"[""2015""]",what is the meaning of erp in tally
"[""Mexico"",""Soviet Union""]",what are the three largest cities in florida
"[""eastward, in prograde motion""]",the principal balkan country in which ethnic cleansing took place in the mid-1990s was
"[""1974""]",when did stephen curry become an all star
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",when did the first settlers come to america
"[""October 10, 2017""]",when did they start drafting for the vietnam war
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",when does season 2 a series of unfortunate events come out
"[""Jimmy Cliff""]",who plays in captain america the winter soldier
"[""Lacey Turner""]",the man credited with founding the method and thus the father of modern acting is
"[""Amanda Shiflett""]",who is the voice of pitch black in rise of the guardians
"[""10 one-hour episodes""]",who is the only second vice president of india to have worked under three different president
"[""pyramidion""]",whats the clown's name in house of 1000 corpses
"[""17""]",who entered the us in the vietnam war
"[""Charles Young""]",when did season 5 of the fosters start
"[""Lacey Turner""]",when does supernatural scooby doo episodes come out
"[""pyramidion""]",whos the 2nd most subscribed person on youtube
"[""Zaira Wasim""]",who won the 2018 women's wimbledon final
"[""July 16, 2017""]",what season is it's a trap family guy
"[""rose window""]",when did harry potter and the philosopher's stone movie come out
"[""unknown""]",when did roller derby first appear in the press
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when did the new freaky friday come out
"[""2002""]",who played the feral kid in mad max 2
"[""January–July 1975""]",where did twenty one pilots film tear in my heart
"[""Marvin Gaye""]",who's singing hallelujah on hand in hand
"[""to perceive linear acceleration""]",actress who played alice on the brady bunch
"[""1974""]",which city is known as the grasse of east in uttar pradesh
"[""unknown""]",the study of the bumps on the skull to determine personality traits is known as
"[""August 17, 2018""]",who played howard in last of the summer wine
"[""35""]",who wrote make you feel my love sung by adele
"[""centroid""]",who gave up their birthright in the bible
"[""University of South Carolina""]",number of goals in world cup so far
"[""Niagara River""]",who was painted the paintings during the pink period
"[""Eli Marienthal""]",who sang the new scooby doo theme song
"[""oxidative phosphorylation""]",where does the movie great outdoors take place
"[""2009""]",who is the patron st of lost causes
"[""1981""]",when does episode 25 of andi mack come out
"[""John O'Banion""]",who played sue in the movie open range
"[""Molt Taylor""]",what was in the pie in the movie the help
"[""Zaira Wasim""]",who ordered the death of the knights templar
"[""2018""]",when did robben island became a world heritage site
"[""redox reactions""]",who plays raj's mother on big bang
"[""E. M. Forster""]",when did the southern ocean become a thing
"[""13""]",what is the highest point in the state of florida
"[""March 27, 2018""]",when did the tv show swat come out
"[""volume of the container decreases""]",pakistan is the part of which region in asia
"[""7""]",who said he came he saw he conquered
"[""Mary Kate Schellhardt""]",what is the real name of a wiener dog
"[""2018""]",who won sa re ga ma little champs
"[""Islamic prophet Muhammad""]",who won the most nba all star games
"[""January–July 1975""]",who wrote all you need is love by the beatles
"[""October 10, 2017""]",grey's anatomy season 14 ep 13 release date
"[""Jason Michael Lee""]",the si unit for amount of substance is
"[""after a minor infringement""]",in which state rastriya rakshak dal was established
"[""1,089 sq ft""]",who had the most hits in mlb history
"[""the Ivrea Codex"",""the Apt Codex""]",who won the 2016 men's individual crossfit games
"[""Welton Academy""]",journey to the center of the earth actors names
"[""Eli Marienthal""]",what was the name of the iraq war
"[""St. Louis Cardinals"",""San Francisco Giants""]",what type of snake is green and black
"[""Marvin Gaye""]",when did smells like teen spirit first air on mtv
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",when did sourav ganguly made his odi debut
"[""1967""]",when did pledge of allegiance added under god
"[""1998""]",the southern border of the sahara desert is known as the
"[""Spanish""]",when were voters first invited to participate in the presidential nomination process
"[""179""]",what was the name of the dog of dennis the menace
"[""Australia""]",when written in morse code i am represented by a dot dash and another dot
"[""1981""]",who played mrs. landers on leave it to beaver
"[""West Indies""]",who wrote the music for avatar the last airbender
"[""Meredith Willson""]",the view that everything that exists is physical is known as
"[""179""]",when did the first star wats movie come out
"[""E. M. Forster""]",who did denver play in the super bowl
"[""Eli Marienthal""]",what is the famous rice dish in spain
"[""13""]",when did tampa bay win the last stanley cup
"[""Marvin Gaye""]",when is the next episode of flash going to air
"[""oxidative phosphorylation""]",what are unalienable rights in the declaration of independence
"[""Miguel Cabrera""]",when was smoking first known to be harmful
"[""St. Louis Cardinals"",""San Francisco Giants""]",who was defeated in second battle of tarain
"[""1920 to 1933""]",who plays the voice of chip in beauty and the beast
"[""March 25, 2011""]",who won first gold medal for india in asian game 2018
"[""Bella Dayne""]",who wrote ain't no sunshine when you're gone
"[""Shirley Mae Jones""]",when was the hymn in the garden written
"[""August 17, 2018""]",who built the world's first binary digital computer z1
"[""centroid""]",when were verses and chapters added to the bible
"[""Jason Michael Lee""]",what is the name of washington dc airport
"[""George Casper Homans""]",which preservationist was instrumental in establishing a national park to protect yosemite valley
"[""December 15, 2017""]",when did this girl is on fire come out
"[""Barbicide""]",what percent of the world's population is america
"[""Zone Improvement Plan""]",who is i can only imagine based off of
"[""West Bengal""]",where do they make ben and jerry's ice cream
"[""March 27, 2018""]",the degree to which a test actually measures what it supposed to measure
"[""2015""]",who is the writer of it's always sunny in philadelphia
"[""Ryan Guzman""]",who won icc t 20 world cup 2016
"[""January 11, 1970""]",where is eurovision 2018 going to be held
"[""Jimmy Cliff""]",when do we vote for governor in michigan
"[""1981""]",who are utah's representatives in the house
"[""Ireland""]",what kind of fur was used in the 1933 film king kong
"[""12""]",what percentage of the world are red heads
"[""six""]",who proposed the indefinite as the structure of reality
"[""John von Neumann""]",who directed the rebuilding of the wall of jerusalem
"[""Elstree Studios""]",in the first half of the nineteenth century the united states gained the most territory through
"[""1967""]",who plays will's father in pirates of the caribbean
"[""October 10, 2017""]",when did the packers stop playing in milwaukee
"[""3 to 8 days""]",what are the four stages of human development
"[""Spectre""]",preamble of india is amended how many times
"[""Lacey Turner""]",when did smells like teen spirit first air on mtv
"[""2012""]",where are the highest tides in the us
"[""King Edward Peak""]",when were the first cars on the road
"[""1988""]",who plays the bowler hat guy in meet the robinsons
"[""Eli Marienthal""]",when did the golden knights join the nhl
"[""1,089 sq ft""]",who abolished the dual system of government in bengal
"[""Abigail Rokison-Woodall""]",who was the egyptian queen who became pharaoh
"[""Richard Dawson""]",who played greg's mom on american housewife
"[""Lacey Turner""]",who voices thanos in guardians of the galaxy
"[""Atlanta–Fulton County Stadium""]",who threw themselves in front of a horse
"[""18""]",how long has florida been a right to work state
"[""Lake Baikal""]",who wrote the song it's so hard to say goodbye
"[""after a minor infringement""]",when does the han solo film come out
"[""Saleisha Stowers""]",a touch of frost season 5 episode 4
"[""New Netherland""]",who sings on right turn by alice in chains
"[""four""]",who holds the record for most free throws made in a row
"[""December 2003""]",where does beauty and the best take place
"[""Atlanta–Fulton County Stadium""]",who won men's figure skating in olympics 2018
"[""Mexico"",""Soviet Union""]",who wrote if we make it through december
"[""four""]",when did st patrick's day become a holiday
"[""V8 engine""]",where is the location shoot of araw gabi
"[""Miguel Cabrera""]",who played lincoln in the 2012 film lincoln
"[""Bella Dayne""]",what is the legal age for drinking alcohol in australia
"[""Marvin Gaye""]",when did world war ii end in the pacific
"[""to perceive linear acceleration""]",where does chuck bass live in gossip girl
"[""after a minor infringement""]",who is showing la liga 2018/19 on tv
"[""Season 4, Episode 8""]",what is the meaning of joie de vivre
"[""Niagara River""]",when did legend of zelda breath of the wild come out
"[""March 25, 2011""]",where is three billboards outside of ebbing missouri filmed
"[""13""]",describe how soil damage due to salinity could be reduced
"[""Bella Dayne""]",why the koeberg power plant was built in the western cape
"[""April 1, 1999""]",who was the first person to win a million on who wants to be a millionaire
"[""King Edward Peak""]",what is the name of the trophies awarded at the annual montreal fireworks festival
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",which is the first silent movie in india
"[""2–4 years""]",actor who played gavin in gavin and stacey
"[""State governments""]",where are the ping pong shows in phuket
"[""Dev"",""Devin Star Tailes""]",who sings evermore on beauty and the beast
"[""originally from the Greek""]",who did the shot heard round the world
"[""Jason Michael Lee""]",when was the constitution of the united states ratified
"[""1988""]",who sang the best is yet to come
"[""Australia""]",who played pai mei in kill bill 2
"[""PewDiePie""]",when was the last time astros made world series
"[""2017""]",howard stark is the father of what superhero
"[""In 1995""]",where do i get chips at a casino
"[""2017""]",when does the new mamma mia 2 come out
"[""12""]",fe is the chemical symbol for what element
"[""1980""]",who is known as the apostle of the gentiles
"[""Season 4, Episode 8""]",what is the currency of central african republic
"[""1967""]",who plays carrie on little house on the prairie
"[""Clayton Moore""]",who did we get the statue of liberty from
"[""1920 to 1933""]",when was the city of new york founded
"[""John von Neumann""]",what year is considered the beginning of islam
"[""1900""]",what movie has the song let me call you sweetheart
"[""Lebanese""]",how many membranes do gram negative bacteria have
"[""Jason Michael Lee""]",who won the icc u19 world cup 2018
"[""2017""]",the dorsal part of a turtle's shell is called the
"[""Constantine""]",as per the census of india 2011 the state having the highest number of urban population is
"[""John O'Banion""]",who conceeded the most goals in world cup 2018
"[""2017""]",when did harry potter sorcerer's stone movie come out
"[""2018""]",when did symphony of the seas set sail
"[""a wild Pikachu""]",what are four functions of the cell or plasma membrane
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when does episode 2 of tokyo ghoul re come out
"[""12""]",when was the first video game console released
"[""March 15, 2013""]",where did the mutiny on the bounty take place
"[""Tuticorin (Thoothukudi)""]",how many national schools in sri lanka 2016
"[""Shirley Mae Jones""]",who sang the song it's so nice to be with you
"[""35""]",who did we buy the gadsden purchase from
"[""April 28, 2017""]",what was the purpose of the wall of jericho
"[""Ryan Guzman""]",who plays the chairman of the bank in mary poppins
"[""1981""]",how strong was hurricane katrina when it hit
"[""E. M. Forster""]",who plays penny on the big bang theory
"[""Gal Gadot""]",who played sheila carter on young and the restless
"[""12""]",who plays shaun murphy's brother on the good doctor
"[""Bella Dayne""]",who played egon in the original ghostbusters movie
"[""West Indies""]",what level is purple belt in jiu jitsu
"[""horses""]",who illustrated the original winnie the pooh books
"[""1900""]",what was the neutral stimulus in little albert
"[""Carole King""]",who wrote the song try a little kindness
"[""2002""]",what is the currency of central african republic
"[""Zaira Wasim""]",who has the most hat tricks in football
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",when does season 15 of top chef start
"[""1981""]",who plays the tiger in the jungle book 2016
"[""2018""]",what is the staute of liberty made of
"[""35""]",when is the second fifth wave coming out
"[""Islamic prophet Muhammad""]",when did the old age pension start in canada
"[""1980""]",name a holiday that always falls on a monday
"[""Gal Gadot""]",who plays kiki in queen of the south
"[""2018""]",do i need a permit to purchase a handgun in nc
"[""1988""]",who was president when we pulled out of vietnam
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",when does indiana go to daylight savings time
"[""Jose Garces""]",what is the full meaning of cpr in first aid
"[""Niagara River""]",gray matter of the spinal cord is mostly composed of
"[""12""]",who plays 15 cent in the proud family
"[""Pom Klementieff""]",who play the character of anarkali in mughal e azam
"[""six""]",dragon ball super on which channel in india
"[""Charles Young""]",where was brawl in cell block 99 filmed
"[""in 2018""]",when did we didn't start the fire come out
"[""35""]",when was amazon founded (52 answered correctly)
"[""University of South Carolina""]",who is credited with developing the process of vulcanization
"[""April 1, 1999""]",who died on nightshift season 4 episode 2
"[""18 August 2011""]",who wrote the story the wizard of oz
"[""18""]",who plays black cindy on orange is the new black
"[""1998""]",when did canada become fully independent from britain
"[""18 August 2011""]",where was the movie beauty and the beast filmed
"[""originally from the Greek""]",when is the show six coming back on
"[""John von Neumann""]",greenland is a dependency of what european country
"[""August 17, 2018""]",who's calling the thursday night football game
"[""18 August 2011""]",where does the movie steel magnolias take place
"[""March 9, 2018""]",who was the song night shift dedicated to
"[""13""]",who is the girl who sings like a g6
"[""ice caps""]",when was the american flag flown for the first time
"[""April 28, 2017""]",who is the winner of did season 3
"[""Dev"",""Devin Star Tailes""]",who was the highest-ranking black officer in the u.s. army at the beginning of the first world war
"[""May 5, 1992""]",when is the last time real madrid won la liga
"[""Carole King""]",who was the first super villain spiderman ever encountered
"[""Abigail Rokison-Woodall""]",where did the acadians first settle in louisiana
"[""March 27, 2018""]",jumanji welcome to the jungle cast alex grown up
"[""2–4 years""]",who is the son of lord krishna n rukmini
"[""2017""]",who is the current secretary of state in the united states
"[""1982""]",when did the navy do away with beards
"[""those that have died""]",when did harry potter and the philosopher's stone movie come out
"[""October 10, 2017""]",what is the name of jacob tribe in twilight
"[""April 28, 2017""]",how many episodes of beyblade burst god are there
"[""Gal Gadot""]",what order do you watch bring it on
"[""1962""]",how many subs can you make in rugby union
"[""Potassium chlorate""]",when did angel leave buffy the vampire slayer
"[""2–4 years""]",who is the super hero at the end of black panther
"[""Barbicide""]",what is the biggest lakes in the world
"[""PewDiePie""]",who has designed the symbol of indian currency
"[""January–July 1975""]",real name of all characters in belan wali bahu
"[""State governments""]",who wrote the bridge on the river kwai
"[""constitutional republic""]",what was the journey of the cherokee to indian territory called
"[""King Edward Peak""]",drugs that are similar to the male hormone testosterone are called
"[""Zaira Wasim""]",when do barney and robin first get together
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",who announces the instruments in tubular bells 2
"[""18 August 2011""]",where did the phrase taxation without representation come from
"[""July 16, 2017""]",who did the first voice of meg on family guy
"[""1974""]",where was the adam sandler movie blended filmed
"[""a maroon Bristol 405""]",who made the song i wish i was a baller
"[""Season 4, Episode 8""]",when does the geological record indicate that the earth formed
"[""April 28, 2017""]",what type of poem is to his coy mistress
"[""Charles Young""]",which political party was created by thomas jefferson which promoted a more limited government
"[""January 11, 1970""]",where does the phrase swan song come from
"[""1998""]",where will the 2020 super bowl be held
"[""1988""]",who played margaret rose in baby the rain must fall
"[""San Antonio""]",the first known european to set foot on north america was
"[""1998""]",who is the ceo of raising cane's
"[""1974""]",who has written the most books in the world
"[""James Arthur""]",when was the baikal-amur mainline (bam) railroad completed in the russian domain
"[""originally from the Greek""]",what type of dog was pudsey on bgt
"[""2018""]",a real live nephew of my uncle sam born on the 4th of july
"[""1998""]",dragon ball z super next episode release date
"[""North Korea""]",when do the new walking dead episodes start
"[""Clemson\n1""]",when did george gershwin write rhapsody in blue
"[""March 27, 2018""]",who said he came he saw he conquered
"[""1900""]",when was the first episode of simpsons aired
"[""1792""]",who is the girl that does the trivago advert
"[""Sarabi""]",who sang what doesn't kill you makes you stronger
"[""13""]",who plays the she elf in hobbit 2
"[""Australia""]",when did china trade on the silk road
"[""Edwin Hubble""]",when was the first hockey world cup held
"[""San Antonio""]",when was it discovered that lead was poisonous
"[""Queen's Park""]",the book that describes how christ fulfills the function of a priest is
"[""March 15, 2013""]",when did the channel tunnel rail link open
"[""Billie Jean King""]",who gives the first opening statement in a trial
"[""Season 4, Episode 8""]",when did us gain control of the philippines
"[""the Ivrea Codex"",""the Apt Codex""]",when did cardi b get on love and hip hop
"[""18 August 2011""]",who played sunshine in the movie harlem nights
"[""42""]",when does doctor strange get the infinity stone
"[""179""]",when did presidents start swearing on the bible
"[""2009""]",where is big bang theory supposed to take place
"[""17""]",where is emily from pretty little liars from
"[""Carole King""]",what hotel was the las vegas shooting in
"[""University of South Carolina""]",when did the soviet union detonated its first atomic bomb
"[""1942""]",when do live shows start on america's got talent
"[""Bella Dayne""]",who wrote the music for fiddler on the roof
"[""Bella Dayne""]",who is the voice of the gecko on the geico commercials
"[""1890""]",who constructed the massive defensive wall around constantinople in the early 5th century ce
"[""in 2018""]",country with largest land area in western hemisphere
"[""six""]",who has played the most games for the yankees
"[""Australia""]",when were federal troops removed from the south
"[""PewDiePie""]",who do you play as in halo 5
"[""A concerto""]",what is the first of the seven deadly sins
"[""3 to 8 days""]",when did harry potter sorcerer's stone movie come out
"[""King Edward Peak""]",who's the second most subscribed person on youtube
"[""4""]",who played young eponine in les miserables movie
"[""Guaranteed Rate Field""]",what episode does charlie come back in saving hope
"[""US$500""]",who sang why is everybody always pickin on me
"[""2015""]",who's running for the governor of california
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when is season 15 of grey's anatomy coming on
"[""Tuticorin (Thoothukudi)""]",who is being inducted into the tennis hall of fame this year
"[""George Casper Homans""]",when does season 3 of the 100 come out
"[""71%""]",highest run scorer of under 19 world cup 2018
"[""V8 engine""]",who played audra on star trek the next generation
"[""Josh Groban""]",when was the last time the browns were in the super bowl
"[""Molt Taylor""]",when was the original planet of the apes made
"[""Citytv""]",who were the two sides in the english civil war
"[""Carole King""]",who is on the cover of get yer ya ya's out
"[""Citytv""]",what does south carolina tax free weekend include
"[""Citytv""]",what is the area code for dallas tx
"[""1967""]",when did the fast and furious movie come out
"[""constitutional republic""]",when did the atlanta braves last win the world series
"[""1974""]",who sang original i put a spell on you
"[""oxidative phosphorylation""]",when was the last time tiger woods won a major golf championship
"[""PewDiePie""]",where does the last name stevenson come from
"[""Prince Phillip""]",who plays sydney driscoll in pretty little liars
"[""Niagara River""]",who won the pressure test on master chef
"[""2000""]",who plays rory in my babysitter's a vampire
"[""West Indies""]",when did sri lanka leave the british empire
"[""12""]",charismatic military leaders of early israel before they had a king were called by what term
"[""West Indies""]",when was to kill a mocking bird based
"[""12""]",who is the first governor general of the bahamas
"[""April 28, 2017""]",when did the movie jack frost come out
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",what episode of snl does stefon get married
"[""Australia""]",who voices masha in masha and the bear
"[""North Korea""]",when did mystikal shake it fast come out
"[""China""]",when did new york state became a state
"[""Alex Rodriguez""]",when did the self balancing scooter come out
"[""six""]",who is related to the rock in wwe
"[""St. Louis Cardinals"",""San Francisco Giants""]",who played the one-armed man in twin peaks
"[""Evaluation and management""]",how many species of recluse spiders are there
"[""1988""]",what is the qualification of a governor in india
"[""Alex Rodriguez""]",how many times have the rams won the superbowl
"[""71%""]",actress who played young celie in color purple
"[""Gabrielle Haugh""]",what is the age of consent in nsw
"[""Citytv""]",the girl who were kidnapped for 10 years
"[""17""]",who is the #1 listened to artist on spotify
"[""ground state""]",a composer famous for his fugues especially the collection the well-tempered clavier
