Rank,Major_code,Major,Major_category,Total,Men,Women,ShareWomen,Median
30.0,5037.0,NEUROSCIENCE,Physical Sciences,29324.0,1725.0,12176.0,0.715302514,45116.0
30.0,2475.0,MATHEMATICS AND COMPUTER SCIENCE,Engineering,12855.0,3056.0,468.0,0.29947612,43440.0
30.0,2218.0,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Engineering,11763.0,1000.0,275.0,0.320230175,69470.0
32.0,2228.0,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Computers & Mathematics,31424.0,26209.0,2980.0,0.207000766,50357.0
32.0,4237.0,PHYSICS,Health,18959.0,1077.0,13470.0,0.941082384,29488.0
32.0,2343.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Engineering,38667.0,16321.0,498.0,0.392418589,50686.0
34.0,3013.0,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,28364.0,24193.0,2098.0,0.379424482,51283.0
34.0,2112.0,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,8119.0,1209.0,5591.0,0.369587036,45695.0
34.0,2310.0,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Engineering,11393.0,5359.0,10376.0,0.34815541,68582.0
35.0,5127.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,13418.0,12584.0,10697.0,0.616619004,46920.0
35.0,5008.0,ELECTRICAL ENGINEERING TECHNOLOGY,Physical Sciences,280709.0,1172.0,1166.0,0.557267088,35248.0
36.0,6165.0,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Health,33584.0,26806.0,30405.0,0.927389756,36123.0
36.0,2016.0,COMMUNITY AND PUBLIC HEALTH,Engineering,15473.0,4494.0,8556.0,0.144220157,65092.0
37.0,2959.0,ELECTRICAL ENGINEERING,Engineering,18372.0,964.0,2176.0,0.223578105,43012.0
38.0,2321.0,MECHANICAL ENGINEERING,Engineering,8970.0,3100.0,77.0,0.362215632,51931.0
39.0,3375.0,GENETICS,Biology & Life Science,8729.0,6382.0,7719.0,0.652101729,30613.0
39.0,3050.0,PHYSICS,Engineering,16278.0,4743.0,923.0,0.375335525,68610.0
40.0,5047.0,MISCELLANEOUS ENGINEERING,Physical Sciences,5809.0,1106.0,1896.0,0.471681321,67640.0
40.0,2590.0,COMMUNITY AND PUBLIC HEALTH,Engineering,28157.0,9904.0,2761.0,0.315716333,54980.0
43.0,2013.0,MEDICAL ASSISTING SERVICES,Computers & Mathematics,8960.0,4289.0,8479.0,0.382312238,47504.0
43.0,2412.0,MICROBIOLOGY,Engineering,10388.0,488.0,1681.0,0.131850536,47377.0
45.0,4122.0,INDUSTRIAL PRODUCTION TECHNOLOGIES,Health,62745.0,3065.0,18279.0,0.824791923,35951.0
45.0,5901.0,CHEMICAL ENGINEERING,Health,149930.0,3344.0,12264.0,0.892378094,43312.0
46.0,2775.0,ASTRONOMY AND ASTROPHYSICS,Engineering,44451.0,1013.0,1330.0,0.343071685,52918.0
47.0,2062.0,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,132733.0,2311.0,77.0,0.356318878,42743.0
48.0,2531.0,INFORMATION SCIENCES,Computers & Mathematics,48424.0,1472.0,205.0,0.471606307,49638.0
48.0,3169.0,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Biology & Life Science,23645.0,488.0,6586.0,0.561480553,32715.0
48.0,4219.0,COMPUTER AND INFORMATION SYSTEMS,Biology & Life Science,57263.0,25655.0,33431.0,0.609630558,36501.0
48.0,3386.0,ZOOLOGY,Biology & Life Science,47404.0,6228.0,16269.0,0.546829133,36376.0
48.0,2938.0,MINING AND MINERAL ENGINEERING,Biology & Life Science,83936.0,4640.0,45755.0,0.611554077,39189.0
49.0,3875.0,MATHEMATICS AND COMPUTER SCIENCE,Biology & Life Science,13606.0,2121.0,5261.0,0.624762085,36635.0
52.0,5023.0,NEUROSCIENCE,Physical Sciences,88298.0,1706.0,889.0,0.732369461,46608.0
53.0,5010.0,BIOCHEMICAL SCIENCES,Physical Sciences,3035.0,2347.0,972.0,0.422144079,37730.0
53.0,4244.0,NUTRITION SCIENCES,Health,179932.0,13594.0,29556.0,0.806355989,43515.0
54.0,4505.0,BIOLOGICAL ENGINEERING,Biology & Life Science,8090.0,2067.0,5721.0,0.627513562,31609.0
56.0,3394.0,INFORMATION SCIENCES,Biology & Life Science,3769.0,1612.0,2978.0,0.530444077,36709.0
57.0,3212.0,PHARMACOLOGY,Biology & Life Science,10262.0,5875.0,807.0,0.610840413,33809.0
57.0,4576.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Health,151343.0,1813.0,47060.0,0.730641243,36210.0
58.0,4700.0,PHYSICAL SCIENCES,Health,32349.0,1445.0,22038.0,0.723594435,37366.0
58.0,3584.0,INDUSTRIAL PRODUCTION TECHNOLOGIES,Biology & Life Science,35478.0,8145.0,8468.0,0.636576709,39756.0
60.0,2239.0,ARCHITECTURE,Computers & Mathematics,187252.0,5683.0,13433.0,0.214495921,49847.0
60.0,5024.0,ENVIRONMENTAL ENGINEERING,Physical Sciences,48654.0,1173.0,4371.0,0.324145132,36952.0
61.0,4230.0,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Biology & Life Science,16272.0,6000.0,10335.0,0.682792895,43924.0
62.0,5902.0,PHYSICS,Health,41387.0,7458.0,22980.0,0.683140047,40729.0
64.0,5606.0,COMPUTER AND INFORMATION SYSTEMS,Health,58013.0,2118.0,35416.0,0.729439501,41338.0
67.0,2645.0,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Biology & Life Science,20201.0,4134.0,9063.0,0.629383573,41851.0
67.0,3400.0,ECOLOGY,Biology & Life Science,38027.0,1136.0,19873.0,0.540701241,37372.0
67.0,4363.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,94560.0,512.0,13663.0,0.708134162,36022.0
70.0,3070.0,PHYSIOLOGY,Biology & Life Science,29738.0,24435.0,4103.0,0.557910534,39946.0
73.0,5263.0,ENGINEERING TECHNOLOGIES,Health,12666.0,3583.0,9359.0,0.868132797,39027.0
76.0,2755.0,GENERAL MEDICAL AND HEALTH SERVICES,Biology & Life Science,7901.0,5158.0,6174.0,0.611418031,47000.0
