align,choice,time,coherence,firing_rate
dots,T2,248.0,11.3,39.8388671591
dots,T1,390.0,4.1,54.0590256316
dots,T2,257.0,6.4,40.4210936566
dots,T1,608.0,17.3,59.0091858329
dots,T2,384.0,32.0,40.4573016989
dots,T1,20.0,10.1,36.575543987
dots,T2,139.0,2.0,46.2228033995
dots,T1,608.0,0.4,26.0257537645
dots,T2,139.0,0.2,22.1202415489
dots,T1,103.0,27.6,50.7518411232
dots,T2,621.0,21.9,23.3439216866
dots,T1,322.0,24.4,38.550925718
dots,T2,-36.0,18.4,29.2337338384
dots,T1,495.0,8.2,29.886567871
dots,T2,676.0,6.7,26.1356958365
dots,T1,-74.0,2.6,48.9573799789
dots,T2,343.0,2.1,31.9880944454
dots,T1,418.0,5.5,34.6972752804
dots,T2,248.0,7.3,12.4580959985
dots,T1,580.0,3.7,29.9386886048
dots,T2,324.0,35.9,25.3862710869
dots,T1,529.0,22.2,41.8073219978
dots,T2,453.0,5.2,47.3969332312
dots,T1,167.0,6.4,17.7849908604
dots,T2,6.0,2.5,54.8282696802
dots,T1,365.0,15.3,23.334422505
dots,T2,580.0,4.8,25.9179821862
dots,T1,527.0,16.0,32.2991360028
dots,T2,522.0,0.6,39.4897928366
dots,T1,610.0,14.1,37.8290663951
dots,T2,292.0,19.5,30.2855580965
dots,T1,484.0,2.2,40.44822386
dots,T2,646.0,27.1,45.1051187013
dots,T1,-48.0,2.7,32.8137019127
dots,T2,30.0,28.0,43.8760091886
dots,T1,-28.0,11.0,60.6341147352
dots,T2,-24.0,10.5,38.2149572362
dots,T1,492.0,5.9,42.0027485146
dots,T2,388.0,41.9,38.7654474928
dots,T1,535.0,8.5,20.0747285682
dots,T2,142.0,4.0,59.5237927116
dots,T1,363.0,4.1,50.1720837121
dots,T2,69.0,2.1,36.9833965888
dots,T1,107.0,11.1,41.1924733628
dots,T2,-18.0,9.6,35.2594054634
dots,T1,703.0,12.2,39.257925614
dots,T2,277.0,27.5,15.3677437685
dots,T1,534.0,22.7,45.5527040112
dots,T2,608.0,0.5,42.379867402
dots,T1,369.0,2.0,21.3957866166
dots,T2,244.0,4.3,17.4043441558
dots,T1,-17.0,4.2,26.9501788128
dots,T2,429.0,5.6,13.6407595048
dots,T1,50.0,11.4,41.0645927088
dots,T2,604.0,15.6,58.4115750832
dots,T1,704.0,1.0,31.7364779793
dots,T2,-7.0,8.6,62.1033435491
dots,T1,-51.0,10.3,70.0488997555
dots,T2,665.0,1.4,49.2504916929
dots,T1,319.0,18.8,6.27572016461
dots,T2,381.0,1.0,28.6912323708
dots,T1,132.0,20.2,40.3737804844
dots,T2,418.0,21.4,37.2704691969
dots,T1,216.0,1.4,47.9136633052
dots,T2,459.0,6.3,38.031255882
dots,T1,319.0,1.1,20.1684200909
dots,T2,688.0,0.9,30.6254892341
dots,T1,-78.0,5.0,45.0741933424
dots,T2,681.0,3.1,54.6071548354
dots,T1,312.0,15.4,26.9726498708
dots,T2,648.0,47.5,42.2798276494
dots,T1,-17.0,5.7,39.2591209347
dots,T2,307.0,4.6,38.5980968831
dots,T1,220.0,9.5,50.4497189203
dots,T2,440.0,22.2,37.5766422251
dots,T1,270.0,26.2,44.8056262813
dots,T2,409.0,21.7,37.9389902103
dots,T1,352.0,40.9,23.9879876931
dots,T2,481.0,8.0,28.7082151147
dots,T1,489.0,4.1,53.293817784
dots,T2,316.0,4.5,39.89047978
dots,T1,112.0,20.8,25.6087517382
dots,T2,454.0,3.4,20.2190982045
dots,T1,386.0,0.5,33.6607507949
dots,T2,424.0,6.2,35.2536091493
dots,T1,16.0,3.9,36.5018242133
dots,T2,452.0,10.8,47.2342780497
dots,T1,476.0,10.6,54.087415919
dots,T2,70.0,9.5,37.1579093316
dots,T1,649.0,2.5,23.6999760745
dots,T2,40.0,1.6,39.2320297061
dots,T1,304.0,37.8,28.2220470672
dots,T2,9.0,33.3,59.5315763429
dots,T1,394.0,0.4,29.6829577955
dots,T2,466.0,7.1,38.7603921717
dots,T1,-11.0,28.1,38.3097865537
dots,T2,317.0,7.2,35.0886788808
dots,T1,51.0,2.3,42.0139024124
dots,T2,680.0,5.7,33.6594790366
dots,T1,679.0,8.3,51.4963522245
dots,T2,463.0,5.3,16.6103592899
dots,T1,307.0,8.1,48.3952114817
dots,T2,69.0,1.6,42.7362335224
dots,T1,17.0,10.0,39.5734261225
dots,T2,616.0,15.8,35.3554066612
dots,T1,697.0,4.2,32.5419573077
dots,T2,715.0,39.0,50.5483928916
dots,T1,250.0,0.3,38.449459744
dots,T2,233.0,12.1,42.4916192589
dots,T1,368.0,6.1,52.6273721863
dots,T2,515.0,12.1,52.2299202342
dots,T1,-53.0,5.8,50.5225769807
dots,T2,-56.0,15.7,48.5264684008
dots,T1,37.0,9.5,35.782355863
dots,T2,362.0,13.1,27.5056673936
dots,T1,198.0,17.9,49.1439712395
dots,T2,284.0,1.4,42.691852106
dots,T1,633.0,5.4,40.5732165073
dots,T2,192.0,51.2,53.3658951258
dots,T1,491.0,5.3,48.9676066757
dots,T2,-54.0,28.8,39.5749171542
dots,T1,603.0,10.0,20.4640537807
dots,T2,516.0,4.2,41.706622466
dots,T1,471.0,29.9,44.5080407107
dots,T2,36.0,3.4,37.7448387679
dots,T1,517.0,51.0,42.852968607
dots,T2,620.0,0.9,36.9355618595
dots,T1,529.0,8.2,50.0749660082
dots,T2,661.0,9.5,38.48156568
dots,T1,594.0,11.7,53.7992780709
dots,T2,557.0,32.6,20.1630838185
dots,T1,566.0,0.8,20.999126908
dots,T2,63.0,7.9,30.8215119754
dots,T1,402.0,9.3,66.8598673359
dots,T2,377.0,9.4,22.4362775881
dots,T1,632.0,17.3,42.9157144817
dots,T2,-64.0,28.7,58.6973495256
dots,T1,-74.0,2.0,50.4503849114
dots,T2,430.0,2.7,36.8684125175
dots,T1,150.0,26.5,37.2663243443
dots,T2,189.0,5.1,54.8340749695
dots,T1,439.0,7.8,42.0680118749
dots,T2,541.0,9.1,6.27572016461
dots,T1,6.0,5.1,60.2813099991
dots,T2,244.0,15.5,51.3065522727
dots,T1,337.0,15.1,40.0852282852
dots,T2,186.0,3.8,32.0616074627
dots,T1,215.0,10.2,33.8580788069
dots,T2,708.0,19.7,24.9296030832
dots,T1,639.0,5.6,42.0520980593
dots,T2,91.0,8.8,25.9584238712
dots,T1,435.0,4.8,49.1612698464
dots,T2,40.0,51.2,23.4602785317
dots,T1,236.0,10.2,42.8715898098
dots,T2,521.0,2.9,47.8219076807
dots,T1,711.0,4.6,28.7494614446
dots,T2,-10.0,1.7,32.5297997019
dots,T1,130.0,2.6,46.8736829385
dots,T2,185.0,13.5,37.6176874544
dots,T1,572.0,11.1,24.3874141181
dots,T2,180.0,9.9,40.6840594108
dots,T1,569.0,22.5,43.2583162206
dots,T2,17.0,20.9,65.9242170536
dots,T1,544.0,8.9,54.213951617
dots,T2,290.0,9.7,43.5514717305
dots,T1,304.0,13.0,43.8004591052
dots,T2,349.0,8.6,54.6562463127
dots,T1,290.0,25.2,40.0656893602
dots,T2,130.0,21.4,30.9081648704
dots,T1,345.0,47.4,42.9443129989
dots,T2,-60.0,18.8,35.2411029772
dots,T1,233.0,4.4,42.9212929584
dots,T2,172.0,8.8,68.0786629047
dots,T1,91.0,0.8,63.6912747222
dots,T2,174.0,3.5,53.2402127081
dots,T1,398.0,7.4,24.3848244982
dots,T2,340.0,20.3,46.3457124173
dots,T1,716.0,6.9,35.0302866979
dots,T2,69.0,43.2,44.8744822482
dots,T1,288.0,9.6,66.5798985389
dots,T2,106.0,33.7,49.686505027
dots,T1,202.0,21.3,45.8209451393
dots,T2,542.0,11.2,14.1408826611
dots,T1,362.0,12.5,22.4101393555
dots,T2,39.0,48.9,41.6950347749
dots,T1,-8.0,11.8,38.912138192
dots,T2,235.0,3.8,34.6288897629
dots,T1,549.0,2.7,26.4446890526
dots,T2,374.0,5.6,48.9589625522
dots,T1,-72.0,2.8,24.0563736897
dots,T2,356.0,3.5,39.3613409559
dots,T1,-8.0,22.3,28.6089032437
dots,T2,687.0,0.1,34.7932367698
dots,T1,184.0,23.0,14.4476614774
dots,T2,195.0,21.8,38.6932683813
dots,T1,237.0,22.0,25.8749679107
dots,T2,650.0,38.7,39.1615124751
dots,T1,426.0,1.8,48.8001261775
dots,T2,410.0,7.1,37.9068415072
dots,T1,690.0,22.4,41.062978349
dots,T2,16.0,11.1,70.0488997555
dots,T1,689.0,12.9,29.3141102561
dots,T2,113.0,29.0,41.6337692503
dots,T1,446.0,5.2,35.2940557201
dots,T2,660.0,0.6,41.8112293035
dots,T1,79.0,5.0,29.7801278119
dots,T2,-8.0,16.6,40.9398523692
dots,T1,573.0,31.3,57.4475193418
dots,T2,257.0,15.6,40.9849409537
dots,T1,53.0,10.2,31.9992553639
dots,T2,264.0,0.2,39.3016700919
dots,T1,187.0,6.1,31.358049389
dots,T2,390.0,26.2,50.1580122092
dots,T1,415.0,11.0,48.1904463129
dots,T2,381.0,30.8,61.0775015027
dots,T1,534.0,12.0,37.4170455733
dots,T2,458.0,19.5,31.5012747569
dots,T1,680.0,5.4,60.3134927664
dots,T2,584.0,11.4,31.6885897612
dots,T1,9.0,31.2,33.1376919032
dots,T2,139.0,5.7,40.9279208278
dots,T1,448.0,43.3,42.0946122206
dots,T2,672.0,24.2,33.3229964975
dots,T1,219.0,8.5,35.406037936
dots,T2,672.0,4.3,48.9675820698
dots,T1,521.0,4.5,35.6019485018
dots,T2,387.0,5.8,54.1877205598
dots,T1,657.0,7.7,55.5242389002
dots,T2,557.0,4.6,47.9326056408
dots,T1,360.0,8.8,47.8963841574
dots,T2,-58.0,9.7,64.0708055629
dots,T1,144.0,3.8,19.6342317454
dots,T2,170.0,3.1,27.1300636872
dots,T1,-10.0,32.0,45.9291199967
dots,T2,643.0,13.0,30.491095379
dots,T1,631.0,6.5,20.2694920213
dots,T2,-75.0,38.2,61.081844207
dots,T1,276.0,22.1,42.1094260584
dots,T2,677.0,7.4,30.5112545521
dots,T1,-69.0,7.6,46.9908376485
dots,T2,657.0,0.8,28.8001350428
dots,T1,358.0,11.0,57.6061427938
dots,T2,242.0,7.7,51.0445364686
dots,T1,554.0,20.9,29.0539946736
dots,T2,660.0,0.3,35.1059469281
dots,T1,346.0,4.3,34.7002141881
dots,T2,30.0,17.3,42.5185141392
dots,T1,137.0,3.2,46.857061047
dots,T2,-47.0,1.6,51.2833198905
dots,T1,514.0,19.4,52.3232891186
dots,T2,329.0,20.6,30.8585734039
dots,T1,-41.0,0.1,38.4081430647
dots,T2,703.0,1.6,62.4166987005
dots,T1,644.0,3.6,40.9461344292
dots,T2,629.0,6.5,46.87429323
dots,T1,64.0,7.0,33.7995074857
dots,T2,685.0,5.9,39.2157094696
dots,T1,287.0,19.4,44.0551532029
dots,T2,431.0,15.3,26.6300264353
dots,T1,-72.0,10.0,31.5227205731
dots,T2,518.0,14.4,38.0914633169
dots,T1,381.0,20.7,36.4129482636
dots,T2,318.0,7.9,47.4741616117
dots,T1,-71.0,19.5,29.9721777388
dots,T2,88.0,20.3,33.8106238489
dots,T2,611.0,40.3,34.0270027748
sacc,T1,-182.0,21.4,31.871335216
sacc,T2,-438.0,11.0,54.2519352745
sacc,T2,-56.0,12.0,30.8524932233
sacc,T2,-433.0,30.5,69.3407006422
sacc,T1,-185.0,1.7,45.9927395511
sacc,T1,-447.0,7.5,34.863472665
sacc,T2,114.0,20.6,44.8749460238
sacc,T1,-450.0,2.0,39.5925586446
sacc,T1,-127.0,33.5,21.6948830386
sacc,T1,-166.0,16.5,51.6297132368
sacc,T2,-314.0,12.3,22.4916393535
sacc,T2,-260.0,12.6,57.3491868419
sacc,T1,-361.0,4.1,55.4417186903
sacc,T2,30.0,1.1,47.2311632345
sacc,T2,-39.0,3.6,46.539758545
sacc,T1,224.0,4.6,41.3319257102
sacc,T1,-536.0,9.9,48.3775064919
sacc,T1,8.0,0.5,45.2624858579
sacc,T2,-501.0,21.1,58.6474650091
sacc,T2,164.0,9.5,50.9426465007
sacc,T1,-230.0,3.2,29.7581333438
sacc,T1,34.0,51.2,18.2106874197
sacc,T2,-236.0,8.5,40.5061416423
sacc,T1,99.0,7.5,56.6292273564
sacc,T1,92.0,0.3,44.0440389132
sacc,T1,-311.0,1.2,33.0932503092
sacc,T2,-190.0,8.0,37.9086131329
sacc,T2,279.0,17.3,33.5911699244
sacc,T1,-376.0,20.4,57.4860845237
sacc,T2,-264.0,0.9,28.5885251048
sacc,T2,-452.0,5.6,27.9314411758
sacc,T1,-278.0,16.3,42.5058747043
sacc,T1,-124.0,21.4,23.9283215441
sacc,T2,63.0,2.4,38.3077476339
sacc,T2,-488.0,31.4,34.0928474872
sacc,T2,162.0,3.5,43.7715421705
sacc,T1,-256.0,7.7,52.2322893305
sacc,T1,45.0,0.3,34.7312275659
sacc,T2,-39.0,6.0,22.8040013489
sacc,T1,-310.0,12.6,52.8238944121
sacc,T1,-290.0,4.1,62.6661732921
sacc,T2,-268.0,17.6,38.8479800161
sacc,T2,-345.0,2.0,38.6285614876
sacc,T2,-342.0,16.0,39.4770329995
sacc,T1,212.0,1.9,36.9525481229
sacc,T2,251.0,9.3,26.663862845
sacc,T2,-120.0,4.3,42.2575702509
sacc,T1,155.0,1.5,28.7544767429
sacc,T1,126.0,11.7,51.0107509855
sacc,T1,-39.0,11.0,39.5831357998
sacc,T2,-294.0,7.5,47.0331990662
sacc,T2,-301.0,12.5,50.8019795297
sacc,T1,245.0,4.0,40.9498221387
sacc,T1,-488.0,3.3,40.9684799535
sacc,T2,267.0,25.0,35.139162349
sacc,T1,299.0,21.8,43.7761475228
sacc,T1,-260.0,27.1,43.4459775568
sacc,T1,193.0,7.3,55.1724698092
sacc,T2,75.0,13.9,47.2691879495
sacc,T2,-551.0,9.4,56.4364913078
sacc,T1,-161.0,2.7,33.1997864517
sacc,T2,-599.0,9.8,65.8661603001
sacc,T2,-55.0,51.2,36.4543705601
sacc,T1,-103.0,25.9,31.7180779708
sacc,T1,171.0,33.7,45.6157371194
sacc,T2,184.0,1.2,50.5132395002
sacc,T2,150.0,3.7,41.9771055906
sacc,T2,-240.0,3.3,6.27572016461
sacc,T1,-74.0,8.0,31.1538420746
sacc,T1,-78.0,4.0,34.338354136
sacc,T2,-127.0,37.8,49.0707798865
sacc,T1,-15.0,5.4,48.1948132829
sacc,T1,-406.0,5.3,25.0059503869
sacc,T1,-76.0,16.9,43.2428569861
sacc,T2,184.0,1.3,41.7515032957
sacc,T2,-357.0,21.8,50.2942087806
sacc,T1,-421.0,15.4,52.771737233
sacc,T2,-91.0,19.5,36.4336293401
sacc,T2,166.0,7.9,50.3351938773
sacc,T1,96.0,12.0,50.0570962408
sacc,T1,220.0,3.2,42.7090005967
sacc,T1,-106.0,25.0,40.0804410584
sacc,T2,160.0,16.8,24.4285677895
sacc,T2,-436.0,3.4,31.6501747449
sacc,T1,222.0,7.9,41.1048166558
sacc,T1,232.0,16.0,28.2427163916
sacc,T2,-61.0,9.5,27.4229813105
sacc,T1,-457.0,24.3,54.8864412511
sacc,T1,-394.0,5.4,46.874388737
sacc,T2,84.0,21.3,27.0806784952
sacc,T2,-578.0,8.1,36.9722677201
sacc,T2,-110.0,24.5,21.2593836135
sacc,T1,28.0,8.7,26.4139630691
sacc,T2,-320.0,14.6,42.4039004298
sacc,T2,-582.0,51.2,59.7340027148
sacc,T1,151.0,45.6,54.9936135411
sacc,T1,-94.0,9.1,34.3489370733
sacc,T2,-503.0,14.9,39.5907866019
sacc,T2,26.0,40.1,36.1980687597
sacc,T2,51.0,22.7,32.1664087312
sacc,T1,-408.0,22.0,53.3685850621
sacc,T1,-227.0,19.9,40.5315122409
sacc,T2,-412.0,3.8,46.8346541661
sacc,T1,289.0,2.1,40.5286576233
sacc,T1,-317.0,0.0,24.5716615899
sacc,T2,198.0,30.5,23.0098665638
sacc,T2,-323.0,21.5,51.472661937
sacc,T2,-384.0,3.9,45.9345395692
sacc,T1,149.0,6.5,42.04899286
sacc,T2,-347.0,51.2,36.2866001927
sacc,T2,137.0,0.9,40.4581277388
sacc,T1,-543.0,3.8,42.1993870883
sacc,T1,-221.0,32.1,10.8462718131
sacc,T1,274.0,7.4,40.7073008818
sacc,T2,-216.0,4.8,38.6433715348
sacc,T2,133.0,20.6,46.1976923055
sacc,T1,-592.0,12.7,50.9709690565
sacc,T1,-310.0,7.9,47.3297416632
sacc,T2,-9.0,9.4,37.5517387917
sacc,T1,-332.0,9.2,33.7278763882
sacc,T1,-520.0,2.4,18.2430827095
sacc,T2,84.0,13.5,40.088391782
sacc,T2,-227.0,11.5,43.1926981662
sacc,T2,-236.0,5.3,45.4297404187
sacc,T1,-418.0,10.5,53.3560978969
sacc,T2,-510.0,1.8,36.0467538631
sacc,T2,-464.0,1.0,35.813170661
sacc,T1,-547.0,10.9,44.1251127317
sacc,T1,-192.0,34.5,40.2997089878
sacc,T2,-341.0,0.8,30.3385575416
sacc,T2,-496.0,0.5,44.2604463997
sacc,T2,-257.0,21.2,41.8662503184
sacc,T1,-328.0,0.9,52.337788691
sacc,T1,-378.0,8.5,33.0355959477
sacc,T2,-350.0,23.8,47.6513852461
sacc,T1,-316.0,27.6,55.9642738744
sacc,T1,-593.0,28.8,53.6488902536
sacc,T1,-380.0,0.5,31.6489959647
sacc,T2,-487.0,3.6,31.2294347577
sacc,T2,-573.0,42.4,27.3016538638
sacc,T1,265.0,3.7,41.6336783801
sacc,T2,-306.0,27.9,46.1636226018
sacc,T2,-90.0,23.6,30.0249089324
sacc,T1,154.0,2.3,52.5393305889
sacc,T1,-230.0,19.9,31.225504495
sacc,T1,-480.0,32.7,56.4280787265
sacc,T2,-369.0,29.9,19.9673252904
sacc,T2,-405.0,8.0,46.8294607207
sacc,T1,42.0,15.4,51.8604696569
sacc,T1,-60.0,29.4,49.5411213475
sacc,T2,169.0,16.5,30.2410537836
sacc,T1,-4.0,51.2,48.1915576676
sacc,T1,-12.0,51.2,41.7809413065
sacc,T2,-130.0,0.1,28.4016020856
sacc,T2,-308.0,12.3,33.0769717576
sacc,T2,57.0,2.4,9.8108680766
sacc,T1,-200.0,6.4,46.3406779204
sacc,T2,-304.0,1.3,44.687858254
sacc,T2,-462.0,21.2,34.5445309576
sacc,T1,151.0,6.3,30.9489090962
sacc,T1,-439.0,5.9,51.5553219586
sacc,T2,158.0,14.7,25.9204805632
sacc,T2,-232.0,10.4,32.6158588894
sacc,T2,-158.0,16.3,36.62451156
sacc,T1,-328.0,13.0,67.6514891484
sacc,T1,-82.0,9.0,52.2074820157
sacc,T2,-309.0,0.8,32.0571231339
sacc,T1,-19.0,1.3,34.1708213029
sacc,T1,-584.0,9.3,42.1405056668
sacc,T2,42.0,8.5,31.2986651243
sacc,T2,-184.0,51.2,42.0966399477
sacc,T2,46.0,1.9,16.8787340056
sacc,T1,133.0,4.6,55.0096542773
sacc,T2,-383.0,9.7,29.4308660411
sacc,T2,276.0,11.2,40.2562087602
sacc,T1,-375.0,51.2,32.4666198355
sacc,T1,-558.0,8.2,38.5786258443
sacc,T1,-327.0,1.2,44.4801949429
sacc,T2,-384.0,4.2,39.1358856102
sacc,T2,-145.0,2.9,49.7337108067
sacc,T1,-36.0,2.2,43.7540920637
sacc,T1,-386.0,4.1,39.9124929163
sacc,T2,123.0,3.5,68.4786464696
sacc,T1,91.0,7.4,34.8755777265
sacc,T1,-490.0,7.3,39.6384319714
sacc,T1,77.0,3.2,34.1853018892
sacc,T2,-319.0,2.1,45.9022352764
sacc,T2,-146.0,5.0,58.3411099265
sacc,T1,-447.0,1.9,17.9792499686
sacc,T2,-519.0,21.0,29.9270191527
sacc,T2,-594.0,24.6,46.6800562582
sacc,T1,-461.0,22.7,50.3366383764
sacc,T1,-463.0,1.0,35.930463354
sacc,T2,-511.0,2.8,49.3387783658
sacc,T2,-117.0,13.6,38.6745530116
sacc,T2,283.0,4.7,32.1407948441
sacc,T1,-446.0,14.1,47.5578817374
sacc,T1,174.0,21.9,18.5403053841
sacc,T2,187.0,4.2,43.5123296221
sacc,T1,55.0,10.3,31.8310078918
sacc,T1,-18.0,51.2,38.3340470461
sacc,T1,299.0,1.7,21.0795421078
sacc,T2,101.0,31.8,18.5922943892
sacc,T2,-278.0,1.2,69.2516734259
sacc,T1,-395.0,16.2,45.8209756258
sacc,T2,-114.0,17.1,36.7765779814
sacc,T2,-262.0,15.3,58.6989188521
sacc,T1,-544.0,0.4,56.7515788279
sacc,T1,-225.0,4.5,31.7818417998
sacc,T1,-204.0,9.5,6.27572016461
sacc,T2,130.0,6.4,47.6203901951
sacc,T2,-53.0,22.0,48.6104913988
sacc,T1,200.0,29.7,53.7347500067
sacc,T1,-294.0,13.4,57.2042020771
sacc,T2,-141.0,4.0,70.0488997555
sacc,T1,205.0,5.1,25.4452233629
sacc,T1,227.0,1.5,33.0240556726
sacc,T2,-292.0,27.3,35.9718288159
sacc,T2,-7.0,1.7,64.3029971423
sacc,T2,-447.0,5.4,42.2800583639
sacc,T1,-456.0,12.8,27.1644925024
sacc,T2,-559.0,1.1,42.6491418321
sacc,T2,-454.0,0.1,50.1069668571
