Henry Cannon (New Earth)	\\/wiki\\/Henry_Cannon_(New_Earth)	1984, April	Black Eyes	Black Hair	Bad Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Marschall Saber (New Earth)	\\/wiki\\/Marschall_Saber_(New_Earth)	1984, April	Green Eyes	Red Hair	Bad Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Mallory Kimball (New Earth)	\\/wiki\\/Mallory_Kimball_(New_Earth)	2006, July	Brown Eyes	Brown Hair	Good Characters	Female Characters	Public Identity	Living Characters	Homosexual Characters
Alexander Burgess (New Earth)	\\/wiki\\/Alexander_Burgess_(New_Earth)	1989, January	Brown Eyes	Red Hair	Bad Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Kevin Mayer (New Earth)	\\/wiki\\/Kevin_Mayer_(New_Earth)	1988	Brown Eyes	Black Hair	Good Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Todd Rice (Some Years Later)	\\/wiki\\/Todd_Rice_(Some_Years_Later)	2009, February	Brown Eyes	Brown Hair	Good Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Fauna Faust (New Earth)	\\/wiki\\/Fauna_Faust_(New_Earth)	1995, March	Black Eyes	White Hair	Bad Characters	Female Characters	Secret Identity	Deceased Characters	Homosexual Characters
Joshua Barbazon (New Earth)	\\/wiki\\/Joshua_Barbazon_(New_Earth)	1989	Blue Eyes	Blond Hair	Good Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Big Thunder (New Earth)	\\/wiki\\/Big_Thunder_(New_Earth)	2006, April	Black Eyes	Black Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Twilight II (New Earth)	\\/wiki\\/Twilight_II_(New_Earth)	1997, November	Blue Eyes	White Hair	Bad Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
