MMSA,total_percent_at_risk,high_risk_per_ICU_bed,high_risk_per_hospital,icu_beds,hospitals,total_at_risk
"Albany-Schenectady-Troy, NY",57.72%,1664.47748,27861.484,56,7,249352.02
"Tulsa, OK",50.99%,1484.641304,55171.16237,851,33,135090.8
"College Station-Bryan, TX",51.13%,1556.712483,64079.89333,60,10,423719.72
"Topeka, KS",52.32%,2110.081467,40301.29429,146,3,67943.74
"Sioux City, IA-NE-SD",62.22%,3091.331014,18787.15929,108,2,60535.89
"Chicago-Naperville-Elgin, IL-IN-WI",55.19%,2084.996111,30190.0025,60,11,152691.14
"Charleston, WV",66.48%,831.6897436,42290.198,487,82,697545.85
"Aberdeen, SD",62.40%,3786.115556,52808.54778,240,3,46808.22
"Rochester, NY",65.12%,2474.26659,11075.1275,286,15,667803.04
"Salisbury, MD-DE",66.46%,831.6897436,22544.89,548,4,146870.86
"Portland-Vancouver-Hillsboro, OR-WA",65.45%,1664.47748,39953.844,18,15,654148.4
"New York-Jersey City-White Plains, NY-NJ, Metropolitan Division",63.54%,1469.136169,60854.764,299,29,203160.89
"Sioux City, IA-NE-SD",65.98%,1622.193615,38084.1925,679,6,217594.98
"New Orleans-Metairie, LA",61.69%,2027.770063,30190.0025,177,5,181760.33
"Sioux Falls, SD",73.79%,1661.77368,21313.97609,398,3,244411.22
"Sacramento--Roseville--Arden-Arcade, CA",65.10%,730.5231351,8979.6975,110,38,738381.79
"Billings, MT",62.63%,1666.819708,57907.38714,690,6,386468.07
"St. Cloud, MN",66.46%,1810.896176,36366.97545,41,6,351499.83
"Memphis, TN-MS-AR",66.48%,2329.607529,36728.40423,679,4,91455.94
"Colorado Springs, CO",51.14%,1572.474522,31820.90875,906,15,1229988.07
"Hagerstown-Martinsburg, MD-WV",65.09%,1309.019106,20732.3775,24,4,123349.8
"Huntington-Ashland, WV-KY-OH",55.96%,1109.572514,19138.8625,533,3,144304.43
"Fort Worth-Arlington, TX, Metropolitan Division",65.61%,2150.121289,36728.40423,112,10,548511.86
"Philadelphia, PA, Metropolitan Division",65.61%,413.6677064,25056.91667,690,3,202222.08
"Minot, ND",56.85%,2031.057,42469.17727,24,6,418208.06
"Buffalo-Cheektowaga-Niagara Falls, NY",60.18%,2027.770063,55064.62947,2474,6,341306.66
"Wichita, KS",55.40%,1940.797368,70296.38,945,43,473550.62
"Oakland-Hayward-Berkeley, CA, Metropolitan Division",58.76%,3091.331014,68252.97875,405,11,225877.6
"Fort Worth-Arlington, TX, Metropolitan Division",62.72%,3786.115556,71100.61333,314,29,154421.86
"Memphis, TN-MS-AR",68.32%,1318.728361,40201.46,286,5,326560.36
"Tampa-St. Petersburg-Clearwater, FL",55.96%,2043.376384,64868.69143,945,15,760975.16
"South Bend-Mishawaka, IN-MI",60.98%,2022.670976,40301.29429,NA,32,371093.63
"Burlington-South Burlington, VT",72.66%,3292.271176,40976.1,20,25,78573.81
"Salina, KS",54.72%,1713.245747,65252.245,95,9,801409.88
"Reno, NV",50.99%,1919.68433,77804.2325,851,4,86606.04
"Portland-Vancouver-Hillsboro, OR-WA",61.57%,1586.418128,40298.78478,136,2,75615.65
"Hilton Head Island-Bluffton-Beaufort, SC",62.52%,2737.105667,52691.54333,548,55,263273.64
"Gainesville, FL",80.73%,1940.797368,77225.5725,8,NA,263900.57
"Fort Worth-Arlington, TX, Metropolitan Division",65.67%,2356.378968,26834.02625,533,5,139846.52
"Springfield, MA",60.29%,1253.763299,48394.635,804,10,417380.71
"Port St. Lucie, FL",72.31%,1618.733889,21313.97609,2678,11,154684.57
"Portland-Vancouver-Hillsboro, OR-WA",50.03%,915.7096043,12548.97,146,2,156871.68
"Burlington-South Burlington, VT",63.56%,2739.539318,37367.13,294,18,725760.63
"Wilmington, DE-MD-NJ, Metropolitan Division",65.45%,1165.437984,85187.6,185,2,48958.21
"Topeka, KS",62.63%,1865.840219,11075.1275,331,82,190155.07
"Providence-Warwick, RI-MA",55.96%,1347.585845,12286.07091,331,1,656118.15
"Columbus, OH",51.14%,899.2759091,55043.105,2678,2,58123.0
"Des Moines-West Des Moines, IA",66.46%,413.6677064,53617.76789,177,10,428813.58
"Cincinnati, OH-KY-IN",62.98%,1618.733889,43734.28167,56,26,460159.59
"San Antonio-New Braunfels, TX",50.99%,1614.752369,57907.38714,2777,4,83938.51
"Boise City, ID",66.87%,1622.193615,47303.43,299,100,400024.17
"New Orleans-Metairie, LA",61.20%,1638.910824,53454.9542,10,4,31883.79
"Gainesville, FL",63.34%,1832.191563,35782.54222,316,5,372496.44
"Manhattan, KS",51.27%,4489.84875,NA,690,19,1699583.37
"Albuquerque, NM",66.60%,1924.917328,58894.68071,278,8,451961.34
"North Platte, NE",61.84%,1924.917328,9611.9,22,26,1238345.19
"Charlotte-Concord-Gastonia, NC-SC",68.10%,1942.979024,48306.3,2678,38,1666595.06
"Huntington-Ashland, WV-KY-OH",62.22%,3459.7325,9611.9,488,10,418915.28
"Bismarck, ND",62.72%,621.4499524,58894.68071,218,5,113446.37
"Rochester, MN",60.22%,1618.733889,65192.62889,497,82,2876042.71
"Rockingham County-Strafford County, NH, Metropolitan Division",48.01%,1468.166739,75184.16695,86,7,212564.92
"Toledo, OH",67.61%,2472.280229,47303.43,258,10,432666.4
"Sioux City, IA-NE-SD",60.09%,3091.331014,21313.97609,316,23,83844.01
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",55.88%,1738.823877,58783.38444,130,2,49349.54
"Grand Rapids-Wyoming, MI",61.69%,1735.071991,20739.51333,508,5,146279.07
"Sioux City, IA-NE-SD",54.84%,621.4499524,18787.15929,491,16,202282.02
"Indianapolis-Carmel-Anderson, IN",55.96%,2110.081467,41046.98,553,4,102592.91
"Florence, SC",58.67%,864.1463889,37830.13909,258,38,159945.21
"Seattle-Bellevue-Everett, WA, Metropolitan Division",62.39%,2474.26659,85187.6,503,18,166318.08
"Cambridge-Newton-Framingham, MA, Metropolitan Division",63.70%,2737.105667,35684.71667,256,82,4984318.81
"Greenville-Anderson-Mauldin, SC",62.40%,2474.26659,30190.0025,2474,5,131997.74
"Memphis, TN-MS-AR",55.77%,1734.587336,62035.12,427,34,127438.67
"Salisbury, MD-DE",57.75%,864.1463889,67535.67,375,7,319862.72
"Salt Lake City, UT",60.83%,1942.979024,42001.61429,945,7,376133.79
"Atlanta-Sandy Springs-Roswell, GA",66.27%,1493.132605,68778.275,314,19,47783.99
"Columbia, SC",61.67%,1664.52612,42001.61429,46,11,269281.39
"Corpus Christi, TX",68.32%,2230.095,42460.36,804,7,387160.73
"Gainesville, FL",65.67%,2183.080962,63754.335,276,4,35739.83
"Grand Island, NE",59.63%,1919.68433,16084.25571,31,23,290172.14
"Dallas-Plano-Irving, TX, Metropolitan Division",67.32%,3786.115556,30190.0025,294,11,201135.52
"Greenville-Anderson-Mauldin, SC",65.74%,1484.641304,38324.8542,184,7,182353.82
"Minneapolis-St. Paul-Bloomington, MN-WI",56.85%,1572.474522,81651.99667,331,84,719117.73
"Silver Spring-Frederick-Rockville, MD, Metropolitan Division",60.60%,1109.572514,44359.48875,33,5,164037.34
