method,number,orbital_period,mass,distance,year
Transit,5,21.77596,,,2011
Transit,1,0.78884,,250.0,2009
Radial Velocity,2,1275.0,,38.52,2011
Radial Velocity,1,,1.7,140.85,2011
Radial Velocity,1,420.77,1.7,,2007
Transit,2,5.955,,,2012
Radial Velocity,6,4.3123,0.0126,,2008
Microlensing,1,3600.0,,,2005
Pulsar Timing,3,25.262,,,1992
Transit,1,3.577469,,,2010
Radial Velocity,2,2720.0,,,2012
Radial Velocity,1,589.64,,10.34,2006
Transit,1,2.243752,,160.0,2008
Transit,5,5.66793,,,2011
Transit,1,4.3050011,,,2012
Radial Velocity,1,4.6455,,24.05,2010
Imaging,1,,,,2005
Radial Velocity,4,61.1166,,4.7,1998
Radial Velocity,1,4.230785,0.472,15.36,1995
Radial Velocity,1,143.58,0.37,,2005
Transit,1,2.4855335,,,2008
Transit,1,5.35227,,840.0,2011
Transit,3,5.398763,,135.0,2012
Radial Velocity,1,1260.0,,53.05,2008
Radial Velocity,1,111.7,2.1,14.9,2009
Radial Velocity,1,,,115.47,2009
Radial Velocity,4,643.25,,15.28,2000
Radial Velocity,1,3.0925,0.95,27.05,2000
Radial Velocity,1,1845.0,0.91,8.77,2006
Transit,2,20.8613,,2100.0,2011
Imaging,1,,,,2008
Transit,2,11.6092567,,,2012
Radial Velocity,5,44.38,0.165,12.53,2004
Transit,1,2.785755,,108.0,2011
Radial Velocity,1,1114.0,0.95,,2002
Radial Velocity,1,3724.7,1.45,,2011
Transit,5,,,,2011
Radial Velocity,1,36.96,2.49,93.2,2007
Imaging,1,,,,2013
Transit,1,4.457243,,501.0,2012
Transit,5,31.7844,,,2011
Transit,5,2.896,,303.0,2012
Eclipse Timing Variations,2,1916.25,,,2011
Transit,2,,,,2012
Transit,2,13.2907,,1400.0,2011
Transit,4,43.8445,,,2014
Transit,5,10.854092,,290.0,2011
Transit,2,7.2037945,,,2012
Radial Velocity,1,3630.0,,36.36,2012
Transit,3,12.7204,,,2011
Radial Velocity,2,1657.0,0.71,,2010
Transit,1,3.1606296,,1200.0,2013
Transit,1,4.1591399,,200.0,2012
Radial Velocity,1,227.0,1.8,44.15,2002
Radial Velocity,1,3638.0,6.9,43.57,2012
Radial Velocity,1,572.38,,41.95,1999
Transit,2,17.849,,,2013
Transit,1,2.7033904,,,2013
Microlensing,1,,,2300.0,2012
Transit,5,10.854092,,,2011
Radial Velocity,1,2.64561,,19.8,2010
Radial Velocity,1,305.5,20.6,92.51,2013
Imaging,4,170000.0,,39.94,2008
Transit,2,17.324,,,2013
Transit,1,4.2,,8500.0,2006
Transit,2,17.324,,,2013
Radial Velocity,1,738.459,,34.6,2001
Radial Velocity,2,37.91,0.0788,,2008
Imaging,1,,,145.0,2008
Transit,1,3.408821,,,2010
Radial Velocity,1,3724.7,,48.43,2011
Transit,1,5.723186,,322.0,2011
Radial Velocity,1,3827.0,0.48,20.48,2014
Transit,1,3.257215,,395.0,2011
Transit,1,5.6334729,,135.32,2007
Transit,1,1.72086123,,1056.0,2014
Radial Velocity,2,7.2825,0.0087,21.52,2011
Radial Velocity,1,177.11,7.6,150.6,2011
Transit,1,2.204737,,320.0,2008
Imaging,1,,,40.85,2006
Radial Velocity,1,354.8,,55.93,2007
Microlensing,2,,,4080.0,2012
Transit,4,3.743208,,,2013
Radial Velocity,4,30.0881,0.7142,4.7,2000
Radial Velocity,1,655.6,,37.54,2008
Radial Velocity,2,44.236,2.12,42.68,2009
Transit,2,22.804,,,2013
Transit,1,5.452654,,257.0,2011
Imaging,1,,,40.85,2006
Radial Velocity,1,420.77,,50.0,2007
Transit,1,4.641878,,447.0,2012
Radial Velocity,1,431.88,,77.82,2001
Radial Velocity,1,326.03,,110.62,2007
Transit,1,4.055259,,,2011
Radial Velocity,2,263.3,,,2010
Radial Velocity,2,248.4,1.9,68.59,2013
Radial Velocity,6,20.432,,12.83,2008
Radial Velocity,2,4970.0,,17.99,2010
Radial Velocity,1,187.83,,,2012
Radial Velocity,2,1046.0,,,2011
Transit,1,2.7817387,,170.0,2012
Transit,1,8.884924,,,2013
Transit,1,66.262,,,2014
Transit,1,1.62843142,,300.0,2008
Transit,1,2.7817387,,170.0,2012
Radial Velocity,1,20.8133,0.172,42.0,2005
Transit,2,42.1516418,,,2012
Transit,1,68.9584,,,2014
Radial Velocity,1,951.0,,40.75,2001
Transit,1,9.24285,,1230.0,2011
Transit,2,4.62332,,,2014
Radial Velocity,2,7.8543,,56.92,2013
Transit,1,3.024095,,1950.0,2011
Transit,1,131.458,,,2011
Radial Velocity,1,677.8,19.8,,2007
Imaging,1,,,139.0,2004
Orbital Brightness Modulation,2,0.240104,,,2011
Radial Velocity,1,1630.0,,56.31,2012
Radial Velocity,1,6.1335,,,2005
Radial Velocity,1,,1.56,44.05,2007
Transit,2,11.6092567,,,2012
Radial Velocity,3,2473.0,8.06,64.56,2003
Transit,1,3.234723,,,2009
Transit,1,5.508023,,166.0,2010
Microlensing,1,3500.0,,,2005
Transit,5,8.7522,,303.0,2011
Radial Velocity,1,356.0,2.3,131.41,2009
Radial Velocity,1,2890.0,11.0,,2011
Imaging,1,,,91.57,2013
Transit,1,3.474474,,387.0,2011
Radial Velocity,1,,,130.89,2011
Radial Velocity,1,677.8,19.8,,2007
Transit,1,8.884924,,1140.0,2013
Transit,2,303.137,,1500.0,2012
Microlensing,1,,,,2011
Transit,4,23.9802,,,2014
Radial Velocity,1,417.9,,70.42,2012
Transit,1,1.51214,,1340.0,2010
Radial Velocity,3,197.0,0.058,12.58,2006
Transit,3,35.3331,,,2014
Radial Velocity,1,1523.0,2.6,,2009
Radial Velocity,1,1155.0,,21.92,2005
Radial Velocity,3,33.941,0.0162,25.59,2011
Transit,3,1.592851,,650.0,2010
Transit,1,11.5231,,,2014
Radial Velocity,1,14.275,,17.72,2011
Radial Velocity,1,26.73,,94.07,2006
Radial Velocity,1,578.2,,,2012
Radial Velocity,1,2.64385,,10.23,2004
Transit,7,331.60059,,780.0,2013
Radial Velocity,1,6.838,,47.37,2006
Transit,1,4.1137912,,124.22,2012
Transit,1,2.99433,,560.0,2010
Radial Velocity,1,48.056,,51.26,2005
Radial Velocity,1,70.46,,,2005
Radial Velocity,6,7.2004,0.018,6.8,2011
Radial Velocity,2,937.7,,28.04,2003
Radial Velocity,1,526.62,1.56,44.05,2007
Transit,5,6.098493,,290.0,2011
Radial Velocity,2,2140.2,13.38,42.43,2000
Radial Velocity,3,962.0,0.64,26.15,2008
Transit,7,59.73667,,780.0,2013
Radial Velocity,1,2.64385,,10.23,2004
Radial Velocity,1,68.27,0.77,,2010
Radial Velocity,2,1657.0,,,2010
Radial Velocity,6,602.0,,39.39,2010
Radial Velocity,1,615.0,0.29,35.88,2011
Radial Velocity,1,297.3,,127.55,2007
Radial Velocity,1,3999.0,1.9,50.45,2011
Transit,1,2.150008,,283.0,2011
Radial Velocity,1,3383.0,3.15,,2002
Transit,1,3.89713,,,2011
Radial Velocity,1,,9.17,54.71,2002
Imaging,1,,,,2013
Radial Velocity,1,890.76,,48.95,2004
Radial Velocity,2,103.49,,26.21,2011
Transit,5,22.7802,,303.0,2012
Radial Velocity,1,5.118,0.4,,2014
Radial Velocity,1,4100.0,,20.03,2013
Radial Velocity,1,466.0,0.5,53.82,2010
Radial Velocity,1,647.3,,221.24,2011
Transit,1,228.776,,,2011
Transit,5,19.57706,,290.0,2011
Transit,1,4.03519,,1060.0,2010
Radial Velocity,2,4.0845,,37.84,2008
Radial Velocity,3,18.315,,6.06,2011
Radial Velocity,1,5.3978,0.029,16.82,2008
Transit,1,6.87349,,2700.0,2010
Transit,2,8.1453,,1200.0,2011
Radial Velocity,2,152.6,0.17,,2011
Microlensing,1,,,1760.0,2013
Transit,2,38.5583038,,,2012
Radial Velocity,1,6.495,0.96,121.07,2010
Radial Velocity,2,621.99,12.47,,2009
Transit,2,26.723,,,2013
Radial Velocity,1,1299.0,1.9,106.38,2011
Transit,5,10.3117,,,2014
Radial Velocity,4,30.0881,,4.7,2000
Radial Velocity,2,2102.0,,36.32,2003
Radial Velocity,2,345.72,,44.8,2009
Radial Velocity,1,2231.0,2.0,28.76,2003
Radial Velocity,1,842.0,0.75,55.1,2009
Radial Velocity,1,1845.0,0.91,8.77,2006
Transit,2,7.1073,,,2011
Transit,1,,,249.0,2012
Transit,4,43.8445,,,2014
Transit,1,3.0927616,,90.0,2008
Radial Velocity,1,1075.2,6.21,32.56,1999
Eclipse Timing Variations,2,5573.55,,,2010
Radial Velocity,4,9.6386,,15.28,2004
Microlensing,1,3600.0,,,2005
Radial Velocity,1,1773.4,,18.15,2002
Transit,1,4.124481,,,2010
Radial Velocity,1,9.494,,21.3,2010
Radial Velocity,1,5.7361,,41.27,2012
Transit,1,5.35227,,840.0,2011
Pulsar Timing,3,66.5419,,,1992
Radial Velocity,2,191.99,,38.64,2011
Radial Velocity,1,993.3,10.3,73.1,2008
Transit,1,9.20205,,,2008
Transit,2,7.053,,,2012
Radial Velocity,2,572.4,,,2003
Radial Velocity,1,842.0,0.75,55.1,2009
Radial Velocity,2,19.382,,66.89,2013
Transit,2,12.0717249,,,2012
Radial Velocity,3,2473.0,,64.56,2003
Imaging,1,,,120.0,2013
Radial Velocity,1,311.288,1.94,17.24,1999
Radial Velocity,2,1657.0,0.71,15.71,2010
Radial Velocity,2,19.382,0.865,,2013
Radial Velocity,2,14.3098,0.839,42.43,2000
Radial Velocity,1,1290.0,,,2009
Radial Velocity,3,123.01,,8.52,2009
Radial Velocity,1,6.1335,,,2005
Radial Velocity,2,,7.0,121.36,2008
Radial Velocity,1,2597.0,,33.01,2004
Radial Velocity,1,738.459,2.61,34.6,2001
Radial Velocity,1,677.8,,,2007
Radial Velocity,1,,,33.41,2000
Radial Velocity,1,356.0,2.3,131.41,2009
Radial Velocity,5,261.2,,,2007
Transit,2,5.005425,,354.0,2011
Radial Velocity,1,1475.0,,72.57,2009
Radial Velocity,1,696.3,10.7,,2009
Radial Velocity,1,331.5,,59.28,2009
Radial Velocity,1,653.22,,33.46,2002
Radial Velocity,1,325.81,,32.32,2000
Transit,1,0.813475,,80.0,2011
Transit,2,15.3348,,,2011
Microlensing,2,1825.0,,,2008
Radial Velocity,1,711.0,6.54,,2005
Radial Velocity,5,261.2,0.172,,2007
Radial Velocity,1,763.0,2.6,,2011
Transit,3,,,,2011
Radial Velocity,1,9.6737,,27.45,2009
Radial Velocity,1,500.0,1.07,27.13,2002
Radial Velocity,2,441.47,,27.46,2003
Radial Velocity,2,58.11289,,37.88,1998
Transit,1,3.408821,,,2010
Radial Velocity,6,49.747,,39.39,2010
Transit,2,16.3850021,,,2012
Transit,2,49.532,,1500.0,2012
Imaging,1,,,11.43,2010
Radial Velocity,1,423.841,1.28,18.24,2000
Eclipse Timing Variations,2,1916.25,,,2011
Radial Velocity,1,572.38,7.75,41.95,1999
Radial Velocity,2,53.881,0.06472,32.31,2011
Radial Velocity,1,3668.0,4.01,46.51,2006
Transit,2,26.444,,,2012
Transit,5,12.4417,,,2013
Microlensing,1,,,3600.0,2013
Radial Velocity,1,1159.2,,,2009
Transit,2,42.6318,,,2011
Transit,1,,,1340.0,2010
Radial Velocity,1,1544.0,,,2011
Transit,2,17.849,,,2013
Radial Velocity,2,1314.0,,69.44,2010
Transit,7,124.9144,,,2013
Transit,1,1.354133,,360.0,2013
Radial Velocity,1,3.2357,0.0036,1.35,2012
Radial Velocity,2,430.0,,,2002
Radial Velocity,1,111.7,,14.9,2009
Radial Velocity,1,777.0,,,2009
Transit,1,,,,2008
Transit,2,42.994,,,2013
Transit,4,54.32031,,,2013
Radial Velocity,3,90.309,,6.06,2011
Radial Velocity,2,931.0,,66.89,2013
Transit,2,10.9129343,,,2012
Radial Velocity,1,456.1,,52.88,2007
Radial Velocity,1,472.0,,,2010
Transit,2,49.412,,,2013
Radial Velocity,1,269.3,,77.4,2006
Transit,2,49.532,,1500.0,2012
Transit,1,2.143634,,,2011
Radial Velocity,1,3383.0,3.15,51.36,2002
Transit,6,,,613.0,2010
Transit,2,48.648,,,2013
Transit,1,,,,2014
Transit,1,6.871815,,,2010
Transit,2,21.2227,,,2014
Radial Velocity,2,85.131,,35.89,2011
Transit,1,3.54846,,,2009
Pulsation Timing Variations,1,1170.0,,,2007
Transit,1,2.7033904,1.47,178.0,2013
Transit,1,3.90512,,800.0,2010
Radial Velocity,1,8.7836,0.0265,9.42,2008
Radial Velocity,3,33.941,,25.59,2011
Transit,1,0.813475,,80.0,2011
Radial Velocity,1,24.348,0.72,19.89,1999
Transit,2,16.23855,,470.0,2012
Transit,2,42.1516418,,,2012
Radial Velocity,1,1531.0,6.92,37.44,2002
Transit,2,7.81254,,,2012
Transit,1,7.340718,,1330.0,2013
Radial Velocity,2,1460.0,,,2014
Radial Velocity,1,122.1,,9.24,2010
Radial Velocity,3,31.56,,12.58,2006
Transit,1,3.0763776,,230.0,2008
Transit,1,2.691548,,,2014
Transit,1,4.008778,,215.0,2010
Imaging,1,,,,2013
Radial Velocity,1,392.6,0.91,,2011
Transit,1,,,360.0,2013
Transit,2,9.77,,,2012
Radial Velocity,2,19.382,0.865,66.89,2013
Transit,1,4.2568,,680.0,2008
Radial Velocity,2,3810.0,,47.92,1999
Transit,3,3.504725,,,2011
Radial Velocity,1,420.77,1.7,50.0,2007
Radial Velocity,1,4218.0,1.88,45.52,2009
Radial Velocity,1,948.12,0.224,38.05,2011
Radial Velocity,1,58.43,0.01133,11.15,2011
Radial Velocity,3,59.519,0.0382,26.91,2011
Radial Velocity,2,349.7,1.25,25.64,2001
Transit,4,42.8961,,,2014
Microlensing,1,,,,2013
Imaging,1,,,140.0,2004
Transit,1,3.52254,,1330.0,2010
Transit,1,1.091423,,,2008
Transit,2,5.4122,,,2013
Microlensing,1,,,1760.0,2013
Radial Velocity,2,3186.0,,,2012
Transit,3,35.3331,,,2014
Transit,1,3.67724,,,2007
Transit,4,23.9802,,,2014
Transit,5,122.3874,,368.0,2013
Radial Velocity,1,714.3,,,2007
Transit,1,4.008778,,215.0,2010
Transit,1,3.6936411,,,2012
Radial Velocity,1,2.985625,0.4,,2002
Imaging,1,,,165.0,2007
Transit,1,228.776,,,2011
Eclipse Timing Variations,2,5767.0,,130.72,2008
Imaging,1,40000.0,,,2011
Transit,1,4.2568,,,2008
Radial Velocity,1,456.1,3.09,52.88,2007
Transit,1,3.24674,,,2011
Transit,3,1.865169,,38.7,2011
Radial Velocity,2,19.382,0.865,,2013
Transit,2,22.804,,,2013
Radial Velocity,1,2093.3,,,2012
Radial Velocity,3,11.577,0.0166,14.56,2011
Transit,2,5.487,,,2013
Radial Velocity,3,34.873,0.054,,2011
Transit,1,3.35524,,396.0,2010
Transit,2,15.3348,,,2011
Radial Velocity,2,11.849,,43.08,2011
Transit,5,5.28696,,,2014
Transit,1,3.67724,,,2007
Transit,1,0.925542,,470.0,2014
Transit,1,3.6936411,,200.0,2012
Radial Velocity,3,2473.0,,64.56,2003
Transit,5,10.854092,,290.0,2011
Radial Velocity,2,,,94.61,2005
Radial Velocity,1,788.0,,,2009
Transit,3,14.85888,,,2011
Radial Velocity,1,2231.0,,,2003
Radial Velocity,1,1125.7,9.76,121.36,2008
