title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Love Me or Leave Me,http://www.imdb.com/title/tt0111756/,US,1962,$96.9M,"Gabriel Underwood Coppola Stanislav Sokolov Tammy Blanchard, Morgan Spector",1.0,Arthur Zapata Mitchell Munro of Essex,Other,Known,,0.0,Female,Bill SchweighÌ¦fer Havilland Derek Liya Billie Whitelaw Sydow
Serpico,http://www.imdb.com/title/tt0117791/,Canada/UK,1947,$95M,"Nathan Fleder Biesold, Rosenberg Ford, Tammy Blanchard, Morgan Spector",2.0,Barbara Feynman Thompson Aurore Kid) Essex,Historical,Known,African,0.0,Female,Val Cusack Burke Derek Winslet Max Nichols Sydow
VIPs,http://www.imdb.com/title/tt2782834/,US/Canada,1927,$1.2M,"Warren Lewin Wash Sarah-Violet Ford, Tammy Blanchard, Morgan Spector",1.0,Curtis Long / Jr Brasco) Essex,Other,Known,,0.0,Female,"Allan Eisenberg Young Jean Kemp, Austin Ellison Sydow"
Patch Adams,http://www.imdb.com/title/tt0059635/,US/UK/Canada,1996,$44.3K,"Alfred Bromley Randy Sarah-Violet Leyburn Tammy Blanchard, Morgan Spector",1.0343977960329926,Waris Ungar Chaplin Kennedy Jr. Essex,Singer,Known,Native American,0.14340682449984177,Female,"Nicolas Brolin Tsarong Pernilla August, Austin Nichols Sydow"
Against the Ropes,http://www.imdb.com/title/tt0108328/,UK,2007,$100K,"Leon Krish, Jones Robert Pulcini Tammy Blanchard, Morgan Spector",3.0,Loretta Spence Kasso Kyi Jr. Essex,Comedian,Unknown,Asian,0.0,Male,Max Railsback Basquiat Kate Liya Kebede Whitelaw Sydow
The Glenn Miller Story,http://www.imdb.com/title/tt0048947/,US/UK,1951,$95M,"Iain Bellamy Werker Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.0,Enrico Child (Feodorovna) Adams Jr. Essex,Actor,Unknown,,0.0,Male,Scott Brody Niro Derek Liya James Nichols Sydow
Mrs Brown,http://www.imdb.com/title/tt0082979/,Canada,1957,$4.5M,"Mary Bacon Lee Pal Leyburn Tammy Blanchard, Morgan Spector",1.0,Richard Marcucci (alias the of Essex,Athlete,Unknown,Hispanic (Latina),0.0,Male,"Clifton Cheadle Cooper, Jean Kemp, Kebede Whitelaw Sydow"
Dillinger,http://www.imdb.com/title/tt0377992/,US,1981,$18.3M,"Sean Walters Hancock Sarah-Violet Sokolov Tammy Blanchard, Morgan Spector",1.0,Leslie I Lawrence Aurore Parker) Essex,Athlete,Unknown,African American,0.0,Male,With: Josh Tsarong Kate Liya Billie von Sydow
Regeneration,http://www.imdb.com/title/tt0079368/,Canada/UK,1926,$617K,"Alan Minnelli Stuart Robert Bliss Tammy Blanchard, Morgan Spector",1.0,Mark Hoffa (Thaw) Caravaggio Peron Essex,Criminal,Unknown,White,0.0,Male,"Marion Wagner Phillips Martin Arthur, James Whitelaw Sydow"
Braveheart,http://www.imdb.com/title/tt0089052/,US/Canada,1996,$1.72M,"Earl Leo, Steve Satrapi Ford, Tammy Blanchard, Morgan Spector",1.0,"Mohammad Hamilton Waters Halsey, of Essex",Musician,Unknown,,0.0,Male,"Greg Shawn Toro Kate Arthur, Kebede Ellison Sydow"
Nora,http://www.imdb.com/title/tt0230169/,US/UK/Canada,1967,$8.32M,"Eric Krokidas Biesold, Pal Ford, Tammy Blanchard, Morgan Spector",1.0739019448456943,Miguel Mae Khan) Donnie Scots Essex,Singer,Unknown,,0.2597715031109513,Male,Kirk Malkovich Young Martin Liya Billie Nichols Sydow
Goltzius and the Pelican Company,http://www.imdb.com/title/tt0107207/,UK,1982,$1.21M,"Anthony VallÌÄå©e Donehue Requa Pulcini Tammy Blanchard, Morgan Spector",1.0,J. Kallen O'Keefe of Kid) Essex,Musician,Known,,0.0,Female,"Ben Morgan Medeiros Pernilla Kemp, Kebede Nichols Sydow"
The Life of Emile Zola,http://www.imdb.com/title/tt0091295/,US/UK,1924,$42M,"Laurence McBride Jones Barbato Ford, Tammy Blanchard, Morgan Spector",3.0,Kenneth Hardwicke Sade Anastasia Kid) Essex,Historical,Known,Hispanic (Latino),0.0,Female,"Mario Samuel Le and Arthur, Kebede Whitelaw Sydow"
The Imitation Game,http://www.imdb.com/title/tt1185431/,Canada,1991,$16.3M,"Alan Millar Caunes Trent Bliss Tammy Blanchard, Morgan Spector",3.0,Susanna Keats Richtofen Anastasia Scots Essex,Other,Known,,0.0,Female,Val Meriwether Hoffman Martin Liya James von Sydow
The Diving Bell and the Butterfly,http://www.imdb.com/title/tt0091295/,US,1986,$35.6M,"Jonathan Brook David Hickner Bliss Tammy Blanchard, Morgan Spector",1.0,"Harvey Amadeus Rocket"" UK Turner) Essex",Other,Known,,0.0,Female,Warner Rooney Niro Kate Winslet Max Nichols Sydow
Knute Rockne All American,http://www.imdb.com/title/tt0821642/,Canada/UK,1934,$2.39M,"Paul Jordan Refn Satrapi Sokolov Tammy Blanchard, Morgan Spector",1.0,Loretta Wesley Bullock the Peron Essex,Author,Known,Middle Eastern,0.0,Female,"Kristopher Okonedo Young Jean August, Austin Ellison Sydow"
The Insider,http://www.imdb.com/title/tt0112641/,US/Canada,2013,$13.3M,"Gus Ferguson Coppola Rosenberg Pulcini Tammy Blanchard, Morgan Spector",2.0,Dan Carrington Hayslip Aurore Brasco) Essex,Athlete,Known,Mediterranean,0.0,Female,GÌ©rard Robertson Peebles Jean Liya James Ellison Sydow
The Magic Box,http://www.imdb.com/title/tt0810784/,US/UK/Canada,1979,$671K,"Thad Sargent George Barbato Ford, Tammy Blanchard, Morgan Spector",1.041022232196281,Eddie Marcucci Beethoven Sweden Jr. Essex,Activist,Known,Caribbean,0.015912246234398138,Female,Soraya Lupino (young) Jean Liya Kebede (older) Sydow
Dreamchild,http://www.imdb.com/title/tt0363473/,UK,1987,$5.86M,"Buzz J. Jones Rosenberg Ford, Tammy Blanchard, Morgan Spector",1.0,James Biko Kurowsky England Turner) Essex,Other,Unknown,,0.0,Male,"Burgess Ryder Wood Kate Luke, Max Ellison Sydow"
The Chameleon,http://www.imdb.com/title/tt0101516/,US/UK,1944,$47.2K,"Howard Boris With: Trent Bliss Tammy Blanchard, Morgan Spector",2.0,"Gary Leonowens King, Smalls) Brasco) Essex",Academic,Unknown,Middle Eastern (White),0.0,Male,Pat Collins Sydow and Liya Max Ellison Sydow
Regeneration,http://www.imdb.com/title/tt0328538/,Canada,1939,$48.8M,"Jack Jeffs Young Friedman Sokolov Tammy Blanchard, Morgan Spector",1.0,Micky Bolkovac Nichols Rocha Jr. Essex,Academic,Unknown,Native American,0.0,Male,"Logan Kinnear Hoffman Kate Arthur, James Ellison Sydow"
One Foot in Heaven,http://www.imdb.com/title/tt0103747/,US,1931,$872K,"Clarence Fleischer Randy Weisman Ford, Tammy Blanchard, Morgan Spector",1.0,"Gustav Jarman ""Burt"" Kyi Brasco) Essex",Other,Unknown,Asian,0.0,Male,"JosÌ© Jones Peebles Derek Kemp, Max von Sydow"
The Long Gray Line,http://www.imdb.com/title/tt0095243/,Canada/UK,1978,$18.3M,"Arnold Fincher Caunes Weisman Pulcini Tammy Blanchard, Morgan Spector",1.0,Edie Owl Hoover Menezes Jr. Essex,Other,Unknown,Eurasian,0.0,Male,Natalie Schlachet Peebles Kate Liya Billie Ellison Sydow
Strauss' Great Waltz,http://www.imdb.com/title/tt0097336/,US/Canada,1958,$17.5M,"Fred Nunn McLaglen Trent Pulcini Tammy Blanchard, Morgan Spector",1.0,Gus Christian Peebles the Scots Essex,Author,Unknown,,0.0,Male,Forest Mol Jr. Pernilla Liya Max Ellison Sydow
The Lover,http://www.imdb.com/title/tt0083967/,US/UK/Canada,1986,$342K,"Gabriele Coogler Curtis Glenn Sokolov Tammy Blanchard, Morgan Spector",1.1185336005351805,"Babe Ruettiger ""Bob"" Leroy Brasco) Essex",Criminal,Unknown,African American,0.27600730126109646,Male,"D.B. Watson VolontÌ© Derek Kemp, Max Ellison Sydow"
Becket,http://www.imdb.com/title/tt0044324/,UK,1999,$1.15M,"Marvin O. Jeffrey Solt Ford, Tammy Blanchard, Morgan Spector",1.0,Jeff Gandhi (Thaw) Donnie Kid) Essex,Criminal,Known,,0.0,Female,"Glenn Green Lucas, Pernilla Kemp, James Nichols Sydow"
Lords of Dogtown,http://www.imdb.com/title/tt0352277/,US/UK,2003,$36.5M,"Thad O'Haver Werker Satrapi Bliss Tammy Blanchard, Morgan Spector",2.0,Micky Feynman Crane Belaney) of Essex,Athlete,Known,,0.0,Female,Christopher Ritchie Carter Pernilla Winslet Austin Nichols Sydow
What We Do Is Secret,http://www.imdb.com/title/tt0050928/,Canada,1966,$2.18M,"Nikolai Syberberg Lee Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,Burton Dirie Carter UK Brasco) Essex,Historical,Known,Hispanic (White),0.0,Female,"Georges Washington Jr. Derek August, Kebede Whitelaw Sydow"
Annie Get Your Gun,http://www.imdb.com/title/tt1126590/,US,1946,$13.6M,"Doug Cummings Jones Rosenberg Pulcini Tammy Blanchard, Morgan Spector",1.0,Steven Gein Carter of Scots Essex,Criminal,Known,Multi racial,0.0,Female,"Leigh Burton Bernal and August, Max Whitelaw Sydow"
Freedom Writers,http://www.imdb.com/title/tt0034778/,Canada/UK,1954,$6.78M,"W.S. Hibbs Lee Requa Ford, Tammy Blanchard, Morgan Spector",1.0,"Janet Delano ""Spig"" Munro of Essex",Military,Known,,0.0,Female,Ken Baxter Young and Winslet James (older) Sydow
The Prince of Egypt,http://www.imdb.com/title/tt1571222/,US/Canada,1965,$5.88M,"Derek Nosseck Schaffner Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.0,Elisabeth Villa Parker Earl Turner) Essex,Other,Known,,0.0,Female,Raul Weston Le Pernilla Liya Kebede Whitelaw Sydow
Prick Up Your Ears,http://www.imdb.com/title/tt1235548/,US/UK/Canada,1978,$30M,"W.S. Herrington Schaffner Stanislav Bliss Tammy Blanchard, Morgan Spector",1.078795863103174,Michael Allen York Assisi Turner) Essex,Academic,Known,Hispanic (Latin American),0.03214126651779449,Female,"Burgess Hathaway Wood Pernilla Arthur, Billie Ellison Sydow"
Mask,http://www.imdb.com/title/tt0089560/,UK,1955,$1.09M,"Iain Kazan Baird Hickner Pulcini Tammy Blanchard, Morgan Spector",1.0,Guy Kidd Hayslip Richthofen Brasco) Essex,Criminal,Unknown,Middle Eastern,0.0,Male,"Burt Sharkey Brown Jean August, Billie (older) Sydow"
Goodfellas,http://www.imdb.com/title/tt0171804/,US/UK,1953,$3.57M,"Ava Hugh Dyke Westmoreland Pulcini Tammy Blanchard, Morgan Spector",1.0,Brandon Cronauer Bullock Richard Jr. Essex,Athlete,Unknown,Mediterranean,0.0,Male,"Ginger Oldman Sydow Pernilla August, Billie Whitelaw Sydow"
Che: Part One,http://www.imdb.com/title/tt0443272/,Canada,2002,$1.12M,"Mira Shadyac Leonard Stanislav Pulcini Tammy Blanchard, Morgan Spector",2.0,Idi Travers 2nd Adams Jr. Essex,Author,Unknown,,0.0,Male,"Laura Fry Leigh Pernilla Kemp, James von Sydow"
Hell to Eternity,http://www.imdb.com/title/tt0109707/,US,2010,$350M,"Christopher G. Coppola Sarah-Violet Ford, Tammy Blanchard, Morgan Spector",1.0,Vernon Bronson Sr. Belaney) Scots Essex,Other,Unknown,,0.0,Male,Fred Neeson Cusick Jean Winslet Max Ellison Sydow
Thirteen,http://www.imdb.com/title/tt0446750/,Canada/UK,1967,$21.8K,"Spike Luketic SchrÌ¦der Rosenberg Leyburn Tammy Blanchard, Morgan Spector",3.0,"Frederic Hamilton ""Patch"" Smalls) Turner) Essex",Other,Unknown,Middle Eastern (White),0.0,Male,Georges Washington Niro Kate Liya Max Ellison Sydow
Henry V,http://www.imdb.com/title/tt0326208/,US/Canada,1992,$98.8K,"Nathan McGuckian Furie Hickner Pulcini Tammy Blanchard, Morgan Spector",1.0,Benjamin Liszt Lewis Caravaggio Peron Essex,Other,Unknown,Native American,0.0,Male,Mike Diamond Cusick Derek Liya Max Whitelaw Sydow
The Theory of Everything,http://www.imdb.com/title/tt3455740/,US/UK/Canada,1993,$6.62M,"Marc de David Trent Ford, Tammy Blanchard, Morgan Spector",1.0183398508715202,Lytton Mukhtar Wood England of Essex,Author,Unknown,Asian,0.04245028325683496,Male,Susan Swank Leigh Kate Winslet Max von Sydow
The Song of Bernadette,http://www.imdb.com/title/tt0120514/,UK,1982,$49.1M,"Billy Woolley Werker Barbato Sokolov Tammy Blanchard, Morgan Spector",2.0,Ted Bader Parker of Turner) Essex,Military,Known,Eurasian,0.0,Female,Tom Fox Burke Jean Liya Max Whitelaw Sydow
The Private Life of Henry VIII.,http://www.imdb.com/title/tt0270288/,US/UK,1996,$13.7M,"Luc Fleming John Westmoreland Bliss Tammy Blanchard, Morgan Spector",1.0,Jason Hayes Bush England Turner) Essex,Author,Known,Hispanic (Latina),0.0,Female,Frederic Bichir Peebles Pernilla Liya Billie Ellison Sydow
Geronimo,http://www.imdb.com/title/tt0102103/,Canada,1934,$26.8M,"Douglas Anderson Wellman Glenn Ford, Tammy Blanchard, Morgan Spector",2.0,"Nora Armstrong ""Radio"" England of Essex",Author,Known,African American,0.0,Female,"Amanda O'Brien Young Martin Arthur, Billie Nichols Sydow"
Testament of Youth,http://www.imdb.com/title/tt1951216/,US,1926,$4.29M,"Graeme Preminger Werker Robert Bliss Tammy Blanchard, Morgan Spector",1.0,Ramses Oakley Wood Sweden Peron Essex,Criminal,Known,White,0.0,Female,"Andy Ian VolontÌ© Pernilla Kemp, Kebede Nichols Sydow"
Regeneration,http://www.imdb.com/title/tt0829098/,Canada/UK,1997,$5.89M,"Daniel Gervasi Martinson Rosenberg Pulcini Tammy Blanchard, Morgan Spector",2.0,Abraham Flynn I Sweden Brasco) Essex,Criminal,Known,,0.0,Female,"Toby Griffiths Jr. Derek Luke, Kebede (older) Sydow"
Eichmann,http://www.imdb.com/title/tt0049408/,US/Canada,1982,$98.8K,"Jack L. Furie Pal Bliss Tammy Blanchard, Morgan Spector",1.0,Ed Cline Mesmer Caravaggio Scots Essex,Artist,Known,Hispanic (White),0.0,Female,"Diogo Oates Jones Jean Kemp, Austin Ellison Sydow"
Iris,http://www.imdb.com/title/tt1864405/,US/UK/Canada,1920,$54.2M,"Anatole Litvak Furie Solt Sokolov Tammy Blanchard, Morgan Spector",1.0696908111151193,Ian Zahedi Lee Wead Turner) Essex,Criminal,Known,,0.23695351236521564,Female,Mathieu Omar-Scego Nicholas and Winslet Billie von Sydow
The Buddy Holly Story,http://www.imdb.com/title/tt0802948/,UK,1941,$1.04M,"Malcolm Peerce Peter Solt Sokolov Tammy Blanchard, Morgan Spector",3.0,Terence O'Casey PrÌ©-Finzi Rocha Scots Essex,Singer,Unknown,Hispanic (Latino),0.0,Male,Rhys Hopper Bernal Martin Winslet Billie Nichols Sydow
My Left Foot,http://www.imdb.com/title/tt0108551/,US/UK,1934,$5M,"Gordon Boulting Biesold, Friedman Pulcini Tammy Blanchard, Morgan Spector",2.0,Manuel Baader Alexander Smalls) Jr. Essex,Historical,Unknown,Indian,1.0,Male,D.B. Del Havilland Jean Liya Kebede (older) Sydow
The Iron Lady,http://www.imdb.com/title/tt0095243/,Canada,1941,$4.5M,"Richard Duguay Russell Rosenberg Pulcini Tammy Blanchard, Morgan Spector",1.0,Melvin Feynman Mesmer Leroy Turner) Essex,Historical,Unknown,Hispanic (Latin American),0.0,Male,"Alec Barrymore Havilland Kate August, James (older) Sydow"
The Whistleblower,http://www.imdb.com/title/tt0099040/,US,1976,$36.6M,"Daniel Linson With: Pal Sokolov Tammy Blanchard, Morgan Spector",1.0,"Owen Curtis Rocket"" Wead Peron Essex",Musician,Unknown,Middle Eastern,0.0,Male,"Meryl Garfield FrÌÄå¦ler, Pernilla Liya Austin von Sydow"
Baader,http://www.imdb.com/title/tt0080549/,Canada/UK,1961,$98.8K,"Vincent Arnold Hancock Sykes Pulcini Tammy Blanchard, Morgan Spector",1.0,Edward James III Belaney) Brasco) Essex,Historical,Unknown,Mediterranean,0.0,Male,"Mariel Bertrand Kemp, Pernilla Kemp, James Whitelaw Sydow"
Lust for Life,http://www.imdb.com/title/tt0156020/,US/Canada,1952,$124M,"Spike Spencer Wellman Sykes Ford, Tammy Blanchard, Morgan Spector",1.0,Chris Mudd Bernstein England Scots Essex,Historical,Unknown,Caribbean,0.0,Male,"Robin Mason Young Jean Luke, Kebede Whitelaw Sydow"
My Left Foot,http://www.imdb.com/title/tt2304771/,US/UK/Canada,1983,$3.34M,"Craig Lapica Concini Barbato Sokolov Tammy Blanchard, Morgan Spector",1.0013830414380456,Bobby Keane Andersen Munro Peron Essex,Athlete,Unknown,African,0.022629506791585458,Male,"Quinton Tracy Jr Pernilla Arthur, Kebede Nichols Sydow"
The Pride of the Yankees,http://www.imdb.com/title/tt0430377/,UK,2010,$25.1M,"Patty Gervasi David Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0,Rudy Wordsworth III Richard Scots Essex,Military / activist,Known,Middle Eastern (White),0.0,Female,"Edie Ross and Martin Kemp, Max (older) Sydow"
Story of G.I. Joe,http://www.imdb.com/title/tt1811307/,US/UK,2011,$2M,"Julien Sturges Concini Weisman Pulcini Tammy Blanchard, Morgan Spector",1.0,Bethany Boone Sade Richard Parker) Essex,Athlete,Known,Native American,0.0,Female,Kristen Brolin and and Winslet Billie (older) Sydow
Rasputin: The Mad Monk,http://www.imdb.com/title/tt2058107/,Canada,1919,$4.22M,"Ted Cummings Sajbel Sarah-Violet Pulcini Tammy Blanchard, Morgan Spector",1.0,Rodrigo Wilde Hovick Richard Parker) Essex,Other,Known,Asian,0.0,Female,Phil Malkovich (young) and Liya Kebede von Sydow
Sergeant York,http://www.imdb.com/title/tt0093776/,US,1977,$109K,"Matthew Brook George Hickner Bliss Tammy Blanchard, Morgan Spector",1.0,Giacomo Harrer Suu Wead Brasco) Essex,Other,Known,Eurasian,0.0,Female,"Gael Bratt and Jean Kemp, Austin von Sydow"
Howl,http://www.imdb.com/title/tt0062844/,Canada/UK,1942,$42.6M,"Monty Haskin Refn Stanislav Sokolov Tammy Blanchard, Morgan Spector",2.0,Nikki Boleyn Hoover Assisi Scots Essex,Government,Known,,0.0,Female,Don Drake (young) Pernilla Winslet Billie (older) Sydow
What's Love Got to Do with It,http://www.imdb.com/title/tt0028108/,US/Canada,1949,$25.1M,"Rowland Fincher Curtis Stanislav Bliss Tammy Blanchard, Morgan Spector",2.0,Chuck Piersall I Wead Jr. Essex,Athlete,Known,African American,0.0,Female,"Heinz Spall Dillman Jean Arthur, Kebede Nichols Sydow"
The King of Kings,http://www.imdb.com/title/tt0478087/,US/UK/Canada,1957,$46.8M,"Alex Duigan Norman Robert Sokolov Tammy Blanchard, Morgan Spector",1.0795246720540785,Bert Trotsky Crane Kennedy Parker) Essex,Other,Known,,0.05982270884637159,Female,"Christian Beatty Basquiat Jean Kemp, Billie Whitelaw Sydow"
Hitler: The Last Ten Days,http://www.imdb.com/title/tt1535109/,UK,2007,$1.45M,"Alfred Bacon Marjane Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,Carl Goya Arc Munro Brasco) Essex,Musician,Unknown,Asian American,0.0,Male,Burgess Robb Abraham Jean Winslet Austin Whitelaw Sydow
The Theory of Everything,http://www.imdb.com/title/tt0051776/,US/UK,1981,$47.2K,"James Tyldum McLaglen Robert Pulcini Tammy Blanchard, Morgan Spector",1.0,Nelson Morton (alias Anastasia Scots Essex,Athlete,Unknown,Hispanic (White),0.0,Male,Nigel Hawkes Lee Martin Liya James Whitelaw Sydow
The Insider,http://www.imdb.com/title/tt0054847/,Canada,1943,$5.89M,"Max Fellini Donehue Solt Bliss Tammy Blanchard, Morgan Spector",2.0,"Johann Churchill ""Bob"" England Scots Essex",Military,Unknown,,0.0,Male,Amanda Keener Damme Kate Winslet Austin (older) Sydow
The Young Victoria,http://www.imdb.com/title/tt0076106/,US,2011,$124M,"Niels Loncraine Martinson Trent Bliss Tammy Blanchard, Morgan Spector",1.0,"Brandon ""The Sassoon the Brasco) Essex",Medicine,Unknown,,0.0,Male,"Kevin Zellweger VolontÌ© Pernilla Arthur, Kebede von Sydow"
The Conqueror,http://www.imdb.com/title/tt0166896/,Canada/UK,1929,$105K,"Danny Cardiff Biesold, Friedman Bliss Tammy Blanchard, Morgan Spector",2.0,Amedeo Strieber Hargreaves Richthofen Peron Essex,Musician,Unknown,Indian,0.0,Male,"- Stern Leigh Pernilla Luke, James von Sydow"
Bloodsport,http://www.imdb.com/title/tt1054588/,US/Canada,1966,$5.71K,"William Minnelli Baird Satrapi Sokolov Tammy Blanchard, Morgan Spector",1.0,Tom X Cohan Aurore Kid) Essex,Other,Unknown,Hispanic (Latin American),0.0,Male,"Barbra Amalric Cusick Jean Luke, Austin von Sydow"
Mockingbird Don't Sing,http://www.imdb.com/title/tt0414055/,US/UK/Canada,1998,$5.13M,"Bronwen Linson Russell Hickner Bliss Tammy Blanchard, Morgan Spector",1.6751949631314182,Eddie Gladney II Anastasia Parker) Essex,Athlete,Unknown,Middle Eastern,0.010623195911652858,Male,"Reece Moore Havilland Kate August, Max von Sydow"
One Chance,http://www.imdb.com/title/tt0108583/,UK,1958,$1.92M,"Stanley Hensleigh Sant Robert Leyburn Tammy Blanchard, Morgan Spector",1.0,Herman Moriarity Parker Earl Turner) Essex,Actress,Known,,0.0,Female,"Martin Wilby Lee Jean Arthur, Austin Ellison Sydow"
Before Night Falls,http://www.imdb.com/title/tt0099949/,US/UK,1988,$45.2K,"Luc Hensleigh Ruth Sykes Bliss Tammy Blanchard, Morgan Spector",1.0,DÌ©sirÌ©e Childers Sassoon Dennis Kid) Essex,Author,Known,,0.0,Female,"Lawrence Giering (young) Martin Kemp, Max von Sydow"
The Notorious Bettie Page,http://www.imdb.com/title/tt0106339/,Canada,1921,$35.9M,"A.J. Kasdan McLaglen Satrapi Pulcini Tammy Blanchard, Morgan Spector",2.0,Xaviera Kellerman Jones Assisi of Essex,Author,Known,African,0.0,Female,"Dustin Stanwyck Kemp, Martin Luke, James (older) Sydow"
Rise of the Footsoldier,http://www.imdb.com/title/tt0031981/,US,1919,$120M,"Sidney LaGravenese D'Sa, Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0,Johannes Boyce Bernstein Aurore of Essex,Singer,Known,Middle Eastern (White),0.0,Female,Gary Curtis Jr Kate Winslet Max (older) Sydow
Bathory: Countess of Blood,http://www.imdb.com/title/tt0097100/,Canada/UK,1953,$1.42M,"Darrell Lewin Davenport Westmoreland Pulcini Tammy Blanchard, Morgan Spector",1.0,T.S. Hill Crane Smalls) Scots Essex,Author (poet),Known,Native American,0.0,Female,"Forest Cheadle Law Martin Arthur, Kebede Ellison Sydow"
Milk,http://www.imdb.com/title/tt0038120/,US/Canada,1926,$37.3M,"Ennio Litvak Stern Requa Leyburn Tammy Blanchard, Morgan Spector",1.0,Frankie J (alias of Parker) Essex,Athlete,Known,Asian,0.0,Female,"Allan Antony (young) Jean Luke, Billie von Sydow"
Bright Star,http://www.imdb.com/title/tt0975645/,US/UK/Canada,1984,$1.1M,"Penny James Mankiewicz Panama Leyburn Tammy Blanchard, Morgan Spector",1.1548439088363085,Julius Kelly Maruge Adams Scots Essex,World leader,Known,Eurasian,0.006848001398185169,Female,"David Giering and Derek Kemp, Austin Nichols Sydow"
The Straight Story,http://www.imdb.com/title/tt0975645/,UK,1938,$17.6M,"Floria Powell Biesold, Glenn Leyburn Tammy Blanchard, Morgan Spector",1.0,Loring Rimbaud Nichols Dennis of Essex,Other,Unknown,Hispanic (Latina),0.0,Male,"Nick Kilmer Dillman and Luke, Billie von Sydow"
The Countess,http://www.imdb.com/title/tt0043153/,US/UK,2001,$226K,"Carl Brown Ruth Robert Leyburn Tammy Blanchard, Morgan Spector",1.0,Hunter George Bush Leroy Parker) Essex,Artist,Unknown,African American,0.0,Male,"John Russell Lucas, Pernilla Arthur, James (older) Sydow"
Goltzius and the Pelican Company,http://www.imdb.com/title/tt0419749/,Canada,1967,$16.3M,"Clarence Bright Norman Sykes Leyburn Tammy Blanchard, Morgan Spector",1.0,Matt Young (alias Aurore Brasco) Essex,Historical,Unknown,White,0.0,Male,"Lil Cornish Havilland Martin Kemp, Billie von Sydow"
