Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
ford galaxie 500,10.7,6,430.0,215,3192,13.0,1973-01-01,USA
amc matador (sw),16.7,7,422.0,113,3946,15.1,1973-01-01,USA
audi 5000,18.0,4,279.0,163,2299,16.6,1973-01-01,Europe
amc gremlin,13.3,7,169.0,58,4506,15.0,1973-01-01,USA
datsun 610,14.6,5,308.0,121,2465,12.9,1973-01-01,Japan
datsun 710,20.3,4,318.0,172,2232,21.3,1973-01-01,Japan
volkswagen rabbit l,13.6,4,159.0,76,1852,10.3,1973-01-01,Europe
ford gran torino (sw),23.5,7,91.0,172,2302,11.3,1973-01-01,USA
ford mustang ii,23.5,8,177.0,178,2275,14.1,1973-01-01,USA
datsun 210,17.3,3,205.0,223,1918,15.0,1973-01-01,Japan
fiat x1.9,23.4,4,412.0,226,1956,18.4,1973-01-01,Europe
dodge magnum xe,14.0,6,106.0,216,3871,17.9,1973-01-01,USA
mercedes-benz 280s,16.9,4,99.0,185,1868,20.8,1973-01-01,Europe
chrysler lebaron salon,23.0,7,130.0,77,2739,17.9,1974-01-01,USA
dodge aspen 6,18.3,4,199.0,62,3298,13.9,1974-01-01,USA
amc pacer d/l,26.5,7,157.0,62,3076,13.6,1974-01-01,USA
mercedes benz 300d,28.5,4,286.0,106,2015,13.1,1974-01-01,Europe
chevrolet nova,23.4,5,339.0,113,4066,14.5,1974-01-01,USA
datsun 310,28.8,5,220.0,139,2018,24.8,1974-01-01,Japan
datsun b210,22.1,4,164.0,98,2303,16.7,1974-01-01,Japan
buick century limited,19.9,5,281.0,148,3145,10.6,1974-01-01,USA
chevrolet chevelle malibu classic,32.0,5,291.0,106,4162,15.8,1974-01-01,USA
dodge st. regis,16.1,7,82.0,106,2977,18.2,1974-01-01,USA
dodge omni,22.6,6,145.0,128,3416,16.9,1974-01-01,USA
amc hornet,23.3,5,199.0,97,4473,16.6,1974-01-01,USA
amc matador (sw),31.0,6,152.0,63,1613,15.8,1974-01-01,USA
datsun 200-sx,24.3,4,250.0,143,2086,20.1,1974-01-01,Japan
buick skylark limited,30.3,8,181.0,105,4313,13.0,1974-01-01,USA
buick estate wagon (sw),23.1,5,146.0,116,4347,15.4,1974-01-01,USA
chrysler new yorker brougham,18.7,8,220.0,142,3731,12.7,1974-01-01,USA
ford torino 500,14.0,7,216.0,61,2779,15.3,1974-01-01,USA
plymouth satellite custom,24.5,6,251.0,130,3383,11.2,1974-01-01,USA
toyota corolla 1200,29.3,4,262.0,65,2707,14.4,1974-01-01,Japan
plymouth duster,27.1,5,236.0,67,2080,12.4,1974-01-01,USA
pontiac grand prix lj,17.3,7,293.0,100,3176,19.9,1974-01-01,USA
ford gran torino,29.4,5,212.0,75,3200,19.8,1974-01-01,USA
plymouth volare custom,25.0,5,150.0,79,2489,12.7,1974-01-01,USA
toyota celica gt liftback,27.4,3,292.0,121,2055,15.2,1974-01-01,Japan
mazda rx-7 gs,15.0,4,235.0,136,2311,20.3,1974-01-01,Japan
buick skyhawk,26.0,4,213.0,116,4762,14.7,1974-01-01,USA
saab 99e,26.0,4,286.0,149,2748,17.2,1975-01-01,Europe
ford pinto,15.1,8,363.0,87,2938,13.8,1975-01-01,USA
mercedes benz 300d,17.4,4,327.0,93,2575,15.1,1975-01-01,Europe
toyota celica gt,20.3,4,182.0,130,2286,14.7,1975-01-01,Japan
amc concord,21.6,5,225.0,141,3966,22.0,1975-01-01,USA
bmw 2002,29.5,4,346.0,75,2573,8.6,1975-01-01,Europe
plymouth satellite,14.2,6,179.0,79,2989,21.1,1975-01-01,USA
datsun 310,23.9,4,182.0,60,1748,16.5,1975-01-01,Japan
volkswagen type 3,18.9,4,398.0,122,2457,15.4,1975-01-01,Europe
vw rabbit,20.8,4,268.0,90,1831,15.6,1975-01-01,Europe
toyota corona,20.3,4,257.0,128,2877,18.7,1975-01-01,Japan
toyouta corona mark ii (sw),21.2,4,295.0,83,2085,12.3,1975-01-01,Japan
honda civic cvcc,24.0,4,192.0,117,2317,15.6,1975-01-01,Japan
ford fairmont (man),20.7,7,187.0,147,3034,13.9,1975-01-01,USA
honda Accelerationord cvcc,23.9,4,244.0,77,2717,14.2,1975-01-01,Japan
pontiac sunbird coupe,16.9,7,142.0,147,4185,13.6,1975-01-01,USA
toyota corona liftback,,3,323.0,113,2102,12.6,1975-01-01,Japan
toyota corolla 1200,23.5,4,292.0,77,1757,10.5,1975-01-01,Japan
dodge dart custom,25.1,7,250.0,110,4616,15.2,1975-01-01,USA
chevrolet impala,15.7,6,262.0,205,3489,15.0,1975-01-01,USA
subaru,18.3,4,140.0,160,2049,10.5,1975-01-01,Japan
datsun 200-sx,18.5,4,288.0,97,1613,16.1,1975-01-01,Japan
buick skyhawk,18.1,7,234.0,95,4471,14.1,1975-01-01,USA
datsun 810 maxima,14.6,4,95.0,122,2112,13.5,1975-01-01,Japan
buick skyhawk,14.9,6,138.0,108,2674,17.9,1975-01-01,USA
vw rabbit custom,17.3,4,381.0,71,2671,18.1,1975-01-01,Europe
peugeot 504 (sw),18.2,4,238.0,127,2145,15.5,1975-01-01,Europe
oldsmobile cutlass salon brougham,16.5,5,122.0,79,3868,15.3,1975-01-01,USA
subaru,17.6,4,255.0,64,1976,16.9,1975-01-01,Japan
chrysler lebaron town @ country (sw),16.3,4,364.0,82,3330,15.5,1975-01-01,USA
plymouth duster,27.1,5,117.0,112,4087,15.2,1976-01-01,USA
nissan stanza xe,24.2,4,341.0,144,2418,15.6,1976-01-01,Japan
dodge monaco brougham,30.1,5,257.0,106,3171,16.4,1976-01-01,USA
plymouth satellite custom (sw),26.3,5,160.0,100,3667,18.8,1976-01-01,USA
datsun b-210,24.3,4,321.0,95,2289,17.9,1976-01-01,Japan
chevrolet cavalier 2-door,31.5,6,116.0,111,2030,14.3,1976-01-01,USA
audi fox,15.6,4,139.0,96,2441,17.4,1976-01-01,Europe
mercury zephyr,20.2,5,307.0,124,3277,14.5,1976-01-01,USA
plymouth valiant,19.8,5,109.0,86,3095,16.5,1976-01-01,USA
ford escort 2h,19.4,5,184.0,46,2190,22.7,1976-01-01,USA
volkswagen dasher,14.3,4,325.0,103,1903,14.6,1976-01-01,Europe
chevrolet monte carlo s,29.1,6,283.0,83,1711,19.2,1976-01-01,USA
plymouth satellite,29.7,5,183.0,86,2286,12.0,1976-01-01,USA
mazda rx2 coupe,31.0,4,167.0,74,2094,15.1,1976-01-01,Japan
volkswagen rabbit,23.1,4,141.0,77,2221,18.5,1976-01-01,Europe
dodge diplomat,24.7,7,243.0,115,3175,14.8,1976-01-01,USA
chevrolet chevelle malibu classic,21.3,6,311.0,182,3329,22.0,1976-01-01,USA
plymouth arrow gs,14.6,5,229.0,97,4131,15.3,1976-01-01,USA
amc gremlin,26.1,6,131.0,114,4279,17.3,1976-01-01,USA
datsun 710,31.1,4,100.0,117,1982,20.3,1976-01-01,Japan
amc spirit dl,16.6,6,312.0,90,3610,12.5,1976-01-01,USA
datsun 280-zx,16.4,4,249.0,113,1889,16.3,1976-01-01,Japan
subaru dl,23.5,5,229.0,89,2312,17.2,1976-01-01,Japan
chevrolet malibu,15.8,6,198.0,154,3196,14.9,1976-01-01,USA
ford galaxie 500,32.2,5,265.0,90,4409,17.1,1976-01-01,USA
honda civic 1300,29.4,4,308.0,136,1945,13.9,1976-01-01,Japan
honda civic,23.5,4,119.0,103,2292,16.2,1976-01-01,Japan
oldsmobile omega,32.9,8,148.0,125,2266,15.7,1976-01-01,USA
datsun b210 gx,16.6,4,134.0,72,2398,13.4,1976-01-01,Japan
ford pinto,15.6,7,148.0,64,2885,13.0,1976-01-01,USA
audi 4000,30.2,4,89.0,78,2074,17.8,1976-01-01,Europe
renault lecar deluxe,21.7,4,228.0,91,1862,13.2,1976-01-01,Europe
ford escort 4w,22.7,6,251.0,86,4533,13.9,1976-01-01,USA
chevrolet malibu,26.6,6,111.0,138,2092,13.3,1976-01-01,USA
ford mustang cobra,18.8,7,274.0,69,3973,16.3,1976-01-01,USA
volvo 264gl,24.2,4,146.0,80,2645,14.4,1976-01-01,Europe
ford pinto,26.0,4,126.0,99,3363,18.9,1976-01-01,USA
toyota corona hardtop,22.5,4,387.0,116,2333,16.5,1977-01-01,Japan
dodge magnum xe,33.3,5,219.0,106,2252,14.6,1977-01-01,USA
plymouth satellite custom,27.2,7,156.0,49,3843,14.4,1977-01-01,USA
fiat 131,35.4,4,328.0,149,2083,15.2,1977-01-01,Europe
cadillac eldorado,28.3,7,332.0,83,4423,15.4,1977-01-01,USA
fiat 124b,34.4,4,265.0,85,4386,13.3,1977-01-01,Europe
ford gran torino,15.9,7,326.0,69,2502,17.1,1977-01-01,USA
oldsmobile cutlass salon brougham,28.1,5,242.0,119,3198,14.7,1977-01-01,USA
renault 12tl,22.2,4,178.0,96,1899,16.1,1977-01-01,Europe
volvo 245,16.9,4,158.0,90,2649,14.5,1977-01-01,Europe
plymouth duster,29.7,5,115.0,99,2181,13.5,1977-01-01,USA
pontiac j2000 se hatchback,23.9,4,318.0,46,4448,15.8,1977-01-01,USA
toyota corolla,19.8,5,158.0,117,2484,13.1,1977-01-01,Japan
dodge d100,19.4,8,325.0,105,2617,17.0,1977-01-01,USA
chevrolet vega,18.6,8,215.0,132,2983,16.7,1977-01-01,USA
chevrolet citation,33.7,4,81.0,91,3973,16.0,1977-01-01,USA
datsun 210,26.9,5,217.0,96,2163,17.4,1977-01-01,Japan
buick skyhawk,15.3,5,354.0,138,3522,13.8,1977-01-01,USA
chrysler lebaron salon,22.2,5,94.0,92,2287,17.7,1977-01-01,USA
chevrolet citation,25.5,5,82.0,72,1778,14.7,1977-01-01,USA
vw rabbit,18.4,4,380.0,83,2028,8.7,1977-01-01,Europe
plymouth fury gran sedan,23.2,4,385.0,141,3132,16.2,1977-01-01,USA
renault 18i,35.6,4,386.0,112,1840,17.3,1977-01-01,Europe
dodge colt,33.9,6,298.0,110,4023,18.5,1977-01-01,USA
volkswagen dasher,23.9,4,98.0,138,2281,17.2,1977-01-01,Europe
honda civic,22.3,4,81.0,114,1817,19.1,1977-01-01,Japan
datsun 310 gx,16.7,5,317.0,76,1816,19.3,1977-01-01,Japan
chevrolet cavalier 2-door,24.2,6,384.0,179,3157,16.1,1977-01-01,USA
ford granada l,23.4,6,160.0,121,3610,12.9,1977-01-01,USA
buick skylark,23.8,7,122.0,72,2351,14.2,1977-01-01,USA
ford galaxie 500,36.0,8,233.0,107,3191,19.2,1977-01-01,USA
amc matador,28.3,4,262.0,74,3452,16.9,1977-01-01,USA
plymouth reliant,34.1,5,119.0,51,4573,16.9,1977-01-01,USA
vw pickup,39.7,4,275.0,58,3035,18.1,1978-01-01,Europe
mercury capri 2000,19.8,4,231.0,134,2443,13.5,1978-01-01,USA
chevrolet monza 2+2,18.3,8,138.0,80,4328,12.4,1978-01-01,USA
toyota corona,19.7,4,120.0,74,2274,19.4,1978-01-01,Japan
toyota corolla,17.0,5,265.0,61,1623,17.6,1978-01-01,Japan
volvo 245,16.5,4,159.0,136,2378,15.6,1978-01-01,Europe
plymouth horizon,21.8,6,151.0,122,3059,16.0,1978-01-01,USA
volkswagen rabbit custom diesel,46.6,4,310.0,85,1923,15.4,1978-01-01,Europe
mercedes-benz 280s,46.6,4,255.0,90,1859,16.4,1978-01-01,Europe
oldsmobile cutlass ciera (diesel),22.1,8,223.0,98,3224,17.8,1978-01-01,USA
datsun 1200,16.4,3,214.0,149,1892,20.7,1978-01-01,Japan
chevy c10,29.7,4,129.0,109,4327,16.8,1978-01-01,USA
mercury marquis brougham,16.3,6,222.0,111,3019,12.6,1978-01-01,USA
dodge charger 2.2,27.2,5,304.0,99,2961,14.4,1978-01-01,USA
peugeot 304,16.8,4,165.0,54,2178,20.2,1978-01-01,Europe
toyota corona liftback,17.9,5,121.0,71,1974,19.3,1978-01-01,Japan
volkswagen rabbit custom,27.4,4,124.0,68,2383,16.1,1978-01-01,Europe
dodge magnum xe,23.7,5,315.0,132,3630,15.0,1978-01-01,USA
ford gran torino (sw),23.8,6,243.0,68,3047,15.8,1978-01-01,USA
buick century,17.2,6,84.0,80,3833,14.0,1978-01-01,USA
ford gran torino,18.5,6,257.0,112,3394,18.9,1978-01-01,USA
amc pacer d/l,46.6,5,145.0,96,3433,16.6,1978-01-01,USA
plymouth valiant,27.3,6,95.0,109,2778,14.4,1978-01-01,USA
dodge colt,17.6,8,126.0,94,3518,16.9,1978-01-01,USA
plymouth fury,16.3,6,284.0,98,3067,15.1,1978-01-01,USA
chrysler newport royal,20.8,5,123.0,128,4014,14.2,1978-01-01,USA
ford gran torino (sw),17.2,7,135.0,124,3800,13.6,1978-01-01,USA
amc hornet,17.7,5,314.0,59,3330,15.6,1978-01-01,USA
amc ambassador sst,32.6,6,310.0,115,1613,13.7,1978-01-01,USA
subaru dl,35.8,4,232.0,72,1798,12.7,1978-01-01,Japan
amc hornet,20.0,4,310.0,109,4516,13.8,1978-01-01,USA
subaru dl,25.7,4,180.0,75,2176,17.2,1978-01-01,Japan
pontiac safari (sw),18.6,7,97.0,63,3217,18.6,1978-01-01,USA
plymouth valiant custom,30.3,6,219.0,67,1613,12.6,1978-01-01,USA
datsun 280-zx,27.6,4,95.0,49,2098,14.1,1978-01-01,Japan
dodge challenger se,46.6,7,198.0,82,1613,18.1,1978-01-01,USA
ford gran torino,40.6,8,308.0,98,3498,13.0,1978-01-01,USA
ford fairmont (man),24.2,5,183.0,139,4130,12.8,1979-01-01,USA
chevrolet nova,34.8,5,331.0,,3070,11.5,1979-01-01,USA
dodge rampage,16.8,4,205.0,74,2735,12.3,1979-01-01,USA
chevrolet caprice classic,32.8,6,88.0,145,3849,14.9,1979-01-01,USA
chevrolet chevelle malibu,19.4,4,260.0,,2521,17.8,1979-01-01,USA
amc gremlin,22.6,7,254.0,146,1732,14.3,1979-01-01,USA
chevrolet nova custom,36.4,7,269.0,130,3380,11.1,1979-01-01,USA
datsun 310,33.7,3,124.0,141,1773,20.3,1979-01-01,Japan
plymouth 'cuda 340,17.7,5,327.0,89,3916,19.3,1979-01-01,USA
chevrolet cavalier 2-door,27.6,4,192.0,94,2679,15.9,1979-01-01,USA
honda Accelerationord,27.4,5,141.0,73,2419,14.4,1979-01-01,Japan
dodge monaco (sw),18.7,6,327.0,116,1748,12.3,1979-01-01,USA
ford fairmont futura,19.2,6,251.0,,2589,13.9,1979-01-01,USA
dodge aspen,22.0,6,153.0,132,3510,14.5,1979-01-01,USA
toyota corona mark ii,21.0,5,235.0,115,2411,11.5,1979-01-01,Japan
plymouth 'cuda 340,19.6,6,229.0,109,2611,19.2,1979-01-01,USA
datsun 200-sx,36.1,5,136.0,128,1613,14.9,1979-01-01,Japan
amc gremlin,35.4,7,111.0,137,3109,16.5,1979-01-01,USA
chevrolet caprice classic,30.7,4,230.0,153,3590,12.3,1979-01-01,USA
mazda glc,32.3,4,348.0,100,2106,15.5,1979-01-01,Japan
pontiac sunbird coupe,22.1,7,282.0,140,4221,14.6,1979-01-01,USA
fiat x1.9,18.1,4,245.0,81,2240,14.3,1979-01-01,Europe
chevrolet nova,34.3,5,156.0,134,4125,14.6,1979-01-01,USA
chevrolet woody,21.7,6,270.0,153,2346,15.4,1979-01-01,USA
amc pacer,31.0,4,254.0,102,3826,13.9,1979-01-01,USA
volkswagen rabbit custom,42.7,4,76.0,93,3586,20.4,1980-01-01,Europe
mercury monarch ghia,35.8,6,131.0,58,2456,15.9,1980-01-01,USA
buick estate wagon (sw),34.3,5,151.0,79,3420,12.2,1980-01-01,USA
datsun 1200,31.0,4,85.0,51,2544,18.3,1980-01-01,Japan
dodge d200,30.8,6,129.0,71,2902,15.6,1980-01-01,USA
volkswagen rabbit custom,19.8,4,122.0,134,3327,17.4,1980-01-01,Europe
honda prelude,26.4,4,150.0,60,2888,16.8,1980-01-01,Japan
renault 12 (sw),37.1,4,113.0,59,2343,16.2,1980-01-01,Europe
renault lecar deluxe,27.8,4,80.0,69,2555,14.4,1980-01-01,Europe
pontiac phoenix lj,27.1,8,126.0,71,3678,18.1,1980-01-01,USA
toyouta corona mark ii (sw),42.9,4,94.0,59,2070,21.1,1980-01-01,Japan
ford f108,20.8,6,101.0,82,4821,14.3,1980-01-01,USA
ford maverick,40.2,8,112.0,80,3163,18.2,1980-01-01,USA
pontiac sunbird coupe,43.1,6,133.0,63,2510,17.7,1980-01-01,USA
mercedes-benz 240d,34.5,4,144.0,59,2614,22.0,1980-01-01,Europe
volkswagen model 111,27.6,4,96.0,90,2160,15.7,1980-01-01,Europe
dodge colt hatchback custom,35.6,7,68.0,50,3471,15.6,1980-01-01,USA
honda civic,22.2,4,80.0,81,2069,16.3,1980-01-01,Japan
pontiac catalina brougham,32.1,5,88.0,61,3867,15.0,1980-01-01,USA
dodge aspen,45.9,6,75.0,75,3474,16.4,1980-01-01,USA
mazda glc custom l,22.2,5,68.0,131,2462,12.8,1980-01-01,Japan
saab 99le,21.0,4,113.0,76,1922,21.1,1980-01-01,Europe
amc concord,22.2,6,111.0,85,3738,19.5,1980-01-01,USA
peugeot 304,29.6,4,74.0,60,1856,16.7,1980-01-01,Europe
toyota corolla 1200,32.5,4,111.0,75,2425,13.7,1980-01-01,Japan
volkswagen model 111,19.1,4,74.0,69,1843,10.3,1980-01-01,Europe
volkswagen type 3,38.4,4,119.0,86,1881,16.9,1980-01-01,Europe
ford thunderbird,46.2,5,129.0,68,4110,15.6,1980-01-01,USA
honda civic 1500 gl,42.2,5,93.0,74,2675,16.2,1980-01-01,Japan
ford gran torino,29.3,5,142.0,78,4617,12.8,1980-01-01,USA
mercury marquis,37.2,6,84.0,97,4372,14.3,1980-01-01,USA
volkswagen 1131 deluxe sedan,33.5,4,336.0,71,2573,18.5,1982-01-01,Europe
chevrolet camaro,29.9,5,274.0,96,2927,11.0,1982-01-01,USA
ford ltd,35.7,6,83.0,73,4332,15.1,1982-01-01,USA
amc rebel sst,29.1,5,84.0,80,3210,14.7,1982-01-01,USA
saab 99le,23.9,5,94.0,83,1871,14.0,1982-01-01,Europe
buick skylark 320,19.4,5,206.0,82,3389,17.1,1982-01-01,USA
dodge challenger se,30.5,6,403.0,70,3836,11.9,1982-01-01,USA
pontiac firebird,30.3,5,81.0,60,2243,13.8,1982-01-01,USA
chevrolet chevelle concours (sw),31.2,5,100.0,76,2980,13.0,1982-01-01,USA
mercury zephyr 6,,7,129.0,109,2368,14.5,1982-01-01,USA
plymouth horizon,25.4,5,80.0,70,3250,17.2,1982-01-01,USA
ford fairmont futura,38.1,6,89.0,67,2039,16.9,1982-01-01,USA
amc concord dl,30.0,5,87.0,83,4192,14.7,1982-01-01,USA
volkswagen 1131 deluxe sedan,33.9,4,102.0,68,3909,17.0,1982-01-01,Europe
amc spirit dl,32.3,4,101.0,84,4387,14.5,1982-01-01,USA
buick century limited,33.6,7,112.0,74,3037,18.3,1982-01-01,USA
oldsmobile cutlass salon brougham,31.2,6,81.0,71,4020,16.1,1982-01-01,USA
mercury monarch ghia,40.0,5,96.0,97,2911,13.9,1982-01-01,USA
chevrolet vega,36.6,8,109.0,66,3667,18.3,1982-01-01,USA
amc matador,30.1,5,100.0,90,3274,19.7,1982-01-01,USA
ford pinto runabout,29.0,8,455.0,90,3247,15.2,1982-01-01,USA
ford torino,36.6,6,86.0,76,3138,16.7,1982-01-01,USA
ford pinto (sw),29.9,6,138.0,87,3286,13.9,1982-01-01,USA
ford torino 500,42.5,5,124.0,66,3295,17.7,1982-01-01,USA
amc concord,29.6,4,86.0,69,4209,14.3,1982-01-01,USA
dodge aspen se,27.5,4,81.0,99,2882,20.8,1982-01-01,USA
volkswagen rabbit,41.4,4,84.0,84,2014,18.7,1982-01-01,Europe
pontiac grand prix lj,29.1,6,174.0,116,4155,15.0,1982-01-01,USA
toyota corona liftback,37.5,4,91.0,78,1720,14.7,1982-01-01,Japan
