answer,question
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",where does the movie steel magnolias take place
"[""Welton Academy""]",how many seasons is there of friday night lights
"[""Sarabi""]",brand ambassador of beti bachao beti padhao haryana
"[""July 16, 2017""]",who was the lead architect that designed the world trade center and when was he born
"[""Mexico"",""Soviet Union""]",where does the euphrates river begin and end
"[""Saleisha Stowers""]",who is the leader of the others in lost
"[""Lacey Turner""]",what actor played dave in alvin and the chipmunks
"[""1980""]",what is the costliest natural disaster in us history
"[""Machilipatnam""]",who sang these boots were made for walking first
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",what is the circular mil area of 12 awg
"[""China""]",who was considered the leading comedic writer during the new comedy era in greece
"[""Monasteries"",""wealthy individuals"",""rulers""]",what are other names for high fructose corn syrup
"[""Parafollicular cells""]",who were the first man to create apple computer
"[""1982""]",what was the front line trench in ww1
"[""Greek""]",in what episode does jane die breaking bad
"[""35""]",how many types of finch species are there
"[""unknown""]",n 2013 the supreme court struck down which part of the 1965 voting rights act
"[""179""]",what is the name for ancient egyptian writing
"[""North Korea""]",who constructed the suez canal and when was it finished
"[""Eagles""]",who starred in breakfast at tiffany's 1961
"[""1900""]",what degree do you get out of medical school
"[""E. M. Forster""]",stars on the main sequence produce energy by fusing hydrogen into
"[""1980""]",who plays davey jones in pirates of the carribean
"[""2018""]",how many pages are in the short second life of bree tanner
"[""a compulsory governmental insurance system""]",when is the next bendy and the ink machine coming out
"[""2002""]",who invented the flip top for soda cans
"[""in 2018""]",when did the national industrial recovery act end
"[""Monasteries"",""wealthy individuals"",""rulers""]",which city is known as the grasse of east in uttar pradesh
"[""to perceive linear acceleration""]",who is featured in father stretch my hands
"[""December 2003""]",when did the cult of chucky come out on netflix
"[""Amanda Shiflett""]",who did the saints beat in the super bowl
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when did billy elliot the musical come out
"[""1988""]",where does the tap water in london come from
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",where is the painting whistler's mother located
"[""March 15, 2013""]",which phase of healing begins about 3 weeks after injury
"[""1974""]",where do the san francisco giants play baseball
"[""18""]",who is crowned king of scotland at the end of macbeth
"[""12""]",when was statue of liberty brought to us
"[""four""]",what episode of bunk'd is tiffany's mom in
"[""1890""]",when was iisc named to its current name
"[""King Edward Peak""]",ancient greek galley having three banks of oars on each side
"[""March 27, 2018""]",who is the hawaiian god of the sea
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",what is the removal of the fallopian tubes and ovaries
"[""Queen's Park""]",where is the source address located in an ipv4 header
"[""eastward, in prograde motion""]",what is l's real name from death note
"[""2–4 years""]",who does the voice of erica in hotel transylvania 3
"[""produces a lubricating mucus""]",who was the first person to be buried at arlington national cemetery
"[""pyramidion""]",who does the director of fema report to
"[""12""]",who is the girl in how you remind me
"[""Edwin Hubble""]",who was the highest-ranking black officer in the u.s. army at the beginning of the first world war
"[""122""]",how many olympic metals did johnny weir win
"[""Barbicide""]",what is the name of the compound with the formula ba(ch3coo)2
"[""Jason Michael Lee""]",when was the last time la hosted the olympics
"[""Monasteries"",""wealthy individuals"",""rulers""]",who coined the phrase manifest destiny and what does it mean
"[""Calcium ions""]",when did the first dodge charger come out
"[""Season 4, Episode 8""]",where is the long island railroad in jamaica
"[""rose window""]",who was known as the mad king of france
"[""Eagles""]",how many subs can you make in rugby union
"[""Machilipatnam""]",when did man in the mirror come out
"[""Phillip Alford""]",who played private ryan in the action film saving private ryan
"[""produces a lubricating mucus""]",what is snake's name in jungle book
"[""South Side, Chicago""]",when did the ottoman empire drop out of ww1
"[""9""]",who plays molly in big momma house 2
"[""2000""]",ignorance of the law excuses no one in latin
"[""2015""]",where does the captain sit on a cruise ship
"[""2000""]",who was the shortest president and how tall was he
"[""2010""]",what were the two main causes of the dust bowl
"[""1984""]",who was the first king in game of thrones
"[""Niagara River""]",when does season 15 of top chef start
"[""Australia""]",who sang until you come back to me
"[""1943""]",who is the number one ranked chess player
"[""Sarabi""]",who's the guy that does the dr. pepper commercials
"[""1974""]",who was heading indian army during bangladesh libration war 1971
"[""2018""]",what global prevailing winds move from the east to the west along the equator
"[""July 16, 2017""]",when did the orioles win the world series
"[""2017""]",when is the next episode of summer camp island
"[""Guaranteed Rate Field""]",who became ceo of it company vipro in 2016
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who plays dwight's brother in the office
"[""1967""]",how many innings are there in the world series
"[""John O'Banion""]",what is the wall street journal prime rate as of today
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who plays randall's mom on if loving you is wrong
"[""rose window""]",when does girlfriends guide to divorce season 3 start
"[""V8 engine""]",which is the characteristic of a line width depth color length
"[""Phillip Alford""]",when was the last time the death penalty was used in the us
"[""West Bengal""]",when does ripper street start on bbc 2
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",actress who played alice on the brady bunch
"[""Clemson\n1""]",who plays madelines daughter in big little lies
"[""Saleisha Stowers""]",who began the mass printing of bibles five centuries ago
"[""1998""]",who slew the philistines with a donkey jawbone
"[""Lionel Messi""]",who did the french fight in the french and indian war
"[""Abigail Rokison-Woodall""]",who won the men's singles at the 2017 french open
"[""the Cambrian explosion""]",who plays eustace in voyage of the dawn treader
"[""1988""]",what was the capital of north vietnam in the mid 1950s
"[""In 1995""]",when did they break out of prison in prison break
"[""Anil Kumar Jha""]",when is a new episode of dynasty coming out
"[""1988""]",who is presenting national film awards in india
"[""August 17, 2018""]",what person has the most subscribers on youtube
"[""US$500""]",who won the great british bake off 2011
"[""Jason Michael Lee""]",who wrote love will keep us alive by the eagles
"[""George Casper Homans""]",who plays the king of the hill theme song
"[""originally from the Greek""]",who sings beasts song in beauty and the beast
"[""Over 2,500""]",who plays the flash on the tv series
"[""July 16, 2017""]",a(n) is a molecule that can bind to an enzyme and prevent the enzyme from working
"[""ground state""]",who wrote the greatest love of all whitney houston
"[""1974""]",who stole a baby in shameless season 1
"[""35""]",how many world cup appearances does germany have
"[""Dev"",""Devin Star Tailes""]",bruno the boy in the striped pajamas actor
"[""1974""]",large island part of north america but belongs to europe
"[""Niagara River""]",humko tumse pyaar hai jiya bekarar hai actress
"[""1982""]",who has the most rbi's in one game
"[""Marvin Gaye""]",when was the last time a draft was used
"[""Elstree Studios""]",when does the nun come out in theaters
"[""Jason Michael Lee""]",what canadian network is a million little things on
"[""1974""]",who is showing la liga 2018/19 on tv
"[""Sachin Tendulkar""]",who wrote east of the sun west of the moon
"[""E. M. Forster""]",who is the teacher in boy meets world
"[""August 27, 2017""]",who sang lead vocals on don't look back in anger
"[""2017""]",what is the island that moana lives on called
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who played josie in the movie wyatt earp
"[""Spanish""]",who played lead guitar on sweet home alabama
"[""18""]",when did recreational pot become legal in california
"[""17""]",when is the last time man city lost
"[""produces a lubricating mucus""]",when did buffy the vampire slayer come out
"[""Venus""]",when was the right to information act implemented
"[""Meredith Willson""]",who sings in hercules i can go the distance
"[""2–4 years""]",when was the lost colony of roanoke founded
"[""Billie Jean King""]",when is the new mary poppins movie released
"[""eastward, in prograde motion""]",who fights in the battle of the bastards
"[""Sachin Tendulkar""]",who is the girl that plays haley in modern family
"[""Marvin Gaye""]",when was the new giant species of spitting cobra found in kenya
"[""Saddam Hussein""]",what are the names of the two hills that the pilgrims visit
"[""ice caps""]",the sustainable development goals (sdgs) were adopted by the un general assembly in
"[""PewDiePie""]",i founded psychoanalysis and the theory of psychodynamic thinking
"[""42""]",when did the wonderful world of disney air
"[""18""]",who sings i've got too much time on my hands
"[""produces a lubricating mucus""]",who used the sherman antitrust act to dissolve the monopoly of the northern securities company
"[""1960""]",diapsids dominated the terrestrial landscape for the first time following which event
"[""six""]",when is you get me coming out on netflix
"[""produces a lubricating mucus""]",who owns rehabilitation center at hollywood hills llc
"[""Tuticorin (Thoothukudi)""]",in the pre-columbian era what were the only domesticated beasts of burden in the americas
"[""1920 to 1933""]",who wrote screenplay for a wrinkle in time
"[""New York Yankees""]",what is the state tax in puerto rico
"[""PewDiePie""]",who wrote the score for avengers infinity war
"[""August 17, 2018""]",when did they start to build the great wall of china
"[""Welton Academy""]",when was the last time the generals beat the globetrotters
"[""Machilipatnam""]",when does marvel's agents of shield return season 5
"[""Jimmy Cliff""]",ms office 2000 was developed by which company
"[""12""]",when did the lead singer of boston die
"[""2010""]",when was laika the dog sent into space
"[""Lacey Turner""]",who killed katie in the movie mystic river
"[""1982""]",what awards did the things they carried win
"[""George Casper Homans""]",who composed the music for saving private ryan
"[""17""]",where does the series twin peaks take place
"[""1974""]",where does slate come from in the uk
"[""August 17, 2018""]",family guy stewie and brian start a band
"[""1981""]",when did west ham last win the premier league
"[""Greek""]",what was the room number in the shining
"[""University of South Carolina""]",who won the big ten basketball championship this year
"[""Carole King""]",why are the reactions of the calvin cycle called light-independent reactions
"[""Venus""]",fetal alcohol syndrome is caused by exposure to a(n)
"[""2009""]",hwang bo ra di fight for my way
"[""1890""]",who was the king of tripura during the revolt of 1857
"[""Venus""]",who is the bad wizard in lord of the rings
"[""1981""]",where did the orlando magic used to play
"[""St. Louis Cardinals"",""San Francisco Giants""]",when was the immigration reform and control act passed
"[""six""]",who is the actress that plays the dragon queen on game of thrones
"[""Anil Kumar Jha""]",what is the standard rate of tax in ireland
"[""Amanda Shiflett""]",when did steph curry win his first ring
"[""Jesse Donald Knotts""]",question 2 of 5 who is the author of the harry potter series
"[""1890""]",population of jammu and kashmir according to 2011 census
"[""Sarabi""]",who has the most wins in the pga tour
"[""1962""]",who played herman munster's wife on the munsters
"[""Tuticorin (Thoothukudi)""]",what season does izzie stevens leave grey's anatomy
"[""West Bengal""]",who played the thin man in the movies
"[""centroid""]",what year did the disney vacation club start
"[""Atlanta–Fulton County Stadium""]",where does the last name zacarias come from
"[""John von Neumann""]",the first known european to set foot on north america was
"[""John von Neumann""]",when is the feast of our lady of the rosary celebrated
"[""April 1, 1999""]",how many countries are members of world health organization
"[""January 11, 1970""]",who is the head of government in morocco
"[""Spectre""]",what is the genre of series of unfortunate events
"[""Ryan Guzman""]",who votes in pa special election march 13
"[""December 15, 2017""]",who was the president that served 3 terms
"[""35""]",who are the actresses in thelma and louise
"[""E. M. Forster""]",what is the population of oak ridge tn
"[""December 2003""]",who has played jack abbott on the young and the restless
"[""12""]",when did the christian fish symbol come from
"[""1943""]",when did the tenth doctor regenerate into himself
"[""Clemson\n1""]",who won the last open at st andrews
"[""1950""]",who plays the voice of the dad in moana
"[""Sachin Tendulkar""]",when does callie torres first appear on grey's anatomy
"[""March 25, 2011""]",who does patrick stewart play in star trek
"[""Queen's Park""]",what was the name of the projects in good times
"[""12""]",when did the samsung s7 edge come out
"[""Prince Phillip""]",how many episodes of the handmaid's tale in season one
"[""Saleisha Stowers""]",what kind of joint is the si joint
"[""eastward, in prograde motion""]",who sings you say it best when you say nothing at all
"[""71%""]",how many episodes are there in when calls the heart season 3
"[""1900""]",when is the last time yankees won world series
"[""2017""]",who played andy sipowicz son on nypd blue
"[""March 27, 2018""]",what part did johnny galecki play in christmas vacation
"[""35""]",which political party was created by thomas jefferson which promoted a more limited government
"[""Ryan Guzman""]",who is the new york yankees hitting coach
"[""Christopher Robert Evans""]",who played mercutio in romeo and juliet 1996
"[""Australia""]",what number was new york to join the union
"[""PewDiePie""]",who owned the louisiana territory before the united states
"[""A concerto""]",all in all azhagu raja movie actress name
"[""San Antonio""]",how many bones are in your little toe
"[""January 11, 1970""]",where are the gifts of the spirit found in the bible
"[""Marvin Gaye""]",what kind of dog is from the little rascals
"[""Lacey Turner""]",what are the four parts of disney world
"[""Pom Klementieff""]",who was president when we walked on the moon
"[""March 9, 2018""]",during the middle ages who was most likely to own a manuscript or book
"[""State governments""]",who sang a heart is a house for love
"[""Meredith Willson""]",what year did seat belts come out in australia
"[""1980""]",where is the house in the movie belly
"[""Eagles""]",who played zira on planet of the apes
"[""Barbicide""]",what are the top 5 languages spoken in the us
"[""1984""]",who has the most hat tricks in football
"[""Billie Jean King""]",when did the great white shark first appear
"[""1982""]",what are the dates for the tour de france 2018
"[""in 2018""]",when was beauty and the beast 2017 released
"[""US$500""]",who plays dina bergeron on the young and the restless
"[""3 to 8 days""]",who was considered the greatest greek warrior at the time of the trojan war
"[""eastward, in prograde motion""]",who was the first us president to be assassinated
"[""18""]",why were interest rates so high in 1990
"[""Constantine""]",the notion of basking in reflected glory was proposed by​
"[""King Edward Peak""]",who starred in the movie deep water horizon
"[""Jimmy Cliff""]",when does hold the dark come out on netflix
"[""centroid""]",the basic need associated with the third level of maslow's hierarchy of needs is
"[""Australia""]",who was the vikings starting quarterback in 1993
"[""a wild Pikachu""]",who claimed the french throne when there were no more capetians to rule
"[""March 9, 2018""]",which method of measuring time using time zones
"[""18 August 2011""]",who was the supposed divine father of theseus
"[""2017""]",who wrote the song dream on by aerosmith
"[""35""]",who resisted nationalism in the austrian empire in the 1800s
"[""Charles Young""]",who was 'man of the match' in india's 1983 world cup winning final
"[""Potassium chlorate""]",when was 3 point shot introduced in ncaa
"[""18""]",when do sorry to bother you come out
"[""March 27, 2018""]",who got married in think like a man 2
"[""1980""]",who was the first step pyramid built for
"[""10""]",who was involved in the war of jenkins ear
"[""unknown""]",when does star trek discovery season 2 start
"[""179""]",when was the last time baltimore had a republican mayor
"[""18 August 2011""]",how many episodes of counting on are there
"[""7""]",when did the first harry potter book get released
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",where does the movie great outdoors take place
"[""1967""]",who won the women's champions trophy 2017
"[""1984""]",what was the name of the dog of dennis the menace
"[""Miguel Cabrera""]",when does fifty shades of grey come out
"[""2000""]",when did blackburn rovers win the premier league
"[""Islamic prophet Muhammad""]",who wrote harry styles sign of the times lyrics
"[""Jimmy Cliff""]",who is the manager of hull city football club
"[""four""]",who is the starting quarter back for the 49ers
"[""Jimmy Cliff""]",when does season 7 once upon a time start
"[""17""]",cranial nerve ix is also known as which of the following
"[""18""]",who won the 2018 women's wimbledon final
"[""Spanish""]",who is in the leinster hurling final 2017
"[""King Edward Peak""]",when was the last time the new jersey devils made the playoffs
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",what is the actual street name of the strip in las vegas
"[""2017""]",n 2013 the supreme court struck down which part of the 1965 voting rights act
"[""March 9, 2018""]",who won first gold medal for india in asian game 2018
"[""Matthew Prokop""]",who wants to be a millionaire american winner
"[""six""]",what was one cause of the decline of the byzantine empire
"[""2015""]",who plays the voice of chip in beauty and the beast
"[""Dev"",""Devin Star Tailes""]",who plays dr smith lost in space 2018
"[""West Indies""]",who is the narrator in disappeared on id
"[""Phillip Alford""]",when did the queen became queen of england
"[""2018""]",where did the eagles quarterback play college football
"[""2012""]",when did korea break into north and south
"[""four""]",where is the movie peace love and misunderstanding filmed
"[""2018""]",who is the actor who plays the beast in beauty and the beast
"[""University of South Carolina""]",where do the ny yankees play home games
"[""A concerto""]",who wrote the song it's so hard to say goodbye
"[""George Casper Homans""]",where is james scott from days of our lives
"[""1920 to 1933""]",who produces the most hops in the world
"[""10""]",who played the guitar solo on midnight at the oasis
"[""Jimmy Cliff""]",how many rooms are in the gaylord texan
"[""2018""]",who wrote i put a spell on you lyrics
"[""1967""]",when did pretty fly for a white guy come out
"[""Prince Phillip""]",who said what's done is done in macbeth
"[""Gabrielle Haugh""]",who is the girl on lets make a deal
"[""1980""]",who did the voice of mack in cars
"[""Queen's Park""]",names of catholic priest in port harcourt diocese
"[""April 1, 1999""]",where do geysers and hot springs come from
"[""to perceive linear acceleration""]",who played samwise gamgee in the lord of the rings
"[""a compulsory governmental insurance system""]",who played the green girl in star trek
"[""Bella Dayne""]",what percentage of canada's economy is oil and gas
"[""12""]",who gave the concept of elasticity of demand
"[""Citytv""]",who has raced in the most f1 races
"[""2012""]",when did the chicago bears start playing at soldier field
"[""October 10, 2017""]",where are most substances absorbed into the blood
"[""Australia""]",how many laps are in the indy 500
"[""Charles Young""]",who wrote the byrds song turn turn turn
"[""Citytv""]",when did i'm a celebrity first start
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who has got the most followers in instagram
"[""Monasteries"",""wealthy individuals"",""rulers""]",who won the nba first sixth man award
"[""Niagara River""]",whats the clown's name in house of 1000 corpses
"[""13""]",who is the longest serving manager in premier league
"[""122""]",according to a 2017 hindi film title who did harry meet
"[""1900""]",who owns the palace hotel in new york city
"[""copper""]",when did buffy the vampire slayer come out
"[""Prince Phillip""]",at the end of act v who will be crowned as new king of scotland
"[""Pom Klementieff""]",when are new episodes of flash coming out
"[""1960""]",what is the botanical name of lady finger
"[""St. Louis Cardinals"",""San Francisco Giants""]",which is the characteristic of a line width depth color length
"[""the axon terminal""]",who is hope engaged to on days of our lives
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",when did the actor from lazy town die
"[""King Edward Peak""]",when does game of thrones season 7 come on hbo
"[""Marvin Gaye""]",when was the first roller skating rink opened
"[""1982""]",who has raced in the most f1 races
"[""six""]",what episode will the chimera ant arc end
"[""1984""]",when does the new beauty and the beast take place
"[""Zaira Wasim""]",who killed the burn victim in grey's anatomy
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who played the young tom riddle in harry potter
"[""West Bengal""]",who sings in the middle of the night
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who starred in night of the living dead
"[""1974""]",how much hp does a nitro funny car have
"[""Ryan ten Doeschate""]",who pays for the hollywood walk of fame stars
"[""Mars Bonfire""]",who wrote the song the boy is mine
"[""PewDiePie""]",who has won most academy awards for best actor
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who stated that there is an exchange of materials when two objects come into contact with each other
"[""St. Louis Cardinals"",""San Francisco Giants""]",who owns the d hotel in las vegas
"[""Tuticorin (Thoothukudi)""]",who played freddy krueger on nightmare on elm street
"[""2012""]",voice of tiana's mother in princess and the frog
"[""Miguel Cabrera""]",what is the biggest lakes in the world
"[""2018""]",what type of pathogen causes ergot of rye
"[""PewDiePie""]",what channel is the weather channel.on direct tv
"[""in 2018""]",when do the afl semi finals start 2018
"[""August 17, 2018""]",when did the first disney incredibles come out
"[""West Bengal""]",when does how to train your dragon 3 come out on netflix
"[""John O'Banion""]",where were the commonwealth games held in 2014
"[""Clemson\n1""]",how old is telemachus at the start of the odyssey
"[""18 August 2011""]",when did astros last go to world series
"[""2018""]",when did the philadelphia eagles last win the super bowl
"[""pyramidion""]",who sang it's a mad world original
"[""12""]",a memorial commemorating the landing of the 1820 settlers
"[""December 2003""]",where should a person in the heat escape lessening position
"[""Clayton Moore""]",who played anne neville in the white queen
"[""1920 to 1933""]",what breed of dog was in little rascals
"[""2017""]",when was the big 5 personality test created
"[""April 1, 1999""]",who starred in lost and the vampire diaries
"[""1967""]",who is playing the role of wonder woman
"[""redox reactions""]",who was the first person found not guilty by reason of insanity
"[""71%""]",who plays charlie on the bold and beautiful
"[""Welton Academy""]",tailed bacteriophages fall within which of baltimore groups
"[""E. M. Forster""]",which nation india never beat in t20 international
"[""Bella Dayne""]",when did significant amounts of oxygen appear in the earths atmosphere
"[""10""]",who wrote the influence of sea power upon history
"[""Sachin Tendulkar""]",when does the mist air on spike tv
"[""42""]",when does it rain the most in england
"[""1967""]",when did guns n roses play milton keynes bowl
"[""in 2018""]",how much is a stone in the uk
"[""New York Yankees""]",who was blamed for ww1 in the treaty of versailles
"[""January–July 1975""]",who sang lead on eye of the tiger
"[""Sarabi""]",who played the son in walking tall 1973
"[""2018""]",when did the movie the day after come out
"[""March 25, 2011""]",who played mr. o'hara in gone with the wind
"[""video editing""]",ratio of masses of proton and electron is
"[""New York Yankees""]",where does rent a center get their furniture
"[""New Netherland""]",what type of government system does the usa have
"[""Anil Kumar Jha""]",who has kate in white collar season 1
"[""volume of the container decreases""]",who came in second in the 2018 kentucky derby
"[""Prince Phillip""]",who sings you are the magnet and i am the steel
"[""Anil Kumar Jha""]",how many presidents have there been in the philippines
"[""six""]",the term that describes a function that is symmetric about the y-axis is
"[""Mary Kate Schellhardt""]",who sings the song raise a little hell
"[""West Indies""]",how long do mocking birds stay in the nest
"[""1981""]",when is the new episode of suits airing
"[""Guaranteed Rate Field""]",when does keeping up with the kardashians season 14 end
"[""Tuticorin (Thoothukudi)""]",what does ncd stand for in medical terms
"[""Guaranteed Rate Field""]",who did the voice of mack in cars
"[""San Antonio""]",who did the new england patriots play this year
"[""Zaira Wasim""]",when were the subways built in new york city
"[""South Side, Chicago""]",who is the first girl to leave love island
"[""1920 to 1933""]",what two bodies of water does the erie canal link together
"[""West Indies""]",who began the revival of the olympic games
"[""7""]",when did aaron judge make his mlb debut
"[""the Ivrea Codex"",""the Apt Codex""]",when does attack on titan season 2 dubbed come out
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",when was the last time the milwaukee bucks made the playoffs
"[""Anderson Silva""]",when does lorelai and luke get back together in season 7
"[""18""]",who plays the girl in high school musical
"[""1960""]",when was mission santa clara de asis rebuilt
"[""ground state""]",who won kings of comedy in vijay tv
"[""179""]",who has won the f1 championship the most
"[""2015""]",who won the epl player of the month august 2017
"[""Shirley Mae Jones""]",what is the highest denomination of the us dollar
"[""August 17, 2018""]",who wrote east of the sun west of the moon
"[""John O'Banion""]",how many episodes are in pretty little liars season 1
"[""March 9, 2018""]",what were the cause of the american civil war
"[""Barbicide""]",where was what we do in the shadows filmed
"[""35""]",which indian social reformer was also a judge
"[""August 17, 2018""]",which is the latest version of autocad software
"[""Monasteries"",""wealthy individuals"",""rulers""]",who sang the time of my life in dirty dancing
"[""In 1995""]",how many seasons of happy tree friends are there
"[""October 10, 2017""]",what happens to krista in the night shift
"[""1942""]",who wrote always something there to remind me
"[""Tuticorin (Thoothukudi)""]",number 1 best selling videogame of all time
"[""the Ivrea Codex"",""the Apt Codex""]",who owned the new york times in 1971
"[""18 August 2011""]",age to run for us house of representatives
"[""eastward, in prograde motion""]",when does nikolas cassadine return to general hospital
"[""Amanda Shiflett""]",where do the electrons come from in the electron transport chain
"[""Lionel Messi""]",what is the purpose of a carriage bolt
"[""10 one-hour episodes""]",when do blair and the prince get married
"[""2018""]",who has been fired from the grand ole opry
"[""Season 4, Episode 8""]",when did the song staying alive come out
"[""to perceive linear acceleration""]",the truth about the harry quebert affair tv show release date
"[""US$500""]",who sings let it rain down on me
"[""Jimmy Cliff""]",who played freddy eynsford hill in my fair lady
"[""rose window""]",who wrote the song kadam kadam badhaye ja khusi k geet gaye ja
"[""18""]",when did the boy in the striped pajamas take place
"[""10""]",who won the first nobel prize in peace
"[""1984""]",who sings on the new go compare advert
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who replaced glenn frey in the eagles band
"[""those that have died""]",what is the 8th state of the united states
"[""Phillip Alford""]",if you are from dubai what are you called
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",who recorded heard it through the grapevine first
"[""rose window""]",an increase in the average level of prices is called
"[""Guaranteed Rate Field""]",who can appoint comptroller and auditor general of india
"[""42""]",who plays susan's mom on desperate housewives
"[""George Hudson""]",when did rome go from republic to empire
"[""2012""]",who is the original singer of walking in memphis
"[""1974""]",who sang the theme tune to robin hood
"[""1900""]",measurement system whose divisions are powers of ten
"[""PewDiePie""]",who is the actor of uma in descendants 2
"[""1890""]",who played the grandma in i feel pretty
"[""2017""]",who did the voice of vinnie on family guy
"[""1939""]",who was the president of the constitutional convention
"[""Meredith Willson""]",who plays the murderer in the lovely bones
"[""Evaluation and management""]",when did the first electric dishwasher come out
"[""Potassium chlorate""]",who plays mr sweeney in one foot in the grave
"[""13""]",when was the first iphone released in uk
"[""May 5, 1992""]",who qualified in group h 2018 world cup
"[""China""]",the longest wavelengths in the visible spectrum are
"[""Carole King""]",who plays chelsea's mom on young and the restless
"[""July 16, 2017""]",when did brazil organize its first world cup
"[""Gal Gadot""]",who were the two opposing sides in the american revolution
"[""those that have died""]",running wild with bear grylls zac efron location
"[""Shirley Mae Jones""]",a real live nephew of my uncle sam born on the 4th of july
"[""six""]",who wrote the poem twinkle twinkle little star
"[""1974""]",when does season 3 of the 100 come out
"[""US$500""]",who signed the 1900 buganda agreement on behalf of buganda
"[""Spanish""]",when does minimum wage go up in ab
"[""Thurl Ravenscroft""]",when did the iconic trump tower open its doors
"[""2–4 years""]",when did worl war 2 start and end
"[""Sachin Tendulkar""]",when does man in the high castle come out
"[""eastward, in prograde motion""]",when does series 6 of the next step start
"[""1982""]",when did peter pan win the melbourne cup
"[""State governments""]",who was the first ghost to visit scrooge
"[""1943""]",who has won the most races in f1
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",how many turbos does a bugatti veyron ss have
"[""China""]",who's birthday is celebrated as teacher's day
"[""Ireland""]",when did capitol reef became a national park
"[""1967""]",who played davenport in last of the summer wine
"[""1890""]",someone who went to california during the gold rush
