RespondentID,"Consider the following hypothetical situations: <br>In Lottery A, you have a 50% chance of success, with a payout of $100. <br>In Lottery B, you have a 90% chance of success, with a payout of $20. <br><br>Assuming you have $10 to bet, would you play Lottery A or Lottery B?",Do you ever smoke cigarettes?,Do you ever drink alcohol?,Do you ever gamble?,Have you ever been skydiving?,Do you ever drive above the speed limit?,Have you ever cheated on your significant other?,Do you eat steak?,How do you like your steak prepared?,Gender,Age,Household Income,Education,Location (Census Region)
3235014868,Lottery A,Yes,Yes,No,No,Yes,No,,,Male,30-44,"$150,000+",Some college or Associate degree,Middle Atlantic
3235014745,Lottery A,No,Yes,No,No,Yes,No,,Rare	Yes,Female,45-60,"$25,000 - $49,999",Bachelor degree,West North Central
3235013246,Lottery A,No,Yes,No,No,Yes,No,,Medium	Yes,Female,18-29,,Some college or Associate degree,West South Central
3235013033,Lottery B,No,Yes,Yes,No,Yes,No,,Rare	Yes,Male,45-60,"$25,000 - $49,999",High school degree,East North Central
3235011346,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Male,45-60,"$50,000 - $99,999",Bachelor degree,West South Central
3235011207,Lottery B,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,,30-44,"$0 - $24,999",Graduate degree,West South Central
3235009043,Lottery A,No,,,No,,No,,Medium	Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3235005079,Lottery B,Yes,Yes,No,,Yes,No,,Response	Response,Male,18-29,,Bachelor degree,East South Central
3235001053,Lottery B,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3234995395,Lottery B,No,No,Yes,No,Yes,No,,Rare	Yes,Female,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234990004,Lottery B,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3234989363,Lottery B,No,No,Yes,No,Yes,No,,Medium rare	Yes,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234987501,Lottery B,No,Yes,Yes,No,Yes,No,,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,New England
3234985772,Lottery B,No,Yes,No,No,Yes,No,,Rare	Yes,Male,18-29,"$100,000 - $149,999",Bachelor degree,East North Central
3234984667,Lottery B,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Female,18-29,"$25,000 - $49,999",,South Atlantic
3234979727,Lottery B,No,No,No,No,No,Yes,,Response	Response,Male,> 60,,Some college or Associate degree,West North Central
3234979403,Lottery B,No,No,Yes,No,Yes,No,,Rare	Yes,Male,45-60,"$150,000+",Graduate degree,Mountain
3234977244,Lottery A,No,Yes,No,No,Yes,No,,Medium rare	Yes,Female,45-60,,Some college or Associate degree,South Atlantic
3234967827,Lottery B,Yes,No,Yes,No,Yes,No,,Medium	Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central
3234967261,Lottery B,No,Yes,No,,Yes,No,,Rare	Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3234960955,Lottery A,No,Yes,Yes,No,Yes,No,,Medium	Yes,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
3234960432,Lottery B,No,No,No,No,Yes,No,,Response	Response,Female,,"$150,000+",,Pacific
3234959216,Lottery B,Yes,Yes,Yes,No,Yes,Yes,,Medium Well	Yes,Female,45-60,,Bachelor degree,South Atlantic
3234956870,Lottery B,Yes,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,45-60,"$50,000 - $99,999",Graduate degree,
3234955790,Lottery B,No,No,Yes,No,Yes,No,,Well	Yes,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234955499,Lottery A,,Yes,No,No,Yes,Yes,,,Male,> 60,,Some college or Associate degree,West South Central
3234951620,Lottery A,No,Yes,No,No,Yes,Yes,,,,45-60,"$150,000+",High school degree,Middle Atlantic
3234950337,Lottery A,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,45-60,,Bachelor degree,South Atlantic
3234949765,Lottery B,No,Yes,No,No,Yes,No,,Well	Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234948164,Lottery B,Yes,No,No,No,Yes,No,,,Female,> 60,"$100,000 - $149,999",Graduate degree,West North Central
3234948034,Lottery A,No,Yes,No,No,Yes,Yes,,,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
3234946888,Lottery A,No,Yes,No,Yes,Yes,No,,Rare	Yes,Female,18-29,,Bachelor degree,Pacific
3234946521,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234945468,Lottery B,No,Yes,No,No,Yes,No,,Medium Well	Yes,,45-60,,Some college or Associate degree,Pacific
3234944163,Lottery A,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Female,18-29,"$50,000 - $99,999",High school degree,East North Central
3234943815,Lottery B,Yes,No,No,No,Yes,Yes,,Medium Well	Yes,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3234942814,Lottery A,No,No,Yes,,Yes,No,,Medium	Yes,Female,18-29,,Graduate degree,Pacific
3234942329,Lottery A,No,Yes,No,No,Yes,Yes,,Medium rare	Yes,Male,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3234941686,Lottery A,No,Yes,Yes,No,Yes,Yes,,,Female,18-29,,Bachelor degree,South Atlantic
3234941265,Lottery A,No,,Yes,No,Yes,Yes,,Response	Response,Male,45-60,,Some college or Associate degree,West North Central
3234940998,Lottery A,No,No,Yes,No,Yes,No,,Well	Yes,Female,18-29,"$25,000 - $49,999",Bachelor degree,East South Central
3234940242,Lottery B,No,No,Yes,No,Yes,No,,Response	Response,Female,> 60,"$50,000 - $99,999",High school degree,East South Central
3234939039,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central
3234938731,Lottery A,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3234937677,Lottery A,No,No,Yes,No,Yes,Yes,,Response	Response,Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3234935035,Lottery A,No,No,No,No,Yes,No,,Rare	Yes,Male,30-44,,Graduate degree,Pacific
3234929690,Lottery B,No,No,Yes,No,Yes,No,,Response	Response,Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic
3234929557,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234928690,Lottery B,No,Yes,Yes,No,Yes,No,,Response	Response,Male,30-44,"$100,000 - $149,999",Bachelor degree,New England
3234928234,Lottery B,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234926740,Lottery B,No,Yes,Yes,No,Yes,No,,Well	Yes,Male,18-29,"$100,000 - $149,999",,South Atlantic
3234926425,Lottery B,Yes,Yes,No,No,Yes,No,,Medium Well	Yes,Male,18-29,"$50,000 - $99,999",High school degree,East North Central
3234925096,Lottery A,No,Yes,Yes,No,Yes,No,,Rare	Yes,Male,18-29,"$50,000 - $99,999",Graduate degree,West North Central
3234924821,Lottery B,No,No,No,No,Yes,No,,Medium	Yes,Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
3234923749,Lottery B,No,Yes,Yes,No,Yes,No,,Medium	Yes,Male,30-44,"$25,000 - $49,999",High school degree,Mountain
3234923228,Lottery A,No,Yes,No,No,Yes,No,,Medium Well	Yes,Male,45-60,"$150,000+",High school degree,Middle Atlantic
3234921954,Lottery A,No,Yes,Yes,No,No,No,,Rare	Yes,Male,,"$0 - $24,999",High school degree,Pacific
3234921700,Lottery A,No,,Yes,No,Yes,No,,Medium Well	Yes,Female,18-29,,,Pacific
3234920815,Lottery A,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3234913491,Lottery A,No,Yes,No,Yes,Yes,No,,Medium rare	Yes,Male,30-44,,Bachelor degree,South Atlantic
3234912180,Lottery A,No,No,Yes,No,Yes,No,,Medium	Yes,Female,> 60,"$25,000 - $49,999",,South Atlantic
3234910993,Lottery A,No,,Yes,No,Yes,Yes,,Medium	Yes,Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
3234910821,Lottery B,No,Yes,No,No,Yes,No,,Medium rare	Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234910694,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234910619,Lottery B,No,Yes,No,No,Yes,Yes,,Medium Well	Yes,Male,45-60,"$150,000+",Some college or Associate degree,
3234910010,Lottery B,No,Yes,No,No,Yes,No,,,Female,30-44,,Some college or Associate degree,West South Central
3234909682,Lottery A,Yes,Yes,No,No,Yes,Yes,,Well	Yes,Female,45-60,"$100,000 - $149,999",High school degree,East North Central
3234909485,Lottery B,No,Yes,Yes,No,Yes,Yes,,Response	Response,Male,45-60,"$25,000 - $49,999",Bachelor degree,Pacific
3234908956,Lottery A,No,Yes,Yes,No,Yes,No,,Rare	Yes,Male,30-44,"$0 - $24,999",Some college or Associate degree,West North Central
3234907774,Lottery B,No,No,Yes,No,Yes,No,,Well	Yes,Male,18-29,,Some college or Associate degree,New England
3234906954,Lottery B,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,30-44,,Bachelor degree,South Atlantic
3234906631,Lottery A,No,Yes,No,No,Yes,No,,Medium	Yes,Male,18-29,,Bachelor degree,Middle Atlantic
3234905966,Lottery A,No,No,Yes,No,Yes,No,,Well	Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234905751,Lottery A,No,No,Yes,No,Yes,No,,Medium	Yes,Male,30-44,"$150,000+",Graduate degree,New England
3234905346,Lottery A,Yes,,No,No,Yes,No,,,Female,45-60,"$150,000+",Some college or Associate degree,Pacific
3234905320,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,,"$150,000+",Bachelor degree,South Atlantic
3234905098,Lottery B,No,Yes,No,No,Yes,,,Well	Yes,Male,30-44,"$0 - $24,999",Some college or Associate degree,
3234904350,Lottery B,No,No,No,No,Yes,No,,,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3234903598,Lottery B,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic
3234903016,Lottery B,No,Yes,No,No,Yes,Yes,,Medium	Yes,Female,,"$25,000 - $49,999",Some college or Associate degree,
3234899659,Lottery A,No,Yes,No,No,Yes,No,,Medium Well	Yes,,18-29,"$50,000 - $99,999",,West North Central
3234899379,Lottery B,Yes,No,Yes,No,Yes,No,,,Female,,,Bachelor degree,Mountain
3234899185,Lottery B,Yes,Yes,Yes,No,No,Yes,,,Male,,"$25,000 - $49,999",Bachelor degree,West South Central
3234898825,Lottery B,No,No,No,No,No,No,,Well	Yes,Male,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic
3234898563,Lottery A,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3234898543,Lottery A,Yes,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
3234898432,Lottery A,No,Yes,Yes,No,Yes,Yes,,Well	Yes,Female,18-29,"$0 - $24,999",,Pacific
3234897075,Lottery B,No,Yes,No,No,Yes,No,,Medium Well	Yes,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234895919,Lottery A,No,Yes,No,No,Yes,No,,Rare	Yes,Male,18-29,"$0 - $24,999",Graduate degree,West North Central
3234892863,Lottery A,Yes,Yes,No,No,No,No,,Medium	Yes,,30-44,"$0 - $24,999",Bachelor degree,Middle Atlantic
3234892519,Lottery B,No,Yes,Yes,,Yes,No,,Rare	Yes,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
3234892231,Lottery B,Yes,No,No,No,No,No,,Response	Response,Male,18-29,"$50,000 - $99,999",Graduate degree,West South Central
3234892210,Lottery A,No,Yes,Yes,No,Yes,Yes,,Response	Response,Male,> 60,"$50,000 - $99,999",High school degree,New England
3234891716,Lottery A,No,Yes,No,Yes,Yes,No,,Response	Response,Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic
3234891267,Lottery B,No,Yes,No,No,Yes,No,,Medium rare	Yes,Male,45-60,"$50,000 - $99,999",High school degree,East North Central
3234891209,Lottery B,No,Yes,Yes,No,Yes,No,,Rare	Yes,Male,,,Graduate degree,East North Central
3234890174,Lottery A,No,No,No,Yes,Yes,No,,Medium rare	Yes,Female,18-29,"$25,000 - $49,999",Graduate degree,East North Central
3234889363,Lottery A,No,No,No,No,Yes,No,,,Female,45-60,,Graduate degree,Pacific
3234889003,Lottery A,No,Yes,No,No,No,No,,,Female,> 60,,Some college or Associate degree,East North Central
3234888027,Lottery B,,Yes,Yes,Yes,Yes,No,,Well	Yes,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3234887870,Lottery A,No,No,No,No,Yes,No,,Well	Yes,Female,> 60,"$100,000 - $149,999",Bachelor degree,West North Central
3234887123,Lottery B,No,Yes,No,No,Yes,No,,Response	Response,Female,30-44,"$0 - $24,999",Graduate degree,Mountain
3234886956,Lottery B,Yes,Yes,Yes,No,No,Yes,,,Female,> 60,,Some college or Associate degree,New England
3234886885,Lottery B,No,Yes,No,No,Yes,No,,,Female,45-60,"$50,000 - $99,999",,West South Central
3234886206,Lottery B,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,East South Central
3234884191,Lottery A,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3234883968,Lottery B,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,18-29,,Graduate degree,South Atlantic
3234883935,Lottery B,,No,Yes,No,Yes,No,,Medium	Yes,Female,30-44,"$150,000+",,South Atlantic
3234883826,Lottery B,No,No,Yes,No,Yes,Yes,,Medium Well	Yes,Female,30-44,,Graduate degree,South Atlantic
3234882710,Lottery B,No,No,Yes,No,Yes,No,,,Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central
3234882183,Lottery B,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3234881035,Lottery A,Yes,Yes,No,No,Yes,No,,Medium Well	Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central
3234880962,Lottery B,Yes,No,Yes,No,Yes,No,,Medium	Yes,Female,45-60,,Graduate degree,West North Central
3234880665,Lottery B,No,No,Yes,No,Yes,No,,Medium rare	Yes,Female,30-44,"$50,000 - $99,999",,Middle Atlantic
3234880445,Lottery A,No,No,Yes,No,Yes,No,,,Female,18-29,"$150,000+",Bachelor degree,East North Central
3234880359,Lottery B,No,No,Yes,No,Yes,No,,Medium rare	Yes,Male,45-60,,Graduate degree,Mountain
3234879901,Lottery A,No,Yes,Yes,No,Yes,No,,,,,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3234878992,Lottery B,No,Yes,No,No,Yes,Yes,,Rare	Yes,Female,45-60,"$0 - $24,999",High school degree,South Atlantic
3234878684,Lottery B,No,Yes,No,No,Yes,Yes,,Medium rare	Yes,Female,30-44,,High school degree,Pacific
3234878488,Lottery A,No,Yes,No,No,Yes,No,,Rare	Yes,Male,45-60,"$50,000 - $99,999",High school degree,South Atlantic
3234877806,Lottery A,No,Yes,No,Yes,Yes,No,,Medium rare	Yes,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234875553,Lottery A,Yes,Yes,Yes,No,Yes,No,,Rare	Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3234874900,Lottery A,No,Yes,No,No,Yes,No,,,Male,> 60,,Some college or Associate degree,
3234874304,Lottery B,No,Yes,No,No,Yes,No,,,Female,45-60,,Bachelor degree,Pacific
3234873741,Lottery B,Yes,Yes,No,No,Yes,No,,Medium Well	Yes,,> 60,"$50,000 - $99,999",Graduate degree,
3234873042,Lottery B,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Female,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic
3234872147,Lottery B,No,No,No,No,Yes,No,,Medium rare	Yes,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,West North Central
3234871521,Lottery A,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central
3234871201,Lottery B,No,Yes,,No,Yes,No,,Rare	Yes,Female,30-44,"$0 - $24,999",Some college or Associate degree,Pacific
3234870420,Lottery B,No,Yes,Yes,No,Yes,Yes,,Well	Yes,Female,45-60,,Graduate degree,New England
3234869985,Lottery B,No,Yes,No,No,Yes,No,,Medium Well	Yes,Male,> 60,"$150,000+",Some college or Associate degree,
3234868712,Lottery A,No,Yes,Yes,No,Yes,Yes,,Response	Response,Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic
3234868616,Lottery A,No,Yes,Yes,No,Yes,Yes,,Response	Response,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain
3234867824,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Male,45-60,"$25,000 - $49,999",Graduate degree,Pacific
3234867097,Lottery B,No,Yes,No,No,Yes,No,,Medium rare	Yes,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
3234866970,Lottery A,No,Yes,No,No,Yes,No,,Medium rare	Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234866661,Lottery B,No,Yes,Yes,No,Yes,Yes,,Medium Well	Yes,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234864970,Lottery A,Yes,No,Yes,,Yes,No,,Well	Yes,Female,18-29,"$25,000 - $49,999",Bachelor degree,New England
3234863975,Lottery A,No,Yes,Yes,No,Yes,No,,,Male,,"$150,000+",Graduate degree,Pacific
3234862744,Lottery B,No,Yes,Yes,No,Yes,No,,Response	Response,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,
3234862603,Lottery A,Yes,Yes,Yes,No,Yes,No,,Well	Yes,Female,> 60,,Bachelor degree,Mountain
3234862497,Lottery B,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Female,30-44,"$100,000 - $149,999",High school degree,East North Central
3234861137,Lottery A,Yes,Yes,Yes,No,No,No,,Medium	Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3234860621,Lottery A,No,Yes,Yes,No,Yes,No,,,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,
3234860606,Lottery A,No,Yes,Yes,No,Yes,Yes,,Medium	Yes,Female,45-60,"$150,000+",Some college or Associate degree,West North Central
3234860421,Lottery B,No,Yes,No,No,Yes,No,,Rare	Yes,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234860266,Lottery A,No,No,Yes,No,Yes,No,,Medium rare	Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,New England
3234859998,Lottery B,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central
3234858411,Lottery A,No,Yes,No,No,Yes,Yes,,Medium Well	Yes,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3234857871,Lottery B,No,Yes,No,No,Yes,Yes,,Response	Response,Male,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic
3234857811,Lottery A,Yes,Yes,No,No,Yes,No,,Medium rare	Yes,Female,30-44,,Some college or Associate degree,South Atlantic
3234857473,Lottery B,No,Yes,No,No,Yes,Yes,,Medium rare	Yes,Male,18-29,"$150,000+",Graduate degree,Middle Atlantic
3234856653,Lottery B,Yes,Yes,Yes,No,No,No,,Rare	Yes,Female,18-29,"$50,000 - $99,999",High school degree,
3234856482,Lottery B,No,Yes,No,Yes,Yes,No,,Medium rare	Yes,Male,30-44,"$0 - $24,999",Some college or Associate degree,Pacific
3234855210,Lottery B,No,Yes,No,No,Yes,Yes,,Medium Well	Yes,Male,> 60,"$150,000+",Some college or Associate degree,Pacific
3234853837,Lottery B,No,Yes,Yes,No,No,Yes,,Well	Yes,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3234853132,Lottery B,No,Yes,No,No,Yes,No,,Well	Yes,Female,18-29,"$25,000 - $49,999",Graduate degree,New England
3234853028,Lottery A,No,Yes,Yes,No,No,No,,,,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3234852966,Lottery B,No,No,Yes,No,Yes,Yes,,Rare	Yes,Male,30-44,"$0 - $24,999",,Pacific
3234852425,Lottery B,No,Yes,No,No,Yes,No,,,Male,30-44,"$0 - $24,999",Bachelor degree,Middle Atlantic
3234852424,Lottery A,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,18-29,"$150,000+",Graduate degree,West North Central
3234852203,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3234851311,Lottery B,No,No,Yes,No,Yes,Yes,,Rare	Yes,Female,> 60,"$150,000+",High school degree,Pacific
3234851228,Lottery A,No,No,,No,Yes,Yes,,Response	Response,Female,> 60,"$50,000 - $99,999",Bachelor degree,New England
3234850583,Lottery B,Yes,Yes,No,No,Yes,No,,Response	Response,Female,> 60,"$25,000 - $49,999",Bachelor degree,Pacific
3234850132,Lottery B,No,No,Yes,No,Yes,No,,,Male,18-29,,Bachelor degree,Pacific
3234850088,Lottery B,No,Yes,No,No,Yes,No,,Medium rare	Yes,Male,> 60,,Some college or Associate degree,Pacific
3234849678,Lottery A,No,Yes,Yes,No,Yes,No,,,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234849671,Lottery B,,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,> 60,"$0 - $24,999",Graduate degree,West North Central
3234849472,Lottery B,No,Yes,Yes,No,Yes,Yes,,Medium Well	Yes,Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234848998,Lottery A,No,No,No,No,Yes,Yes,,Well	Yes,Male,45-60,"$25,000 - $49,999",Graduate degree,Pacific
3234848768,Lottery A,No,Yes,Yes,No,Yes,No,,,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,New England
3234847737,Lottery A,No,Yes,Yes,No,Yes,No,,Response	Response,Female,18-29,"$0 - $24,999",Graduate degree,Mountain
3234847482,Lottery A,Yes,Yes,Yes,No,No,No,,Medium	Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234847277,Lottery A,No,No,,No,Yes,No,,Rare	Yes,,,"$50,000 - $99,999",Some college or Associate degree,West South Central
3234846502,Lottery A,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Female,45-60,"$25,000 - $49,999",High school degree,Middle Atlantic
3234845839,Lottery A,No,Yes,No,No,Yes,No,,,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3234844143,Lottery B,No,Yes,,No,Yes,No,,Medium rare	Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
