method,number,orbital_period,mass,distance,year
Radial Velocity,1,705.0,1.3,112.23,2011
Transit,1,2.7566004,,250.0,2010
Transit,5,122.3874,,368.0,2013
Radial Velocity,1,1117.0,,,2010
Transit,2,17.849,,,2013
Radial Velocity,1,63.33,1.22,44.37,2003
Radial Velocity,1,2.817822,0.38,35.8,2005
Transit,3,85.312,,,2012
Transit,1,2.797436,,411.0,2011
Transit,1,4.03519,,1060.0,2010
Microlensing,1,,,7720.0,2012
Transit,2,10.7421,,,2011
Radial Velocity,2,125.94,,20.1,2013
Radial Velocity,1,1845.0,,,2010
Transit,1,1.54168,,,2014
Radial Velocity,1,103.95,,55.19,2008
Transit,1,2.691548,,,2014
Radial Velocity,1,311.288,1.94,17.24,1999
Transit,1,131.458,,1645.0,2011
Transit,1,3.332687,,542.0,2012
Transit,2,17.324,,,2013
Radial Velocity,2,1155.7,,55.31,2012
Radial Velocity,1,578.2,,,2012
Radial Velocity,1,423.841,1.28,18.24,2000
Radial Velocity,1,3.0925,0.95,,2000
Radial Velocity,1,993.3,,,2008
Radial Velocity,2,379.63,,,2009
Transit,2,49.412,,,2013
Radial Velocity,2,825.0,0.895,68.35,2010
Transit,3,12.8159,,,2014
Transit,1,2.77596,,235.0,2010
Transit,2,42.1516418,,,2012
Radial Velocity,4,9.6386,,15.28,2004
Radial Velocity,2,263.3,,15.71,2010
Radial Velocity,1,70.46,,30.5,2005
Transit,2,15.9654,,,2014
Radial Velocity,1,1075.2,6.21,32.56,1999
Radial Velocity,1,890.76,,48.95,2004
Radial Velocity,1,691.9,,81.5,2012
Radial Velocity,2,18.357,0.039,,2013
Radial Velocity,2,12.62,,68.59,2013
Eclipse Timing Variations,2,5840.0,,,2011
Radial Velocity,1,2.985625,,,2002
Radial Velocity,1,912.0,,,2011
Radial Velocity,1,62.218,0.229,11.11,2003
Radial Velocity,1,963.0,,43.03,2004
Radial Velocity,3,962.0,0.64,26.15,2008
Transit,1,3.361006,,,2009
Transit,1,1.855558,,770.0,2011
Transit,1,3.1915239,,174.0,2007
Transit,2,10.338523,,90.0,2010
Transit,5,8.7522,,,2011
Transit,2,6.48163,,,2014
Imaging,1,6000.0,,19.28,2008
Radial Velocity,2,74.72,,,2011
Transit,2,17.2513,,,2011
Imaging,1,,,17.95,2013
Imaging,1,,,145.0,2008
Radial Velocity,2,1708.0,1.92,37.16,2002
Transit,1,2.455239,,333.0,2011
Radial Velocity,1,303.0,5.25,,2003
Transit,1,4.187757,,260.0,2008
Transit,5,6.098493,,290.0,2011
Transit,2,13.722341,,,2013
Radial Velocity,1,974.0,,70.97,2007
Radial Velocity,2,,0.36,17.99,2010
Radial Velocity,1,122.1,,9.24,2010
Transit,5,5.90124,,303.0,2011
Radial Velocity,2,33.823,,,2011
Radial Velocity,2,4046.0,,38.52,2011
Radial Velocity,3,12.083,0.0292,26.91,2011
Transit,1,5.35227,,840.0,2011
Radial Velocity,1,472.0,,50.43,2010
Transit,2,,,,2014
Transit,2,5.487,,,2013
Transit,1,2.7566004,,250.0,2010
Transit,2,27.402,,,2012
Transit,2,51.538,,,2012
Radial Velocity,1,,2.1,26.52,2002
Radial Velocity,1,3668.0,4.01,,2006
Radial Velocity,1,,,127.55,2007
Transit,2,15.9654,,,2014
Transit,1,1.3371182,,,2011
Radial Velocity,2,391.9,,43.4,2007
Transit,2,54.414,,,2013
Imaging,1,,,,2010
Transit,1,3.056536,,314.0,2007
Radial Velocity,1,124.6,9.18,149.25,2013
Radial Velocity,1,323.6,2.7,134.95,2008
Transit,1,4.627669,,205.0,2010
Radial Velocity,3,197.0,0.058,,2006
Radial Velocity,2,255.87,17.4,46.34,2002
Transit,1,7.8457,,222.0,2014
Radial Velocity,4,643.25,,15.28,2000
Radial Velocity,1,3.416,,,2004
Radial Velocity,6,197.8,0.0223,,2012
Transit,1,2.828042,,1150.0,2010
Radial Velocity,3,274.49,0.0519,38.01,2011
Astrometry,1,1016.0,,14.98,2010
Transit,3,0.45328509,,38.7,2011
Radial Velocity,2,634.23,3.69,,2004
Radial Velocity,1,1840.0,1.6,67.61,2009
Radial Velocity,1,788.0,,33.96,2009
Transit,1,4.187757,,260.0,2008
Radial Velocity,3,38.021,0.057,,2009
Transit,2,15.5741568,,,2012
Radial Velocity,1,2157.0,,30.88,2009
Imaging,1,,,,2012
Radial Velocity,1,431.8,,167.5,2011
Transit,1,2.17517632,,,2012
Transit,1,282.5255,,,2013
Radial Velocity,6,20.432,0.0299,12.83,2008
Transit,5,10.3117,,,2014
Transit,2,179.612,,,2014
Radial Velocity,1,578.2,,,2012
Radial Velocity,1,772.0,2.7,127.88,2011
Radial Velocity,2,883.0,,74.79,2010
Radial Velocity,3,9.3743,0.0238,,2008
Transit,1,3.764825,,,2010
Radial Velocity,3,32.03,0.41,25.87,2011
Transit,1,2.838971,,455.0,2012
Radial Velocity,1,1244.0,,,2009
Transit,5,19.57706,,290.0,2011
Radial Velocity,1,689.0,,182.82,2011
Radial Velocity,1,594.9,,47.53,2006
Transit,1,3.553945,,492.0,2007
Radial Velocity,6,602.0,0.067,39.39,2010
Radial Velocity,2,19.382,,66.89,2013
Transit,1,4.2568,,680.0,2008
Transit,1,2.34121242,,,2010
Radial Velocity,2,188.9,2.25,94.61,2002
Radial Velocity,1,303.0,5.25,92.51,2003
Transit,1,6.21229,,380.0,2010
Transit,1,6.87349,,2700.0,2010
Transit,6,,,,2010
Transit,1,3.234723,,,2009
Transit,2,22.951,,,2013
Transit,2,,,,2014
Radial Velocity,6,16.3567,,,2010
Transit,3,143.34394,,,2012
Transit,3,5.859944,,,2012
Transit,1,4.2,,8500.0,2006
Radial Velocity,2,408.6,,68.54,2004
Radial Velocity,3,,0.0166,14.56,2011
Transit,1,3.54846,,,2009
Radial Velocity,2,2102.0,,36.32,2003
Radial Velocity,1,516.22,,119.47,2009
Radial Velocity,1,883.0,,121.36,2011
Transit,5,5.90124,,303.0,2011
Radial Velocity,1,18.596,,,2011
Radial Velocity,1,363.2,,37.78,2010
Radial Velocity,1,133.71,3.37,,2000
Radial Velocity,6,602.0,0.067,39.39,2010
Radial Velocity,3,2295.0,,33.24,2002
Transit,2,,,339.0,2013
Radial Velocity,3,,,16.13,2010
Transit,1,4.2568,,680.0,2008
Radial Velocity,2,25.648,,,2013
Radial Velocity,1,465.1,,,2009
Radial Velocity,1,3999.0,,50.45,2011
Transit,1,1.7429935,,200.0,2008
Transit,2,12.883,,,2012
Transit,1,3.547851,,453.0,2013
Radial Velocity,1,373.3,,121.8,2009
Transit,2,,,,2012
Transit,3,7.1316185,,,2012
Radial Velocity,2,452.8,,74.79,2010
Transit,1,2.4238039,,,2011
Radial Velocity,1,141.6,,108.46,2007
Microlensing,1,,,2300.0,2012
Transit,2,7.2037945,,,2012
Transit,7,91.93913,,780.0,2013
Radial Velocity,1,17.991,,42.37,2005
Transit,1,5.35227,,840.0,2011
Radial Velocity,1,4.6455,,24.05,2010
Transit,2,5.955,,,2012
Radial Velocity,1,17.991,0.62,42.37,2005
Radial Velocity,1,41.397,,,2010
Radial Velocity,1,738.459,,34.6,2001
Transit Timing Variations,2,160.0,,2119.0,2011
Radial Velocity,1,2819.654,,54.71,2002
Radial Velocity,2,14.3098,0.839,42.43,2000
Radial Velocity,2,,,25.64,2012
Transit,1,2.7033904,1.47,178.0,2013
Transit,1,6.24658,,1030.0,2013
Radial Velocity,1,3724.7,1.45,48.43,2011
Radial Velocity,6,2248.0,,39.39,2010
Radial Velocity,4,3848.86,,13.47,2010
Radial Velocity,1,199.505,8.3,102.04,2003
Transit,1,4.3176782,,120.0,2010
Transit,2,22.951,,,2013
Transit,5,16.1457,,,2013
Radial Velocity,3,8.667,,12.58,2006
Radial Velocity,2,530.32,,46.84,2012
Radial Velocity,1,1531.0,6.92,37.44,2002
Radial Velocity,1,5.0505,,44.46,2013
Radial Velocity,1,,1.1,20.43,2001
Microlensing,2,5100.0,,,2008
Microlensing,1,,,,2008
Transit,2,7.053,,,2012
Radial Velocity,1,4.6455,,24.05,2010
Radial Velocity,2,14.3098,,42.43,2000
Transit,4,4.7779803,,,2012
Transit,5,122.3874,,368.0,2013
Radial Velocity,1,,0.29,35.88,2011
Transit,2,4.62332,,,2014
Transit,2,,,,2011
Radial Velocity,1,5.118,0.4,,2014
Radial Velocity,2,44.236,,42.68,2009
Radial Velocity,1,1001.7,,32.56,2005
Radial Velocity,2,1008.0,,42.68,2009
Microlensing,1,,,,2010
Radial Velocity,1,1319.0,13.0,54.92,2010
Transit,5,10.3117,,,2014
Radial Velocity,1,116.6884,,18.11,1996
Transit,5,7.07142,,,2014
Transit,2,114.73635,,,2013
Radial Velocity,1,6.958,,,2014
Radial Velocity,1,68.27,0.77,65.62,2010
Radial Velocity,3,14002.0,,14.08,2009
Radial Velocity,1,498.9,,84.03,2009
Radial Velocity,2,188.9,,94.61,2002
Radial Velocity,1,,,38.56,2002
Radial Velocity,1,1544.0,,98.52,2011
Eclipse Timing Variations,2,1916.25,,,2011
Radial Velocity,1,788.0,,33.96,2009
Transit,2,11.6092567,,,2012
Radial Velocity,2,10.866,0.0097,21.52,2011
Radial Velocity,1,738.459,,,2001
Radial Velocity,1,7.3709,,9.04,2011
Radial Velocity,1,157.54,,117.37,2009
Radial Velocity,1,466.0,0.5,,2010
Radial Velocity,1,1561.0,7.71,51.97,2003
Radial Velocity,2,4970.0,0.36,17.99,2010
Transit,3,29.33434,,1400.0,2012
Radial Velocity,1,325.81,3.86,,2000
Radial Velocity,1,591.9,,36.02,2006
Radial Velocity,2,391.9,,43.4,2007
Transit Timing Variations,2,57.011,,,2012
Radial Velocity,1,5144.0,,42.99,2012
Radial Velocity,1,501.75,6.9,,2009
Radial Velocity,6,7.2004,,,2011
Radial Velocity,2,3.698,,150.0,2009
Radial Velocity,2,2500.0,7.0,121.36,2008
Transit,1,9.20205,,,2008
Radial Velocity,2,1657.0,0.71,15.71,2010
Transit,5,13.17562,,,2011
Transit,1,17.815815,,1107.0,2013
Microlensing,1,1970.0,,,2010
Transit,2,,,,2010
Radial Velocity,2,3.097,,,1998
Radial Velocity,1,521.0,1.8,114.15,2011
Transit,5,7.07142,,,2014
Radial Velocity,1,325.81,,32.32,2000
Transit,2,18.6489525,,,2012
Radial Velocity,1,363.2,,37.78,2010
Radial Velocity,1,479.1,3.88,97.28,2008
Radial Velocity,1,3.416,,,2004
Transit,2,11.776,,,2013
Transit,1,2.797436,,411.0,2011
Transit,2,12.3335,,,2011
Transit,1,105.599,,600.0,2012
Transit,2,36.855,,,2013
Transit,2,10.9129343,,,2012
Radial Velocity,1,2.64561,0.022,19.8,2010
Transit,1,21.0874,,,2011
Transit,1,4.008778,,215.0,2010
Radial Velocity,1,466.2,,,2003
Radial Velocity,1,3999.0,1.9,50.45,2011
Radial Velocity,1,83.888,,40.57,1989
Transit,2,179.612,,,2014
Radial Velocity,1,351.5,,,2007
Transit,1,4.60358,,,2014
Transit,2,31.884,,,2013
Radial Velocity,1,123.0,0.45,43.99,2004
Radial Velocity,2,2500.0,,121.36,2008
Radial Velocity,1,141.6,,108.46,2007
Radial Velocity,1,2063.818,10.35,18.21,2001
Radial Velocity,2,29.15,,,2011
Transit,2,2.91626,,214.0,2009
Radial Velocity,3,34.873,,47.3,2011
Transit,2,242.4613,,,2013
Transit,1,3.547851,,453.0,2013
Transit,1,3.00516,,,2013
Transit,2,13.83989,,470.0,2012
Transit,2,45.29485,,173.0,2011
Transit,1,4.008778,,215.0,2010
Transit,1,7.340718,,1330.0,2013
Radial Velocity,3,38.021,0.057,8.52,2009
Pulsar Timing,1,0.09070629,,1200.0,2011
Transit,1,4.0378962,,,2009
Transit,2,5.955,,,2012
Radial Velocity,6,2248.0,,39.39,2010
Radial Velocity,2,1708.0,1.92,,2002
Transit,1,4.411953,,160.0,2012
Radial Velocity,1,111.4357,,,2001
Radial Velocity,1,22.09,,,2003
Radial Velocity,1,17.991,,42.37,2005
Radial Velocity,6,28.14,,6.8,2011
Radial Velocity,4,982.0,,,2014
Radial Velocity,1,10.7085,,29.76,1999
Radial Velocity,1,663.0,3.3,,2009
Transit,2,13.749,,,2013
Radial Velocity,1,24.348,0.72,19.89,1999
Transit,1,3.1915239,,,2007
Imaging,1,,,40.85,2006
Transit,2,15.9654,,,2014
Radial Velocity,1,185.84,4.8,76.39,2008
Imaging,1,,,,2006
Radial Velocity,2,192.9,1.82,52.85,2009
Radial Velocity,1,122.1,0.05,9.24,2010
Radial Velocity,1,311.6,1.6,115.21,2013
Transit,1,4.1591399,,200.0,2012
Transit,1,4.9816872,,160.0,2012
Radial Velocity,1,890.76,,48.95,2004
Radial Velocity,1,,2.58,32.99,2007
Radial Velocity,1,325.81,,,2000
Radial Velocity,2,127.58,,164.2,2008
Transit,1,3.1186009,,,2009
Radial Velocity,1,279.8,1.37,,2008
Radial Velocity,5,14.651,,12.53,1996
Radial Velocity,2,14.07,,34.07,2011
Imaging,1,,,135.0,2013
Radial Velocity,2,2950.0,3.82,52.83,2008
Transit,1,3.9791,,,2007
Radial Velocity,2,19.382,0.865,,2013
Transit,2,8.9858,,,2011
Radial Velocity,1,1035.7,0.79,32.83,2011
Transit,1,1.2119189,,,2002
Transit,1,1.9000693,,870.0,2011
Radial Velocity,1,428.5,,,2009
Radial Velocity,1,5.8881,,53.08,2013
Transit,1,2.150008,,,2011
Transit,1,3.21222,,,2010
Transit,1,3.352057,,3200.0,2012
Transit,7,331.60059,,780.0,2013
Transit,1,4.008778,,215.0,2010
Radial Velocity,3,18.315,,6.06,2011
Radial Velocity,1,10.7085,,29.76,1999
Imaging,1,,,19.2,2011
Transit,5,3.6961219,,290.0,2011
Radial Velocity,2,379.63,21.42,,2009
Transit,2,303.137,,1500.0,2012
Transit,1,1.7497798,,140.0,2012
Radial Velocity,1,2443.0,,54.92,2009
Radial Velocity,1,8.428198,14.4,,2002
Microlensing,1,3300.0,,,2006
Radial Velocity,2,95.415,0.0565,,2011
Transit,5,,,,2011
Transit,2,27.402,,,2012
Radial Velocity,1,3.4442,,53.71,2005
Radial Velocity,3,559.4,,,2007
Transit,3,0.45328509,,38.7,2011
Radial Velocity,1,4218.0,,45.52,2009
Transit,2,21.2227,,,2014
Radial Velocity,1,17337.5,,23.98,2009
Transit,1,282.5255,,,2013
Radial Velocity,1,4.6938,,4.54,2007
Radial Velocity,1,122.1,,9.24,2010
Radial Velocity,2,,0.622,,2005
Radial Velocity,2,17.054,,17.99,2004
Transit,2,26.136,,,2013
Transit,1,4.885525,,,2009
Transit,2,12.2829,,,2011
Radial Velocity,6,20.432,0.0299,12.83,2008
Radial Velocity,1,176.3,,126.1,2010
Microlensing,1,,,2570.0,2012
Radial Velocity,1,75.523,0.26,35.91,2000
Radial Velocity,1,8.7836,,,2008
Transit,1,3.54846,,,2009
Transit,3,143.34394,,1400.0,2012
Transit,2,9.37647,,,2012
Radial Velocity,2,820.3,,,2014
Radial Velocity,2,53.832,0.036,,2011
Transit,1,,,,2012
Transit,2,18.6489525,,,2012
Transit,2,17.849,,,2013
Radial Velocity,1,330.0,,38.45,2011
Radial Velocity,1,326.03,19.4,110.62,2007
Radial Velocity,2,13.186,,42.52,2011
Radial Velocity,1,1531.0,,37.44,2002
Orbital Brightness Modulation,2,0.240104,,1180.0,2011
Radial Velocity,2,53.881,0.06472,32.31,2011
Transit,1,4.885525,,,2009
Radial Velocity,3,34.873,0.054,,2011
Transit,1,2.810595,,193.0,2011
Transit,2,5.005425,,,2011
Transit,1,3.5327313,,,2010
Transit Timing Variations,2,160.0,,2119.0,2011
Radial Velocity,2,820.3,,,2014
Radial Velocity,2,349.7,1.25,,2001
Imaging,1,,,17.95,2013
Radial Velocity,2,3.698,,150.0,2009
Transit,1,1.58040482,,,2009
Radial Velocity,1,7.3709,0.018,9.04,2011
Transit,1,68.9584,,,2014
Transit,1,2.7033904,,,2013
Radial Velocity,1,1695.0,0.92,42.48,2009
Transit,1,1.689868,,2500.0,2004
Transit,1,2.152226,,,2007
Transit,2,17.849,,,2013
Transit,1,3.91405,,,2007
Radial Velocity,1,,,77.82,2001
Imaging,1,730000.0,,,2006
Radial Velocity,1,311.288,,17.24,1999
Radial Velocity,2,2891.0,1.502,15.89,2003
Transit,1,6.87349,,2700.0,2010
Radial Velocity,1,57.0,0.47,23.8,2010
Radial Velocity,2,428.5,,214.0,2009
Transit,2,13.084,,,2013
Transit,1,4.234516,,,2010
Transit,1,3.7354417,,400.0,2009
Radial Velocity,2,170.455,0.82,53.82,2008
Transit,2,5.4122,,,2013
Transit,1,1.327347,,,2011
Transit,1,4.942782,,,2011
Radial Velocity,1,385.9,5.59,,2001
Transit,2,49.412,,,2013
Radial Velocity,1,1136.1,,62.11,2002
Radial Velocity,1,1475.0,,72.57,2009
Transit,3,60.323105,,,2012
Transit,2,10.338523,,90.0,2010
Imaging,4,18000.0,,,2010
Radial Velocity,1,15.609,0.0405,21.85,2005
Radial Velocity,1,1973.0,,55.04,2005
Radial Velocity,1,431.8,,167.5,2011
Microlensing,2,,,,2012
Radial Velocity,1,990.0,,,2009
Radial Velocity,2,127.58,,164.2,2008
Radial Velocity,1,1035.7,0.79,32.83,2011
Radial Velocity,1,1035.7,0.79,32.83,2011
Radial Velocity,1,311.288,,17.24,1999
Transit,5,16.1457,,,2013
Radial Velocity,1,2208.0,1.45,,2012
Radial Velocity,1,1125.7,,121.36,2008
Radial Velocity,1,1143.0,,,2003
Transit,3,14.85888,,,2011
Transit,1,4.885525,,,2009
Radial Velocity,1,798.5,,21.41,1996
Radial Velocity,2,237.6,,,2009
Radial Velocity,1,772.0,2.7,127.88,2011
Transit,1,3.5327313,,300.0,2010
Radial Velocity,1,874.774,2.21,56.95,2008
Radial Velocity,1,2157.0,,,2009
Microlensing,1,2780.0,,,2011
Radial Velocity,1,192.0,,,2013
Radial Velocity,1,1695.0,,42.48,2009
Radial Velocity,1,2819.654,9.17,54.71,2002
Transit,1,1.7429935,,,2008
Radial Velocity,1,8.428198,,31.26,2002
Radial Velocity,1,2093.3,,,2012
Radial Velocity,2,85.131,,,2011
Radial Velocity,1,1136.1,5.93,62.11,2002
Radial Velocity,1,738.459,,34.6,2001
Transit,2,17.849,,,2013
Transit,1,3.5327313,,300.0,2010
Transit,1,3.652836,,297.0,2010
Radial Velocity,1,471.6,14.0,300.3,2005
Radial Velocity,3,459.26,0.121,26.91,2011
Transit,1,9.24285,,1230.0,2011
Radial Velocity,1,1733.0,,26.95,2011
Transit,2,16.3850021,,,2012
Microlensing,1,,,,2013
Transit,5,12.4417,,368.0,2013
Radial Velocity,1,7.3709,,9.04,2011
Transit,2,303.137,,1500.0,2012
Radial Velocity,2,454.2,1.45,16.57,2002
Radial Velocity,1,47.84,,49.33,2009
Radial Velocity,1,2.64385,,,2004
Radial Velocity,1,3.416,,74.46,2004
Transit,2,20.09,,,2012
Microlensing,1,,,,2009
Radial Velocity,2,406.6,1.49,59.03,1999
Radial Velocity,6,,,12.83,2012
Transit,1,10.863502,,190.0,2010
Radial Velocity,1,20.8133,,42.0,2005
Radial Velocity,2,263.3,,15.71,2010
Radial Velocity,1,18.179,0.33,86.88,2006
Radial Velocity,4,1276.46,,13.47,1999
Radial Velocity,2,53.881,,32.31,2011
Radial Velocity,2,225.62,2.88,,2000
Transit,1,0.925542,,470.0,2014
Radial Velocity,6,602.0,0.067,39.39,2010
Radial Velocity,2,14.07,0.0413,34.07,2011
Radial Velocity,2,883.0,0.86,,2010
Transit,1,,,,2009
Radial Velocity,1,137.48,1.11,175.44,2013
Transit,1,2.691548,,322.0,2014
Transit,1,2.7566004,,250.0,2010
Radial Velocity,1,533.0,,7.01,2010
Transit,7,91.93913,,780.0,2013
Microlensing,1,3500.0,,,2005
Radial Velocity,1,111.7,2.1,,2009
Radial Velocity,1,282.4,,51.81,2010
Radial Velocity,1,,0.47,,2010
Transit,7,124.9144,,,2013
Radial Velocity,1,24.348,,19.89,1999
Radial Velocity,2,53.881,,32.31,2011
Radial Velocity,2,452.8,,,2010
Radial Velocity,1,1966.1,1.34,48.64,2011
Transit,1,2.484193,,,2013
Radial Velocity,1,63.33,,44.37,2003
Transit,1,3.0763776,,230.0,2008
Transit,2,88.505,,,2013
Radial Velocity,1,1733.0,,26.95,2011
Transit,5,10.3117,,,2014
Radial Velocity,2,10.866,0.0097,21.52,2011
Radial Velocity,2,85.131,,35.89,2011
Radial Velocity,1,990.0,,59.84,2009
Transit,1,17.833648,,132.0,2013
Radial Velocity,3,197.0,0.058,12.58,2006
Radial Velocity,1,993.3,,73.1,2008
Radial Velocity,2,825.0,0.895,68.35,2010
Transit,2,38.5583038,,,2012
Transit,2,0.66931,,,2014
Transit,5,21.77596,,,2011
Transit,1,4.4652934,,,2006
Radial Velocity,2,379.1,2.25,94.61,2005
Radial Velocity,1,3999.0,,,2011
Orbital Brightness Modulation,1,1.54492875,,,2013
Microlensing,1,3300.0,,,2006
Transit,2,9.522,,,2012
Pulsar Timing,1,0.09070629,,,2011
Transit,2,15.3348,,,2011
Transit,1,5.508023,,166.0,2010
Radial Velocity,1,851.8,,,2007
Radial Velocity,1,18.596,,18.08,2011
Radial Velocity,2,567.0,0.33,43.53,2009
Radial Velocity,3,123.01,,,2009
Eclipse Timing Variations,1,10220.0,6.05,,2009
Transit,5,5.90124,,303.0,2011
Radial Velocity,1,6.403,,43.12,2002
Radial Velocity,1,466.2,,22.38,2003
Transit,1,3.8559,,480.0,2012
Microlensing,1,,,,2010
Radial Velocity,1,1038.1,,54.23,2007
Transit,2,7.81254,,,2012
Transit,1,2.9444256,,,2010
Radial Velocity,6,91.61,,6.8,2013
Transit,1,3.408821,,,2010
Radial Velocity,1,479.1,,97.28,2008
Transit,1,138.317,,,2012
Imaging,1,,,140.0,2004
Transit,2,,,,2013
Microlensing,1,,,2300.0,2012
Transit,1,0.94145299,,105.49,2009
Transit,3,1.865169,,,2011
Transit,1,3.852985,,261.0,2007
Radial Velocity,1,2063.818,10.35,,2001
Transit,1,17.815815,,,2013
Transit,1,3.101278,,,2004
Radial Velocity,2,1155.7,,55.31,2012
Microlensing,1,,,3600.0,2013
Radial Velocity,2,1160.9,,,2011
Transit,1,4.457243,,501.0,2012
Transit,1,4.187757,,260.0,2008
Imaging,1,318280.0,,7.69,2008
Transit,1,3.2130598,,,2009
Radial Velocity,1,184.02,2.7,88.26,2007
Radial Velocity,4,310.55,,15.28,2006
Transit,1,2.7033904,,178.0,2013
Radial Velocity,1,472.0,,50.43,2010
Microlensing,1,,,,2008
Radial Velocity,2,44.236,,42.68,2009
Imaging,1,,,,2013
Radial Velocity,2,1275.0,1.11,38.52,2011
Radial Velocity,2,13.505,0.0186,23.44,2011
Transit,1,1.62843142,,300.0,2008
Radial Velocity,1,6.1335,2.13,88.57,2005
Radial Velocity,2,25.648,,52.03,2013
Transit,1,3.652836,,297.0,2010
Radial Velocity,2,262.709,2.3,37.16,2000
Radial Velocity,3,580.0,,,2012
Microlensing,1,3500.0,,,2005
Radial Velocity,2,237.6,,42.09,2009
Radial Velocity,1,282.4,,51.81,2010
Eclipse Timing Variations,1,10220.0,,,2009
Transit,1,4.457243,,,2012
Radial Velocity,2,441.47,,27.46,2003
Radial Velocity,1,136.75,2.8,,2007
Transit,3,85.312,,,2012
Radial Velocity,1,1733.0,,26.95,2011
Transit,3,35.3331,,,2014
Eclipse Timing Variations,2,3321.0,,130.72,2008
Transit,1,4.457243,,501.0,2012
Transit,1,4.4379637,,600.0,2011
Radial Velocity,1,277.02,,80.64,2013
Radial Velocity,1,39.845,,,1997
Transit,1,66.262,,,2014
Radial Velocity,1,6.1335,,88.57,2005
Imaging,1,,,52.03,2012
Radial Velocity,1,479.0,,114.55,2009
Transit,7,210.60697,,,2013
Radial Velocity,3,8.1352,0.036,25.87,2011
Radial Velocity,2,567.0,0.33,43.53,2009
Radial Velocity,1,1845.0,0.91,8.77,2006
Radial Velocity,1,6.838,,47.37,2006
Radial Velocity,3,2295.0,0.683,33.24,2002
Radial Velocity,1,890.76,,48.95,2004
Radial Velocity,2,428.5,15.2,214.0,2009
Transit,3,85.312,,,2012
Radial Velocity,1,533.0,6.1,,2010
Radial Velocity,2,525.8,,8.82,2011
Radial Velocity,1,192.0,6.575,,2013
Transit,1,2.615864,,148.0,2007
Transit,2,16.23855,,470.0,2012
Radial Velocity,1,3999.0,1.9,50.45,2011
Radial Velocity,3,16.546,0.0363,38.01,2011
Radial Velocity,1,279.8,1.37,90.33,2008
Radial Velocity,1,528.07,13.65,,2011
Radial Velocity,1,116.6884,,18.11,1996
Imaging,1,,,,2004
Radial Velocity,3,459.26,,26.91,2011
Radial Velocity,1,111.7,2.1,,2009
Transit,2,51.538,,,2012
Transit,2,8.306,,,2012
Radial Velocity,1,,,38.02,2004
Transit,1,8.884924,,1140.0,2013
Transit,1,1.9550959,,,2011
Astrometry,1,1016.0,,14.98,2010
Transit,5,5.714932,,368.0,2013
Radial Velocity,4,3.14942,,6.27,2005
Transit,1,288.822,,1499.0,2011
Radial Velocity,1,3.48777,,80.0,2000
Radial Velocity,1,610.0,,170.07,2009
Transit,1,6.24658,,1030.0,2013
Radial Velocity,1,356.0,,131.41,2009
Eclipse Timing Variations,1,2900.0,,,2011
Microlensing,1,2780.0,,,2011
Transit,1,4.0161,,,2004
Radial Velocity,1,324.0,,,2013
Eclipse Timing Variations,2,3321.0,,130.72,2008
Transit,1,3.257215,,395.0,2011
Transit,2,5.005425,,354.0,2011
Radial Velocity,1,39.845,1.04,17.43,1997
