total_bill,tip,sex,smoker,day,time,size
23.1,4.0,Male,Yes,Sun,Dinner,3
28.44,2.56,Male,Yes,Thur,Lunch,2
12.66,2.5,Male,No,Sun,Dinner,2
20.45,3.0,Male,No,Sat,Dinner,4
13.42,3.48,Female,Yes,Fri,Lunch,2
27.2,4.0,Male,No,Thur,Lunch,4
27.18,2.0,Female,Yes,Sat,Dinner,2
18.78,3.0,Female,No,Thur,Dinner,2
23.33,5.65,Male,Yes,Sun,Dinner,2
24.52,3.48,Male,No,Sun,Dinner,3
17.82,1.75,Male,No,Sat,Dinner,2
15.98,2.03,Male,No,Thur,Lunch,2
28.15,3.0,Male,Yes,Sat,Dinner,5
14.0,3.0,Male,No,Sat,Dinner,2
28.44,2.56,Male,Yes,Thur,Lunch,2
18.43,3.0,Male,No,Sun,Dinner,4
16.27,2.5,Female,Yes,Fri,Lunch,2
20.53,4.0,Male,Yes,Thur,Lunch,4
9.78,1.73,Male,No,Thur,Lunch,2
20.92,4.08,Female,No,Sat,Dinner,2
15.69,1.5,Male,Yes,Sun,Dinner,2
26.59,3.41,Male,Yes,Sat,Dinner,3
12.02,1.97,Male,No,Sat,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
18.78,3.0,Female,No,Thur,Dinner,2
16.04,2.24,Male,No,Sat,Dinner,3
50.81,10.0,Male,Yes,Sat,Dinner,3
24.27,2.03,Male,Yes,Sat,Dinner,2
11.87,1.63,Female,No,Thur,Lunch,2
24.71,5.85,Male,No,Thur,Lunch,2
17.51,3.0,Female,Yes,Sun,Dinner,2
24.27,2.03,Male,Yes,Sat,Dinner,2
13.81,2.0,Male,Yes,Sat,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
12.74,2.01,Female,Yes,Thur,Lunch,2
38.01,3.0,Male,Yes,Sat,Dinner,4
13.81,2.0,Male,No,Sun,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
39.42,7.58,Male,No,Sat,Dinner,4
15.95,2.0,Male,No,Thur,Lunch,2
8.35,1.5,Female,No,Thur,Lunch,2
22.23,5.0,Male,No,Sun,Dinner,2
41.19,5.0,Male,No,Thur,Lunch,5
39.42,7.58,Male,No,Sat,Dinner,4
16.97,3.5,Female,No,Sun,Dinner,3
17.89,2.0,Male,Yes,Sun,Dinner,2
20.69,5.0,Male,No,Sun,Dinner,5
18.28,4.0,Male,No,Thur,Lunch,2
8.52,1.48,Male,No,Thur,Lunch,2
19.77,2.0,Male,No,Sun,Dinner,4
14.0,3.0,Male,No,Sat,Dinner,2
11.24,1.76,Male,Yes,Sat,Dinner,2
23.95,2.55,Male,No,Sun,Dinner,2
12.02,1.97,Male,No,Sat,Dinner,2
32.83,1.17,Male,Yes,Sat,Dinner,2
11.69,2.31,Male,No,Thur,Lunch,2
19.82,3.18,Male,No,Sat,Dinner,2
10.65,1.5,Female,No,Thur,Lunch,2
8.51,1.25,Female,No,Thur,Lunch,2
22.67,2.0,Male,Yes,Sat,Dinner,2
31.27,5.0,Male,No,Sat,Dinner,3
17.51,3.0,Female,Yes,Sun,Dinner,2
38.07,4.0,Male,No,Sun,Dinner,3
27.05,5.0,Female,No,Thur,Lunch,6
31.85,3.18,Male,Yes,Sun,Dinner,2
14.48,2.0,Male,Yes,Sun,Dinner,2
17.82,1.75,Male,No,Sat,Dinner,2
18.15,3.5,Female,Yes,Sun,Dinner,3
3.07,1.0,Female,Yes,Sat,Dinner,1
25.28,5.0,Female,Yes,Sat,Dinner,2
24.55,2.0,Male,No,Sun,Dinner,4
12.43,1.8,Female,No,Thur,Lunch,2
22.82,2.18,Male,No,Thur,Lunch,3
26.86,3.14,Female,Yes,Sat,Dinner,2
34.3,6.7,Male,No,Thur,Lunch,6
18.26,3.25,Female,No,Thur,Lunch,2
35.83,4.67,Female,No,Sat,Dinner,3
20.23,2.01,Male,No,Sat,Dinner,2
18.28,4.0,Male,No,Thur,Lunch,2
11.24,1.76,Male,Yes,Sat,Dinner,2
24.27,2.03,Male,Yes,Sat,Dinner,2
12.66,2.5,Male,No,Sun,Dinner,2
3.07,1.0,Female,Yes,Sat,Dinner,1
16.66,3.4,Male,No,Thur,Lunch,2
18.78,3.0,Female,No,Thur,Dinner,2
29.85,5.14,Female,No,Sun,Dinner,5
13.94,3.06,Male,No,Sun,Dinner,2
14.83,3.02,Female,No,Sun,Dinner,2
50.81,10.0,Male,Yes,Sat,Dinner,3
17.51,3.0,Female,Yes,Sun,Dinner,2
16.93,3.07,Female,No,Sat,Dinner,3
32.68,5.0,Male,Yes,Thur,Lunch,2
29.8,4.2,Female,No,Thur,Lunch,6
23.68,3.31,Male,No,Sun,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
10.65,1.5,Female,No,Thur,Lunch,2
30.14,3.09,Female,Yes,Sat,Dinner,4
16.47,3.23,Female,Yes,Thur,Lunch,3
17.59,2.64,Male,No,Sat,Dinner,3
16.31,2.0,Male,No,Sat,Dinner,3
35.83,4.67,Female,No,Sat,Dinner,3
15.69,3.0,Male,Yes,Sat,Dinner,3
18.43,3.0,Male,No,Sun,Dinner,4
16.27,2.5,Female,Yes,Fri,Lunch,2
20.53,4.0,Male,Yes,Thur,Lunch,4
5.75,1.0,Female,Yes,Fri,Dinner,2
27.28,4.0,Male,Yes,Fri,Dinner,2
17.59,2.64,Male,No,Sat,Dinner,3
13.42,1.58,Male,Yes,Fri,Lunch,2
13.16,2.75,Female,No,Thur,Lunch,2
13.39,2.61,Female,No,Sun,Dinner,2
18.15,3.5,Female,Yes,Sun,Dinner,3
15.98,3.0,Female,No,Fri,Lunch,3
7.51,2.0,Male,No,Thur,Lunch,2
15.36,1.64,Male,Yes,Sat,Dinner,2
9.68,1.32,Male,No,Sun,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
16.04,2.24,Male,No,Sat,Dinner,3
20.65,3.35,Male,No,Sat,Dinner,3
19.77,2.0,Male,No,Sun,Dinner,4
32.9,3.11,Male,Yes,Sun,Dinner,2
15.01,2.09,Male,Yes,Sat,Dinner,2
40.55,3.0,Male,Yes,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
29.93,5.07,Male,No,Sun,Dinner,4
22.67,2.0,Male,Yes,Sat,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
12.69,2.0,Male,No,Sat,Dinner,2
10.09,2.0,Female,Yes,Fri,Lunch,2
20.69,5.0,Male,No,Sun,Dinner,5
18.28,4.0,Male,No,Thur,Lunch,2
26.88,3.12,Male,No,Sun,Dinner,4
20.45,3.0,Male,No,Sat,Dinner,4
22.76,3.0,Male,No,Thur,Lunch,2
13.03,2.0,Male,No,Thur,Lunch,2
22.23,5.0,Male,No,Sun,Dinner,2
