subject,timepoint,event,region,signal
s8,0,stim,parietal,-0.078354993971085
s7,12,stim,parietal,-0.192468929254909
s6,4,stim,parietal,0.141287761423426
s4,9,stim,parietal,-0.089038110827121
s3,14,stim,parietal,-0.000402795507492
s2,1,stim,parietal,0.039203364547008
s1,16,stim,parietal,-0.13373325293454
s0,10,stim,parietal,0.217830828397182
s13,3,stim,parietal,-0.253590594691431
s5,0,stim,parietal,-0.16011230845294
s12,3,stim,parietal,0.151606817630573
s11,3,stim,parietal,-0.070141099379789
s10,5,stim,parietal,-0.066917425739016
s9,3,stim,parietal,-0.069157771466498
s8,11,stim,parietal,0.158416626864408
s7,0,stim,parietal,-0.155382423814388
s6,0,stim,parietal,0.16977496824461
s4,18,stim,parietal,0.175893641425245
s3,4,stim,parietal,-0.05133261961477
s2,12,stim,parietal,0.08751952043853
s1,14,stim,parietal,-0.066416605396762
s0,2,stim,parietal,-0.010106237852012
s13,0,stim,parietal,-0.058989240819544
s5,1,stim,parietal,0.027445584103453
s12,10,stim,parietal,0.167555412520384
s11,15,stim,parietal,-0.113224521446572
s10,7,stim,parietal,0.00319365118387
s9,17,stim,parietal,-0.079900860364853
s8,16,stim,parietal,-0.056052327967195
s7,15,stim,parietal,-0.119750825791461
s6,16,stim,parietal,0.057132283568115
s4,18,stim,parietal,0.21148244162742
s3,1,stim,parietal,-0.159098915617408
s2,1,stim,parietal,0.017392489850917
s1,5,stim,parietal,0.235410005137588
s0,5,stim,parietal,-0.121702798062022
s13,18,stim,parietal,0.075612013371787
s5,7,stim,parietal,-0.101314274151394
s12,14,stim,parietal,0.051380420297915
s11,16,stim,parietal,0.13679944900185
s10,3,stim,parietal,-0.058164992580577
s9,7,stim,parietal,0.039139194786295
s8,7,stim,parietal,0.032639213607127
s7,7,stim,parietal,0.013253317271875
s6,16,stim,parietal,0.004538634560778
s4,1,stim,parietal,-0.087895121650984
s3,4,stim,parietal,-0.011811374792967
s2,15,stim,parietal,-0.122030249501492
s1,3,stim,parietal,0.131697741885157
s0,6,stim,parietal,-0.033748923786615
s13,1,stim,parietal,0.004007252870242
s5,1,stim,parietal,-0.020606248930254
s12,4,stim,parietal,0.109254613659757
s11,5,stim,parietal,0.040153462698631
s10,2,stim,parietal,0.281326639281743
s9,6,stim,parietal,-0.25548585958000003
s8,4,stim,parietal,0.182482444926826
s7,9,stim,parietal,0.116029198043313
s6,0,stim,parietal,-0.075749562786897
s4,9,stim,parietal,0.246442589528537
s3,13,stim,parietal,-0.084021766763139
s2,18,stim,parietal,-0.160610151026981
s1,6,stim,parietal,-0.053474596283698
s0,15,stim,parietal,0.127755105433301
s13,10,stim,parietal,-0.061424318272763
s5,9,stim,parietal,0.074581865108475
s12,16,stim,parietal,0.039439562415441
s11,18,stim,parietal,-0.107794966325175
s10,7,stim,parietal,0.101485981211041
s9,16,stim,parietal,-0.013136541756557
s8,1,stim,parietal,-0.094079527211879
s7,13,stim,parietal,0.084509185135749
s6,15,stim,parietal,-0.035715025802922
s4,6,stim,parietal,0.129849556553192
s3,5,stim,parietal,0.173307422540687
s2,7,stim,parietal,0.104404441991971
s1,5,stim,parietal,-0.018370552213254
s0,14,stim,parietal,-0.07841837956822
s13,5,stim,parietal,0.061196252046633
s5,10,stim,parietal,-0.013207041631932
s12,6,stim,parietal,-0.015437173449984
s11,12,stim,parietal,-0.211491621711158
s10,1,stim,parietal,0.009939743525432
s9,11,stim,parietal,-0.25548585958000003
s8,5,stim,parietal,0.011492968365455
s7,10,stim,parietal,0.194072143810211
s6,17,stim,parietal,-0.000640926578249
s4,17,stim,parietal,-0.074043104485786
s3,3,stim,parietal,0.088746394556401
s2,14,stim,parietal,0.187748987074436
s1,6,stim,parietal,0.013626627970784
s0,6,stim,parietal,0.13715845067879
s13,9,stim,parietal,0.010716342498787
s5,18,stim,parietal,0.208992065701249
s12,17,stim,parietal,-0.226872034412913
s11,14,stim,parietal,-0.162553464455121
s10,17,stim,parietal,-0.058877337992535
s9,6,stim,parietal,0.118687381129828
s8,13,stim,parietal,0.056619825250171
s7,13,stim,parietal,0.219567363148872
s6,15,stim,parietal,0.206882372980121
s4,15,stim,parietal,0.03519742895028
s3,16,stim,parietal,-0.018366008611226
s2,10,stim,parietal,0.236205464908858
s1,8,stim,parietal,-0.130299096620228
s0,18,stim,parietal,-0.054287078529337
s13,15,stim,parietal,-0.162669238092511
s5,2,stim,parietal,-0.034102467080047
s12,1,stim,parietal,-0.103921577997636
s11,3,stim,parietal,0.120115126634085
s10,7,stim,parietal,0.242916032378195
s9,0,stim,parietal,0.082765086665288
s8,5,stim,parietal,0.087467142866623
s7,18,stim,parietal,0.211316995114493
s6,18,stim,parietal,0.10832472356852
s4,3,stim,parietal,0.126468782002712
s3,8,stim,parietal,0.047871332236283
s2,17,stim,parietal,-0.104660834228814
s1,16,stim,parietal,0.023543407769004
s0,1,stim,parietal,0.011149824639659
s13,18,stim,parietal,-0.202738663223638
s5,12,stim,parietal,-0.039525293326314
s12,17,stim,parietal,-0.043810625871197
s11,10,stim,parietal,0.036854535730305
s10,13,stim,parietal,0.09806396558616
s9,16,stim,parietal,-0.039975496980755
s8,16,stim,parietal,-0.25548585958000003
s7,5,stim,parietal,0.018323975173754
s6,0,stim,parietal,-0.133970276479989
s4,6,stim,parietal,0.108353230145529
s3,13,stim,parietal,-0.101644376433311
s2,18,stim,parietal,0.055646586601833
s1,16,stim,parietal,-0.036211968297483
s0,8,stim,parietal,-0.09829172279887
s13,13,stim,parietal,0.216376485127939
s5,5,stim,parietal,0.087703638230526
s12,6,stim,parietal,-0.037197140426783
s11,11,stim,parietal,0.02816457775113
s10,4,stim,parietal,-0.075383106960852
s9,3,stim,parietal,-0.034179324668352
s8,8,stim,parietal,-0.193590830588321
s7,16,stim,parietal,0.09060180557475
s6,14,stim,parietal,0.076439656953122
s4,6,stim,parietal,0.295705337833754
s3,14,stim,parietal,0.113140034621536
s2,2,stim,parietal,0.043149967912491
s1,13,stim,parietal,-0.154666684216795
s0,6,stim,parietal,-0.046688283900861
s13,12,stim,parietal,-0.174794401704062
s5,14,stim,parietal,0.050730975591615
s12,18,stim,parietal,-0.047067763620743
s11,8,stim,parietal,0.006407132599727
s10,15,stim,parietal,-0.044237250989956
s9,9,stim,parietal,-0.040305489881867
s8,9,stim,parietal,-0.008535668286621
s7,14,stim,parietal,0.145841406218098
s6,5,stim,parietal,-0.201041557025167
s4,9,stim,parietal,0.120626489972657
s3,7,stim,parietal,-0.199350638941305
s2,6,stim,parietal,-0.25548585958000003
s1,16,stim,parietal,0.054704142089355
s0,1,stim,parietal,0.043043064986924
s13,17,stim,parietal,0.090832836061863
s5,14,stim,parietal,-0.06463179441699
s12,6,stim,parietal,0.036411207720877
s11,3,stim,parietal,0.014870684807832
s10,6,stim,parietal,-0.08245950721626
s9,12,stim,parietal,0.083133263711188
s8,12,stim,parietal,-0.150273463582465
s7,11,stim,parietal,0.099443534967961
s6,12,stim,parietal,0.066596502831713
s4,3,stim,parietal,-0.13858808410853
s3,9,stim,parietal,-0.101787282978761
s2,7,stim,parietal,-0.039322236516716
s1,0,stim,parietal,-0.065117420451269
s0,13,stim,parietal,-0.179362253307368
s13,2,stim,parietal,0.158677796960909
s5,12,stim,parietal,-0.0494782135069
s12,10,stim,parietal,-0.002560144772294
s11,6,stim,parietal,0.06637119387662
s10,3,stim,parietal,0.039179958159118
s9,13,stim,parietal,0.140314989311316
s8,3,stim,parietal,-0.09039579252918
s7,6,stim,parietal,0.165558696097893
s6,9,stim,parietal,-0.173149816742802
s4,6,stim,parietal,-0.077575436085878
s3,2,stim,parietal,0.07871483237234
s2,12,stim,parietal,0.030927100707132
s1,9,stim,parietal,0.026208972114401
s0,0,stim,parietal,-0.24007975064654
s13,11,stim,parietal,0.01900579930407
s5,12,stim,parietal,0.135155552094218
s12,4,stim,parietal,0.059518244715806
s11,15,stim,parietal,0.035641895900107
s10,18,stim,parietal,-0.07952223283781
s9,17,stim,parietal,-0.075751740371762
s8,12,stim,parietal,0.110833211925408
s7,4,stim,parietal,0.076036682173786
s6,3,stim,parietal,0.07654999227509
s4,11,stim,parietal,-0.020435000411756
s3,12,stim,parietal,0.114729054402205
s2,1,stim,parietal,-0.13233918783198
s1,0,stim,parietal,0.179323846450299
s0,5,stim,parietal,-0.073411071244448
s13,10,stim,parietal,0.004853802495497
s5,3,stim,parietal,0.01253891701436
s12,10,stim,parietal,-0.25548585958000003
s11,3,stim,parietal,-0.108791110677752
s10,16,stim,parietal,0.039156658509837
s9,2,stim,parietal,-0.000622149313033
s8,1,stim,parietal,0.011161033151045
s7,1,stim,parietal,0.091735666507015
s6,17,stim,parietal,0.12865231227676
s4,5,stim,parietal,-0.059653160519045
s3,12,stim,parietal,0.205914762009954
s2,14,stim,parietal,-0.184842305896909
s1,13,stim,parietal,-0.108062642986166
s0,16,stim,parietal,-0.100969040925535
s13,15,stim,parietal,-0.031086439194988
s5,7,stim,parietal,-0.009563086661008
s12,7,stim,parietal,-0.004581419861761
s11,3,stim,parietal,-0.124480307294354
s10,12,stim,parietal,-0.18236444765138
s9,18,stim,parietal,-0.059475099311558
s8,12,stim,parietal,0.051358016583991
s7,10,stim,parietal,0.157417509526689
s6,15,stim,parietal,0.019326252830206
s4,10,stim,parietal,0.087077002392729
s3,14,stim,parietal,-0.038216097202795
s2,8,stim,parietal,0.053517184623348
s1,16,stim,parietal,-0.015314747179426
s0,2,stim,parietal,-0.120598466724883
s13,7,stim,parietal,0.207766976195925
s5,2,stim,parietal,0.118792707646702
s12,9,stim,parietal,0.020190509362403
s11,2,stim,parietal,0.01988110889871
s10,7,stim,parietal,-0.086069835136193
s5,1,stim,parietal,-0.023068874605723
s8,16,stim,parietal,-0.111029710861527
s7,16,stim,parietal,-0.063700345879186
s6,1,stim,parietal,0.170297694813217
s4,16,stim,parietal,-0.034714987176742
s3,15,stim,parietal,0.044190010073184
s2,6,stim,parietal,0.011512547115066
s1,12,stim,parietal,0.108168308888314
s0,10,stim,parietal,-0.25548585958000003
s13,17,stim,parietal,-0.181381295957265
s5,1,stim,parietal,-0.169988839834428
s12,9,stim,parietal,0.165798451576805
s11,15,stim,parietal,0.178206355378448
s10,12,stim,parietal,-0.08156853306923
s9,2,stim,parietal,-0.212288782026538
s8,0,stim,parietal,0.147821167674453
s7,12,stim,parietal,0.225964274739528
s6,12,stim,parietal,0.021730826680833
s4,16,stim,parietal,0.102673658177936
s3,7,stim,parietal,0.067144827227104
s2,0,stim,parietal,0.046615310825274
s1,16,stim,parietal,0.262018774865466
s0,6,stim,parietal,-0.047019530440704
s13,6,stim,parietal,0.043055590514166
s5,15,stim,parietal,-0.001402599129965
s12,12,stim,parietal,0.149707550034719
s11,0,stim,parietal,-0.003035090704715
s10,0,stim,parietal,-0.021101013807415
s9,12,stim,parietal,-0.198737469384281
s8,11,stim,parietal,0.069560858845553
s7,13,stim,parietal,0.167680078887198
s6,11,stim,parietal,0.010074573881386
s4,1,stim,parietal,0.037698597304405
s3,8,stim,parietal,-0.094316585379729
s2,8,stim,parietal,-0.145748642104447
s1,0,stim,parietal,-0.076422574228731
s0,11,stim,parietal,-0.084257987886444
s13,10,stim,parietal,-0.178768879538481
s5,17,stim,parietal,0.089967760989097
s12,12,stim,parietal,0.052456092646713
s11,5,stim,parietal,0.109726611295104
s10,15,stim,parietal,-0.075251283540546
s9,16,stim,parietal,0.0848991883011
s8,7,stim,parietal,0.151465208458858
s7,5,stim,parietal,0.029990058366485
s6,17,stim,parietal,0.002050496771329
s4,14,stim,parietal,-0.046201669909901
s3,5,stim,parietal,0.097387050874135
s2,15,stim,parietal,-0.046677751317787
s1,15,stim,parietal,0.097031007741135
s0,3,stim,parietal,0.003704969492982
s13,16,stim,parietal,-0.019494082829897
s5,14,stim,parietal,-0.14674493609898
s12,14,stim,parietal,-0.195620640517154
s11,1,stim,parietal,-0.129022982665351
s10,11,stim,parietal,-0.035116967598878
s9,18,stim,parietal,-0.013511948886842
s8,9,stim,parietal,0.14758962350081
s7,12,stim,parietal,0.002998129838353
s6,16,stim,parietal,0.29095154695003
s4,2,stim,parietal,0.093417094128502
s3,3,stim,parietal,0.023830394034907
s2,12,stim,parietal,0.014715372952516
s1,9,stim,parietal,0.025174195147043
s0,15,stim,parietal,-0.132015517983231
s13,4,stim,parietal,-0.029449423193505
s5,5,stim,parietal,0.036510052707602
s12,11,stim,parietal,-0.138541051238336
s11,2,stim,parietal,0.151791513769946
s10,0,stim,parietal,-0.058083362247552
s9,18,stim,parietal,0.028702256102919
s8,8,stim,parietal,0.160255746590546
s7,15,stim,parietal,0.053744591783648
s6,14,stim,parietal,-0.034124898425781
s4,7,stim,parietal,0.077641601106171
s3,8,stim,parietal,-0.00897791804406
s2,9,stim,parietal,-0.00579302621108
s1,3,stim,parietal,-0.063300994245543
s0,3,stim,parietal,0.028285491304699
s13,7,stim,parietal,0.141150926566554
s5,18,stim,parietal,0.023200283356731
s12,15,stim,parietal,0.137221157631175
s11,2,stim,parietal,0.055472175278836
s10,11,stim,parietal,-0.022614511119186
s9,1,stim,parietal,0.282239930050256
s8,4,stim,parietal,0.423608334723964
s7,15,stim,parietal,-0.200612667209332
s6,9,stim,parietal,0.013577372028884
s4,13,stim,parietal,-0.047921004313312
s3,17,stim,parietal,0.003259508605869
s2,7,stim,parietal,-0.200300305839622
s1,18,stim,parietal,0.086247871913308
s0,15,stim,parietal,0.072040309136562
s13,6,stim,parietal,0.155997706737045
s5,11,stim,parietal,-0.149418479682857
s12,11,stim,parietal,0.022986738357475
s11,17,stim,parietal,-0.132711330082088
s10,15,stim,parietal,-0.044297108473776
s9,3,stim,parietal,0.110622795915037
s8,4,stim,parietal,0.081859556127732
s7,4,stim,parietal,0.013323753764442
s6,0,stim,parietal,0.101789850649664
s4,1,stim,parietal,-0.120843889122979
s3,8,stim,parietal,0.046428217133348
s2,17,stim,parietal,-0.25548585958000003
s1,8,stim,parietal,-0.25548585958000003
s0,3,stim,parietal,0.337104261822106
s13,15,stim,parietal,-0.189386879271122
s5,6,stim,parietal,-0.248856283913358
s12,8,stim,parietal,0.114750543208472
s11,3,stim,parietal,-0.245897175471322
s10,11,stim,parietal,-0.131549176934399
s9,2,stim,parietal,0.011060504618474
s8,7,stim,parietal,-0.056558278087744
s7,7,stim,parietal,0.000233379142969
s6,10,stim,parietal,0.074387301365775
s4,9,stim,parietal,0.145798272656285
s3,0,stim,parietal,0.110967419207625
s2,7,stim,parietal,0.052969467793648
s1,1,stim,parietal,-0.06536155567468
s0,14,stim,parietal,-0.038299903372902
s13,18,stim,parietal,0.089438243556817
s5,2,stim,parietal,0.185633825973909
s12,10,stim,parietal,-0.104857407553772
s11,18,stim,parietal,0.13926216754519
s10,1,stim,parietal,0.201496526184486
s9,1,stim,parietal,-0.011975525036547
s8,4,stim,parietal,-0.015017058280617
s7,8,stim,parietal,-0.007670169791646
s6,18,stim,parietal,-0.196316198800654
s4,3,stim,parietal,0.1443478781856
s3,2,stim,parietal,0.091415141266136
s2,6,stim,parietal,-0.093845898784058
s1,15,stim,parietal,-0.075123074991429
s0,0,stim,parietal,-0.100964141557162
s13,13,stim,parietal,0.126382968932003
s5,1,stim,parietal,0.20913857659969
s12,17,stim,parietal,0.06698128331033
s11,17,stim,parietal,-0.186340327664146
s10,16,stim,parietal,0.335808443313614
s9,9,stim,parietal,0.01254384425137
s8,14,stim,parietal,-0.190741688848453
s7,8,stim,parietal,0.062002138715139
s6,13,stim,parietal,-0.005863963826334
s4,13,stim,parietal,0.137093578242027
s3,17,stim,parietal,-0.02834371498804
s2,17,stim,parietal,-0.109441498508332
s1,15,stim,parietal,0.120440940268697
s0,16,stim,parietal,-0.04659079972064
s13,18,stim,parietal,-0.161368000649452
s5,10,stim,parietal,0.129042466565553
s12,8,stim,parietal,0.034103994554313
s11,9,stim,parietal,-0.096818722724523
s10,4,stim,parietal,0.018945933195916
s9,2,stim,parietal,0.034841896633826
s8,11,stim,parietal,0.065050629653973
s7,4,stim,parietal,0.031950074032568
s6,8,stim,parietal,-0.219302240698408
s4,11,stim,parietal,0.078500522271422
s3,12,stim,parietal,-0.120049129207767
s2,3,stim,parietal,0.196097772908602
s1,18,stim,parietal,0.037632239486916
s0,10,stim,parietal,0.073725648261959
s13,14,stim,parietal,0.161264510871439
s5,18,stim,parietal,-0.017157307174316
s12,1,stim,parietal,0.160069417603983
s11,4,stim,parietal,0.009280647130037
s10,0,stim,parietal,0.198550697704669
s9,10,stim,parietal,-0.016977732594379
s8,9,stim,parietal,0.052246936412043
s7,1,stim,parietal,-0.137827541051811
s6,11,stim,parietal,0.150691304079616
s4,14,stim,parietal,0.152744115490542
s3,11,stim,parietal,0.121206636046398
s2,17,stim,parietal,-0.204108172800665
s1,12,stim,parietal,0.0850716698044
s0,7,stim,parietal,0.413229461024768
s13,13,stim,parietal,0.052407522326825
s5,6,stim,parietal,0.130067200672987
s12,6,stim,parietal,0.0463730851966
s11,15,stim,parietal,-0.218567466194886
s10,9,stim,parietal,0.078832816564104
s9,6,stim,parietal,-0.073302438753613
s8,3,stim,parietal,0.091861829556624
s7,0,stim,parietal,0.061026487984019
s6,15,stim,parietal,0.006812129207833
s4,17,stim,parietal,0.209808722322666
s3,18,stim,parietal,-0.007564107619387
s2,0,stim,parietal,-0.161606042323668
s1,5,stim,parietal,-0.18376837758411
s0,16,stim,parietal,0.093745216791626
s13,2,stim,parietal,0.126884208228406
s5,17,stim,parietal,0.110453809160128
s12,8,stim,parietal,0.057925062331791
s11,17,stim,parietal,-0.141823300514862
s10,11,stim,parietal,-0.172020044197571
s9,15,stim,parietal,0.191917225731843
s8,17,stim,parietal,0.136766274779042
s7,2,stim,parietal,0.198818937628076
s6,12,stim,parietal,0.04351091515979
s4,9,stim,parietal,-0.13362916571303
s3,14,stim,parietal,0.086614153012561
s2,6,stim,parietal,0.017260174736632
s1,11,stim,parietal,-0.067026450211708
s0,13,stim,parietal,0.094769037719605
s13,0,stim,parietal,-0.125582639729889
s5,15,stim,parietal,0.008684592864228
s12,7,stim,parietal,0.117184452789623
s11,6,stim,parietal,-0.181280117403078
s10,18,stim,parietal,0.202795789249568
s9,15,stim,parietal,0.038518479473356
s8,16,stim,parietal,0.054871022211513
s7,6,stim,parietal,0.065552853016475
s6,18,stim,parietal,-0.110652113963837
s4,7,stim,parietal,0.060372376219232
s3,16,stim,parietal,0.041812954953201
s2,13,stim,parietal,-0.038624806383407
s1,16,stim,parietal,0.173051045171153
s0,4,stim,parietal,-0.053619657533722
s13,2,stim,parietal,0.065136249274213
s5,3,stim,parietal,0.040299302310965
s12,12,stim,parietal,0.231965529197242
s11,16,stim,parietal,0.127940803301985
s10,14,stim,parietal,-0.25548585958000003
s9,10,stim,parietal,-0.173046470962462
s8,14,stim,parietal,0.010800466950448
s7,1,stim,parietal,0.188716011627474
s6,3,stim,parietal,0.091436668607957
s4,12,stim,parietal,-0.234445148180092
s3,12,stim,parietal,-0.019884707515383
s2,18,stim,parietal,0.005247915298473
s1,4,stim,parietal,0.036543413585851
s0,2,stim,parietal,-0.125130121027103
s9,11,stim,parietal,0.137486040609586
s8,13,cue,frontal,-0.051800210425211
s12,9,cue,frontal,-0.035788239279375
s11,1,cue,frontal,-0.023755544207433
s10,1,cue,frontal,0.008406873950454
s9,3,cue,frontal,-0.008914822241811
s8,0,cue,frontal,-0.027716040378618
s7,15,cue,frontal,0.031101802363226
s6,16,cue,frontal,0.034492594371699
s4,0,cue,frontal,-0.159414270219275
s3,2,cue,frontal,0.054770729419418
s2,14,cue,frontal,-0.019929910950178
s1,3,cue,frontal,-0.038098196026315
s0,3,cue,frontal,-0.007814218869791
s13,3,cue,frontal,-0.05840659761931
s5,13,cue,frontal,-0.008555414836761
s12,1,cue,frontal,0.039064846147845
s11,1,cue,frontal,-0.005799075930322
s10,1,cue,frontal,-0.06085424787109
s9,13,cue,frontal,0.004358213638731
s8,10,cue,frontal,-0.053411388323632
s7,11,cue,frontal,0.035308602349302
s6,15,cue,frontal,0.002400496123874
s4,13,cue,frontal,-0.129876480615526
s3,5,cue,frontal,-0.014125484223495
s2,13,cue,frontal,-0.016948966499767
s1,4,cue,frontal,-0.051386874201114
s0,10,cue,frontal,-0.042741283294266
s13,11,cue,frontal,-0.013518480940304
s5,1,cue,frontal,-0.031962193405619
s12,4,cue,frontal,0.04013485106934
s11,15,cue,frontal,0.070360160338033
s10,9,cue,frontal,-0.005411315033225
s9,6,cue,frontal,-0.00204860850158
s8,7,cue,frontal,-0.021719042036228
s7,15,cue,frontal,0.011410094210491
s6,17,cue,frontal,0.032426643550661
s4,8,cue,frontal,-0.025225433357395
s3,2,cue,frontal,0.051106475225404
s2,10,cue,frontal,-0.011697438752521
s1,3,cue,frontal,-0.016976923844691
s0,12,cue,frontal,0.067570650192392
s13,3,cue,frontal,-0.044649959289547
s5,12,cue,frontal,-0.00461734950167
s12,6,cue,frontal,0.052310624497012
s11,14,cue,frontal,0.009266919218198
s10,7,cue,frontal,0.089783989530828
s9,5,cue,frontal,-0.043844869818456
s8,6,cue,frontal,0.022502135125461
s7,18,cue,frontal,-0.062481619641233
s6,7,cue,frontal,0.023146151262892
s4,17,cue,frontal,-0.060807946553676
s3,0,cue,frontal,0.000429871609359
s2,0,cue,frontal,-0.080626513763992
s1,2,cue,frontal,-0.001350132369721
s0,16,cue,frontal,0.108294688331023
s13,2,cue,frontal,0.063955770938159
s5,13,cue,frontal,0.044270050898863
s12,13,cue,frontal,-0.073404600956561
s11,2,cue,frontal,0.057981175859058
s10,2,cue,frontal,0.005460089799493
s9,12,cue,frontal,0.102007334646197
s8,3,cue,frontal,0.044214277612502
s7,11,cue,frontal,0.013864796330694
s6,7,cue,frontal,-0.026088553092873
s4,15,cue,frontal,0.017559516628061
s3,18,cue,frontal,-0.014687920992626
s2,10,cue,frontal,-0.05955750299034
s1,16,cue,frontal,-0.060516975784773
s0,1,cue,frontal,0.040841559640945
s13,7,cue,frontal,-0.079230319036209
s5,4,cue,frontal,-0.061320430283129
s12,15,cue,frontal,-0.018500101918233
s11,4,cue,frontal,-0.05050833427296
s10,6,cue,frontal,0.020691660569743
s9,12,cue,frontal,-0.049913597395789
s8,10,cue,frontal,-0.019171325765079
s7,7,cue,frontal,-0.087024919728328
s6,15,cue,frontal,-0.004221848835599
s4,4,cue,frontal,-0.001426412608666
s3,0,cue,frontal,-0.022510255366404
s2,12,cue,frontal,-0.101692133192169
s1,2,cue,frontal,-0.006483856490373
s0,4,cue,frontal,0.039263691387239
s13,15,cue,frontal,-0.065803201671251
s5,3,cue,frontal,0.046041079901515
s12,9,cue,frontal,-0.011579359568278
s11,17,cue,frontal,-0.003015853815776
s10,2,cue,frontal,-0.014552826499574
s9,0,cue,frontal,-0.029066267541473
s8,7,cue,frontal,-0.026596851720907
s7,15,cue,frontal,-0.025182643522831
s6,13,cue,frontal,-0.030610486250816
s4,6,cue,frontal,-0.038954675722331
s3,15,cue,frontal,-0.060065100690449
s2,5,cue,frontal,-0.035475511270104
s1,2,cue,frontal,0.073585863175618
s0,12,cue,frontal,-0.090061035985631
s13,17,cue,frontal,-0.00489568077939
s5,10,cue,frontal,-0.067601545462491
s12,1,cue,frontal,0.000990965531678
s11,16,cue,frontal,0.011295157380173
s10,6,cue,frontal,0.024659414672289
s9,16,cue,frontal,-0.009374335554958
s8,0,cue,frontal,-0.002800012103701
s7,2,cue,frontal,-0.018764443906827
s6,1,cue,frontal,0.020797243296173
s4,14,cue,frontal,0.004407765048503
s3,9,cue,frontal,0.022238955157389
s2,14,cue,frontal,-0.028457157078632
s1,16,cue,frontal,0.042483712683491
s0,0,cue,frontal,0.151171652262078
s13,4,cue,frontal,-0.00745015159554
s5,11,cue,frontal,-0.059435927433945
s12,11,cue,frontal,-0.074725031665097
s11,7,cue,frontal,0.047788179110788
s10,16,cue,frontal,0.009988107594244
s9,3,cue,frontal,0.025793646012313
s8,2,cue,frontal,-0.06776099788738
s7,6,cue,frontal,-0.015847758928595
s6,13,cue,frontal,-0.029998086143681
s4,6,cue,frontal,0.017742397330631
s3,3,cue,frontal,0.024366406476844
s2,17,cue,frontal,0.071588174876701
s1,2,cue,frontal,0.0532137814207
s0,6,cue,frontal,0.011723089236788
s13,9,cue,frontal,-0.000272066988092
s5,11,cue,frontal,0.044952306495049
s12,18,cue,frontal,0.085314099993459
s11,3,cue,frontal,0.025679030814865
s10,5,cue,frontal,-0.041754307370636
s9,17,cue,frontal,-0.019891677568453
s8,6,cue,frontal,-0.008467705988957
s7,13,cue,frontal,0.057770671961061
s6,11,cue,frontal,-0.0635783133978
s4,10,cue,frontal,-0.019863925886499
s3,16,cue,frontal,0.102101240193263
s2,14,cue,frontal,0.072840157889361
s1,6,cue,frontal,-0.060434570179982
s0,14,cue,frontal,-0.044310576778465
s13,11,cue,frontal,0.025273284905411
s5,13,cue,frontal,0.036275878857221
s12,1,cue,frontal,-0.077400092218289
s11,1,cue,frontal,-0.086545222097251
s10,7,cue,frontal,0.03410566357061
s9,13,cue,frontal,-0.069760965619817
s8,0,cue,frontal,0.032423937263249
s7,10,cue,frontal,-0.012529263963399
s6,14,cue,frontal,-0.013241373686905
s4,9,cue,frontal,-0.010676288068146
