method,number,orbital_period,mass,distance,year
Radial Velocity,1,903.3,1.85,,2003
Transit,4,3.743208,,,2013
Radial Velocity,1,3638.0,6.9,,2012
Radial Velocity,3,1931.0,4.05,47.3,2009
Transit,5,12.4417,,368.0,2013
Radial Velocity,1,326.03,19.4,,2007
Transit,2,10.5016,,,2012
Pulsar Timing,1,36525.0,,,2003
Transit,1,2.718659,,,2010
Radial Velocity,1,388.0,9.1,20.98,2005
Radial Velocity,1,956.0,,55.93,2009
Imaging,1,,,,2012
Radial Velocity,5,,0.172,12.53,2007
Microlensing,1,3500.0,,,2005
Radial Velocity,1,17337.5,,,2009
Transit,3,39.792187,,66.0,2013
Radial Velocity,1,1155.0,0.36,21.92,2005
Radial Velocity,3,459.26,0.121,26.91,2011
Transit,2,15.9654,,,2014
Radial Velocity,1,498.9,,84.03,2009
Radial Velocity,2,525.8,0.07552,,2011
Radial Velocity,1,,,150.6,2011
Transit,1,4.954658,,140.0,2008
Radial Velocity,1,361.1,,,2011
Radial Velocity,1,2288.0,0.82,12.12,2009
Radial Velocity,1,1634.0,,,2009
Radial Velocity,1,2082.0,,,2013
Radial Velocity,2,14.07,0.0413,34.07,2011
Transit,2,42.6318,,2100.0,2011
Radial Velocity,1,22.09,0.48,40.32,2003
Radial Velocity,1,137.48,1.11,175.44,2013
Eclipse Timing Variations,1,10220.0,,,2009
Radial Velocity,1,2.245715,0.45,,2005
Radial Velocity,1,1035.7,,32.83,2011
Transit,1,3.056536,,314.0,2007
Radial Velocity,1,1143.0,6.8,28.88,2003
Transit,1,8.884924,,1140.0,2013
Microlensing,1,,,,2010
Transit,2,5.7293196,,,2012
Radial Velocity,2,,,37.16,2002
Microlensing,1,,,4970.0,2013
Transit,1,5.6334729,,135.32,2007
Radial Velocity,1,6.838,0.94,47.37,2006
Transit,2,26.723,,,2013
Microlensing,1,,,7720.0,2012
Radial Velocity,1,8.7836,0.0265,9.42,2008
Transit,1,9.4341505,,200.0,2013
Radial Velocity,1,5.118,,,2014
Transit,4,42.8961,,,2014
Transit,3,1.865169,,38.7,2011
Transit,1,3.2130598,,142.5,2009
Transit,1,2.4238039,,,2011
Transit,1,3.67724,,,2007
Radial Velocity,2,2720.0,3.366,42.88,2012
Radial Velocity,1,507.0,1.2,149.03,2009
Radial Velocity,1,5.7361,,41.27,2012
Transit,1,2.34121242,,,2010
Transit,5,12.4417,,,2013
Transit,1,,,322.0,2014
Transit,1,2.7033904,,178.0,2013
Transit,2,0.837495,,173.0,2011
Transit,1,1.58040482,,,2009
Radial Velocity,3,459.26,,26.91,2011
Transit,2,27.402,,,2012
Radial Velocity,1,431.88,,,2001
Radial Velocity,1,1294.0,,26.52,2002
Radial Velocity,2,2891.0,1.502,15.89,2003
Radial Velocity,1,591.9,1.9,36.02,2006
Transit,3,8.9193459,,,2012
Radial Velocity,1,41.397,0.298,11.03,2010
Transit,1,5.508023,,,2010
Transit,1,3.161575,,,2011
Radial Velocity,1,2890.0,11.0,,2011
Radial Velocity,1,1845.0,,8.77,2006
Transit,1,282.5255,,,2013
Radial Velocity,2,613.8,1.85,68.35,2010
Radial Velocity,6,62.24,,6.8,2013
Transit,1,8.158715,,,2010
Pulsar Timing,1,36525.0,,,2003
Radial Velocity,4,61.1166,,4.7,1998
Imaging,1,4639.15,,12.21,2009
Transit,2,2.50806,,,2014
Radial Velocity,1,121.71,,,2014
Imaging,1,,,91.57,2013
Radial Velocity,2,634.23,,52.83,2004
Transit,2,11.8681707,,,2012
Transit,1,4.187757,,260.0,2008
Transit,1,3.54387,,,2012
Transit,2,4.62332,,,2014
Transit,1,8.884924,,1140.0,2013
Radial Velocity,1,3.48777,,80.0,2000
Radial Velocity,1,177.11,,150.6,2011
Radial Velocity,5,0.73654,,12.53,2011
Radial Velocity,1,2597.0,,,2004
Transit,2,10.5016,,,2012
Radial Velocity,6,28.14,,6.8,2011
Radial Velocity,1,436.9,1.8,150.38,2011
Transit,1,3.6313,,600.0,2011
Imaging,1,,,,2006
Radial Velocity,1,388.0,,20.98,2005
Transit,7,8.719375,,780.0,2013
Transit,2,5.487,,,2013
Radial Velocity,1,269.3,,77.4,2006
Transit,4,3.743208,,,2013
Transit,1,1.217514,,,2012
Radial Velocity,2,,,37.16,2000
Transit,1,2.7033904,1.47,178.0,2013
Transit,2,15.09,,,2013
Transit,1,3.161575,,,2011
Eclipse Timing Variations,2,5840.0,,,2011
Radial Velocity,1,2.245715,,52.72,2005
Radial Velocity,2,103.49,,26.21,2011
Transit,1,4.1137912,,,2012
Transit,1,95.2738,,460.0,2009
Radial Velocity,1,,0.197,59.7,2002
Transit,2,16.092,,,2014
Transit,2,13.2907,,1400.0,2011
Transit,1,4.1137912,,124.22,2012
Radial Velocity,2,1708.0,1.92,37.16,2002
Radial Velocity,5,261.2,0.172,12.53,2007
Imaging,1,730000.0,,,2006
Radial Velocity,3,4.1547,0.058,52.83,2009
Transit,2,7.8773565,,,2012
Radial Velocity,1,738.459,2.61,34.6,2001
Radial Velocity,1,591.9,1.9,36.02,2006
Transit,1,3.54387,,642.0,2012
Radial Velocity,2,13.186,0.0263,42.52,2011
Radial Velocity,1,1840.0,,67.61,2009
Transit,3,5.859944,,,2012
Radial Velocity,2,37.91,,33.98,2008
Imaging,1,8679.7,,26.67,2009
Transit,1,3.21222,,,2010
Transit,1,59.87756,,,2013
Radial Velocity,1,184.02,2.7,88.26,2007
Radial Velocity,6,7.2004,0.018,6.8,2011
Radial Velocity,4,3848.86,1.059,,2010
Radial Velocity,1,14.476,,63.69,2008
Radial Velocity,1,420.77,1.7,50.0,2007
Radial Velocity,1,777.0,,53.28,2009
Transit,1,3.8559,,480.0,2012
Radial Velocity,1,533.0,,7.01,2010
Radial Velocity,1,738.459,,,2001
Transit,1,3.35524,,396.0,2010
Transit,4,54.32031,,,2013
Transit,1,3.7681,,920.0,2011
Transit,1,2.34121242,,,2010
Transit,2,15.3348,,,2011
Microlensing,2,5100.0,,,2008
Transit,2,2.42629,,,2014
Radial Velocity,1,1001.7,6.86,32.56,2005
Radial Velocity,1,875.5,,352.11,2012
Transit,1,1.9550959,,230.0,2011
Radial Velocity,2,825.0,0.895,68.35,2010
Radial Velocity,1,3.52474859,,47.08,1999
Pulsation Timing Variations,1,1170.0,,,2007
Transit,1,2.810595,,193.0,2011
Radial Velocity,1,3.8335,,81.1,2007
Transit,2,7.2037945,,,2012
Radial Velocity,1,6.403,0.23,43.12,2002
Radial Velocity,2,3.8728,,20.1,2013
Radial Velocity,1,3.33714,,25.2,2012
Transit,1,4.9816872,,160.0,2012
Transit,1,4.457243,,501.0,2012
Radial Velocity,2,1178.4,,,2006
Radial Velocity,6,197.8,0.0223,12.83,2012
Radial Velocity,1,3.48777,,,2000
Radial Velocity,1,2231.0,,,2003
Radial Velocity,3,27.582,0.0358,,2011
Radial Velocity,1,351.5,2.5,,2007
Radial Velocity,2,1160.9,,,2011
Radial Velocity,1,521.0,1.8,114.15,2011
Transit,1,4.3050011,,400.0,2012
Radial Velocity,2,12.62,,68.59,2013
Transit,1,4.234516,,,2010
Radial Velocity,2,255.87,17.4,,2002
Transit,1,3.852985,,,2007
Radial Velocity,1,1630.0,,56.31,2012
Radial Velocity,1,1117.0,1.16,,2010
Transit,2,12.0717249,,,2012
Radial Velocity,6,16.3567,,39.39,2010
Microlensing,1,1970.0,,,2010
Transit,7,,,780.0,2013
Transit,2,0.837495,,173.0,2011
Radial Velocity,2,634.23,3.69,,2004
Radial Velocity,1,2890.0,,,2011
Radial Velocity,1,1125.7,9.76,121.36,2008
Transit,3,6.2385,,,2011
Transit,1,3.6936411,,200.0,2012
Transit,2,7.81254,,,2012
Radial Velocity,1,43.6,0.47,36.14,2008
Radial Velocity,1,47.84,,49.33,2009
Radial Velocity,2,1008.0,,42.68,2009
Radial Velocity,2,14.182,0.0325,28.6,2011
Transit,2,12.883,,,2012
Radial Velocity,2,379.1,2.25,94.61,2005
Transit,1,4.353011,,155.0,2009
Radial Velocity,1,10.7085,,29.76,1999
Transit,1,228.776,,61.0,2011
Radial Velocity,2,248.4,,68.59,2013
Radial Velocity,1,1475.0,7.0,72.57,2009
Transit,2,191.2318,,,2013
Radial Velocity,1,373.3,,121.8,2009
Radial Velocity,4,9.6386,,15.28,2004
Transit,1,4.885525,,,2009
Radial Velocity,2,3810.0,,47.92,1999
Transit,3,14.85888,,,2011
Transit,1,0.355,,,2013
Radial Velocity,1,2.817822,0.38,35.8,2005
Transit,2,48.648,,,2013
Transit,2,21.40239,,,2012
Radial Velocity,2,352.3,0.73,52.72,2012
Transit,1,2.7817387,,170.0,2012
Transit,1,3.21222,,82.0,2010
Transit,3,6.2385,,,2011
Transit,1,5.01718,,300.0,2012
Radial Velocity,3,3008.0,7.2,52.83,2009
Radial Velocity,1,3416.0,0.64,4.94,2008
Radial Velocity,3,603.0,0.079,,2013
Radial Velocity,2,152.6,0.17,,2011
Radial Velocity,2,406.6,,59.03,1999
Radial Velocity,3,9.3743,,26.15,2008
Transit,1,4.37809,,330.0,2012
Transit,1,2.810595,,193.0,2011
Radial Velocity,3,123.01,,8.52,2009
Transit,1,3.024095,,,2011
Radial Velocity,1,157.54,,117.37,2009
Radial Velocity,1,1.3283,,43.03,2003
Radial Velocity,1,533.0,,7.01,2010
Radial Velocity,1,989.2,0.94,17.35,2006
Transit,2,,,,2012
Radial Velocity,1,199.505,,,2003
Radial Velocity,2,125.94,,,2013
Radial Velocity,2,17.054,,17.99,2004
Radial Velocity,5,4909.0,,12.53,2002
Microlensing,1,1970.0,,,2010
Radial Velocity,1,1523.0,2.6,44.05,2009
Imaging,1,,,,2012
Radial Velocity,1,103.95,,55.19,2008
Radial Velocity,3,38.021,0.057,8.52,2009
Radial Velocity,2,30.052,0.7,52.85,2009
Transit,1,4.2568,,680.0,2008
Transit,5,10.854092,,290.0,2011
Transit,5,41.02902,,,2011
Radial Velocity,1,528.07,13.65,31.79,2011
Radial Velocity,1,225.7,,,2010
Transit,1,1.5373653,,450.0,2011
Transit,1,4.322482,,242.0,2010
Radial Velocity,1,589.64,2.9,10.34,2006
Transit,2,22.804,,,2013
Microlensing,1,,,,2008
Microlensing,1,,,,2010
Radial Velocity,3,8.667,0.033,,2006
Transit,2,10.338523,,,2010
Radial Velocity,1,691.9,,81.5,2012
Transit,1,4.3176782,,120.0,2010
Radial Velocity,1,277.02,1.7,80.64,2013
Radial Velocity,1,380.85,,,2008
Radial Velocity,1,4.6938,0.035,4.54,2007
Radial Velocity,1,2.64385,,10.23,2004
Radial Velocity,1,1523.0,2.6,,2009
Radial Velocity,2,55.0,2.3,42.88,2004
Radial Velocity,2,,1.39,19.72,1998
Radial Velocity,1,653.22,,33.46,2002
Radial Velocity,1,456.1,3.09,52.88,2007
Transit,1,9.24285,,,2011
Transit,1,2.9444256,,,2010
Transit,5,5.714932,,368.0,2013
Transit,1,66.262,,,2014
Transit,1,7.8457,,,2014
Transit,7,91.93913,,780.0,2013
Radial Velocity,1,4.113775,0.45,,2006
Imaging,4,69000.0,,39.94,2008
Radial Velocity,1,268.94,,,2009
Transit,1,1.54168,,,2014
Radial Velocity,3,33.941,,25.59,2011
Radial Velocity,1,10.7085,,29.76,1999
Radial Velocity,3,197.0,,12.58,2006
Radial Velocity,1,1966.1,,,2011
Transit,1,6.790123,,980.0,2011
Radial Velocity,2,29.15,,35.89,2011
Transit,1,3.2130598,,142.5,2009
Radial Velocity,2,17.1,0.057,15.89,2005
Radial Velocity,2,4270.0,,19.72,2005
Radial Velocity,1,951.0,,40.75,2001
Radial Velocity,1,464.3,2.0,106.38,2009
Transit,2,33.006,,,2013
Radial Velocity,1,407.15,0.0961,,2011
Microlensing,1,,,2570.0,2012
Transit,1,,,,2010
Radial Velocity,1,615.0,0.29,35.88,2011
Radial Velocity,1,1294.0,2.1,26.52,2002
Radial Velocity,2,342.85,0.6579,,2008
Transit,5,19.57706,,290.0,2011
Imaging,1,10037.5,,23.1,2011
Transit,1,68.9584,,,2014
Radial Velocity,1,431.8,,167.5,2011
Radial Velocity,2,3.93,0.017,43.53,2009
Transit,1,2.838971,,455.0,2012
Radial Velocity,2,530.32,,46.84,2012
Radial Velocity,1,738.459,,,2001
Radial Velocity,1,1973.0,2.82,55.04,2005
Radial Velocity,2,6005.0,5.3,,2012
Radial Velocity,6,51.76,0.0164,12.83,2012
Radial Velocity,3,9.3743,,26.15,2008
Radial Velocity,1,606.4,,37.98,2009
Transit,1,1.4857108,,800.0,2011
Radial Velocity,4,1276.46,,13.47,1999
Radial Velocity,2,345.72,,44.8,2009
Transit,1,2.34121242,,,2010
Transit,2,8.1453,,1200.0,2011
Radial Velocity,1,606.4,2.7,,2009
Radial Velocity,3,274.49,,,2011
Radial Velocity,2,1022.0,3.4,354.0,2011
Transit,1,1.3600309,,93.0,2012
Radial Velocity,2,262.709,2.3,37.16,2000
Radial Velocity,1,5.24,0.28,59.03,2005
Radial Velocity,1,5.24,,59.03,2005
Radial Velocity,1,615.0,,,2011
Radial Velocity,1,17337.5,9.0,23.98,2009
Transit,1,1.5089557,,,2008
Radial Velocity,1,6.838,0.94,,2006
Radial Velocity,2,428.5,,,2009
Radial Velocity,1,380.85,,,2008
Radial Velocity,2,1008.0,6.56,42.68,2009
Radial Velocity,1,436.9,1.8,150.38,2011
Radial Velocity,2,5584.0,3.4,90.0,2010
Radial Velocity,3,8.667,,12.58,2006
Transit,3,143.34394,,1400.0,2012
Transit,1,4.055259,,230.0,2011
Transit,1,,,,2012
Radial Velocity,1,578.2,,,2012
Transit,3,14.85888,,,2011
Radial Velocity,2,613.8,1.85,68.35,2010
Transit,2,8.1453,,,2011
Radial Velocity,1,,2.9,,2006
Radial Velocity,1,356.0,2.3,131.41,2009
Transit,1,1.7635892,,,2011
Transit,6,10.3039,,613.0,2010
Transit,2,33.60134,,855.0,2012
Transit,1,3.8559,,,2012
Transit,1,4.954658,,140.0,2008
Radial Velocity,1,1145.0,,64.98,2007
Radial Velocity,1,1038.1,1.9,54.23,2007
Transit,2,33.006,,,2013
Eclipse Timing Variations,2,1916.25,,,2011
Radial Velocity,2,567.0,,43.53,2009
Transit,1,4.055259,,230.0,2011
Radial Velocity,2,1022.0,3.4,354.0,2011
Transit,4,10.423648,,,2013
Astrometry,1,246.36,,20.77,2013
Transit,5,5.28696,,,2014
Transit,1,4.37809,,330.0,2012
Transit,1,1.354133,,360.0,2013
Radial Velocity,1,1001.7,6.86,32.56,2005
Orbital Brightness Modulation,2,0.240104,,1180.0,2011
Transit,1,2.17517632,,,2012
Transit,2,13.2907,,1400.0,2011
Transit,1,2.4855335,,,2008
Transit,2,,,,2012
Radial Velocity,2,441.47,,27.46,2003
Radial Velocity,3,106.72,,14.56,2011
Transit,1,17.833648,,132.0,2013
Transit,1,3.547851,,453.0,2013
Radial Velocity,1,2.21857578,,19.25,2005
Radial Velocity,2,1178.4,,52.72,2006
Radial Velocity,1,4885.0,,,2009
Radial Velocity,1,20.8133,,42.0,2005
Transit,1,3.7520656,,,2009
Radial Velocity,1,2496.0,1.65,55.01,2009
Imaging,1,,,11.43,2010
Transit,5,10.854092,,,2011
Radial Velocity,1,516.22,10.5,119.47,2009
Transit,3,60.323105,,,2012
Radial Velocity,1,591.9,,36.02,2006
Transit,1,4.3176782,,120.0,2010
Radial Velocity,2,5000.0,,25.65,2009
Radial Velocity,6,5.75962,,39.39,2010
Radial Velocity,1,4885.0,3.1,189.39,2009
Transit,4,10.423648,,,2013
Transit,1,138.317,,,2012
Radial Velocity,2,46.025,0.0318,42.52,2011
Transit,1,1.855558,,770.0,2011
Radial Velocity,1,1845.0,,56.05,2010
Radial Velocity,1,3.3135,3.9,,1996
Transit,1,3.474474,,387.0,2011
Eclipse Timing Variations,2,3321.0,,130.72,2008
Transit,1,2.615864,,148.0,2007
Transit,1,2.7817387,,170.0,2012
Radial Velocity,2,192.9,1.82,,2009
Transit,2,11.6092567,,,2012
Radial Velocity,1,7.3709,,9.04,2011
Transit,2,15.9654,,,2014
Microlensing,1,,,,2012
Radial Velocity,3,8.667,0.033,12.58,2006
Transit,2,2.58664,,,2014
Radial Velocity,1,2.391,,76.51,2009
Transit,1,4.4652934,,139.0,2006
Radial Velocity,1,456.1,3.09,52.88,2007
Radial Velocity,1,2.391,,76.51,2009
Transit,2,114.73635,,,2013
Radial Velocity,1,4218.0,,45.52,2009
Imaging,1,,,,2007
Radial Velocity,1,7.3709,0.018,,2011
Radial Velocity,1,952.7,,97.18,2008
Radial Velocity,1,386.3,,,2003
Transit,2,33.006,,,2013
Transit,3,8.9193459,,,2012
Radial Velocity,1,327.8,0.6,,2010
Transit,1,2.77596,,235.0,2010
Transit,1,3.4059096,,360.0,2010
Microlensing,2,,,4080.0,2012
Transit,1,4.4379637,,,2011
Radial Velocity,2,572.4,,35.59,2003
Transit,3,,,,2012
Transit,2,23.08933,,,2014
Radial Velocity,2,1657.0,,15.71,2010
Transit,1,6.871815,,110.0,2010
Radial Velocity,2,220.078,,27.46,2003
Transit,1,4.954658,,140.0,2008
Radial Velocity,1,282.4,,51.81,2010
Radial Velocity,1,499.4,,,2008
Radial Velocity,1,1773.4,4.64,18.15,2002
Transit,5,21.77596,,,2011
Transit,2,12.0717249,,,2012
Transit Timing Variations,2,22.3395,,339.0,2013
Transit,1,3.474474,,387.0,2011
Radial Velocity,3,8.667,,12.58,2006
Radial Velocity,1,199.505,,102.04,2003
Radial Velocity,1,952.7,5.3,97.18,2008
Radial Velocity,3,123.0,,,2014
Radial Velocity,1,3.52474859,,47.08,1999
Transit,1,4.457243,,501.0,2012
Transit,2,4.72674,,,2014
Radial Velocity,1,3827.0,,20.48,2014
Transit,1,2.143634,,,2011
Radial Velocity,2,1353.6,0.35061,37.84,2008
Radial Velocity,1,456.46,1.26,52.63,2004
Transit,1,3.024095,,1950.0,2011
Imaging,1,,,140.0,2004
Radial Velocity,3,5.6363,,,2011
Radial Velocity,4,3.14942,0.006,6.27,2005
Imaging,1,,,10.1,2012
Transit,1,2.718659,,,2010
Transit,1,3.577469,,343.0,2010
Radial Velocity,2,454.2,1.45,16.57,2002
Imaging,1,,,18.39,2006
Radial Velocity,1,386.3,1.62,,2003
Transit,3,1.2137672,,38.7,2011
Transit,7,124.9144,,780.0,2013
Transit,2,38.5583038,,,2012
Transit,5,21.77596,,,2011
Radial Velocity,2,1383.4,2.44,46.34,2004
Transit,1,5.35227,,840.0,2011
Transit,1,3.577469,,343.0,2010
Radial Velocity,1,5.8872,0.04,22.04,2011
Transit,1,3.7520656,,,2009
Imaging,1,318280.0,,7.69,2008
Transit,2,13.749,,,2013
Radial Velocity,2,17.054,,17.99,2004
Radial Velocity,1,875.5,9.9,352.11,2012
Radial Velocity,2,46.025,0.0318,42.52,2011
Transit,1,2.899736,,138.0,2007
Radial Velocity,1,136.75,2.8,62.66,2007
Radial Velocity,1,792.6,,58.17,2012
Transit,1,5.01718,,,2012
Transit,1,2.9036747,,,2012
Radial Velocity,1,118.96,1.13,28.07,2000
Radial Velocity,1,55.806,,,2009
Transit,1,3.361006,,,2009
Astrometry,1,1016.0,,14.98,2010
Transit,3,12.8159,,,2014
Radial Velocity,1,48.056,0.21,,2005
Transit,7,91.93913,,780.0,2013
Radial Velocity,1,20.8133,0.172,42.0,2005
Radial Velocity,1,303.0,,92.51,2003
Transit,1,9.24285,,1230.0,2011
Radial Velocity,1,842.0,,,2009
Radial Velocity,1,5.0505,1.068,44.46,2013
Radial Velocity,6,197.8,,12.83,2012
Radial Velocity,1,2209.0,,45.23,2012
Imaging,1,,,17.95,2013
Radial Velocity,1,2.1375,1.5,91.16,2006
Radial Velocity,6,122.72,,39.39,2010
Transit,1,3.474474,,387.0,2011
Radial Velocity,1,711.0,6.54,66.49,2005
Imaging,1,,,52.4,2004
Radial Velocity,2,820.3,,,2014
Radial Velocity,1,521.0,,,2011
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Radial Velocity,2,262.709,,,2000
Radial Velocity,1,2097.0,3.0,85.18,2009
Radial Velocity,3,38.021,,8.52,2009
Radial Velocity,1,356.0,2.3,131.41,2009
Imaging,1,10037.5,,23.1,2011
Radial Velocity,1,499.4,2.73,51.87,2008
Radial Velocity,3,952.0,,52.88,2009
Transit,6,31.9996,,613.0,2010
Radial Velocity,3,2172.0,0.54,26.15,2008
Radial Velocity,1,675.0,,100.0,2007
Radial Velocity,1,2371.0,,37.05,2008
Radial Velocity,2,1270.2,3.44,53.82,2007
Transit,5,21.77596,,,2011
Radial Velocity,1,71.484,,46.73,2001
Radial Velocity,3,2831.6,1.68,,2012
Radial Velocity,1,456.1,3.09,52.88,2007
Microlensing,1,,,1760.0,2013
Radial Velocity,1,951.0,,,2001
Transit,1,4.2568,,,2008
Radial Velocity,1,2288.0,0.82,12.12,2009
Microlensing,1,,,1760.0,2013
Transit,5,27.4536,,,2014
Radial Velocity,3,154.46,,33.24,2002
Radial Velocity,1,1183.0,,,2002
Transit,1,3.352057,,3200.0,2012
Transit,1,3.852985,,261.0,2007
Transit,2,21.40239,,,2012
Radial Velocity,1,589.64,,10.34,2006
Transit,1,4.1250828,,293.0,2008
Radial Velocity,2,,2.6,164.2,2008
Radial Velocity,1,3.971,0.197,59.7,2002
Imaging,1,,,,2006
Radial Velocity,3,1050.3,,16.13,2010
Radial Velocity,1,351.5,2.5,67.39,2007
Transit,2,49.412,,,2013
Radial Velocity,2,170.455,,53.82,2008
Radial Velocity,1,1800.0,,,2008
Transit,1,4.640382,,249.0,2012
Transit,1,3.5327313,,,2010
Radial Velocity,3,38.021,,8.52,2009
Transit,2,,,,2012
Radial Velocity,2,4.0845,,37.84,2008
Transit,3,6.88705,,,2014
Transit,1,3.352057,,,2012
Radial Velocity,2,58.11289,,,1998
Radial Velocity,2,14.182,,28.6,2011
Radial Velocity,3,8.667,,12.58,2006
Transit,1,,,,2008
Radial Velocity,1,516.22,,,2009
Transit,2,10.2184954,,,2012
Radial Velocity,1,2.54858,1.87,36.52,2003
Radial Velocity,1,,,,2014
Radial Velocity,1,26.73,,94.07,2006
Transit,2,11.776,,,2013
Radial Velocity,1,,2.2,170.07,2009
Radial Velocity,1,745.7,5.3,307.69,2011
Imaging,1,,,17.95,2013
Radial Velocity,1,464.3,,106.38,2009
Transit,2,10.7421,,800.0,2011
Radial Velocity,1,192.0,,,2013
Radial Velocity,1,479.0,1.6,,2009
Radial Velocity,1,700.0,,87.41,2008
Pulsation Timing Variations,1,1170.0,,,2007
Transit,1,2.17517632,,550.0,2012
Microlensing,1,,,,2010
Radial Velocity,1,1214.0,,89.13,2006
Radial Velocity,1,2157.0,1.78,30.88,2009
Radial Velocity,1,17.991,0.62,42.37,2005
Transit,1,5.35227,,,2011
Microlensing,1,,,,2013
Radial Velocity,1,521.0,1.8,114.15,2011
Transit,2,31.3309,,,2011
Transit,3,38.91,,650.0,2010
Radial Velocity,1,359.9,4.6,,2007
Transit,1,4.954658,,140.0,2008
Radial Velocity,1,1260.0,3.06,53.05,2008
Radial Velocity,2,152.6,,35.59,2011
Radial Velocity,1,1057.0,,59.35,2008
Radial Velocity,2,7.2825,,21.52,2011
Transit,3,7.1316185,,,2012
Transit,6,10.3039,,,2010
Transit,2,12.2829,,,2011
Radial Velocity,1,5.0505,1.068,44.46,2013
Transit,1,4.9816872,,,2012
Transit,6,46.6888,,613.0,2010
Radial Velocity,1,5.8872,,22.04,2011
Radial Velocity,2,258.19,1.59,,1999
Radial Velocity,6,602.0,0.067,39.39,2010
Transit,6,10.3039,,613.0,2010
Radial Velocity,1,1136.1,,,2002
Radial Velocity,2,525.8,,8.82,2011
Transit,1,3.039577,,204.0,2011
Radial Velocity,1,610.0,,170.07,2009
Eclipse Timing Variations,1,10220.0,,,2009
Transit,2,2.42629,,,2014
Radial Velocity,2,30.052,0.7,,2009
Radial Velocity,1,4885.0,3.1,189.39,2009
Radial Velocity,3,603.0,0.079,,2013
Transit,2,23.654,,,2013
Transit,1,3.57878087,,,2013
Transit,2,16.23855,,470.0,2012
Transit,5,7.07142,,,2014
Imaging,1,,,36.0,2013
Radial Velocity,1,883.0,2.2,121.36,2011
Radial Velocity,1,464.3,2.0,106.38,2009
Transit,3,19.24,,650.0,2010
Imaging,1,,,,2008
Radial Velocity,1,9.6737,0.041,27.45,2009
Radial Velocity,1,993.3,,73.1,2008
Transit,1,3.91405,,2000.0,2007
Radial Velocity,2,2102.0,4.04,36.32,2003
Radial Velocity,2,613.8,,68.35,2010
Transit,1,3.6936411,,200.0,2012
Transit,3,0.45328509,,,2011
Radial Velocity,2,3.93,0.017,43.53,2009
Radial Velocity,2,1178.4,,52.72,2006
Radial Velocity,2,342.85,,,2008
Radial Velocity,1,835.477,11.09,97.66,2009
Radial Velocity,1,990.0,,59.84,2009
Transit,1,1.54168,,,2014
Radial Velocity,1,111.7,2.1,14.9,2009
Radial Velocity,1,2754.0,,18.06,2009
Transit,1,6.21229,,380.0,2010
Transit,1,3.0927616,,90.0,2008
Radial Velocity,4,643.25,,15.28,2000
Transit,1,1.5732918,,350.0,2012
Radial Velocity,1,111.4357,,29.04,2001
Transit,4,42.8961,,,2014
Radial Velocity,1,952.7,5.3,97.18,2008
Transit,3,1.592851,,650.0,2010
Transit,3,29.33434,,1400.0,2012
Radial Velocity,1,3.33714,,25.2,2012
Radial Velocity,1,903.3,1.85,13.79,2003
Imaging,1,,,,2006
Radial Velocity,2,33.823,,43.08,2011
