name,pop,lat,lon
Fountain Hills,903904,32.294513,-90.85587134
Durant,892011,32.3188448,-97.55826934
Blanchard,867805,32.6993066,-80.62856249
Hawaiian Gardens,866252,31.9703907,-122.39344818
Baldwin Park,866159,38.0702458,-95.64631017
Clearwater,823965,42.5224918,-91.46934741
Burnsville,810970,35.105229,-95.45883005
Orinda,797058,38.5501862,-77.90117917
Corning,792656,35.0375905,-110.65942127
Sunbury,726210,24.833333,-69.18190376
Delano,719216,35.4827874,-88.55040521
Sellersburg,671690,34.5654999,-105.75823929
Beavercreek,669385,30.8665854,-72.81807564
Clewiston,664670,32.1609268,-70.46664155
Rosenberg,643329,34.0239431,-80.41643734
Dodge City,617775,44.5468485,-110.49260028
Euless,599611,35.1325265,-114.81120006
Park City,593586,27.5315137,-77.22190591
Shaker Heights,589351,38.767717,-110.04311905
Chicago Ridge village,567513,41.288281,-69.66377627
Twinsburg,562390,42.7635348,-83.9253767
Bernardsville borough,561401,42.0023707,-99.10662729
Sheboygan Falls,558636,35.5013646,-83.10476316
Wabash,539088,41.9622914,-96.41004251
Willowbrook village,530370,43.8998163,-101.45796656
Westbury village,530298,33.0742886,-72.30326846
Bedford Heights,524830,35.8060181,-76.80722777
Lenoir,521155,46.9751228,-82.94563821
South Houston,508374,37.5775005,-70.07881349
Pickerington,504604,38.459113,-80.87665317
Dodge City,500031,32.4569398,-94.2113654
Harrisburg,490234,41.310055,-99.57362944
Coldwater,486035,39.5065252,-113.50114936
Lincoln,481426,41.3319356,-93.98997002
West Chester borough,479629,45.2633238,-121.95267747
Woodway,474327,40.3981015,-105.08473557
Devils Lake,473237,31.1409256,-105.86207875
Los Altos,469698,35.9235067,-72.58356951
Provo,449358,38.2696969,-89.26346579
Asbury Park,448252,49.1,-124.12791181
Parma Heights,431550,40.0895079,-113.00093443
Gulfport,430407,37.1926781,-96.40629644
Rolla,428538,47.4491832,-110.45457014
Richmond Heights,424355,34.7147492,-86.30652596
North Arlington borough,421234,30.9481383,-119.65628641
Michigan City,420529,40.9102107,-70.25064782
Niles village,413753,45.8238155,-94.89893042
Secaucus,413400,43.3645508,-108.58868966
Rock Springs,407713,30.3068322,-80.10034685
Grand Haven,407318,35.053457,-77.48015864
Haysville,405986,40.8312992,-119.68807668
Marathon,403922,40.2200314,-114.5334523
Escalon,400990,43.3675257,-85.68506577
St. Matthews,399029,40.4261417,-98.57934131
Newburyport,396303,34.2207192,-81.54253095
Longview,393499,34.3793168,-117.61611777
Kirksville,390543,43.3784888,-111.16409367
Parlier,388908,32.3535107,-74.65433133
Darien,384573,40.174622,-89.18436926
Ellensburg,381864,36.1254861,-110.74087993
Alamo Heights,373788,33.6253278,-74.40720444
Boulder City,372355,33.3278684,-74.8672671
North Arlington borough,367375,38.9173982,-70.72683994
Key Biscayne village,361642,40.4032562,-76.68180493
Magnolia,361063,35.4402931,-83.46381053
Marathon,360870,37.8072371,-122.76237466
Eastvale,360770,32.6896555,-118.90726665
Lincoln Park,351445,36.7536893,-85.59950454
Franklin Park village,346992,40.0943947,-109.72814038
Lilburn,346533,32.5350572,-86.54740545
Oskaloosa,342854,40.5042522,-83.49214089
Danbury,337745,30.8625474,-89.00269827
Scottsdale,334553,32.6065447,-86.74908613
Liberty Lake,333659,33.9790108,-72.53541176
Sallisaw,331337,36.0287915,-84.87645388
Waupun,330635,32.9394322,-120.45842048
Woodward,328525,42.3992552,-75.6490436
Gaithersburg,328013,38.416705,-78.31908703
Portage,322666,40.7406528,-85.38298336
Gardena,321800,35.8944363,-83.48514307
Rolling Hills Estates,320034,39.6165525,-80.30487775
Burleson,317554,37.4115197,-83.50092463
Emerson borough,317253,32.3318689,-82.52889829
Miami Gardens,317117,33.6888917,-70.90131274
Santa Barbara,316577,34.8107291,-94.39366928
Sun Prairie,315955,32.1277104,-89.42584895
Clawson,307741,37.9089504,-107.61566425
Waupun,305920,44.803847,-95.72289592
Dyer,298721,38.1442256,-81.89401847
Monroe,290765,38.8255487,-72.30836941
Lincoln City,289915,45.4730566,-110.03133845
Somerville,283116,37.3512329,-70.32892249
Spring Lake,282634,34.2622122,-101.49345419
Puyallup,276501,40.4446509,-100.30316992
San Clemente,273077,38.5420965,-105.88429857
Elko,272154,45.6816464,-70.44307599
Lackawanna,269784,37.5567134,-71.22549268
Moultrie,268334,45.429815,-106.52546367
Palatka,267268,29.0883151,-97.41480734
North St. Paul,266863,35.0481534,-97.11311588
Novi,256250,48.1089334,-99.49066958
Eagle Point,254588,38.863291,-102.35554581
North St. Paul,254510,36.4441641,-91.67278122
Wausau,254071,43.80813,-91.53655724
Lewisville,253179,37.1418409,-71.54561837
Medford,253050,38.8535276,-102.11536151
Lenoir,251032,35.3563562,-94.35265869
Lemoore,247959,46.0208304,-107.8512352
South Elgin village,246899,38.138865,-97.96372562
Perth Amboy,244420,40.2628683,-81.48209145
Walla Walla,243985,35.4648324,-71.01935773
Clayton,243041,37.5960697,-96.61728334
Evanston,241126,42.0167655,-119.86186045
Lake Park,239104,37.7684614,-89.25099065
South River borough,238770,37.6953288,-92.94160165
Groton,237493,43.5199806,-75.25548085
Macon-Bibb County,236970,41.9079042,-88.73603581
Del City,232032,41.3014737,-120.79565136
Pismo Beach,231611,36.3861,-122.11064513
Rancho Mirage,229157,34.2440808,-96.14259975
Trophy Club,226288,39.2034183,-113.35692486
Endicott village,224808,38.4568702,-116.71894159
North Richland Hills,223547,42.2751576,-82.48196843
Fort Pierce,220495,43.091861,-82.77863567
Leon Valley,217119,38.4466605,-116.32501204
Wichita Falls,214624,35.3631498,-121.99571925
East Rutherford borough,212219,36.5905935,-107.18818311
Fontana,212213,36.1558992,-117.41476144
Kalispell,211355,27.2683268,-73.16781064
Mauldin,210506,36.111096,-76.4353889
Encinitas,210105,36.2669941,-81.5011789
Attleboro,208088,40.1884348,-76.26335915
Blue Ash,204195,33.3512827,-72.15081503
Sugar Hill,204149,35.1221244,-113.0128305
Rio Vista,203877,36.3823848,-93.24469313
Streator,203825,36.1793778,-99.84010097
Butler borough,201796,36.2084348,-115.98277242
Norco,200435,38.8538969,-117.96261268
Elgin,200190,44.6531276,-104.04207867
Idaho Falls,199382,38.3928917,-94.95086303
Shelby,198918,35.5821748,-71.55304062
Pella,198214,45.1770361,-98.27795549
Lock Haven,197969,34.3795763,-75.79761899
Speedway,196725,34.2453869,-84.91710894
Springboro,196526,35.1385928,-105.25637758
Somerville,194766,35.2742653,-117.73040348
Greensboro,194105,38.7844084,-119.00443411
Fruita,192286,39.4493647,-70.19358002
Rhinelander,192083,28.8771733,-93.66691257
Fairburn,191847,32.1730646,-104.88351441
Cottonwood,191327,38.4163307,-92.83193466
Richfield village,189458,32.4964631,-83.60430176
Pryor Creek,188030,39.3825042,-94.96428981
Fairburn,187422,39.1378938,-71.55909158
Sanger,183525,37.947474,-89.1569468
Lincoln Park borough,182363,34.5368398,-71.99301482
Woodlake,181637,30.7004803,-92.59361883
Davis,181117,35.8732232,-115.232387
Danbury,179902,49.1,-112.03303087
Hemet,179536,37.6003337,-85.69157483
Perry,179011,39.1646414,-121.58690351
Mount Washington,176317,40.9956424,-103.07959353
Redding,174314,40.7855054,-115.33586868
Wake Forest,174289,42.7381049,-77.8630995
Bernardsville borough,174233,38.5549689,-114.08033896
Hialeah,172081,34.4416773,-89.89734162
Washington Court House,170562,33.5998806,-76.22758308
Fairview Heights,169920,31.1330518,-108.20282551
Wilmington,168706,27.3321316,-101.111735
Oak Creek,168090,28.9495591,-109.80208917
Del Rio,166009,35.3817785,-94.51981991
Macon-Bibb County,165903,30.2511877,-102.61222904
Warrensburg,165570,35.9576824,-112.37186131
Caldwell borough,164755,46.7340525,-86.57079625
Winter Garden,162735,32.5691385,-122.53302811
Lyndon,161495,38.534469,-85.96427295
Arab,161169,35.4147963,-86.25359824
Hillview,160678,45.6309732,-72.22971795
Moundsville,160657,38.7716944,-94.22777584
Stayton,159944,33.3110077,-70.08389231
Hopkinsville,159250,38.8734714,-77.25625171
Tustin,159121,35.2721457,-94.35056815
Sulphur,158123,34.9881403,-81.59055821
Kissimmee,156458,43.6177481,-116.35835304
Siloam Springs,154572,43.6829487,-97.32852251
Susanville,154305,41.4966108,-78.48676462
Monett,154050,24.833333,-82.07303413
West Palm Beach,152986,35.7368972,-123.95115927
Farmington Hills,152527,34.116496,-74.71898986
Redlands,152285,39.7582519,-117.43226717
Gilroy,151457,41.6640563,-121.19409521
Big Spring,151014,36.532553,-113.32192409
Oakdale,150195,38.4191343,-85.01831258
East Stroudsburg borough,149218,39.9950016,-113.22497944
Kearney,148223,39.6042476,-111.98008237
Claremore,147808,33.2573738,-107.56856086
Grafton village,147697,32.4716595,-93.70292401
Shelby,147621,33.4012637,-115.5552807
Denton,147171,32.1609838,-68.23325572
West Memphis,145840,41.7715661,-90.4064909
Franklin Park village,145831,32.2537664,-95.64155535
Addison,145554,37.6424366,-78.2012133
Hartselle,145246,40.8698623,-82.28369195
Mascoutah,144144,34.4756309,-99.34392008
Hillsdale,143380,29.2149421,-113.65866845
Woodland Park borough,141781,39.4943171,-119.24083525
Little Ferry borough,141300,35.0019218,-124.16414611
Cushing,140809,34.1302551,-103.33542791
Lauderdale Lakes,139425,38.7940847,-81.89015321
Arvada,137723,37.2649667,-90.24804295
Rockville,137585,36.1724414,-100.38513148
Beloit,137541,44.7568893,-76.63094787
Ridgecrest,137159,34.9347651,-69.50214157
Keokuk,136906,35.4349378,-100.03452005
Saratoga Springs,136713,42.6054161,-81.71716119
Panama City,136194,38.6408786,-120.86110509
Wahpeton,135793,34.7641019,-88.3470564
Addison village,135013,40.6623856,-110.92201701
Missouri City,134758,38.3586028,-95.37308158
Mesa,132662,32.966468,-120.13901534
Granbury,132658,36.3226154,-88.41072541
Butner,131521,39.5812929,-103.10378399
Somerville borough,131325,47.3141983,-85.16192818
Wesley Chapel village,130625,24.833333,-121.93076435
Albion,130190,42.184763,-70.24392817
Sumner,129958,33.0871819,-122.86439184
New Richmond,128628,43.5735794,-94.61339091
Westland,128423,37.0527463,-120.63532653
Pitman borough,128323,39.3697105,-93.12140561
Dickinson,128129,42.3245502,-114.2340621
Hamtramck,128022,45.2903362,-74.17561524
Los Alamitos,127620,42.6791967,-86.78091208
Flagstaff,127452,41.5927604,-81.97747663
Doral,127420,41.5795797,-91.42104316
Cedar Falls,127003,35.0674031,-114.67570868
Leavenworth,126340,38.7434427,-104.25053348
Orange,124764,36.632254,-109.37912992
Coconut Creek,124495,38.9452066,-81.59339936
South Pasadena,124297,42.1712054,-89.00602982
Fortuna,123328,37.5396822,-82.45549225
Tucson,123073,40.1450558,-68.66401154
Grand Island,121271,32.4986365,-82.0087689
Webster City,119872,37.8856392,-68.40155753
Lancaster village,119602,38.9069447,-88.9203656
Hoffman Estates village,119364,37.0813035,-93.97624785
Upland,119232,40.9713034,-98.7744466
Brooklyn Park,118231,45.4187062,-81.32993777
Kearney,118046,40.9178053,-120.88470678
Southaven,117879,26.4457808,-72.91662874
Tifton,117304,37.8343624,-118.64461013
New York,117177,43.8366925,-103.76843312
Mint Hill,116918,36.5251292,-90.42736087
University Place,115969,43.703483,-108.10819315
Bernalillo,115174,40.0602198,-73.62723929
Gardena,115007,24.833333,-108.49383995
Emporia,114376,41.7746267,-109.51172217
East Providence,114324,49.1,-91.0533761
Summerville,114069,38.0201816,-92.43950997
Carnegie borough,112870,38.4297429,-110.09904369
Leawood,112276,45.2888539,-104.00732317
Forest Park,112169,36.6787287,-78.46128386
Midwest City,112137,44.8332536,-75.17069742
Carol Stream village,111749,43.1881281,-94.39681331
Sussex village,111598,42.5667212,-95.94357661
Florida City,110562,37.626214,-69.22022733
Camp Verde,110561,37.9860824,-94.05927012
Grand Ledge,109519,42.7012553,-71.07665052
Burkburnett,109286,44.6360645,-94.76839329
Blaine,109006,32.1726501,-106.98981634
Oswego village,107838,38.051518,-106.36793922
Grosse Pointe Farms,107634,27.0723219,-68.32013758
McDonough,107452,34.2900822,-96.89182925
Seal Beach,107316,36.0506581,-76.69843971
Maumee,107224,39.5504197,-78.52794582
Schiller Park village,107148,31.8850829,-123.21209716
Yorkville,107087,36.8268685,-113.40007454
Midland,106500,31.895444,-105.78485187
Las Vegas,106493,47.6156421,-110.8258541
Effingham,105804,44.5433734,-113.73534983
Sikeston,105245,25.0740667,-104.23127965
Holyoke,104890,37.8336554,-99.06721414
Lake Wales,104696,37.7643621,-111.45211725
Beaverton,104495,37.1626936,-95.25911887
Merrillville,104202,33.9707723,-77.42805343
Eagle,103943,30.3024774,-86.46969254
Missoula,103925,41.3548102,-101.97768245
Huntersville,103857,40.3060284,-108.05911594
East Moline,103424,38.7042238,-72.00071819
El Mirage,103275,37.9496564,-82.74901636
Brecksville,103051,36.3775352,-88.04086473
University City,103008,34.7688139,-102.22418398
Hermiston,102574,30.0638048,-77.57182962
Port Orchard,102514,44.1483122,-96.52938503
Lee's Summit,102471,31.3799046,-122.1542887
Lovington,101838,45.0861412,-123.88844384
Lone Tree,100753,38.6945341,-105.79707637
Blair,100583,30.5262069,-95.45255587
Boulder City,100288,36.9600108,-97.14369503
San Francisco,100025,45.1664905,-88.47927768
North Adams,99751,26.2780273,-80.13009038
Las Vegas,99680,29.8600923,-96.31608926
Rancho Cucamonga,99296,38.6182728,-117.90470381
Nevada,99231,30.3033465,-81.54543648
Parlier,99117,42.0490274,-70.95292996
Audubon borough,98898,49.1,-73.84171498
Rochester Hills,98853,41.3599057,-82.99678829
Kennett,98807,37.905753,-87.92056554
Cortland,98717,32.7830091,-91.22815009
Albemarle,98451,35.4002034,-80.78184027
Hawthorne borough,98183,33.5560312,-82.74582366
Petaluma,98049,35.8129309,-72.06375901
Port St. Lucie,97129,36.2869085,-76.23540925
Perth Amboy,96660,40.9727724,-114.91691868
Eaton,96077,36.8353958,-91.07516317
Hollister,95419,35.4420583,-89.3498278
Hudsonville,94798,40.8705872,-110.04783404
Breaux Bridge,94777,40.3782274,-107.06467994
Brockton,94540,37.926275,-108.44147862
Westlake,94420,34.4370081,-121.38462649
Rutherford borough,93971,42.8439459,-75.24451898
Goldsboro,92950,36.3327813,-101.25831127
Sugar Hill,92883,37.6182553,-96.30591797
Whitefish Bay village,92846,39.4462866,-119.39990573
West Fargo,92817,38.7267447,-83.18590591
Homewood village,92487,37.0101764,-101.53629672
Norton,92308,33.9188355,-78.06284968
Cottonwood,92161,41.714119,-78.66918158
Coconut Creek,92054,47.2678626,-116.54070061
Sherman,91953,24.833333,-85.33430318
Anaconda-Deer Lodge County,91291,45.2999443,-101.65921859
Mount Washington,90846,41.9774947,-95.35821891
Tarboro,90696,34.711383,-74.32102456
Saco,90438,35.7247549,-100.53280747
Devils Lake,90385,41.2649441,-92.18725149
Grove City borough,89946,29.333721,-124.20425884
Eloy,89917,40.3457234,-120.61508018
Kelso,89751,40.5457285,-78.93920435
Lincoln Park borough,89430,38.2306035,-85.39357982
Chicago,89297,34.7649621,-121.62820348
Wake Forest,88999,38.7831235,-84.76984395
Flossmoor village,88856,44.8135768,-98.18768511
South Ogden,88818,32.0460401,-69.66597609
Walla Walla,88806,44.2964898,-87.91032257
Fort Walton Beach,88691,39.3220021,-78.75311268
Los Banos,88643,33.4771315,-107.97597025
Oskaloosa,88373,43.8676574,-102.86559574
Holly Hill,88256,44.2794048,-108.64602557
Eagle Point,87848,35.5628246,-97.40372101
Pittsburgh,87730,28.9559057,-75.80784539
Zephyrhills,87606,39.4727018,-103.55367016
Maywood borough,87601,28.7034921,-117.23510623
Asheboro,86994,40.4046071,-82.34964862
Mount Joy borough,86651,37.3736957,-103.97090566
Montpelier,86529,41.7385885,-87.3781294
New Rochelle,86404,39.6088714,-105.5799499
Bellmawr borough,86351,40.7311742,-100.0461484
Sunnyvale,86294,30.712378,-101.25731165
Grosse Pointe Farms,86177,38.538452,-86.40014106
Fountain,86019,35.7743603,-89.09991437
Wynne,85811,39.5123644,-121.69906103
Santa Ana,85804,35.2787688,-100.51264835
Hubbard,85770,33.3888842,-115.91988024
Haltom City,85514,30.6919793,-100.24026466
Lewisville,85497,47.0275068,-95.94039401
Bakersfield,85425,37.6252916,-119.56679146
Deerfield village,85171,32.1964869,-78.07532511
West Covina,84942,40.0708722,-101.19797165
Rensselaer,84926,37.7045396,-101.53439595
La Grande,84796,38.9603589,-117.15289576
Tifton,84793,42.2667524,-76.04255861
Easley,84273,37.89392,-91.75947774
Cupertino,84132,35.9320321,-112.46668722
Batavia,83748,38.2075604,-102.80637
Petaluma,83561,35.0431676,-78.42045946
Ione,83376,38.9335366,-72.51102065
Brook Park,83328,45.7391241,-108.49622105
Eugene,83000,38.9916513,-98.21777497
Opa-locka,82078,42.2730471,-85.18523327
Washougal,81827,31.0939336,-108.49376343
Minneola,81326,41.3878521,-110.07724939
Holly Springs,80911,34.7633753,-100.67776001
Roswell,80807,45.3294269,-99.4236175
North Miami Beach,80275,40.9507823,-85.918616
Orem,79995,39.2653219,-117.53649399
Garden City,79787,33.0005097,-99.29493146
Gautier,79768,34.1892549,-110.34516262
Paramount,79691,35.7712102,-106.14293252
St. Louis Park,79563,40.7145737,-69.17822404
Torrington,79154,36.7358188,-93.70897742
Overland,79133,47.3958729,-87.94577402
Vestavia Hills,78805,42.6613882,-120.75147485
Wabash,78245,32.7917593,-87.36514921
Fort Valley,78169,29.1595024,-115.04889643
Lake in the Hills village,77882,33.6877623,-80.22832952
Kendallville,77737,37.9214062,-79.18779048
Midland Park borough,77304,38.6974717,-77.28118617
Wadsworth,77113,33.9283397,-72.59522929
Friendswood,77097,37.5682004,-76.35523645
East Wenatchee,77054,33.3842247,-87.03482929
Hood River,77039,38.8690665,-93.87927719
Northfield,76402,35.840685,-79.24891323
Johnston,76352,43.9964139,-99.04714714
Morris,75852,35.2556895,-119.93095502
New Carrollton,75548,49.1,-101.32523718
Indiana borough,75502,40.3074133,-113.26119255
Tallulah,75490,37.2311047,-109.45903516
Boca Raton,75441,40.490148,-102.70220828
Nevada,75007,38.8952825,-85.64537044
Grants Pass,74749,34.6666787,-96.74837212
Lake Havasu City,74686,45.0169573,-93.61784942
Tinton Falls borough,74644,41.113206,-113.7594391
Dickson,74641,36.6049942,-108.06040525
Owatonna,74537,35.5446295,-101.03128692
Prosper,74441,36.0493599,-107.66931633
Muskogee,74094,46.1439144,-89.79594233
Pleasantville,74081,34.1505267,-123.77637893
Rock Hill,73439,38.3222059,-92.3639763
Archdale,73325,30.7079794,-79.98545168
Cape Coral,73244,46.9971923,-111.34716172
New Cumberland borough,72951,37.6562232,-120.31095872
Azusa,72898,45.0950092,-70.90769489
Winter Park,72811,42.1561776,-96.52919022
Bemidji,72526,37.8244791,-90.18466351
San Anselmo,72476,39.6985639,-117.0417558
Wheeling village,72391,35.3965944,-115.10761519
North Chicago,72186,35.5132688,-99.85771981
North St. Paul,72176,40.3159475,-115.65032883
Maple Grove,72106,30.5266784,-97.09522993
Murphy,71935,32.0884617,-93.82054038
Southlake,71863,38.7885413,-122.44414686
Scottsbluff,71715,40.3654483,-95.69084717
Louisville/Jefferson County,71625,38.1719339,-68.7887108
Laguna Woods,71452,40.0264139,-94.19056599
New Square village,71439,33.7233896,-82.10465717
Forest Grove,71233,48.3454308,-105.0737263
Lancaster,71024,36.1774202,-73.19544142
Maplewood,70950,47.4212441,-82.69745531
Wylie,70924,36.3926562,-98.59268767
Winona,70748,39.2365136,-95.79092644
Sheboygan Falls,70551,36.4105384,-109.13939337
North Royalton,70353,43.6364639,-106.56076227
Junction City,70204,41.4122611,-101.0659136
Cudahy,70158,36.4167682,-72.8666998
Spanish Fort,70068,37.0032616,-71.34535685
Springville,70059,37.4486453,-119.45506449
Leon Valley,69916,28.7870186,-115.54756905
Harrodsburg,69765,33.8532493,-78.96275444
Bessemer,69591,34.7856839,-115.13572638
Lawton,69070,41.0507854,-119.58061708
Anderson,69047,39.6312371,-80.29461004
Beloit,69031,43.379189,-106.23428397
McComb,68898,32.112471,-73.20184551
Bridgeton,68812,42.3146137,-69.51868938
Taylorsville,68753,34.2598831,-92.33208386
Santa Ana,68666,39.4610198,-87.01137486
Wauseon,68493,45.5489769,-73.30484482
La Puente,68452,33.3183616,-74.86709253
Brookhaven borough,68121,40.4110876,-70.5404512
Saratoga,67830,33.3269707,-69.71482447
Marshall,67702,32.9164976,-100.75001018
Port Angeles,67446,37.8583455,-72.24085812
Clarkston,67320,37.7723318,-110.62136177
Waterloo,67160,34.9521663,-97.6777615
Utica,67048,35.7432025,-82.41460509
Moorpark,66822,38.8431377,-123.05103146
South El Monte,66762,36.5887121,-116.83646971
Roselle Park borough,66754,40.1287849,-94.17471169
Atlanta,66736,44.5873885,-101.72398522
Tomball,66615,49.1,-109.24597575
Atlanta,66576,43.0200507,-74.95853388
Irmo,66543,49.1,-92.79268349
Canandaigua,66104,32.5350233,-82.7261253
Bell Gardens,65563,36.352229,-104.36235414
Matthews,65533,29.4943376,-112.69710282
Temecula,65195,35.7263199,-70.98467411
Billings,64949,39.6365656,-111.01545374
Lancaster village,64544,38.4816929,-94.08533224
Mill Valley,64310,38.3789903,-105.45375329
Jenks,63739,28.353822,-95.53045606
Hibbing,63725,30.5944546,-92.86917128
Woodridge village,63610,35.4768658,-107.28029757
Schererville,63267,36.7242081,-101.34071323
South Ogden,63173,43.3384909,-118.6730787
Pewaukee village,63025,37.2803295,-107.15954277
Muskegon,62917,45.8152169,-74.56829198
Lenoir City,62903,34.0906031,-101.06118477
Platteville,62735,40.2495283,-82.50811698
Allen,62699,38.9882778,-103.91784437
Spring Lake,62478,34.1803662,-104.55795495
Pelham,62389,31.366081,-122.97057808
Binghamton,62368,38.4673151,-87.54505306
Stamford,62331,31.3897508,-80.21680661
Grandview,62250,44.2146138,-118.00364208
Destin,62242,44.3796561,-106.86395637
Port St. Lucie,62199,36.7498331,-117.86601522
Bellaire,62039,45.4342717,-92.32193001
Leesburg,61954,36.6764947,-83.54075113
Oswego,61823,37.566737,-79.08909872
Plainfield,61812,40.1722008,-99.7042589
Springdale,61390,46.1630712,-74.28512852
Eloy,61361,37.7962099,-99.86747571
Chapel Hill,61063,36.4942089,-80.51730681
Mission Viejo,61017,35.9247751,-124.05167952
Atascadero,60928,35.5153558,-81.89661767
Stallings,60812,36.7893922,-121.44780804
Dothan,60798,40.9087259,-94.38514744
Granite City,60762,45.0442304,-86.93872889
Aliso Viejo,60760,48.170703,-123.76701398
Norris borough,60615,30.1355465,-116.48068388
Post Falls,60543,36.8565552,-91.83321926
Madisonville,60514,35.7758851,-94.44236406
Calumet City,60482,39.7448296,-71.71013767
Jacksonville Beach,60182,41.2228022,-70.46875841
Napa,60049,41.1745807,-106.5209477
Blue Island,59947,37.3940554,-74.85633475
Clayton,59844,37.0982932,-78.47589832
North Mankato,59765,36.2239872,-78.41372488
Leander,59698,38.4172019,-77.21317715
Wyoming,59652,34.0565507,-75.784189
Cedar,59526,37.4187525,-121.89465651
Wentzville,59458,32.6163759,-90.63138147
Willowbrook village,59455,38.5003552,-75.7146556
Wauseon,59372,41.1088012,-103.88216673
Maryland Heights,59136,43.8760355,-102.94909961
Everett,58783,40.4210014,-101.64810611
Bell Gardens,58708,41.8112816,-121.62146167
Weatherford,58642,32.258243,-95.44629669
Fitchburg,58575,34.0865287,-83.81624998
North Ogden,58047,39.1029033,-117.88675715
Chino Hills,57801,34.9831843,-104.24861873
Carrboro,57695,30.5677966,-81.59502204
Marina,57584,35.6556287,-77.07078718
Woonsocket,57572,31.9458276,-74.86938178
Chicago Heights,57519,39.9093962,-106.70632282
Napoleon,57442,36.6748689,-103.28715455
Haltom City,57425,34.8043483,-124.21896088
Elyria,57382,32.8092608,-110.47433247
Hudson Falls village,57282,42.6574597,-70.97475919
Mineral Wells,57263,42.9173872,-114.79419924
Trotwood,57149,40.9513884,-74.6572215
Denver,57123,39.189485,-71.93117391
Country Club Hills,56934,25.9368972,-71.14490542
San Antonio,56906,44.3289988,-121.14447085
Hanahan,56779,42.1147111,-84.10875254
Punta Gorda,56737,42.5389574,-112.74498177
Redwood City,56677,37.0570576,-90.35080752
Vermillion,56351,41.9498642,-83.39322784
Mishawaka,56328,45.170803,-115.48076239
Muscatine,56321,49.1,-72.64692907
Spartanburg,56281,42.3968885,-74.04412467
Ottumwa,56191,42.2442576,-102.62280519
Twentynine Palms,56083,32.5561563,-84.59823104
Phenix City,55999,34.0683807,-96.52375676
Elmwood Park village,55961,41.9449353,-71.02762295
Clearwater,55755,40.0912094,-69.20832694
Delavan,55694,36.8437319,-119.32410012
Menifee,55682,38.9756184,-95.66486217
River Rouge,55526,35.2327011,-115.97584059
Diamondhead,55494,39.8486581,-70.75307105
Speedway,55473,33.4125175,-68.345846
Hopkinsville,55417,42.987024,-96.84921321
Monroe village,54983,34.9838534,-80.1900625
Wytheville,54959,31.8905063,-98.88809152
Kilgore,54921,35.3279605,-111.92889857
