Date,Price
1943-08-31,444.31
1943-09-30,459.78
1943-10-30,445.7
1943-11-29,460.53
1943-12-29,446.26
1944-01-28,463.92
1944-02-27,474.53
1944-03-28,464.4
1944-04-27,448.34
1944-05-27,461.71
1944-06-26,457.21
1944-07-26,428.64
1944-08-25,469.24
1944-09-24,482.46
1944-10-24,469.32
1944-11-23,464.21
1944-12-23,467.46
1945-01-22,455.12
1945-02-21,480.34
1945-03-23,483.3
1945-04-22,488.7
1945-05-22,466.24
1945-06-21,469.51
1945-07-21,485.84
1945-08-20,496.74
1945-09-19,483.17
1945-10-19,490.57
1945-11-18,479.48
1945-12-18,487.98
1946-01-17,466.07
1946-02-16,496.3
1946-03-18,499.95
1946-04-17,484.55
1946-05-17,489.5
1946-06-16,496.06
1946-07-16,478.28
1946-08-15,486.37
1946-09-14,463.54
1946-10-14,485.69
1946-11-13,506.25
1946-12-13,521.38
1947-01-12,503.35
1947-02-11,490.0
1947-03-13,494.36
1947-04-12,480.43
1947-05-12,502.54
1947-06-11,508.01
1947-07-11,499.19
1947-08-10,500.82
1947-09-09,523.71
1947-10-09,496.82
1947-11-08,524.36
1947-12-08,513.64
1948-01-07,509.59
1948-02-06,504.18
1948-03-07,519.41
1948-04-06,528.99
1948-05-06,503.02
1948-06-05,511.32
1948-07-05,513.43
1948-08-04,512.28
1948-09-03,500.39
1948-10-03,509.01
1948-11-02,507.23
1948-12-02,508.49
1949-01-01,517.21
1949-01-31,530.24
1949-03-02,510.19
1949-04-01,514.86
1949-05-01,524.88
1949-05-31,516.06
1949-06-30,521.98
1949-07-30,518.46
1949-08-29,549.45
1949-09-28,519.32
1949-10-28,540.25
1949-11-27,526.87
1949-12-27,533.27
1950-01-26,533.62
1950-02-25,530.7
1950-03-27,545.46
1950-04-26,515.74
1950-05-26,564.05
1950-06-25,562.09
1950-07-25,550.08
1950-08-24,559.69
1950-09-23,535.78
1950-10-23,576.07
1950-11-22,550.36
1950-12-22,543.13
1951-01-21,549.74
1951-02-20,551.08
1951-03-22,561.17
1951-04-21,560.72
1951-05-21,546.61
1951-06-20,555.42
1951-07-20,565.75
1951-08-19,564.16
1951-09-18,556.31
1951-10-18,566.44
1951-11-17,553.35
1951-12-17,574.69
1952-01-16,563.68
1952-02-15,575.77
1952-03-16,575.21
1952-04-15,570.09
1952-05-15,592.57
1952-06-14,551.07
1952-07-14,573.03
1952-08-13,592.56
1952-09-12,583.0
1952-10-12,569.88
1952-11-11,572.16
1952-12-11,574.02
1953-01-10,572.13
1953-02-09,568.58
1953-03-11,581.95
1953-04-10,568.06
1953-05-10,581.99
1953-06-09,591.35
1953-07-09,580.72
1953-08-08,598.98
1953-09-07,590.51
1953-10-07,561.2
1953-11-06,606.42
1953-12-06,577.79
1954-01-05,584.16
1954-02-04,612.43
1954-03-06,587.17
1954-04-05,580.98
1954-05-05,597.0
1954-06-04,613.26
1954-07-04,581.26
1954-08-03,602.69
1954-09-02,596.42
1954-10-02,622.48
1954-11-01,605.21
1954-12-01,638.44
1954-12-31,585.9
1955-01-30,600.46
1955-03-01,596.33
1955-03-31,615.44
1955-04-30,599.63
1955-05-30,609.26
1955-06-29,626.36
1955-07-29,596.59
1955-08-28,635.25
1955-09-27,622.2
1955-10-27,605.15
1955-11-26,603.72
1955-12-26,622.38
1956-01-25,614.52
1956-02-24,627.71
1956-03-25,607.52
1956-04-24,641.97
1956-05-24,619.62
1956-06-23,636.84
1956-07-23,631.84
1956-08-22,631.53
1956-09-21,629.48
1956-10-21,640.04
1956-11-20,650.9
1956-12-20,608.72
1957-01-19,618.06
1957-02-18,621.05
1957-03-20,649.16
1957-04-19,613.11
1957-05-19,654.8
1957-06-18,636.8
1957-07-18,634.91
1957-08-17,625.91
1957-09-16,643.02
1957-10-16,656.17
1957-11-15,639.95
1957-12-15,652.92
1958-01-14,639.79
1958-02-13,652.67
1958-03-15,652.13
1958-04-14,659.78
1958-05-14,662.68
1958-06-13,639.99
1958-07-13,672.11
1958-08-12,650.68
1958-09-11,653.24
1958-10-11,662.75
1958-11-10,689.21
1958-12-10,669.81
1959-01-09,667.84
1959-02-08,670.07
1959-03-10,659.75
1959-04-09,653.94
1959-05-09,682.75
1959-06-08,670.29
1959-07-08,665.35
1959-08-07,660.41
1959-09-06,677.61
1959-10-06,666.81
1959-11-05,675.66
1959-12-05,658.73
1960-01-04,675.68
1960-02-03,676.05
1960-03-04,683.24
1960-04-03,665.63
1960-05-03,692.92
1960-06-02,681.58
1960-07-02,681.22
1960-08-01,685.41
1960-08-31,680.91
1960-09-30,686.06
1960-10-30,693.63
1960-11-29,690.17
1960-12-29,671.7
1961-01-28,704.11
1961-02-27,679.74
1961-03-29,699.11
1961-04-28,692.77
1961-05-28,697.23
1961-06-27,683.93
1961-07-27,703.81
1961-08-26,698.2
1961-09-25,692.39
1961-10-25,713.05
1961-11-24,689.49
1961-12-24,702.36
1962-01-23,716.72
1962-02-22,699.63
1962-03-24,719.64
1962-04-23,708.52
1962-05-23,714.11
1962-06-22,713.78
1962-07-22,695.02
1962-08-21,725.46
1962-09-20,711.29
1962-10-20,710.83
1962-11-19,724.08
1962-12-19,732.62
1963-01-18,712.43
1963-02-17,710.93
1963-03-19,741.63
1963-04-18,705.79
1963-05-18,722.54
1963-06-17,726.86
1963-07-17,715.93
1963-08-16,713.6
1963-09-15,745.88
1963-10-15,716.18
1963-11-14,720.05
1963-12-14,734.62
1964-01-13,753.09
1964-02-12,758.26
1964-03-13,707.69
1964-04-12,724.72
1964-05-12,723.72
1964-06-11,734.19
1964-07-11,737.64
1964-08-10,737.88
1964-09-09,737.61
1964-10-09,730.94
1964-11-08,726.44
1964-12-08,755.54
1965-01-07,759.54
1965-02-06,746.76
1965-03-08,729.73
1965-04-07,744.94
1965-05-07,746.67
1965-06-06,740.47
1965-07-06,757.05
1965-08-05,754.14
1965-09-04,755.68
1965-10-04,772.21
1965-11-03,774.98
1965-12-03,753.54
1966-01-02,753.75
1966-02-01,756.83
1966-03-03,756.38
1966-04-02,749.31
1966-05-02,762.03
1966-06-01,760.61
1966-07-01,754.5
1966-07-31,786.1
1966-08-30,761.18
1966-09-29,759.35
1966-10-29,779.91
1966-11-28,780.52
1966-12-28,787.64
1967-01-27,762.84
1967-02-26,769.58
1967-03-28,782.68
1967-04-27,755.04
1967-05-27,795.75
1967-06-26,770.77
1967-07-26,774.21
1967-08-25,790.33
1967-09-24,789.9
1967-10-24,801.07
1967-11-23,765.96
1967-12-23,772.28
1968-01-22,802.47
1968-02-21,788.81
