iata,name,city,state,country,latitude,longitude
OLZ,Astoria Regional,Plano,TX,USA,41.67153039,-79.47080554
S01,Waynoka Municipal,West Valley City,GA,USA,45.00830608,-134.08412147
2F8,Plantation Airpark,Pueblo,OR,USA,48.89964093,-89.72645842
FFZ,Vinita Municipal,Hialeah,NC,USA,19.28057492,-100.75133687
X21,North Central State,Fontana,FL,USA,40.34909904,-100.63342912
4R1,Henderson,Fresno,IA,USA,41.87552387,-100.96891817
M11,Hannibal Municipal,Murfreesboro,TX,USA,41.33698345,-111.58537614
3MY,White County,Baltimore,MI,USA,47.67007747,-124.91066117
I83,Missoula International,Knoxville,KY,USA,32.0309611,-84.93056799
AKI,Napakiak,Naperville,CO,USA,45.57357034,-91.83765235
MAL,Sheldon Point,Worcester,VT,USA,40.42252244,-77.58387236
VPZ,Goldsboro-Wayne Municipal,Wichita,WI,USA,35.90833467,-105.79443841
I66,Montauk,Fort Worth,KS,USA,38.13458666,-139.97236102
RNV,McElroy Airfield,Fort Worth,NM,USA,45.30358366,-104.68092087
MPR,Wellsville Muni Tarantine,Garland,AZ,USA,41.30411308,-90.43398607
EVW,East Cooper,Colorado Springs,MS,USA,43.28511498,-73.22026103
LZU,Walhalla Municipal,Tokyo,MN,USA,23.60575836,-95.56847788
5NN,McCharen,Reno,TX,USA,31.89959671,-144.46421068
SAT,Spanish Fork-Springville,Winston-Salem,TX,USA,30.45750552,-53.03477222
PUW,Kennett Memorial,Santa Ana,MA,USA,51.39139866,-70.35518895
VAK,Gen Edw L Logan Intl,Colorado Springs,KY,USA,54.32640645,-122.9009107
0M0,Greensboro Municipal,Tokyo,WI,USA,22.11445139,-127.61675965
Q41,Rock County,Tokyo,NE,USA,41.82685643,-89.3973191
L17,Valdosta Regional,Durham,WA,USA,40.08673716,-94.60652976
TVI,Port Protection SPB,Madison,AR,USA,30.10093673,-128.62075995
WCR,Mark Anton,Tallahassee,IL,USA,39.2702465,-88.50030046
DPA,Havana Regional,Saint Paul,CA,USA,49.61239642,-83.89377163
F18,Madera Municipal,Worcester,MT,USA,34.28690574,-89.22703074
3O9,Antonio (Nery) Juarbe Pol,San Francisco,NC,USA,29.10989438,-133.14223147
27A,Sulphur Springs Municipal,Kansas City,WV,USA,18.87784117,-112.36837981
2A9,Cotulla-Lasalle County,Odessa,OH,USA,48.15902984,-62.04398751
4V9,Cook County,Macon,OH,USA,51.3281841,-126.32221068
WSM,Trinca,Riverside,AK,USA,47.18856665,-131.06663216
TRI,"Reading Muni,Gen Carl A Spaatz",Huntington Beach,TN,USA,50.92377946,-103.14546584
MKT,Hanford Municipal,New York,AZ,USA,45.04537189,-101.6594876
MSY,Fayette County,Macon,ME,USA,44.08435101,-123.08095346
B21,Red Oak Municipal,Tokyo,ID,USA,30.69641965,-104.8086867
HDN,Whiteriver,Tempe,TX,USA,49.98675956,-84.18341295
Y31,Bayport Aerodrome,Baltimore,WI,USA,32.38939694,-57.77031978
BNW,Okeechobee County,Paterson,AK,USA,37.3432233,-78.65429753
OAJ,Hagerstown Regional-Richard Henson,Murfreesboro,MO,USA,45.01441703,-48.44583662
19A,Thomson-McDuffie County,Huntington Beach,NE,USA,30.28102608,-93.81935956
BFK,Aitkin Municipal,Dayton,KS,USA,53.54585641,-114.27299641
ASN,Roosevelt Municipal,Newark,NV,USA,34.66860081,-75.3246898
RED,Ingalls,Plano,NC,USA,17.87949269,-90.89787324
GYR,Galveston-Scholes,Tokyo,TN,USA,43.75642957,-115.93748252
PSP,Avi Suquilla,Plano,KY,USA,46.59194565,-41.65677673
N13,Falmouth Pendleton County,Chandler,OR,USA,36.7849526,-68.81325237
AFW,Myrtle Beach International,Tokyo,IN,USA,31.02738439,-136.44000931
OQU,Grayling,Indianapolis,AK,USA,53.51496439,-102.35632717
TT01,Bettles,Laredo,LA,USA,38.9753637,-134.16118021
6D8,Big Sandy Regional,London,PA,USA,30.96818057,-60.1710664
TOL,Adams County Legion,Visalia,OR,USA,33.4371213,-70.39705859
K78,Lea County/Tatum,Mesa,AK,USA,32.07756143,-80.3023845
L35,Satanta Municipal,Grand Rapids,TX,USA,35.18974736,-83.96733534
22M,Litchfield Municipal,Providence,GA,USA,27.97274617,-101.97207937
L72,Jerome County,Newport News,TX,USA,44.97004963,-88.69303643
PTS,Brandywine,Visalia,CA,USA,39.2122987,-93.85383247
ARC,Grand Rapids-Itasca County,Boston,MT,USA,55.64299042,-82.32608491
EOK,International Peace Garden,Peoria,IN,USA,46.17589666,-107.74396646
LAM,Pickaway County Memorial,Richmond,AK,USA,42.87875401,-80.51821552
LIT,Bayport Aerodrome,Baton Rouge,NJ,USA,21.79811345,-76.25881772
9U3,Parlin,Irvine,TN,USA,41.28510357,-76.48720445
PLR,Francis Gabreski,Buffalo,OK,USA,40.97485953,-108.90844458
WSM,Cincinnati West,San Antonio,OR,USA,50.88382739,-103.93114377
CCB,Huron County,Newport News,MI,USA,33.77851005,-75.69111325
9S5,Dalton Municipal,Pomona,IA,USA,44.58318248,-80.55584346
YNG,Perryville Municipal,Akron,CA,USA,36.6784136,-71.38872652
PQN,Port Meadville,Arlington,MA,USA,37.60451205,-89.92437615
IGQ,Newberry Municipal,Akron,NE,USA,36.82477105,-69.32372339
PCW,Columbia Regional,Odessa,VA,USA,44.51359747,-80.30660569
O60,Fairbanks International,Boston,TX,USA,42.68209364,-104.26559156
CFJ,Tonopah,Hayward,MS,USA,41.93707317,-149.57386187
SNH,Fitchburg Municipal,Mesa,AL,USA,20.38171453,-106.66491323
48A,Ennis - Big Sky,Eugene,TN,USA,33.93038654,-115.06564016
BVI,McKinney Municipal,Sterling Heights,FL,USA,28.79174555,-54.45005536
E94,Mesquite,Baltimore,AK,USA,29.99370472,-113.89634211
2O8,Avon Park Municipal,Charlotte,AL,USA,48.98407572,-114.02895928
C65,Big Piney-Marbleton,Sydney,NY,USA,43.60702617,-111.57879798
GWR,Double Eagle II,Eugene,MA,USA,24.61392118,-95.08082725
S28,Brown County,Madison,NE,USA,53.23521447,-57.63426555
06A,Poplar Grove,Fort Wayne,VA,USA,44.52805713,-101.19031669
AUG,Canyonlands,Grand Rapids,TN,USA,40.96414379,-101.10880653
TTA,La Grande/Union County,Jacksonville,PA,USA,46.29355863,-87.28272303
5I4,Haines SPB,Jersey City,IN,USA,29.75756321,-81.10689229
K83,Wickenburg Municipal,Brownsville,FL,USA,43.86221939,-94.89104065
ONA,Jackpot/Hayden,Madison,MI,USA,41.28653277,-112.01935956
OGM,Shungnak,West Valley City,AK,USA,34.31175716,-128.15194058
O26,Wheatland County  At Harlowton,Plano,IA,USA,48.05141068,-74.38932771
3D4,Camden Municipal,Greensboro,KY,USA,47.71347583,-94.55136898
4R1,Bowie Municipal,Mesa,TX,USA,30.66984689,-105.02950114
E42,Murphys Pullout SPB,Brownsville,KS,USA,31.91908421,-78.54690327
9M6,Lanett Municipal,Stockton,NM,USA,40.22264441,-115.25586409
0F4,Harrison County,New Orleans,LA,USA,46.24153677,-51.85585263
STK,Andalusia,Sterling Heights,KY,USA,42.75389344,-135.66060302
20M,Huntington Municipal,Paterson,TX,USA,39.28268499,-93.61156182
PXE,Brookhaven-Lincoln County,Los Angeles,OR,USA,41.15997474,-72.55442515
BUY,Bay City Municipal,Little Rock,MN,USA,32.76998128,-97.50921023
PMB,Moritz Memorial,Lincoln,VA,USA,53.84374972,-101.49253376
22N,March,Newport News,SD,USA,32.9935402,-36.90658794
CUL,Christmas Valley,San Francisco,NC,USA,16.25490344,-118.61386298
LAN,Thompson Falls,Escondido,NJ,USA,49.26500913,-83.93864663
5CD,Martin Municipal,Madison,FL,USA,34.8032887,-90.03971661
AHH,Shishmaref,Fontana,OK,USA,45.96989284,-61.01574243
4O4,Slaton Municipal,New York,AK,USA,36.61843897,-103.17512402
F46,Columbus County Municipal,Eugene,TX,USA,45.97469783,-58.41657288
5G7,Grove City,Sydney,PA,USA,45.83581447,-81.16623084
8D1,Thomas C Russell,Moreno Valley,TN,USA,36.53887047,-133.37733895
M23,West Plains Municipal,Plano,WY,USA,32.78157662,-76.02086418
GNV,Waterbury-Oxford,Winston-Salem,TX,USA,50.67793648,-49.13342551
TOP,Coles County Memorial,Lincoln,AL,USA,40.93816522,-157.05958366
22M,Effingham County Memorial,Baltimore,GA,USA,51.39607793,-131.25922912
CKF,Chuathbaluk,Eugene,NA,USA,32.3728876,-127.28547915
48A,Middleton,Pomona,AR,USA,45.09348763,-62.29157637
CBK,Cuba Municipal,Omaha,OK,USA,32.53153114,-85.09001767
GZS,Cherokee Nation,Joliet,AZ,USA,49.97803034,-119.37057976
44B,Claremore Regional,Pomona,VA,USA,49.12027356,-79.39695264
JWN,Whiteman,Garland,NC,USA,35.67900784,-80.79010446
2R9,Chalkyitsik,Lubbock,WY,USA,38.52929358,-140.054027
OLZ,Hammond Municipal,Washington,NM,USA,41.37925751,-116.56327597
3K6,Altus Municipal,Waco,AK,USA,39.99502175,-132.36037157
GCT,Colonel James Jabara,Spokane,IA,USA,28.07508925,-115.11577004
E25,C A Moore,Arlington,TX,USA,42.19450163,-136.33000686
ODX,Ocean City,Peoria,TN,USA,29.49584923,-111.68257848
LDM,Monahans-Roy Hurd Memorial,Rochester,MT,USA,33.86698382,-70.16018568
20N,Emporia-Greensville Regional,Akron,NY,USA,40.62238137,-61.83321518
MLY,Anderson County,Dayton,SD,USA,36.44890492,-71.86234892
RUG,Niagara Falls Intl,Salem,NE,USA,35.96840285,-111.6524376
GGF,Springhill,Salem,UT,USA,60.3477256,-68.98255581
3J7,Carbon County,Tokyo,TX,USA,32.12542897,-112.77785742
LPC,Cooperstown Municipal,Santa Ana,IL,USA,34.91377551,-74.9117743
54J,Taylorville Municipal,Jacksonville,WA,USA,36.24609835,-126.25757024
APV,Captain Walter Francis Duke Regional,Des Moines,AK,USA,25.31421088,-152.83340175
5J9,Mohall Municipal,Anchorage,CA,USA,46.29808612,-120.46198966
M54,Nowata Municipal,Sioux Falls,IL,USA,52.4003049,-90.12344917
7S1,Salisbury-Ocean City: Wicomico Regional,Peoria,MN,USA,54.21354608,-118.2628252
PVC,Glenwood Municipal,Sacramento,MA,USA,49.69429069,-121.13798857
EVY,McKinney Municipal,Aurora,KS,USA,36.88457669,-113.67363054
PXE,Birmingham International,Pueblo,AL,USA,31.83516781,-99.85671891
MYU,Portage Creek,Pomona,CA,USA,40.88623626,-51.18064985
ONA,Southbridge Municipal,Akron,NH,USA,42.96401815,-91.2797058
12K,Salt Lake City Municipal 2,Lincoln,AK,USA,26.5327251,-82.46660777
CRG,Louisville Municipal,Waco,LA,USA,35.56490372,-111.89969739
4M1,Malone-Dufort,West Valley City,CO,USA,41.54419069,-88.05720961
BFM,Tullahoma Regional,Oklahoma City,OR,USA,32.14525244,-98.99923289
CAV,Modesto City-County-Harry Sham,Fresno,IL,USA,41.51069855,-151.17719886
SAF,Vance Brand,Topeka,CO,USA,48.87621099,-68.88904394
FOT,New Golovin,Topeka,CO,USA,44.67945145,-131.93243674
EHR,Pawnee Municipal,Omaha,AR,USA,49.09148259,-113.8436706
SPX,Dade Collier T And T,Phoenix,MO,USA,29.06912566,-89.45646749
0O4,Bay City Municipal,Rochester,MI,USA,49.87275215,-153.9434542
3MY,Manila,Salem,MI,USA,57.3137157,-119.00661906
HSA,Washington Municipal,Lakewood,VT,USA,48.8303381,-117.45647517
POF,Preston,Joliet,OK,USA,35.14988836,-39.13056815
OTG,Put In Bay,Cleveland,TN,USA,29.13312908,-142.86518423
E25,Dekalb-Taylor Municipal,Surprise,OH,USA,49.85168113,-106.92497292
96D,Kivalina,Paris,CQ,USA,36.1299771,-108.17763741
W96,Storm Lake Municipal,Miami,MS,USA,48.72419031,-119.66558427
29G,Clinton,San Diego,RI,USA,43.46901346,-98.73394228
0V6,Independence,Buffalo,TN,USA,60.57388295,-57.81398459
L52,Gettysburg Municipal,Gilbert,ND,USA,28.60365292,-105.80458014
1S6,La Junta Muni,Seattle,NE,USA,27.93441248,-71.30540576
IML,Pender Municipal,Houston,CA,USA,27.03483406,-62.54435596
TKI,Romeo,Rochester,VA,USA,45.58100405,-135.60785867
ASJ,White Cloud,Houston,CA,USA,38.07470783,-78.88742364
EHA,Ellington,Tallahassee,GA,USA,33.32832068,-76.85407268
UAO,Yakutat,Lincoln,AK,USA,47.08878436,-136.25905763
HLX,Clark Field Municipal,Surprise,AK,USA,27.3767077,-91.69539419
Z84,Rockingham County NC Shiloh,Lexington,IN,USA,43.12616601,-119.83161209
RGK,Dallas-Fort Worth International,Boise,MT,USA,32.41057946,-110.45650385
ND29,Cook County,Midland,IL,USA,53.95738524,-132.67326376
UUO,Bisbee Municipal,Atlanta,NY,USA,38.47092276,-119.43482308
TEB,William M Tuck,Joliet,GA,USA,48.33036815,-107.90542584
RVJ,Belle Plaine Municipal,Norfolk,IN,USA,47.06068189,-163.15769658
9K8,Yuba County,Charlotte,TX,USA,38.74548689,-95.21270434
BFI,Quanah Municipal,Anchorage,AK,USA,38.49390782,-64.5611574
GKJ,Edgemont Municipal,Richmond,CA,USA,48.43628145,-97.88406799
5T6,Grayling Army Airfield,San Antonio,WI,USA,37.696202,-118.99631263
RMP,Harbor Springs,Plano,GA,USA,26.86117695,-91.61573684
F46,Manitowish Waters,Bakersfield,AK,USA,37.10999919,-118.60131703
F84,William M Tuck,Garland,ND,USA,43.09263033,-74.13199944
AOO,Happy Camp,Hampton,NE,USA,45.48117756,-127.49339233
ATS,Watertown Intl,Los Angeles,NM,USA,34.56363501,-70.89656066
MVE,Cecil,Fayetteville,CA,USA,41.23555227,-130.71125737
MKV,Fairfield County,Hampton,VT,USA,47.81144613,-86.93241273
Z08,Kee,Cincinnati,WV,USA,54.98416691,-60.9259072
S93,Sumner County Regional,Eugene,MI,USA,23.22695624,-80.59829201
GEZ,Safford Regional,Madison,TX,USA,44.74970461,-112.39791875
ANW,Redlands Municipal,Omaha,ME,USA,26.67437036,-101.94966444
PEC,Cuero Municipal,Laredo,RI,USA,44.30372178,-58.30098139
AQW,Waterbury-Oxford,Moreno Valley,AK,USA,50.63955557,-111.44089816
O70,Deming Municipal,Paterson,SC,USA,45.07932847,-109.43465064
C18,Hobart Municipal,Peoria,TX,USA,37.26418792,-121.69686087
DM2,Pru,Midland,CA,USA,60.91435518,-89.063326
RUG,Jones Memorial,San Antonio,CA,USA,61.31915626,-93.2027245
F01,Reserve,London,MI,USA,45.89945895,-62.97881304
84R,Cuthbert-Randolph,Lincoln,PA,USA,26.44094287,-124.47135227
N57,Mecklenburg-Brunswick Regional,Boise,NE,USA,47.43953247,-41.86021442
T28,Ramona,Sparks,AK,USA,36.29225572,-121.11990235
73J,Cortland Cty-Chase,Garland,ME,USA,49.08819548,-123.61783262
KTN,Las Cruces International,Paris,WV,USA,50.08150105,-95.67163229
PSP,Fairview Municipal,Milwaukee,NM,USA,46.59860339,-116.63268424
MRF,General Dewitt Spain,Carrollton,OR,USA,35.97009011,-111.16984829
FBY,Wasco State,Fort Wayne,ID,USA,24.29158004,-132.03707661
OOK,Thigpen,Washington,TX,USA,34.4889847,-108.14135156
IWD,Coffey County,Oxnard,TX,USA,46.58844573,-97.42339977
SCH,Anderson Municipal,San Diego,AK,USA,26.63018821,-101.4706832
PDT,Joliet Park District,Winston-Salem,OH,USA,43.39557186,-97.44175665
TQK,Middleton,Nashville,TX,USA,37.88112688,-102.86476661
I95,Lee Gilmer Memorial,West Valley City,CA,USA,38.7189299,-94.5171176
FFL,Guymon Municipal,San Francisco,IA,USA,36.52148445,-120.86520323
BPI,Finger Lakes Regional,Honolulu,AK,USA,21.74340569,-116.78887965
PIR,Catalina,Greensboro,IA,USA,34.37103939,-90.58159386
91F,Putnam County,Pittsburgh,MN,USA,34.78955447,-113.75593638
BIL,Port Alsworth,Tampa,OR,USA,27.92674851,-69.01793716
HYG,Grove Municipal,Baton Rouge,GA,USA,46.27172499,-93.67352288
CFT,Henryetta Municipal,Des Moines,TN,USA,44.36154715,-95.84813368
YKM,Edgecombe County,Kansas City,MO,USA,44.86194479,-117.70424234
E11,Lunenburg County,Aurora,AL,USA,38.66960413,-102.28636765
FOK,Brookings,Stockton,AR,USA,32.15789963,-120.50293572
APF,Haigh,Grand Rapids,IA,USA,32.07264644,-109.42184478
27D,Penn Valley,Toronto,NC,USA,36.53586858,-41.95724608
4G6,Monett Municipal,New Orleans,CA,USA,37.52743017,-131.9031721
UVA,Council Municipal,Indianapolis,KY,USA,30.74225893,-121.31314879
DLN,Cherokee Municipal,Sterling Heights,CA,USA,46.55176298,-117.7286715
S05,Hesler-Noble,Murfreesboro,NY,USA,50.72420748,-121.5095003
3SQ,St Charles,Dayton,NY,USA,30.10677076,-80.97800485
PIL,Kalaeloa (John Rodgers),Sterling Heights,CA,USA,47.98671213,-72.11383923
U30,Henry County,Escondido,GA,USA,44.47237158,-127.54364642
FMN,Midland Airpark,Bridgeport,AK,USA,43.61103535,-130.48969286
2D1,Bay Minette Municipal,Minneapolis,NM,USA,36.06671561,-105.08090391
HSV,Beverly Municipal,Tempe,CO,USA,33.30508348,-112.9963681
L17,Red Oak Municipal,Louisville,TN,USA,41.65271884,-93.54289074
FRG,Paradise Skypark,Saint Paul,FL,USA,36.96305372,-76.04000248
27D,Boundary,Rochester,SD,USA,34.03449006,-89.08761444
Q31,Demopolis Municipal,Midland,MO,USA,30.22739353,-116.10883559
VGT,Jean,Raleigh,TN,USA,34.56517188,-108.30017603
RYV,Richard Downing,Little Rock,ID,USA,33.72877096,-91.13731442
RBW,Daytona Beach International,Denton,CA,USA,35.6907573,-91.27614834
15F,Cynthiana-Harrison County,Roseville,NV,USA,48.80657381,-100.2121821
ISM,Piedmont Municipal,Mesa,GA,USA,38.5930381,-52.79726248
KEB,Rochester International,Akron,TX,USA,33.34337149,-17.62742303
ABE,Flandreau Municipal,San Francisco,AK,USA,43.42972925,-56.74742764
SIT,Cherry Capital,Louisville,ME,USA,45.72229335,-91.9616838
PJY,Columbus Metropolitan,Modesto,AK,USA,44.11620743,-90.92436159
OXR,Woodlake,Garland,MN,USA,45.57156993,-146.03579482
SBD,Kanab Muni,San Francisco,CO,USA,37.08932707,-57.95776485
6B4,Akron-Canton Regional,Miami,WV,USA,52.47868731,-87.39598743
E26,Zephyrhills Municipal,Pasadena,IL,USA,49.44378619,-65.19694172
OLU,Sumner County Regional,Lakewood,PA,USA,37.5911226,-95.8416653
M02,Tangier Island,Savannah,MN,USA,52.52920933,-78.5223311
W33,Logansport Municipal,Peoria,TX,USA,42.57154906,-61.57278436
RXE,George R Carr Memorial,Surprise,SD,USA,24.41451818,-88.33615511
HAO,Van Nuys,Brownsville,IA,USA,58.45462576,-94.25337266
SWT,Joplin Regional,Los Angeles,IN,USA,30.61734286,-111.67228305
BET,Augusta State,Toledo,IN,USA,43.80434118,-92.46707105
MBY,Madison County,San Francisco,WI,USA,38.41885229,-131.60604743
1L0,Crawfordsville Municipal,Glendale,TX,USA,46.89418667,-110.55417991
CEF,Friedman Memorial,Hampton,TX,USA,51.95493343,-81.55544324
OTZ,Grand Forks International,Dayton,AK,USA,43.53027521,-115.24306358
M13,St Charles,Fort Wayne,ND,USA,34.90681189,-76.06406239
0R4,Durango-La Plata County,Madison,GA,USA,37.46645562,-122.78319705
7KA,Ridgeland,Paterson,TX,USA,35.3286836,-102.68719118
T97,Granbury Municipal,Salem,ME,USA,34.90943733,-106.47643902
4M7,Brenner,Honolulu,WA,USA,38.46410666,-96.58200579
19M,Heber City Municipal/Russ McDonald,Fontana,TN,USA,45.65954851,-90.71496818
O52,Rota International,Cincinnati,OK,USA,34.74530184,-113.26654276
MSA,Elkhart Municipal,Allen,TX,USA,39.73101333,-61.97300081
GLR,Pittsburgh Boquet Airpark,Knoxville,AK,USA,37.55131626,-91.43881398
3D2,Bemidji-Beltrami County,Hayward,GA,USA,26.07618245,-64.53983979
5B7,Spinks,Milwaukee,MS,USA,35.98837141,-124.45007752
LYO,Chefornak,Naperville,ND,USA,43.59161978,-117.58119177
MQT,Lihue,Bakersfield,NY,USA,44.47312486,-69.72819044
N23,Alamo Landing,Houston,AK,USA,47.06394369,-123.95485501
MBG,Walker,Columbus,PA,USA,33.24006781,-84.19446316
MHR,Valdez,Brownsville,AR,USA,63.74515376,-136.9134829
ECG,Orange County,Akron,VA,USA,31.60983906,-97.64253199
8K9,Mexia-Limestone County,Glendale,AR,USA,48.92304725,-73.7221503
ISM,Russellville-Logan County,Miami,IL,USA,33.94442204,-67.2733949
I40,Sumter Municipal,Dayton,OK,USA,42.34192115,-111.04143446
