answer,question
"[""Meredith Willson""]",where will the commonwealth games be held in 2018
"[""1980""]",red flag is the newspaper of which country
"[""Anderson Silva""]",what is the wall street journal prime rate as of today
"[""Saleisha Stowers""]",where is the set of taarak mehta ka ooltah chashmah
"[""1974""]",how do you qualify for american express black card
"[""to perceive linear acceleration""]",who is the actor that played marty in madagascar
"[""Zaira Wasim""]",who plays spike in buffy the vampire slayer
"[""Barbicide""]",who sings do you see what i see
"[""1984""]",when does the next last man on earth air
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who did the shot heard round the world
"[""1988""]",a karyotype with an extra set of chromosomes indicates
"[""Spanish""]",when did power rangers come out in america
"[""Gal Gadot""]",who has the most splash hits at at&t park
"[""Billie Jean King""]",when did women get the vote in usa
"[""Christopher Robert Evans""]",movie about a train going around the world
"[""1984""]",who is the chief judge of gujarat high court
"[""12""]",who is the worldwide leader of the catholic church and where does he live
"[""originally from the Greek""]",who was the first king in game of thrones
"[""10""]",how many chipotle restaurants are there in the us
"[""Citytv""]",inclusion bodies formation of syncytia and change in cell shape are examples of
"[""to perceive linear acceleration""]",what are the snowboard events at the olympics
"[""July 16, 2017""]",who coined the term no taxation without representation
"[""China""]",what kind of bomb did japan drop on pearl harbor
"[""March 15, 2013""]",who sings the song let me tell you about the birds and the bees
"[""Gabrielle Haugh""]",when did the rule of the directory begin
"[""Meredith Willson""]",how many goals has pogba scored for utd
"[""Parafollicular cells""]",when does season 4 episode 14 of the flash
"[""constitutional republic""]",who is the president in london has fallen
"[""2009""]",who narrates journey to the centre of the earth
"[""1984""]",who is given power under the constitution to grant individual pardons
"[""March 9, 2018""]",who won the women's money in the bank 2018
"[""Thurl Ravenscroft""]",who wrote the music for fiddler on the roof
"[""Welton Academy""]",when does percy jackson the titans curse come out
"[""1980""]",where is the roting number on a check
"[""Lake Baikal""]",who is running for governor in the state of oregon
"[""Citytv""]",who sang the cat's in the cradle
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",how far is medford ma from boston ma
"[""December 15, 2017""]",when was the first episode of charmed aired
"[""Meredith Willson""]",how many pirates of the carribean movies are there
"[""State governments""]",what is a number that is the same forwards and backwards
"[""Clemson\n1""]",who sings are we human or are we dancer
"[""Australia""]",which non-british company owns both the famous british rolls- royce and mini brands
"[""1981""]",the concept of fundamental duties was adopted from the constitution of which country
"[""State governments""]",following the russian revolution the soviet union adopted a system that
"[""Ryan ten Doeschate""]",who played anakin skywalker in star wars the phantom menace
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",how many different types of daylilies are there
"[""2017""]",who is awarded the orange cap in ipl twenty20 tournament
"[""2–4 years""]",who was the book of deuteronomy written to
"[""Zone Improvement Plan""]",who starred with barbra streisand in a star is born
"[""unknown""]",who does the voice in the haunted mansion at disneyland
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",whos the girl in the basement in don't breathe
"[""1967""]",when did north vietnam unify with the south
"[""2017""]",what part of the brain controls the endocrine system
"[""produces a lubricating mucus""]",when does new episodes of the handmaids tale come out
"[""a compulsory governmental insurance system""]",when did texas become apart of the united states
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",when is the next central government election in india
"[""A mood swing""]",who won the golf match in the film the legend of bagger vance
"[""Elstree Studios""]",who is the architect of the sydney opera house
"[""January 11, 1970""]",what are the benefits of dance in our everyday living
"[""the axon terminal""]",who is the first person who went to moon
"[""Mars Bonfire""]",first group inducted into rock and roll hall of fame
"[""1962""]",where does a long way gone take place
"[""Pom Klementieff""]",what is the deadliest hurricane to hit the us
"[""1988""]",when did louisiana became a right to work state
"[""King Edward Peak""]",who has the most second place finishes in golf majors
"[""US$500""]",who owns the rights to shazam the superhero
"[""Josh Groban""]",what was the name of the book darwin published
"[""1920 to 1933""]",who walked the tightrope between the twin towers
"[""West Indies""]",what is the meaning of ips in police
"[""March 25, 2011""]",who agreed to divide germany into zones at the end of ww2
"[""2012""]",who played hercule poirot in the new movie
"[""San Antonio""]",who has won the royal rumble from number 1
"[""35""]",nba rules who can call a time out
"[""University of South Carolina""]",who is current chief election commission of india
"[""January 11, 1970""]",how often do we have a census in the uk
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",who sings with shaggy on it wasn me
"[""Venus""]",the slogan garibi hatao (removal of poverty)was adopted during the period of —–
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",what is it called when no one wins at tic tac toe
"[""Parafollicular cells""]",who has most grand slams in mlb history
"[""Josh Groban""]",where do filtration secretion and reabsorption take place
"[""Marley""]",the only depolarizing muscle relaxant in clinical use is
"[""West Indies""]",where was the movie the last song filmed
"[""12""]",who is given credit for writing the rules of behavior for the monks living in the monasteries
"[""PewDiePie""]",who are the associate justices of the supreme court
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",when does episode 16 of boruto come out
"[""Edwin Hubble""]",who wrote you're going to love me
"[""Alex Rodriguez""]",when was the last time toronto was in the grey cup
"[""volume of the container decreases""]",when was the last time a running back was the 1st overall pick in the nfl draft
"[""James Arthur""]",current world heavyweight champion of the ibf wbo wba and ibo
"[""12""]",who wrote all i want for chrismas is you
"[""King Edward Peak""]",who sang the original greatest love of all
"[""1981""]",what is the oldest website in the world
"[""2000""]",who dies in harry potter and the half blood prince
"[""2024""]",what is the theme song to the munsters
"[""1967""]",what's the zip code for myrtle beach south carolina
"[""centroid""]",who slew the philistines with a donkey jawbone
"[""China""]",the capital of the tang dynasty and the largest city in the world at the time was
"[""1939""]",when was a whiter shade of pale recorded
"[""May 5, 1992""]",who plays gretchen's sister in prison break
"[""Machilipatnam""]",who plays marnie in bring it on again
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who was fired or forced to resign in the massacre
"[""Parafollicular cells""]",who played jo in the facts of life
"[""7""]",who sings in moana how far i'll go
"[""January 11, 1970""]",who has the most pga tour wins in a season
"[""18""]",what is the source of the tigris river
"[""March 9, 2018""]",1 kw is equal to how many kwh
"[""12""]",who wrote the book of philippians in the bible
"[""1962""]",who is king under the mountain after thorin dies
"[""Anderson Silva""]",where does beauty and the best take place
"[""oxidative phosphorylation""]",who is the head of defence in india
"[""Evaluation and management""]",what movie is the song hold on by wilson phillips in
"[""2018""]",when did the bank of england become independent
"[""Carole King""]",who is the highest paid athlete in the nba 2017
"[""PewDiePie""]",how much is a shot of espresso in ml
"[""produces a lubricating mucus""]",when does the world cup start and finish 2018
"[""Edwin Hubble""]",who wrote i wandered lonely as a cloud
"[""Marley""]",who wrote the song you don't bring me flowers anymore
"[""North Korea""]",how many times has cristiano ronaldo won world best player
"[""eastward, in prograde motion""]",who wrote help me make it through the night lyrics
"[""E. M. Forster""]",how many episodes in season 8 of game of thrones
"[""Josh Groban""]",when did india win its first cricket world cup
"[""2009""]",how many episodes are in the mist season 1
"[""1982""]",when is the latest episode of riverdale coming out
"[""Marvin Gaye""]",who sings leaving on a jet plane lyrics
"[""Sarabi""]",when did the british army got final defeat against the united state of america
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when was the first movie made with sound
"[""Eagles""]",how many letters are there in surah fatiha
"[""St. Louis Cardinals"",""San Francisco Giants""]",what years did trinidad and tobago won miss universe
"[""Evaluation and management""]",who invented the first telescope in the world
"[""a wild Pikachu""]",who is the voice actor for erza in fairy tail
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",who played the most nba all star games
"[""Charles Young""]",where did the name bowling for soup come from
"[""Miguel Cabrera""]",how many star are in the usa flag
"[""71%""]",what is the enrollment at arizona state university
"[""1967""]",who won the darts in shanghai last night
"[""Spanish""]",who plays the doctor in star trek into darkness
"[""Mary Kate Schellhardt""]",where was the movie high school musical filmed
"[""71%""]",what's the dog's name from toy story
"[""unknown""]",when was ethnomethodology used for the first time
"[""US$500""]",who scored for croatia in the world cup
"[""State governments""]",what is the most rare blood type in south africa
"[""Charles Young""]",little boy who played in the sixth sense
"[""Marvin Gaye""]",when did home and away start in the uk
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who is the voice of the warthog in lion king
"[""Ryan ten Doeschate""]",who won the battle of brice's crossroads
"[""constitutional republic""]",where is the rio grande river located in jamaica
"[""April 1, 1999""]",what is the tea bag made out of
"[""Evaluation and management""]",when is the world population expected to reach 8 billion
"[""1939""]",who is the original singer of almost is never enough
"[""71%""]",fight or flight controlled by which part of the brain
"[""Sachin Tendulkar""]",how many stars is on the united states flag
"[""Abigail Rokison-Woodall""]",who laid the foundation of space science in india
"[""in 2018""]",who plays the queen in episode 1 star wars
"[""V8 engine""]",who does rayna end up with in nashville
"[""10""]",who played skeletor in masters of the universe
"[""July 16, 2017""]",fifa world cup 2010 ball made in which country
"[""New Netherland""]",last us president to serve more than two terms
"[""August 17, 2018""]",what character did john stamos play on general hospital
"[""Jose Garces""]",surviving cast members of are you being served
"[""Eli Marienthal""]",who is playing poirot in the new film
"[""Parafollicular cells""]",who was the first indian who win world junior badminton championship
"[""Zaira Wasim""]",when did steph curry get drafted into the nba
"[""2009""]",who qualified in group h 2018 world cup
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",what does the e stand for in wile e coyote
"[""1942""]",when did the song too close come out
"[""179""]",who plays baelfire in once upon a time
"[""Jesse Donald Knotts""]",what are the minions names in despicable me
"[""2017""]",what is the minimum number of days holiday
"[""1974""]",where is the champions league final 2018 being played
"[""Bella Dayne""]",last part of the lord of the rings
"[""1962""]",when was the last year georgia beat florida
"[""12""]",who plays eddie on season 8 of shameless
"[""A concerto""]",who took oath as chif minister of rajasthan maximum number of times
"[""Elstree Studios""]",when was the last time jaguars were in the playoffs
"[""1792""]",what breed is the lady and the tramp dog
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",where was the movie cowboys and aliens filmed
"[""1920 to 1933""]",in the pre-columbian era what were the only domesticated beasts of burden in the americas
"[""oxidative phosphorylation""]",who has the highest minimum wage in the us
"[""1998""]",when does episode 115 of dragon ball super air
"[""Anil Kumar Jha""]",when did new zealand last host the commonwealth games
"[""Spectre""]",what is the spitting dinosaur in jurassic park
"[""1984""]",which first lady found at a clinic for substance abuse recovery in rancho mirage california
"[""1943""]",when did basketball become a sport in the olympics
"[""3 to 8 days""]",what movie is every rose has its thorn in
"[""4""]",what is the border name between india and pakistan
"[""December 2003""]",who made the song i wish i was a baller
"[""1998""]",where is the headquarters of geological survey of india located
"[""Jason Michael Lee""]",what allied nation was the first to reach the german capitol of berlin
"[""2015""]",how many episodes in season 7 of the vampire diaries
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",who has won the most elimination chamber matches
"[""Thurl Ravenscroft""]",famous literary works and their authors in europe
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who was in the crows nest when the titanic struck the iceberg
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",where did smokey the bear live after the fire
"[""produces a lubricating mucus""]",who played luke skywalker in a new hope
"[""Welton Academy""]",who plays the wife in how i met your mother
"[""State governments""]",which nation is know as land of morning calm
"[""John O'Banion""]",where is the original statue of david in italy
"[""a maroon Bristol 405""]",episode of new girl where they play true american
"[""Calcium ions""]",movie with will smith and tommy lee jones
"[""1982""]",reasons for implementing a land reform programme in south africa
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who was the blind norse god of who shot balder
"[""1998""]",who has the highest free throw percentage in the nba
"[""Spanish""]",who sang the original greatest love of all
"[""China""]",where was the movie the ugly truth filmed
"[""PewDiePie""]",when was hipaa introduced into legislation and passed
"[""March 25, 2011""]",how many babies can you have in china
"[""Eagles""]",who united all the sikh and founded a kingdom in the punjab
"[""12""]",when is jane the virgin season 4 over
"[""Parafollicular cells""]",who has the most touchdown passes in college football
"[""Josh Groban""]",which cm of delhi once served as the youngest minister of haryana govt
"[""Carole King""]",what is the movie the imitation game about
"[""December 2003""]",how many episodes of beneath the surface are there
"[""Thurl Ravenscroft""]",who wrote the theme song to barney miller
"[""1967""]",who directed sign of the times music video
"[""originally from the Greek""]",where was beauty and the beast tv show filmed
"[""March 25, 2011""]",real name of kabeer of ishq subhan allah
"[""1974""]",when does the last episode of power come on
"[""In 1995""]",who commanded the texas army and also was president of the texas republic
"[""2012""]",who led the great sioux uprising in 1862
"[""Thurl Ravenscroft""]",who is the first girl to leave love island
"[""18""]",who played the pinhead in american horror story
"[""Monasteries"",""wealthy individuals"",""rulers""]",what is the name of the castle in prague
"[""South Side, Chicago""]",who has written the most books in the world
"[""St. Louis Cardinals"",""San Francisco Giants""]",who is the voice of the gecko on the geico commercials
"[""71%""]",when did kevin garnett win defensive player of the year
"[""Citytv""]",the atmospheric gas that is mainly responsible for greenhouse effect
"[""12""]",when did the harry potter books come out
"[""January–July 1975""]",why do the swiss put bells on their cows
"[""Ireland""]",where is the cannes film festival being held this year
"[""Jimmy Cliff""]",who wrote this woman's work by maxwell
"[""Anil Kumar Jha""]",who did the charlotte hornets trade kobe bryant for
"[""42""]",what is n and c terminus in protein
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",in which country is the city of bombay
"[""Queen's Park""]",who is fighting in the next ufc event
"[""a compulsory governmental insurance system""]",what type of wire is used in generators
"[""1981""]",when did the battle of the bulge start
"[""1984""]",where does the money for nhs come from
"[""Welton Academy""]",when does the new season of travelers come out
"[""2018""]",what is the most important meal in italy
"[""Atlanta–Fulton County Stadium""]",what is the bat's name in the great mouse detective
"[""redox reactions""]",where is dna stored in the cell as chromatin
"[""1988""]",who was the first super villain spiderman ever encountered
"[""a maroon Bristol 405""]",when is jane the virgin season 4 over
"[""West Bengal""]",below the soil surface what is the top of the zone of saturation called
"[""1962""]",when did women get the vote in usa
"[""Clemson\n1""]",what were the two main causes of the dust bowl
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",name of first episode of this is us
"[""Parafollicular cells""]",who do you play as in farcry 5
"[""1900""]",what country's flag has a moon and star
"[""centroid""]",who played carol's boyfriend sandy on growing pains
"[""Monasteries"",""wealthy individuals"",""rulers""]",who was the little boy in the movie the shining
"[""San Antonio""]",which city is famous for its large cinco de mayo celebration
"[""Clayton Moore""]",where is the ossicles located in the ear
"[""May 5, 1992""]",who wrote the song when will i see you again
"[""March 9, 2018""]",who plays jacob black's father in twilight
"[""Prince Phillip""]",which nation india never beat in t20 international
"[""Anderson Silva""]",when does season 15 of top chef start
"[""March 15, 2013""]",who fought the confederates in the american civil war
"[""Tuticorin (Thoothukudi)""]",who won the oscar for the movie the help
"[""2018""]",who played the doctor on star trek voyager
"[""Calcium ions""]",when did ipad pro 2nd generation come out
"[""Meredith Willson""]",who were the shudras was dedicated to whom
"[""March 15, 2013""]",who won the men's singles at the 2017 french open
"[""Marvin Gaye""]",which barbarian groups entered the western roman empire through germany
"[""1962""]",when does kanye and kid cudis album come out
"[""10""]",when was the department of the interior created
"[""12""]",who plays roo stewart mum in home and away
"[""Citytv""]",where was stephen king's it 2017 filmed
"[""Guaranteed Rate Field""]",who plays abby brother on girlfriends guide to divorce
"[""7""]",who played jimmy in high school musical 3
"[""Ireland""]",who sang don't fall in love with a dreamer
"[""March 9, 2018""]",who organized known elements by placing them into groups of three called triads
"[""PewDiePie""]",who played barney fife on the andy griffith show
"[""Jesse Donald Knotts""]",when is the james corden show with bts airing
"[""Alex Rodriguez""]",who says cry havoc and let slip the dogs of war
"[""ground state""]",who played angelina the waitress on everybody loves raymond
"[""13""]",who wins in the movie friday night lights
"[""Pom Klementieff""]",which state in nigeria has the most beautiful girl
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who wrote the song where have all the flowers gone
"[""video editing""]",who is the lender of last resort in the us
"[""Jason Michael Lee""]",who plays the thief in the last jedi
"[""Josh Groban""]",when did florida become a part of the united states
"[""Saddam Hussein""]",when did the mayflower first come to america
"[""2012""]",who was the first president of indian science congress meeting held in kolkata in 1914
"[""1967""]",who has the power to remove a senator from the senate
"[""the Ivrea Codex"",""the Apt Codex""]",who are the actors that have played james bond
"[""Ireland""]",during which phase of sdlc are the test cases developed
"[""122""]",how old do you have to be to buy tobacco in the us
"[""Lacey Turner""]",who played the beatles in the dewey cox movie
"[""May 5, 1992""]",everybody wants to rule the world what is the song about
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",when did 3 point shot start in ncaa
"[""rose window""]",who was the longest living president of the united states
"[""1974""]",where is the sydney opera house located in australia
"[""unknown""]",who sings i don't wanna fall in love
"[""August 17, 2018""]",what does a bird have that no other animal has
"[""a compulsory governmental insurance system""]",what nations were the central powers in ww1
"[""2015""]",who is ted talking about in how i met your mother
"[""122""]",who sang when you say nothing at all in notting hill
"[""Jose Garces""]",when did the movie 8 seconds come out
"[""March 15, 2013""]",who plays amy grant in the movie i can only imagine
"[""December 15, 2017""]",when does the last episode of power come on
"[""oxidative phosphorylation""]",who plays claire in the time traveler's wife
"[""Spanish""]",what kind of shark is chum from finding nemo
"[""March 9, 2018""]",when was the last time the philadelphia 76ers went to the playoffs
"[""3 to 8 days""]",who plays faramir in lord of the rings
"[""1982""]",where does the name mourning dove come from
"[""Meredith Willson""]",who had the idea of the eiffel tower
"[""1920 to 1933""]",who invented the structure of the classic pas de deux
"[""1982""]",who does jason sudeikis play on the cleveland show
"[""Thurl Ravenscroft""]",what is the accent over the i in spanish called
"[""Lacey Turner""]",where are the iron ore deposits of pakistan located
"[""Eli Marienthal""]",where does a cell obtain the energy for active transport
"[""1960""]",where is the brisket on a cow located
"[""Saleisha Stowers""]",where are the olfactory receptor neurons are located
"[""Billie Jean King""]",where does the wabash river start in indiana
"[""1943""]",who starred in the movie same time next year
"[""Greek""]",how many blocks did it take to build the great pyramid of khufu
"[""2018""]",who played manny in diary of a wimpy kid
"[""2018""]",who fell in love with his own reflection
"[""3 to 8 days""]",indian chief justice of international court of justice
"[""Marley""]",when was swimming first introduced to the commonwealth games
"[""North Korea""]",when did south korea have the summer olympics
"[""after a minor infringement""]",the truth about the harry quebert affair tv show release date
"[""copper""]",when did great wolf lodge open in garden grove
"[""A mood swing""]",who played the dad in the original parent trap
"[""122""]",who plays brooke soso on orange is the new black
"[""University of South Carolina""]",where is most of earths fresh water located
"[""Spanish""]",where is amazon rainforest located in south america
"[""1962""]",where was dark side of the moon recorded
"[""Niagara River""]",who sang had the time of my life
"[""2009""]",who sings l.o.v.e in the movie the parent trap
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when did the clangers first appear on tv
"[""1982""]",when does got season 7 ep 5 air
"[""originally from the Greek""]",which channel is world cup 2018 on in india
"[""Islamic prophet Muhammad""]",who sang the song how much is that doggie in the window
"[""1984""]",when did jules verne wrote his first book
"[""1980""]",who owns the russian consulate in san francisco
"[""those that have died""]",who want to be a millionaire winners uk
"[""produces a lubricating mucus""]",a language that used symbols to represent objects
"[""Islamic prophet Muhammad""]",where was indo pak simla agreement 1972 concluded
"[""18""]",when did the battle of san jacinto start and end
"[""Marley""]",when is data protection day celebrated each year
"[""New Netherland""]",who plays patrick in 10 things i hate about you
"[""Saddam Hussein""]",where is the patella located in the human body
"[""71%""]",who won the darts in shanghai last night
"[""in 2018""]",what made the british relinquish forts in the northwest and improve trade relations
"[""redox reactions""]",who was involved in the croatian war of independence
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who won dancing with the stars season 15
"[""1939""]",who is the top selling female artist of all time
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",the bidding process for the 2010 world cup involved three african countries they were south africa
"[""1974""]",who won the women's softball world cup
"[""Guaranteed Rate Field""]",where is season 8 of ex on the beach
"[""Meredith Willson""]",what is the combined sales tax rate in quebec
"[""Jose Garces""]",how much did it cost to land a man on the moon
"[""18""]",nearest airport to san jose del cabo mexico
"[""1998""]",in which plate of the earth is india located
"[""35""]",why baguio is the summer capital of the philippines
"[""December 15, 2017""]",where did they film a good day to die hard
"[""Josh Groban""]",who did janet jackson play on good times
"[""horses""]",when were the subways built in new york city
"[""Ryan ten Doeschate""]",when did my big fat greek wedding 2 come out
"[""China""]",ascomycetes reproduce sexually by forming a sac known as
"[""Christopher Robert Evans""]",who is the new york yankees hitting coach
"[""December 2003""]",who wrote help me make it through the night lyrics
"[""Spectre""]",who plays lance salisbury in home and away
"[""35""]",when does the mlb all star voting start
"[""PewDiePie""]",who plays diane lockhart in the good wife
"[""Clemson\n1""]",who did kyle play in little house on the prairie
"[""University of South Carolina""]",who played the pinhead in american horror story
"[""West Indies""]",how many judges sit on the us court of appeals
"[""March 25, 2011""]",who sings you find out who your friends are with tracy lawrence
"[""December 15, 2017""]",which two countries were the leading powers during the cold war
"[""Jesse Donald Knotts""]",a large collection of servers is called a(n)
"[""eastward, in prograde motion""]",how many episodes are in seven seconds season 1
"[""12""]",what kind of gas does a dodge caliber take
"[""the Cambrian explosion""]",who won the men's singles at the australian open
"[""1980""]",who played darien in the last boy scout
"[""China""]",which european country was in control of the original 13 colonies
"[""December 2003""]",where was the last man on earth filmed
"[""1792""]",who got eliminated in rising star on 25 march 2018
"[""1,089 sq ft""]",who did the astros play in the world series
"[""March 9, 2018""]",who were the four aces in the military's most wanted deck of cards
"[""13""]",when did france start driving on the right
"[""12""]",the appendicular skeleton is made up of bones of the
"[""a maroon Bristol 405""]",when did government intervention in agricultural markets in the us begin
"[""1980""]",the biggest nuclear power plant in the world
"[""May 5, 1992""]",states elects the maximum number of members to the rajya sabha
"[""1980""]",when did england last lose three in a row
"[""1980""]",who are the members of the steve miller band
"[""12""]",when is episode 4 of guardians of the galaxy coming out
"[""Parafollicular cells""]",what religious groups lived in the new england colonies
"[""42""]",when was the latest macbook pro retina released
"[""2009""]",who came in second in the 2018 kentucky derby
"[""1920 to 1933""]",how many books are there for my hero academia
"[""King Edward Peak""]",when did the first wolfenstein game come out
"[""2018""]",when was the last time jacksonville jaguars were in the playoffs
"[""Charles Young""]",when did the song drift away come out
"[""In 1995""]",who played ivan ooze in the power rangers movie
"[""12""]",what did cher win an academy award for
"[""Anil Kumar Jha""]",how many chinese letters are in the alphabet
"[""Dylan""]",explorer who found a sea route to india around africa
"[""1900""]",the centers of most cities became business areas after the invention of what
"[""John O'Banion""]",upon what group of plants do many insects depend
"[""Eli Marienthal""]",who sang go rest high on that mountain
"[""3 to 8 days""]",who won the toss in 2003 world cup final
"[""Tuticorin (Thoothukudi)""]",when did lucille ball start i love lucy
"[""December 15, 2017""]",how many times has duke won the final four
"[""1962""]",the most remarkable cultural characteristic of elizabethan england was the rise of which art form
"[""2018""]",who won season 7 of the ultimate fighter
"[""Molt Taylor""]",when does pirates of the caribbean 5 come out
"[""San Antonio""]",when is terrace house part 3 coming out on netflix
"[""A concerto""]",when is episode 4 of guardians of the galaxy coming out
"[""2010""]",when was the right to information act implemented
"[""originally from the Greek""]",when was ama granted a university status by the commission of higher education
"[""1974""]",where does the last name stevenson come from
"[""China""]",when did the bmw 1 series change shape
"[""New Netherland""]",in geography the term mediterranean climate refers to
"[""volume of the container decreases""]",who stars in a view to a kill
"[""Amanda Shiflett""]",how many times was the holy spirit used in the new testament
"[""ground state""]",when did the wonderful world of disney air
"[""Clayton Moore""]",longest win streak in major league baseball history
"[""1962""]",who wrote you don't know what it's like to love somebody
"[""Ryan ten Doeschate""]",what was the first year for the iroc camaro
"[""Dylan""]",which cm of delhi once served as the youngest minister of haryana govt
"[""1984""]",how much does it cost to renew a cuban passport
