method,number,orbital_period,mass,distance,year
Radial Velocity,1.0,2550.9819684,5.5012,25.8,2010
Radial Velocity,1.0,59.0345425,,56.07,2011
Transit,3.0,81.7222411,0.0383,277.99,2013
Radial Velocity,5.0,346.2875043,,,2006
Radial Velocity,1.0,1518.2031147,,34.07,2008
Radial Velocity,1.0,78.9584035,,,2008
Transit,1.0,12.4845228,0.3136,237.86,2007
Microlensing,1.0,2496.6900261,0.1448,,2010
Radial Velocity,1.0,1.5268764,0.401,440.62,2009
Radial Velocity,1.0,368.036563,6.3367,,2004
Radial Velocity,2.0,108.1513662,,42.7,2014
Radial Velocity,4.0,746.8994834,6.4164,51.65,2013
Radial Velocity,2.0,436.3024379,,54.41,2006
Radial Velocity,2.0,2992.2117499,,98.67,2006
Transit,1.0,0.4441061,,2228.91,2014
Transit,2.0,0.09070629,,186.84,2012
Transit,1.0,1.050852,,,2010
Transit,2.0,1.4371983,2.9332,366.09,2005
Transit,2.0,14.6651486,,,2007
Radial Velocity,3.0,4027.6521871,,69.68,2005
Radial Velocity,1.0,9.4167922,,30.63,2011
Radial Velocity,1.0,238.248205,,302.99,2004
Radial Velocity,2.0,87.5594268,,196.12,2004
Transit,2.0,11.8676846,,352.36,2006
Radial Velocity,1.0,699.8088428,4.7241,64.15,2007
Imaging,1.0,,0.0446,39.56,2011
Radial Velocity,2.0,1038.6160152,,51.4,2007
Radial Velocity,1.0,91.1287598,0.2915,,2007
Radial Velocity,2.0,1526.9550834,1.1959,,2007
Transit,1.0,4.4217113,0.0603,408.67,2005
Radial Velocity,3.0,384.2321439,2.635,52.59,2012
Microlensing,1.0,4437.3438933,0.1459,,2007
Transit,2.0,6.6032731,,758.58,2002
Transit,1.0,2.269182,1.1832,832.24,2014
Radial Velocity,1.0,0.432207,0.0788,,2008
Radial Velocity,1.0,608.492907,,10.61,2014
Radial Velocity,1.0,25.9753952,1.2138,,2007
Transit,1.0,13.4167218,,,2009
Radial Velocity,1.0,1556.7647651,,443.63,2012
Radial Velocity,2.0,1791.7135103,0.0102,4.62,2006
Orbital Brightness Modulation,1.0351444282134348,,,29.19,2007
Transit,1.0,7.6771396,,140.52,2009
Radial Velocity,1.0,153.7006529,0.0812,22.28,2011
Transit,1.0,10.003203,,,2010
Transit,3.0,4.2615119,,513.66,2008
Transit,1.0,16.2724541,,184.93,2009
Radial Velocity,2.0,44.0067361,,,2008
Radial Velocity,1.0,1.937513,,42.92,2010
Transit,3.0,8.9335481,,198.34,2014
Radial Velocity,1.0,8848.8644607,,63.53,2011
Transit,1.0,13.5540663,0.1603,2333.84,2007
Imaging,1.0,20765.3447666,,45.56,2007
Microlensing,1.0,,1.9912,,2006
Radial Velocity,1.0,490.9739194,11.6115,,2011
Transit,2.0,5.5217768,3.564,221.61,2009
Radial Velocity,1.0,1802.2722273,,61.57,2014
Transit,1.0,0.434612,,,2007
Transit,1.0,12.0102501,0.6196,6945.38,2007
Transit,1.0,5.9432423,,60.27,2010
Radial Velocity,1.0,13.7491905,,,1999
Radial Velocity,2.0,1430.6858697,4.5461,10.04,2003
Radial Velocity,1.0,996.4240808,0.1631,,2008
Transit,2.0,0.5013927,0.0525,1338.03,2006
Radial Velocity,1.0,525.3764929,1.6426,54.39,2011
Transit,1.0,42.2441113,,294.64,2008
Transit,1.0,43.4392369,,218.29,2009
Transit,1.0,19.5149156,,100.08,2010
Transit,2.0,,0.1004,767.28,2009
Radial Velocity,1.0,7.8876444,0.0036,8.34,2008
Transit,2.0,2.8735528,,805.47,2011
Radial Velocity,1.0,128.7846619,,43.24,2014
Transit,1.0,3.1208991,0.5632,743.44,2008
Radial Velocity,2.0,1331.9528,,,2011
Radial Velocity,1.0,3533.6839203,0.6773,21.46,2014
Radial Velocity,1.0,275.3319989,0.0036,25.98,2011
Transit,1.0,,1.6729,257.28,2010
Radial Velocity,1.0,250.2101964,,53.4,2010
Radial Velocity,1.0,1522.0256037,2.4938,12.38,2009
Radial Velocity,1.0,0.4213525,0.1109,43.89,2010
Radial Velocity,3.0,161.0871543,11.6663,95.82,2007
Radial Velocity,3.0,7.5549231,,15.64,2014
Radial Velocity,2.0,1564.8987829,,38.21,2009
Imaging,1.0,23808.5475951,0.0539,27.78,2009
Radial Velocity,1.0,2094.5364567,,59.05,2006
Transit,4.0,1.6843449,0.7313,178.4,2004
Transit,1.0,4.5852725,0.0803,,2003
Transit,2.0,10.6565434,,,2010
Radial Velocity,1.0,10.5557371,4.631,28.74,2010
Radial Velocity,2.0,9.46645,0.0712,9.31,2014
Radial Velocity,3.0,195.0720909,,,2011
Transit,1.0,6.4879776,,,2012
Radial Velocity,1.0,18.0399548,9.4887,98.9,2008
Radial Velocity,1.0,4001.7615369,0.7949,,2014
Transit,1.0,3.0145113,0.2937,138.23,2008
Radial Velocity,1.0,1796.1353737,9.1283,23.85,2011
Transit,1.0,24.7782919,,514.95,2011
Radial Velocity,1.0,166.423797,,76.36,2006
Radial Velocity,1.0,1092.2212105,,119.25,2005
Transit,2.0,11.8825173,,414.09,2011
Radial Velocity,1.0,22.7389865,0.0524,76.47,2007
Transit,4.0,19.6231935,0.3924,1171.08,2010
Radial Velocity,1.0,2913.8006489,,30.62,2011
Transit,2.0,26.7619661,,384.54,2012
Transit,3.0,117.8926567,,80.53,2012
Transit,1.0,18.8485996,4.6423,,2002
Transit,1.0,1.529196,,498.67,2014
Transit,1.0,1.5908192,,414.48,2014
Transit,1.0,6.4631303,,,2001
Radial Velocity,1.0,,,54.29,2014
Transit,7.0,24.900825,0.1291,1311.58,2007
Radial Velocity,3.0,442.4277317,4.3392,57.42,2009
Radial Velocity,1.0,767.4781536,1.4204,90.12,2011
Radial Velocity,7.0,1893.8158408,1.4826,44.74,2005
Transit,2.0,8.9867362,7.8177,439.72,2014
Radial Velocity,1.0,,,40.84,2001
Radial Velocity,1.0,61.8046881,0.5468,47.17,2012
Transit,1.0,5.405653,0.3102,325.42,2007
Radial Velocity,1.0,1087.5371758,,,2010
Transit,1.0,1.8020071,,927.97,2007
Transit,2.0,11.45044,,,2003
Radial Velocity,1.0,0.09070629,3.7872,12.3,2012
Radial Velocity,2.0,38.1889998,,19.26,2006
Radial Velocity,2.0,2022.4873105,20.0637,37.82,2014
Transit,1.0,22.4495668,,348.55,1998
Transit,4.0,3.7727052,,161.31,2007
Transit,3.0,13.8389046,1.9659,46.5,2007
Radial Velocity,1.0,0.09070629,,17.03,2012
Radial Velocity,2.0,81.0921362,,11.69,2008
Transit Timing Variations,1.1827459995688898,544.2068497,4.5222,77.41,2008
Imaging,1.0,730000.0,,92.44,2006
Transit,1.0,7.7055654,,618.75,2010
Radial Velocity,1.0,88.9360112,,22.8,2009
Radial Velocity,1.0,423.9492991,,60.5,2012
Radial Velocity,1.0,684.146278,0.0056,,2007
Transit,5.0,18.9128484,,211.93,2006
Radial Velocity,1.0,25.9577925,0.078,28.0,2010
Radial Velocity,1.0,95.7689168,4.1745,35.89,2005
Transit,2.0,,,420.89,2011
Transit,2.0,111.1762368,0.0766,189.09,2012
Transit,1.0,3.3013085,4.9822,307.42,2007
Radial Velocity,1.0,,,87.44,2013
Transit,1.0,0.7242426,,,2009
Imaging,1.0,9614.6047225,,66.67,2014
Transit,1.0,1.1229483,0.1719,,2012
Radial Velocity,1.0,50.256877,,,2014
Radial Velocity,1.0,18.4184503,,69.33,2014
Radial Velocity,1.0,3.0138482,3.7922,,2013
Radial Velocity,3.0,2626.065168,,26.5,2005
Transit,1.0,10.9555221,,206.05,2014
Transit,1.0,6.6798,0.4303,189.41,2012
Radial Velocity,1.0,63.1778967,0.0036,19.26,2010
Radial Velocity,2.0,5.5090794,0.894,31.64,2012
Astrometry,1.0230462274297862,968.8961722,0.6036,210.42,2008
Radial Velocity,1.0,23.7380447,,13.55,2006
Radial Velocity,2.0,564.7165529,0.071,58.84,2014
Transit,1.0,11.2717543,,356.29,2006
Radial Velocity,1.0,0.1411481,0.1411,60.46,2007
Radial Velocity,1.0,98.825113,1.5391,34.81,2013
Radial Velocity,1.0,284.2673083,,30.61,2012
Imaging,1.0,5578.9979867,,126.08,2014
Radial Velocity,1.0,1745.6809876,0.4897,43.98,2005
Radial Velocity,3.0,3517.5641451,,48.6,1999
Radial Velocity,1.0,63.1193448,2.2933,,2012
Transit,5.0,8.0355272,1.7706,112.25,2009
Imaging,1.0,348887.995362,,91.38,2008
Transit,1.0,1.61792,0.9685,563.28,2010
Radial Velocity,4.0,255.0371298,,115.71,2011
Microlensing,1.0,4498.8216868,,4974.85,2009
Radial Velocity,2.0,29.0808665,,38.39,2010
Radial Velocity,1.0,1305.2825266,1.0211,50.07,2001
Radial Velocity,1.0,777.9586819,5.1632,12.29,2012
Radial Velocity,1.0,4.0662934,,108.43,2010
Radial Velocity,2.0,3.9643932,0.3996,7.71,2012
Transit,4.0,27.3078949,,334.56,2009
Transit,1.0,34.5930931,,,2009
Transit,2.0,0.8263452,,209.3,2005
Transit,1.0,2.4711903,2.396,240.3,2012
Transit,1.0,2.291655,,95.02,2014
Radial Velocity,2.0,86.3811991,,34.02,2007
Radial Velocity,1.0,2434.0556989,0.3453,,2014
Imaging,1.0,33282.629888,,46.14,2010
Imaging,1.0,60993.7701286,16.4263,,2014
Transit,2.0,34.3106773,16.8049,205.84,2001
Radial Velocity,1.0,1185.5336769,,72.13,2006
Radial Velocity,1.0,18.8308807,0.0112,55.71,2004
Radial Velocity,1.0,96.8143695,5.1158,,2008
Transit,1.0,5.3904517,,153.43,2005
Radial Velocity,1.0,0.3401773,0.6293,49.6,2014
Transit,2.0,11.25192,0.0087,,2011
Radial Velocity,1.0,0.2881788,,64.08,2014
Radial Velocity,1.0,2.2812572,,196.97,2004
Radial Velocity,1.0,581.4389627,,24.34,2008
Radial Velocity,2.0,349.2307951,,,2006
Transit,2.0,5.4740176,1.4855,,2012
Transit,2.0,28.4939394,,576.77,2004
Transit,1.0,1.4467521,1.4016,660.79,2009
Transit,3.0,1.2185085,1.979,188.5,2014
Radial Velocity,1.0,154.9138561,0.0888,40.45,2009
Radial Velocity,1.0,510.1661973,,34.97,2012
Transit,2.0,7.6018055,,118.13,2005
Radial Velocity,2.0,11.1264021,1.7801,18.48,2010
Radial Velocity,2.0,43.2392421,,65.37,2012
Radial Velocity,1.0,3386.9656815,,65.14,2010
Radial Velocity,1.0,6.0395435,1.9633,67.88,2009
Radial Velocity,1.0,1011.4835594,0.8491,,2006
Radial Velocity,1.0,368.304342,5.4855,34.94,2012
Radial Velocity,1.0,1476.6139153,,26.21,2006
Transit,2.0,8.4993487,,334.56,2014
Radial Velocity,1.0,0.09070629,0.0877,35.14,2011
Transit,2.0,13.0144194,1.8679,213.59,2011
Radial Velocity,1.0,245.8273961,2.9226,15.54,2014
Eclipse Timing Variations,2.0,4017.5086319,,245.13,2010
Radial Velocity,2.0,1144.5145785,0.6901,,2011
Transit,3.0,1.8154749,,48.1,2014
Radial Velocity,5.0,2212.7166141,0.2525,,2014
Transit,1.0,6.1907759,,367.7,2006
Transit,1.0,1.1296337,9.4536,203.31,2007
Transit,1.0,26.6665117,0.9263,158.16,2008
Radial Velocity,1.0,,,86.4,2009
Imaging,1.0,88892.7779302,,103.86,2007
Radial Velocity,2.0,0.09070629,2.2738,73.22,2010
Transit,2.0,6.6347262,3.3034,432.47,2003
Transit,1.0,8.5244072,,152.08,2007
Transit,1.0,3.9025828,,1463.96,2011
Radial Velocity,1.0,47.9304927,0.1446,160.34,2009
Transit,2.0,3.8962022,2.5583,265.82,2006
Radial Velocity,2.0,9.6162388,3.0159,68.53,2012
Radial Velocity,1.0,148.0001722,0.3564,38.82,2013
Transit,2.0,4.1190915,8.7815,,2011
Radial Velocity,2.0,83.2538152,9.408,34.5,2010
Radial Velocity,1.0,,,35.92,2011
Transit,1.0,15.8917951,,286.1,2005
Transit,1.0,5.5498989,4.7651,,2004
Radial Velocity,1.0,,,98.35,2011
Radial Velocity,1.0,46.4107925,0.9116,39.94,2011
Transit,2.0,18.051735,,681.74,2009
Transit,2.0,38.8127891,6.3313,,2001
Radial Velocity,1.0,16.7155607,,,2008
Transit,2.0,42.0710428,,92.65,2014
Radial Velocity,2.0,545.1085026,,,2010
Transit,1.0,27.3782056,0.0036,1227.7,1995
Transit,1.0,14.7026897,0.087,,2014
Transit,1.0,,,622.43,2011
Transit,1.0,,,548.13,2013
Transit,1.0,0.6737761,0.0366,348.94,2000
Microlensing,1.0,1839.5623132,3.587,,2011
Radial Velocity,1.0,612.9866136,,72.48,2006
Transit,1.0,22.6421165,,,2014
Radial Velocity,2.0,51.6191593,,23.57,2011
Radial Velocity,1.0,2614.8718081,,7.12,2004
Transit,2.0,10.3401243,,195.97,2012
Radial Velocity,2.0,151.3876202,,,2006
Transit Timing Variations,1.0271716456998115,406.6610583,13.1393,23.34,2014
Transit,1.0,57.3239223,1.4409,5018.17,2004
Transit,2.0,3.3235644,0.2146,55.75,2010
Radial Velocity,1.0,1463.2034477,0.3518,76.23,2011
Transit,1.0,1.6398546,3.5973,577.4,2009
Radial Velocity,5.0,259.8929094,3.0986,47.85,2008
Radial Velocity,1.0,1333.6478614,0.1123,,2010
Radial Velocity,1.0,120.7429027,,24.18,2010
Pulsation Timing Variations,1.9110450420127088,173.1268877,,,2012
Transit,1.0,10.1044046,,69.71,2014
Radial Velocity,1.0,1281.1819501,,21.89,2012
Transit,1.0,4.2126094,0.0537,206.42,2014
Transit,1.0,1.1509732,0.0811,220.19,2001
Microlensing,1.0,1953.825362,,,2012
Transit,1.0,8.2012812,1.1369,163.42,2008
Radial Velocity,1.0,187.1879228,,39.74,2003
Radial Velocity,2.0,0.09070629,1.6295,,2004
Transit,2.0,12.8344925,,2082.52,2008
Radial Velocity,2.0,169.3089006,,58.85,2011
Transit,3.0,2.8390736,0.1977,181.68,2011
Radial Velocity,1.0,431.4522161,0.051,16.63,2010
Radial Velocity,3.0,324.825038,,36.84,2007
Imaging,1.0,23873.096689,,34.07,2014
Transit,2.0,3.6850645,,1766.19,2006
Radial Velocity,2.0,3028.5590031,,,2009
Transit,3.0,7.0815582,,422.36,2005
Radial Velocity,1.0,78.9436824,2.2973,54.98,2009
Radial Velocity,6.0,220.010592,,72.67,2008
Radial Velocity,2.0,133.3390658,,32.77,2010
Radial Velocity,2.0,122.6611226,,8.29,2000
Transit,2.0,59.5074007,12.2696,163.38,2001
Transit,1.0,14.54281,,154.31,2008
Radial Velocity,1.0,2.4391781,5.0505,51.96,2012
Transit,1.0,6.7907123,,252.6,2012
Transit,2.0,9.7072115,,,2011
Radial Velocity,1.0,2558.0492765,,,2014
Transit,1.0,2.0298233,3.4424,162.4,2013
Radial Velocity,1.0,12.8645676,2.4333,22.35,2013
Radial Velocity,2.0,3347.2824214,1.5677,52.09,2013
Transit,1.0,4.6751568,,,2014
Radial Velocity,3.0,493.0456036,9.6166,7.76,2012
Imaging,1.0,6176.2230942,,99.78,2008
Radial Velocity,1.0,2062.5945389,,,2008
Radial Velocity,1.0,2796.3740802,1.6038,7.49,2014
Transit,1.0,2.563928,3.5667,293.51,2011
Radial Velocity,1.0,151.1786936,1.0482,17.23,2013
Radial Velocity,3.0,2.2623058,3.2893,46.3,2006
Radial Velocity,1.0,3310.7950164,,447.53,2000
Microlensing,1.0,3601.7157076,,5945.03,2008
Radial Velocity,1.0,491.7735755,,,2000
Transit,2.0,8.4169317,,331.91,2009
Transit,1.0,1.1206348,,2795.35,2011
Radial Velocity,1.0,95.1874381,,76.52,2014
Radial Velocity,1.0,2307.0755713,0.495,223.25,2000
Radial Velocity,1.0,895.986472,,,2008
Radial Velocity,1.0,18.9211998,1.0587,,2007
Radial Velocity,1.0,1025.197431,,53.71,2007
Radial Velocity,1.0,3619.166283,,34.38,2012
Radial Velocity,1.0,79.7368765,4.5434,,2007
Radial Velocity,1.0,16.3548625,0.61,12.51,2004
Transit,1.0,5.2611591,0.0111,730.26,2006
Radial Velocity,2.0,0.1016623,0.1852,37.47,2005
Radial Velocity,1.0,204.959372,0.0115,71.88,2006
Radial Velocity,1.0,1866.9927545,13.3287,24.65,2006
Radial Velocity,1.0,0.0974661,13.9567,23.49,2014
Radial Velocity,1.0,0.2415944,0.0745,56.29,2004
Radial Velocity,1.0,641.8988897,0.6243,61.23,2014
Microlensing,1.0,2279.3731973,1.691,5221.2,2014
Transit,1.0,3.4224694,,135.88,2010
Radial Velocity,2.0,,1.7769,46.28,2008
Imaging,1.0,12900.6938967,,50.98,2014
Transit,1.0,,2.2272,441.11,2012
Radial Velocity,1.0,266.8923443,,31.67,2007
Imaging,1.0,33494.86313,2.5294,135.8,2009
Radial Velocity,2.0,2.017479,,82.44,2007
Microlensing,1.0,4686.4516511,13.0767,,2013
Radial Velocity,1.0,729.4892268,,63.34,2010
Radial Velocity,2.0,474.6096335,,,2014
Radial Velocity,1.0,490.6906977,0.0036,75.26,2004
Radial Velocity,1.0,276.0165752,,91.34,1998
Radial Velocity,1.0,238.778535,0.0959,106.46,2011
Radial Velocity,1.0,517.0214134,2.3424,12.25,2012
Imaging,1.0,279744.2189616,0.0724,125.76,2010
Radial Velocity,1.0,877.975308,3.4271,26.9,2013
Radial Velocity,1.0,33.2291259,,62.72,2010
Radial Velocity,1.0,1569.2809523,9.485,21.12,2007
Radial Velocity,2.0,,,74.2,2008
Radial Velocity,1.0,2695.1019941,,29.4,2009
Transit,5.0,29.085522,,394.84,2011
Transit,1.0,4.8674969,7.0519,150.95,2014
Transit,3.0,3.2835239,0.7913,,2009
Transit,5.0,2.6931772,,847.23,2005
Radial Velocity,1.0,972.605926,0.0036,100.65,2005
Radial Velocity,2.0,56.0131943,4.0318,32.16,2014
Transit,1.0,2.6048329,1.6773,447.34,2008
Radial Velocity,1.0,1233.9143319,,,2006
Radial Velocity,2.0,260.2180077,0.0553,240.99,2010
Radial Velocity,1.0,38.1697509,,54.96,2007
Imaging,1.0,16005.7747908,,,2011
Transit,4.0,27.1072179,5.9581,857.51,2009
Radial Velocity,2.0,0.1507361,,,2011
Radial Velocity,2.0,328.0633551,0.0146,,2004
Radial Velocity,1.0,128.9035042,0.0373,52.44,2010
Transit,3.0,16.4863514,,82.97,2006
Radial Velocity,2.0,1658.8433724,0.2085,14.91,2011
Radial Velocity,2.0,178.1857412,19.0056,34.19,2011
Radial Velocity,1.0,359.8478571,0.026,27.52,2013
Eclipse Timing Variations,2.0,7705.3994287,,51.69,2011
Transit,1.0,10.4244796,1.2743,160.14,2011
Radial Velocity,1.0,5324.4214484,,35.62,2010
Radial Velocity,1.0,129.0493612,0.0037,,2011
Radial Velocity,1.0,225.249449,,36.22,2012
Radial Velocity,1.0,732.2953178,0.2097,47.7,2001
Transit,2.0,14.1479055,1.9758,,2002
Radial Velocity,1.0,80.7545125,0.3309,170.48,2011
Radial Velocity,1.0,801.9216235,8.0445,,2009
Radial Velocity,1.0,72.7133832,,42.0,2012
Radial Velocity,1.0,2.6004039,0.8755,88.28,2002
Transit,1.0,160.249781,0.7827,191.76,2001
Imaging,1.0,36556.8498766,0.6166,82.44,2012
Radial Velocity,1.0,5585.0178217,,,2007
Transit,1.0,17.6812379,,,2005
Radial Velocity,1.0,260.744671,,28.55,2007
Transit,1.0,13.7205562,0.08,,2004
Radial Velocity,2.0,36.8209342,3.3292,69.26,2004
Transit,1.0,1.2130042,0.0532,1063.44,2008
Radial Velocity,2.0,32.1143074,,11.4,2009
Microlensing,1.0,4562.9858771,0.0794,7298.85,2011
Radial Velocity,2.0,256.0463518,,,2005
Radial Velocity,1.0,7.5667642,7.8086,14.68,2007
Microlensing,1.0,2655.4739164,,5093.93,2014
Radial Velocity,6.0,238.2809248,,85.69,2014
Radial Velocity,2.0,130.8530751,0.0066,105.03,2014
Transit,2.0,27.6171459,,,2014
Transit,1.0,0.4039784,0.1981,448.18,2005
Transit,2.0,26.5511455,3.5177,337.53,2007
Radial Velocity,2.0,928.6783655,2.7915,,2005
Radial Velocity,2.0,,1.0049,,2011
Transit,1.0,,,534.73,2012
Radial Velocity,2.0,3930.2478478,0.8121,62.24,2010
Imaging,1.0,16252.5549345,,10.31,2009
Transit,1.0,1.6764491,1.2122,,2014
Transit,2.0,6.6747211,0.0359,163.84,2009
Radial Velocity,1.0,3.363351,,,2007
Radial Velocity,1.0,2338.1235388,,115.58,2003
Radial Velocity,1.0,9.2264157,0.394,55.64,2004
Transit,1.0,3.992443,,1940.56,2009
Radial Velocity,4.0,9479.6168121,0.0437,19.47,2011
Transit,1.0,3.2814464,1.6505,864.32,2010
Radial Velocity,1.0,0.9012134,,110.13,2008
Transit,1.0,0.9576392,1.0083,195.74,2002
Radial Velocity,1.0,5892.2699117,,90.92,2008
Radial Velocity,1.0,455.8537083,,17.97,2014
Radial Velocity,1.0,196.9494154,,45.17,2005
Transit,1.0,8.6902895,0.9794,,2014
Radial Velocity,1.0,8.3513769,0.4249,33.01,2002
Radial Velocity,1.0,498.2973193,,10.99,2010
Radial Velocity,1.0,1.6891737,,45.63,2005
Radial Velocity,1.0,250.6440596,1.0347,,2004
Radial Velocity,1.0,248.8435139,2.4979,146.2,2014
Radial Velocity,2.0,9.9265304,0.4331,17.05,2014
Radial Velocity,2.0,194.6723963,,77.9,2008
Radial Velocity,2.0,,4.9803,42.87,2011
Radial Velocity,1.0,11.195981,0.8237,27.83,2009
Transit,3.0,,,,2013
Transit,1.0,0.7299977,,1030.28,2007
Transit,1.0,,,,2012
Radial Velocity,2.0,886.2445785,9.6634,31.7,2012
Transit,2.0,4.9398009,,399.45,2013
