Rank,Major_code,Major,Total,Men,Women,Major_category,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
10.0,2650.0,CLINICAL PSYCHOLOGY,829.0,384.0,783.0,Engineering,0.153488278,50.0,12147.0,64431.0,194.0,6205.0,595.0,0.054989885,52073.0,43164.0,54409.0,6504.0,811.0,629.0
11.0,2830.0,NEUROSCIENCE,46095.0,4852.0,9874.0,Engineering,0.438134339,12.0,4884.0,2305.0,942.0,405.0,247.0,0.081169884,52682.0,50797.0,57586.0,943.0,3520.0,291.0
14.0,2697.0,INTERNATIONAL RELATIONS,67138.0,2027.0,257.0,Engineering,0.091384497,294.0,4686.0,5085.0,1306.0,3638.0,217.0,0.092903132,63666.0,41497.0,85048.0,311.0,2362.0,621.0
14.0,2408.0,STATISTICS AND DECISION SCIENCE,22959.0,2025.0,12917.0,Engineering,0.375949607,8.0,126588.0,11634.0,889.0,4024.0,64.0,0.046766369,77276.0,47427.0,92703.0,4238.0,1617.0,799.0
15.0,2568.0,AGRICULTURAL ECONOMICS,12266.0,7328.0,330.0,Engineering,0.248082346,5.0,15177.0,12342.0,1997.0,6093.0,256.0,0.112808026,56653.0,39897.0,62666.0,5493.0,6702.0,1004.0
19.0,2397.0,PHYSICAL AND HEALTH EDUCATION TEACHING,3301.0,1256.0,1335.0,Engineering,0.368694377,316.0,104228.0,42823.0,365.0,9103.0,552.0,0.049557927,50544.0,46377.0,55630.0,933.0,18241.0,2153.0
20.0,2913.0,JOURNALISM,13708.0,2653.0,6711.0,Engineering,0.326594972,1407.0,6709.0,20789.0,281.0,8854.0,747.0,0.145818584,67716.0,27652.0,100798.0,1423.0,5658.0,106.0
22.0,3180.0,ANTHROPOLOGY AND ARCHEOLOGY,14515.0,808.0,2059.0,Engineering,0.433668566,45.0,35977.0,36943.0,1248.0,15473.0,89.0,0.111983075,60435.0,56952.0,69379.0,7591.0,155.0,35.0
22.0,5033.0,PHYSICS,2405.0,1027.0,675.0,Physical Sciences,0.720406174,29.0,8051.0,59649.0,457.0,3260.0,53.0,0.032217185,37501.0,23303.0,48250.0,1083.0,7031.0,1199.0
23.0,6203.0,FORESTRY,109922.0,79008.0,26922.0,Business,0.744861856,4212.0,131689.0,54650.0,34013.0,6274.0,5795.0,0.066110493,43138.0,34380.0,55801.0,26773.0,100648.0,299.0
23.0,4879.0,GENERAL BUSINESS,167875.0,821.0,10595.0,Computers & Mathematics,0.451944509,257.0,16945.0,8875.0,351.0,3290.0,2076.0,0.095186613,51961.0,33939.0,70895.0,10825.0,7375.0,2125.0
24.0,5011.0,MINING AND MINERAL ENGINEERING,43598.0,1745.0,900.0,Physical Sciences,0.363478989,12.0,2951.0,1149.0,767.0,869.0,620.0,0.044195366,38030.0,30396.0,42433.0,229.0,694.0,150.0
24.0,6215.0,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,72279.0,27857.0,27786.0,Business,0.6060832,4212.0,33459.0,199897.0,3765.0,21619.0,5585.0,0.061008972,45652.0,25093.0,57346.0,2300.0,31105.0,3092.0
24.0,5012.0,ENVIRONMENTAL SCIENCE,11934.0,2028.0,7476.0,Physical Sciences,0.473038739,15.0,151643.0,251540.0,572.0,6356.0,49.0,0.070648254,42468.0,30800.0,58770.0,2186.0,2932.0,2298.0
25.0,3001.0,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,42229.0,1442.0,120.0,Engineering,0.164775868,13.0,22910.0,15156.0,1909.0,8543.0,262.0,0.056691558,48085.0,44425.0,100241.0,1447.0,21893.0,63.0
25.0,5016.0,SOCIAL PSYCHOLOGY,3215.0,1936.0,2263.0,Physical Sciences,0.531238158,37.0,61064.0,8756.0,566.0,849.0,514.0,0.06861311,36286.0,27080.0,41459.0,4991.0,897.0,138.0
25.0,2374.0,FINANCE,10238.0,869.0,95.0,Engineering,0.283301199,92.0,25777.0,15686.0,292.0,3268.0,362.0,0.020650603,47077.0,37674.0,50844.0,1312.0,3404.0,184.0
25.0,2129.0,GENERAL ENGINEERING,30594.0,3632.0,19.0,Engineering,0.164647881,9.0,28924.0,16875.0,2104.0,890.0,224.0,0.068284274,44659.0,24399.0,80702.0,6455.0,7420.0,740.0
26.0,2536.0,MISCELLANEOUS ENGINEERING,16250.0,2247.0,7836.0,Engineering,0.090349137,11.0,19540.0,58716.0,105.0,18098.0,33.0,0.06038198,57000.0,51508.0,71263.0,2016.0,310.0,223.0
27.0,6218.0,ASTRONOMY AND ASTROPHYSICS,11861.0,5110.0,11225.0,Business,0.367070947,381.0,37156.0,157763.0,7598.0,14558.0,4220.0,0.060738592,34603.0,26064.0,43296.0,15231.0,21002.0,984.0
27.0,6205.0,COMPOSITION AND RHETORIC,70441.0,5381.0,46963.0,Business,0.573422636,391.0,33337.0,97716.0,9180.0,20464.0,9940.0,0.057261342,53219.0,26157.0,56154.0,13021.0,32918.0,556.0
29.0,1978.0,MUSIC,25828.0,1316.0,4073.0,Engineering,0.301099658,47.0,15919.0,2035.0,118.0,1554.0,117.0,0.085317663,52300.0,55813.0,56291.0,5335.0,10238.0,1524.0
32.0,2346.0,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",25147.0,7906.0,129.0,Engineering,0.105291732,126.0,8979.0,26564.0,206.0,4303.0,400.0,0.032058027,45538.0,42608.0,89261.0,3024.0,1148.0,132.0
32.0,2602.0,COMPUTER ENGINEERING,14254.0,2945.0,9772.0,Engineering,0.206991045,355.0,17858.0,8582.0,3787.0,1463.0,510.0,0.029719479,53386.0,32930.0,56819.0,270.0,4642.0,905.0
33.0,2445.0,NURSING,10357.0,5407.0,1829.0,Engineering,0.120018742,7.0,2411.0,12520.0,692.0,5924.0,390.0,0.045167892,51687.0,31355.0,77733.0,984.0,1113.0,309.0
33.0,5667.0,INTERNATIONAL BUSINESS,35410.0,558.0,24906.0,Industrial Arts & Consumer Services,0.075731934,21.0,5673.0,26212.0,675.0,15699.0,978.0,0.057644471,54673.0,29238.0,58165.0,2129.0,2896.0,1538.0
34.0,3960.0,INTERNATIONAL RELATIONS,29113.0,7940.0,21718.0,Industrial Arts & Consumer Services,0.475931678,3.0,19010.0,15201.0,9775.0,7568.0,4351.0,0.020288362,33096.0,20468.0,47671.0,7058.0,14262.0,662.0
34.0,1115.0,STUDIO ARTS,5270.0,1355.0,1140.0,Agriculture & Natural Resources,0.181021562,106.0,12135.0,5847.0,794.0,1526.0,212.0,0.034266086,36622.0,20919.0,41914.0,5892.0,11941.0,821.0
35.0,5017.0,ENGLISH LANGUAGE AND LITERATURE,27969.0,1017.0,1630.0,Physical Sciences,0.705061229,14.0,9398.0,2542.0,403.0,1967.0,68.0,0.039517759,49058.0,35674.0,72188.0,2116.0,812.0,704.0
36.0,4408.0,PHYSICS,5996.0,2456.0,2674.0,Computers & Mathematics,0.212222065,269.0,20704.0,9127.0,1158.0,3421.0,11.0,0.109495968,42348.0,30100.0,76282.0,1629.0,5103.0,836.0
37.0,4366.0,MATHEMATICS TEACHER EDUCATION,205639.0,1172.0,191.0,Law & Public Policy,0.349167653,41.0,68749.0,251540.0,303.0,19240.0,37.0,0.102462761,38025.0,23488.0,46565.0,645.0,655.0,296.0
38.0,3209.0,MATHEMATICS AND COMPUTER SCIENCE,4750.0,2137.0,456.0,Engineering,0.434878628,8.0,15226.0,11528.0,712.0,2436.0,503.0,0.094922969,55750.0,40732.0,69451.0,1178.0,3053.0,239.0
39.0,5657.0,ARCHITECTURAL ENGINEERING,65249.0,1064.0,11460.0,Health,0.938299989,95.0,10875.0,12258.0,7228.0,11950.0,773.0,0.073698793,31151.0,24530.0,44041.0,3311.0,9181.0,2300.0
39.0,6105.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,19668.0,8745.0,12926.0,Health,0.623290358,40.0,25761.0,9873.0,5997.0,6929.0,4197.0,0.063972114,30151.0,22433.0,41180.0,2983.0,4289.0,1435.0
43.0,2605.0,COMMUNICATION TECHNOLOGIES,19105.0,10759.0,355.0,Engineering,0.214588525,169.0,11662.0,14627.0,9112.0,8386.0,337.0,0.019640819,59784.0,37432.0,64476.0,11353.0,355.0,15.0
45.0,4430.0,CIVIL ENGINEERING,21506.0,1868.0,13786.0,Social Science,0.753450011,136.0,26992.0,36019.0,4346.0,33749.0,577.0,0.103948975,33649.0,31101.0,62580.0,5620.0,6584.0,3379.0
45.0,5038.0,EARLY CHILDHOOD EDUCATION,7348.0,1152.0,4324.0,Physical Sciences,0.331695964,83.0,3982.0,2879.0,917.0,1300.0,199.0,0.045635404,52147.0,33333.0,120520.0,320.0,929.0,785.0
46.0,5014.0,MISCELLANEOUS FINE ARTS,1912.0,785.0,805.0,Physical Sciences,0.45914827,16.0,7158.0,199897.0,376.0,1069.0,79.0,0.07135412,37529.0,37415.0,46345.0,1971.0,645.0,307.0
46.0,2064.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,37314.0,20828.0,781.0,Engineering,0.235344585,108.0,8329.0,42576.0,798.0,3612.0,67.0,0.034454635,51044.0,58767.0,60390.0,6986.0,305.0,210.0
53.0,3138.0,MARKETING AND MARKETING RESEARCH,4701.0,336.0,2919.0,Industrial Arts & Consumer Services,0.255258089,124.0,34837.0,14800.0,2074.0,3993.0,1108.0,0.068544151,35433.0,20063.0,42530.0,11068.0,33338.0,140.0
53.0,5039.0,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,55245.0,4876.0,644.0,Physical Sciences,0.541902635,87.0,279642.0,28519.0,361.0,2977.0,63.0,0.068328675,41116.0,29403.0,56022.0,13318.0,7202.0,195.0
55.0,6208.0,ARCHITECTURAL ENGINEERING,21033.0,11875.0,668.0,Business,0.606045616,815.0,148395.0,48207.0,5400.0,30871.0,4183.0,0.079159794,37845.0,29190.0,46372.0,1818.0,140448.0,6062.0
56.0184631560627,4865.585215601396,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,165650.79057701037,149.83986149838222,48762.25723371316,Communications & Journalism,0.507761452,11.901819074715572,73634.15328142486,37142.5097947187,1086.1674087581312,3694.8305912236797,2860.711752360384,0.093871927,35478.32706023523,35136.71077005014,49436.373663241626,16104.26779539835,4411.421504909063,2763.507883897368
59.0,2586.0,MATERIALS SCIENCE,99943.0,36490.0,27375.0,Computers & Mathematics,0.203735857,7.0,43732.0,7181.0,1716.0,6223.0,3114.0,0.102160994,45151.0,20888.0,71355.0,22744.0,6398.0,257.0
60.0,3057.0,CRIMINOLOGY,43817.0,883.0,7194.0,Computers & Mathematics,0.324139716,473.0,29301.0,32688.0,6309.0,1261.0,662.0,0.058089287,45932.0,20311.0,74307.0,963.0,752.0,741.0
62.0,6227.0,SOCIAL PSYCHOLOGY,73206.0,35911.0,45823.0,Business,0.281801042,683.0,148395.0,188707.0,7243.0,19173.0,17374.0,0.061023846,55026.0,36207.0,55039.0,1808.0,72302.0,271.0
62.0,2923.0,INDUSTRIAL AND MANUFACTURING ENGINEERING,40431.0,383.0,5270.0,Computers & Mathematics,0.258832722,12.0,12830.0,11455.0,854.0,1443.0,129.0,0.144919913,41227.0,31634.0,63408.0,3122.0,413.0,301.0
62.5632423360848,1620.6162755886282,FAMILY AND CONSUMER SCIENCES,57318.20589968326,1749.0622206706082,28142.48957062359,Communications & Journalism,0.427855256,362.12863599078173,11587.193478028741,13109.486382564097,1176.2373790055346,6663.684526410723,1094.27208324577,0.082056782,34254.55807915765,32950.63918393327,82749.44352611272,10998.530933042752,9781.79808171998,6521.923436891294
63.0,5016.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,10118.0,6759.0,1901.0,Physical Sciences,0.600433402,17.0,18479.0,1497.0,776.0,990.0,217.0,0.02430954,43791.0,23134.0,65968.0,1682.0,732.0,304.0
63.0,2401.0,STUDIO ARTS,12994.0,8472.0,7513.0,Engineering,0.217976367,99.0,18009.0,3840.0,1271.0,3837.0,1006.0,0.030077828,54941.0,53836.0,70785.0,1664.0,6781.0,514.0
63.0,5416.0,ANIMAL SCIENCES,72359.0,820.0,11309.0,Health,0.571053504,147.0,19902.0,78195.0,7202.0,9390.0,583.0,0.102101326,38405.0,31870.0,40787.0,4445.0,5305.0,2568.0
64.0,5011.0,NURSING,6100.0,2132.0,2028.0,Physical Sciences,0.73676762,755.0,307933.0,4831.0,479.0,4151.0,563.0,0.061918938,36769.0,35674.0,55487.0,3475.0,2101.0,1532.0
66.0,4931.0,ACTUARIAL SCIENCE,25773.0,549.0,19579.0,Social Science,0.492683338,393.0,19389.0,22112.0,10750.0,21846.0,6017.0,0.099795531,52979.0,30329.0,57532.0,18519.0,17687.0,6152.0
69.0,1127.0,PHILOSOPHY AND RELIGIOUS STUDIES,14328.0,2354.0,5875.0,Agriculture & Natural Resources,0.297401138,233.0,4370.0,10447.0,2573.0,3224.0,850.0,0.068650197,30881.0,22936.0,40015.0,4248.0,1887.0,66.0
71.0,4329.0,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,20384.0,17059.0,1226.0,Biology & Life Science,0.675706647,180.0,17815.0,68289.0,1003.0,2223.0,2080.0,0.029713372,39695.0,27663.0,44110.0,6851.0,11375.0,71.0
71.15483694500287,4969.572772000463,EARLY CHILDHOOD EDUCATION,15359.899014106099,2038.873893392418,3540.747884850126,Communications & Journalism,0.509780663,194.260129949622,27717.817256871826,11717.098790706206,4568.607684133115,5635.913950089296,3538.681831363338,0.074271298,55849.464393518785,18500.0,61569.44842022642,4370.643986458853,14406.298705191513,3334.9496354021035
72.0,3503.0,MULTI/INTERDISCIPLINARY STUDIES,15871.0,14188.0,2433.0,Computers & Mathematics,0.220148273,378.0,45384.0,92319.0,5866.0,12213.0,1585.0,0.028371261,44113.0,36686.0,64286.0,1750.0,3061.0,159.0
72.0,3026.0,ARCHITECTURE,61313.0,15140.0,25714.0,Humanities & Liberal Arts,0.600107153,1160.0,57650.0,19812.0,6461.0,2777.0,1370.0,0.049666932,36949.0,20328.0,37328.0,6588.0,8573.0,2427.0
73.0,1120.0,LANGUAGE AND DRAMA EDUCATION,10915.0,2225.0,9281.0,Agriculture & Natural Resources,0.370945234,194.0,7525.0,11005.0,476.0,10674.0,527.0,0.072167818,32605.0,31628.0,40869.0,610.0,838.0,99.0
73.0,5043.0,SCIENCE AND COMPUTER TEACHER EDUCATION,3458.0,1034.0,2931.0,Physical Sciences,0.406767244,54.0,4206.0,22309.0,1259.0,1681.0,529.0,0.06665011,35117.0,25743.0,51238.0,813.0,1095.0,152.0
75.0,5284.0,MATHEMATICS,9254.0,2544.0,5586.0,Psychology & Social Work,0.720900609,41.0,151643.0,3149.0,2308.0,1917.0,1102.0,0.088248848,25978.0,19758.0,47223.0,4559.0,3974.0,187.0
77.0,5027.0,COUNSELING PSYCHOLOGY,1775.0,1491.0,679.0,Physical Sciences,0.429901803,46.0,18674.0,116692.0,1164.0,7154.0,100.0,0.061425775,43502.0,22461.0,64244.0,223.0,1578.0,489.0
77.0,3231.0,METALLURGICAL ENGINEERING,23615.0,16983.0,2651.0,Biology & Life Science,0.68114245,570.0,84029.0,90184.0,803.0,7036.0,3806.0,0.033124328,42066.0,39550.0,85967.0,9103.0,13313.0,435.0
78.0,2126.0,ENGINEERING MECHANICS PHYSICS AND SCIENCE,14493.0,11236.0,9459.0,Computers & Mathematics,0.526307945,172.0,14979.0,11909.0,8872.0,1613.0,1422.0,0.063574362,39425.0,20988.0,62679.0,8919.0,14094.0,1193.0
78.0,4886.0,MEDICAL ASSISTING SERVICES,5921.0,2407.0,2507.0,Law & Public Policy,0.267889893,1037.0,3933.0,6636.0,245.0,4921.0,1617.0,0.105494928,44584.0,23402.0,55505.0,2261.0,3219.0,388.0
78.0,5109.0,JOURNALISM,173809.0,3986.0,48923.0,Humanities & Liberal Arts,0.476572439,245.0,31569.0,15965.0,8713.0,13086.0,1700.0,0.084514902,38057.0,21426.0,48444.0,1971.0,30868.0,5942.0
79.0,2534.0,GENERAL SOCIAL SCIENCES,12183.0,1854.0,3831.0,Engineering,0.343266332,312.0,9122.0,9791.0,280.0,6085.0,189.0,0.051629513,53444.0,47554.0,78425.0,1186.0,1993.0,1038.0
80.0,4441.0,MISCELLANEOUS SOCIAL SCIENCES,42888.0,3011.0,3423.0,Humanities & Liberal Arts,0.680474387,146.0,64907.0,45835.0,10586.0,11729.0,3107.0,0.078851099,37227.0,22953.0,39267.0,17711.0,12601.0,1781.0
80.0,2034.0,MISCELLANEOUS BIOLOGY,124423.0,15130.0,5791.0,Computers & Mathematics,0.3314199,242.0,19472.0,7006.0,1272.0,2170.0,654.0,0.076550268,51126.0,25757.0,77653.0,10015.0,9659.0,428.0
80.0,3290.0,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",18890.0,184.0,10856.0,Biology & Life Science,0.613090369,140.0,11519.0,18683.0,1706.0,1001.0,224.0,0.079281615,36997.0,23208.0,39162.0,3541.0,952.0,650.0
82.0,5273.0,MISCELLANEOUS PSYCHOLOGY,120228.0,2128.0,1198.0,Psychology & Social Work,0.66687259,859.0,2386.0,18651.0,573.0,1890.0,133.0,0.030320595,30438.0,29825.0,52696.0,1428.0,1557.0,61.0
84.0,5303.0,ELECTRICAL ENGINEERING TECHNOLOGY,1788.0,1271.0,1069.0,Psychology & Social Work,0.791737796,38.0,38861.0,251540.0,5857.0,866.0,168.0,0.082155949,29214.0,24206.0,41989.0,32921.0,3642.0,696.0
85.0,2375.0,MATHEMATICS,6476.0,1669.0,431.0,Computers & Mathematics,0.197713335,368.0,12550.0,13821.0,2694.0,5984.0,1424.0,0.013479415,52697.0,26713.0,67577.0,333.0,4826.0,3298.0
85.0,3318.0,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,148090.0,21096.0,6778.0,Humanities & Liberal Arts,0.539981555,108.0,26738.0,4040.0,2472.0,1513.0,1297.0,0.087595737,29982.0,21364.0,39959.0,15303.0,24414.0,1302.0
85.0,6208.0,SOCIOLOGY,263258.0,5786.0,102932.0,Business,0.678789511,4212.0,98286.0,199897.0,8936.0,45818.0,940.0,0.067658195,48824.0,29205.0,58246.0,13674.0,37473.0,28226.0
85.0,1191.0,AEROSPACE ENGINEERING,9103.0,8331.0,430.0,Agriculture & Natural Resources,0.611617875,142.0,3638.0,14120.0,1079.0,1363.0,59.0,0.071936922,35426.0,25175.0,40562.0,1646.0,2649.0,111.0
89.0,6204.0,BIOLOGICAL ENGINEERING,216444.0,3488.0,76030.0,Business,0.471722129,1286.0,21189.0,199897.0,481.0,45734.0,10231.0,0.053713855,38999.0,29726.0,48491.0,3220.0,16863.0,5256.0
90.0,5259.0,COUNSELING PSYCHOLOGY,3456.0,471.0,1291.0,Psychology & Social Work,0.669660469,138.0,3529.0,2539.0,1158.0,1881.0,685.0,0.085663228,29391.0,20701.0,38030.0,1703.0,1432.0,75.0
92.0,5142.0,COMPUTER NETWORKING AND TELECOMMUNICATIONS,76276.0,2596.0,43544.0,Social Science,0.407184222,436.0,49299.0,118488.0,8147.0,66425.0,8193.0,0.077384759,32210.0,30606.0,61631.0,1763.0,16044.0,12491.0
94.0,5886.0,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,89524.0,7110.0,28231.0,Health,0.810511483,113.0,25161.0,251540.0,4115.0,4961.0,3466.0,0.081330008,41714.0,21136.0,45094.0,3670.0,5238.0,1273.0
95.0,5221.0,MUSIC,286343.0,578.0,12602.0,Psychology & Social Work,0.721794068,28.0,11237.0,194813.0,4446.0,1095.0,43.0,0.127519137,29810.0,19392.0,30907.0,1927.0,1257.0,224.0
95.0,5503.0,ENGINEERING MECHANICS PHYSICS AND SCIENCE,54412.0,12304.0,3036.0,Humanities & Liberal Arts,0.816971447,449.0,33041.0,33604.0,4917.0,10822.0,2007.0,0.049711744,35843.0,20023.0,38347.0,5352.0,22222.0,2870.0
95.0,6203.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,46026.0,9291.0,21112.0,Business,0.289308656,2666.0,89252.0,70105.0,9085.0,31957.0,4773.0,0.048813171,47109.0,30582.0,60156.0,1898.0,9122.0,414.0
96.0,2305.0,FINE ARTS,5427.0,1036.0,3652.0,Computers & Mathematics,0.244946641,122.0,23081.0,8056.0,4381.0,7464.0,2556.0,0.013744397,37393.0,32559.0,50814.0,1702.0,6368.0,775.0
97.0,5240.0,ECOLOGY,393735.0,559.0,44840.0,Psychology & Social Work,0.825109411,45.0,3342.0,1996.0,1642.0,1988.0,1856.0,0.089759277,38955.0,19302.0,39255.0,635.0,2472.0,97.0
99.0,2314.0,COSMETOLOGY SERVICES AND CULINARY ARTS,74969.0,5600.0,9879.0,Education,0.781754027,4.0,8658.0,34107.0,4149.0,5204.0,1373.0,0.064440628,36961.0,26814.0,40350.0,640.0,4563.0,189.0
99.0,2325.0,EARLY CHILDHOOD EDUCATION,17882.0,1613.0,5569.0,Education,0.781768674,15.0,14484.0,25557.0,4829.0,8167.0,56.0,0.031265072,37470.0,28720.0,44970.0,4159.0,1096.0,711.0
99.0,4494.0,ARCHITECTURE,10469.0,9364.0,4810.0,Computers & Mathematics,0.235395515,146.0,3784.0,13067.0,1949.0,5030.0,1471.0,0.039047795,37375.0,26774.0,60505.0,1133.0,2354.0,2112.0
100.0,5017.0,COMPUTER AND INFORMATION SYSTEMS,2232.0,2112.0,1189.0,Physical Sciences,0.740728395,125.0,115172.0,2342.0,794.0,1005.0,75.0,0.051437442,46747.0,24564.0,47300.0,403.0,2543.0,224.0
100.0,1115.0,AEROSPACE ENGINEERING,10763.0,2278.0,1056.0,Agriculture & Natural Resources,0.454519023,224.0,11907.0,9860.0,894.0,1544.0,187.0,0.03853689,44219.0,23127.0,51556.0,885.0,360.0,320.0
100.0,2354.0,BUSINESS MANAGEMENT AND ADMINISTRATION,18388.0,3384.0,10607.0,Education,0.956098719,424.0,56430.0,30337.0,3511.0,22994.0,246.0,0.078010006,30363.0,21579.0,32009.0,8322.0,5734.0,727.0
103.0,6208.0,MOLECULAR BIOLOGY,109886.0,24146.0,102466.0,Business,0.411607396,3560.0,73022.0,155712.0,6647.0,4212.0,2640.0,0.073856861,44347.0,30951.0,55091.0,4308.0,13017.0,3356.0
103.0,5073.0,COMMUNICATIONS,2398.0,1505.0,578.0,Physical Sciences,0.717652606,12.0,2982.0,63770.0,1260.0,3581.0,828.0,0.06534429,46528.0,37333.0,69622.0,512.0,1064.0,146.0
105.0,1112.0,SOCIOLOGY,33302.0,7130.0,11783.0,Agriculture & Natural Resources,0.374843577,44.0,7597.0,6410.0,1217.0,1536.0,149.0,0.022255211,34787.0,24301.0,52689.0,1021.0,1282.0,922.0
105.0,5318.0,TEACHER EDUCATION: MULTIPLE LEVELS,44981.0,2950.0,1303.0,Psychology & Social Work,0.752762768,16.0,28169.0,3515.0,977.0,2366.0,1060.0,0.089188653,34897.0,22648.0,49324.0,5930.0,1744.0,632.0
106.0,4181.0,MICROBIOLOGY,79055.0,8470.0,48312.0,Biology & Life Science,0.567437658,62.0,1277.0,38044.0,657.0,4520.0,904.0,0.067649749,47589.0,29989.0,55360.0,1244.0,1118.0,513.0
106.0,5399.0,ENVIRONMENTAL SCIENCE,13373.0,1011.0,3415.0,Psychology & Social Work,0.752141773,65.0,181867.0,251540.0,4668.0,7228.0,34.0,0.08863863,28263.0,21458.0,34816.0,6386.0,862.0,169.0
106.0,2430.0,ENVIRONMENTAL SCIENCE,11332.0,425.0,3898.0,Biology & Life Science,0.561550371,22.0,7726.0,4977.0,1078.0,2601.0,19.0,0.047676624,39208.0,20296.0,39323.0,6655.0,791.0,256.0
106.0,4124.0,INTERNATIONAL RELATIONS,46552.0,1159.0,8363.0,Humanities & Liberal Arts,0.609285447,988.0,21499.0,26539.0,7476.0,13753.0,10442.0,0.083745836,39083.0,28730.0,47218.0,18767.0,13130.0,3747.0
109.0,3764.0,CHEMISTRY,67570.0,2343.0,6107.0,Biology & Life Science,0.607595213,20.0,6413.0,17972.0,273.0,4864.0,1175.0,0.0526815,48071.0,40458.0,53475.0,1835.0,4076.0,1185.0
109.0,2837.0,EDUCATIONAL ADMINISTRATION AND SUPERVISION,63185.0,6341.0,19325.0,Humanities & Liberal Arts,0.819698755,582.0,46552.0,81066.0,10867.0,5504.0,283.0,0.081491574,36416.0,21532.0,42952.0,14718.0,5511.0,2760.0
111.0,3987.0,NUTRITION SCIENCES,14967.0,13292.0,801.0,Humanities & Liberal Arts,0.585700393,761.0,15276.0,105853.0,7385.0,5069.0,322.0,0.083871837,37163.0,27886.0,43708.0,1700.0,10522.0,4314.0
112.0,2375.0,COMPOSITION AND RHETORIC,68390.0,1761.0,1882.0,Education,0.449885941,1033.0,21212.0,49014.0,2391.0,7918.0,2858.0,0.021662544,31894.0,28368.0,49263.0,5761.0,10070.0,1175.0
114.0,5206.0,COMPUTER PROGRAMMING AND DATA PROCESSING,2398.0,1478.0,1924.0,Psychology & Social Work,0.763953463,15.0,31903.0,16968.0,1000.0,5319.0,421.0,0.030215634,32156.0,23543.0,39359.0,775.0,4459.0,1422.0
114.0,6227.0,MISCELLANEOUS ENGINEERING TECHNOLOGIES,154325.0,16956.0,20576.0,Business,0.444365402,601.0,111360.0,83472.0,486.0,20514.0,4319.0,0.079818514,47816.0,36261.0,56972.0,2489.0,87169.0,1282.0
