id,name,parent,size
122,DirtySprite,42,2731
123,filter,198,903
124,Easing,107,22400
125,GravityForce,37,1047
126,Geometry,159,4898
127,LineSprite,143,3953
128,ShortestPaths,13,607
129,CartesianAxes,31,2715
130,SelectionControl,29,2412
131,Layout,108,12072
132,count,10,12845
133,StackedAreaLabeler,205,5875
134,converters,103,
135,Maximum,71,7823
136,Distinct,16,
137,LegendRange,79,843
138,BundledEdgeRouter,83,18378
139,LinearScale,119,5328
140,DataSchema,115,
141,gt,220,806
142,Or,6,499
143,Literal,36,2583
144,DataSet,37,8796
145,Control,171,
146,SizeEncoder,159,2256
147,IValueProxy,7,1860
148,OperatorSwitch,150,4508
149,update,146,
150,AnchorControl,187,1829
151,SpanningTree,201,16615
152,axis,75,3406
153,ShapeRenderer,44,2074
154,sub,178,827
155,IControl,95,
156,ExpandControl,73,20402
157,QuantitativeScale,25,381
158,Sum,228,4042
159,SelectionControl,108,
160,Average,128,
161,Xor,176,5699
162,SpringForce,97,2423
163,Parallel,98,2145
164,RadialLabeler,154,2361
165,ArrayInterpolator,55,2638
166,HeapNode,81,
167,IsA,156,
168,AnchorControl,201,11955
169,IndentedTreeLayout,182,580
170,IScaleMap,194,1154
171,ShapePalette,145,12675
172,Labeler,205,
173,ColorPalette,207,1530
174,TreeBuilder,116,1458
175,gte,196,11073
176,Shapes,217,1237
177,data,17,
178,Not,184,
179,Maths,206,5895
180,Not,215,2322
181,VisualizationEvent,139,309
182,ScaleBinding,167,3464
183,Strings,24,
184,distinct,64,264
185,Xor,130,2828
186,HeapNode,13,4738
187,Control,211,12200
188,GravityForce,24,4383
189,Property,2,
190,PieLayout,102,
191,Scale,189,16218
192,Labeler,78,
193,TextSprite,91,2097
194,Transition,83,2660
195,Axis,40,1902
196,VisibilityFilter,66,2396
197,Scheduler,64,2430
198,ExpressionIterator,109,1180
199,RadialTreeLayout,59,5000
200,ShapeEncoder,118,5708
201,QuantitativeScale,13,6756
202,Scale,93,5454
203,range,34,8803
204,ScaleType,57,1133
205,DragControl,10,1008
206,AxisLabel,217,400
207,AggregateExpression,82,
208,AnchorControl,176,647
209,not,93,
210,LogScale,230,411
211,iff,213,
212,Sum,20,511
213,DirtySprite,66,8922
214,Shapes,37,
215,IValueProxy,3,990
216,orderby,68,6646
217,layout,196,6002
218,count,112,
219,physics,165,1847
220,DragControl,57,9838
221,DataList,151,3009
222,DragForce,152,
223,NumberInterpolator,66,2563
224,DirtySprite,121,2672
225,DendrogramLayout,83,2373
226,RectSprite,111,
227,encoder,9,1275
228,FunctionSequence,22,
229,DataSource,218,2033
230,HierarchicalCluster,197,
231,LinearScale,142,1587
232,VisualizationEvent,42,818
233,And,29,3826
234,DataEvent,65,5723
235,analytics,140,3235
236,display,182,24593
237,Distortion,4,1517
238,DirtySprite,211,4200
239,flare,112,1998
240,mod,163,
241,NumberInterpolator,65,2234
242,axis,50,4110
243,Count,128,264
244,heap,18,1765
245,Pause,3,2694
246,add,25,955
247,vis,123,
248,DataSchema,93,
249,query,122,1321
250,label,149,1299
251,Average,34,842
252,Sort,200,2060
