Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Torgersen,36.6,19.1,184,3550,MALE
Adelie,Torgersen,40.3,18.5,195,3203,FEMALE
Adelie,Dream,37.8,19.6,193,4011,FEMALE
Adelie,Dream,35.9,18.4,189,3362,FEMALE
Adelie,Dream,36.7,17.6,212,3884,MALE
Adelie,Dream,41.1,19.4,206,4008,FEMALE
Adelie,Torgersen,39.5,18.8,216,3512,MALE
Adelie,Torgersen,35.5,16.1,201,4021,MALE
Adelie,Biscoe,39.5,21.5,220,3263,MALE
Adelie,Biscoe,41.1,18.3,195,3734,MALE
Adelie,Dream,41.3,19.1,193,3381,MALE
Adelie,Biscoe,38.7,18.1,217,3781,FEMALE
Adelie,Biscoe,42.1,18.6,185,4114,FEMALE
Adelie,Biscoe,37.6,19.7,185,2929,MALE
Adelie,Dream,41.1,18.5,207,3455,MALE
Adelie,Torgersen,42.2,19.0,217,3901,FEMALE
Adelie,Biscoe,34.0,17.2,198,2881,
Adelie,Biscoe,39.7,19.2,216,3713,FEMALE
Adelie,Dream,41.1,17.3,204,3304,
Adelie,Dream,35.6,18.1,194,3918,FEMALE
Adelie,Torgersen,40.8,18.8,195,3125,MALE
Adelie,Biscoe,39.6,16.8,198,3455,FEMALE
Adelie,Dream,37.5,17.7,229,3217,MALE
Adelie,Dream,39.2,18.8,231,3861,FEMALE
Adelie,Biscoe,40.2,17.6,186,3196,FEMALE
Adelie,Torgersen,37.0,17.1,184,3598,MALE
Adelie,Torgersen,36.0,18.6,201,3639,MALE
Adelie,Biscoe,38.2,17.1,207,4679,FEMALE
Adelie,Dream,35.9,20.1,204,3586,FEMALE
Adelie,Dream,38.1,17.0,197,3701,MALE
Adelie,Torgersen,40.2,17.2,197,3445,MALE
Adelie,Torgersen,37.9,18.9,193,3723,FEMALE
Adelie,Dream,35.1,17.5,202,3577,FEMALE
Adelie,Torgersen,39.0,18.7,180,3914,FEMALE
Adelie,Torgersen,37.7,21.2,205,3850,MALE
Adelie,Dream,36.8,21.1,216,3219,FEMALE
Adelie,Torgersen,39.8,18.4,205,3877,FEMALE
Adelie,Dream,38.9,20.6,199,4106,FEMALE
Adelie,Torgersen,40.9,16.9,207,3823,MALE
Adelie,Dream,39.1,17.9,205,3977,MALE
Adelie,Torgersen,42.2,19.0,198,3253,MALE
Adelie,Dream,40.8,18.6,203,3644,FEMALE
Adelie,Torgersen,38.5,18.6,199,3941,MALE
Adelie,Torgersen,38.8,18.0,212,3905,MALE
Adelie,Biscoe,41.5,18.9,219,3554,MALE
Adelie,Torgersen,40.6,19.2,191,4732,MALE
Adelie,Torgersen,41.4,19.1,191,3945,FEMALE
Adelie,Dream,38.8,17.9,196,3642,FEMALE
Adelie,Dream,40.6,18.4,179,3720,FEMALE
Adelie,Biscoe,37.2,17.2,207,4186,FEMALE
Adelie,Dream,35.5,19.3,208,3705,MALE
Adelie,Biscoe,41.8,16.8,211,3233,MALE
Adelie,Dream,39.6,18.3,196,2856,MALE
Adelie,Dream,40.5,18.0,220,3502,FEMALE
Adelie,Biscoe,38.6,16.9,186,3422,MALE
Adelie,Torgersen,38.1,17.2,206,3161,MALE
Adelie,Biscoe,39.2,17.9,201,3947,FEMALE
Adelie,Dream,40.7,20.0,187,4777,MALE
Adelie,Dream,41.5,17.0,175,3067,FEMALE
Adelie,Dream,36.4,18.9,199,4095,MALE
Adelie,Torgersen,42.8,16.5,172,2976,FEMALE
Adelie,Biscoe,41.6,18.1,203,3150,FEMALE
Adelie,Biscoe,43.2,18.0,201,3173,MALE
Adelie,Dream,38.2,18.5,201,3307,FEMALE
Adelie,Dream,36.2,20.0,224,5115,MALE
Adelie,Biscoe,34.4,18.1,228,3173,MALE
Adelie,Dream,38.1,17.8,193,3894,FEMALE
Adelie,Torgersen,35.7,17.7,192,3610,FEMALE
Adelie,Dream,41.4,19.0,214,3534,MALE
Adelie,Torgersen,41.3,17.1,194,2845,FEMALE
Adelie,Biscoe,36.9,18.1,194,4171,MALE
Adelie,Biscoe,35.7,18.8,185,3135,MALE
Adelie,Biscoe,40.6,18.5,216,3045,FEMALE
Adelie,Biscoe,39.6,16.7,225,3729,FEMALE
Adelie,Torgersen,39.5,17.8,206,4248,MALE
Adelie,Dream,40.3,19.0,184,3987,FEMALE
Adelie,Torgersen,40.1,15.5,209,4432,FEMALE
Adelie,Torgersen,34.6,16.0,207,4931,MALE
Adelie,Torgersen,37.8,18.6,214,2970,MALE
Adelie,Biscoe,36.0,20.0,196,3298,FEMALE
Adelie,Dream,40.2,18.9,202,3272,
Adelie,Dream,37.3,20.7,207,3200,MALE
Adelie,Torgersen,36.0,15.9,198,3689,FEMALE
Adelie,Dream,39.2,17.0,207,4182,FEMALE
Adelie,Biscoe,37.6,19.0,229,3610,FEMALE
Adelie,Dream,42.5,21.1,216,3302,MALE
Adelie,Dream,39.7,16.2,180,3552,MALE
Adelie,Biscoe,38.3,17.4,218,3893,MALE
Adelie,Biscoe,43.2,19.5,192,3287,FEMALE
Adelie,Torgersen,37.7,17.2,215,3730,MALE
Adelie,Torgersen,38.1,17.0,205,3406,MALE
Adelie,Torgersen,39.3,16.5,193,5096,FEMALE
Adelie,Dream,41.1,18.4,201,3531,MALE
Adelie,Dream,36.5,18.5,220,3269,MALE
Adelie,Torgersen,43.1,18.2,194,3964,FEMALE
Adelie,Dream,41.1,17.5,231,3784,MALE
Adelie,Biscoe,38.6,20.7,208,3683,FEMALE
Adelie,Torgersen,44.1,20.5,217,3880,MALE
Adelie,Biscoe,38.9,18.9,201,3175,FEMALE
Adelie,Biscoe,45.8,17.9,215,3091,FEMALE
Adelie,Torgersen,40.5,19.5,201,4396,MALE
Adelie,Dream,36.5,18.6,203,4553,FEMALE
Adelie,Torgersen,43.2,19.8,212,4221,FEMALE
Adelie,Dream,41.5,17.1,210,3220,MALE
Adelie,Torgersen,41.1,17.9,202,3271,FEMALE
Adelie,Torgersen,37.2,17.9,196,3849,MALE
Adelie,Torgersen,38.9,19.4,215,3312,FEMALE
Adelie,Biscoe,35.2,18.6,183,4330,MALE
Adelie,Dream,37.6,17.6,182,3454,FEMALE
Adelie,Biscoe,37.3,16.1,225,4165,MALE
Adelie,Dream,35.0,18.5,186,3153,FEMALE
Adelie,Dream,42.0,16.5,216,4052,FEMALE
Adelie,Torgersen,35.2,19.5,208,3277,FEMALE
Chinstrap,Dream,42.5,19.2,197,3506,FEMALE
Chinstrap,Dream,46.0,20.0,202,3550,FEMALE
Chinstrap,Dream,49.6,19.5,206,3934,MALE
Chinstrap,Dream,47.6,16.6,179,3902,MALE
Chinstrap,Dream,46.7,17.9,194,3527,FEMALE
Chinstrap,Dream,52.7,19.4,179,3940,MALE
Chinstrap,Dream,46.2,19.6,174,3696,MALE
Chinstrap,Dream,42.5,19.8,197,3853,MALE
Chinstrap,Dream,50.9,20.0,189,3952,FEMALE
Chinstrap,Dream,50.3,16.8,200,4415,FEMALE
Chinstrap,Dream,49.0,19.5,175,4765,MALE
Chinstrap,Dream,48.1,17.8,193,3391,MALE
Chinstrap,Dream,58.0,18.9,223,3801,MALE
Chinstrap,Dream,45.5,18.6,200,4009,FEMALE
Chinstrap,Dream,51.3,18.2,194,4086,FEMALE
Chinstrap,Dream,45.7,17.1,217,3225,FEMALE
Chinstrap,Dream,43.5,19.0,188,3941,FEMALE
Chinstrap,Dream,50.0,17.8,198,3807,MALE
Chinstrap,Dream,49.2,18.2,172,3372,FEMALE
Chinstrap,Dream,52.2,19.0,201,3829,MALE
Chinstrap,Dream,49.0,19.4,180,3168,FEMALE
Chinstrap,Dream,46.8,17.5,190,3794,FEMALE
Chinstrap,Dream,49.8,18.1,224,3770,MALE
Chinstrap,Dream,45.4,16.4,190,3488,MALE
Chinstrap,Dream,46.9,18.1,191,3479,FEMALE
Chinstrap,Dream,50.9,18.7,218,3266,FEMALE
Chinstrap,Dream,48.5,17.8,189,3641,MALE
Chinstrap,Dream,49.5,19.5,194,3750,MALE
Chinstrap,Dream,45.9,17.3,211,4238,MALE
Chinstrap,Dream,51.0,16.6,226,3935,MALE
Chinstrap,Dream,51.3,20.3,199,3643,FEMALE
Chinstrap,Dream,52.8,17.3,217,4007,MALE
Chinstrap,Dream,51.5,18.8,205,3899,MALE
Chinstrap,Dream,45.2,18.7,203,4343,MALE
Chinstrap,Dream,42.4,18.8,215,3808,MALE
Chinstrap,Dream,45.2,18.5,193,3845,MALE
Chinstrap,Dream,51.7,18.4,208,3889,MALE
Chinstrap,Dream,45.6,19.9,189,3475,FEMALE
Chinstrap,Dream,46.5,18.3,227,3612,MALE
Chinstrap,Dream,49.3,17.0,213,3330,FEMALE
Chinstrap,Dream,50.6,19.0,196,3389,
Chinstrap,Dream,50.5,16.6,210,3545,FEMALE
Chinstrap,Dream,40.9,17.9,192,3414,FEMALE
Chinstrap,Dream,47.5,19.8,216,4066,FEMALE
Chinstrap,Dream,51.4,18.2,200,3611,FEMALE
Chinstrap,Dream,47.0,17.8,191,4156,FEMALE
Chinstrap,Dream,52.0,19.0,217,3540,MALE
Chinstrap,Dream,53.5,18.7,219,3384,FEMALE
Chinstrap,Dream,51.3,16.5,202,4193,FEMALE
Chinstrap,Dream,46.4,16.7,193,4216,MALE
Chinstrap,Dream,43.2,18.6,209,3571,FEMALE
Chinstrap,Dream,49.7,17.3,212,4032,MALE
Chinstrap,Dream,50.2,20.7,189,3834,MALE
Chinstrap,Dream,51.9,19.7,199,3328,MALE
Chinstrap,Dream,55.8,17.3,179,3584,MALE
Chinstrap,Dream,52.0,17.9,230,3409,FEMALE
Chinstrap,Dream,45.7,19.9,172,3697,MALE
Chinstrap,Dream,50.8,18.2,212,3936,MALE
Chinstrap,Dream,46.1,17.0,203,4176,FEMALE
Chinstrap,Dream,50.2,19.6,190,4346,FEMALE
Chinstrap,Dream,50.7,19.1,197,3703,FEMALE
Chinstrap,Dream,46.4,16.6,183,3420,MALE
Chinstrap,Dream,54.2,17.9,195,3835,MALE
Chinstrap,Dream,50.8,20.8,187,3318,FEMALE
Chinstrap,Dream,46.6,18.8,199,3517,MALE
Chinstrap,Dream,50.1,17.5,216,4149,FEMALE
Chinstrap,Dream,50.5,20.3,185,3756,FEMALE
Chinstrap,Dream,50.5,17.3,209,4070,FEMALE
Chinstrap,Dream,52.0,19.9,188,3451,FEMALE
Gentoo,Biscoe,43.4,16.3,209,5801,FEMALE
Gentoo,Biscoe,50.7,15.0,209,4777,MALE
Gentoo,Biscoe,45.5,13.7,193,5188,MALE
Gentoo,Biscoe,43.6,13.8,176,6140,FEMALE
Gentoo,Biscoe,48.7,15.4,201,4820,FEMALE
Gentoo,Biscoe,46.2,15.7,204,4983,FEMALE
Gentoo,Biscoe,46.5,14.4,220,4424,FEMALE
Gentoo,Biscoe,48.5,16.2,193,4947,.
Gentoo,Biscoe,44.0,15.2,213,5793,FEMALE
Gentoo,Biscoe,43.3,15.5,188,5579,FEMALE
Gentoo,Biscoe,49.2,14.2,208,5911,MALE
Gentoo,Biscoe,50.0,17.0,195,4603,FEMALE
Gentoo,Biscoe,55.9,13.6,229,4731,FEMALE
Gentoo,Biscoe,48.7,14.6,172,4349,MALE
Gentoo,Biscoe,43.2,16.3,198,5092,MALE
Gentoo,Biscoe,47.5,14.3,196,5383,MALE
Gentoo,Biscoe,50.2,14.5,204,5026,FEMALE
Gentoo,Biscoe,47.5,13.9,203,4379,FEMALE
Gentoo,Biscoe,50.5,15.6,178,5797,MALE
Gentoo,Biscoe,55.1,14.4,209,5584,MALE
Gentoo,Biscoe,42.6,13.7,200,5279,MALE
Gentoo,Biscoe,49.6,15.7,220,5874,MALE
Gentoo,Biscoe,49.5,15.7,218,5200,FEMALE
Gentoo,Biscoe,49.0,16.1,193,5057,MALE
Gentoo,Biscoe,50.0,13.7,208,5407,MALE
Gentoo,Biscoe,46.6,13.7,210,5204,MALE
Gentoo,Biscoe,42.9,13.4,179,5990,MALE
Gentoo,Biscoe,45.8,15.6,195,5384,FEMALE
Gentoo,Biscoe,48.6,14.0,182,4862,FEMALE
Gentoo,Biscoe,48.4,14.6,182,4667,MALE
Gentoo,Biscoe,45.1,13.7,207,5609,MALE
Gentoo,Biscoe,48.1,14.7,217,4846,FEMALE
Gentoo,Biscoe,51.1,15.3,179,5584,MALE
Gentoo,Biscoe,53.4,13.2,211,5742,MALE
Gentoo,Biscoe,45.1,16.3,181,5415,FEMALE
Gentoo,Biscoe,52.5,14.2,190,4757,FEMALE
Gentoo,Biscoe,46.9,14.6,203,5240,FEMALE
Gentoo,Biscoe,59.6,15.3,212,5521,MALE
Gentoo,Biscoe,48.8,15.3,231,5010,MALE
Gentoo,Biscoe,46.4,14.2,203,4345,FEMALE
Gentoo,Biscoe,46.8,14.4,218,4296,
Gentoo,Biscoe,42.0,16.1,211,5176,FEMALE
Gentoo,Biscoe,46.3,16.4,198,4553,MALE
Gentoo,Biscoe,45.2,15.2,208,5295,FEMALE
Gentoo,Biscoe,45.2,14.9,175,4972,FEMALE
Gentoo,Biscoe,52.1,15.9,212,4683,FEMALE
Gentoo,Biscoe,49.3,14.7,206,5113,MALE
Gentoo,Biscoe,43.8,15.9,172,5417,FEMALE
Gentoo,Biscoe,48.4,15.7,176,5071,FEMALE
Gentoo,Biscoe,42.8,13.8,208,5583,FEMALE
Gentoo,Biscoe,50.1,15.8,198,5502,MALE
Gentoo,Biscoe,49.9,16.1,209,5741,MALE
Gentoo,Biscoe,43.5,15.0,201,4947,MALE
Gentoo,Biscoe,49.8,15.7,202,5447,MALE
Gentoo,Biscoe,52.2,15.3,221,4877,FEMALE
Gentoo,Biscoe,49.6,15.2,225,5466,FEMALE
Gentoo,Biscoe,46.4,15.4,223,6001,MALE
Gentoo,Biscoe,51.3,16.0,185,6153,FEMALE
Gentoo,Biscoe,48.7,13.8,222,4692,FEMALE
Gentoo,Biscoe,41.7,15.0,214,4496,MALE
Gentoo,Biscoe,43.5,15.7,216,4901,MALE
Gentoo,Biscoe,48.2,14.2,187,5259,FEMALE
Gentoo,Biscoe,46.1,16.3,211,4955,MALE
Gentoo,Biscoe,45.5,14.6,212,3965,FEMALE
Gentoo,Biscoe,46.8,13.5,197,4870,MALE
Gentoo,Biscoe,45.7,15.8,182,4827,MALE
Gentoo,Biscoe,43.3,14.5,186,5204,MALE
Gentoo,Biscoe,42.7,15.1,221,4562,MALE
Gentoo,Biscoe,40.9,14.5,226,4779,FEMALE
Gentoo,Biscoe,49.8,15.0,214,4867,FEMALE
Gentoo,Biscoe,47.3,15.0,190,5000,MALE
Gentoo,Biscoe,51.1,15.8,204,6064,FEMALE
Gentoo,Biscoe,47.7,15.2,231,5620,FEMALE
Gentoo,Biscoe,48.2,15.0,200,4528,MALE
Gentoo,Biscoe,46.2,13.7,198,5151,MALE
Gentoo,Biscoe,44.9,14.5,177,5469,FEMALE
Gentoo,Biscoe,47.2,13.1,205,5134,FEMALE
Gentoo,Biscoe,45.2,17.0,192,4495,FEMALE
Gentoo,Biscoe,48.4,14.1,231,5040,MALE
Gentoo,Biscoe,49.4,14.6,203,4402,FEMALE
Gentoo,Biscoe,45.3,14.5,194,3991,FEMALE
Gentoo,Biscoe,49.1,15.8,209,4377,MALE
Gentoo,Biscoe,49.1,13.3,191,4365,MALE
Gentoo,Biscoe,49.1,14.8,186,5245,FEMALE
Gentoo,Biscoe,46.5,15.0,213,6233,FEMALE
Gentoo,Biscoe,46.2,15.1,200,4324,FEMALE
Gentoo,Biscoe,45.0,14.3,209,4523,FEMALE
Gentoo,Biscoe,45.4,16.0,184,5248,MALE
Gentoo,Biscoe,50.0,13.5,180,4837,FEMALE
Gentoo,Biscoe,54.3,16.8,201,4970,MALE
Gentoo,Biscoe,46.5,14.4,212,6117,MALE
Gentoo,Biscoe,46.8,16.1,204,4384,FEMALE
Gentoo,Biscoe,50.4,14.5,192,5290,MALE
Gentoo,Biscoe,50.8,17.1,203,5169,MALE
Gentoo,Biscoe,45.5,14.1,190,4544,MALE
Gentoo,Biscoe,46.5,16.0,178,4871,MALE
Gentoo,Biscoe,44.9,13.9,226,4507,MALE
Gentoo,Biscoe,45.5,14.5,201,4930,MALE
Gentoo,Biscoe,50.0,17.0,204,5760,MALE
Gentoo,Biscoe,50.4,15.1,181,5190,MALE
Gentoo,Biscoe,46.1,13.9,191,4929,MALE
Gentoo,Biscoe,48.5,14.3,191,6056,FEMALE
Gentoo,Biscoe,47.5,14.2,188,4801,FEMALE
Gentoo,Biscoe,45.3,14.8,205,5125,FEMALE
Gentoo,Biscoe,50.5,14.0,211,5031,FEMALE
Gentoo,Biscoe,47.8,14.1,172,4693,MALE
Gentoo,Biscoe,45.8,16.5,231,4494,FEMALE
Gentoo,Biscoe,49.5,17.3,210,5208,FEMALE
Gentoo,Biscoe,47.6,13.9,190,5574,FEMALE
Gentoo,Biscoe,51.5,15.0,205,5139,FEMALE
Gentoo,Biscoe,50.8,17.3,172,5064,MALE
Gentoo,Biscoe,44.5,16.2,209,5561,FEMALE
Gentoo,Biscoe,47.2,14.8,201,5567,MALE
Gentoo,Biscoe,44.5,15.0,184,4594,MALE
Gentoo,Biscoe,45.2,15.0,189,4910,FEMALE
Gentoo,Biscoe,44.5,15.8,211,4933,MALE
Gentoo,Biscoe,46.7,15.9,209,5308,MALE
Gentoo,Biscoe,50.7,15.6,197,5642,MALE
Gentoo,Biscoe,47.4,15.6,197,5268,MALE
Gentoo,Biscoe,44.4,14.2,201,4973,MALE
