answer,question
"[""North Korea""]",when was the last episode of i love lucy
"[""Marvin Gaye""]",how many ap courses are there to choose from
"[""eastward, in prograde motion""]",who plays baelfire in once upon a time
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who plays david underhill on big bang theory
"[""May 5, 1992""]",when did the first black player play in the nfl
"[""V8 engine""]",who played the guitar solo on can you hear me knocking
"[""35""]",who spread the theory that one is a product of the mind and body
"[""Ryan Guzman""]",when did canada establish its own honours system after using british honours for years
"[""video editing""]",what kind of horse was mentioned in like a rolling stone
"[""2018""]",when does flash episode 10 season 4 come out
"[""122""]",who wrote a book describing the universe with the sun in the center
"[""Meredith Willson""]",when did the hot and spicy come out
"[""2015""]",maximum effective range of a 12 gauge slug
"[""six""]",who slew the philistines with a donkey jawbone
"[""1942""]",when did hurricane ivan hit the cayman islands
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who does gabriel iglesias play in the star
"[""12""]",who played finnick odair in the hunger games
"[""1962""]",when did charlie and the waitress start dating
"[""2–4 years""]",who is the all time passing yards leader
"[""PewDiePie""]",who played j t on the young and restless
"[""Clayton Moore""]",who won ru paul drag race all stars 3
"[""1900""]",who starred in the silence of the lambs
"[""Constantine""]",when do dr shepherd and meredith get married
"[""4""]",when did the cubs win in back to the future
"[""1981""]",what size bullet does an ak 47 shoot
"[""71%""]",who won first gold medal for india in asian game 2018
"[""2000""]",which european country was the first to establish a colony in southeast asia
"[""Ryan Guzman""]",who is called the father of modern yoga
"[""six""]",who was a renowed astronomer apart from being a physician
"[""St. Louis Cardinals"",""San Francisco Giants""]",how many times has the us constitution been changed
"[""Anderson Silva""]",who are the chefs on america's test kitchen
"[""Calcium ions""]",who plays lori loughlin's husband on garage sale mystery
"[""a compulsory governmental insurance system""]",how many times have the penguins and capitals met in the playoffs
"[""January–July 1975""]",when did they film season 2 of stranger things
"[""volume of the container decreases""]",what was the name of the hamburger guy in popeye
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when does brawl stars come out for ios
"[""Jason Michael Lee""]",who saved cooper and rachel at the river
"[""2010""]",who sang the original red roses for a blue lady
"[""eastward, in prograde motion""]",when did the united states annexed puerto rico
"[""18""]",where did an apple a day come from
"[""a compulsory governmental insurance system""]",who plays faith in when calls the heart
"[""2000""]",who has won the mens singles french open tennis tournament 2018
"[""2018""]",who played jonathan in arsenic and old lace
"[""copper""]",what part of florida is florida international university
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",who worked as a constitutional advisor for constitutional assembly
"[""University of South Carolina""]",first woman to be hung in arizona territory
"[""12""]",who is the first female supreme court justice
"[""Jason Michael Lee""]",when did india get invaded by the british
"[""April 1, 1999""]",when did mcdonald's start serving filet o fish
"[""Dylan""]",when does boku no hero academia anime come out
"[""March 9, 2018""]",who sings you find out who your friends are with tracy lawrence
"[""Saleisha Stowers""]",when did the price is right first air
"[""King Edward Peak""]",what's the name of the blonde powerpuff girl
"[""9""]",do i need a permit to purchase a handgun in nc
"[""horses""]",where did the 2017 tour de france start
"[""Marvin Gaye""]",who sang the song with or without you
"[""71%""]",who won season 7 of the ultimate fighter
"[""State governments""]",who has the most points per game in nhl history
"[""in 2018""]",is us news and world report conservative or liberal
"[""Josh Groban""]",when does the live action death note come out
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",who played uncle arthur in the comedy company
"[""PewDiePie""]",who was the president of the united states in 1954
"[""2017""]",when was the last time there was a total eclipse in the united states
"[""2000""]",what episode of glee do they switch characters
"[""eastward, in prograde motion""]",who wrote it is well with my soul hymn
"[""Pom Klementieff""]",when did the last pirates of the caribbean come out
"[""August 17, 2018""]",when was the last fifa world cup held
"[""1939""]",how many ap courses are there to choose from
"[""Dev"",""Devin Star Tailes""]",where has the rugby world cup been held
"[""Alex Rodriguez""]",who invaded china in 1937 and occupied the best farmland by 1938
"[""Anil Kumar Jha""]",when did harry potter and the sorcerer's stone start filming
"[""35""]",who ordered the death of the knights templar
"[""eastward, in prograde motion""]",who sings oh baby you got what i need
"[""West Bengal""]",who wrote take me out to the ball game
"[""A concerto""]",when is game of thrones season 7 being released
"[""1967""]",who wrote please daddy don't get drunk this christmas
"[""August 17, 2018""]",who is the first caption of indian team
"[""12""]",which is the capital city of sri lanka
"[""1981""]",where did moe get the names for their food
"[""constitutional republic""]",when was the last time newcastle won the fa cup
"[""State governments""]",who sang i am dreaming of a white christmas
"[""2017""]",pitt players in the nfl hall of fame
"[""1981""]",whats the clown's name in house of 1000 corpses
"[""July 16, 2017""]",the 3 types of customers in the nps model
"[""2017""]",when was bring it on fight to the finish filmed
"[""Spanish""]",who plays jason on friday the 13th 2009
"[""four""]",where does i am princess x take place
"[""Thurl Ravenscroft""]",the book that describes how christ fulfills the function of a priest is
"[""Welton Academy""]",who were the scientists who developed the cell theory
"[""George Hudson""]",the secondary bronchi that branch off the primary bronchi are also called
"[""Australia""]",who plays oliver queen's mom in arrow
"[""December 15, 2017""]",what are the products that result from the light reactions of photosynthesis
"[""12""]",annual salary for the president of the united states
"[""1,089 sq ft""]",when did mine that bird win the kentucky derby
"[""ground state""]",what metric unit is used to describe the mass of an object
"[""ice caps""]",mountain ranges can uplift on these types of faults
"[""Australia""]",when did the first pretty little liars air
"[""Anil Kumar Jha""]",when did the lion king first come out
"[""179""]",who played lead guitar on sweet home alabama
"[""12""]",what city was the center of imperial life in the roman empire in the early fifth century
"[""42""]",who crossed the twin towers on a tightrope
"[""Australia""]",who was the sound effects guy on police academy
"[""Spectre""]",who plays king fergus in once upon a time
"[""1900""]",who said i know that i know nothing
"[""pyramidion""]",how many gold medals does usa have in olympics
"[""1974""]",who wrote the classic novel war and peace
"[""18""]",in which country is the city of bombay
"[""Lionel Messi""]",when did the united states declare war on germany
"[""2018""]",who pitched in the most major league games
"[""Australia""]",when was the movie beauty and the beast made
"[""horses""]",who's the original singer of nothing compares to you
"[""January 11, 1970""]",when did seat belts become law in australia
"[""January–July 1975""]",when does vermintide 2 come out on xbox one
"[""1982""]",when was the last time the social security cap was raised
"[""1890""]",who played mama on throw momma from the train
"[""Prince Phillip""]",who came in second place in the kentucky derby
"[""New York Yankees""]",where is the location shoot of araw gabi
"[""Ryan Guzman""]",what's the drivers name in driving miss daisy
"[""Jose Garces""]",when did arvs become available in south africa
"[""Josh Groban""]",who sang you've got the love originally
"[""China""]",how many seasons did fosters home for imaginary friends have
"[""the Ivrea Codex"",""the Apt Codex""]",who wrote if we make it through december
"[""Gabrielle Haugh""]",when did the us women's team won the world cup
"[""Australia""]",who is the #1 listened to artist on spotify
"[""Edwin Hubble""]",what part of spain is the basque region
"[""the Ivrea Codex"",""the Apt Codex""]",who sang i was kaiser bill's batman
"[""18""]",who won the us open mens final 2018
"[""Marvin Gaye""]",who sings this is my town country song
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",when did 21 cfr part 11 become effective
"[""Tuticorin (Thoothukudi)""]",who sings lead on here there and everywhere
"[""King Edward Peak""]",which country is the home of santa claus village
"[""a maroon Bristol 405""]",tremors a cold day in hell filming location
"[""James Arthur""]",where did 6 degrees of separation come from
"[""Carole King""]",who played jimmy in high school musical 3
"[""1988""]",who plays v in the movie v for vendetta
"[""A concerto""]",who sang i will do anything for love
"[""John O'Banion""]",when will luke cage season 2 be released
"[""July 16, 2017""]",when did us first land on the moon
"[""a wild Pikachu""]",when was federal capital territory relocated from lagos to abuja
"[""1984""]",what case applied the exclusionary rule to the states
"[""1974""]",what season does elena become a vampire in the vampire diaries
"[""Gabrielle Haugh""]",most td passes in a college football season
"[""Billie Jean King""]",where do the ny yankees play home games
"[""1988""]",what is the term used to describe students who are both intellectually gifted and learning disabled
"[""7""]",when was the last time the death penalty was used in the us
"[""ground state""]",dry ice (solid co2) is which type of solid
"[""a compulsory governmental insurance system""]",who is the original singer of baby i love your way
"[""2010""]",west ham players in the 1966 world cup
"[""71%""]",when was michael jordan inducted into the hall of fame
"[""pyramidion""]",who played hilda in sabrina the teenage witch
"[""Clayton Moore""]",what's the youngest age of consent in the us
"[""Atlanta–Fulton County Stadium""]",who led the turkish counterattack at chunuk bair
"[""July 16, 2017""]",where is emily from pretty little liars from
"[""Machilipatnam""]",who was the person that wrote the bible
"[""13""]",who played the dorothy in the wizard of oz
"[""Josh Groban""]",when is shadowhunters season 2 episode 17 coming out
"[""Eagles""]",what year did the last civil war vet die
"[""1980""]",who won the rugby 7 in las vegas
"[""13""]",the vascular system consists of the heart and blood vessels for the circulation of
"[""Australia""]",when does cristina yang come back in season 9
"[""1942""]",when was the last time there was a total eclipse in the united states
"[""eastward, in prograde motion""]",what are the names of the two rovers currently exploring mars
"[""1998""]",maximum effective range of a 12 gauge slug
"[""1950""]",. who among the following won the honorary award at the 1st academy awards
"[""Pom Klementieff""]",what does the e stand for in wile e coyote
"[""Alex Rodriguez""]",who won the champions trophy 2017 cricket tournament
"[""PewDiePie""]",when did the first guardians of the galaxy comic come out
"[""1984""]",how many independent states emerged after the collapse of the soviet union
"[""2018""]",who plays whiskey in the kingsman golden circle
"[""Clayton Moore""]",when did the olympics start every 2 years
"[""4""]",when was football accepted as an international sport
"[""Ryan ten Doeschate""]",who plays celia in nanny mcphee and the big bang
"[""4""]",who played the grim reaper in bill and ted's bogus journey
"[""1988""]",what country in south america has the lowest population
"[""China""]",a monomer of nucleic acids is called what
"[""video editing""]",one side effect of price ceilings is that they produce
"[""12""]",who plays claire in the time traveler's wife
"[""Christopher Robert Evans""]",who wrote the poem twinkle twinkle little star
"[""1920 to 1933""]",who is the voice for clifford the big red dog
"[""New Netherland""]",who wrote the original version of stairway to heaven
"[""Matthew Prokop""]",where did tea come from in the british empire
"[""Citytv""]",who plays the king of the hill theme song
"[""December 15, 2017""]",where is the lens of the eye located
"[""V8 engine""]",who has been appointed as the new chairman of sebi
"[""Calcium ions""]",who won group h in the world cup 2018
"[""Niagara River""]",actor who played gavin in gavin and stacey
"[""State governments""]",who played tess in transformers age of extinction
"[""Edwin Hubble""]",who won the men's singles at the australian open
"[""Alex Rodriguez""]",a larger sexually dimorphic nucleus of the medial preoptic area is the result of
"[""the Ivrea Codex"",""the Apt Codex""]",who played marjorie's nephew nick on mom
"[""10""]",who averaged a triple double in the nba
"[""Spanish""]",who played susan in the chronicles of narnia
"[""Monasteries"",""wealthy individuals"",""rulers""]",where is the common site for obtaining a pulse rate
"[""1980""]",when is season 4 of orange is the new black coming out
"[""2017""]",what do you call someone from czech republic
"[""New Netherland""]",a larger sexually dimorphic nucleus of the medial preoptic area is the result of
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when was the white house built what year
"[""1998""]",when did lebron go to his first finals
"[""In 1995""]",who plays shaun murphy's brother on the good doctor
"[""April 28, 2017""]",how many times has cristiano ronaldo won world best player
"[""King Edward Peak""]",when did kingdom hearts 1 come out in america
"[""1943""]",when did thanksgiving start as a national holiday
"[""Calcium ions""]",who sings the theme song for mcleod's daughters
"[""Prince Phillip""]",when is the predetermined manufacturing overhead rate computed
"[""Jose Garces""]",what was the first computer animated disney movie
"[""pyramidion""]",largest great white shark ever caught on rod and reel
"[""Sarabi""]",when did the old jason leave general hospital
"[""1900""]",who plays summer newman on the young and the restless
"[""V8 engine""]",when was the this is it tour supposed to start
"[""13""]",who won the battle of brice's crossroads
"[""Spanish""]",what is the song in rocky 4 training montage
"[""Evaluation and management""]",when is thanks giving in the usa 2017
"[""Atlanta–Fulton County Stadium""]",the munsters today and mcmillan & wife star john
"[""December 15, 2017""]",what is the first book of pretty little liars
"[""Meredith Willson""]",the fundamental duties of an india citizen are contained in
"[""Jason Michael Lee""]",who played the daughter of darlene on roseanne
"[""1960""]",who was considered the greatest greek warrior at the time of the trojan war
"[""1,089 sq ft""]",who sang the original version of without you
"[""John von Neumann""]",when did the first lotr movie come out
"[""San Antonio""]",who is playing alfs wife martha in home and away
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who plays james potter in the harry potter movies
"[""those that have died""]",who ordered the death of the knights templar
"[""Jason Michael Lee""]",where is the density of an atom concentrated
"[""V8 engine""]",when do kurt and blaine get back together in season 4
"[""Sachin Tendulkar""]",where is el paso texas located in texas
"[""Barbicide""]",in which direction did the winds of the north atlantic blow
"[""December 15, 2017""]",where's the peach bowl being played at
"[""1950""]",who is the little girl dancing in sia videos
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who built the first train in the world
"[""Marvin Gaye""]",who won the mens money in the bank match
"[""a compulsory governmental insurance system""]",who has the 6th largest economy in the world
"[""in 2018""]",who wrote the book the count of monte cristo from 1844
"[""Lake Baikal""]",current board of governors of the federal reserve
"[""King Edward Peak""]",colombo is in which state of sri lanka
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when did the little mermaid 3 come out
"[""Molt Taylor""]",what is the next marvel movie after civil war
"[""Anderson Silva""]",who established the first public school for deaf in america
"[""9""]",who's the owner of the houston texans
"[""University of South Carolina""]",who introduced the concept of providing alu in the computer system
"[""a wild Pikachu""]",who is credited with deriving the electronegativity values of the periodic table
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who plays veronica lodge's mom on riverdale
"[""2–4 years""]",who sang original i put a spell on you
"[""October 10, 2017""]",where did red cross the border in shawshank
"[""Matthew Prokop""]",who started the slogan of right to work in france
"[""18 August 2011""]",who wrote its all coming back to me now
"[""1,089 sq ft""]",who did kansas city royals play in the world series
"[""2024""]",when does season 2 of the dragon prince come on netflix
"[""Edwin Hubble""]",who does elena end up with damon or stefan
"[""10""]",who played jill abbott on the young and the restless
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when did the french start the panama canal
"[""1998""]",who is the leader of ruling party in the lok sabha
"[""Marvin Gaye""]",first country to declare independence from the soviet union
"[""the axon terminal""]",when did man utd last win the premier league
"[""San Antonio""]",what can change the binding properties of a protein
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",when does pam come back to the office
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",who was the first us president to be assassinated
"[""2010""]",who has the most stage wins in tour de france
"[""January 11, 1970""]",what was in the pie in the movie the help
"[""Anil Kumar Jha""]",who is the original winnie the pooh voice
"[""Mexico"",""Soviet Union""]",when was the world wide web made public
"[""2000""]",arabian sea is the part of which ocean
"[""Edwin Hubble""]",when does school leaving age change to 18
"[""video editing""]",who pitched in the most major league games
"[""1988""]",what is an eye in hand maids tale
"[""1962""]",the first editor of the assamese periodical magazine jonaki
"[""New York Yankees""]",who has more el clasico goals messi or ronaldo
"[""42""]",who played drums on i was made for lovin you
"[""42""]",when was ellis island made into a museum
"[""Niagara River""]",what is the 1st lord of the rings movie
"[""A concerto""]",the cat in the hat boy and girl
"[""179""]",what are four functions of the cell or plasma membrane
"[""New York Yankees""]",who does bob's voice from bob's burgers
"[""Atlanta–Fulton County Stadium""]",brooklyn nine nine season 5 episode 6 release
"[""Meredith Willson""]",where did gb come in the 2012 olympics
"[""New Netherland""]",starch based food to be made into plastic
"[""John O'Banion""]",how many books are there for my hero academia
"[""17""]",where is the story of david found in the bible
"[""to perceive linear acceleration""]",when did the puritans land in north america
"[""originally from the Greek""]",who has sold the most albums worldwide ever
"[""1962""]",where is the big brother house located in south africa
"[""10""]",most up to date version of mac os
"[""Thurl Ravenscroft""]",what was the original language of the new testament
"[""Ryan Guzman""]",what is the meaning of ips in police
"[""Mars Bonfire""]",name the world's largest riverine island formed by brahmaputra
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",where can barium be found in the world
"[""2015""]",who is singing in the background of gold digger
"[""May 5, 1992""]",when did the packers play at camp randall
"[""Jason Michael Lee""]",who has the most number of grammy awards
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",where did the st valentine's massacre happen
"[""Australia""]",what is the zip code for downtown dallas texas
"[""in 2018""]",when did mcdonald's come to new zealand
"[""1792""]",roles and functions of the south african reserve bank
"[""PewDiePie""]",average number of paid holidays per year in us
"[""Spanish""]",who does jim carrey play in the grinch
"[""2–4 years""]",who is given the special gift of infallibility
"[""six""]",german scientist that discovered cells come from preexisting cells
"[""a wild Pikachu""]",what is n and c terminus in protein
"[""1939""]",who is the only bowler to have taken hattrick in both innings of a test match
"[""2017""]",who led the colonists at lexington and concord
"[""Monasteries"",""wealthy individuals"",""rulers""]",where does the show the goldbergs take place
"[""Saleisha Stowers""]",when did jersey shore family vacation episode 3 air
"[""Jimmy Cliff""]",who sang i was kaiser bill's batman
"[""John O'Banion""]",who plays young lily bass in gossip girl
"[""Anderson Silva""]",who plays emily's mom in pitch perfect
"[""2017""]",who are the quad city river bandits affiliated with
"[""1967""]",what is the newest version of cards against humanity
"[""Prince Phillip""]",what are the dots on a domino called
"[""18""]",what is the full name of the president of ghana
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when does the star wars disney park open
"[""Clemson\n1""]",who stated that there is an exchange of materials when two objects come into contact with each other
"[""May 5, 1992""]",when did i'm a celebrity first start
"[""the axon terminal""]",what is the normal vision of human eye
"[""Eli Marienthal""]",what is emily last name in a rose for emily
"[""US$500""]",what is the repetition of a word called
"[""Monasteries"",""wealthy individuals"",""rulers""]",who plays emily in the devil wears prada
"[""2018""]",how many times has arsene wenger won the fa cup
"[""Monasteries"",""wealthy individuals"",""rulers""]",who crossed the alps and invaded italy with an army of elephants during the second punic war
"[""Australia""]",who is the actor who played opie on sons of anarchy
"[""Jimmy Cliff""]",where did they film a good day to die hard
"[""Australia""]",when is season eight of shameless coming on
"[""the Cambrian explosion""]",who sang you don't know me first
"[""Lake Baikal""]",where did the umayyads move the capital of the muslim empire
"[""Christopher Robert Evans""]",the three basic types of protein fibers found in connective tissue are
"[""redox reactions""]",when was the world council of churches formed
"[""Lionel Messi""]",when was the last time ku won the championship
"[""US$500""]",who sings it must have been love in pretty woman
"[""Billie Jean King""]",who won the wimbledon women's singles title in 2017
"[""Phillip Alford""]",whose 47-ball century against england was the only hundred of the main world t20 competition
"[""18 August 2011""]",who has the most assist in nba history
"[""December 15, 2017""]",what is the location of mars in the solar system
"[""copper""]",when did the movie the greatest show man come out
"[""December 15, 2017""]",what was the number 1 song in january 2006
"[""179""]",song how sweet it is to be loved by you lyrics
"[""Over 2,500""]",when is the new mary poppins movie released
"[""Jose Garces""]",which city is known as pearl city of india
"[""10""]",when did the new mama mia come out
"[""Marvin Gaye""]",when did the lyrics to o canada change
"[""PewDiePie""]",who won the women's world rugby cup 2017
"[""John O'Banion""]",when does the tv show good doctor start
"[""after a minor infringement""]",who are the voices on the phone walking dead
"[""1980""]",when does the war of the planet of the apes start
"[""Barbicide""]",where did its a wonderful life take place
"[""Lebanese""]",when will silver line to dulles be finished
"[""Islamic prophet Muhammad""]",inclusion bodies formation of syncytia and change in cell shape are examples of
"[""Ireland""]",when was the last time newcastle won the fa cup
"[""Saddam Hussein""]",who plays dr k on this is us
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",when does to kill a mocking bird take place
"[""1967""]",when does criminal minds season 13 finale air
"[""13""]",who sang the original i'll be there
"[""Machilipatnam""]",who played helen on life of the party
"[""2009""]",when did the draft start for world war 2
"[""13""]",who sang if you cant give me love
"[""Spectre""]",what is the term for a leavened arabic flat bread
"[""Parafollicular cells""]",who sang the original version of without you
"[""1967""]",who is the coach of arizona state men's basketball
"[""December 15, 2017""]",what day is the football hall of fame game on
"[""Jason Michael Lee""]",how many floors does hamleys regent street have packed full of toys
"[""October 10, 2017""]",what is the c for on football jerseys
"[""Welton Academy""]",who wrote song take me out to the ballgame
"[""May 5, 1992""]",who does the voice of woody woodpecker the movie
"[""2017""]",in poland the movement against communism was led by
"[""1998""]",when was the united states capitol building built
"[""1962""]",who wins season 10 of hell's kitchen
"[""pyramidion""]",who is the hawaiian god of the sea
"[""Alex Rodriguez""]",where does a cell obtain the energy for active transport
"[""ice caps""]",when did fa cup semi finals move to wembley
"[""to perceive linear acceleration""]",a memorial commemorating the landing of the 1820 settlers
"[""Jason Michael Lee""]",which microorganisms cause mycobacterium avium complex (mac) infection
"[""Monasteries"",""wealthy individuals"",""rulers""]",where did the church of latter day saints originated
"[""Jason Michael Lee""]",what is the meaning of yellow card in fifa
"[""V8 engine""]",the three basic types of protein fibers found in connective tissue are
"[""179""]",who wrote may the bird of paradise fly up your nose
"[""Mary Kate Schellhardt""]",who sang the original song angel of the morning
"[""179""]",when is the last time the browns went to the playoffs
"[""35""]",what was the score of the 1958 world cup
"[""six""]",when did democratic rule come to an end in myanmar
"[""Meredith Willson""]",where was avril lavigne's head above water video filmed
"[""Welton Academy""]",who sings lead on here there and everywhere
"[""Billie Jean King""]",who played ed gibb on 8 simple rules
"[""1998""]",who wrote take me out to the old ball game
"[""Shirley Mae Jones""]",who plays professor proton on big bang theory
"[""Lebanese""]",when does an occurrence at owl creek bridge take place
"[""ice caps""]",. who among the following won the honorary award at the 1st academy awards
"[""in 2018""]",who threw off the rule of the mongols
"[""a compulsory governmental insurance system""]",who was responsible for green revolution in india
"[""17""]",how many rooms are in the gaylord texan
"[""March 15, 2013""]",who played mr big on sex and the city
"[""2018""]",who sang i've got a brand new pair of roller skates
"[""August 27, 2017""]",the count of monte cristo takes place in
"[""Josh Groban""]",when does the new show legacies come out
"[""1980""]",when are the olympics coming to the us
"[""Niagara River""]",when will game of thrones season 7 will be aired
"[""video editing""]",when did galway last win all ireland hurling final
"[""18""]",game of thrones - season 7 release date
"[""Sarabi""]",who sang grease is the word in the movie
"[""video editing""]",what was the cause of the black death in europe
"[""1974""]",who is playing for college football national championship
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who wrote the letter to the hebrews in the bible
"[""Anil Kumar Jha""]",when did the nec first introduce afci protection to the code
"[""ice caps""]",who is the actor who plays joffrey in game of thrones
"[""Elstree Studios""]",when did the first ipod video come out
"[""Meredith Willson""]",who is mrs potts in beauty and the beast 2017
"[""Clayton Moore""]",what does the tv station hln stand for
"[""Zone Improvement Plan""]",how many puppies did the mom have in 101 dalmatians
"[""Molt Taylor""]",who is the starting quarterback for the seattle seahawks
"[""1960""]",when was the us department of defense established
"[""18""]",where did smokey the bear live after the fire
"[""1984""]",where does brian's dad live in the book hatchet
"[""35""]",what type of wire is used in generators
"[""Anderson Silva""]",who is the most awarded singer of all time
"[""Thurl Ravenscroft""]",who won the first bbc sports personality of the year
"[""Ryan Guzman""]",what is the bridge in saturday night fever
"[""2015""]",who wrote i put a spell on you lyrics
"[""E. M. Forster""]",who won the fights between ali and frazier
"[""University of South Carolina""]",when did they take prayer out of schools
"[""Jason Michael Lee""]",when does nhl 2018 19 schedule come out
"[""35""]",what's the name of the little rascals dog
"[""10""]",who played carrie in days of our lives
"[""1792""]",what was the cat called in hong kong phooey
"[""in 2018""]",who sings i wanna be like you jungle book 2016
"[""in 2018""]",where do i get chips at a casino
"[""Mars Bonfire""]",greenland is a dependency of what european country
"[""E. M. Forster""]",who won the popular vote in the election of 1824
"[""Niagara River""]",why is messenger rna (mrna) vital to the cell
"[""4""]",when did man city enter the premier league
"[""1998""]",last team to win fa cup not in top division
