Entity,Year,Deaths
Drought,1988,381.0
Drought,1928,73.0
Earthquake,1995,22645.0
Earthquake,1960,7664.0
Earthquake,1931,27884.0
Earthquake,1982,9082.0
Earthquake,1960,14739.0
Earthquake,1979,269.0
Earthquake,1975,415.0
Earthquake,1947,458.0
Earthquake,1968,2642084.0
Earthquake,1954,28325.0
Earthquake,1945,10586.0
Earthquake,1993,1313.0
Earthquake,1962,195.0
Earthquake,1955,501.0
Earthquake,1937,521.0
Earthquake,1951,12997.0
Earthquake,1938,45348.0
Earthquake,1902,3363.0
Earthquake,1908,27083.0
Earthquake,1953,7251.0
Earthquake,1941,1605.0
Earthquake,1928,195997.0
Earthquake,1952,8489.0
Earthquake,1918,9045.0
Earthquake,2001,37849.0
Earthquake,1954,1814488.0
Earthquake,1931,18922.0
Earthquake,1963,3053.0
Earthquake,1905,23666.0
Earthquake,1925,76860.0
Earthquake,1913,8485.0
Earthquake,1972,2736.0
Earthquake,1932,352.0
Earthquake,1947,24119.0
Earthquake,1902,975.0
Earthquake,1919,7205.0
Earthquake,1992,82233.0
Earthquake,1922,1617.0
Earthquake,1972,3555.0
Earthquake,1991,249.0
Earthquake,1902,56301.0
Earthquake,1998,37476.0
Earthquake,2007,115.0
Earthquake,1932,312.0
Earthquake,1931,397.0
Earthquake,1969,9931.0
Earthquake,1937,3521.0
Earthquake,2015,3278.0
Earthquake,1914,5761.0
Earthquake,1996,23055.0
Earthquake,2017,365.0
Earthquake,1992,1777246.0
Earthquake,1949,56857.0
Earthquake,1912,40196.0
Earthquake,2009,1143.0
Earthquake,1914,3079.0
Earthquake,1906,257.0
Earthquake,1930,584.0
Earthquake,1973,6635.0
Earthquake,1990,338.0
Earthquake,1981,1628.0
Earthquake,2002,2803.0
Earthquake,1973,68122.0
Earthquake,1905,1742.0
Earthquake,1944,2882.0
Earthquake,1965,20932.0
Earthquake,1944,549.0
Earthquake,1946,6886.0
Earthquake,2015,10506.0
Earthquake,1912,4096.0
Earthquake,2016,102.0
Earthquake,1901,2209.0
Earthquake,1902,2603.0
Earthquake,1956,1395.0
Earthquake,1999,83.0
Earthquake,1963,1817.0
Earthquake,1999,2795.0
Earthquake,1907,292539.0
Earthquake,1959,20573.0
Earthquake,1949,383.0
Earthquake,1940,39787.0
Earthquake,1988,400.0
Earthquake,1947,48.0
Earthquake,1930,73518.0
Earthquake,1907,468973.0
Earthquake,2007,231621.0
Earthquake,1952,214442.0
Epidemic,1983,47.0
Epidemic,1950,154.0
Epidemic,1966,22.0
Epidemic,2007,35.0
Epidemic,1929,589.0
Epidemic,1939,330.0
Epidemic,2016,61328.0
Epidemic,1905,5140.0
Epidemic,1967,624307.0
Epidemic,1982,123756.0
Epidemic,2015,114.0
Epidemic,2002,61192.0
Epidemic,1927,1710.0
Epidemic,1957,2953.0
Epidemic,1916,273.0
Epidemic,1951,2516.0
Epidemic,2007,1793.0
Epidemic,1999,5031.0
Epidemic,1959,1516.0
Epidemic,1906,56155.0
Epidemic,1957,139.0
Epidemic,1976,116368.0
Epidemic,1991,688.0
Epidemic,1945,676.0
Epidemic,1984,154.0
Epidemic,1985,7736.0
Epidemic,1971,664.0
Epidemic,1990,1647.0
Epidemic,1997,10446.0
Epidemic,2010,84.0
Epidemic,1966,12242.0
Epidemic,1920,1157.0
Epidemic,1933,7607.0
Epidemic,2014,17177.0
Epidemic,1952,213.0
Epidemic,1925,251020.0
Epidemic,1910,1195.0
Epidemic,1964,22.0
Epidemic,2006,2458.0
Epidemic,1940,115675.0
Epidemic,1963,1142.0
Epidemic,1949,143525.0
Epidemic,1908,6668.0
Epidemic,1939,18428.0
Epidemic,1949,11506.0
Epidemic,1900,52.0
Epidemic,1970,23.0
Epidemic,2000,5338.0
Epidemic,1948,3010.0
Epidemic,1947,410099.0
Epidemic,1942,639705.0
Epidemic,1973,136355.0
Epidemic,1933,209.0
Epidemic,1999,11049.0
Epidemic,1960,124.0
Epidemic,2003,952.0
Epidemic,1945,5418.0
Epidemic,2016,10734.0
Epidemic,1942,21554.0
Epidemic,1901,73780.0
Epidemic,1923,56244.0
Epidemic,1977,39327.0
Epidemic,1915,27705.0
Epidemic,1903,375.0
Epidemic,1978,237.0
Epidemic,1944,147.0
Epidemic,1901,4415.0
Epidemic,1935,10463.0
Epidemic,1916,351.0
Epidemic,1948,225506.0
Epidemic,1983,11726.0
Epidemic,1936,2573.0
Epidemic,1932,25453.0
Epidemic,1966,5642.0
Epidemic,1938,1554.0
Epidemic,1952,3249.0
Epidemic,2009,113391.0
Epidemic,1920,971.0
Epidemic,1918,5921.0
Epidemic,1952,6208.0
Epidemic,1976,439.0
Epidemic,1949,2465.0
Epidemic,1956,4163.0
Epidemic,2002,151.0
Epidemic,1958,121.0
Epidemic,1935,20529.0
Epidemic,2008,14328.0
Extreme temperature,1981,252.0
Extreme temperature,1917,204.0
Extreme temperature,1944,8815.0
Extreme temperature,1949,261.0
Extreme temperature,1943,138.0
Extreme temperature,1915,2938.0
Extreme temperature,1910,84.0
Extreme temperature,1984,72.0
Extreme temperature,1947,5346.0
Extreme temperature,1967,310.0
Extreme temperature,1949,54.0
Extreme temperature,1950,217.0
Extreme temperature,1944,170.0
Extreme temperature,1956,43.0
Extreme temperature,1928,660.0
Extreme temperature,1909,2609.0
Extreme temperature,1984,770.0
Extreme temperature,2017,311.0
Extreme temperature,1953,552.0
Extreme temperature,1984,2602.0
Extreme temperature,2009,858.0
Extreme temperature,1988,692.0
Extreme temperature,1944,239.0
Extreme temperature,1997,58185.0
Extreme temperature,1940,1971.0
Extreme temperature,1965,400.0
Extreme temperature,1927,118.0
Extreme temperature,1968,831.0
Extreme temperature,1954,1912.0
Extreme temperature,1910,55.0
Extreme temperature,1999,2143.0
Extreme temperature,1904,570.0
Extreme temperature,1929,826.0
Extreme temperature,1997,514.0
Extreme temperature,1947,297.0
Extreme temperature,1936,1397.0
Extreme temperature,1984,108.0
Extreme temperature,1986,111.0
Extreme temperature,1902,314.0
Extreme temperature,1988,118.0
Extreme temperature,1994,1413.0
Extreme temperature,2013,42.0
Extreme temperature,1964,12.0
Extreme temperature,1958,348.0
Extreme temperature,2002,1.0
Extreme temperature,1932,270.0
Extreme temperature,1959,53.0
Extreme temperature,2007,1674.0
Extreme temperature,1937,1302.0
Extreme temperature,1932,286.0
Extreme temperature,1947,700.0
Extreme temperature,1974,5549.0
Extreme temperature,1974,5548.0
Extreme weather,1970,484.0
Extreme weather,1956,1284.0
Extreme weather,1940,2141.0
Extreme weather,1952,6456.0
Extreme weather,1904,32026.0
Extreme weather,1984,36856.0
Extreme weather,1943,1621.0
Extreme weather,1962,5515.0
Extreme weather,2015,18078.0
Extreme weather,1940,4417.0
Extreme weather,1978,38983.0
Extreme weather,2006,3441.0
Extreme weather,1944,2150.0
Extreme weather,1935,3126.0
Extreme weather,1975,1435.0
Extreme weather,1988,1152.0
Extreme weather,1950,1518.0
Extreme weather,2011,28044.0
Extreme weather,2003,1801.0
Extreme weather,1992,1336.0
Extreme weather,1979,7454.0
Extreme weather,1901,851.0
Extreme weather,2002,24788.0
Extreme weather,1928,4550.0
Extreme weather,1989,35323.0
Extreme weather,1994,4777.0
Extreme weather,2016,237.0
Extreme weather,2015,221.0
Extreme weather,2008,3617.0
Extreme weather,1900,4276.0
Extreme weather,2013,31841.0
Extreme weather,1909,11944.0
Extreme weather,1906,20395.0
Extreme weather,1964,1626.0
Extreme weather,2010,4031.0
Extreme weather,1979,831.0
Extreme weather,2008,2926.0
Extreme weather,1995,3847.0
Extreme weather,1984,4648.0
Extreme weather,1941,111983.0
Extreme weather,1985,115.0
Extreme weather,1997,13613.0
Extreme weather,1945,5189.0
Extreme weather,1918,6572.0
Extreme weather,1999,13387.0
Extreme weather,1914,210399.0
Extreme weather,1910,1636.0
Extreme weather,1976,642.0
Extreme weather,1901,1644.0
Extreme weather,1922,14893.0
Extreme weather,1983,6611.0
Extreme weather,1900,144.0
Extreme weather,1945,14854.0
Extreme weather,2000,776.0
Extreme weather,1934,3014.0
Extreme weather,1929,2338.0
Extreme weather,1991,407.0
Extreme weather,1960,3117.0
Extreme weather,1922,1695.0
Extreme weather,1935,1760.0
Extreme weather,1938,4440.0
Extreme weather,1998,1795.0
Extreme weather,1933,1604.0
Extreme weather,1967,7703.0
Extreme weather,1968,112746.0
Extreme weather,1946,17532.0
Extreme weather,1944,424.0
Extreme weather,2013,1072.0
Extreme weather,1950,12760.0
Extreme weather,1943,21751.0
Extreme weather,1929,3716.0
Extreme weather,1923,1774.0
Extreme weather,1930,797.0
Extreme weather,1959,2986.0
Extreme weather,2001,866.0
Extreme weather,1912,1408.0
Extreme weather,1937,1696.0
Extreme weather,1927,1009.0
Extreme weather,1949,153990.0
Extreme weather,1921,1799.0
Extreme weather,1952,119.0
Extreme weather,1937,12865.0
Extreme weather,1919,1794.0
Extreme weather,1967,9820.0
Extreme weather,1975,10557.0
Extreme weather,1907,815.0
Extreme weather,1904,2164.0
Extreme weather,1910,10612.0
Extreme weather,2003,7397.0
Extreme weather,1982,42032.0
Extreme weather,2017,1218.0
Extreme weather,1919,1232.0
Extreme weather,1961,663.0
Extreme weather,1972,421.0
Extreme weather,2001,139.0
Extreme weather,1971,4599.0
Extreme weather,1970,10509.0
Extreme weather,1970,13973.0
Flood,1930,475.0
Flood,1948,61687.0
Flood,1928,13284.0
Flood,1909,661.0
Flood,1915,8762.0
Flood,1960,29204.0
Flood,2005,12965.0
Flood,1913,389294.0
Flood,1988,4769.0
Flood,1917,1135.0
Flood,1961,8286.0
Flood,1948,63950.0
Flood,1913,7707.0
Flood,2015,12518.0
Flood,1938,429.0
Flood,1914,21122.0
Flood,1918,1165.0
Flood,1940,1988.0
Flood,1941,3503.0
Flood,1983,1018.0
Flood,2009,309.0
Flood,1955,1405.0
Flood,1916,1266.0
Flood,1939,7673.0
Flood,1913,3726.0
Flood,1901,10155.0
Flood,1916,164345.0
Flood,2010,84.0
Flood,1929,3388.0
Flood,1964,102396.0
Flood,1975,50098.0
Flood,1998,2676.0
Flood,2000,53232.0
Flood,1987,13812.0
Flood,1921,1573.0
Flood,2012,725.0
Flood,1956,31085.0
Flood,2000,2240.0
Flood,1947,4164.0
Flood,1954,31.0
Flood,1981,597.0
Flood,1925,14477.0
Flood,1913,11301.0
Flood,1925,115636.0
Flood,1954,4558.0
Flood,1944,389.0
Flood,1934,1313.0
Flood,1950,3737.0
Flood,1989,521.0
Flood,1972,37855.0
Flood,1925,2455.0
Flood,1964,14969.0
Flood,1930,2040.0
Flood,1955,10479.0
Flood,1953,45977.0
Flood,1944,60.0
Flood,1933,772.0
Flood,1952,1868.0
Flood,1915,189072.0
Flood,1947,9741.0
Flood,2012,67855.0
Flood,1904,356.0
Flood,1905,8692.0
Flood,1943,14754.0
Flood,1976,16088.0
Flood,1948,4426.0
Flood,1918,39774.0
Flood,2009,1038.0
Flood,2015,1552.0
Flood,1936,4983.0
Flood,1985,1362.0
Flood,1932,1075.0
Flood,1928,20857.0
Flood,1914,11189.0
Flood,2013,2482.0
Flood,1910,593.0
Flood,1920,7629.0
Flood,2005,7367.0
Flood,1947,54070.0
Flood,1994,5750.0
Flood,1931,4548.0
Flood,1999,2110.0
Flood,1960,84391.0
Flood,1901,126.0
Flood,1960,11112.0
Flood,1942,1556.0
Flood,2000,3921.0
Flood,2002,78.0
Flood,1999,16057.0
Flood,1907,12212.0
Flood,1905,503.0
Flood,1993,55991.0
Landslide,1983,176.0
Landslide,1978,1066.0
Landslide,1941,65.0
Landslide,1984,1177.0
Landslide,1974,1017.0
Landslide,1912,643.0
Landslide,1996,108.0
Landslide,1920,253.0
Landslide,1970,95.0
Landslide,1921,215.0
Landslide,1993,348.0
Landslide,1919,149.0
Landslide,2007,1408.0
Landslide,1968,957.0
Landslide,1971,166.0
Landslide,1927,1654.0
Landslide,1937,562.0
Landslide,1950,225.0
Landslide,2007,279.0
Landslide,1935,493.0
Landslide,1969,292.0
Landslide,1964,3817.0
Landslide,2015,19.0
Landslide,1946,1213.0
Landslide,1922,546.0
Landslide,1911,188.0
Landslide,1940,521.0
Landslide,1936,1768.0
Landslide,1976,144.0
Landslide,1937,599.0
Landslide,2001,687.0
Landslide,1905,148.0
Landslide,1999,196.0
Landslide,1998,205.0
Landslide,1998,122.0
Landslide,1996,159.0
Landslide,1927,114.0
Landslide,1906,149.0
Landslide,1946,410.0
Landslide,1985,44.0
Landslide,1999,1022.0
Landslide,1963,132.0
Landslide,1920,1610.0
Landslide,1991,190.0
Landslide,1924,3719.0
Landslide,1988,235.0
Landslide,2009,276.0
Landslide,1960,183.0
Landslide,1905,215.0
Landslide,1944,239.0
Landslide,1971,926.0
Landslide,1973,86.0
Landslide,2000,1490.0
Landslide,1974,162.0
Landslide,1967,285.0
Landslide,1947,1458.0
Landslide,1918,246.0
Landslide,1952,205.0
Landslide,1967,1660.0
Landslide,1985,2394.0
Landslide,1980,470.0
Landslide,1954,1990.0
Landslide,1938,168.0
Landslide,1995,62.0
Landslide,1976,932.0
Landslide,2014,273.0
Landslide,1961,195.0
Landslide,1951,827.0
Landslide,1915,22210.0
Landslide,2009,184.0
Landslide,1938,161.0
Landslide,1986,317.0
Landslide,1959,532.0
Landslide,1954,243.0
Landslide,1991,499.0
Landslide,2006,750.0
Landslide,1929,820.0
Landslide,1901,161.0
Landslide,2014,77.0
Landslide,1979,3239.0
Landslide,1952,715.0
Landslide,1928,295.0
Landslide,1977,2203.0
Landslide,1994,137.0
Landslide,1996,1190.0
Landslide,1994,297.0
Landslide,2010,70.0
Landslide,1960,351.0
Landslide,1991,358.0
Landslide,1982,268.0
Landslide,1967,75.0
Landslide,2002,1049.0
Landslide,1918,2822.0
Mass movement (dry),1979,42.0
Mass movement (dry),1984,97.0
Mass movement (dry),1915,45.0
Mass movement (dry),1911,13.0
Mass movement (dry),1992,25.0
Mass movement (dry),1999,71.0
Mass movement (dry),1931,30.0
Mass movement (dry),1929,30.0
Mass movement (dry),1976,167.0
Mass movement (dry),1983,1712.0
Mass movement (dry),1970,9.0
Mass movement (dry),1968,159.0
Mass movement (dry),1955,72.0
Mass movement (dry),1938,88.0
Mass movement (dry),1931,21.0
Mass movement (dry),2001,51.0
Mass movement (dry),1988,105.0
Mass movement (dry),1964,157.0
Mass movement (dry),1996,15.0
Mass movement (dry),1999,28.0
Mass movement (dry),1943,32.0
Mass movement (dry),1973,85.0
Mass movement (dry),1986,232.0
Mass movement (dry),1901,9.0
Mass movement (dry),1937,301.0
Mass movement (dry),1924,30.0
Mass movement (dry),1992,76.0
Mass movement (dry),1982,75.0
Mass movement (dry),1944,37.0
Mass movement (dry),1911,75.0
Mass movement (dry),1985,37.0
Volcanic activity,1927,2.0
Volcanic activity,1901,8029.0
Volcanic activity,1946,554.0
Volcanic activity,1919,1307.0
Volcanic activity,1999,93.0
Volcanic activity,2001,525.0
Volcanic activity,2010,41.0
Volcanic activity,1929,142.0
Volcanic activity,1908,1172.0
Volcanic activity,1925,848.0
Volcanic activity,1994,1.0
Volcanic activity,1943,155.0
Volcanic activity,1997,23.0
Volcanic activity,1904,889.0
Volcanic activity,1967,21.0
Volcanic activity,1982,5.0
Volcanic activity,1982,552.0
Volcanic activity,1998,7874.0
Volcanic activity,1909,45.0
Volcanic activity,2004,885.0
Volcanic activity,1989,1.0
Volcanic activity,1996,203.0
Volcanic activity,1915,522.0
Volcanic activity,2013,3.0
Volcanic activity,1909,1916.0
Volcanic activity,1911,1503.0
Volcanic activity,1998,443.0
Volcanic activity,1967,12.0
Volcanic activity,1949,12588.0
Volcanic activity,1997,50.0
Volcanic activity,2013,3445.0
Volcanic activity,1953,47.0
Volcanic activity,1914,89.0
Volcanic activity,1984,983.0
Volcanic activity,1925,1505.0
Volcanic activity,1904,14.0
Volcanic activity,1978,475473.0
Volcanic activity,1920,3.0
Volcanic activity,2013,105.0
Volcanic activity,1991,36.0
Volcanic activity,1901,34.0
Volcanic activity,1963,391.0
Volcanic activity,2014,540.0
Volcanic activity,2010,9.0
Volcanic activity,2007,14.0
Volcanic activity,1977,1789.0
Volcanic activity,1918,3850.0
Volcanic activity,1948,7.0
Volcanic activity,2004,3713.0
Volcanic activity,1905,2731.0
Volcanic activity,1943,1424.0
Volcanic activity,1908,1.0
Volcanic activity,1937,635.0
Volcanic activity,2014,31.0
Volcanic activity,1942,1.0
Volcanic activity,2006,29.0
Volcanic activity,1922,1267.0
Volcanic activity,1957,227.0
Volcanic activity,1984,927.0
Wildfire,1919,31.0
Wildfire,1913,55.0
Wildfire,1957,128.0
Wildfire,1912,103.0
Wildfire,1960,17.0
Wildfire,1970,12.0
Wildfire,1932,28.0
Wildfire,1962,57.0
Wildfire,1933,37.0
Wildfire,1948,32.0
Wildfire,1942,48.0
Wildfire,1944,26.0
Wildfire,1951,16.0
Wildfire,1969,18.0
Wildfire,1991,23.0
Wildfire,1949,52.0
Wildfire,1928,255.0
Wildfire,1945,111.0
Wildfire,1996,14.0
Wildfire,1908,283.0
Wildfire,1951,143.0
Wildfire,1915,9.0
Wildfire,1928,393.0
Wildfire,1946,23.0
Wildfire,1993,113.0
Wildfire,1924,113.0
Wildfire,2009,2.0
Wildfire,2000,52.0
Wildfire,1948,31.0
Wildfire,2003,20.0
Wildfire,1914,55.0
Wildfire,1986,235.0
Wildfire,1934,76.0
Wildfire,1942,74.0
Wildfire,1921,15.0
Wildfire,1981,8.0
Wildfire,1963,62.0
Wildfire,1930,376.0
Wildfire,2007,275.0
Wildfire,1982,27.0
Wildfire,1953,34.0
Wildfire,1913,6.0
Wildfire,1947,49.0
Wildfire,1918,9.0
Wildfire,1929,33.0
Wildfire,1931,170.0
Wildfire,1979,18.0
Wildfire,1921,30.0
Wildfire,2004,199.0
Wildfire,1996,6.0
Wildfire,1962,455.0
Wildfire,1979,22.0
Wildfire,1972,52.0
Wildfire,1900,349.0
Wildfire,1998,12.0
Wildfire,1961,40.0
Wildfire,1942,335.0
