answer,question
"[""James Arthur""]",the team won the 3rd edition of hockey india league was
"[""the Ivrea Codex"",""the Apt Codex""]",who plays kim kelly on freaks and geeks
"[""2018""]",who has the most wins at le mans
"[""after a minor infringement""]",when did the song why by nf come out
"[""9""]",when did the new mama mia come out
"[""1,089 sq ft""]",where was the movie the last song filmed
"[""12""]",who's the voice of meg in hercules
"[""12""]",who sings the theme song for that 70's show
"[""Ryan ten Doeschate""]",who wrote sorry not sorry by demi lovato
"[""2010""]",who wrote the poem twinkle twinkle little star
"[""1981""]",who sang i got my eyes on you
"[""July 16, 2017""]",when does season 4 of last man on earth
"[""Gabrielle Haugh""]",how many episodes are in the carrie diaries season 2
"[""1981""]",largest and deepest freshwater lake in the world
"[""1980""]",what was the name of the mouse in the movie the green mile
"[""2017""]",who wrote the gold coast suns theme song
"[""A mood swing""]",star cast of kuch tum kaho kuch hum kahein
"[""Zaira Wasim""]",when was the last time germany went out in group stages
"[""John O'Banion""]",when did wonder woman start using a shield
"[""Greek""]",what is the term for a leavened arabic flat bread
"[""12""]",where do they film the royals on e
"[""Monasteries"",""wealthy individuals"",""rulers""]",when does last 50 shades darker come out
"[""eastward, in prograde motion""]",when did the bengals last make the playoffs
"[""four""]",how many episodes in season 1 of the oc
"[""1962""]",what was the name of the skunk in bambi
"[""12""]",where was the film all the money in the world filmed
"[""Queen's Park""]",who wrote the song if i were a rich man
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",the scientific name for the african elephant is loxodonta africana. what is the species name
"[""eastward, in prograde motion""]",who is the actor who plays joffrey in game of thrones
"[""Lebanese""]",when did the song burning love come out
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who do robert griffin the third play for in the nfl
"[""Citytv""]",top 10 highest grossing movies of all time
"[""March 25, 2011""]",who played joe in the facts of life
"[""13""]",what was the mouse called in green mile
"[""Gal Gadot""]",when did stephen curry become an all star
"[""October 10, 2017""]",which is the largest river island in india
"[""2018""]",what part of the brain controls the endocrine system
"[""Parafollicular cells""]",who does loretta's voice on family guy
"[""Alex Rodriguez""]",describe how soil damage due to salinity could be reduced
"[""Niagara River""]",who plays spike in buffy the vampire slayer
"[""2015""]",who wrote the theme song to sanford and son
"[""7""]",who did the voice of the giant crab in moana
"[""2012""]",what is the bridge in saturday night fever
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who is the youngest captain in nhl history
"[""Ireland""]",mountain range in western us home to giant sequoia
"[""1998""]",when did presidents start swearing on the bible
"[""George Hudson""]",who is julie having an affair with on desperate housewives
"[""Dev"",""Devin Star Tailes""]",when was daylight savings time established in the united states
"[""Marley""]",where was the cabinet of dr caligari filmed
"[""Prince Phillip""]",who wrote old man look at my life
"[""2017""]",what is the top of a pyramid called
"[""Marvin Gaye""]",who wrote the book the count of monte cristo from 1844
"[""March 15, 2013""]",when was the last time france won a war
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",what is the highest denomination of the us dollar
"[""Jimmy Cliff""]",when did pirates of the caribbean 2 come out
"[""December 15, 2017""]",when was the last time miss oklahoma won miss america
"[""Charles Young""]",who plays juliet in the original romeo and juliet
"[""1792""]",who plays the mother in my friend dahmer
"[""March 15, 2013""]",how many seasons did fosters home for imaginary friends have
"[""18""]",maximum goal by a player in fifa world cup
"[""Mary Kate Schellhardt""]",high blood glucose levels stimulate the release of
"[""those that have died""]",indian chief justice of international court of justice
"[""71%""]",when does criminal minds season 13 finale air
"[""A concerto""]",how many are in the house of representatives currently
"[""12""]",who plays the brother on being mary jane
"[""George Casper Homans""]",how much did it cost to build old trafford
"[""ground state""]",where is the reticular formation located in the brain
"[""Dylan""]",when did the british first arrived in north america
"[""Australia""]",where will the next general conference of sda be held
"[""2017""]",who played geoffrey chaucer in a knight tale
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",in most cases what appear to be the two main causes of emotional or behavioral disorders
"[""12""]",who is the all time passing yards leader
"[""2000""]",who wrote did i shave my legs for this
"[""unknown""]",when did the black and red jordans come out
"[""1982""]",tim hardaway jr most points in a game
"[""Guaranteed Rate Field""]",who wrote the book of obadiah in the bible
"[""May 5, 1992""]",what is the meaning of the song thinking out loud by ed sheeran
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",who is the secretary of state of usa
"[""July 16, 2017""]",what office in the u.s. treasury department manages the production of coins
"[""December 15, 2017""]",who is the governor of the reserve bank of india
"[""Evaluation and management""]",when was the last time france won a war
"[""Gabrielle Haugh""]",who is the mother of moses in the holy bible
"[""James Arthur""]",who won season 8 of rupaul's drag race
"[""oxidative phosphorylation""]",where is the british open golf tournament being played this year
"[""the Cambrian explosion""]",which state of india population decreased in 2011
"[""2018""]",what country do i live in if i live in california
"[""Machilipatnam""]",when did harry potter world open in orlando
"[""Season 4, Episode 8""]",where do i get a postal order from
"[""Queen's Park""]",where was the movie the ugly truth filmed
"[""A mood swing""]",when did the national lottery change to 59 numbers
"[""Lake Baikal""]",where does the river thames stop being tidal
"[""Calcium ions""]",who does annie work for attack on titan
"[""October 10, 2017""]",when was the last time the yankees and the la dodgers played in the world series
"[""ground state""]",who plays the last post at the menin gate
"[""2009""]",when was the last time the detroit lions won a division title
"[""March 25, 2011""]",what is it called when you copy someone's signature
"[""Islamic prophet Muhammad""]",who scored the most points in basketball history
"[""1,089 sq ft""]",what are the inscriptions on the lincoln memorial
"[""Queen's Park""]",how much did it cost rio to host the olympics
"[""PewDiePie""]",when did fa cup semi finals move to wembley
"[""12""]",who sings the theme song for miami vice
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",what happened to flight 103 in 1988 in locherbie scotland
"[""October 10, 2017""]",what award is given to the top goal scorer at the world cup
"[""1900""]",what does the name myra mean in hebrew
"[""the Ivrea Codex"",""the Apt Codex""]",smallest continent of world in terms of area other than australia is
"[""March 9, 2018""]",when did the first wizard of oz come out
"[""2018""]",who is known as father of karnataka music
"[""South Side, Chicago""]",what channel is in conversation with john bishop on
"[""King Edward Peak""]",when did us go to war in afghanistan
"[""Machilipatnam""]",who has played jack abbott on the young and the restless
"[""Josh Groban""]",when did they film season 2 of stranger things
"[""eastward, in prograde motion""]",who created the first solid body electric guitar
"[""122""]",who used a question and answer method of arriving at important truths
"[""1943""]",what movie is zippity doo dah song from
"[""the Cambrian explosion""]",what breed is the lady and the tramp dog
"[""April 1, 1999""]",who sings the song breathe from grey's anatomy
"[""Pom Klementieff""]",who played mr bingley in pride and prejudice
"[""Spanish""]",the ashtavinayak yatra in maharashtra covers eighth holy temples of which god
"[""San Antonio""]",what is diggy's real name from liv and maddie
"[""E. M. Forster""]",who wrote the score for west side story
"[""Marley""]",who is the ruling party in himachal pradesh
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",who sings the theme song to not going out
"[""Matthew Prokop""]",who has been the longest serving chief minister of rajasthan
"[""Bella Dayne""]",who paid for the building of wembley stadium
"[""Constantine""]",who got married in think like a man 2
"[""West Indies""]",how old was aisha when prophet muhammad married her
"[""the Ivrea Codex"",""the Apt Codex""]",who won the most grammys in the world
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",who is the all time passing yards leader
"[""10""]",when was the last time inter milan was in the champions league
"[""35""]",when was the first ford plant opened in south africa
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",what is the main dinosaur in jurassic world
"[""PewDiePie""]",what is the official language in the dominican republic
"[""1981""]",who is supreme leader in new star wars
"[""New York Yankees""]",how much did it cost rio to host the olympics
"[""centroid""]",how old is the speaker of the house
"[""1982""]",when did touched by an angel first air
"[""17""]",french explorer who first arrived in canada in 1534
"[""George Hudson""]",asian man sings i will always love you
"[""1998""]",who sings the song to orange is the new black
"[""April 1, 1999""]",when is the little mermaid 2018 coming out
"[""Edwin Hubble""]",where are you from if you speak dutch
"[""1988""]",who are the actresses in the movie the craft
"[""1980""]",where do they have huts on the water
"[""April 1, 1999""]",what comes after captain in the air force
"[""Australia""]",who is the winner of did season 3
"[""Abigail Rokison-Woodall""]",where was the 1960's tarzan tv series filmed
"[""originally from the Greek""]",when is season 7 walking dead coming out
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who helped bring about the breakup of the standard oil monopoly
"[""Lionel Messi""]",where did civilization get its start in china
"[""Eagles""]",who originally sang counting flowers on the wall
"[""Meredith Willson""]",when does derek and meredith get back together season 4
"[""Jesse Donald Knotts""]",when was the first hockey world cup held
"[""1980""]",who sings what's my name in descendants 2
"[""1981""]",who gave the slogan swaraj is my birth
"[""Elstree Studios""]",who won rupaul's drag race season 6
"[""eastward, in prograde motion""]",who gave the concept of game theory first
"[""1900""]",who won gold medal for pakistan in cwg 2018
"[""Jimmy Cliff""]",who does holden go on a date with
"[""1981""]",the effect in which one image transforms into another is known as
"[""Sarabi""]",who do the avengers fight in infinity war
"[""2017""]",when was fortnite battle royale season 2 released
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",what is the current world record for shot put
"[""Jesse Donald Knotts""]",who is the head of the government in russia
"[""Lebanese""]",how many hungarians were killed in 1956 by soviet forces
"[""Jesse Donald Knotts""]",where is the set of taarak mehta ka ooltah chashmah
"[""35""]",where was the first topgolf opened in the us
"[""State governments""]",when does lara croft tomb raider come out
"[""the Cambrian explosion""]",what day is armed forces day in the us
"[""State governments""]",star cast of fantastic beast and where to find them
"[""4""]",who became the family wizard in wizards of waverly place
"[""Carole King""]",when did the rams move to saint louis
"[""Josh Groban""]",who played the older sister on the wonder years
"[""2000""]",when was the last time australia held the commonwealth games
"[""1950""]",when was the boeing 747 first used for commerical service
"[""New York Yankees""]",who is lady gaga father in a star is born
"[""Lebanese""]",where did the thunder basketball team come from
"[""Molt Taylor""]",when did new zealand win the americas cup
"[""V8 engine""]",who sang don't forget me when i'm gone
"[""December 15, 2017""]",hawaii is in what region of the us
"[""January 11, 1970""]",what was the purpose of the national industrial recovery act
"[""a wild Pikachu""]",what is basic old age pension in canada
"[""Zaira Wasim""]",who won the world of dance last season
"[""July 16, 2017""]",who killed madame defarge in a tale of two cities
"[""Machilipatnam""]",how many episodes on season 2 of stranger things
"[""Queen's Park""]",who played johnny fever in wkrp in cincinnati
"[""Carole King""]",who is the original winnie the pooh voice
"[""Dev"",""Devin Star Tailes""]",what does the ef stand for in tornado
"[""Australia""]",what is the most used word in written english
"[""March 25, 2011""]",who won the epl player of the month august 2017
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",where is panama canal located on the map
"[""originally from the Greek""]",when will lost in space be on netflix
"[""James Arthur""]",who did dr faust sell his soul too
"[""1792""]",what is the meaning of j c b
"[""1950""]",a real live nephew of my uncle sam born on the 4th of july
"[""eastward, in prograde motion""]",how many inches of rain did hurricane allison bring to houston
"[""E. M. Forster""]",who played the nurse in open all hours
"[""Christopher Robert Evans""]",who sings i got a peaceful easy feeling
"[""Australia""]",where are the ping pong shows in phuket
"[""2024""]",who won the ncaa basketball championship in 1989
"[""unknown""]",founded by the phoenicians around 800 b.c the city of
"[""St. Louis Cardinals"",""San Francisco Giants""]",who played the daughter of darlene on roseanne
"[""13""]",when did they ban asbestos in popcorn ceilings
"[""Lacey Turner""]",who have most followers on twitter in world
"[""Edwin Hubble""]",where do the checks and balances come from
"[""12""]",in which state rastriya rakshak dal was established
"[""Spanish""]",who constructed the suez canal and when was it finished
"[""Ireland""]",who played in the super bowl in 2013
"[""Abigail Rokison-Woodall""]",who built a european empire and was crowned emperor of the romans in 800
"[""Lebanese""]",where is the great sphinx located in egypt
"[""A concerto""]",who was the primary author of the federalist papers written 51 of the 85 articles
"[""Pom Klementieff""]",when did haiti and the dominican republic split
"[""Billie Jean King""]",which second messenger molecule acts on the endoplasmic reticulum to release calcium ions
"[""V8 engine""]",where is the surname written in a chinese name
"[""Charles Young""]",when did the united states declare war on great britain
"[""2015""]",who did muhammad ali fight in croke park
"[""71%""]",what percentage of the uk population say they have no religion
"[""10""]",what are the chances of flipping heads 5 times in a row
"[""10""]",where does dna replication begin on a chromosome
"[""12""]",karnal sher khan cadet college swabi official website
"[""Charles Young""]",what was the name of the dog of dennis the menace
"[""Mexico"",""Soviet Union""]",the side chain for valine is classified as a
"[""Pom Klementieff""]",who played young eponine in les miserables movie
"[""James Arthur""]",who wrote the songs on as you were
"[""2017""]",which city is known as pearl city of india
"[""Greek""]",what breed of dog is in fox and the hound
"[""James Arthur""]",number of cities and towns in rhode island
"[""in 2018""]",what case applied the exclusionary rule to the states
"[""Monasteries"",""wealthy individuals"",""rulers""]",where did the us send a humanitarian force from 1992 to 1994
"[""March 27, 2018""]",who was the president that served 3 terms
"[""E. M. Forster""]",who sang does he love you like he loves me
"[""Sarabi""]",who re-introduced the horse to the north american plains
"[""six""]",where is the national highway traffic safety administration located
"[""Gabrielle Haugh""]",when was the last time astros made world series
"[""George Casper Homans""]",who stars in the lost city of z
"[""Prince Phillip""]",when did the rams move to saint louis
"[""35""]",original singer of how am i supposed to live without you
"[""1981""]",mountain ranges can uplift on these types of faults
"[""2018""]",when was the last time the philadelphia eagles went to the playoffs
"[""Machilipatnam""]",where does the tap water in london come from
"[""January 11, 1970""]",who played the flash in the original tv series
"[""Alex Rodriguez""]",who's running for lieutenant governor in georgia
"[""Mars Bonfire""]",when did the movie jack frost come out
"[""Lake Baikal""]",what is the bridge in saturday night fever
"[""Welton Academy""]",how long have the ravens been a team
"[""ground state""]",who wrote i was made for loving you
"[""122""]",where did the term trick or treat come from
"[""2012""]",the preamble of the constitution of india is based on the model of
"[""Jason Michael Lee""]",who sang eagles take it to the limit
"[""St. Louis Cardinals"",""San Francisco Giants""]",japanese dish of salted green soybeans boiled in their pods
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",where was the last man on earth filmed
"[""Marvin Gaye""]",what freeway runs through seattle portland sacramento and los angeles
"[""the Ivrea Codex"",""the Apt Codex""]",what is the real name of a wiener dog
"[""Clayton Moore""]",where does the movie queen of katwe take place
"[""1984""]",when was around the world in 80 days published
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",minimum age to drive transport vehicle in india
"[""Miguel Cabrera""]",reasons for implementing a land reform programme in south africa
"[""12""]",who played robb stark's wife in game of thrones
"[""rose window""]",which is first silence of the lambs and hannibal
"[""Thurl Ravenscroft""]",what's the tallest building in nashville tennessee
"[""March 9, 2018""]",when does the story the cask of amontillado take place
"[""March 25, 2011""]",when does the next season of the next step start
"[""redox reactions""]",britain and france declare war on germany when
"[""1974""]",who wrote the national anthem of south africa
"[""12""]",who starred in rita sue and bob too
"[""9""]",what was the name of tonto's horse
"[""George Casper Homans""]",what type of paper was the bible written on
"[""Lacey Turner""]",who wrote everything is fair in love and war
"[""Dev"",""Devin Star Tailes""]",what order do the flowers in the attic books go
"[""Niagara River""]",who sung the song i can only imagine
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",a group of objects orbiting between mars and jupiter
"[""PewDiePie""]",who killed the fbi agent in the commuter
"[""Parafollicular cells""]",what weight is conor mcgregor and mayweather fighting at
"[""Anil Kumar Jha""]",when was the carbon tax introduced in australia
"[""to perceive linear acceleration""]",where did the tebhaga movement occur in 1946
"[""Spectre""]",when did the indian constitution come into being
"[""2002""]",what plasma protein plays a large role in osmotic pressure regulation
"[""August 17, 2018""]",where is the oldest refinery in india located
"[""2015""]",who played the dead friend in the big chill
"[""Queen's Park""]",who is the actor who plays draco malfoy
"[""produces a lubricating mucus""]",which second messenger molecule acts on the endoplasmic reticulum to release calcium ions
"[""New Netherland""]",6. what is the name of the danish goldsmith who founded the pandora jewelry company
"[""a compulsory governmental insurance system""]",when does school leaving age change to 18
"[""Citytv""]",who played hillary on the fresh prince of bel-air
"[""1980""]",what do you call a person from lebanon
"[""1967""]",who plays the original gina in coronation street
"[""Prince Phillip""]",who sang the song i want a hippopotamus for christmas
"[""1981""]",what is the legal age for drinking alcohol in australia
"[""Marley""]",what is the name of the crab in the movie moana
"[""2010""]",who left north america after the french and indian war
"[""10 one-hour episodes""]",who is playing abigail on days of our lives
"[""May 5, 1992""]",where is the pellicle found within a protozoan
"[""2000""]",who has scored the most goals in soccer history
"[""2018""]",who plays andrea's sister in the walking dead
"[""Shirley Mae Jones""]",who plays george dixon man in the high castle
"[""Jason Michael Lee""]",how much money did the us send to haiti
"[""Zaira Wasim""]",who is on the cover of get yer ya ya's out
"[""1,089 sq ft""]",who sings all by myself in bridget jones diary
"[""1974""]",west ham players in the 1966 world cup
"[""Pom Klementieff""]",who did the original voice of yogi bear
"[""Evaluation and management""]",what is the name of the bridge in prague
"[""2012""]",when did they start putting presidents on money
"[""Elstree Studios""]",what is the botanical name of lady finger
"[""a maroon Bristol 405""]",when did the bank of england become independent
"[""18 August 2011""]",when was fly me to the moon by frank sinatra released
"[""Sachin Tendulkar""]",who is the eagle in looking for alaska
"[""35""]",who wrote the lyrics to you've got a friend
"[""produces a lubricating mucus""]",how many seasons of fixer upper are there
"[""Calcium ions""]",who is responsible for enforcing the national electrical code
"[""Sachin Tendulkar""]",what car does reynolds woodcock drive in phantom thread
"[""2015""]",where is the most of the iodine in the body concentrated
"[""Venus""]",separation of church and state who said it
"[""US$500""]",how far is the horsehead nebula from earth
"[""Josh Groban""]",who wrote the book of love peter gabriel
"[""Marvin Gaye""]",in the otolith organs the otoliths are calcium carbonate particles that ____
"[""Greek""]",who is the prime minister of bangladesh 2017
"[""copper""]",the number of membranes surrounding a mitochondrion is
"[""December 2003""]",who wants to be a millionaire first winner
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when did the flames win the stanley cup
"[""January–July 1975""]",who won the the battle of bull run
"[""rose window""]",when was the last year georgia beat florida
"[""2024""]",where can i watch my brother's husband
"[""In 1995""]",who became the most successful female climber of mount everest
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who has the most grammys of all time
"[""Mexico"",""Soviet Union""]",who voices marco from star vs the forces of evil
"[""Evaluation and management""]",family guy and then there were fewer movie reference
"[""Sarabi""]",where is the largest bell in the world
"[""1981""]",who is the head of the office of professional responsibility
"[""West Indies""]",when is the world day of music celebrated
"[""redox reactions""]",what type of snake is green and black
"[""Miguel Cabrera""]",who plays president petrov in house of cards
"[""Welton Academy""]",how many seasons of marvel's agents of shield is there
"[""Citytv""]",where does the last name rodriguez come from
"[""Parafollicular cells""]",who said consistency is the hobgoblin of little minds
"[""2018""]",who was the mermaid in pirates of the caribbean 4
"[""1981""]",who is the actor who plays diego on younger
