year,country,cluster,pop,life_expect,fertility
1955,Bolivia,3,731546,52.29,2.72
2005,Bolivia,1,113146526,78.77,2.88
2000,Bolivia,1,42562142,64.04,3.65
1990,Bolivia,1,52247121,49.36,2.37
1960,Bolivia,4,71620441,65.21,3.11
2000,Bolivia,1,5144931,66.41,2.45
1985,Brazil,2,1011181341,69.95,2.16
1955,Brazil,3,71393220,57.03,1.18
1960,Brazil,2,50636999,68.58,0.96
1980,Brazil,1,1707193,62.12,4.01
1985,Brazil,4,2731031,68.77,2.64
1980,Brazil,0,28561418,55.07,3.76
1990,Brazil,1,1079856,82.5,2.61
2000,Brazil,1,14036183,80.65,4.56
1960,Brazil,0,4291956,53.63,3.61
2005,Brazil,0,96940527,65.35,3.07
1960,Brazil,5,31770634,61.61,3.19
1955,Brazil,4,7262786,64.68,2.56
1960,Brazil,4,1304887562,74.42,2.62
1985,Brazil,3,166404,57.08,3.29
2005,Brazil,3,220843093,72.53,4.7
1970,Canada,1,33038956,63.49,4.04
2005,Canada,2,6284873,71.65,3.75
1960,Canada,1,106185566,66.17,1.42
1960,Canada,5,5682372,66.22,1.81
1985,Canada,1,48649351,72.22,3.98
2000,Canada,3,7710435,69.3,1.09
1980,Chile,1,431475083,67.98,4.38
1960,Chile,4,14613984,61.64,2.18
1960,Chile,3,142091932,81.16,1.25
1990,Chile,1,1304887562,60.62,2.49
2005,Chile,4,361402087,75.25,4.46
1960,Chile,3,31767641,58.5,6.58
1980,Chile,1,30837649,65.11,2.33
2005,Chile,2,7620473,61.53,4.41
1970,Chile,3,54815508,58.39,2.28
1980,Chile,3,12285712,70.86,1.97
1995,Chile,3,39242668,66.07,2.12
1970,Chile,0,71205680,72.83,8.23
1960,Chile,1,5161022,82.5,2.18
1985,Chile,4,685521,57.53,8.23
1960,Chile,1,162245,77.38,1.2
1990,Chile,3,1634381,67.34,1.92
1995,China,3,9088097,52.42,1.24
1985,China,1,29113619,58.99,6.61
1970,China,3,9923529,63.63,1.79
1960,China,3,2109481,68.39,6.95
2005,China,1,1098205,60.56,5.46
1990,China,5,2059211,63.84,5.23
1980,China,0,7118788,69.81,4.28
1990,China,1,20675623,70.69,3.29
2005,China,1,47974435,65.3,5.34
2005,Colombia,1,531092,53.95,3.7
2005,Colombia,4,3147507,67.02,6.73
1985,Colombia,4,556818,59.89,2.4
1980,Colombia,5,348515746,67.02,5.43
1980,Colombia,3,133077748,62.12,1.74
2005,Colombia,1,38901292,65.02,4.1
1955,Colombia,3,194667334,82.0,4.63
1960,Colombia,1,122884966,63.29,5.98
1970,Colombia,1,10827398,63.29,6.81
1985,Costa Rica,4,1158023,57.3,1.3
1965,Costa Rica,3,27635096,79.11,2.61
1970,Costa Rica,1,25648514,71.27,2.37
1985,Costa Rica,0,97788812,69.46,4.89
1980,Costa Rica,3,36788698,77.97,2.65
1980,Costa Rica,1,19208721,73.46,1.5
1960,Costa Rica,3,2386990,79.93,2.9
1970,Costa Rica,4,1291970,78.53,2.44
1955,Costa Rica,1,3045656,59.61,2.33
1960,Costa Rica,3,477239,72.18,8.23
1985,Costa Rica,3,48916526,82.43,5.23
2005,Costa Rica,3,72684042,63.88,3.37
2005,Costa Rica,1,38912684,70.87,3.78
1955,Croatia,3,2897160,72.28,5.53
1985,Croatia,3,184026587,63.98,2.82
2000,Croatia,4,23623516,76.46,7.65
1985,Croatia,5,8283725,64.97,8.23
2000,Croatia,3,151451,71.46,3.15
1980,Croatia,0,7768392,65.44,2.92
1965,Cuba,1,908626988,61.94,4.9
1980,Cuba,3,54704234,61.32,1.91
1960,Cuba,5,26669645,71.02,6.48
1980,Cuba,4,22018375,55.62,3.33
2000,Cuba,1,134890930,76.69,1.14
1970,Cuba,0,14527858,54.49,1.95
1960,Cuba,2,7488740,75.08,2.88
1995,Cuba,1,12668228,69.59,8.23
1965,Cuba,3,53746614,70.57,4.06
1980,Cuba,4,1837613,61.98,7.34
1995,Cuba,1,19141366,56.89,8.23
1955,Cuba,3,1093964,63.46,8.23
1955,Cuba,3,6741034,51.93,5.1
1990,Cuba,0,1540826,60.48,1.95
1990,Dominican Republic,1,13540891,69.47,1.94
1965,Dominican Republic,1,3497917,50.65,2.88
1955,Dominican Republic,4,1468664,71.91,3.66
1965,Dominican Republic,2,1284598,59.28,2.85
1985,Dominican Republic,1,3471535,74.1,1.54
1965,Dominican Republic,1,10220649,65.2,3.99
1985,Dominican Republic,0,3996459,64.42,4.51
1955,Dominican Republic,3,1106386,62.53,2.66
2005,Dominican Republic,3,806418826,63.7,2.57
1960,Dominican Republic,1,36354611,60.38,1.73
1970,Dominican Republic,4,195419961,63.71,1.9
1990,Dominican Republic,1,13423256,57.65,4.96
1980,Dominican Republic,1,63985601,53.22,2.62
1990,Dominican Republic,1,36813598,67.46,0.96
1990,Dominican Republic,3,1129766,69.15,6.18
1985,Ecuador,5,13550369,78.79,3.0
2000,Ecuador,1,32924211,64.24,3.08
2000,Ecuador,3,31170453,57.47,4.91
2000,Ecuador,5,26873766,67.43,3.53
1970,Ecuador,4,727779,60.37,3.66
1955,Ecuador,1,28733102,46.24,3.5
1995,Ecuador,3,5616264,73.34,1.18
1955,Ecuador,3,719730,76.23,2.56
2000,Ecuador,3,82678483,66.21,2.18
2005,Ecuador,3,4310526,61.92,3.61
1980,Ecuador,3,93719837,52.9,1.97
2000,Ecuador,0,1370186,72.92,5.86
1995,Egypt,5,1201915,77.97,3.14
2005,Egypt,1,755997,73.36,4.19
1995,Egypt,3,2911341,58.28,1.62
1960,Egypt,5,26945196,80.64,4.36
1990,Egypt,1,207547359,72.96,2.77
1985,Egypt,1,42305849,68.64,5.61
1990,El Salvador,4,78028576,60.82,1.45
1980,El Salvador,1,51730301,82.5,4.08
1960,El Salvador,1,61599383,64.37,4.46
1960,El Salvador,0,20957275,68.91,5.52
1985,El Salvador,5,127701094,42.59,4.93
1985,El Salvador,3,11509348,74.05,5.39
1955,El Salvador,1,153768664,72.43,3.64
1955,El Salvador,4,50060023,79.55,1.41
1970,El Salvador,1,7373193,79.7,3.31
1995,El Salvador,1,2307610,77.09,3.73
2000,El Salvador,1,1989871,58.46,3.72
1960,El Salvador,4,3415699,63.43,0.96
1955,El Salvador,4,2948972,52.64,2.16
2000,El Salvador,4,32603922,52.57,3.12
1960,El Salvador,1,189434613,65.41,1.74
2000,El Salvador,4,140072162,56.26,5.69
2000,El Salvador,3,40714713,53.98,3.54
1955,Finland,3,4910560,54.08,1.88
1980,Finland,5,80037196,76.3,3.95
1995,Finland,3,78431808,58.15,7.18
1970,Finland,4,18276971,64.77,7.18
2000,Finland,3,8396621,57.26,5.38
1990,Finland,3,60388392,65.82,3.58
1980,Finland,1,14696147,65.97,6.74
1985,Finland,3,7744840,52.4,5.35
1990,Finland,3,23934195,82.5,1.62
1980,Finland,3,1560329,54.47,2.78
1960,France,1,27302301,69.27,1.45
1970,France,1,2780429,65.62,3.27
1990,France,5,12679300,68.62,1.6
1960,France,3,86653630,75.09,3.54
1985,France,3,13190890,70.47,8.23
1980,France,4,9576696,64.9,2.77
1960,France,4,2594538,72.8,1.9
2005,France,1,5163046,68.87,3.93
1960,France,1,1335735,52.58,1.99
1965,Georgia,1,45037828,71.75,7.32
1960,Georgia,3,18065625,62.38,2.2
1960,Georgia,0,33565179,80.32,2.13
2005,Georgia,3,106320823,65.78,3.56
2005,Georgia,1,230072,51.98,2.24
1985,Georgia,0,8358790,56.35,3.17
1960,Georgia,0,17719338,69.71,2.01
1955,Georgia,1,66326763,78.98,8.23
2005,Georgia,3,1355025,61.12,6.58
1955,Georgia,4,7272616,66.51,6.1
1990,Georgia,3,55548952,70.67,4.86
1970,Georgia,1,928371,69.36,5.07
2005,Georgia,3,530129,69.35,5.69
1955,Georgia,0,1568616,66.96,3.99
2005,Germany,4,6678683,72.66,4.9
1960,Germany,5,12723096,63.72,4.09
1960,Germany,5,766774,58.05,4.87
1980,Germany,3,15271600,70.61,4.05
1990,Germany,1,23497809,64.82,4.77
2000,Germany,1,114107870,57.9,5.21
2005,Germany,3,3178277,63.67,2.74
1990,Germany,3,1849615,80.7,2.79
1965,Greece,4,8765337,82.44,3.43
2000,Greece,5,7553968,67.33,3.19
1960,Greece,1,10037858,71.74,0.96
1970,Greece,3,824672,72.33,4.26
1960,Greece,3,10893080,48.64,4.05
2005,Greece,5,8829582,59.36,8.23
1955,Greece,3,17309052,82.5,1.37
1985,Greece,3,1560987,70.92,1.78
2000,Greece,4,7668189,67.65,5.56
1970,Greece,4,30274994,82.5,6.37
1970,Greece,3,3180091,82.5,1.71
1995,Greece,3,2810321,60.72,3.35
1990,Greece,4,4523030,55.43,8.08
1965,Greece,1,5117597,64.56,2.99
2000,Grenada,3,935315,60.95,2.7
1960,Grenada,3,22928476,65.29,3.19
2000,Grenada,1,5174238,62.78,4.8
1980,Grenada,4,5992303,71.2,2.8
1980,Grenada,1,21201402,73.07,8.23
1965,Grenada,5,6802390,57.37,2.54
1965,Grenada,5,10554139,61.57,8.23
1960,Grenada,0,8406344,74.38,5.52
1960,Grenada,2,41849028,76.17,7.27
2000,Grenada,3,177477034,70.85,3.43
1970,Grenada,1,8710044,62.91,4.42
1955,Haiti,3,63284672,73.06,2.57
1960,Haiti,1,10489694,54.31,7.44
1985,Haiti,4,7994004,65.73,3.26
1985,Haiti,5,7107816,68.75,1.08
1980,Haiti,4,37737597,56.46,5.68
1960,Haiti,4,2771469,68.24,3.42
1960,Haiti,3,4379928,71.55,3.02
1960,Haiti,0,1144150,60.53,8.23
1980,Haiti,1,15079067,66.87,4.37
2000,Haiti,3,65135876,67.88,2.64
1960,"Hong Kong, China",0,56114612,63.04,2.51
2005,"Hong Kong, China",3,83288507,51.54,4.83
1970,"Hong Kong, China",1,495234083,78.95,4.97
1960,"Hong Kong, China",1,20420498,56.82,4.93
1955,"Hong Kong, China",0,56994042,62.21,3.45
2000,"Hong Kong, China",3,20104564,78.9,7.39
1985,"Hong Kong, China",1,22720631,57.19,5.8
1960,"Hong Kong, China",3,115230316,54.55,2.28
1965,Iceland,1,9204383,72.38,3.35
1970,Iceland,5,61376368,72.07,1.03
1960,Iceland,1,6671774,71.65,6.02
1965,Iceland,3,883279,82.5,3.0
2000,Iceland,3,7637386,60.12,2.16
1985,Iceland,1,19475290,78.76,2.75
1960,Iceland,5,8939429,64.19,3.02
2000,Iceland,3,28526261,80.56,5.38
1965,Iceland,3,21693132,73.43,3.37
2000,Iceland,0,2163497,65.99,4.17
2000,Iceland,3,427377905,60.05,6.12
2005,Iceland,1,1993604,69.6,8.23
2005,Iceland,3,16948004,62.81,6.38
2005,Iceland,1,14344045,79.46,3.31
2000,Iceland,5,6905719,74.06,7.11
1970,Iceland,4,961885,63.32,2.72
1955,India,1,205070967,52.76,7.17
1965,India,3,31837369,40.91,3.78
1965,India,3,2023408,50.65,3.47
2005,India,3,22292416,60.88,4.76
1995,India,5,9515133,62.14,5.27
1960,India,4,123988169,68.13,3.09
1970,India,3,32317849,68.07,2.22
1980,India,0,2576838,71.03,1.97
1965,India,3,49872167,78.11,1.83
1985,India,3,8538655,59.95,2.56
1960,India,2,16893049,63.32,7.36
1990,India,3,69733826,58.4,4.02
1970,India,3,34034875,73.94,3.04
1980,Indonesia,1,20613321,40.69,8.23
1965,Indonesia,3,1865345,61.04,3.17
1960,Indonesia,1,1440995,63.63,2.62
2005,Indonesia,2,9217575,65.97,2.4
1960,Indonesia,3,307706818,78.89,5.25
1965,Iran,2,242236,71.82,3.58
1955,Iran,1,8051105,63.78,1.95
1990,Iran,4,17761231,67.97,7.27
1965,Iran,3,2732937,63.08,3.01
1960,Iran,4,2896093,61.48,1.85
1960,Iran,1,143307995,71.79,4.63
1955,Iraq,1,11101815,62.02,3.87
2005,Iraq,4,19106559,67.86,6.87
2000,Iraq,3,6137407,82.5,4.25
2005,Iraq,3,5319936,75.11,6.99
1960,Iraq,3,8498476,76.7,1.98
1965,Iraq,3,16133578,77.56,1.97
1960,Iraq,4,23727564,62.82,3.14
1965,Iraq,4,2629121,81.9,2.47
1960,Iraq,1,5037413,44.31,3.86
2000,Iraq,3,24658067,65.54,4.16
1985,Iraq,1,66232078,71.45,2.47
1960,Iraq,1,91460862,71.51,1.82
1980,Iraq,3,32026016,68.34,1.16
1995,Ireland,3,41951659,64.31,3.66
1970,Ireland,1,8781171,72.72,2.81
1955,Ireland,3,11126685,64.86,5.68
1990,Ireland,1,5225457,82.5,1.75
2005,Ireland,3,887949425,78.98,1.99
1965,Ireland,3,28395596,63.3,2.55
1960,Ireland,4,1890810,50.95,4.94
1965,Ireland,1,12342324,62.5,2.11
1995,Ireland,3,593830,61.02,7.91
2000,Israel,3,22131539,62.04,2.48
2000,Israel,5,33201581,61.87,2.96
1960,Israel,0,8644921,55.94,2.46
2005,Israel,1,72104587,74.85,1.75
1965,Israel,1,34496935,82.5,8.23
1965,Israel,3,5110128,79.41,3.49
1985,Israel,1,5955919,67.66,5.64
1960,Israel,1,25030323,70.9,8.23
1995,Italy,4,14538079,63.36,2.93
1965,Italy,4,8978674,80.68,5.96
1965,Italy,3,49571713,65.28,2.43
1965,Italy,1,20925432,70.94,1.62
2005,Italy,3,8742723,74.93,1.08
1980,Italy,3,103102535,69.72,4.3
1995,Italy,3,290140925,75.38,2.15
1970,Italy,3,19961232,82.5,2.8
1970,Italy,0,36927736,71.9,4.4
1995,Italy,3,21346651,55.2,4.81
1960,Italy,3,20840782,80.82,4.83
1960,Italy,4,18929739,76.94,4.56
1995,Italy,3,4965967,61.17,1.82
1970,Italy,4,622501,72.1,3.58
1955,Italy,3,3659041,56.35,4.08
1995,Italy,3,40013515,68.97,1.76
1955,Italy,5,2199345,73.11,3.94
1960,Italy,1,3228983,61.35,5.47
1965,Italy,1,1304887562,71.15,6.39
1970,Italy,3,37689370,72.01,4.0
1980,Jamaica,0,28796297,82.5,4.11
2000,Jamaica,3,15682789,73.07,4.99
1970,Jamaica,0,60394385,57.8,1.81
1960,Jamaica,4,25747052,50.66,4.51
2005,Jamaica,3,43103813,63.04,4.34
1980,Jamaica,1,186589431,81.6,8.23
2005,Jamaica,1,39451514,62.26,2.04
1955,Jamaica,1,22956775,82.5,3.96
1955,Jamaica,3,295332400,65.58,1.76
1995,Jamaica,4,42449886,74.24,3.43
2000,Jamaica,1,2450498,56.76,4.47
1965,Jamaica,3,1636753,82.08,4.46
1985,Jamaica,1,22375808,54.67,1.65
1980,Jamaica,1,2031800,53.02,2.1
2000,Japan,3,7650312,72.75,5.53
1970,Japan,1,15370032,78.54,4.35
1955,Japan,1,17223465,53.25,8.23
1965,Japan,1,22831041,60.87,1.6
2005,Japan,4,72405646,67.96,4.02
1960,Japan,3,2593624,61.13,2.2
1970,Japan,3,18041958,67.62,1.95
1995,Japan,3,26921783,75.91,3.43
1960,Japan,3,13403127,62.28,3.45
1995,Kenya,3,16678489,68.49,2.32
1960,Kenya,1,383822,67.63,5.15
1965,Kenya,1,48668766,64.1,5.13
1985,Kenya,3,16751140,50.24,5.08
1970,Kenya,4,185151,74.4,4.05
1965,Kenya,1,30751134,48.45,3.56
1965,Kenya,3,2670856,67.03,1.8
1960,Kenya,3,6408168,59.96,2.02
1960,Lebanon,1,111912705,58.76,4.82
1995,Lebanon,3,4624393,75.67,4.7
1965,Lebanon,3,5928257,75.47,2.28
2005,Lebanon,5,138012669,68.28,3.18
1955,Lebanon,4,68932122,74.14,1.96
1970,Lebanon,4,15273616,73.72,2.77
1995,Lebanon,1,15526650,48.52,3.22
2005,Lebanon,3,100799965,63.96,4.7
1960,Lebanon,3,5984712,73.48,1.39
1990,Mexico,1,82656,68.91,4.92
1965,Mexico,3,136563248,57.47,2.05
1960,Mexico,1,19983499,68.74,1.8
1955,Mexico,3,543333,37.61,7.55
1985,Mexico,1,116838352,62.46,4.36
2000,Mexico,3,164563613,53.75,3.09
1960,Mexico,3,3674601,68.53,3.31
1995,Mexico,3,4848232,69.27,2.82
1990,Mexico,5,77000124,64.64,5.88
2005,Mexico,1,611924,82.5,4.42
1995,Netherlands,5,16214670,64.15,3.87
1960,Netherlands,3,60690775,81.26,2.66
2000,Netherlands,3,38047601,69.94,3.51
1960,Netherlands,1,82656,43.78,4.3
1970,Netherlands,1,68682862,53.31,7.01
1955,Netherlands,5,16733677,61.31,5.15
1995,Netherlands,0,426373558,67.8,3.17
1990,Netherlands,4,12590585,74.82,3.41
1980,Netherlands,4,11999317,67.87,6.46
1985,Netherlands,1,4957437,69.45,7.27
1955,Netherlands,4,19228575,64.37,2.71
1960,Netherlands,2,21415203,73.6,2.6
1995,New Zealand,1,744747,73.18,5.33
1985,New Zealand,3,5679234,77.72,2.04
1995,New Zealand,3,19867166,61.22,6.83
1960,New Zealand,3,85830474,59.41,5.1
1990,New Zealand,3,41695859,69.04,5.49
1960,New Zealand,4,60699096,82.5,4.84
2000,New Zealand,1,13071165,66.2,3.96
1995,New Zealand,3,8487024,61.58,2.16
1980,Nigeria,3,5083781,53.06,3.3
1960,Nigeria,1,4259789,70.4,3.77
1955,Nigeria,3,3173263,49.77,6.45
1960,Nigeria,3,20489507,67.63,5.92
1955,Nigeria,5,226694704,77.03,6.81
1960,Nigeria,4,719457,70.65,7.53
1955,Nigeria,3,7757742,60.13,3.4
2005,Nigeria,1,20825888,70.3,3.15
1960,Nigeria,1,3692781,74.75,4.09
2005,North Korea,4,3748894,62.17,1.77
2000,North Korea,3,27030973,66.58,2.64
1965,North Korea,0,13373215,55.19,3.4
1955,North Korea,1,16010569,79.21,3.07
1965,North Korea,2,1265130,54.79,4.87
1965,North Korea,3,1304887562,71.73,2.89
1990,North Korea,1,13444620,77.29,2.15
1985,North Korea,1,3015964,73.88,2.02
1960,North Korea,3,4201712,67.18,3.67
1960,North Korea,3,1766740,56.57,1.98
1990,North Korea,1,6828787,58.95,2.06
1965,Norway,2,966224,70.25,2.29
1995,Norway,5,39384017,60.21,1.75
1965,Norway,0,2596635,67.88,2.21
1960,Norway,5,737883,77.49,3.8
1980,Norway,1,61797274,55.19,1.91
1965,Norway,3,2277893,56.6,4.61
2000,Norway,1,303458512,75.71,1.93
1985,Norway,0,54832339,82.5,2.12
1960,Norway,1,1110730,66.13,1.67
1960,Norway,3,63056639,60.6,1.94
1980,Norway,1,8916395,64.21,4.86
2000,Pakistan,1,6129195,68.7,6.1
1960,Pakistan,0,284753714,65.34,1.73
1955,Pakistan,3,175185144,80.33,5.92
1980,Pakistan,4,38329171,55.45,4.14
1960,Pakistan,3,19980655,71.42,1.01
1960,Pakistan,4,75272208,58.34,6.57
2005,Pakistan,2,107770985,80.14,2.35
1970,Pakistan,1,12788486,69.88,3.45
1960,Pakistan,3,2446495,70.43,2.52
1960,Pakistan,4,5676542,80.68,1.08
1970,Peru,5,94911163,68.33,2.37
1970,Peru,3,8217755,71.51,2.47
1960,Peru,4,9199950,82.14,1.68
1995,Peru,4,3624320,59.91,1.54
1965,Peru,1,74159264,68.42,3.16
1970,Peru,3,2475100,60.5,3.96
1960,Peru,1,161379604,48.21,1.73
1965,Peru,3,73042001,70.0,2.85
1960,Peru,1,1193170,67.63,3.18
1955,Philippines,4,19243925,50.71,3.23
1980,Philippines,3,13342486,71.49,2.61
1970,Philippines,3,11309870,79.0,3.51
1990,Philippines,3,3311753,82.5,1.65
1970,Philippines,3,11555491,81.68,1.69
1955,Philippines,1,8697174,76.0,4.43
1990,Philippines,3,75068569,52.37,2.66
1980,Philippines,1,31992249,73.2,4.38
1995,Philippines,1,39667787,80.38,0.96
2000,Philippines,4,6576563,73.92,8.23
1965,Philippines,2,1304887562,54.58,4.94
1960,Philippines,1,5381045,71.23,7.53
1995,Philippines,3,70494348,62.84,2.95
1955,Philippines,2,6765583,67.92,2.58
1980,Poland,3,2453374,80.9,6.19
1960,Poland,5,8239671,81.34,3.61
1980,Poland,3,228890697,68.32,4.57
1960,Poland,1,113070510,56.97,3.36
1960,Poland,1,113452498,82.5,3.78
1955,Poland,3,1011451967,65.75,3.49
1965,Poland,3,5586187,69.21,2.33
1960,Poland,5,393865505,77.79,1.53
1960,Poland,4,3082266,65.33,2.39
2005,Poland,4,212956946,68.6,6.2
1985,Poland,1,113853346,67.47,3.77
1990,Poland,1,68255015,63.65,8.23
1960,Portugal,5,12769863,61.24,2.56
1990,Portugal,1,86050549,51.09,5.0
2005,Portugal,1,2317911,70.09,0.96
2005,Portugal,3,10540065,80.15,1.94
1960,Portugal,1,42252082,52.29,7.25
1955,Portugal,1,1457873,67.88,4.8
2000,Portugal,1,1740023,62.83,1.68
1990,Portugal,1,34949673,75.35,4.95
1970,Portugal,1,10003869,52.48,3.67
2000,Portugal,1,13967249,77.84,3.78
1980,Portugal,1,14547475,63.97,4.29
1960,Portugal,4,461230851,67.36,4.25
1960,Portugal,5,176949825,67.61,3.91
1985,Portugal,0,2014281,70.73,1.76
1960,Portugal,3,39863271,49.7,2.13
2005,Portugal,4,10024324,72.72,2.33
1965,Portugal,1,18472016,69.63,7.57
1970,Rwanda,3,3722644,47.7,7.63
1955,Rwanda,1,8054719,61.05,2.23
1980,Rwanda,3,17995705,65.71,4.24
1960,Rwanda,1,5461867,62.14,1.15
1960,Rwanda,3,121169189,78.98,5.55
2005,Rwanda,3,12736291,65.06,4.59
1995,Rwanda,4,10036464,59.81,2.12
1960,Rwanda,1,294001,66.73,2.3
1965,Rwanda,5,5724790,66.33,2.6
1960,Rwanda,4,29329638,80.71,1.18
1995,Rwanda,1,1135110,65.92,1.84
1995,Rwanda,4,69708331,63.11,1.72
1980,Rwanda,3,5313419,64.74,4.71
2000,Rwanda,3,11114858,68.03,4.21
1965,Saudi Arabia,1,137299132,56.44,6.03
1995,Saudi Arabia,1,14361479,62.56,2.71
1960,Saudi Arabia,3,52118616,70.29,2.93
1980,Saudi Arabia,3,1756685,60.64,5.52
2000,Saudi Arabia,3,1980307,49.93,1.49
1960,Saudi Arabia,2,104192859,70.05,1.95
1995,Saudi Arabia,1,5295089,58.83,3.15
1970,Saudi Arabia,1,3810404,64.98,5.56
1960,Saudi Arabia,1,1710901,75.67,2.69
1985,Saudi Arabia,3,694686,75.98,4.67
2000,Saudi Arabia,3,1670623,69.27,2.77
1960,South Africa,3,98524743,56.58,3.51
2000,South Africa,1,13696570,56.08,2.45
1955,South Africa,3,3987112,68.35,4.41
1980,South Africa,1,5770336,76.57,2.43
1960,South Africa,1,187917970,65.34,4.64
1955,South Africa,1,27554740,80.51,2.04
1980,South Africa,3,203173027,76.52,1.58
1965,South Korea,3,4259226,72.66,3.27
1995,South Korea,1,42829091,70.69,4.09
1960,South Korea,3,19773365,64.14,2.66
1980,South Korea,3,3898318,64.54,4.92
2000,South Korea,1,742964,64.22,3.18
2005,South Korea,3,38025757,64.78,3.76
1995,South Korea,0,32868189,68.55,3.65
1970,South Korea,3,676844344,74.42,2.19
1960,South Korea,5,2193464,66.07,2.33
2005,South Korea,1,144967139,71.2,3.87
1980,Spain,4,19565159,82.5,1.75
1965,Spain,1,193903875,77.15,3.38
1995,Spain,3,33773306,82.5,2.85
1980,Spain,1,45360641,65.51,2.4
1985,Spain,1,25607005,73.79,3.32
2005,Spain,1,209190,56.05,2.05
1990,Spain,3,3833536,45.46,4.53
1980,Spain,1,14178558,69.42,8.23
1990,Spain,4,3923591,58.65,5.05
1980,Switzerland,3,82656,77.62,5.12
2005,Switzerland,3,1805866,56.99,4.2
1995,Switzerland,5,12828287,68.63,2.48
1980,Switzerland,0,135248083,74.76,1.9
1965,Switzerland,4,1194936,63.41,1.71
