Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Dream,41.8,20.7,187,3952,MALE
Adelie,Dream,42.2,19.0,200,3385,MALE
Adelie,Dream,39.0,18.6,214,4437,MALE
Adelie,Dream,38.9,18.8,214,3740,FEMALE
Adelie,Dream,35.3,17.2,197,4056,FEMALE
Adelie,Biscoe,38.5,18.3,205,3313,FEMALE
Adelie,Dream,36.2,18.0,218,3582,FEMALE
Adelie,Torgersen,38.8,19.8,192,3835,FEMALE
Adelie,Torgersen,42.8,19.1,231,4182,FEMALE
Adelie,Torgersen,40.2,21.1,215,3887,MALE
Adelie,Biscoe,37.8,18.6,201,4833,FEMALE
Adelie,Dream,42.0,17.9,188,3438,MALE
Adelie,Torgersen,41.1,16.6,204,4270,FEMALE
Adelie,Dream,34.0,16.9,197,3669,FEMALE
Adelie,Torgersen,37.7,18.0,189,4461,MALE
Adelie,Dream,41.1,18.6,172,3619,FEMALE
Adelie,Dream,39.0,19.6,204,3177,FEMALE
Adelie,Torgersen,40.9,17.9,209,3593,MALE
Adelie,Biscoe,35.9,19.7,217,3374,FEMALE
Adelie,Dream,40.6,19.0,211,4849,MALE
Adelie,Dream,40.9,19.1,227,3594,MALE
Adelie,Dream,37.3,18.5,195,3689,FEMALE
Adelie,Torgersen,41.4,18.5,197,3705,MALE
Adelie,Torgersen,38.9,20.7,187,4436,MALE
Adelie,Dream,44.1,19.0,200,4792,FEMALE
Adelie,Torgersen,36.6,16.8,185,3709,FEMALE
Adelie,Biscoe,41.1,20.0,221,3814,MALE
Adelie,Biscoe,43.2,16.8,225,4664,MALE
Adelie,Torgersen,40.3,18.8,190,3854,MALE
Adelie,Torgersen,38.1,18.1,206,3268,FEMALE
Adelie,Torgersen,39.5,17.1,186,3678,MALE
Adelie,Dream,39.6,15.5,205,2939,FEMALE
Adelie,Biscoe,38.1,18.7,197,4079,FEMALE
Adelie,Dream,37.0,17.8,215,3552,MALE
Adelie,Torgersen,35.5,17.3,191,2700,MALE
Adelie,Biscoe,39.7,18.3,213,3814,MALE
Adelie,Torgersen,34.5,17.0,195,3766,MALE
Adelie,Torgersen,39.6,18.0,213,3837,MALE
Adelie,Torgersen,40.5,18.9,205,3659,FEMALE
Adelie,Torgersen,42.2,17.9,188,3310,MALE
Adelie,Dream,39.5,17.5,189,4007,FEMALE
Adelie,Dream,34.6,16.5,218,3761,FEMALE
Adelie,Biscoe,36.0,18.6,184,4005,FEMALE
Adelie,Torgersen,38.3,17.0,224,3833,MALE
Adelie,Dream,34.4,21.5,184,3896,FEMALE
Adelie,Biscoe,42.5,18.4,198,4060,FEMALE
Adelie,Biscoe,41.3,17.8,173,4097,MALE
Adelie,Torgersen,36.4,16.6,219,3791,FEMALE
Adelie,Torgersen,37.6,17.4,198,3461,MALE
Adelie,Torgersen,37.7,18.0,187,3922,MALE
Adelie,Biscoe,35.7,18.5,199,3592,FEMALE
Adelie,Torgersen,40.6,17.9,203,3977,FEMALE
Adelie,Torgersen,41.1,19.0,184,3532,MALE
Adelie,Dream,36.7,17.0,230,3832,MALE
Adelie,Dream,39.1,17.2,189,3570,FEMALE
Adelie,Biscoe,39.5,19.2,203,3427,FEMALE
Adelie,Biscoe,34.6,18.8,196,4435,MALE
Adelie,Dream,38.8,18.9,183,4274,MALE
Adelie,Biscoe,40.2,18.1,231,3319,FEMALE
Adelie,Biscoe,43.2,18.4,219,3889,
Adelie,Biscoe,36.4,17.5,194,3619,MALE
Adelie,Dream,41.1,17.6,202,3660,MALE
Adelie,Dream,37.3,18.1,205,3658,MALE
Adelie,Biscoe,39.2,17.6,212,3529,MALE
Adelie,Dream,35.7,18.9,206,2869,MALE
Adelie,Torgersen,46.0,18.9,213,3255,MALE
Adelie,Biscoe,39.6,18.9,185,3393,FEMALE
Adelie,Biscoe,38.6,19.2,195,4123,FEMALE
Adelie,Biscoe,38.6,18.4,190,3419,FEMALE
Adelie,Biscoe,39.6,17.1,214,3494,
Chinstrap,Dream,46.2,19.9,185,3602,MALE
Chinstrap,Dream,46.1,18.6,179,3382,FEMALE
Chinstrap,Dream,40.9,19.9,189,3493,FEMALE
Chinstrap,Dream,50.5,16.5,194,3258,MALE
Chinstrap,Dream,52.7,18.9,208,3784,MALE
Chinstrap,Dream,50.7,18.5,211,3753,MALE
Chinstrap,Dream,53.5,16.4,207,4324,
Chinstrap,Dream,48.1,18.7,204,4053,MALE
Chinstrap,Dream,50.8,17.9,186,3874,FEMALE
Chinstrap,Dream,48.5,18.2,192,3422,MALE
Chinstrap,Dream,45.2,20.3,201,3511,FEMALE
Chinstrap,Dream,50.8,19.0,190,3411,FEMALE
Chinstrap,Dream,42.5,18.1,228,3612,MALE
Chinstrap,Dream,50.5,17.3,194,3689,MALE
Chinstrap,Dream,46.4,16.6,197,4817,FEMALE
Chinstrap,Dream,49.3,16.6,186,3032,MALE
Chinstrap,Dream,46.5,20.0,228,3541,MALE
Chinstrap,Dream,50.3,20.0,200,4345,MALE
Chinstrap,Dream,58.0,18.1,196,3163,MALE
Chinstrap,Dream,43.5,19.4,210,3434,FEMALE
Chinstrap,Dream,49.0,19.1,215,3566,MALE
Chinstrap,Dream,45.6,17.1,204,3821,MALE
Chinstrap,Dream,54.2,19.8,216,3873,FEMALE
Chinstrap,Dream,49.0,17.0,176,4458,
Chinstrap,Dream,50.9,18.2,175,3314,MALE
Chinstrap,Dream,46.4,20.8,201,3542,FEMALE
Chinstrap,Dream,46.6,17.3,190,4151,MALE
Chinstrap,Dream,52.0,19.6,203,3409,MALE
Chinstrap,Dream,52.8,18.4,199,3032,FEMALE
Chinstrap,Dream,50.1,16.6,211,3821,FEMALE
Chinstrap,Dream,45.5,17.9,198,4109,MALE
Chinstrap,Dream,45.7,19.0,224,3660,FEMALE
Chinstrap,Dream,51.0,17.3,193,4276,MALE
Chinstrap,Dream,52.0,17.3,216,3787,FEMALE
Chinstrap,Dream,43.2,20.7,204,3652,FEMALE
Chinstrap,Dream,55.8,18.6,229,3934,MALE
Chinstrap,Dream,51.5,19.0,189,3670,FEMALE
Chinstrap,Dream,51.3,18.3,203,3894,MALE
Chinstrap,Dream,47.0,17.8,182,3643,FEMALE
Chinstrap,Dream,52.2,18.2,198,3180,FEMALE
Chinstrap,Dream,42.5,17.5,203,3887,FEMALE
Chinstrap,Dream,49.5,17.9,188,3143,
Chinstrap,Dream,51.3,18.8,202,3459,
Chinstrap,Dream,51.9,17.0,210,3484,FEMALE
Chinstrap,Dream,46.0,19.5,199,3790,FEMALE
Chinstrap,Dream,49.2,19.5,211,3411,FEMALE
Chinstrap,Dream,46.7,19.4,222,3147,MALE
Chinstrap,Dream,46.9,18.7,189,4139,MALE
Chinstrap,Dream,50.2,17.5,204,3181,FEMALE
Chinstrap,Dream,51.3,19.9,206,3734,MALE
Chinstrap,Dream,51.4,17.9,198,3297,FEMALE
Chinstrap,Dream,47.6,19.7,187,3695,
Chinstrap,Dream,46.8,19.0,212,4060,
Chinstrap,Dream,49.6,19.5,219,3541,MALE
Chinstrap,Dream,50.0,19.2,210,3092,FEMALE
Chinstrap,Dream,52.0,18.8,198,3433,FEMALE
Chinstrap,Dream,45.9,16.8,205,4150,FEMALE
Chinstrap,Dream,47.5,16.7,197,4047,FEMALE
Chinstrap,Dream,50.2,18.7,204,3093,MALE
Chinstrap,Dream,49.8,17.8,196,3711,FEMALE
Chinstrap,Dream,45.2,19.8,199,3534,MALE
Chinstrap,Dream,45.4,19.6,172,3618,MALE
Chinstrap,Dream,51.7,17.8,201,3736,MALE
Chinstrap,Dream,50.9,18.8,187,3589,FEMALE
Chinstrap,Dream,49.7,16.6,172,4028,MALE
Chinstrap,Dream,45.7,17.8,208,3985,FEMALE
Chinstrap,Dream,50.6,18.2,219,4115,FEMALE
Gentoo,Biscoe,50.8,15.8,198,4836,MALE
Gentoo,Biscoe,44.9,13.2,195,5752,FEMALE
Gentoo,Biscoe,48.5,14.6,231,5380,MALE
Gentoo,Biscoe,46.8,16.1,198,5158,MALE
Gentoo,Biscoe,46.4,14.7,212,5087,MALE
Gentoo,Biscoe,46.6,14.5,195,5291,MALE
Gentoo,Biscoe,49.1,15.1,193,5567,FEMALE
Gentoo,Biscoe,46.5,14.2,193,4156,FEMALE
Gentoo,Biscoe,43.3,17.0,209,5498,MALE
Gentoo,Biscoe,48.7,15.0,208,5108,FEMALE
Gentoo,Biscoe,48.6,17.0,194,5864,MALE
Gentoo,Biscoe,48.2,15.9,196,5033,MALE
Gentoo,Biscoe,49.1,13.7,219,4851,FEMALE
Gentoo,Biscoe,46.4,15.2,231,4662,MALE
Gentoo,Biscoe,46.5,14.2,219,4948,MALE
Gentoo,Biscoe,49.8,16.3,210,5656,FEMALE
Gentoo,Biscoe,50.4,16.0,192,4361,FEMALE
Gentoo,Biscoe,55.1,17.0,192,5272,FEMALE
Gentoo,Biscoe,44.5,13.9,213,5029,FEMALE
Gentoo,Biscoe,48.2,15.0,191,4649,FEMALE
Gentoo,Biscoe,46.9,15.3,187,4929,FEMALE
Gentoo,Biscoe,48.4,13.8,224,5589,MALE
Gentoo,Biscoe,47.5,13.7,220,5467,MALE
Gentoo,Biscoe,42.8,13.4,215,4789,MALE
Gentoo,Biscoe,45.2,15.8,196,4919,MALE
Gentoo,Biscoe,46.2,14.8,213,4080,.
Gentoo,Biscoe,48.1,13.1,176,5495,FEMALE
Gentoo,Biscoe,55.9,15.1,208,5097,MALE
Gentoo,Biscoe,47.4,14.9,190,5643,FEMALE
Gentoo,Biscoe,51.3,16.1,215,5104,FEMALE
Gentoo,Biscoe,45.3,15.6,183,4197,FEMALE
Gentoo,Biscoe,46.2,16.0,202,4098,MALE
Gentoo,Biscoe,47.7,15.0,209,5196,MALE
Gentoo,Biscoe,49.1,15.9,220,5799,MALE
Gentoo,Biscoe,44.0,15.3,188,5308,MALE
Gentoo,Biscoe,52.5,16.8,177,5080,FEMALE
Gentoo,Biscoe,45.8,14.5,227,5300,
Gentoo,Biscoe,53.4,15.2,205,5044,MALE
Gentoo,Biscoe,48.4,15.3,206,5249,MALE
Gentoo,Biscoe,49.0,14.4,184,5614,MALE
Gentoo,Biscoe,43.6,14.8,200,4009,MALE
Gentoo,Biscoe,45.1,13.7,217,4478,MALE
Gentoo,Biscoe,49.4,14.4,218,4994,MALE
Gentoo,Biscoe,44.9,14.2,183,5112,FEMALE
Gentoo,Biscoe,42.0,13.9,200,4900,MALE
Gentoo,Biscoe,46.1,16.5,202,4707,MALE
Gentoo,Biscoe,45.4,14.6,198,5446,MALE
Gentoo,Biscoe,59.6,16.3,190,4950,MALE
Gentoo,Biscoe,50.4,14.6,205,4232,MALE
Gentoo,Biscoe,49.6,14.3,180,5911,FEMALE
Gentoo,Biscoe,54.3,14.3,219,5387,FEMALE
Gentoo,Biscoe,43.5,14.8,194,4520,MALE
Gentoo,Biscoe,48.7,15.0,208,4809,FEMALE
Gentoo,Biscoe,45.3,15.2,213,5267,MALE
Gentoo,Biscoe,45.2,15.8,209,5215,MALE
Gentoo,Biscoe,42.9,15.6,200,5920,MALE
Gentoo,Biscoe,43.3,14.6,201,5522,MALE
Gentoo,Biscoe,45.0,15.0,204,5209,MALE
Gentoo,Biscoe,51.5,15.4,177,4989,MALE
Gentoo,Biscoe,44.5,15.6,176,5611,FEMALE
Gentoo,Biscoe,46.5,17.3,212,5475,MALE
Gentoo,Biscoe,42.6,13.7,195,4641,MALE
Gentoo,Biscoe,50.7,14.1,177,5785,FEMALE
Gentoo,Biscoe,44.4,13.5,192,4865,FEMALE
Gentoo,Biscoe,43.8,17.1,178,4810,FEMALE
Gentoo,Biscoe,45.2,14.0,189,5175,MALE
Gentoo,Biscoe,45.5,15.8,203,5396,FEMALE
Gentoo,Biscoe,47.5,15.3,177,4430,MALE
Gentoo,Biscoe,47.2,13.5,208,5616,FEMALE
Gentoo,Biscoe,50.5,14.5,195,5645,FEMALE
Gentoo,Biscoe,42.7,14.5,198,6058,MALE
Gentoo,Biscoe,48.5,13.9,199,5425,FEMALE
Gentoo,Biscoe,50.0,14.5,193,4144,MALE
Gentoo,Biscoe,45.7,16.0,194,5495,MALE
Gentoo,Biscoe,43.5,13.8,206,5033,FEMALE
Gentoo,Biscoe,49.5,15.1,196,5267,MALE
Gentoo,Biscoe,50.0,13.9,201,5033,FEMALE
Gentoo,Biscoe,40.9,15.0,216,6091,MALE
Gentoo,Biscoe,47.6,15.0,181,5418,MALE
Gentoo,Biscoe,49.3,16.2,206,4251,FEMALE
Gentoo,Biscoe,47.3,15.7,228,5889,MALE
Gentoo,Biscoe,43.2,15.7,202,4808,FEMALE
Gentoo,Biscoe,45.5,16.2,200,5375,FEMALE
Gentoo,Biscoe,49.9,15.0,214,4654,FEMALE
Gentoo,Biscoe,45.5,15.7,202,4253,MALE
Gentoo,Biscoe,46.8,15.0,209,4963,FEMALE
Gentoo,Biscoe,52.1,15.0,209,4777,FEMALE
Gentoo,Biscoe,50.2,15.7,207,5203,FEMALE
Gentoo,Biscoe,46.3,13.6,217,5197,FEMALE
Gentoo,Biscoe,45.1,14.2,216,4506,FEMALE
Gentoo,Biscoe,46.7,17.3,231,5199,MALE
Gentoo,Biscoe,50.0,14.5,218,4396,FEMALE
Gentoo,Biscoe,47.2,14.1,214,5298,FEMALE
Gentoo,Biscoe,50.0,14.0,197,5254,FEMALE
Gentoo,Biscoe,50.5,13.8,194,5192,MALE
Gentoo,Biscoe,51.1,13.7,186,5567,MALE
Gentoo,Biscoe,46.1,16.1,231,4644,FEMALE
Gentoo,Biscoe,50.8,14.6,207,5073,MALE
Gentoo,Biscoe,48.8,14.1,210,5463,MALE
Gentoo,Biscoe,43.4,14.6,214,5035,MALE
Gentoo,Biscoe,49.6,15.4,194,4463,FEMALE
Gentoo,Biscoe,46.5,14.4,201,4774,FEMALE
Gentoo,Biscoe,55.1,14.5,197,4778,FEMALE
Gentoo,Biscoe,46.5,16.1,205,5133,MALE
Gentoo,Biscoe,50.5,17.0,182,5042,FEMALE
Gentoo,Biscoe,49.8,13.3,225,5464,MALE
Gentoo,Biscoe,45.8,16.1,197,4987,FEMALE
Gentoo,Biscoe,47.5,14.5,223,4732,FEMALE
Gentoo,Biscoe,43.4,15.5,200,4523,FEMALE
Gentoo,Biscoe,48.4,13.8,178,4899,MALE
Gentoo,Biscoe,50.0,17.3,203,5060,FEMALE
Gentoo,Biscoe,49.5,16.3,196,4833,MALE
Gentoo,Biscoe,48.4,14.7,204,5698,FEMALE
Gentoo,Biscoe,49.2,13.7,186,4714,FEMALE
Gentoo,Biscoe,46.2,15.8,205,5457,FEMALE
Gentoo,Biscoe,52.2,14.4,200,4846,FEMALE
Gentoo,Biscoe,45.5,16.3,194,5360,FEMALE
Gentoo,Biscoe,54.3,14.4,198,5143,FEMALE
Gentoo,Biscoe,46.5,15.9,202,5077,MALE
Gentoo,Biscoe,47.6,14.5,207,5166,MALE
Gentoo,Biscoe,49.1,16.2,182,5231,
Gentoo,Biscoe,44.0,15.0,201,5371,MALE
Gentoo,Biscoe,46.8,15.2,199,4949,MALE
Gentoo,Biscoe,48.7,14.2,200,5003,FEMALE
Gentoo,Biscoe,45.4,14.2,210,5436,MALE
Gentoo,Biscoe,50.8,14.3,199,4642,FEMALE
Gentoo,Biscoe,41.7,15.7,193,5293,FEMALE
Gentoo,Biscoe,45.2,15.7,193,4895,MALE
Gentoo,Biscoe,50.1,14.2,217,5302,MALE
Gentoo,Biscoe,43.5,14.8,191,5002,FEMALE
Gentoo,Biscoe,47.8,16.4,193,4396,FEMALE
Gentoo,Biscoe,51.1,14.4,209,5947,MALE
