answer,question
"[""August 17, 2018""]",when was la casa de bernarda alba written
"[""Islamic prophet Muhammad""]",who does jeffrey dean morgan play in supernatural
"[""1998""]",what is the highest elevation town in colorado
"[""1900""]",who is playing for college football national championship
"[""West Indies""]",where did the term prayer warriors come from
"[""six""]",what is the dogs name in the little rascals
"[""Carole King""]",who was involved in the ww1 christmas truce
"[""10""]",who sings when you're in love with a beautiful woman
"[""35""]",famous indian playback singer. one of the best known and respected playback singers
"[""1998""]",keeper with the highest clean sheet in epl
"[""Welton Academy""]",how many letters are there in surah fatiha
"[""to perceive linear acceleration""]",what was julie's job on the love boat
"[""2018""]",who will be the home team in the 2017 sec championship game
"[""1982""]",when's the last time redskins won a superbowl
"[""1988""]",who makes the paper money is printed on
"[""1998""]",who does the voice for the raccoon in guardians of the galaxy
"[""Christopher Robert Evans""]",who was the egyptian queen who became pharaoh
"[""12""]",when does the newest flash episode come out
"[""2017""]",who has the most assist in nba history
"[""Gal Gadot""]",where did the us locate the first national government
"[""Saleisha Stowers""]",when is masterchef australia 2018 starting in south africa
"[""1974""]",actress that plays pepper on american horror story
"[""Guaranteed Rate Field""]",name the city in brazil were confederates moved after the civil war
"[""1950""]",raindrops keep falling on my head bj thomas release date
"[""after a minor infringement""]",which is the most populous country in africa
"[""August 17, 2018""]",what season did elena and damon get together
"[""1962""]",who's doing the home invasions on sons of anarchy
"[""1982""]",when does harvey return to sabrina the teenage witch
"[""West Bengal""]",remains of plants and animals that have been preserved in sedimentary rock
"[""2015""]",when was the last time the chicago white sox won the world series
"[""John O'Banion""]",who scored highest goal for brazil in world cup
"[""ground state""]",according to a 2017 hindi film title who did harry meet
"[""West Bengal""]",when was series 14 of geordie shore filmed
"[""Ireland""]",what kind of car is jazz from transformers
"[""Sachin Tendulkar""]",who wrote the lyrics for my fair lady
"[""redox reactions""]",who played molly ringwalds father in pretty in pink
"[""Jose Garces""]",what do you get with the nobel peace prize
"[""Calcium ions""]",when a woman chases a man taiwan wiki
"[""13""]",when was the last time russia went to the world cup
"[""Marvin Gaye""]",how many episodes in the shooter on netflix
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when does silver find out adrianna switched her pills
"[""Matthew Prokop""]",who is the richest person in the philippines
"[""Gal Gadot""]",when was capital gains tax introduced in the uk
"[""Mars Bonfire""]",first woman to be hung in arizona territory
"[""V8 engine""]",what are three other names for makar sankranti
"[""Citytv""]",who arranged the periodic table by increasing atomic number
"[""Pom Klementieff""]",which type of plate boundary is in the southern california region
"[""2000""]",what is the oldest high school in florida
"[""1984""]",who wrote i've seen fire and i've seen rain
"[""1980""]",where does the blood in the pulmonary vein come from
"[""42""]",when does lorelai and luke get back together in season 7
"[""1982""]",what is the most up to date android platform
"[""George Hudson""]",who owns the russian consulate in san francisco
"[""originally from the Greek""]",you're gonna miss me when i'm gone with cups
"[""US$500""]",how does california make most of its money
"[""1890""]",who plays penny blake on grey's anatomy
"[""May 5, 1992""]",how many episodes in season 1 the good fight
"[""Miguel Cabrera""]",who wrote the lyrics to nutshell by alice in chains
"[""oxidative phosphorylation""]",who sings how far i'll go from moana
"[""Phillip Alford""]",what sports did jackie robinson play besides baseball
"[""Eagles""]",when did the tomb raider game come out
"[""2015""]",how many episodes of peaky blinders season 3
"[""12""]",who was the first known king of england
"[""Alex Rodriguez""]",who was the last president to not get reelected
"[""Marvin Gaye""]",when does the new season of family guy start
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",how many days are in febuary in a leap year
"[""35""]",who do you play as in kingdom hearts 2
"[""10""]",who won the nhl stanley cup last year
"[""Clemson\n1""]",who said the shot heard round the world
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",where does the enzyme attach to the substrate
"[""Eli Marienthal""]",who owns the spotted pig in new york city
"[""Lebanese""]",kinship traced through the mother's family is called what kind of descent
"[""a compulsory governmental insurance system""]",how many episodes in the mick season 2
"[""2010""]",who was the first host of antiques roadshow
"[""video editing""]",what language was the new testament bible originally written in
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",what is the meaning of my name stephanie
"[""Saddam Hussein""]",where does it talk about the census in the constitution
"[""1984""]",when does the 2017 regular season nfl start
"[""E. M. Forster""]",who fulfilled the warning beware of the man with one sandal
"[""Alex Rodriguez""]",name the ruler of russia during first world war
"[""1942""]",where was dark side of the moon recorded
"[""a wild Pikachu""]",who has the most number of grammy awards
"[""A concerto""]",who plays emma frost in x-men first class
"[""December 15, 2017""]",where do the electrons come from in the electron transport chain
"[""eastward, in prograde motion""]",how many buffalo wild wings are in the us
"[""1920 to 1933""]",where does the surname janse van rensburg come from
"[""Shirley Mae Jones""]",when was the first soccer world cup played
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",the ghent altarpiece which represents the divine was threatened by
"[""2015""]",when did the latest macbook pro come out
"[""James Arthur""]",when do the orioles play the red sox
"[""copper""]",who plays velma in scooby doo the movie
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who has been the longest serving chief minister of rajasthan
"[""Mary Kate Schellhardt""]",how many episodes are in season 5 of grey's
"[""produces a lubricating mucus""]",who does the voice of the female chocolate m&m
"[""originally from the Greek""]",who do bristol city share their ground with
"[""March 27, 2018""]",who plays howard's mom's voice on big bang
"[""Bella Dayne""]",who played michael jordan as a kid in space jam
"[""Shirley Mae Jones""]",how many sweeps have there been in the world series
"[""Niagara River""]",who played boo radley in the movie to kill a mockingbird
"[""2024""]",who is the actress that plays alison in pretty little liars
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",what type of dog was pudsey on bgt
"[""2015""]",what country does the name zoe come from
"[""video editing""]",when did basketball become a sport in the olympics
"[""Clemson\n1""]",what is the third most spoken language in the united states
"[""horses""]",who do northern ireland represent in the olympics
"[""179""]",when was the last time englad won the world cup
"[""Shirley Mae Jones""]",who plays mark usher on house of cards
"[""1980""]",when did the first episode of martin air
"[""redox reactions""]",who plays terry crews brother in law in brooklyn nine nine
"[""Zaira Wasim""]",who does luann's voice on king of the hill
"[""2017""]",when did season 7 of shameless come out
"[""12""]",who played the son in walking tall 1973
"[""North Korea""]",who sings save it for a rainy day
"[""Zaira Wasim""]",who played the ladybug in a bug's life
"[""10""]",what is the song my hero by foo fighters about
"[""a maroon Bristol 405""]",who was the comedian who said chase me
"[""2017""]",when is season 15 of grey's anatomy coming on
"[""Bella Dayne""]",first year for fuel injection on harley davidson
"[""US$500""]",who features in birds in the trap sing mcknight
"[""2000""]",number of cities and towns in rhode island
"[""2015""]",who files the lawsuit in a criminal case
"[""China""]",who was the mayor of atlanta in 1996
"[""13""]",who averaged the most points in nba history
"[""4""]",who plays lemon's mom in hart of dixie
"[""March 25, 2011""]",where is the lowest minimum wage in the us
"[""Guaranteed Rate Field""]",who played grace's sister in will and grace
"[""E. M. Forster""]",who has scored most runs in t20 matches
"[""Sarabi""]",the river narmada rises in the amarkantak plateau of
"[""Spanish""]",when was the first ford plant opened in south africa
"[""Spanish""]",attack on titan season 2 dubbed episode 10 release date
"[""122""]",who does the voice of gaara in naruto
"[""Edwin Hubble""]",what was the last year they made the gmc envoy
"[""Spanish""]",who played ainsley hayes on the west wing
"[""1890""]",who starred in the movie to kill a mockingbird
"[""A mood swing""]",the analects have been attributed to the founder of this religion
"[""West Indies""]",who wrote ain't that a kick in the head
"[""Venus""]",who plays molly in big momma house 2
"[""Mars Bonfire""]",when did pirates of the caribbean 2 come out
"[""2018""]",who played hilda in sabrina the teenage witch
"[""Citytv""]",who sang original i put a spell on you
"[""2010""]",where will the final of the champions league be played
"[""January 11, 1970""]",when did harry potter open at universal orlando
"[""1900""]",in the greek civilisation sparta was well known for
"[""January 11, 1970""]",who gave the name of structuralism to the early psychological approach
"[""PewDiePie""]",what day is national ice cream day on
"[""V8 engine""]",most followed person on instagram in world 2018
"[""ground state""]",when is the day as long as the night
"[""9""]",who won the indian national title for man in 2003 in chess
"[""March 25, 2011""]",where does the colorado river end in texas
"[""John O'Banion""]",what is the meaning of erp in tally
"[""August 27, 2017""]",who has the most yards as a quarterback
"[""December 2003""]",when does lara croft tomb raider come out
"[""1939""]",who played the role of van helsing in the movie
"[""2000""]",where was the movie 10 cloverfield lane filmed
"[""1967""]",what was the first need for speed game
"[""Zaira Wasim""]",who played pai mei in kill bill 2
"[""March 9, 2018""]",when did england last lose three in a row
"[""the Ivrea Codex"",""the Apt Codex""]",someone who went to california during the gold rush
"[""10""]",which country's team always leads the olympic opening procession
"[""China""]",when does an occurrence at owl creek bridge take place
"[""2017""]",who warned the colonists that the british were coming
"[""13""]",what is the name of the simpson's cat
"[""January 11, 1970""]",when did the audi a3 have a facelift
"[""Abigail Rokison-Woodall""]",who averaged a triple double in the nba
"[""1920 to 1933""]",when did lucille ball start i love lucy
"[""Anderson Silva""]",how many number one hits did the supremes have
"[""December 15, 2017""]",when did north korea launch the first missile
"[""4""]",who won the battle of kursk in world war ii
"[""Gabrielle Haugh""]",which country in the southeast asian realm has the largest population
"[""the axon terminal""]",who organized known elements by placing them into groups of three called triads
"[""a maroon Bristol 405""]",where did the first civilization in africa start
"[""Lebanese""]",who is responsible for maneuvering the fire team
"[""Spanish""]",who was the highest paid actor in 1971
"[""Meredith Willson""]",who won the nathan hot dog eating contest
"[""April 28, 2017""]",when was registry of interpreters for the deaf founded
"[""those that have died""]",what is the robots name in power rangers
"[""Edwin Hubble""]",who does the voice for the raccoon in guardians of the galaxy
"[""North Korea""]",when is my little pony movie coming out
"[""produces a lubricating mucus""]",when is the last time the celtics won a championship
"[""Machilipatnam""]",where is 587 area code located in canada
"[""2024""]",who moved the objective resolution on 13 december 1946
"[""October 10, 2017""]",when did the tv show full house start
"[""12""]",who played jonathan in arsenic and old lace
"[""PewDiePie""]",who is the managing director of hdfc bank
"[""University of South Carolina""]",who plays elliot in cheaper by the dozen 2
"[""Lake Baikal""]",who wrote the song i never promised you a rose garden
"[""Constantine""]",who plays the stark mother in game of thrones
"[""Venus""]",how long does it take the concorde to fly from paris to new york
"[""the Cambrian explosion""]",when did the golden compass book come out
"[""Sarabi""]",50 shades of grey where was it filmed
"[""Pom Klementieff""]",which president organized the trade missions to japan
"[""King Edward Peak""]",who sang i don't wanna dance
"[""Machilipatnam""]",what channel is the weather channel.on direct tv
"[""Evaluation and management""]",who played jason dilaurentis in pretty little liars
"[""in 2018""]",what movie did angelina jolie won an oscar for
"[""1967""]",when was the half pipe brought to the olympics
"[""A concerto""]",who played egon in the original ghostbusters movie
"[""Jesse Donald Knotts""]",what is the channel number for cartoon network on spectrum
"[""January 11, 1970""]",how did tiffany get her body back in chucky
"[""Greek""]",who is the current madam president in the senate
"[""horses""]",who reports to the presidents chief of staff
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",where was the battle of bunker hill actually fought
"[""1981""]",who won the men's single title in french open tennis tournament 2015
"[""August 17, 2018""]",what is the type of government in brazil
"[""James Arthur""]",what is the name of the castle in prague
"[""122""]",who is the current nigerian deputy senate president
"[""December 15, 2017""]",when does dragon ball super episode 110 come out
"[""July 16, 2017""]",who played mrs robinson in the film the graduate
"[""1980""]",who wrote rockin pneumonia and the boogie woogie flu
"[""1998""]",who played the role of gemini ganeshan in mahanati
"[""1962""]",who is the head of government in morocco
"[""1980""]",what is the age of the oldest living person on earth
"[""1,089 sq ft""]",where does the ulna articulate with the humerus
"[""a maroon Bristol 405""]",who scored the first own goal in fifa world cup history
"[""A concerto""]",where was the adventures of huckleberry finn published
"[""James Arthur""]",who did joseph campanella play on days of our lives
"[""Spanish""]",where are lymph nodes concentrated in the body
"[""Christopher Robert Evans""]",which hindu god was known as the preserver
"[""San Antonio""]",where is britain's got talent semi finals held
"[""Evaluation and management""]",the most common medium for oil paint is
"[""after a minor infringement""]",who has won the most big 12 championships in football
"[""2010""]",where is the champions league cup final being held
"[""China""]",when did the three pence go out of circulation
"[""Marvin Gaye""]",when was the last time the us open was at shinnecock
"[""2017""]",who plays the voice of morgana in trollhunters
"[""12""]",when will film stars don't die in liverpool be released
"[""2012""]",who was the singer from the cranberries that died
"[""Jason Michael Lee""]",who plays mr rosso in freaks and geeks
"[""Calcium ions""]",who stated that there is an exchange of materials when two objects come into contact with each other
"[""Constantine""]",when was congress supposed to meet according to the original constitution
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",when was the colony of new hampshire established
"[""1984""]",who used the sherman antitrust act to dissolve the monopoly of the northern securities company
"[""Potassium chlorate""]",who is in the video don't worry be happy
"[""Charles Young""]",who plays cami harris on last man standing
"[""122""]",what episode of bleach does the fullbring arc start
"[""Amanda Shiflett""]",who played lindsay on two and a half men
"[""San Antonio""]",when was the ombudsman’s office in england set up
"[""1960""]",the name for spanish explorers who claimed land
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",is the nissan gtr a v6 or v8
"[""Venus""]",bsf responsible for guarding on border of which countries
"[""Potassium chlorate""]",who is the secretary of state of usa
"[""copper""]",when was the 1913 natives land act repealed
"[""horses""]",who sings no bad news in the wiz
"[""January 11, 1970""]",colombo is in which state of sri lanka
"[""October 10, 2017""]",what arm of the galaxy are we in
"[""42""]",when will the workd cup final be played
"[""May 5, 1992""]",who led the metis in the rebellions at red river in 1870 and in the northwest in 1885
"[""George Casper Homans""]",where is the myelin sheath located on a neuron
"[""four""]",who was the doctor who identified the cause of the 1854 colera outbreak in england
"[""12""]",who is the captain of new zealand cricket team 2015
"[""Anderson Silva""]",when did dade county become miami dade county
"[""oxidative phosphorylation""]",who sings may the bird of paradise fly up your nose
"[""Marvin Gaye""]",the longest wavelengths in the visible spectrum are
"[""Ryan Guzman""]",when did dwyane wade came into the league
"[""Potassium chlorate""]",who wrote music for singing in the rain
"[""Ryan Guzman""]",what is the real name of wonder woman 2017
"[""New York Yankees""]",when was just the way you are released
"[""August 17, 2018""]",what country's flag has a moon and star
"[""the Ivrea Codex"",""the Apt Codex""]",who is playing role of kalasur in qayamat ki raat
"[""Marley""]",who died from the movie fast and furious
"[""179""]",who was the first host of antiques roadshow
"[""Prince Phillip""]",when did the f14 go out of service
"[""Miguel Cabrera""]",who played the principal on saved by the bell
"[""April 28, 2017""]",when did basketball become a sport in the olympics
"[""Carole King""]",how long is a tracking number for ups
"[""August 17, 2018""]",how many times did dale earnhardt win daytona
"[""Australia""]",where does the pacific crest trail end in canada
"[""1,089 sq ft""]",who is the owner of warner bros records
"[""Spanish""]",how many episodes of animal kingdom are in season 3
"[""Sachin Tendulkar""]",who hit the gong on take your pick
"[""Jesse Donald Knotts""]",who carries the nuclear football for the president
"[""Zaira Wasim""]",who sang the song how much is that doggie in the window
"[""Calcium ions""]",who threw the most touchdowns in a superbowl
"[""Tuticorin (Thoothukudi)""]",who has scored the most goals for manchester united
"[""2015""]",who has the highest on base percentage of all time
"[""1920 to 1933""]",who sang the original version of mr bojangles
"[""Venus""]",where is the indian institute of foreign trade located
"[""those that have died""]",who does nick foles play for in the nfl
"[""King Edward Peak""]",who played the monster in jeepers creepers 3
"[""Australia""]",who was the comic book series amar chitra katha created
"[""Zaira Wasim""]",who is playing rachel in sana dalawa ang puso
"[""John von Neumann""]",when did the rule of the directory begin
"[""North Korea""]",who won the women's 400 meter dash in the olympics
"[""Zaira Wasim""]",who holds the record for most td passes in a game
"[""Josh Groban""]",who is the rapper that wears a clock
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",list of fair play award in ipl 2018
"[""Machilipatnam""]",when was the first cabbage patch kid made
"[""Anil Kumar Jha""]",who won the second italian war of independence
"[""V8 engine""]",when did age of empires 2 come out
"[""December 15, 2017""]",who was looking for a heart in the wizard of oz
"[""West Indies""]",when does the last episode of empire air
"[""13""]",who sings with pink just give me a reason
"[""PewDiePie""]",who plays cuff in stuck in the middle
"[""Season 4, Episode 8""]",theakstons old peculier crime novel of the year 2016
"[""2017""]",who were the first man to create apple computer
"[""1,089 sq ft""]",when does the season finale of andi mack come on
"[""1939""]",who was the bird woman in mary poppins
"[""Citytv""]",who is the sponsoring bank for the pandian gramin bank
"[""January–July 1975""]",who played the daughter of darlene on roseanne
"[""Dylan""]",what type of motor used in vacuum cleaner
"[""1980""]",guest stars on sons of anarchy season 5
"[""centroid""]",when did the golden compass book come out
"[""Meredith Willson""]",when does a new dragon ball super episode come out
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",who sings the song wish i knew you when i was young
"[""Phillip Alford""]",what was the name of the projects in good times
"[""March 9, 2018""]",who played freddy krueger on nightmare on elm street
"[""the axon terminal""]",who chose the 7 wonders of the ancient world
"[""video editing""]",who played loonette in the big comfy couch
"[""Machilipatnam""]",what is the name of thor's hammer in the movie
"[""Zaira Wasim""]",who developed a useful staining method to identify bacteria
"[""1980""]",when did fifty shades of grey movie come out
"[""Parafollicular cells""]",where did the rolling stones lips come from
"[""Clemson\n1""]",when did verizon center become capital one arena
"[""12""]",who designed the glass pyramid in the louvre
"[""Ryan Guzman""]",when does the new show legacies come out
"[""1981""]",who sings let it go in the credits
"[""2009""]",what european country does the jabra brand originate from
"[""eastward, in prograde motion""]",when do schools break up for six weeks
"[""video editing""]",what bridge does the d train go over
"[""2018""]",who was the actress that played tony montana's sister
"[""after a minor infringement""]",what is the english translation of the welsh national anthem
"[""Eagles""]",who crossed the twin towers on a tightrope
"[""March 27, 2018""]",what are the different generations of ipad mini
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",when does game over man come out on netflix
"[""Gal Gadot""]",where does the book the color purple take place
"[""12""]",who sings just my imagination running away with me
"[""1984""]",when is the second fifth wave coming out
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",odalisque is a turkish term and can be defined as
"[""Islamic prophet Muhammad""]",who won the first nobel prize in peace
"[""10""]",who plays margaret denyar in upper middle bogan
"[""13""]",where is the roting number on a check
"[""produces a lubricating mucus""]",when does home and away return april 2018
"[""copper""]",who played skeletor in masters of the universe
"[""Molt Taylor""]",when did the rule of the directory begin
"[""Mary Kate Schellhardt""]",where did the biggest source of war funding come from during the civil war
"[""Matthew Prokop""]",who wrote you are so beautiful by joe cocker
"[""Marvin Gaye""]",when did the bmw 1 series change shape
"[""State governments""]",song how sweet it is to be loved by you lyrics
"[""1981""]",who plays the character irok in ready player one
"[""copper""]",where is ferris bueller's day off filmed
"[""2–4 years""]",how many seasons are there of the leftovers
"[""March 15, 2013""]",what city was the center of imperial life in the roman empire in the early fifth century
"[""Edwin Hubble""]",where did god helps those who help themselves come from
"[""Lionel Messi""]",when did the bmw 1 series have a facelift
"[""Sachin Tendulkar""]",when did the original star wars come out
"[""March 9, 2018""]",who does the voice of ron cadillac on archer
"[""Edwin Hubble""]",who played bill sikes in the 1968 film oliver
"[""Carole King""]",when did the fast and furious movie come out
"[""1980""]",who sang you didn't have to love me like you did
"[""1967""]",who wrote the music to the music man
"[""to perceive linear acceleration""]",who sings the theme song for miami vice
"[""Anil Kumar Jha""]",when did construction start on the great wall of china
"[""Miguel Cabrera""]",where are avocados grown in the united states
"[""E. M. Forster""]",who went to the super bowl in 1999
"[""Prince Phillip""]",who plays dr owen hunt on grey's anatomy
"[""Anil Kumar Jha""]",how many seats ppp have in national assembly
"[""Alex Rodriguez""]",which process produces the most atp molecules in aerobic cellular respiration
"[""Queen's Park""]",what are the names of the thor movies
"[""those that have died""]",where do the san francisco giants play baseball
"[""Marley""]",who has won the mens singles french open tennis tournament 2018
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",what is the real name for chilean sea bass
"[""Lionel Messi""]",large island part of north america but belongs to europe
"[""Saddam Hussein""]",when did the supreme court ruled that bus segregation was unconstitutional
"[""13""]",who wrote the song i only want to be with you
"[""December 2003""]",when does the adventures of tintin take place
"[""Prince Phillip""]",who invented the meaning of the middle finger
"[""Shirley Mae Jones""]",when is the maze runner 2 coming out
"[""2010""]",the upper layer of soil called horizon a is where
"[""2018""]",when is the olympics going to be in america
"[""Islamic prophet Muhammad""]",who wrote we're not gonna take it
"[""six""]",when was the last time pakistan won the world cup
"[""Pom Klementieff""]",who is singing in summer by calvin harris
"[""1982""]",where did the battle of poitiers take place
"[""July 16, 2017""]",who said it is a tale told by an idiot full of sound and fury
"[""Christopher Robert Evans""]",when is chapter 5 of agent a coming out
"[""2018""]",who was considered the father of american geography
"[""George Hudson""]",when did justin bieber perform at madison square garden
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who sings the theme song from good times
"[""Josh Groban""]",who plays eddie on season 8 of shameless
"[""PewDiePie""]",who discovered the direction of magnetic field lines
"[""1942""]",what are the main industries in papua new guinea
"[""those that have died""]",when was the first human development report published
"[""George Hudson""]",what is the record field goal in the nfl
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when did they start saying the pledge of allegiance in schools
"[""West Indies""]",in what area of the lung does respiration occur
"[""those that have died""]",who is the first indian person to climb mount everest
"[""Mexico"",""Soviet Union""]",which microorganisms cause mycobacterium avium complex (mac) infection
"[""10""]",which canadian hockey team has won the most stanley cups
"[""1962""]",what is the term that is used to describe a person’s overall sense of worth and well-being
"[""Miguel Cabrera""]",who holds the record for the fastest pitch in baseball
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",when does marvel's agents of shield return season 5
"[""Mexico"",""Soviet Union""]",who sings leaving on a jet plane lyrics
"[""A mood swing""]",what were the two main causes of the dust bowl
"[""12""]",when was the last time the bengals went to the superbowl
"[""Potassium chlorate""]",when did the 4th harry potter book come out
"[""2017""]",when did baby car seats become law uk
"[""A concerto""]",who plays selina on once upon a time
"[""Citytv""]",when did pokemon come out in the usa
"[""10""]",what kind of car did they use in the movie christine
"[""April 1, 1999""]",who was known as the father of roman poetry and wrote annales an epic poem about the history of rome
"[""Jason Michael Lee""]",who made the song king of the road famous
"[""1967""]",when did the last season of one tree hill air
"[""Marley""]",when was fly me to the moon by frank sinatra released
"[""2000""]",when did the south china tiger become endangered
"[""constitutional republic""]",president are allowed to issue which kind of orders without the approval of congress
"[""six""]",who produces the most hops in the world
"[""18""]",what can change the binding properties of a protein
"[""pyramidion""]",number of goals in world cup so far
"[""centroid""]",who started the first news paper in india
"[""Zaira Wasim""]",who made up the periodic table of elements
"[""New York Yankees""]",how old was michael myers when he killed his older sister
"[""Billie Jean King""]",who was the first us president to be assassinated
"[""December 2003""]",where is jessica jones set in new york
"[""2017""]",who holds the record for the most consecutive starts in the nfl
"[""7""]",who plays taylor on young and the restless
"[""Ireland""]",who founded the church of jesus christ of the latter day saints quizlet
"[""Islamic prophet Muhammad""]",which side of the heart is the tricuspid valve
"[""Jason Michael Lee""]",who portrayed dorothy in the 1925 wizard of oz
"[""2–4 years""]",who has scored the most goals for manchester united
"[""In 1995""]",when was the first morgan silver dollar made
"[""1982""]",how many times has duke won the final four
"[""Jesse Donald Knotts""]",what was the great pyramid of giza made out of
"[""to perceive linear acceleration""]",when does infinty wat come out on dvd
"[""Marley""]",who played the hunchback in the hunchback of notre dame
"[""35""]",what port is associated with the dns service
"[""1960""]",who sings love don't live here anymore
"[""Jose Garces""]",who has been to the summit of everest the most
"[""18""]",which side of the heart is the tricuspid valve
"[""six""]",who do bristol city share their ground with
"[""January–July 1975""]",ancient area of asia minor including aegean islands
"[""Bella Dayne""]",who plays emily's mom in pitch perfect
"[""Amanda Shiflett""]",who was the lead actress in the shape of water
"[""Zaira Wasim""]",names of the darling family in peter pan
"[""ground state""]",where is 587 area code located in canada
"[""unknown""]",what was the last year ford made the sport trac
"[""1792""]",the river narmada rises in the amarkantak plateau of
"[""after a minor infringement""]",where does the group boney m come from
"[""V8 engine""]",who was involved in the croatian war of independence
"[""1982""]",what is the bridge in saturday night fever
"[""12""]",who played the doctor on star trek voyager
"[""Ryan Guzman""]",who plays the governor on the show yellowstone
"[""Evaluation and management""]",how many employees are in a small business
"[""horses""]",minimum age to contest for president in nigeria
"[""1943""]",who sings i want to swing from a chandelier
"[""2009""]",when was the last time the us hosted a world cup
"[""2000""]",when did the song selfish by rihanna come out
"[""oxidative phosphorylation""]",who plays brick in the sitcom the middle
"[""Richard Dawson""]",why leaves of cactus are reduced to spines
"[""August 27, 2017""]",who played miley's mom on hannah montana
"[""2018""]",who discovered sandwich (now hawaiian) isles
"[""Carole King""]",who dies in batman v superman dawn of justice
"[""1984""]",large trash island in the middle of the pacific
"[""9""]",who sang the super mario bros super show theme song
"[""18""]",when does new series of dr who start 2018
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who wrote the night the lights went out in georgia lyrics
"[""Edwin Hubble""]",who wrote somebody like you by keith urban
"[""Spectre""]",what is the product name for os x version 10.11
"[""1998""]",where is saba university school of medicine located
"[""Calcium ions""]",how many episodes of american crime season 1
"[""New Netherland""]",clove is taken from which part of the plant
"[""Pom Klementieff""]",what type of song did schubert specialize in
"[""December 2003""]",which city has topped the list in the mercers 2017 quality of living index
"[""Lebanese""]",who won america's got talent in 2015
"[""pyramidion""]",where is the planet jupiter located in the solar system
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",what us cities have the highest african american population
"[""April 28, 2017""]",who was the killer in scream 2 movie
"[""Marvin Gaye""]",when do dr shepherd and meredith get married
"[""a maroon Bristol 405""]",who hit the gong on take your pick
"[""E. M. Forster""]",which materials is used as anode in dry cell
"[""10""]",who's the first president of the united states
"[""18""]",first woman to be hung in arizona territory
"[""13""]",who was considered the greatest greek warrior at the time of the trojan war
