Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Gentoo,Biscoe,48.6,14.5,221,4965,MALE
Gentoo,Biscoe,46.8,15.0,193,5267,FEMALE
Gentoo,Biscoe,50.4,14.2,207,4350,MALE
Gentoo,Biscoe,43.3,15.6,184,4674,MALE
Gentoo,Biscoe,48.7,16.3,206,5285,FEMALE
Gentoo,Biscoe,44.9,15.0,187,5546,MALE
Gentoo,Biscoe,43.6,13.7,207,5638,MALE
Gentoo,Biscoe,43.4,13.1,182,6039,MALE
Gentoo,Biscoe,52.5,16.0,182,5035,MALE
Gentoo,Biscoe,46.5,15.0,172,5263,FEMALE
Gentoo,Biscoe,49.5,17.3,193,5483,FEMALE
Gentoo,Biscoe,47.2,15.3,190,5119,MALE
Gentoo,Biscoe,50.2,15.9,184,4724,FEMALE
Gentoo,Biscoe,43.3,17.0,217,5080,MALE
Gentoo,Biscoe,49.9,14.8,219,5083,MALE
Gentoo,Biscoe,46.5,14.5,201,4415,FEMALE
Gentoo,Biscoe,46.2,13.9,200,5026,FEMALE
Gentoo,Biscoe,48.7,14.8,202,6132,MALE
Gentoo,Biscoe,46.5,14.5,189,5054,MALE
Gentoo,Biscoe,43.5,14.2,208,5888,MALE
Gentoo,Biscoe,48.4,15.7,211,5249,MALE
Gentoo,Biscoe,44.9,15.3,185,5164,MALE
Gentoo,Biscoe,51.1,15.0,175,5526,MALE
Gentoo,Biscoe,44.0,14.4,204,6300,
Gentoo,Biscoe,46.6,15.3,210,4946,MALE
Gentoo,Biscoe,52.2,13.7,198,4949,FEMALE
Gentoo,Biscoe,50.0,13.7,223,5610,MALE
Gentoo,Biscoe,45.2,14.2,201,4429,MALE
Gentoo,Biscoe,45.5,15.0,187,4948,MALE
Gentoo,Biscoe,49.2,14.6,215,4433,FEMALE
Gentoo,Biscoe,46.8,14.6,208,4890,MALE
Gentoo,Biscoe,47.2,14.1,203,4938,MALE
Gentoo,Biscoe,44.4,15.0,179,5000,MALE
Gentoo,Biscoe,45.5,13.7,204,4742,MALE
Gentoo,Biscoe,48.5,14.1,172,6203,MALE
Gentoo,Biscoe,48.4,14.5,216,5022,MALE
Gentoo,Biscoe,40.9,16.0,182,4665,MALE
Gentoo,Biscoe,48.1,17.0,176,5127,FEMALE
Gentoo,Biscoe,50.0,17.0,213,5905,MALE
Gentoo,Biscoe,50.0,15.4,214,5822,MALE
Gentoo,Biscoe,46.1,14.5,206,4143,FEMALE
Gentoo,Biscoe,45.8,13.8,172,5441,FEMALE
Gentoo,Biscoe,45.2,15.7,198,4545,MALE
Gentoo,Biscoe,55.9,15.9,193,4721,FEMALE
Gentoo,Biscoe,45.2,15.1,223,5155,FEMALE
Gentoo,Biscoe,49.3,13.5,207,5132,FEMALE
Gentoo,Biscoe,45.4,14.5,186,5084,FEMALE
Gentoo,Biscoe,49.1,15.0,196,4392,FEMALE
Gentoo,Biscoe,47.8,14.3,216,4881,.
Gentoo,Biscoe,50.5,15.4,189,4651,MALE
Gentoo,Biscoe,46.3,15.7,192,4374,FEMALE
Gentoo,Biscoe,45.5,14.2,201,4993,MALE
Gentoo,Biscoe,53.4,15.5,172,4321,FEMALE
Gentoo,Biscoe,48.4,15.8,189,5170,FEMALE
Gentoo,Biscoe,49.8,15.8,212,5392,FEMALE
Gentoo,Biscoe,54.3,14.2,195,4952,FEMALE
Gentoo,Biscoe,55.1,17.1,208,5185,FEMALE
Gentoo,Biscoe,47.5,13.6,208,5472,MALE
Gentoo,Biscoe,50.8,16.2,194,5000,MALE
Gentoo,Biscoe,49.0,15.6,201,3659,MALE
Gentoo,Biscoe,46.5,16.5,202,4594,FEMALE
Gentoo,Biscoe,46.2,13.2,218,5878,FEMALE
Gentoo,Biscoe,50.4,14.6,205,4074,MALE
Gentoo,Biscoe,44.5,15.0,188,4991,FEMALE
Gentoo,Biscoe,46.9,14.4,172,4665,MALE
Gentoo,Biscoe,42.7,14.3,205,5826,FEMALE
Gentoo,Biscoe,48.2,13.5,206,4540,MALE
Gentoo,Biscoe,45.8,13.9,207,5913,FEMALE
Gentoo,Biscoe,47.6,13.7,228,5522,FEMALE
Gentoo,Biscoe,45.2,16.1,194,4822,MALE
Gentoo,Biscoe,50.1,16.3,203,5570,FEMALE
Gentoo,Biscoe,45.8,16.1,190,4547,FEMALE
Gentoo,Biscoe,46.7,15.2,187,4746,MALE
Gentoo,Biscoe,45.3,15.7,185,5034,FEMALE
Gentoo,Biscoe,48.6,15.6,172,5474,MALE
Gentoo,Biscoe,47.5,14.8,189,4845,FEMALE
Gentoo,Biscoe,54.3,17.0,193,4588,MALE
Gentoo,Biscoe,45.7,17.3,205,5600,MALE
Gentoo,Biscoe,48.2,14.4,198,5750,MALE
Gentoo,Biscoe,46.4,15.7,200,5233,MALE
Gentoo,Biscoe,45.5,15.2,229,3942,FEMALE
Gentoo,Biscoe,51.5,13.3,203,5596,FEMALE
Gentoo,Biscoe,43.8,16.4,225,5023,FEMALE
Gentoo,Biscoe,46.5,14.5,195,5242,FEMALE
Gentoo,Biscoe,50.0,14.3,208,5536,FEMALE
Gentoo,Biscoe,44.5,15.8,215,4418,FEMALE
Gentoo,Biscoe,46.2,17.3,192,5023,FEMALE
Gentoo,Biscoe,49.6,16.3,215,5408,MALE
Gentoo,Biscoe,49.8,16.3,208,5034,FEMALE
Gentoo,Biscoe,49.1,13.9,218,4770,FEMALE
Gentoo,Biscoe,45.3,15.0,200,5756,FEMALE
Gentoo,Biscoe,47.7,14.5,187,5063,FEMALE
Gentoo,Biscoe,49.6,13.8,185,4646,MALE
Gentoo,Biscoe,48.2,13.7,187,4803,FEMALE
Gentoo,Biscoe,42.8,15.2,197,5101,MALE
Gentoo,Biscoe,42.7,13.4,205,4911,FEMALE
Gentoo,Biscoe,49.0,14.3,207,4856,MALE
Gentoo,Biscoe,46.7,15.3,187,5756,FEMALE
Gentoo,Biscoe,50.7,15.3,195,4903,FEMALE
Gentoo,Biscoe,45.3,15.6,195,5296,FEMALE
Gentoo,Biscoe,49.8,15.0,206,4624,
Gentoo,Biscoe,43.5,15.2,208,5142,MALE
Gentoo,Biscoe,43.2,14.6,199,6272,MALE
