method,number,orbital_period,mass,distance,year
Radial Velocity,2,58.11289,8.02,37.88,1998
Transit,1,2.99433,,560.0,2010
Radial Velocity,1,778.1,5.9,138.5,2011
Radial Velocity,2,1460.0,,,2014
Transit,1,1.212884,,393.0,2010
Radial Velocity,1,7.3709,,,2011
Transit,2,27.9481449,,,2012
Transit,2,4.62332,,,2014
Radial Velocity,1,479.0,1.6,114.55,2009
Transit,1,5.452654,,257.0,2011
Radial Velocity,1,5.0505,1.068,44.46,2013
Radial Velocity,2,263.3,0.27,15.71,2010
Transit,2,16.3850021,,,2012
Radial Velocity,1,1155.0,0.36,21.92,2005
Radial Velocity,1,1800.0,1.15,,2008
Astrometry,1,1016.0,,,2010
Transit,5,7.07142,,,2014
Radial Velocity,1,1951.0,,,2008
Radial Velocity,3,346.6,,,2007
Radial Velocity,2,13.186,0.0263,,2011
Radial Velocity,2,2277.0,,,2011
Radial Velocity,3,31.56,0.038,,2006
Transit,2,0.66931,,,2014
Transit,2,51.538,,,2012
Radial Velocity,1,464.3,2.0,106.38,2009
Radial Velocity,1,282.4,0.48,51.81,2010
Radial Velocity,3,346.6,0.396,64.56,2007
Radial Velocity,3,274.49,0.0519,38.01,2011
Radial Velocity,2,7100.0,1.6,15.1,2011
Transit,1,2.9036747,,345.0,2012
Radial Velocity,3,90.309,0.0151,6.06,2011
Transit,5,5.714932,,368.0,2013
Radial Velocity,2,,0.0097,21.52,2011
Radial Velocity,1,157.54,,117.37,2009
Radial Velocity,1,589.64,2.9,10.34,2006
Radial Velocity,2,937.7,1.24,28.04,2003
Radial Velocity,2,1275.0,,38.52,2011
Radial Velocity,5,0.73654,,12.53,2011
Radial Velocity,1,714.3,,,2007
Transit,1,3.6623866,,240.0,2012
Radial Velocity,1,,5.61,70.97,2007
Transit,1,2.828042,,,2010
Transit,1,59.87756,,,2013
Radial Velocity,1,1523.0,,44.05,2009
Radial Velocity,2,3.8728,,,2013
Radial Velocity,6,28.14,,6.8,2011
Astrometry,1,246.36,,20.77,2013
Radial Velocity,1,3630.0,9.61,,2012
Transit,2,17.849,,,2013
Transit,7,59.73667,,780.0,2013
Radial Velocity,2,7100.0,1.6,15.1,2011
Radial Velocity,1,6.1335,2.13,,2005
Transit,1,3.54387,,642.0,2012
Radial Velocity,6,602.0,0.067,,2010
Radial Velocity,2,408.6,2.24,,2004
Transit,2,35.736,,,2013
Radial Velocity,1,675.0,,100.0,2007
Radial Velocity,1,428.5,,38.52,2009
Radial Velocity,3,962.0,0.64,26.15,2008
Radial Velocity,3,2172.0,0.54,26.15,2008
Radial Velocity,2,127.58,5.9,164.2,2008
Radial Velocity,1,331.5,,59.28,2009
Transit,5,19.57706,,290.0,2011
Transit,2,54.414,,,2013
Radial Velocity,2,29.15,0.0379,35.89,2011
Radial Velocity,1,,1.8,,2011
Radial Velocity,1,359.9,4.6,,2007
Radial Velocity,2,,0.0378,43.08,2011
Transit,4,42.8961,,,2014
Transit Timing Variations,2,57.011,,855.0,2012
Transit,1,7.340718,,1330.0,2013
Transit,1,10.863502,,190.0,2010
Radial Velocity,4,4.617033,,13.47,1996
Radial Velocity,1,227.0,,44.15,2002
Radial Velocity,1,15.76491,3.91,10.91,1999
Radial Velocity,2,3186.0,,46.84,2012
Imaging,1,,,,2008
Microlensing,1,3300.0,,,2006
Radial Velocity,1,868.0,,130.89,2011
Radial Velocity,1,1299.0,1.9,106.38,2011
Imaging,4,69000.0,,39.94,2008
Radial Velocity,1,511.098,,31.33,2002
Radial Velocity,2,391.9,0.82,43.4,2007
Radial Velocity,1,41.397,0.298,11.03,2010
Radial Velocity,1,387.1,,168.92,2011
Transit,2,36.855,,,2013
Radial Velocity,1,516.22,10.5,119.47,2009
Radial Velocity,1,439.3,,,2005
Transit,1,228.776,,61.0,2011
Transit,2,5.005425,,354.0,2011
Radial Velocity,1,1773.4,,18.15,2002
Transit,5,21.77596,,,2011
Radial Velocity,1,70.46,0.3,30.5,2005
Radial Velocity,1,4951.0,6.8,42.77,2012
Transit,2,10.338523,,90.0,2010
Radial Velocity,2,201.83,,25.7,2008
Transit,2,10.5016,,,2012
Radial Velocity,1,111.4357,,29.04,2001
Radial Velocity,2,192.9,1.82,52.85,2009
Radial Velocity,1,883.0,2.2,121.36,2011
Transit,6,10.3039,,613.0,2010
Transit,2,51.538,,,2012
Microlensing,1,,,,2009
Radial Velocity,1,670.0,,,2011
Transit,5,19.57706,,290.0,2011
Transit,3,39.792187,,66.0,2013
Radial Velocity,1,951.0,,40.75,2001
Radial Velocity,1,264.15,,33.33,2002
Radial Velocity,5,4909.0,3.53,12.53,2002
Radial Velocity,1,2.54858,,36.52,2003
Transit,2,20.8613,,2100.0,2011
Transit,2,8.041,,,2013
Transit,2,2.50806,,,2014
Radial Velocity,1,3999.0,1.9,,2011
Radial Velocity,5,14.651,0.8,12.53,1996
Radial Velocity,1,1299.0,1.9,106.38,2011
Radial Velocity,1,,0.28,,2005
Radial Velocity,2,391.9,,43.4,2007
Transit,1,2.9444256,,,2010
Eclipse Timing Variations,2,2883.5,,500.0,2010
Transit,2,15.5741568,,,2012
Radial Velocity,1,2.391,,76.51,2009
Radial Velocity,2,7100.0,,,2011
Transit,1,4.61442,,225.0,2012
Transit,1,288.822,,,2011
Transit,7,124.9144,,780.0,2013
Radial Velocity,1,62.218,0.229,11.11,2003
Radial Velocity,1,1114.0,0.95,35.0,2002
Transit,2,17.849,,,2013
Radial Velocity,2,22.656,,32.31,2011
Radial Velocity,4,12.9292,0.017,6.27,2005
Microlensing,1,,,,2009
Transit,1,3.4059096,,360.0,2010
Radial Velocity,1,3.416,0.22,74.46,2004
Astrometry,1,246.36,,20.77,2013
Radial Velocity,1,227.0,1.8,44.15,2002
Eclipse Timing Variations,1,10220.0,6.05,,2009
Radial Velocity,1,4951.0,6.8,,2012
Radial Velocity,1,798.5,,21.41,1996
Radial Velocity,1,10.7085,,29.76,1999
Radial Velocity,5,,,12.53,2007
Radial Velocity,1,39.845,1.04,17.43,1997
Transit,1,3.8559,,480.0,2012
Radial Velocity,2,201.83,3.1548,25.7,2008
Radial Velocity,3,12.083,0.0292,26.91,2011
Radial Velocity,1,874.774,,56.95,2008
Transit,2,0.66931,,,2014
Radial Velocity,1,407.15,,15.56,2011
Transit,4,3.743208,,,2013
Radial Velocity,1,511.098,,31.33,2002
Transit,1,3.764825,,,2010
Radial Velocity,1,,,84.03,2012
Radial Velocity,1,745.7,,307.69,2011
Transit,6,31.9996,,613.0,2010
Radial Velocity,1,1183.0,4.9,89.85,2002
Transit,2,16.3850021,,,2012
Transit,1,289.8623,,190.0,2011
Radial Velocity,1,1773.4,4.64,,2002
Transit,1,6.24658,,1030.0,2013
Radial Velocity,6,2248.0,,39.39,2010
Radial Velocity,1,423.841,1.28,,2000
Transit,1,6.24658,,1030.0,2013
Radial Velocity,1,2890.0,,87.87,2011
Radial Velocity,1,75.523,,,2000
Transit,1,0.78884,,250.0,2009
Radial Velocity,6,,0.008,6.8,2013
Radial Velocity,1,2.64561,,19.8,2010
Radial Velocity,2,1046.0,,28.04,2011
Imaging,4,37000.0,,39.94,2008
Radial Velocity,2,352.3,,52.72,2012
Radial Velocity,1,157.54,3.04,117.37,2009
Eclipse Timing Variations,1,2900.0,,,2011
Transit,1,3.161575,,,2011
Radial Velocity,2,820.3,,,2014
Radial Velocity,3,123.01,,8.52,2009
Radial Velocity,1,141.6,,108.46,2007
Radial Velocity,2,152.6,0.17,,2011
Radial Velocity,1,26.73,0.71,94.07,2006
Transit,2,,,,2012
Radial Velocity,3,59.519,,26.91,2011
Transit,1,1.43037,,,2011
Radial Velocity,1,111.4357,,,2001
Radial Velocity,2,379.1,2.25,94.61,2005
Microlensing,1,3300.0,,,2006
Imaging,1,,,,2008
Transit,1,3.89713,,,2011
Transit,5,12.4417,,368.0,2013
Radial Velocity,1,157.54,,117.37,2009
Radial Velocity,1,798.5,,21.41,1996
Transit,1,1.796,,8500.0,2006
Radial Velocity,2,75.29,,69.44,2010
Transit,1,2.828042,,1150.0,2010
Transit,1,7.919585,,125.0,2012
Radial Velocity,3,4.215,0.016,8.52,2009
Transit,1,1.5089557,,,2008
Transit,1,6.21229,,380.0,2010
Radial Velocity,1,6.958,,,2014
Radial Velocity,3,59.519,0.0382,26.91,2011
Radial Velocity,3,,,,2007
Radial Velocity,1,356.0,,131.41,2009
Transit,1,5.35227,,840.0,2011
Radial Velocity,3,8.631,,14.97,2013
Transit,1,4.9816872,,160.0,2012
Radial Velocity,2,25.648,,,2013
Microlensing,1,,,,2009
Transit,2,38.5583038,,,2012
Transit,1,4.61442,,225.0,2012
Radial Velocity,2,237.6,0.33,,2009
Transit,1,4.086052,,380.0,2012
Radial Velocity,2,931.0,,66.89,2013
Transit,1,1.43037,,,2011
Radial Velocity,3,1931.0,4.05,47.3,2009
Transit,3,45.154,,,2012
Imaging,4,18000.0,,39.94,2010
Radial Velocity,1,3383.0,,51.36,2002
Radial Velocity,1,192.0,6.575,,2013
Astrometry,1,1016.0,,14.98,2010
Radial Velocity,2,14.3098,0.839,42.43,2000
Transit,2,49.532,,1500.0,2012
Radial Velocity,1,327.8,0.6,54.94,2010
Radial Velocity,3,3008.0,,,2009
Transit,7,8.719375,,,2013
Radial Velocity,1,6.403,,43.12,2002
Transit,2,38.5583038,,,2012
Radial Velocity,1,3383.0,3.15,51.36,2002
Radial Velocity,2,263.3,0.27,15.71,2010
Radial Velocity,1,359.9,4.6,,2007
Radial Velocity,1,1125.7,,121.36,2008
Imaging,1,,,,2010
Radial Velocity,2,883.0,0.86,74.79,2010
Microlensing,1,2780.0,,,2011
Transit,1,4.61442,,,2012
Radial Velocity,2,85.131,,35.89,2011
Transit,1,3.030065,,,2004
Transit,1,2.46502,,,2014
Transit,1,7.340718,,,2013
Radial Velocity,2,33.823,,43.08,2011
Transit,1,,,,2009
Transit,1,3.922727,,70.0,2010
Transit,1,2.47063,,213.0,2006
Radial Velocity,1,439.3,0.502,,2005
Radial Velocity,6,2248.0,,,2010
Radial Velocity,1,1114.0,,35.0,2002
Radial Velocity,2,1155.7,,55.31,2012
Transit,1,,,225.0,2012
Transit,2,27.9481449,,,2012
Transit,5,2.896,,,2012
Radial Velocity,1,528.4,,,2003
Imaging,1,,,11.43,2010
Radial Velocity,2,406.6,,59.03,1999
Radial Velocity,1,443.4,2.6,138.5,2011
Radial Velocity,1,47.84,0.098,49.33,2009
Transit,3,1.865169,,,2011
Microlensing,1,3600.0,,,2005
Radial Velocity,2,2950.0,3.82,,2008
Transit,1,6.24658,,,2013
Radial Velocity,1,1800.0,1.15,96.99,2008
Transit,1,4.353011,,155.0,2009
Radial Velocity,1,3.0925,0.95,27.05,2000
Transit,4,23.9802,,,2014
Radial Velocity,1,1634.0,14.2,38.26,2009
Radial Velocity,6,28.14,0.012,6.8,2011
Radial Velocity,1,4.113775,0.45,28.98,2006
Transit,5,13.17562,,,2011
Radial Velocity,1,1117.0,,,2010
Transit,2,12.04,,,2012
Transit,1,2.810595,,193.0,2011
Radial Velocity,1,4100.0,2.3,,2013
Radial Velocity,2,85.131,0.0496,35.89,2011
Radial Velocity,1,18.596,0.0193,18.08,2011
Radial Velocity,3,1931.0,,47.3,2009
Eclipse Timing Variations,2,5840.0,,,2011
Radial Velocity,2,263.3,0.27,,2010
Transit,2,13.2907,,,2011
Radial Velocity,1,3999.0,,50.45,2011
Transit,5,6.098493,,,2011
Transit,1,4.322482,,,2010
Radial Velocity,1,344.95,3.71,,2003
Radial Velocity,3,8.631,,14.97,2013
Transit,5,,,368.0,2013
Transit,1,4.234516,,134.0,2010
Radial Velocity,1,472.0,,50.43,2010
Transit,1,9.20205,,,2008
Radial Velocity,1,,,22.09,2009
Radial Velocity,1,875.5,9.9,,2012
Transit,7,,,780.0,2013
Radial Velocity,1,829.0,0.8,32.7,2001
Transit,1,2.4855335,,,2008
Radial Velocity,1,700.0,,87.41,2008
Transit,4,22.342989,,,2013
Radial Velocity,2,37.91,0.0788,,2008
Radial Velocity,1,282.4,,,2010
Radial Velocity,1,691.9,,81.5,2012
Radial Velocity,2,14.182,,,2011
Transit,2,36.855,,,2013
Radial Velocity,1,2.391,15.5,76.51,2009
Radial Velocity,3,197.0,,,2006
Radial Velocity,2,607.06,7.4634,25.7,2008
Transit,3,12.7204,,,2011
Imaging,1,4639.15,,,2009
Eclipse Timing Variations,2,5840.0,,,2011
Transit,1,6.790123,,,2011
Transit,1,2.46502,,,2014
Radial Velocity,1,1114.0,0.95,35.0,2002
Radial Velocity,2,37.91,,,2008
Imaging,1,,,165.0,2007
Radial Velocity,1,111.4357,,29.04,2001
Radial Velocity,2,1275.0,,38.52,2011
Radial Velocity,1,2.985625,0.4,43.53,2002
Transit,2,51.538,,,2012
Transit,2,88.505,,,2013
Orbital Brightness Modulation,2,0.240104,,1180.0,2011
Transit,3,5.859944,,,2012
Radial Velocity,2,127.58,5.9,164.2,2008
Imaging,4,170000.0,,39.94,2008
Radial Velocity,1,335.1,9.88,39.43,2009
Radial Velocity,3,4.1547,,52.83,2009
Radial Velocity,1,480.5,6.0,80.06,2012
Transit,2,6.48163,,,2014
Transit,5,77.61184,,290.0,2011
Radial Velocity,4,1276.46,,13.47,1999
Transit,1,2.7033904,,,2013
Transit Timing Variations,2,160.0,,,2011
Radial Velocity,1,63.33,,44.37,2003
Radial Velocity,2,2891.0,1.502,,2003
Radial Velocity,1,361.1,0.9,132.8,2011
Radial Velocity,1,4951.0,,42.77,2012
Radial Velocity,1,1214.0,,89.13,2006
Transit,2,36.855,,,2013
Transit,2,17.9801235,,,2012
Radial Velocity,1,439.3,,60.46,2005
Radial Velocity,2,127.58,,164.2,2008
Transit,2,20.8613,,2100.0,2011
Transit,2,26.136,,,2013
Microlensing,1,,,,2013
Radial Velocity,3,34.873,0.054,,2011
Imaging,1,,,10.1,2012
Radial Velocity,1,696.3,10.7,99.4,2009
Radial Velocity,2,3810.0,,47.92,1999
Radial Velocity,3,27.582,0.0358,14.56,2011
Radial Velocity,1,124.6,,149.25,2013
Radial Velocity,1,1096.2,0.168,29.55,2011
Transit,1,0.813475,,80.0,2011
Radial Velocity,1,464.3,,106.38,2009
Radial Velocity,2,14.07,,34.07,2011
Radial Velocity,1,1075.2,6.21,32.56,1999
Transit,1,2.615864,,148.0,2007
Radial Velocity,1,675.0,,100.0,2007
Radial Velocity,1,591.9,1.9,36.02,2006
Radial Velocity,2,14.182,0.0325,28.6,2011
Transit,2,45.29485,,,2011
Transit,3,12.8159,,,2014
Radial Velocity,1,3.416,,74.46,2004
Transit,2,11.776,,,2013
Transit,3,143.34394,,1400.0,2012
Imaging,1,,,36.0,2013
Transit,2,17.9801235,,,2012
Radial Velocity,1,1294.0,2.1,26.52,2002
Radial Velocity,1,15.76491,3.91,10.91,1999
Radial Velocity,3,197.0,0.058,12.58,2006
Radial Velocity,1,2582.7,,47.26,2005
Radial Velocity,1,,,,2009
Transit,1,3.57878087,,570.0,2013
Transit,1,105.599,,600.0,2012
Transit,2,7.1073,,800.0,2011
Radial Velocity,1,3668.0,,46.51,2006
Transit,1,3.9791,,,2007
Radial Velocity,1,456.1,3.09,52.88,2007
Radial Velocity,1,963.0,,43.03,2004
Radial Velocity,6,16.3567,0.038,39.39,2010
Radial Velocity,2,25.648,,52.03,2013
Transit,1,3.94150685,,172.0,2006
Transit,5,7.07142,,,2014
Transit,3,9.605085,,135.0,2012
Transit,1,4.8878162,,38.0,2008
Radial Velocity,2,1270.2,3.44,53.82,2007
Radial Velocity,1,10.8985,0.261,38.56,2002
Radial Velocity,2,3810.0,1.99,,1999
Imaging,1,4639.15,,,2009
Radial Velocity,1,68.27,,65.62,2010
Microlensing,2,5100.0,,,2008
Transit,3,0.45328509,,38.7,2011
Radial Velocity,2,937.7,,28.04,2003
Transit,2,17.324,,,2013
Radial Velocity,1,466.2,,,2003
Transit,1,10.863502,,190.0,2010
Transit,1,5.35227,,,2011
Radial Velocity,1,104.84,0.12,33.48,2011
Transit,2,9.37647,,,2012
Transit,1,2.788491,,342.0,2007
Transit,2,11.776,,,2013
Transit,2,13.722341,,,2013
Transit,2,12.3335,,,2011
Transit,1,4.055259,,,2011
Transit,1,0.355,,,2013
Radial Velocity,1,428.5,8.78,,2009
Transit,2,13.83989,,470.0,2012
Radial Velocity,1,185.84,4.8,,2008
Radial Velocity,1,598.3,,10.32,2009
Radial Velocity,3,40.114,0.00755,6.06,2011
Transit,1,2.5199449,,408.0,2007
Transit,1,3.1606296,,1200.0,2013
Radial Velocity,1,1214.0,,89.13,2006
Transit,5,18.16406,,368.0,2013
Radial Velocity,1,2082.0,,97.66,2013
Radial Velocity,1,479.0,,,2009
Transit,1,6.87349,,2700.0,2010
Radial Velocity,1,385.9,,39.56,2001
Radial Velocity,1,2.64385,,10.23,2004
Microlensing,1,,,,2004
Transit,1,3.94150685,,172.0,2006
Transit,1,2.899736,,138.0,2007
Transit,2,8.1453,,1200.0,2011
Transit,1,4.353011,,,2009
Radial Velocity,1,380.8,,20.21,2010
Transit,1,59.87756,,,2013
Imaging,1,,,,2007
Radial Velocity,1,15.76491,,,1999
Radial Velocity,1,,18.15,57.21,2008
Radial Velocity,3,952.0,,52.88,2009
Eclipse Timing Variations,1,2900.0,,,2011
Transit,1,1.846835,,220.0,2007
Radial Velocity,2,4.0845,0.07167000000000001,37.84,2008
Radial Velocity,2,3.698,,150.0,2009
Radial Velocity,3,197.0,,12.58,2006
Radial Velocity,3,16.546,0.0363,38.01,2011
Transit,3,45.154,,,2012
Radial Velocity,1,361.1,0.9,,2011
Radial Velocity,3,14002.0,,14.08,2009
Transit,2,17.324,,,2013
Transit,4,42.8961,,,2014
Transit,5,31.7844,,,2011
Transit,1,3.5327313,,300.0,2010
Transit,1,288.822,,1499.0,2011
Transit,2,10.416,,,2013
Radial Velocity,2,5.7727,0.024,,2009
Radial Velocity,1,124.6,9.18,149.25,2013
Transit,2,2.91626,,214.0,2009
Microlensing,1,,,2300.0,2012
Imaging,1,6000.0,,19.28,2008
Radial Velocity,1,325.81,3.86,32.32,2000
Radial Velocity,1,383.7,,52.8,2007
Transit,2,20.09,,,2012
Transit,2,26.723,,,2013
Radial Velocity,1,,,16.82,2008
Pulsation Timing Variations,1,1170.0,,,2007
Transit,1,4.411953,,160.0,2012
Radial Velocity,1,1057.0,3.12,59.35,2008
Transit,1,2.828042,,,2010
Radial Velocity,1,2157.0,,30.88,2009
Radial Velocity,1,143.58,,28.9,2005
Radial Velocity,6,91.61,,6.8,2013
Radial Velocity,1,1773.4,,,2002
Radial Velocity,1,361.1,0.9,132.8,2011
Radial Velocity,1,2288.0,,12.12,2009
Transit,1,1.2119189,,,2002
Radial Velocity,5,4909.0,3.53,12.53,2002
Radial Velocity,1,3999.0,,,2011
Transit,5,41.02902,,,2011
Transit,2,27.9481449,,,2012
Radial Velocity,1,533.0,6.1,7.01,2010
Transit,4,10.423648,,,2013
Radial Velocity,1,133.71,3.37,17.62,2000
Radial Velocity,2,2950.0,3.82,52.83,2008
Radial Velocity,2,825.0,,68.35,2010
Radial Velocity,2,621.99,12.47,,2009
Transit,1,2.77596,,235.0,2010
Transit,1,6.871815,,110.0,2010
Transit,2,8.1453,,1200.0,2011
Eclipse Timing Variations,1,10220.0,6.05,,2009
Radial Velocity,2,789.0,,,2014
Radial Velocity,1,528.4,,12.87,2003
Imaging,1,,,140.0,2004
Imaging,1,,,52.03,2012
Eclipse Timing Variations,1,2900.0,,,2011
Radial Velocity,1,2157.0,1.78,30.88,2009
Radial Velocity,1,2.64561,0.022,19.8,2010
Transit,1,3.90512,,800.0,2010
Transit,1,1.091423,,,2008
Microlensing,1,3600.0,,,2005
Transit,1,3.35524,,396.0,2010
Radial Velocity,1,1159.2,1.373,,2009
Transit,1,2.899736,,138.0,2007
Radial Velocity,3,,1.8,64.56,2003
Transit,5,5.28696,,,2014
Radial Velocity,2,75.29,,,2010
Transit,1,1.72086123,,1056.0,2014
Transit,3,6.2385,,,2011
Transit,1,4.465633,,330.0,2012
Transit,1,2.785755,,108.0,2011
Radial Velocity,1,3.0925,,27.05,2000
Transit,1,2.9036747,,345.0,2012
Radial Velocity,1,3.4442,,53.71,2005
Transit,5,27.4536,,,2014
Transit,2,5.955,,,2012
Transit,1,6.21229,,380.0,2010
Imaging,1,,,145.0,2010
Transit,1,3.446459,,,2012
Radial Velocity,6,9.6184,0.0208,12.83,2008
Microlensing,2,,,4080.0,2012
Radial Velocity,2,345.72,1.42,44.8,2009
Radial Velocity,1,136.75,,62.66,2007
Radial Velocity,1,163.9,5.02,65.79,2008
Radial Velocity,2,3810.0,1.99,47.92,1999
Radial Velocity,1,1845.0,,8.77,2006
Radial Velocity,1,5.8881,,53.08,2013
Radial Velocity,6,20.432,0.0299,,2008
Transit,4,13.5708,,,2014
Transit,2,7.053,,,2012
Radial Velocity,1,4.4264,,,2012
Pulsar Timing,1,36525.0,,,2003
Transit,2,16.092,,,2014
Radial Velocity,1,256.78,,38.99,1999
Radial Velocity,1,1279.0,,31.03,2002
Radial Velocity,2,14.07,0.0413,34.07,2011
Radial Velocity,3,90.309,0.0151,6.06,2011
Radial Velocity,1,133.71,3.37,17.62,2000
Radial Velocity,2,5.6,0.045,42.09,2009
Radial Velocity,1,7.3709,0.018,9.04,2011
Radial Velocity,1,2819.654,9.17,54.71,2002
Microlensing,1,,,4970.0,2013
Radial Velocity,1,118.96,1.13,,2000
Radial Velocity,1,2371.0,,,2008
Transit,1,3.553945,,492.0,2007
Transit,1,5.723186,,322.0,2011
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Transit,1,131.458,,1645.0,2011
Radial Velocity,2,22.656,,32.31,2011
Transit,3,12.8159,,,2014
Radial Velocity,2,360.2,,56.5,2012
Transit,1,2.5199449,,408.0,2007
Radial Velocity,1,2.391,15.5,76.51,2009
Radial Velocity,2,820.3,,,2014
Transit,1,2.4238039,,,2011
Transit,2,51.538,,,2012
Transit,6,13.0241,,613.0,2010
Transit,1,4.234516,,,2010
Transit,1,8.886593,,,2009
Transit,1,3.1606296,,1200.0,2013
Radial Velocity,2,263.3,,15.71,2010
Imaging,4,37000.0,,39.94,2008
Radial Velocity,1,2.54858,,36.52,2003
Radial Velocity,1,5.8872,,22.04,2011
Radial Velocity,2,14.07,0.0413,34.07,2011
Radial Velocity,1,121.71,,,2014
Imaging,1,,,120.0,2013
Radial Velocity,1,2.54858,1.87,36.52,2003
Transit,7,210.60697,,780.0,2013
Radial Velocity,6,602.0,0.067,39.39,2010
Radial Velocity,3,154.46,0.61,33.24,2002
Eclipse Timing Variations,1,2900.0,,,2011
Radial Velocity,1,326.6,1.3,,2011
Radial Velocity,1,511.098,,31.33,2002
Radial Velocity,1,5144.0,,42.99,2012
Radial Velocity,1,1125.7,,,2008
Radial Velocity,1,1634.0,,38.26,2009
Radial Velocity,1,20.8133,,42.0,2005
Radial Velocity,2,127.58,,164.2,2008
Radial Velocity,2,8.1256,0.0284,26.21,2011
Transit,1,3.646706,,535.0,2011
Radial Velocity,1,456.1,3.09,52.88,2007
Transit,1,2.47063,,213.0,2006
Radial Velocity,1,442.1,1.23,21.29,1998
Transit,2,49.412,,,2013
Radial Velocity,3,14002.0,1.64,14.08,2009
Transit,1,,,345.0,2010
Transit Timing Variations,2,160.0,,2119.0,2011
Radial Velocity,1,466.2,1.37,22.38,2003
Transit,2,7.053,,,2012
Transit,2,13.084,,,2013
Transit,1,3.21222,,,2010
Radial Velocity,2,,0.027,,2013
Radial Velocity,3,843.6,,33.24,2005
Radial Velocity,1,16.2,1.25,,2010
Transit Timing Variations,3,,,,2014
Transit,1,2.34121242,,,2010
Transit,2,42.1516418,,,2012
Transit,1,4.322482,,242.0,2010
Radial Velocity,2,408.6,,68.54,2004
Radial Velocity,1,5144.0,3.53,42.99,2012
Transit,1,7.8457,,222.0,2014
Radial Velocity,1,2097.0,3.0,,2009
Radial Velocity,1,4.4264,,,2012
Radial Velocity,1,20.8133,,42.0,2005
Transit,2,17.9801235,,,2012
Radial Velocity,3,51.284,,38.01,2011
Microlensing,1,,,,2004
Transit,2,33.006,,,2013
Transit Timing Variations,3,,,,2014
Radial Velocity,1,423.841,1.28,18.24,2000
Radial Velocity,1,1260.0,3.06,53.05,2008
Transit,5,3.6961219,,290.0,2011
Radial Velocity,5,14.651,0.8,12.53,1996
Transit,2,31.3309,,,2011
Radial Velocity,1,7.3709,0.018,9.04,2011
Radial Velocity,1,1.3283,18.37,43.03,2003
Radial Velocity,1,1049.0,0.79,45.01,2009
Radial Velocity,1,948.12,0.224,38.05,2011
Transit,3,5.398763,,135.0,2012
Radial Velocity,1,1096.2,0.168,29.55,2011
Radial Velocity,4,66.8,,6.27,2005
Radial Velocity,2,55.0,,42.88,2004
Radial Velocity,2,9017.8,,44.8,2011
Transit,2,26.444,,,2012
