URL,Name/Alias,Appearances,Current?,Gender,Probationary Introl,Full/Reserve Avengers Intro,Year,Years since joining,Honorary,Death1,Return1,Death2,Return2,Death3,Return3,Death4,Return4,Death5,Return5,Notes
http://marvel.wikia.com/Bonita_Juarez_(Earth-616)#	NO,Stakar DeMara Rhodes Strange Johnson,120.56094969247278,NO,,,Apr-90,1932,7.0,Full,,,,,,,,,,,"Dies during New Invaders. Was ""was revived as a living weapon the Thinker intended to sell."" Prior to joining the avengers he had died like 2 times in the 40s."
http://marvel.wikia.com/Jennifer_Takeda_(Earth-616)#	NO,"Val ""Billy"" Rhodes Pym Johnson",495.83643012486283,NO,,,Jan-92,1980,2.0,Full,,,,,,,,,,,Since joining the New Avengers: First death Killed by Morlun. Ressurected in a brand new body. Died in Amazing Spider-Man #700. Eventually mainfested in his body that Octavious stole and then took over again.
http://marvel.wikia.com/Hercules_(Earth-616)	NO,,79.93006310488097,YES,,,Jul-93,1944,39.0,Honorary,,,,,,,,,,,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
http://marvel.wikia.com/Thaddeus_Ross_(Earth-616)#	YES,Nicholette Bruce Banner Sr. Johnson,109.0406052760752,YES,,,1-Aug,1963,32.0,Full,,,,,,,,,,,Died on Battleworld and came back prior to joining avengers
http://marvel.wikia.com/Simon_Williams_(Earth-616)#	YES,Brunnhilde Duquesne Maximoff Santiago Johnson,38.5676063922931,NO,,,5-Nov,1924,23.0,Full,,,,,,,,,,,Died on Battleworld and came back prior to joining avengers
http://marvel.wikia.com/Dennis_Sykes_(Earth-616)#	YES,"Roberto Leigh Jr., Storm) Johnson",50.39639189003893,NO,,,7-Mar,1916,10.0,Full,,,,,,,,,,,Died in Avengers_Vol_1_9. Actually just in a death-like coma.
http://marvel.wikia.com/Johnathon_Gallo_(Earth-616)#	NO,Anthony Brandon Jane Lang Johnson,726.3200244795037,YES,,,Sep-63,1975,1.0,Full,,NO,,,,,,,,,"Dies in Defenders_Vol_1_152. Later 'Obtained a new body.' Dies in Annihilation:_Conquest_Vol_1_3. Comes back as ""As before"" also was once named Madame MacEvil because LOL."
http://marvel.wikia.com/Janet_van_Dyne_(Earth-616)	YES,,37.81060232951848,YES,,,May-65,1928,27.0,Academy,,YES,NO,NO,,,,,,,Once killed during a battle with Doctor Doom.' Brought back by the FF when they literally went to Heaven to get him.
http://marvel.wikia.com/Rogue_(Anna_Marie)_(Earth-616)#	NO,Moira Wilson Costa Santiago Johnson,63.962104490222664,NO,,,,1983,38.0,Academy,,NO,,,,,,,,,Died in Avengers_Vol_1_9. Actually just in a death-like coma.
http://marvel.wikia.com/Dane_Whitman	NO,Val Crawford Vincent Santiago Johnson,864.3810462684131,NO,,Jan-83	FEMALE,Aug-75,1927,72.0,Full,,,,,,,,,,,Became posessed died to purge self of corruption. Revived as undead Avenger minion of the Grim Reaper. Returned to the spirit world by the Scarlet Witch. Has since stayed dead.
http://marvel.wikia.com/Rita_DeMara_(Earth-616)#	YES,Yondu Yoshida Renslayer Strange Johnson,19.788142263388323,YES,,,Jul-78,1962,37.0,Honorary,,,YES,,,,,,,,Since joining the New Avengers: First death Killed by Morlun. Ressurected in a brand new body. Died in Amazing Spider-Man #700. Eventually mainfested in his body that Octavious stole and then took over again.
http://marvel.wikia.com/Elijah_Bradley_(Earth-616)#	NO,Craig Green Druid Santiago Johnson,166.85628681153946,YES,,,Nov-88,1964,16.0,Full,,YES,,,,,,,,,Died in Secret_Avengers_Vol_1_22.
http://marvel.wikia.com/Vance_Astrovik_(Earth-616)#	NO,Gene Braddock Maximoff Marcus Johnson,24.32955661387675,NO,,,Apr-87,1920,9.0,Full,,NO,,,,,,,,,Dies in House of M Vol 1 Issue 7. Later comes back
http://marvel.wikia.com/Maria_de_Guadalupe_Santiago_(Earth-616)#	NO,Richard Haliday Harris Sr. Johnson,72.60740048153042,NO,,,,1944,21.0,Full,,,,,,,,,,,Died during Return_to_the_Old_West. Resurrected by She Hulk in negotiation with Time Variance Authority. As a time traveller he died in 1938. Did not return
http://marvel.wikia.com/Victor_Mancha_(Earth-616)#	YES,Dennis F. Nelson Pym Johnson,493.1851360667365,YES,,,May-88,1990,26.0,Full,,NO,,,,,,,,,Merged with 616 Tony Stark
http://marvel.wikia.com/Marc_Spector_(Earth-616)#	NO,,345.56607957559095,YES,,,Jan-88,1906,2.0,Full,,YES,,,,,,,,,Died during Seige. Brought back to life by the Apocalypse twins as a horseman of death in Uncanny_Avengers_Vol_1_9.
http://marvel.wikia.com/Hercules_(Earth-616)	NO,Julie Udonta Frank Pym Johnson,148.06265607721446,NO,,,Apr-90,1929,15.0,Full,,NO,YES,,,,,,,,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
http://marvel.wikia.com/Jennifer_Walters_(Earth-616)#	YES,Miguel Kevin Jones Pym Johnson,442.1512290722912,NO,,,Jan-92,1950,12.0,Full,,,,,,,,,,,Died in Captain_America_Vol_7_10. It's not clear how she survived but yeah she totally did.
http://marvel.wikia.com/Mantis_(Earth-616)#	YES,"James ""Billy"" Jane Lang Johnson",28.17544070340268,YES,,,Jul-93,1971,15.0,Full,,,,,,,,,,,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
http://marvel.wikia.com/Cassandra_Lang_(Earth-616)#	YES,Ken Whitman McCoy Santiago Johnson,222.96661456804125,YES,,,1-Aug,1939,11.0,Full,,YES,,,,,,,,,Died during Seige. Brought back to life by the Apocalypse twins as a horseman of death in Uncanny_Avengers_Vol_1_9.
http://marvel.wikia.com/Thomas_Shepherd_(Earth-616)#	NO,Miguel Johnson Grimm Danvers Johnson,2.4816488034621105,NO,,,5-Nov,1950,7.0,Full,,,,,,,,,,,Died on Battleworld and came back prior to joining avengers
http://marvel.wikia.com/Veranke_(Earth-616)#	YES,Delroy Santini Maximoff K'ai Johnson,3.66516867469861,NO,,Aug-91	FEMALE,7-Mar,1905,23.0,Full,,YES,,,,,,,,,Died in Avengers_A.I._Vol_1_4. Returned in Avengers_A.I._Vol_1_9.
http://marvel.wikia.com/Hollow_(Earth-616)#	NO,Craig Foucault Nelson K'ai Johnson,4333.0,YES,,,Sep-63,1913,8.0,Full,,NO,,,,,,,,,Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best.
http://marvel.wikia.com/Shang-Chi_(Earth-616)#	NO,Roberto Thompson Banner Santiago Johnson,233.56522774847738,YES,,,May-65,1914,2.0,Full,,,,,,,,,,,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
http://marvel.wikia.com/Vision_(Earth-616)	YES,Gene Garrett Kaplan Santiago Johnson,158.6901068567384,NO,,,Sep-76,1927,19.646688327210118,Probationary,,NO,,,,,,,,,Died in Murderworld during Avengers Arena
http://marvel.wikia.com/Maria_Hill_(Earth-616)#	NO,Janet Barton Rhodes Strange Johnson,292.60469629726555,NO,,,Aug-75,1964,43.0,Full,,,NO,,,,,,,,Died in Death_of_Wolverine_Vol_1_4. Has not yet returned
http://marvel.wikia.com/Tony_Masters_(Earth-616)#	NO,Eros Barton Barton name) Johnson,188.00031269311432,YES,,,Jul-78,1974,29.0,Full,,NO,,,,,,,,,NA
http://marvel.wikia.com/Tippy-Toe_(Earth-616)#	NO,Loki Lopez (alias) K'ai Johnson,373.0144369216578,YES,,,,1963,13.0,Full,,,,,,,,,,,Once killed during a battle with Doctor Doom.' Brought back by the FF when they literally went to Heaven to get him.
http://marvel.wikia.com/Melissa_Darrow_(Earth-9201)#	NO,Wendell Carter Kaplan Strange Johnson,69.55967537389448,NO,,,Apr-87,1948,43.0,Full,,NO,,YES,,,,,,,Killed by Norman Osbourne. Has not returned.
http://marvel.wikia.com/Isabel_Kane_(Earth-616)#	NO,Miguel Rider Drew Marcus Johnson,40.26705985417967,NO,,,Dec-87,1965,43.0,Full,,YES,,,,,,YES,,,Killed by Norman Osbourne. Has not returned.
http://marvel.wikia.com/Delroy_Garrett_Jr._(Earth-616)#	NO,"Nicholette Fury, Barton Santiago Johnson",302.7320644660868,YES,,,May-88,1950,105.0,Academy,,NO,,,,,,,,,Dies in Young Avengers: The Childrens Crusade when she is killed by Doom. Eventually reborn years later.
http://marvel.wikia.com/Crystalia_Amaquelin_(Earth-616)#	NO,Ares Elvis Stark Santiago Johnson,34.91625778621299,YES,,,Jan-88,1946,93.0,Full,,YES,,,,,,,,,Died in Circle of Four arc. Made a deal with Mephisto and came back.
http://marvel.wikia.com/Doug_Taggert_(Earth-616)#	YES,T'Challa Jacob Barnes Pym Johnson,319.9997905732965,NO,,,Apr-90,1979,7.0,Full,,,,,,,,,,,Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best.
http://marvel.wikia.com/DeMarr_Davis_(Earth-616)#	YES,Rita Carter Parker Morse) Johnson,41.0981029103971,NO,,,Jan-92,1943,20.0,Honorary,,,,,,YES,,,,,Ripped in half by the Sentry during Seige. Revived during Chaos King. Then killedby Chaos King.
http://marvel.wikia.com/Roberto_da_Costa_(Earth-616)#	NO,Thaddeus Wilson Shepherd Strange Johnson,59.463042975682406,YES,,,Jul-93,1982,7.0,Full,,,,,,,,,,,Died in Superior_Spider-Man_Vol_1_30.
http://marvel.wikia.com/Jennifer_Takeda_(Earth-616)#	NO,"Benjamin Mancha ""Tony"" name) Johnson",36.85166121784004,YES,,,1-Aug,1954,17.0,Academy,,,,,,,,,,,Died in Guardians_of_the_Galaxy_Vol_3_20.
http://marvel.wikia.com/Anthony_Stark_(Earth-96020)#	YES,Otto L. Harris Strange Johnson,10.837349873162252,NO,,,5-Nov,1943,15.0,Full,,,,,,,,,,,Died in Circle of Four arc. Made a deal with Mephisto and came back.
http://marvel.wikia.com/Brandon_Sharpe_(Earth-616)#	NO,Otto Munroe Wilson K'ai Johnson,12.071091562093399,NO,,,7-Mar,1953,9.0,Full,,,,,,,,,,,Died in Death_of_Wolverine_Vol_1_4. Has not yet returned
http://marvel.wikia.com/Victor_Mancha_(Earth-616)#	YES,Brandt Rambeau Shepherd Lang Johnson,5.785673488065572,YES,,,Sep-63,1996,16.0,Full,,,,,,,YES,,,,Died during Return_to_the_Old_West. Resurrected by She Hulk in negotiation with Time Variance Authority. As a time traveller he died in 1938. Did not return
http://marvel.wikia.com/Eugene_Thompson_(Earth-616)#	NO,Eden Hart Barton Sr. Johnson,519.0137836393299,YES,,Jun-84	FEMALE,May-65,1984,12.0,Honorary,,,,,,,,,,,Killed by Mephisto. After Secret Invasion it turns out she was actually being impersonated by a Skrull the whole time and was alive and well.
http://marvel.wikia.com/Eros_(Earth-616)#	NO,,6.00131494734397,NO,,,Sep-76,1997,19.0,Full,,NO,,,,,,,,,Died in Secret_Avengers_Vol_1_22.
http://marvel.wikia.com/Shiro_Yoshida_(Earth-616)#	YES,Monica Musashi Vincent Altman Johnson,24.681740162484523,NO,,,Aug-75,1987,21.94624637187935,Probationary,,YES,,,,,,,,,NA is actually Kang but let's just not go there.
http://marvel.wikia.com/Ravonna_Renslayer_(Earth-6311)#	YES,Dorreen Udonta Grimm Morse) Johnson,143.97606263180083,YES,,,Jul-78,1947,90.0,Full,,NO,,,,,,,,,Died in Murderworld during Avengers Arena
http://marvel.wikia.com/Kaluu_(Earth-616)#	NO,Brunnhilde Lucas Vaughn Sr. Johnson,62.39212313369027,YES,,,,1979,5.0,Full,,,,NO,,,,,,,Dies in Fear Itself brought back because that's kind of the whole point. Second death in Time Runs Out has not yet returned
http://marvel.wikia.com/Charlie-27_(Earth-691)#	NO,,125.93341968101103,NO,,,Apr-87,1916,1.0,Full,,,,,,,,,,,Accidently killed by Zaran
http://marvel.wikia.com/Heather_Douglas_(Earth-616)#	YES,"Jeanne Newell ""Teddy"" Altman Johnson",315.0647604472448,NO,,Jan-87	MALE,Dec-87,1989,25.0,Full,,,,,,,,,,,Died on Battleworld and came back prior to joining avengers
http://marvel.wikia.com/Jonathan_Hart_(Earth-616)#	YES,Alani Lorrene Maximoff Sr. Johnson,761.9510724103275,YES,,,May-88,1991,35.0,Full,,,,,,,,,,,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
http://marvel.wikia.com/Veranke_(Earth-616)#	YES,"Eden Matsuya Jr., name) Johnson",495.2914706079777,YES,,,Jan-88,1930,0.0,Full,,YES,,,,,,,,,NA is actually Kang but let's just not go there.
http://marvel.wikia.com/Ex_Nihilo_(Earth-616)#	YES,"William Mack Jr., K'ai Johnson",241.75249604496761,NO,,,Apr-90,1961,5.0,Full,,,,,,NO,,,,,Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy.
http://marvel.wikia.com/Clint_Barton_(Earth-616)	YES,"X-51 Nefaria"" Nelson Pym Johnson",55.956424771538025,NO,,,Jan-92,1906,13.983237808264537,Probationary,,,,,,,,,,,"Dies during New Invaders. Was ""was revived as a living weapon the Thinker intended to sell."" Prior to joining the avengers he had died like 2 times in the 40s."
http://marvel.wikia.com/Pietro_Maximoff_(Earth-616)	YES,T'Challa Alvarez Frank Danvers Johnson,78.19700275427735,YES,,,Jul-93,1924,113.0,Academy,,,YES,,,,,,,,Dies in Young Avengers The Children's Crusade
http://marvel.wikia.com/Julie_Power_(Earth-616)#	NO,Thomas Mack Drew Altman Johnson,469.747485970126,YES,,,1-Aug,1988,10.0,Full,,,,NO,,,,,,,NA is actually Kang but let's just not go there.
http://marvel.wikia.com/Tony_Masters_(Earth-616)#	NO,"Jennifer Fury, (nee Morse) Johnson",45.279240464629716,NO,,,5-Nov,1970,15.0,Full,,,YES,,,,,,,,Died in Death_of_Wolverine_Vol_1_4. Has not yet returned
http://marvel.wikia.com/Ava_Ayala_(Earth-616)#	NO,"Jim Lang ""Hank"" Santiago Johnson",1295.4160706872972,NO,,,7-Mar,2012,93.0,Academy,,YES,NO,,,,,,,,Whitney killed was a clone possibly this incarnation of Masque'
http://marvel.wikia.com/Robert_Baldwin_(Earth-616)#	NO,Brunnhilde Schaub Frank Pym Johnson,23.687592395892754,YES,,Feb-91	MALE,Sep-63,1940,11.0,Full,,NO,,,,,,,,,Died in Avengers_A.I._Vol_1_4. Returned in Avengers_A.I._Vol_1_9.
http://marvel.wikia.com/Kevin_Masterson_(Earth-616)#	NO,,2329.7257819291844,YES,,,May-65,2003,66.0,Academy,,,NO,,,,,,,,Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death.
http://marvel.wikia.com/Greer_Nelson_(Earth-616)#	NO,"Yvette ""Logan"" Parker Strange Johnson",32.198185248166546,NO,,,Sep-76,2008,37.0,Full,,NO,,,,,,,,,Died in her second appearance earns honorary Avengers status doing so. Stays dead.
http://marvel.wikia.com/Gilgamesh_(Earth-616)#	YES,,124.96546082926079,NO,,,Aug-75,1979,44.0,Honorary,,,,,,,,,,,Reduced her to a pile of bones and organsby Vargas. Brought back by Chaos King. Died second time in Chaos_War:_Dead_Avengers_Vol_1_3
http://marvel.wikia.com/Loki_Laufeyson_(Ikol)_(Earth-616)#	NO,Maria Bradley Jr. name) Johnson,172.3049396021274,YES,,,Jul-78,2006,6.0,Full,,,,,,,,,,,Dies in exploding Kree ship in Averngers Vol. 1  Issue 502. Brought back by Scarlet Witch. Dies again in House of M Vol 1 Issue 7. Is later brought back.
http://marvel.wikia.com/Robert_Reynolds_(Earth-616)#	YES,"Ravonna Octavius Jr., Danvers Johnson",1350.9020330778305,YES,,,Nov-88,1911,23.0,Honorary,,YES,,,,,,,,,Namor was presumed killed in the battle with Atlantean Barbarians. Had actually survived and turned up in the South Pacific
http://marvel.wikia.com/Dorrek_VIII_(Earth-616)#	NO,Matthew Jonathan Rand Pym Johnson,66.7629809571427,NO,,Aug-91	FEMALE,Apr-87,1909,7.0,Full,,NO,,,,,,,,,Dies during Red Hulk Saga. Returns when Lyra infiltrates Intelligenica and finds her in statis
http://marvel.wikia.com/Susan_Storm_(Earth-616)#	NO,DeMarr Baker Connor Pym Johnson,22.62070502774829,NO,,,Dec-87,1988,7.0,Full,,,,,,,,,,,Died in Identity_Disc_Vol_1_1. Later was revealed to be alive and working along with the Vulture.
http://marvel.wikia.com/Jacques_Duquesne_(Earth-616)	YES,Thaddeus Newell Nelson Pym Johnson,664.4507781344838,YES,,Jul-75	MALE,May-88,1998,2.0,Full,,NO,,NO,,,,,,,Killed by Neut who was working for Immortus. Reborn into a new body.
http://marvel.wikia.com/Anthony_Stark_(Earth-616)	YES,Elijah Willis (nee K'ai Johnson,1195.9527587010177,YES,,,Jan-88,1988,10.0,Full,,,,,,,,,,,Died in her second appearance earns honorary Avengers status doing so. Stays dead.
http://marvel.wikia.com/James_Santini_(Earth-616)#	NO,Sam Willis Masterson Lang Johnson,32.19135178122493,NO,,Jan-83	FEMALE,Apr-90,1952,48.0,Honorary,,NO,,,,,,,,,NA is actually Kang but let's just not go there.
http://marvel.wikia.com/Victor_Mancha_(Earth-616)#	YES,Ava L. Bishop name) Johnson,379.51941660388945,NO,,,Jan-92,2001,10.0,Full,,,,,,,,,,,Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death.
http://marvel.wikia.com/Steven_Rogers_(Earth-616)	YES,,1247.0161738984286,YES,,,Jul-93,1948,7.0,Full,,NO,,,,,,,,,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
http://marvel.wikia.com/Barbara_Morse_(Earth-616)#	YES,Patsy Milton Frank Marcus Johnson,34.33439449347576,YES,,,1-Aug,1999,103.0,Academy,,,,,,,,,,,Died in Vision_and_the_Scarlet_Witch_Vol_1_2. Did not return however he was eventually cloned but the clone was killed immediately.
http://marvel.wikia.com/Robert_Baldwin_(Earth-616)#	NO,Henry Wilson Stark Marcus Johnson,702.7867951801736,NO,,,5-Nov,1986,30.0,Honorary,,NO,,,,,,,,,Died in Avengers_A.I._Vol_1_4. Returned in Avengers_A.I._Vol_1_9.
http://marvel.wikia.com/Walter_Newell_(Earth-616)#	NO,Christopher Lucas Costa K'ai Johnson,1517.2808210314847,NO,,,7-Mar,1941,25.0,Full,,YES,,YES,,,,,,,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
http://marvel.wikia.com/Jessica_Drew_(Earth-616)#	NO,"Wanda Nefaria"" Masterson Lang Johnson",108.28556703521521,YES,,,Sep-63,1907,38.0,Academy,,,,NO,,,,,,,Died in Great_Lakes_Avengers_Vol_1_1. Has not returned
http://marvel.wikia.com/Wanda_Maximoff_(Earth-616)	YES,Amadeus Shade Renslayer name) Johnson,104.28825423841644,YES,,,May-65,1910,38.0,Full,,YES,,NO,,,,,,,NA
http://marvel.wikia.com/Loki_Laufeyson_(Ikol)_(Earth-616)#	NO,X-51 Milhouse Rhodes Lang Johnson,114.20716935277487,NO,,,Sep-76,1973,12.0,Full,,NO,,,,,,,,,The bad penny of the Marvel universe. First killed in Secret invasion. Revived during the Chaos war. Died again during aformentioned chaos war. Resurrected by the Kree Empire using theæM'Kraan Crystal. Third death during Avengers vs. X-Men. Has not return
http://marvel.wikia.com/Dane_Whitman	NO,Eros Alvarez (alias) Lang Johnson,11.079781954886654,NO,,,Aug-75,1926,70.0,Full,,YES,,,,,,,,,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
http://marvel.wikia.com/James_Rhodes_(Earth-616)#	NO,Jacques Green (nee Sr. Johnson,748.4063159462537,YES,,,Jul-78,1988,19.0,Honorary,,NO,,,,,,,,,Accidently killed by Zaran
http://marvel.wikia.com/Human_Torch_(Android)_(Earth-616)#	YES,Patsy Mack Harris Danvers Johnson,388.91199134714867,YES,,,Nov-88,1941,5.0,Full,,,,,,,,,,,Died during time on Defenders. Eventually ressurected by villian Grim Reaper along with Mockingbird to fight the Avengers.
http://marvel.wikia.com/Phillip_Coulson_(Earth-616)#	NO,Veranke Lopez Masterson name) Johnson,39.3431344455048,NO,,,Apr-87,1997,35.0,Honorary,,NO,,,,,,,,,Shot with a Breathing gun and corpse dumped in trash. Revived by the Grim Reaper. Helped Avengers defeat the Reaper so his spirit could remain at peace. Later completely revived by the Chaos King.
http://marvel.wikia.com/Alexis_(Earth-616)#	NO,John Thompson Parker K'ai Johnson,49.59338117312385,NO,,,Dec-87,1992,106.0,Academy,,,NO,,,,,,,,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
http://marvel.wikia.com/Otto_Octavius_(Earth-616)#	YES,,36.02790223400153,YES,,Aug-91	FEMALE,May-88,1974,10.0,Full,,NO,,,,,,,,,Christ; where to begin. His superpower is that he cannot die when he dies he immediately comes back. The Wikia inventories 24 deaths. These will be excluded from the analysis.
"http://marvel.wikia.com/Nicholas_Fury,_Jr._(Earth-616)#	NO",Robbie Taggert McCoy Altman Johnson,122.0381904539882,YES,,,Jan-88,1929,16.0,Full,,YES,NO,,,,,,,,Killed by Namor with the Ebony Blade. Returned when The Master put her in a statis tube. Death 2 was when Namor mercy killed her. Returned to life a second time by the Chaos King.
http://marvel.wikia.com/Susan_Storm_(Earth-616)#	NO,Ava T'Naga McCoy Stark Johnson,332.7524552570681,NO,,,Apr-90,1925,39.0,Full,,,,,,,,,,,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
http://marvel.wikia.com/Delroy_Garrett_Jr._(Earth-616)#	NO,Marcus Francis Dyne Marcus Johnson,94.24011065518576,NO,,,Jan-92,1957,7.0,Honorary,,YES,,,,,,,,,Killed by Leather Boy
http://marvel.wikia.com/Vance_Astro_(Earth-691)#	NO,,69.6760322110272,YES,,,Jul-93,1926,34.0,Full,,NO,,,,,,,,,Died during Seige. Brought back to life by the Apocalypse twins as a horseman of death in Uncanny_Avengers_Vol_1_9.
http://marvel.wikia.com/Wendell_Vaughn_(Earth-616)#	YES,"Emery Kane ""Hank"" Sr. Johnson",169.40181243329866,YES,,,1-Aug,1989,26.0,Honorary,,,,,,,,,,,Dies in Avengers_Vol_1_500. Is eventually rebuilt.
http://marvel.wikia.com/Anya_Corazon_(Earth-616)#	NO,Brandt Sharpe Drew Stark Johnson,11.514565307432687,NO,,,5-Nov,1912,19.0,Full,,,,,,,,,,,Died in Great_Lakes_Avengers_Vol_1_1. Has not returned
http://marvel.wikia.com/Alexis_(Earth-616)#	NO,Izzy Jonathan Wilson Danvers Johnson,17.866054635288105,NO,,,,1989,45.0,Full,,,,,,,,,,,Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best.
http://marvel.wikia.com/Gilgamesh_(Earth-616)#	YES,Julie Brooks Howlett Sr. Johnson,1410.6589940921506,YES,,,Sep-63,1993,14.0,Full,,NO,YES,NO,,,,,,,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
http://marvel.wikia.com/Vance_Astro_(Earth-691)#	NO,Simon Dunphy Jane Lang Johnson,42.49852858065987,YES,,,May-65,1932,7.0,Full,,,,,,,,,,,Killed by Leather Boy
http://marvel.wikia.com/Bonita_Juarez_(Earth-616)#	NO,Angelica Hollis Stark Marcus Johnson,67.78122974936048,NO,,,Sep-76,1982,2.0,Full,,NO,,,,,,,,,NA is actually Kang but let's just not go there.
http://marvel.wikia.com/Brian_Braddock_(Earth-616)#	NO,"Gene Mack ""Hank"" Morse) Johnson",291.23681810561607,NO,,,Aug-75,1901,9.0,Full,,,,,,,,,,,Died in Avengers_Vol_1_9. Actually just in a death-like coma.
http://marvel.wikia.com/Michiko_Musashi_(Earth-616)#	NO,Namor Masterson Shepherd Pym Johnson,4333.0,YES,,,Jul-78,1975,2.0,Full,,NO,,,,,,,,,Died in Captain_America_Vol_7_10. It's not clear how she survived but yeah she totally did.
http://marvel.wikia.com/Jeanne_Foucault_(Earth-616)#	NO,Elijah Ayala Jr. Pym Johnson,138.96600753138412,YES,,,Nov-88,2000,9.0,Full,,,,,,,,,,,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
http://marvel.wikia.com/Marcus_Milton_(Earth-13034)#	YES,Jim Leigh Romanova Sr. Johnson,124.84335559295248,NO,,,Apr-87,1957,13.0,Full,,,,,,,,,,,Died in Secret_Avengers_Vol_1_22.
http://marvel.wikia.com/Elvin_Haliday_(Earth-616)#	NO,Heather Carpenter Druid name) Johnson,599.3123367092076,NO,,,Dec-87,1987,10.0,Academy,,YES,,,,,,,,,Killed in Avengers_Vol_1_24. Revived by the Grandmaster. Died in Avengers:_Forever_Vol_1_3.
http://marvel.wikia.com/Anthony_Stark_(Earth-616)	YES,Ava Haliday Maximoff Strange Johnson,1667.6663507454832,YES,,,May-88,1973,2.0,Full,,NO,,,,,,,,,Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy.
http://marvel.wikia.com/Gene_Lorrene_(Earth-616)#	NO,,287.4910262372993,YES,,,Jan-88,1959,4.0,Full,,YES,,,,,,,,,Killed by Norman Osbourne. Has not returned.
