Year,Country,Spending_USD,Life_Expectancy
2008,Japan,1104.781,76.5
2008,Canada,4454.451,76.1
2008,Great Britain,4717.843,76.6
2008,France,866.482,78.7
2008,Japan,1909.134,76.0
2008,Great Britain,1113.324,80.2
2009,Germany,6778.449,81.1
2009,USA,10478.657,76.6
2009,France,1720.425,78.2
2009,France,989.907,80.7
2009,Canada,480.895,77.3
2009,Canada,3628.706,76.7
2009,Japan,662.512,79.7
2009,France,3465.606,76.2
2010,USA,3845.11,81.2
2010,Great Britain,1361.484,78.0
2010,Great Britain,2807.018,78.3
2010,Great Britain,324.513,81.9
2011,France,4271.841,76.7
2011,Germany,421.554,76.7
2011,Japan,3114.543,80.9
2012,USA,3873.868,83.8
2012,France,5360.834,74.6
2012,Germany,2134.375,78.4
2012,Germany,799.24,76.9
2013,Canada,4675.465,77.5
2013,France,3093.161,76.4
2013,Canada,3663.321,78.9
2013,Canada,3310.402,72.8
2013,Great Britain,775.996,75.2
2013,Great Britain,2482.516,76.0
2013,Canada,807.298,76.1
2013,USA,4381.755,73.4
2014,Great Britain,3645.581,78.0
2014,France,2884.214,77.8
2014,Germany,4240.701,83.7
2014,Great Britain,1266.283,78.2
2014,France,1115.671,81.5
2015,Great Britain,3711.473,79.3
2015,Germany,6906.434,80.6
2015,Germany,4647.861,78.3
2015,Great Britain,3021.779,78.2
2015,Great Britain,2033.717,82.6
2016,Germany,6713.759,78.7
2016,France,1369.051,78.5
2016,USA,470.747,77.3
2016,Germany,6831.464,71.4
2016,Germany,6252.819,77.0
2016,Japan,4347.449,80.5
2016,Canada,4549.344,74.6
2016,Germany,1432.349,77.9
2016,Germany,1136.528,84.7
2016,Japan,2800.742,80.9
2016,Great Britain,4306.512,78.1
2016,Japan,1516.926,84.7
2017,Great Britain,1785.504,78.0
2017,Germany,1894.383,81.3
2017,Great Britain,175.373,81.0
2017,Japan,2315.206,76.6
2017,Germany,3598.879,78.8
2017,Canada,5308.915,84.7
2018,Germany,2512.241,76.9
2018,Canada,4895.229,78.2
2018,USA,10165.647,70.6
2019,Great Britain,4981.224,75.4
2019,France,2241.145,74.0
2019,France,1536.997,72.0
2019,Germany,4019.65,76.6
2019,Germany,864.133,81.6
2020,USA,9310.576,75.7
2020,Germany,940.795,78.7
