start_lat,start_lon,end_lat,end_lon,airline,airport1,airport2,cnt
35.19745939,-111.31904541,39.85765778,-78.67028827,AA,BWI,COS,717
35.69825745,-113.78201541,24.62569295,-101.78345077,AA,IAD,IND,171
30.28579377,-82.97524476,28.87004343,-77.97471704,AA,FAT,MCO,150
29.59339893,-80.25363441,47.44898194,-108.06543466,AA,PHL,JAC,223
36.1899699,-95.061874,22.65142315,-64.79855556,AA,HSV,AUS,389
32.64942701,-71.42103393,33.11323886,-64.79855556,AA,SJU,ABQ,306
33.53568638,-98.50853345,31.22264913,-64.79855556,AA,SLC,RDU,97
44.76896066,-89.37167309,38.31673779,-100.56119611,AA,RNO,ABQ,129
44.65239884,-78.06359684,39.24172905,-105.77268022,AA,IAH,LAX,242
32.45181103,-125.09280597,35.75759451,-89.95873658,AA,BDL,SEA,310
31.23113089,-114.97788558,38.06040886,-96.49085829,AA,TUS,ORD,109
27.31801307,-119.67430948,37.99737829,-69.65108217,AA,BNA,DTW,144
32.15894327,-95.48809641,38.10035239,-108.12810989,AA,BOS,PHL,279
40.82863907,-124.56032489,34.70849623,-103.34991397,AA,HDN,MIA,218
34.71874107,-81.77225532,45.76756923,-113.45633289,AA,DFW,PHX,90
27.33359777,-90.802365,18.8448887,-103.45747302,AA,HSV,ORD,347
30.00521406,-95.79715154,42.04927546,-76.92707605,AA,IAH,IND,47
23.6515073,-98.39506183,39.4410296,-96.5522735,AA,MFE,ONT,215
34.03837253,-91.96752676,30.75598288,-77.77677498,AA,IAH,SAN,430
29.28341701,-73.04401883,37.52957419,-112.73877318,AA,MEM,BHM,374
39.14855689,-70.88985355,27.78817908,-90.96093416,AA,SJU,RDU,230
30.67680139,-92.81606117,40.12891482,-78.76212293,AA,MFE,SMF,44
36.551749,-83.3239478,31.76616818,-92.69013876,AA,SDF,STX,205
40.99255293,-88.97662957,30.97429552,-64.79855556,AA,HDN,RSW,62
35.49255286,-77.00155239,34.75136334,-64.85056917,AA,SLC,DAY,303
25.31373426,-114.39898591,27.58983051,-89.03559851,AA,MFE,DCA,150
43.05309542,-99.20936575,38.37046652,-90.69991055,AA,DEN,SFO,56
31.07498946,-87.90150146,37.52645341,-95.23066445,AA,MFE,LIH,621
35.94702028,-125.12793195,38.04104689,-84.77903822,AA,SJU,DEN,121
27.58154738,-101.75859859,37.13855331,-99.31882109,AA,KOA,IAD,141
33.23925269,-137.50174323,34.26710682,-100.48224673,AA,STT,SEA,445
36.13474771,-98.12458117,40.21015742,-87.46671901,AA,TUS,PSP,302
47.44898194,-86.32899765,33.32092584,-95.89860589,AA,FAT,FLL,45
36.36017984,-101.72964153,17.70188889,-93.25082238,AA,OGG,MSP,399
32.47539485,-100.37555759,32.6925708,-106.21903211,AA,MFE,ORF,191
28.78003536,-95.30442586,40.93169548,-103.61584558,AA,STL,FLL,226
25.81025538,-96.4360293,35.49502283,-84.46666525,AA,RIC,SAN,427
35.06059195,-94.21376216,45.53526434,-88.2323707,AA,LAS,JAC,417
36.98606589,-83.22696369,29.45938887,-86.55540737,AA,SEA,SNA,378
36.41639947,-101.8911457,40.98487697,-124.60723294,AA,TUL,LIH,335
30.01711141,-80.28245088,41.18349775,-82.77899126,AA,HDN,MCO,136
30.09130512,-94.64995306,24.61785236,-112.58133203,AA,XNA,DTW,63
42.78798532,-68.95940314,30.33874157,-74.34637745,AA,OMA,IND,348
32.4967416,-75.95634432,28.08784068,-77.17358155,AA,OGG,HNL,229
37.84935264,-102.24421034,34.13045766,-83.99675011,AA,MSP,EWR,197
33.70900495,-64.97336111,40.46228676,-113.85129385,AA,EWR,JAX,445
47.44898194,-106.41581476,40.52102647,-92.87699707,AA,SJU,LGA,344
44.02209175,-65.12526453,38.11257378,-87.13919435,AA,EWR,SNA,183
26.35392539,-113.29014573,30.11186432,-89.09580586,AA,HSV,ORD,26
38.93607388,-71.49173604,26.07202873,-86.16326078,AA,FAT,ORD,214
39.42700971,-81.21685194,35.92747827,-64.79855556,AA,KOA,BHM,259
41.33643663,-74.18446362,35.67232672,-97.89104973,AA,OMA,TPA,159
26.09372642,-91.262146,27.60315107,-84.74830351,AA,BWI,STL,232
47.44898194,-97.89696829,22.89956877,-64.79855556,AA,MCI,ELP,149
36.90369828,-113.63495766,26.71603243,-115.26345347,AA,ATL,SNA,368
34.59273636,-110.01572035,35.73204578,-64.79855556,AA,EWR,STT,169
32.07866084,-86.5058814,30.77018964,-102.98378081,AA,HNL,PDX,455
28.73876836,-95.59580162,40.54626922,-76.57138467,AA,OGG,CLT,25
34.71916225,-101.55242162,27.36418103,-97.70306928,AA,TUL,IAD,28
34.79762835,-95.1386978,36.8014426,-83.29010834,AA,MTJ,JAX,88
31.7241859,-93.95004789,42.43304143,-100.70249935,AA,MEM,ELP,34
33.77133682,-112.08655176,38.89808201,-93.33225149,AA,JFK,LAX,233
29.95212288,-74.36637778,46.84677817,-92.209906,AA,SAN,ICT,590
47.44898194,-98.10916251,43.58270318,-105.03862686,AA,SDF,BOS,376
32.8557905,-110.15046206,38.03515124,-94.60270934,AA,HNL,COS,149
36.03274016,-109.58442096,33.84469057,-81.74395765,AA,HDN,EGE,153
37.71239314,-103.080175,30.9361526,-76.64302358,AA,MFE,TUL,482
38.62039565,-127.2762014,37.30672923,-94.84793908,AA,SFO,DFW,220
37.56274166,-64.97336111,31.26168614,-81.6638349,AA,RNO,RDU,170
47.44898194,-140.53531611,36.58261809,-114.90777875,AA,TPA,TUS,177
47.44898194,-125.95449708,42.14453161,-75.51399616,AA,SJU,LAX,247
30.56506599,-75.68090164,34.06749263,-115.32482453,AA,SFO,DAY,914
27.69495076,-111.34328536,44.22960268,-86.33947747,AA,PHL,BOS,184
26.7368377,-110.82046003,35.17559994,-84.81649715,AA,SEA,DAY,284
25.18587185,-90.33263097,32.57748746,-94.1053386,AA,SLC,ORF,18
31.35035502,-130.81196839,35.36202054,-107.4056803,AA,IAD,ORD,299
39.62746332,-101.66852908,45.06543394,-102.80082059,AA,JAC,PSP,138
22.85180131,-99.20271953,39.75503433,-77.28504974,AA,LAX,EGE,171
24.83031384,-112.11898788,38.47165812,-78.50167738,AA,HDN,SNA,316
39.79859469,-89.01004817,39.30364468,-94.57476505,AA,SJC,LIH,243
34.8638995,-64.97336111,37.47766453,-79.76713958,AA,RIC,STL,167
34.28971818,-97.93946255,42.1106555,-85.28284112,AA,EGE,RDU,20
47.44898194,-109.16520171,35.93666735,-73.56517858,AA,LAX,SMF,283
37.74406609,-88.88654745,39.65751426,-82.59295484,AA,RIC,LGA,590
36.9647549,-114.01845655,30.60848478,-64.79855556,AA,MIA,ELP,96
41.96049127,-101.71646494,39.94583195,-101.50578287,AA,LAX,STT,317
34.9228834,-94.01004956,32.96687095,-70.9423774,AA,BNA,BNA,454
42.0128444,-64.97336111,38.0595986,-66.45702579,AA,DTW,FLL,107
43.88795973,-102.51285001,24.69024539,-95.29575594,AA,BWI,DEN,774
31.95284564,-116.62606313,31.03723521,-98.82894489,AA,MTJ,MCO,60
32.03208479,-103.11604725,31.20623113,-111.96214563,AA,PHX,BNA,369
47.44898194,-115.44595895,46.41641935,-106.10926069,AA,OKC,TUS,198
36.93417933,-100.7319211,30.4683687,-113.6166528,AA,BNA,ORF,327
29.23962083,-72.33681202,37.886888,-94.92545513,AA,KOA,PDX,108
28.68498751,-134.82153329,39.68954576,-107.82114132,AA,RNO,SAN,144
27.20548117,-75.12046442,35.35210431,-89.15334565,AA,SAN,BNA,367
47.44898194,-94.58425216,30.0059534,-84.77004038,AA,SEA,IAD,296
18.33730556,-107.45554432,34.29525506,-110.39984295,AA,STT,PHL,85
22.61338979,-74.80320183,31.18986897,-78.67889342,AA,STT,EWR,137
40.47181024,-96.33474397,41.82028162,-86.6745834,AA,HDN,STT,201
42.8469195,-116.3435487,30.84281783,-94.76359505,AA,PHL,COS,235
43.91182569,-94.26479164,29.58334811,-80.57660074,AA,IAD,SFO,156
34.9331068,-86.29306866,34.81185248,-64.79855556,AA,SFO,PBI,342
31.23255622,-89.84392294,34.74721518,-82.77721378,AA,OMA,MIA,182
40.06253981,-141.78707535,47.43815932,-102.4081562,AA,EGE,BNA,98
40.07238393,-103.62689756,41.75562151,-95.60790623,AA,ATL,ELP,133
24.41225903,-113.37594088,36.67226095,-95.21101836,AA,EWR,HDN,374
30.71510886,-92.78491857,37.92576732,-100.53236029,AA,EWR,MSY,395
38.64596699,-75.76365231,30.50748522,-70.09225769,AA,OKC,CLT,683
32.44156785,-101.29993198,36.78145391,-85.59235312,AA,DCA,SEA,510
31.77407542,-84.59162875,25.66782384,-97.7580564,AA,LAX,DEN,285
25.24125329,-113.38872206,37.68782947,-100.9280408,AA,RNO,RSW,109
42.17972982,-76.88150417,43.35513288,-106.8353967,AA,LGA,MCO,60
35.95831538,-116.36819752,25.91767203,-77.00440463,AA,STT,BDL,134
43.73982303,-102.36965286,32.67693233,-64.79855556,AA,TUS,JAX,369
30.01118245,-96.13470794,26.61828738,-74.74867244,AA,MTJ,MSP,176
36.98325608,-125.34121172,26.94850227,-74.72565829,AA,RNO,IAH,104
46.87575297,-92.46603418,27.05234399,-90.24950078,AA,MEM,STL,32
33.31614453,-89.7228447,31.84938662,-142.01201784,AA,IAD,HDN,255
34.83677872,-73.78468129,32.40258864,-64.79855556,AA,TUL,JAC,275
27.39301087,-108.07517933,34.35781789,-124.8254488,AA,DTW,LAS,93
37.60235615,-93.05750218,26.37750421,-73.07670639,AA,EGE,MIA,350
38.71023101,-103.56975534,37.5069757,-84.25050117,AA,SAT,FLL,160
47.44898194,-81.24480727,40.89000044,-106.84919134,AA,JAC,TPA,33
47.44898194,-89.59038865,25.00113348,-87.97798563,AA,MSP,LAS,215
35.08235381,-79.72902653,35.33920364,-117.55614916,AA,OGG,MCO,172
28.61937376,-132.18322555,31.70137325,-92.7459717,AA,MFE,HDN,37
25.84272562,-116.63164654,46.99895599,-72.6026659,AA,IAD,IND,181
31.80008888,-64.97336111,34.45162884,-66.45297743,AA,IAD,IND,229
38.36315677,-108.68346454,43.44186496,-87.8298669,AA,DFW,BOS,145
41.51997392,-76.78990175,33.11128039,-104.34577074,AA,BUR,COS,475
33.91942523,-97.27379465,33.89175922,-107.69218999,AA,OGG,TUS,88
35.86930655,-82.13791793,27.75057337,-66.75060112,AA,SDF,ICT,192
47.44898194,-87.20393105,31.15968639,-105.1879037,AA,XNA,PHL,129
27.30928693,-102.23574449,41.72293067,-77.28056775,AA,JAC,HNL,232
38.03555283,-111.94921141,24.99089245,-120.29104217,AA,HNL,SAN,259
28.7609407,-87.02261677,34.84934144,-75.90077746,AA,JAC,ABQ,92
32.28628145,-116.40739686,38.70327662,-76.24865642,AA,BNA,SNA,370
31.33499954,-84.62013677,26.75426702,-71.63544498,AA,RDU,AUS,328
