Serbia	283	283	283	9.6
Seychelles	157	157	157	4.1
Sierra Leone	25	25	25	6.7
Singapore	60	60	60	1.5
Slovakia	196	196	196	11.4
Slovenia	270	270	270	10.6
Solomon Islands	56	56	56	1.2
Somalia	0	0	0	0.0
South Africa	225	225	225	8.2
Spain	284	284	284	10.0
Sri Lanka	16	16	16	2.2
Sudan	8	8	8	1.7
Suriname	128	128	128	5.6
Swaziland	90	90	90	4.7
Sweden	152	152	152	7.2
Switzerland	185	185	185	10.2
Syria	5	5	5	1.0
Tajikistan	2	2	2	0.3
Thailand	99	99	99	6.4
Macedonia	106	106	106	3.9
Timor-Leste	1	1	1	0.1
Togo	36	36	36	1.3
Tonga	36	36	36	1.1
Trinidad & Tobago	197	197	197	6.4
Tunisia	51	51	51	1.3
Turkey	51	51	51	1.4
Turkmenistan	19	19	19	2.2
Tuvalu	6	6	6	1.0
Uganda	45	45	45	8.3
Ukraine	206	206	206	8.9
United Arab Emirates	16	16	16	2.8
United Kingdom	219	219	219	10.4
Tanzania	36	36	36	5.7
USA	249	249	249	8.7
Uruguay	115	115	115	6.6
Uzbekistan	25	25	25	2.4
Vanuatu	21	21	21	0.9
Venezuela	333	333	333	7.7
Vietnam	111	111	111	2.0
Yemen	6	6	6	0.1
Zambia	32	32	32	2.5
Zimbabwe	64	64	64	4.7
