Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Torgersen,36.7,18.5,196,3603,FEMALE
Adelie,Dream,35.7,18.9,214,3083,FEMALE
Adelie,Dream,41.3,17.1,198,3811,FEMALE
Adelie,Dream,36.2,18.3,195,4421,FEMALE
Adelie,Dream,40.3,17.2,231,3967,MALE
Adelie,Torgersen,38.3,20.1,218,3504,FEMALE
Adelie,Torgersen,39.6,18.1,191,3526,FEMALE
Adelie,Torgersen,38.8,18.5,219,3647,MALE
Adelie,Dream,44.1,18.1,197,4295,FEMALE
Adelie,Dream,37.3,17.2,210,4041,FEMALE
Adelie,Biscoe,37.8,17.8,203,3039,FEMALE
Adelie,Torgersen,34.0,19.0,212,3525,FEMALE
Adelie,Dream,38.5,19.1,192,3683,FEMALE
Adelie,Torgersen,37.3,18.0,203,3543,FEMALE
Adelie,Torgersen,39.6,18.4,216,3333,MALE
Adelie,Biscoe,41.5,17.3,209,4425,FEMALE
Adelie,Dream,38.8,19.3,192,3587,FEMALE
Adelie,Torgersen,37.0,17.1,194,3193,MALE
Adelie,Biscoe,35.5,17.2,207,3033,MALE
Adelie,Dream,34.6,17.9,201,3852,MALE
Adelie,Dream,39.8,18.7,204,3589,
Adelie,Biscoe,34.5,15.9,190,3213,FEMALE
Adelie,Biscoe,41.1,18.1,182,3795,MALE
Adelie,Biscoe,37.7,18.5,182,3829,MALE
Adelie,Dream,36.0,16.5,202,3827,MALE
Adelie,Torgersen,43.2,16.6,190,4421,FEMALE
Adelie,Biscoe,39.6,18.9,202,3148,MALE
Adelie,Dream,37.2,18.4,213,3543,FEMALE
Adelie,Dream,38.1,18.8,191,3470,MALE
Adelie,Biscoe,35.7,19.0,186,2884,MALE
Adelie,Dream,42.2,17.4,213,3833,MALE
Adelie,Biscoe,39.7,17.2,207,2899,MALE
Adelie,Biscoe,46.0,19.4,203,3540,FEMALE
Adelie,Dream,41.1,16.8,184,3428,MALE
Adelie,Biscoe,36.6,18.7,183,4766,MALE
Adelie,Biscoe,39.5,18.5,222,3352,MALE
Adelie,Dream,43.2,20.3,220,4315,MALE
Adelie,Torgersen,45.6,18.3,213,4240,FEMALE
Adelie,Torgersen,35.1,20.0,213,3369,FEMALE
Adelie,Dream,37.7,18.9,202,3581,FEMALE
Adelie,Dream,37.6,17.6,201,3386,MALE
Adelie,Torgersen,40.2,16.2,214,3783,MALE
Adelie,Biscoe,41.8,18.5,212,3894,FEMALE
Adelie,Biscoe,44.1,17.9,220,4442,MALE
Adelie,Biscoe,39.5,18.8,186,3792,MALE
Adelie,Torgersen,36.0,17.7,226,3686,FEMALE
Adelie,Biscoe,42.5,19.8,176,3872,MALE
Adelie,Dream,39.1,19.2,189,3713,FEMALE
Adelie,Torgersen,42.7,18.8,207,3044,MALE
Adelie,Dream,38.8,17.6,179,3374,MALE
Adelie,Torgersen,35.3,20.0,200,4362,MALE
Adelie,Dream,32.1,19.6,199,3654,FEMALE
Adelie,Torgersen,41.4,19.3,231,4070,MALE
Adelie,Dream,36.2,16.5,194,3405,MALE
Adelie,Torgersen,37.7,20.0,214,3635,FEMALE
Adelie,Torgersen,36.0,18.6,174,3535,MALE
Adelie,Biscoe,41.6,20.6,213,3530,FEMALE
Adelie,Dream,39.6,17.9,204,4275,MALE
Adelie,Dream,39.7,17.8,204,3453,FEMALE
Adelie,Torgersen,41.3,17.8,172,3425,FEMALE
Adelie,Biscoe,39.6,18.1,184,3075,FEMALE
Adelie,Biscoe,39.0,16.9,211,3169,FEMALE
Adelie,Dream,38.1,18.0,189,4228,FEMALE
Adelie,Dream,37.5,19.0,204,4324,MALE
Adelie,Dream,39.0,18.3,207,3154,MALE
Adelie,Biscoe,39.2,15.5,172,3474,FEMALE
Adelie,Dream,39.2,21.5,196,4154,FEMALE
Adelie,Torgersen,40.9,19.5,199,3794,MALE
Adelie,Dream,40.9,17.0,195,4145,MALE
Adelie,Dream,34.6,20.3,209,3352,FEMALE
Adelie,Torgersen,40.5,18.2,204,4161,FEMALE
Adelie,Torgersen,40.1,17.2,195,3770,FEMALE
Adelie,Torgersen,36.5,17.5,204,4172,MALE
Adelie,Torgersen,36.2,18.1,224,3329,FEMALE
Adelie,Dream,41.4,17.5,181,3030,FEMALE
Adelie,Dream,36.4,16.1,187,3655,FEMALE
Adelie,Biscoe,35.9,19.4,196,4061,MALE
Adelie,Biscoe,41.1,17.5,197,4390,FEMALE
Adelie,Torgersen,39.0,18.5,213,4307,MALE
Adelie,Dream,35.6,18.1,198,2700,FEMALE
Adelie,Torgersen,36.2,17.1,221,4235,FEMALE
Adelie,Torgersen,44.1,18.6,189,3444,MALE
Adelie,Dream,36.3,21.2,178,3802,FEMALE
Adelie,Biscoe,40.3,18.9,189,3703,MALE
Adelie,Torgersen,35.0,19.3,201,3777,FEMALE
Adelie,Biscoe,38.1,19.7,172,3537,FEMALE
Adelie,Dream,38.5,21.1,175,3825,MALE
Adelie,Dream,40.7,19.2,186,3531,MALE
Adelie,Dream,36.9,18.5,185,3985,MALE
Adelie,Dream,36.4,19.2,172,3444,FEMALE
Adelie,Torgersen,41.0,21.2,213,3161,MALE
Adelie,Torgersen,40.6,18.5,197,3483,FEMALE
Adelie,Dream,40.2,17.9,203,3504,
Adelie,Biscoe,38.9,18.4,213,3179,FEMALE
Adelie,Dream,39.8,17.8,188,4441,FEMALE
Adelie,Biscoe,42.3,16.9,213,3864,FEMALE
Chinstrap,Dream,45.9,19.0,192,3760,MALE
Chinstrap,Dream,52.7,16.7,196,3018,MALE
Chinstrap,Dream,52.8,16.6,198,3497,FEMALE
Chinstrap,Dream,50.5,20.0,198,3942,MALE
Chinstrap,Dream,50.8,19.5,208,4277,MALE
Chinstrap,Dream,45.6,18.2,206,4326,MALE
Chinstrap,Dream,43.5,19.6,200,3548,FEMALE
Chinstrap,Dream,45.4,18.7,211,3067,FEMALE
Chinstrap,Dream,52.0,17.3,205,4159,MALE
Chinstrap,Dream,50.2,16.4,206,3817,MALE
Chinstrap,Dream,42.5,19.7,195,3405,FEMALE
Chinstrap,Dream,54.2,18.2,198,3921,MALE
Chinstrap,Dream,51.7,16.6,178,4022,FEMALE
Chinstrap,Dream,49.0,18.8,194,3579,MALE
Chinstrap,Dream,49.3,17.8,178,3724,MALE
Chinstrap,Dream,52.2,17.3,192,3127,MALE
Chinstrap,Dream,46.2,18.6,188,2862,FEMALE
Chinstrap,Dream,49.0,19.9,201,3891,MALE
Chinstrap,Dream,45.7,19.9,209,3674,FEMALE
Chinstrap,Dream,50.9,18.9,206,3695,FEMALE
Chinstrap,Dream,49.2,19.0,173,3509,FEMALE
Chinstrap,Dream,47.0,17.9,174,3831,FEMALE
Chinstrap,Dream,51.5,18.8,219,3375,MALE
Chinstrap,Dream,48.1,17.8,231,3458,MALE
Chinstrap,Dream,50.8,17.3,198,3582,
Chinstrap,Dream,51.9,16.5,218,3726,MALE
Chinstrap,Dream,46.5,17.9,199,3449,MALE
Chinstrap,Dream,51.0,18.7,176,2962,FEMALE
Chinstrap,Dream,42.4,19.5,205,3786,FEMALE
Chinstrap,Dream,50.6,16.6,210,3767,FEMALE
Chinstrap,Dream,45.7,17.0,172,3496,FEMALE
Chinstrap,Dream,49.6,19.8,195,3843,FEMALE
Chinstrap,Dream,47.6,18.2,202,3605,FEMALE
Chinstrap,Dream,50.5,17.3,209,3400,MALE
Chinstrap,Dream,46.0,19.2,212,3238,MALE
Chinstrap,Dream,50.2,17.3,190,4078,MALE
Chinstrap,Dream,45.5,19.8,199,3447,FEMALE
Chinstrap,Dream,58.0,19.4,206,3866,MALE
Chinstrap,Dream,45.2,18.4,212,3929,FEMALE
Chinstrap,Dream,51.3,18.1,219,3524,MALE
Chinstrap,Dream,40.9,20.8,225,3939,FEMALE
Chinstrap,Dream,46.4,19.0,188,3855,MALE
Chinstrap,Dream,49.8,17.0,201,4251,MALE
Chinstrap,Dream,50.0,17.5,183,3536,MALE
Chinstrap,Dream,47.5,17.5,178,4223,FEMALE
Chinstrap,Dream,52.0,18.7,230,3530,FEMALE
Chinstrap,Dream,53.5,18.6,198,4357,FEMALE
Chinstrap,Dream,51.3,17.8,188,3583,FEMALE
Chinstrap,Dream,46.8,19.0,196,3222,FEMALE
Chinstrap,Dream,51.3,19.1,210,3388,FEMALE
Chinstrap,Dream,51.4,20.7,191,3737,FEMALE
Chinstrap,Dream,50.3,17.1,180,3846,MALE
Chinstrap,Dream,46.4,17.9,179,3931,MALE
Chinstrap,Dream,55.8,17.9,196,3174,FEMALE
Chinstrap,Dream,42.5,18.8,216,4277,FEMALE
Chinstrap,Dream,46.9,17.8,213,3550,
Chinstrap,Dream,46.7,19.6,208,3935,MALE
Chinstrap,Dream,50.7,19.9,196,3435,FEMALE
Chinstrap,Dream,50.9,18.3,199,3498,MALE
Chinstrap,Dream,46.1,16.8,206,3578,FEMALE
Chinstrap,Dream,49.7,16.6,197,3883,MALE
Chinstrap,Dream,46.6,18.2,214,4316,MALE
Chinstrap,Dream,48.5,19.4,200,3851,FEMALE
Chinstrap,Dream,52.0,18.5,201,3308,FEMALE
Chinstrap,Dream,50.1,18.1,195,3264,MALE
Chinstrap,Dream,45.2,20.3,181,3791,MALE
Chinstrap,Dream,43.2,20.0,221,3689,FEMALE
Gentoo,Biscoe,51.5,16.1,196,5432,FEMALE
Gentoo,Biscoe,49.8,15.7,210,5208,MALE
Gentoo,Biscoe,49.6,15.6,205,4170,MALE
Gentoo,Biscoe,46.9,13.8,198,5530,FEMALE
Gentoo,Biscoe,45.4,15.9,205,5131,MALE
Gentoo,Biscoe,46.4,15.0,210,4871,FEMALE
Gentoo,Biscoe,52.1,15.4,212,4164,FEMALE
Gentoo,Biscoe,50.8,15.7,209,4795,MALE
Gentoo,Biscoe,48.7,15.3,200,5530,MALE
Gentoo,Biscoe,49.0,15.1,192,4412,FEMALE
Gentoo,Biscoe,43.4,15.7,201,4931,MALE
Gentoo,Biscoe,45.8,16.5,215,5288,MALE
Gentoo,Biscoe,48.4,14.8,222,4716,MALE
Gentoo,Biscoe,49.1,13.7,206,5325,MALE
Gentoo,Biscoe,43.3,15.1,176,4777,FEMALE
Gentoo,Biscoe,40.9,14.8,196,4766,MALE
Gentoo,Biscoe,49.1,15.9,208,6146,MALE
Gentoo,Biscoe,45.5,15.0,216,5426,MALE
Gentoo,Biscoe,45.3,14.5,212,4606,MALE
Gentoo,Biscoe,48.8,14.2,198,5044,MALE
Gentoo,Biscoe,42.8,15.5,187,3785,MALE
Gentoo,Biscoe,48.1,15.2,199,5992,MALE
Gentoo,Biscoe,55.9,17.3,216,4814,FEMALE
Gentoo,Biscoe,49.4,15.2,197,5067,MALE
Gentoo,Biscoe,46.4,16.0,212,4338,MALE
Gentoo,Biscoe,45.1,16.3,205,4855,FEMALE
Gentoo,Biscoe,45.0,13.7,199,5526,MALE
Gentoo,Biscoe,53.4,17.0,194,5025,MALE
Gentoo,Biscoe,47.5,16.1,203,4595,MALE
Gentoo,Biscoe,44.0,15.2,192,5313,MALE
Gentoo,Biscoe,47.3,15.8,179,4927,FEMALE
Gentoo,Biscoe,50.5,15.3,208,4563,MALE
Gentoo,Biscoe,47.2,15.0,184,4587,FEMALE
Gentoo,Biscoe,48.6,13.2,211,5619,MALE
Gentoo,Biscoe,46.6,14.5,197,4714,FEMALE
Gentoo,Biscoe,46.2,13.9,172,4904,FEMALE
Gentoo,Biscoe,44.5,15.7,201,4774,FEMALE
Gentoo,Biscoe,41.7,16.3,203,4646,MALE
Gentoo,Biscoe,50.5,14.1,207,4992,FEMALE
Gentoo,Biscoe,48.2,14.6,211,5796,FEMALE
Gentoo,Biscoe,47.5,15.0,202,4794,FEMALE
Gentoo,Biscoe,47.7,15.0,185,4680,FEMALE
Gentoo,Biscoe,49.5,15.6,197,5145,MALE
Gentoo,Biscoe,43.8,15.2,196,5008,MALE
Gentoo,Biscoe,49.6,16.8,204,4511,MALE
Gentoo,Biscoe,43.5,15.0,195,5630,FEMALE
Gentoo,Biscoe,52.5,15.0,184,5212,FEMALE
Gentoo,Biscoe,46.5,16.4,197,5128,FEMALE
Gentoo,Biscoe,42.7,17.3,172,5224,FEMALE
Gentoo,Biscoe,46.2,14.5,199,5022,MALE
Gentoo,Biscoe,49.2,14.1,208,4052,FEMALE
Gentoo,Biscoe,42.6,14.2,218,6300,MALE
Gentoo,Biscoe,51.1,17.1,188,5401,
Gentoo,Biscoe,46.1,13.5,187,5123,FEMALE
Gentoo,Biscoe,50.4,13.9,188,4920,MALE
Gentoo,Biscoe,45.5,14.0,196,5186,MALE
Gentoo,Biscoe,45.3,16.2,206,5014,MALE
Gentoo,Biscoe,46.1,16.0,214,4858,MALE
Gentoo,Biscoe,50.2,15.6,197,5087,FEMALE
Gentoo,Biscoe,50.0,16.0,196,5461,FEMALE
Gentoo,Biscoe,48.5,14.5,186,5473,
Gentoo,Biscoe,50.7,13.7,210,5874,FEMALE
Gentoo,Biscoe,46.2,15.8,213,5110,MALE
Gentoo,Biscoe,45.2,15.1,211,4269,FEMALE
Gentoo,Biscoe,44.9,13.3,184,4539,MALE
Gentoo,Biscoe,44.5,14.2,228,5539,FEMALE
Gentoo,Biscoe,44.4,13.9,186,5644,FEMALE
Gentoo,Biscoe,49.3,16.1,204,5667,FEMALE
Gentoo,Biscoe,48.4,17.0,224,4982,MALE
Gentoo,Biscoe,42.9,15.0,194,5018,FEMALE
Gentoo,Biscoe,48.5,14.5,208,6084,FEMALE
Gentoo,Biscoe,46.8,14.4,194,5152,FEMALE
Gentoo,Biscoe,45.8,14.3,172,4171,MALE
Gentoo,Biscoe,50.0,15.7,199,4696,FEMALE
Gentoo,Biscoe,50.0,14.0,172,4633,MALE
Gentoo,Biscoe,50.4,14.2,210,4938,FEMALE
Gentoo,Biscoe,54.3,13.9,231,4680,FEMALE
Gentoo,Biscoe,43.2,14.6,201,5116,MALE
Gentoo,Biscoe,50.1,14.2,205,5118,MALE
Gentoo,Biscoe,43.3,13.7,199,5134,FEMALE
Gentoo,Biscoe,45.2,15.4,224,4834,FEMALE
Gentoo,Biscoe,50.0,13.8,202,4827,MALE
Gentoo,Biscoe,45.2,16.3,190,5360,FEMALE
Gentoo,Biscoe,45.7,14.6,206,5848,MALE
Gentoo,Biscoe,46.8,13.7,191,4918,MALE
Gentoo,Biscoe,47.6,13.4,206,4718,MALE
Gentoo,Biscoe,42.0,14.5,183,4927,MALE
Gentoo,Biscoe,45.5,13.8,190,4902,FEMALE
Gentoo,Biscoe,49.9,14.1,204,5478,
Gentoo,Biscoe,50.8,15.0,196,5452,FEMALE
Gentoo,Biscoe,47.8,15.3,175,5304,MALE
Gentoo,Biscoe,52.2,14.6,174,4771,FEMALE
Gentoo,Biscoe,45.2,13.1,212,5649,FEMALE
Gentoo,Biscoe,49.8,15.8,203,5024,FEMALE
Gentoo,Biscoe,55.1,14.6,218,5244,MALE
Gentoo,Biscoe,51.1,14.7,212,5169,.
Gentoo,Biscoe,51.3,13.6,209,6228,MALE
Gentoo,Biscoe,45.5,16.2,172,5215,FEMALE
Gentoo,Biscoe,48.7,15.9,203,4550,FEMALE
Gentoo,Biscoe,47.2,13.7,187,4536,FEMALE
Gentoo,Biscoe,46.5,15.7,215,4473,FEMALE
Gentoo,Biscoe,43.5,14.7,180,4894,MALE
Gentoo,Biscoe,43.6,16.1,191,5273,FEMALE
Gentoo,Biscoe,44.9,14.4,200,4503,MALE
Gentoo,Biscoe,46.7,16.3,190,4962,FEMALE
Gentoo,Biscoe,46.5,14.9,216,5051,FEMALE
Gentoo,Biscoe,49.5,14.4,185,5924,FEMALE
Gentoo,Biscoe,49.1,15.0,206,5266,MALE
Gentoo,Biscoe,46.8,15.8,207,5282,MALE
Gentoo,Biscoe,46.5,14.2,186,5105,FEMALE
Gentoo,Biscoe,45.1,14.3,180,5522,MALE
Gentoo,Biscoe,46.3,15.3,214,4762,FEMALE
Gentoo,Biscoe,48.7,14.8,189,4567,FEMALE
Gentoo,Biscoe,47.4,14.4,206,4859,FEMALE
Gentoo,Biscoe,59.6,13.5,215,5767,FEMALE
Gentoo,Biscoe,47.5,14.5,229,5136,MALE
Gentoo,Biscoe,48.2,17.0,210,4308,MALE
Gentoo,Biscoe,48.4,14.3,213,5158,MALE
