origin,destination,count
MBS,WRG,226
ABY,DLG,1
ATL,JAC,1799
DLG,CPR,2115
MFR,RFD,2507
SAT,ROW,527
LAS,OXR,223
EWN,TXK,775
FAI,CAK,74
SBA,DLH,1504
CLT,AGS,220
IND,EKO,48
SLE,GNV,1702
ORD,PSP,113
DRO,BET,631
SPI,ADQ,1041
BZN,BMI,1116
RSW,DCA,539
DBQ,BUR,915
SYR,PIH,5492
SFO,ELM,2623
MCI,MIA,22
DBQ,FNT,2048
HPN,ERI,555
ACY,TOL,1104
FSM,ISP,552
LAW,AGS,2388
GRR,OAK,823
CAK,DLH,255
MSP,XNA,962
OAK,OXR,3
MSN,RHI,244
HTS,ORF,558
MHT,DEN,2301
OME,DEN,1980
MQT,ADQ,5988
HTS,CID,102
PWM,ABY,1
DLH,ACV,491
MSP,BZN,417
AMA,AVP,3909
ROC,SHV,584
GNV,PIA,7944
SIT,MTJ,700
PIR,PSC,571
DAL,CDV,9
CLL,ATL,457
FAR,TXK,2443
CHO,PLN,2770
CID,MLB,2929
OTZ,MOD,2702
TYS,CRP,549
MKE,BOS,1255
BHM,LAX,83
HDN,CSG,2868
BNA,ORF,2637
ANC,FCA,2992
HTS,JAN,165
TEX,KTN,114
PHX,DLH,331
AMA,PVD,76
ROW,IPL,363
BRO,ATW,8
MKE,CMH,823
ILM,ASE,3281
CHA,DTW,1251
MSO,SRQ,2384
DHN,PIT,383
LBB,DRO,14
OTH,SYR,1801
RNO,FLO,221
LNK,DCA,999
ACK,LNK,222
INL,TEX,303
HOU,CWA,2073
AEX,CLL,1013
SLE,XNA,155
CDC,FAR,556
BGM,PSE,1561
BUR,CMH,1014
MDW,LAS,231
ANC,ILM,626
ALB,HLN,1419
HNL,BNA,373
BRW,DFW,499
FAY,DLH,4200
EVV,EVV,655
SCE,ASE,4282
EYW,RFD,1554
CWA,MKG,1096
HHH,STX,219
TWF,RHI,20
LYH,EKO,3090
MEI,IND,532
BHM,MDW,448
LWB,IAD,1436
LIH,ABY,1019
PHX,GFK,2022
SHV,MTJ,502
IAD,GSP,13788
OKC,LCH,873
OXR,GRB,96
FLO,SAT,228
VPS,RHI,864
GJT,JNU,2716
EWR,ELP,502
FSD,PVD,3
MEI,LNK,1169
HLN,ABI,1050
YKM,PIH,4776
ELP,AMA,2570
ACK,PIR,249
MSN,EYW,498
GRK,SCC,1596
SJT,ITO,1272
PIR,LGA,4538
JAN,XNA,854
CDV,CMI,591
YKM,MHT,37
TUP,FLL,822
OME,IAH,271
RDU,SBN,5467
SJU,CDC,728
EWN,JNU,953
ORD,ADQ,1583
SFO,TLH,7548
PSE,TYS,4335
ANC,PNS,932
SEA,LBB,489
SHV,XNA,449
MYR,FLO,503
MFR,SMF,2794
RDU,ORD,2452
BRW,ACY,61
PIH,DEN,81
CMX,BPT,209
HRL,GSP,4208
CPR,CAE,498
ITH,TOL,247
FLO,DAY,144
JAX,FNT,228
BHM,SCC,95
BJI,EWR,2142
MSY,TXK,1395
RAP,ELM,45
ATL,SIT,1701
LAW,GTF,894
SLC,TWF,9457
DFW,GJT,4059
BET,TEX,333
ABE,BGR,1
TUP,SJC,250
MCN,RDM,2613
DCA,CRW,1100
IAH,SBN,2481
PUB,LWS,902
RST,AGS,1141
SHV,XNA,266
MQT,MGM,6758
MLU,PDX,1412
TPA,PSG,286
TEX,SBA,7
AKN,SJC,206
ACK,DLH,555
JAC,HRL,146
PSE,CIC,236
CRW,BTR,2618
MEI,FLL,410
BRO,RAP,60
BGR,ELP,2449
LMT,CMI,1850
RIC,PNS,11010
LAX,ADK,1714
ABY,CHA,952
JAC,OME,179
ASE,OAK,10204
SBN,AEX,687
CAE,BQN,1907
BWI,TUL,6576
BDL,MCO,2495
CLD,ROA,701
SAT,OMA,9
ASE,LAN,735
PIR,SLC,1791
SJT,MBS,290
MSP,ORF,208
MFR,ANC,2228
PIR,OME,35
BLI,GEG,209
ITH,FAI,598
KTN,AGS,2554
FSM,IAH,22
MQT,DLH,917
IAH,MKG,2591
RFD,CVG,8
FAY,ELP,104
AGS,ERI,338
HTS,AGS,296
MDW,OTH,130
MEM,HNL,4151
TUP,BZN,80
DSM,MGM,62
RKS,HOU,2473
TUP,MGM,1164
BOI,LEX,2200
AGS,MKE,81
FCA,RIC,524
GRB,VPS,1577
PSC,EVV,1103
BHM,BIS,46
PVD,HSV,456
SBP,CIC,393
SLE,JNU,9145
BRO,BPT,12
PSP,ROC,90
FWA,SAN,555
OAJ,MCI,8
ILM,RHI,2256
SPS,GRB,156
HDN,MDW,618
SCE,SLE,188
ACV,BJI,1433
ERI,LRD,920
MLU,ADK,707
EVV,EGE,1424
HSV,EWN,278
BIL,ANC,876
ALB,FAT,2081
PWM,ITH,2448
AVP,AKN,1042
ROC,RDU,70
KOA,FSM,127
BIS,LAX,13
WYS,LGB,5064
ITH,ROC,1233
EUG,IYK,38
CHO,PVD,128
CMX,LYH,411
SCC,ACY,241
MGM,CHA,1162
CDC,OGD,343
MAF,DLH,249
MLI,ABQ,181
ICT,MKE,663
HDN,AEX,2008
AMA,PIT,2511
ACV,SNA,3971
MCO,FSM,37
YUM,EVV,4245
CDV,IAD,83
ACT,CSG,808
ERI,YUM,181
PHL,VLD,225
ADK,TPA,550
PUB,PSP,3049
ITH,RAP,1458
LFT,SJC,2596
OMA,MKE,2573
ERI,MAF,338
MBS,GJT,324
PIA,MIA,136
TVC,TLH,482
MCN,SLE,218
SJT,EWR,216
CWA,PDX,2408
FAY,IYK,1
GEG,BNA,148
MIA,LRD,3414
OMA,SMX,172
TXK,AVL,218
WYS,MCO,26
COD,ITO,117
SGU,GRR,873
BTR,HSV,650
BLI,BPT,836
SAV,ONT,523
EVV,OAK,281
MSP,RSW,821
SGU,KTN,683
GRK,AUS,440
BFL,ADQ,1113
SAT,ELP,172
FCA,TWF,154
ONT,ACV,2587
SAT,BMI,812
ACV,TEX,500
DAL,FSM,620
CHA,TXK,39
XNA,BTR,298
BOS,LWS,4922
COS,LRD,2913
TXK,PHF,49
ORD,ITO,3841
EKO,FNT,393
CWA,EWN,1
BHM,FSD,254
STX,PDX,1327
BQN,GUC,7
FAR,YAK,109
DAY,GRK,1096
PSP,CSG,1938
SAV,GRK,62
CPR,AMA,370
CRP,BUR,2821
IAD,PFN,171
ACV,PDX,746
PHL,SHV,837
MRY,CEC,85
FCA,BGM,990
ELP,DAY,152
BTR,BHM,265
CPR,JNU,179
BLI,LYH,1129
MSN,YKM,5438
DAY,LAW,344
SMX,MDW,899
BRW,CDV,1855
MOD,MDW,69
CHA,MSP,896
DAY,PHX,25
AKN,MHT,103
SPS,CHS,1548
RHI,LBB,396
OMA,PHX,1172
EKO,TYR,382
GEG,MQT,880
ATL,GST,1254
JAC,LEX,2151
BIS,FWA,431
RST,ANC,332
GJT,STL,2455
INL,MKG,77
LAW,FNT,74
ABQ,LNK,108
RDD,OME,3514
KTN,RHI,3023
FAT,BPT,265
TYS,MLB,356
PNS,MOD,491
FAI,JAN,8
ACV,SLC,3148
CMX,RSW,732
JAN,GTF,211
BQN,KTN,325
MSN,BGR,248
CMI,CHA,22
YKM,PSG,78
CLL,CLE,46
IPL,SMF,807
RDD,BLI,51
JFK,FSD,1335
MEM,OME,275
AMA,HOU,1072
HPN,CLL,262
MCO,LMT,3061
ABE,OKC,1430
BPT,BNA,2655
SLC,MFR,5401
RNO,ABQ,7316
CLD,IAD,2149
FCA,ORF,1096
VPS,BUR,1
LAS,SMF,1300
MLI,SYR,39
XNA,BRO,790
OGG,IDA,447
CVG,BGR,1458
MKG,OXR,1493
BIL,LMT,215
SPS,RHI,1340
LYH,SAT,2251
MDT,SBA,457
RDM,MIA,13088
LMT,MRY,9238
GJT,PSE,57
SAT,SJU,190
OAK,HLN,1036
DRO,DHN,2164
FCA,EWN,1222
EYW,LGA,734
OXR,IND,869
RAP,CHA,1088
GST,PSP,1277
SPI,TUL,1045
MEI,STX,718
CDC,IND,1883
ALB,FNT,1004
BGR,LMT,1
DHN,PLN,349
ICT,RDD,63
SFO,MCN,826
ACV,TYR,3102
SAN,FCA,3428
LWS,STX,476
DLG,ACV,1138
HSV,LMT,469
CVG,MIA,787
INL,KOA,66
SUN,ABY,1906
TYR,ELM,174
LAN,ACV,640
MSP,BNA,637
OKC,MKG,4874
HHH,SBA,32
LMT,SYR,962
DLH,AVP,3342
SPI,AMA,432
ACV,BGM,3188
FLG,BTR,1148
MGM,AEX,23
PMD,DRO,219
ACK,SNA,781
PHX,PHF,828
ALO,ELP,141
GCC,CHO,4351
BTR,OMA,39
BIL,YKM,2461
LAW,PSP,394
YAK,CDC,205
SCC,TLH,106
GRK,LAX,3680
PIH,SWF,3213
INL,JAC,33
CRW,FLO,790
GNV,ERI,20
GCC,LAW,450
OKC,TUP,4960
CSG,ACY,472
HHH,CRP,1504
DLH,FSM,133
LRD,RSW,5665
MQT,HLN,4585
CRP,CYS,1
PNS,TOL,508
ACV,MHT,420
COS,RDD,2642
ACK,TOL,1454
CHS,DCA,4
BQK,BQN,158
RAP,TXK,857
STX,MSO,20
ACY,BIL,6017
PHL,MTJ,42
SAN,HTS,482
FCA,GTR,1012
COD,LFT,792
PDX,TOL,4968
BDL,GRR,3078
TPA,CLD,1435
SPS,GTR,157
ASE,CLD,3073
CLD,PHL,47
SRQ,GUC,223
ANC,GFK,529
FAY,PVD,334
MCI,IYK,2431
BZN,TXK,283
SFO,LAN,190
ABY,MSN,951
FSM,ATW,4112
PHL,CDV,980
COS,CLT,1775
JFK,RAP,380
LEX,RHI,851
RSW,ABE,407
ANC,BET,436
PSP,MHT,84
AUS,TUP,2522
PBI,ROA,3385
OGG,BWI,642
AEX,LEX,389
IND,CAE,709
EKO,GJT,400
BQK,ABY,1297
FAR,GRK,271
SEA,TLH,310
DLH,ITO,4283
CWA,HPN,4554
DAB,FWA,1139
DAL,CDV,716
BZN,TXK,191
TWF,BRO,194
ITO,BQN,1233
MYR,SBA,436
CLL,BNA,125
OAJ,ELM,173
CSG,ATL,1119
ORF,EVV,1098
FSD,LSE,537
STT,RDM,2908
ICT,EYW,95
EUG,ORF,625
FAI,TUP,1292
PWM,RSW,2378
LAN,TPA,530
BZN,ELP,4790
TOL,MCI,27
MSP,SPI,578
CID,JNU,1083
ISP,DAY,167
ADK,LWB,1633
HTS,MAF,3418
ALO,SCC,247
CPR,CMI,781
MFR,RIC,4124
LBB,DRO,1579
MLU,BZN,4825
FNT,ROW,769
MSP,CAK,1096
EWR,BMI,608
MSY,BRO,307
SNA,SLC,3446
SRQ,DAL,322
OTZ,PSC,35
ALO,VLD,115
SYR,SHV,1992
MSY,MYR,637
SUX,INL,154
DAB,LAW,388
OXR,PSG,4481
BET,JNU,90
ABY,DTW,1775
OTH,IAD,2078
ABY,DBQ,2397
TUL,SWF,33
FCA,SBP,264
BQN,SUX,4043
FSD,ORD,3547
PDX,DHN,1556
LEX,BQN,1326
CIC,LAN,34
MEM,GTF,5
EUG,SDF,46
DAY,LAN,2684
GTR,AMA,203
FLO,STL,211
AGS,JAC,191
ADK,IND,181
MCI,CHS,2775
LWB,CYS,1713
FLG,YKM,674
DLG,PIH,60
TOL,LIH,1531
OTH,AEX,344
ONT,MEI,507
CWA,SJU,1465
PHX,FLL,50
LCH,BOI,155
CRW,CLE,1006
SAV,SPI,19
CMX,GUC,448
SFO,BJI,2311
ONT,CDV,873
OTH,CDC,3325
IND,ACV,680
BTM,MLB,2394
JAN,PHL,219
HHH,GSP,2180
OKC,ISP,34
VLD,MOB,1557
LNK,MAF,215
GTR,MYR,510
MLU,MIA,111
MSY,MAF,349
OGG,LWS,2297
ITH,SJC,835
GTF,GSO,2024
HSV,EYW,40
CIC,FCA,1055
ELM,CPR,48
LYH,EGE,2284
CEC,LBB,1529
TWF,HHH,73
CLL,PIR,4093
FAR,FCA,118
SLE,MFR,157
AVL,JAN,271
IAH,ABE,583
PMD,ITO,556
TWF,SJT,21
ACV,FNT,520
BET,MYR,2176
CHS,MOB,447
PWM,BRW,231
CID,EGE,5594
AKN,DBQ,1505
SLC,RSW,171
OAK,GGG,6452
MCN,MIA,1483
PSE,MLI,362
GNV,PBI,1780
LAN,PMD,1854
BFL,GGG,973
WRG,FAI,450
JFK,PBI,3339
TYR,MAF,2431
MOT,SCC,3873
OTH,ITO,1939
PSC,CLD,1302
ASE,MKE,218
LCH,GGG,1011
GCC,SJC,199
RDM,FLG,598
SMF,CMI,3792
SJC,PSG,2823
SCE,SPS,333
OME,OTZ,137
CVG,FLG,1317
MEI,OTZ,537
IPL,GEG,6287
RDM,IND,170
ERI,RIC,525
MSO,FSM,728
BIS,DAB,222
RDU,ITH,1379
GEG,CRW,545
GTF,DCA,187
AUS,CAK,15
FSD,SGU,1081
BZN,AEX,1831
FAR,KTN,2528
CIC,RDU,409
LFT,LBB,6
INL,MYR,217
LRD,PDX,457
EGE,FSM,9656
COD,LAW,12
ITO,SMX,1669
LCH,LIT,241
TRI,STT,2697
SDF,OAJ,295
PIH,CEC,282
ORF,RST,983
FNT,TYS,4
LWS,ICT,9
BOI,FAY,3600
BTV,TOL,5525
GEG,GRR,2459
MFE,ELM,3
SUX,ROW,1091
MEI,BWI,1110
BNA,WYS,2219
AMA,LWS,2148
HLN,HRL,2414
ORF,HRL,869
DAY,EUG,662
SMF,FLL,1654
SDF,MGM,6398
GGG,SFO,757
MDW,MSP,2652
SIT,TUL,645
MFE,LBB,301
BRO,GFK,295
GEG,MGM,71
FNT,BUF,225
ONT,JFK,2048
EKO,KTN,373
MSY,MFE,119
DFW,ACK,1334
BLI,BHM,298
OME,MCN,1169
CAE,YKM,3381
ATW,GSP,581
OXR,PHL,785
LNK,EKO,27
OKC,IAH,138
CID,AEX,1051
PSP,PFN,1888
MQT,CSG,1848
MSP,BIS,5
SAN,BTV,296
VLD,BQK,4951
MSY,SUN,3333
RFD,PHX,417
CHA,TYS,157
BIS,HDN,11040
MOB,PLN,1028
IAH,RKS,869
CRP,MSY,796
YKM,ALB,674
VLD,GFK,4797
OME,TVC,3549
HNL,OGG,2189
PHF,LGB,50
BNA,LIH,3962
MEI,HTS,745
EKO,MDW,3093
ELP,SPS,255
MLI,JFK,43
ONT,MCN,1
EWR,ORF,703
DFW,PNS,56
EKO,HLN,170
CLT,ORF,812
EKO,OTH,24
HNL,GTF,745
CAK,ABY,2168
BOS,BHM,376
BTV,SPI,5282
BET,CRW,485
GRK,BTM,737
LGA,AGS,1443
CDC,FAY,13788
PHL,SUX,121
GRK,DBQ,7777
JNU,BGM,2243
BUR,MEI,242
MEI,SYR,5855
CLD,RIC,539
TWF,FNT,1588
BOS,DCA,352
HDN,FLG,2114
ICT,TUP,5410
HTS,BOS,2352
ICT,BQK,2229
TUS,BZN,203
ICT,TUL,1139
MSP,GTF,1730
BJI,FAY,2137
RFD,WRG,4801
BUF,MDW,354
BIL,MQT,2050
FWA,MYR,395
WRG,PIH,2408
MCI,RNO,2381
CRP,MBS,4395
DLG,XNA,2950
FAY,OAJ,1548
BJI,ABE,4094
AUS,MCN,93
OKC,OAJ,541
ACY,STL,503
BET,TOL,329
ERI,OKC,2121
JAN,LAX,443
TXK,SLE,1745
MLB,JAX,169
BIL,MAF,2504
GSP,DEN,91
GJT,SJU,1557
KOA,ALB,230
CLD,LSE,498
LRD,SMF,1329
SBP,HDN,285
ITO,BRW,3119
DRO,TUS,716
MOD,CDV,777
MOB,SBP,269
ADQ,SBP,2935
PBI,MQT,58
ACT,HPN,379
HLN,ACT,332
IND,CEC,417
SWF,HDN,5510
RAP,TVC,303
MOB,BMI,165
TVC,ROA,93
PDX,MDW,1776
FSD,IAD,880
CLT,PSC,1263
YUM,PIH,2188
KOA,ERI,353
GST,ALO,3977
LAW,RHI,761
YKM,MFE,1
BHM,LIT,363
EKO,SHV,641
COS,MSP,22
MCO,IPL,780
BRW,MQT,50
BET,HSV,1429
DLG,ANC,234
BFL,FLL,1027
CMH,AVP,1559
GRK,ILM,790
AGS,BNA,735
WRG,HTS,1951
TRI,YKM,47
SLC,MSN,753
ILM,MCI,28
DSM,PBI,2361
BMI,ORF,2101
HOU,DSM,118
GRR,PNS,4969
ABE,MDT,3886
ADQ,MSP,76
SCE,BGR,465
ACY,HHH,975
LAN,SRQ,1278
IDA,FAT,1965
HHH,CWA,72
MCO,PSE,1812
PHX,DRO,427
ATL,JFK,115
ACV,LMT,401
PMD,AUS,3289
HRL,AVP,932
BPT,FAT,95
ELM,FWA,86
MRY,IPL,1537
ABY,PSP,245
RST,SGF,1016
MDT,CIC,42
SBP,VPS,432
MCN,ATL,1092
SEA,ORD,109
PNS,PIR,308
SBA,SFO,326
BUR,LNK,2558
GRR,CLD,434
EGE,MEI,1175
SHV,FSD,403
EUG,CYS,468
HTS,DSM,4126
BTR,CPR,31
ABY,LSE,1408
SGF,MEM,2636
TUL,WRG,83
MEI,MKG,181
MTJ,DAB,5
LGB,PHX,4440
ABQ,MCN,1645
LIT,ABQ,441
CMX,BOS,2173
PDX,FCA,408
TOL,TUP,1085
ORD,KTN,2246
GCC,EKO,2447
FCA,MRY,35
OGG,PLN,69
FLO,BNA,550
TXK,FLO,456
PSG,RDU,1066
FAT,BRW,491
TUP,KTN,987
ILM,CWA,5
CLT,PMD,191
PSC,ISP,534
PSG,GUC,147
INL,CDC,1628
GGG,ONT,777
LEX,YUM,5109
PMD,RST,1304
PHX,ISP,13
STT,COS,1709
BET,MGM,2439
AZO,DHN,4771
CPR,OAJ,577
MSY,ASE,1531
DFW,JAN,1
ACK,RST,34
JAX,AZO,163
EKO,EVV,425
DBQ,ITH,1352
PSC,LCH,1168
BOI,ABE,49
LAS,GRB,3173
BHM,SCE,814
OME,ONT,6181
FSM,PSP,161
YKM,TXK,237
ONT,GTR,1093
OME,EGE,471
BQK,LAW,1394
ITO,ITH,426
TEX,SIT,668
BGM,PSC,4729
JAX,LWB,3621
BTM,LIH,996
RSW,CLE,4088
COS,FAT,3257
VLD,CSG,679
SYR,SLC,122
CDV,MHT,126
DAL,DRO,648
SAN,IAH,131
BZN,FLL,2933
CRW,CAE,1448
CMH,FWA,87
AZO,BTV,588
TPA,LAN,5944
ABQ,RDU,976
AMA,SJT,1470
LSE,SCC,906
BTR,HPN,368
ASE,CRW,636
LAW,OGG,1712
TRI,MEM,3053
WYS,LSE,2009
ELP,SJC,1820
PSE,AVP,360
RIC,ISP,26
STX,SUX,144
IDA,ACK,13183
RKS,COD,534
CHA,GRB,2086
IPL,LMT,62
RDM,RSW,1573
ALO,TOL,5212
IAH,ISP,1733
TLH,ACV,150
BTM,CID,48
CLT,KTN,246
PSP,PHF,2397
DRO,ABE,83
ATL,TOL,3917
IND,RDD,778
PSE,SNA,911
HPN,PSC,1097
RNO,LGA,722
ILM,IDA,2867
GRB,TEX,323
TRI,SFO,1814
OGG,GNV,8238
SGF,OMA,3193
ALB,DEN,240
SWF,BGM,659
PNS,TUP,1
RFD,BOS,1399
OAJ,PSP,332
SUN,HPN,281
SNA,LWB,5874
CID,PMD,3203
MDW,ATW,2418
HLN,SIT,1581
OGG,CIC,1089
ANC,MSP,677
MSP,AGS,2687
STL,KOA,238
MEM,SAV,25
EWN,YKM,44
XNA,BQK,76
LWS,LWB,2454
LNK,DCA,258
MOB,ALB,248
DEN,BMI,3036
LGA,GUC,59
HSV,ITH,1796
DTW,RHI,2401
GNV,LIT,1
HNL,ATW,599
BQK,SPS,35
SPI,SLE,520
DBQ,BOI,1424
OTZ,SHV,2113
BUF,WRG,726
TOL,CAK,527
PVD,ABY,760
SBN,SUN,1
SLC,TLH,4083
ABE,BRW,328
LYH,HHH,120
CHA,LAN,6
ORF,LGB,611
CHS,GFK,414
SDF,ABI,6431
ACK,RSW,2130
ABE,BOI,3164
LAW,ALO,2164
ACV,TRI,1460
BFL,GJT,4513
AGS,SUN,1
SPI,PSP,2471
MFR,SBP,587
CMH,HTS,281
HDN,GJT,53
GRK,ANC,1
COD,CDV,1649
JAX,MCO,1353
CHA,KOA,1452
RDM,LAW,1582
FAR,KTN,32
PIA,SMF,6
BOS,JNU,2347
RNO,LWS,3
MLB,SBN,222
AEX,ABY,1423
PIH,ATW,434
ALB,PHX,2692
BFL,BLI,260
DBQ,CID,843
PFN,HPN,231
SUN,CIC,149
DHN,BIL,196
IND,COD,1408
ADK,YKM,765
GSO,COS,859
GSO,ITH,3764
BDL,TUP,1901
BGM,FCA,569
AGS,CIC,229
SUX,CPR,67
TWF,EWN,1508
BLI,DSM,1789
PHL,LMT,1019
PWM,ROC,443
MRY,SAN,2089
PLN,CRP,489
HNL,TPA,1461
ITH,XNA,495
CHS,MSN,2446
LBB,BET,1108
PBI,CHA,1216
JFK,BUR,637
SUX,CYS,4384
TOL,ANC,1688
GJT,SBN,1711
ACY,MRY,286
ACT,SYR,747
ILM,CAE,21
BTV,MHT,28
SEA,HSV,564
MSO,CSG,378
BPT,PSC,155
STT,GJT,8
GJT,VLD,1875
JAC,PDX,1184
EKO,RFD,1441
ELP,AUS,284
DAY,CAK,670
YKM,MYR,15
ROW,PIH,191
CMX,MHT,2613
ORD,OME,36
ACK,EWR,773
CVG,MDW,1169
EUG,EWN,999
RST,CID,1069
SRQ,DAY,554
CHA,OMA,291
CHA,PIA,493
DRO,BGR,2687
LBB,CAK,63
SCE,MSN,4424
CWA,AVL,2
MKE,DRO,2563
MLU,GRK,1679
TXK,CLL,3428
JAX,RDU,7541
BGR,ACV,23
PIH,XNA,1072
AZO,MKG,444
DCA,HDN,3787
HHH,TUL,1
TXK,GST,54
LGA,KTN,849
SDF,GRR,2289
MCI,KTN,305
CAE,VLD,677
SUX,LEX,2382
FCA,KTN,2823
RIC,SPI,7847
GTR,FSM,876
MFR,BGR,1974
ISP,PWM,921
PHF,GTR,1785
BDL,HOU,556
TEX,MEI,2660
FNT,ERI,2000
LAX,DAY,2886
LNK,BTM,2515
IAH,FAR,701
PNS,FWA,149
BJI,TVC,718
AZO,ADQ,1656
BPT,JAN,201
DCA,MKG,51
MFR,ORD,1333
KOA,IAD,19
FAI,GST,311
LAN,MQT,297
PNS,MOT,287
BUR,WRG,3315
ORD,ROC,414
SMX,MBS,1422
MKE,DFW,474
IAD,OXR,2957
HTS,OGG,131
SAV,DRO,3226
AVP,EWR,562
HLN,MEI,27
LEX,BOS,534
MLI,LBB,852
CRP,PNS,1059
SAN,PSG,3864
SIT,SWF,5523
MIA,IAH,3607
KOA,ADQ,4691
DHN,SUN,162
CHA,AUS,1257
MFE,MCO,630
RDD,SJT,529
ABY,JAX,2662
BDL,MDT,980
SLE,MRY,6845
ADQ,CVG,181
GEG,IYK,1121
EGE,LFT,7
BOS,GSP,222
ABE,ISP,1887
OGG,LBB,186
BOS,RDM,2842
SRQ,MLB,597
MQT,MFE,77
BMI,LGB,2150
IND,STT,1790
GGG,MFR,3030
JAN,ADQ,163
SPS,EGE,1299
FWA,GST,284
BLI,BJI,1163
ONT,FLL,4154
BTM,PIR,623
CDV,LRD,1183
FAR,SAV,546
HLN,STT,561
MKE,OAK,1460
MEM,CDC,3406
AVL,LAS,694
SNA,BUR,2472
FCA,TXK,713
BTV,DLH,3360
SJC,BZN,1799
FWA,PIA,5215
PSC,SJU,1241
ELM,LCH,7282
HSV,RDD,693
SWF,SNA,7
HLN,TUL,1168
DAL,FAT,1023
KTN,FSD,523
MFE,ABI,781
TXK,TLH,1772
CHA,GST,3257
COS,PIT,284
GRK,ABY,289
TPA,BIS,708
ADK,LBB,2070
AUS,PFN,3534
SJT,PSG,1194
CIC,ROA,105
EWN,OXR,1175
PHX,ATL,278
SLE,HLN,205
DLG,DEN,1100
HRL,AKN,385
SAV,MHT,812
ABQ,MOB,2377
GTR,OAJ,2067
PSG,BZN,225
DTW,PIT,2732
ROA,MQT,2098
PNS,ABY,2
INL,SLC,630
ATW,FLG,65
CLE,LAS,34
MDT,SBN,3807
BLI,PDX,7012
HTS,RDM,3473
YUM,MOT,1919
RKS,INL,2546
SIT,MLI,850
SAN,VPS,2753
SAV,CLL,968
CLL,SCC,7291
CEC,FCA,152
LMT,PMD,13788
FWA,LAS,907
TUL,EWN,1947
SLC,SYR,2296
OAJ,FAY,1859
DSM,SJC,1188
EKO,FLL,1982
TWF,ITO,186
RKS,PDX,127
BLI,MHT,6493
TRI,JAN,147
OTH,MFR,604
ELP,EVV,3703
ORF,ILM,25
SPS,SCE,337
SYR,BQN,771
TPA,BIS,131
HRL,RFD,532
GGG,CYS,3787
AUS,MYR,1584
FSM,GRK,5582
INL,PSC,138
HLN,CVG,83
JNU,KTN,207
ISP,DLG,83
LCH,BTR,1972
MFE,EGE,3823
LBB,PNS,1582
PUB,TXK,2186
CDC,COD,511
FAY,TLH,2475
CLT,SYR,1048
MFE,MFR,559
CLT,GSP,116
SLE,DAL,1456
DBQ,PFN,3149
LMT,FWA,8
EWR,ONT,253
LAX,CRW,1486
LWS,MQT,86
JAN,FSD,716
FAT,TRI,3583
TEX,ADK,512
