Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Chinstrap,Biscoe,41.2,19.3,173,3320.0,MALE
Chinstrap,Biscoe,40.8,21.1,184,3806.0,MALE
Chinstrap,Biscoe,38.2,17.7,191,3476.0,FEMALE
Chinstrap,Torgersen,43.0,19.6,189,4133.0,MALE
Chinstrap,Dream,41.2,20.8,231,3740.0,MALE
Chinstrap,Dream,44.5,17.5,195,4226.0,FEMALE
Chinstrap,Dream,36.5,18.2,223,3815.0,FEMALE
Chinstrap,Biscoe,44.1,18.4,195,3503.0,MALE
Chinstrap,Dream,40.8,15.3,216,3765.0,FEMALE
Chinstrap,Biscoe,36.5,15.8,187,3652.0,FEMALE
Chinstrap,Torgersen,46.8,18.2,202,4663.0,MALE
Chinstrap,Dream,44.6,19.4,207,3691.0,MALE
Chinstrap,Dream,45.9,19.5,205,3745.0,MALE
Chinstrap,Biscoe,43.2,14.9,185,4016.0,MALE
Chinstrap,Dream,45.2,17.8,185,3360.0,MALE
Chinstrap,Dream,43.6,17.0,181,3777.0,MALE
Chinstrap,Dream,42.5,18.6,217,3500.0,MALE
Chinstrap,Dream,49.0,16.3,206,3396.0,FEMALE
Chinstrap,Biscoe,41.3,16.3,207,2896.0,FEMALE
Chinstrap,Dream,44.4,16.2,202,3156.0,MALE
Chinstrap,Dream,44.8,16.5,182,3356.0,MALE
Chinstrap,Torgersen,38.4,13.7,179,3985.0,MALE
Chinstrap,Biscoe,41.9,14.2,200,3979.0,MALE
Chinstrap,Dream,42.2,17.2,231,3689.0,MALE
Chinstrap,Dream,45.6,16.7,193,3721.0,MALE
Chinstrap,Dream,36.5,16.4,225,3433.0,FEMALE
Chinstrap,Biscoe,36.3,18.8,206,3385.0,MALE
Chinstrap,Biscoe,43.0,16.1,202,3687.0,FEMALE
Chinstrap,Biscoe,32.1,15.9,219,3845.0,MALE
Chinstrap,Dream,47.3,14.1,197,3090.0,MALE
Chinstrap,Torgersen,49.1,14.4,190,3767.0,FEMALE
Chinstrap,Biscoe,49.7,16.9,179,3845.0,FEMALE
Chinstrap,Biscoe,39.3,18.8,221,3921.0,FEMALE
Chinstrap,Biscoe,45.1,19.2,206,3442.0,MALE
Chinstrap,Biscoe,41.2,16.6,218,3765.0,FEMALE
Chinstrap,Dream,51.1,16.2,199,3453.0,FEMALE
Chinstrap,Dream,36.4,18.5,181,3268.0,FEMALE
Chinstrap,Biscoe,39.3,17.5,214,3690.0,FEMALE
Chinstrap,Biscoe,52.6,17.0,201,3749.0,MALE
Chinstrap,Dream,38.9,18.2,185,3851.0,MALE
Chinstrap,Biscoe,44.7,16.9,202,3558.0,MALE
Chinstrap,Biscoe,45.6,16.4,190,3567.0,FEMALE
Chinstrap,Dream,38.5,18.5,186,3392.0,FEMALE
Chinstrap,Torgersen,47.3,14.6,228,3238.0,MALE
Chinstrap,Biscoe,50.7,17.2,191,3836.0,FEMALE
Chinstrap,Biscoe,39.9,14.0,220,3491.0,
Chinstrap,Dream,48.6,19.3,203,3430.0,FEMALE
Chinstrap,Dream,43.9,15.0,180,3279.0,FEMALE
Chinstrap,Dream,45.9,16.6,202,3350.0,MALE
Chinstrap,Biscoe,35.5,19.1,200,3523.0,MALE
Chinstrap,Biscoe,46.9,14.9,183,3909.0,FEMALE
Chinstrap,Biscoe,53.6,20.3,183,4233.0,MALE
Chinstrap,Biscoe,39.7,19.5,217,3641.0,FEMALE
Chinstrap,Biscoe,43.9,14.4,191,3654.0,FEMALE
Chinstrap,Dream,43.4,15.2,185,3533.0,MALE
Chinstrap,Biscoe,40.6,15.5,197,3676.0,FEMALE
Chinstrap,Biscoe,48.9,17.0,188,4358.0,FEMALE
Chinstrap,Dream,42.5,16.0,188,3716.0,MALE
Chinstrap,Biscoe,43.4,16.0,201,3352.0,FEMALE
Chinstrap,Dream,41.9,16.9,212,3916.0,FEMALE
Chinstrap,Dream,50.5,16.7,189,3615.0,MALE
Chinstrap,Dream,50.0,18.9,214,3715.0,FEMALE
Chinstrap,Biscoe,39.5,19.7,195,3388.0,FEMALE
Chinstrap,Torgersen,51.2,20.2,195,3286.0,FEMALE
Chinstrap,Biscoe,47.8,17.2,197,4313.0,FEMALE
Chinstrap,Dream,45.1,17.7,202,3064.0,MALE
Chinstrap,Dream,47.5,16.0,193,3681.0,MALE
Chinstrap,Biscoe,51.0,18.4,206,3625.0,MALE
Chinstrap,Dream,45.2,15.4,219,3352.0,FEMALE
Gentoo,Torgersen,42.5,17.8,186,5175.0,FEMALE
Gentoo,Biscoe,47.3,17.0,231,5117.0,FEMALE
Gentoo,Biscoe,39.5,18.3,213,5261.0,FEMALE
Gentoo,Dream,41.5,15.5,192,5185.0,MALE
Gentoo,Biscoe,38.6,14.2,205,5898.0,FEMALE
Gentoo,Biscoe,48.8,14.3,192,4517.0,FEMALE
Gentoo,Dream,39.9,14.6,208,4520.0,MALE
Gentoo,Biscoe,47.7,16.6,216,5515.0,FEMALE
Gentoo,Dream,42.3,18.8,183,5970.0,MALE
Gentoo,Dream,47.3,15.8,218,5078.0,FEMALE
Gentoo,Dream,41.6,16.9,208,6043.0,MALE
Gentoo,Biscoe,42.7,17.5,191,5261.0,FEMALE
Gentoo,Biscoe,45.0,19.7,188,5240.0,FEMALE
Gentoo,Dream,49.0,14.3,192,3878.0,MALE
Gentoo,Biscoe,35.0,16.8,174,4933.0,MALE
Gentoo,Biscoe,33.1,18.4,202,4433.0,MALE
Gentoo,Dream,42.8,16.5,172,6146.0,FEMALE
Gentoo,Torgersen,42.0,16.7,191,5168.0,MALE
Gentoo,Biscoe,38.9,16.6,200,5042.0,MALE
Gentoo,Biscoe,48.5,20.2,204,5708.0,MALE
Gentoo,Biscoe,42.8,14.5,186,4917.0,FEMALE
Gentoo,Biscoe,44.1,17.8,199,5817.0,MALE
Gentoo,Torgersen,46.5,16.5,196,5297.0,
Gentoo,Dream,52.7,16.6,206,5229.0,MALE
Gentoo,Biscoe,39.0,16.1,199,5798.0,
Gentoo,Dream,35.8,17.8,208,5293.0,FEMALE
Gentoo,Biscoe,42.5,16.3,200,4567.0,FEMALE
Gentoo,Dream,35.7,17.4,221,5577.0,MALE
Gentoo,Dream,48.7,14.5,186,4713.0,MALE
Gentoo,Biscoe,50.3,18.2,217,5247.0,MALE
Gentoo,Torgersen,42.3,18.5,228,4720.0,MALE
Gentoo,Biscoe,46.5,16.4,221,5740.0,MALE
Gentoo,Biscoe,53.2,15.0,206,4935.0,FEMALE
Gentoo,Biscoe,53.3,15.2,179,4748.0,MALE
Gentoo,Dream,45.0,15.6,185,4682.0,FEMALE
Gentoo,Biscoe,42.1,15.4,231,4865.0,MALE
Gentoo,Torgersen,48.7,18.4,185,5225.0,FEMALE
Gentoo,Dream,48.5,17.2,202,5061.0,FEMALE
Gentoo,Biscoe,38.4,17.1,185,4942.0,MALE
Gentoo,Torgersen,35.4,13.5,197,5079.0,FEMALE
Gentoo,Dream,39.8,14.9,204,6102.0,MALE
Gentoo,Biscoe,39.8,17.3,203,5176.0,
Gentoo,Biscoe,50.8,20.5,200,4830.0,FEMALE
Gentoo,Biscoe,44.8,20.8,178,4669.0,MALE
Gentoo,Biscoe,43.6,17.2,207,4737.0,FEMALE
Gentoo,Biscoe,47.1,15.8,172,5436.0,MALE
Gentoo,Biscoe,43.2,17.7,177,4996.0,MALE
Gentoo,Biscoe,49.7,14.9,197,5121.0,MALE
Gentoo,Biscoe,47.9,18.3,188,5030.0,FEMALE
Gentoo,Biscoe,48.0,17.8,200,5242.0,MALE
Gentoo,Biscoe,44.2,16.9,223,5001.0,MALE
Gentoo,Biscoe,39.9,17.4,195,6300.0,MALE
Gentoo,Biscoe,43.5,16.9,231,5683.0,MALE
Gentoo,Dream,52.2,15.2,217,4633.0,FEMALE
Gentoo,Dream,51.9,16.9,192,4538.0,MALE
Gentoo,Dream,42.9,15.3,186,5362.0,FEMALE
Gentoo,Biscoe,42.3,18.2,203,5570.0,
Gentoo,Dream,38.1,17.6,204,4644.0,MALE
Gentoo,Dream,44.0,13.9,203,3906.0,FEMALE
Gentoo,Biscoe,47.1,19.0,177,5755.0,MALE
Gentoo,Torgersen,43.7,19.7,195,4618.0,MALE
Gentoo,Dream,57.8,14.4,190,4949.0,FEMALE
Gentoo,Biscoe,44.9,21.5,172,5703.0,MALE
Gentoo,Dream,43.7,15.5,231,4922.0,FEMALE
Gentoo,Biscoe,41.8,20.5,203,5207.0,MALE
Gentoo,Biscoe,40.1,17.8,217,4801.0,MALE
Gentoo,Biscoe,48.6,15.9,193,4589.0,MALE
Gentoo,Torgersen,47.6,16.1,182,3937.0,MALE
Gentoo,Dream,45.2,17.8,231,5449.0,FEMALE
Gentoo,Dream,42.0,14.2,172,4604.0,MALE
Gentoo,Torgersen,49.8,16.8,209,4592.0,FEMALE
Gentoo,Dream,34.8,17.7,191,6001.0,MALE
Gentoo,Biscoe,40.2,14.5,209,4421.0,FEMALE
Gentoo,Torgersen,51.7,18.4,185,4795.0,MALE
Gentoo,Biscoe,45.2,16.0,182,4738.0,MALE
Gentoo,Biscoe,44.9,18.4,201,4898.0,FEMALE
Gentoo,Dream,48.4,18.0,196,5640.0,MALE
Gentoo,Dream,49.5,13.6,231,4271.0,MALE
Gentoo,Dream,43.1,14.4,211,4276.0,MALE
Gentoo,Torgersen,43.7,13.1,184,4340.0,MALE
Gentoo,Dream,48.5,16.9,205,5761.0,MALE
Gentoo,Dream,40.3,17.2,219,4820.0,MALE
Gentoo,Dream,38.5,19.1,204,5558.0,FEMALE
Gentoo,Torgersen,43.2,17.2,210,5291.0,FEMALE
Gentoo,Torgersen,42.4,14.4,214,6073.0,MALE
Gentoo,Dream,44.3,16.5,200,4779.0,FEMALE
Gentoo,Biscoe,44.8,17.9,186,5366.0,MALE
Gentoo,Torgersen,39.3,15.4,204,5405.0,FEMALE
Gentoo,Biscoe,54.6,18.1,198,4715.0,FEMALE
Gentoo,Torgersen,50.3,17.4,183,3846.0,MALE
Gentoo,Torgersen,41.0,18.8,195,5732.0,MALE
Gentoo,Torgersen,48.9,16.3,197,5454.0,MALE
Gentoo,Biscoe,44.6,17.1,180,5544.0,FEMALE
Gentoo,Biscoe,45.5,16.2,185,5863.0,MALE
Gentoo,Torgersen,39.2,21.0,205,5573.0,MALE
Gentoo,Biscoe,36.3,14.7,179,5863.0,FEMALE
Gentoo,Torgersen,47.8,18.6,209,5114.0,FEMALE
Gentoo,Biscoe,42.9,19.3,180,5316.0,FEMALE
Gentoo,Biscoe,40.3,15.1,197,4607.0,MALE
Gentoo,Dream,47.4,17.8,178,4817.0,MALE
Gentoo,Biscoe,54.3,16.1,213,5066.0,FEMALE
Gentoo,Torgersen,38.8,13.2,202,4794.0,MALE
Gentoo,Biscoe,41.9,16.4,185,5274.0,MALE
Gentoo,Dream,39.4,16.2,184,4467.0,MALE
Gentoo,Dream,42.2,17.3,197,4878.0,FEMALE
Gentoo,Biscoe,51.3,18.9,205,4560.0,MALE
Gentoo,Dream,50.9,16.3,205,5516.0,FEMALE
Gentoo,Dream,44.7,18.7,217,5235.0,FEMALE
Gentoo,Biscoe,46.6,16.1,192,4703.0,FEMALE
Gentoo,Biscoe,47.5,13.1,202,4461.0,MALE
Gentoo,Biscoe,40.2,14.9,231,5007.0,MALE
Gentoo,Biscoe,38.6,16.6,219,5299.0,MALE
Gentoo,Torgersen,53.2,15.9,191,4967.0,MALE
Gentoo,Dream,48.9,16.4,179,5742.0,MALE
Gentoo,Dream,41.7,14.3,193,5294.0,MALE
Gentoo,Biscoe,40.6,17.9,179,5203.0,MALE
Gentoo,Dream,47.6,16.7,218,4886.0,MALE
Gentoo,Dream,35.6,20.0,198,3989.0,FEMALE
Gentoo,Biscoe,39.8,14.9,195,5116.0,FEMALE
Gentoo,Dream,39.1,16.3,231,5458.0,FEMALE
Gentoo,Dream,35.7,18.3,197,4335.0,MALE
Gentoo,Torgersen,38.4,20.2,180,4897.0,MALE
Gentoo,Biscoe,47.5,19.2,207,5139.0,MALE
Gentoo,Dream,44.3,16.0,191,4972.0,MALE
Gentoo,Dream,38.6,21.5,190,5049.0,FEMALE
