year,month,date_of_month,day_of_week,births
1995,12,24,2,14540
1995,9,30,7,11420
1995,4,24,6,10786
1995,10,1,7,11710
1995,2,15,7,14540
1995,3,9,6,12005
1995,10,3,7,12954
1995,1,16,1,10732
1995,8,3,7,11158
1995,5,22,6,11352
1995,8,24,6,10443
1995,4,11,6,10005
1995,9,26,1,9949
1995,4,4,2,12635
1995,3,16,2,10189
1995,8,28,2,6443
1995,11,3,5,6443
1995,10,13,7,11988
1995,8,26,2,9687
1995,5,27,6,14540
1995,5,22,3,8168
1995,2,14,2,10434
1995,7,26,1,12794
1995,7,28,7,12063
1995,4,7,4,11477
1995,3,21,6,12203
1995,11,16,1,9703
1995,8,7,4,11670
1995,8,7,6,13509
1995,10,19,5,8991
1995,8,12,4,9520
1995,6,2,6,7173
1995,5,25,2,10897
1995,9,16,1,10506
1995,12,23,2,10041
1995,7,11,6,12578
1995,8,5,6,10665
1995,10,23,6,9827
1995,7,8,4,12816
1995,4,7,6,11147
1995,11,10,2,12826
1995,11,20,2,9112
1995,7,18,6,12155
1995,12,4,6,10227
1995,8,14,5,12694
1995,3,15,4,10568
1995,10,5,6,11574
1995,11,26,2,10172
1995,6,2,7,7305
1995,8,6,3,11798
1995,12,18,5,9369
1995,7,16,6,10198
1995,3,26,1,11469
1995,8,17,6,6791
1995,3,22,1,14540
1995,8,21,3,11117
1995,5,10,6,12813
1995,5,26,2,10428
1995,12,21,7,10698
1995,4,30,3,12121
1995,8,16,3,6753
1995,6,3,2,7681
1995,5,27,6,10487
1995,7,15,5,7748
1995,5,29,2,8824
1995,7,14,5,12867
1995,4,22,7,10016
1995,9,10,7,10445
1995,11,28,5,8472
1995,11,18,7,10784
1995,3,15,5,8529
1995,6,23,1,8276
1995,10,17,7,10130
1995,11,23,2,10661
1995,3,27,5,13404
1995,10,7,1,9501
1995,5,11,2,12736
1995,8,14,3,10507
1995,2,29,1,7108
1995,11,14,3,9805
1995,12,6,3,12688
1995,7,14,7,12187
1995,5,28,2,8281
1995,1,4,7,11823
1995,11,27,5,12041
1995,8,11,1,14309
1995,2,18,1,10985
1995,6,7,2,10211
1995,2,21,4,10607
1995,11,19,7,13072
1995,8,21,7,8209
1995,10,18,1,10224
1995,5,16,2,13194
1995,3,17,6,9987
1995,3,3,2,13194
1995,9,4,2,8579
1995,2,19,3,10726
1995,12,8,3,10883
1995,1,17,1,11897
1995,11,3,5,11085
1995,7,1,4,12536
1995,10,26,3,12588
1995,4,19,3,11710
1995,10,17,1,11663
1995,12,10,5,9772
1995,3,27,7,10783
1995,9,16,4,12753
1995,10,3,6,9823
1995,12,30,3,12278
1995,10,28,2,11174
1995,3,3,3,11532
1995,7,4,3,9315
1995,10,15,7,10894
1995,9,8,4,11408
1995,12,16,1,8604
1995,5,9,6,10257
1995,1,19,4,8903
1995,7,16,4,10556
1995,4,18,4,10358
1995,10,11,4,11269
1995,7,23,1,12427
1995,1,12,4,14405
1995,10,4,1,11414
1995,12,22,5,9701
1995,1,19,7,11302
1995,8,15,1,9944
1995,8,20,4,11070
1995,8,9,6,8957
1995,11,2,5,6861
1995,8,1,3,13400
1995,5,2,6,9712
1995,11,8,6,10125
1995,2,25,4,10145
1995,6,19,7,6522
1995,2,20,5,11361
1995,11,22,1,13139
1995,12,30,1,14036
1995,11,30,3,10253
1995,8,13,6,11419
1995,5,1,4,9900
1995,12,18,5,7521
1995,8,6,3,10865
1995,2,4,4,13101
1995,6,25,5,11856
1995,10,16,7,10899
1995,9,22,1,8782
1995,6,29,3,8388
1995,5,5,3,14540
1995,11,3,2,11344
1995,6,5,7,11275
1995,3,26,3,10942
1995,10,14,7,12034
1995,6,5,1,10872
1995,7,10,5,10674
1995,4,17,4,11740
1995,6,10,5,12552
1995,5,19,6,9303
1995,11,11,7,10654
1995,1,7,2,9294
1995,2,11,6,11662
1995,5,30,7,11115
1995,5,7,2,12903
1995,12,24,4,9195
1995,4,8,1,8981
1995,12,27,1,9126
1995,4,29,1,11255
1995,6,8,4,13332
1995,9,25,5,13802
1995,12,14,3,10960
1995,4,10,2,13637
1995,9,14,5,11019
1995,7,3,4,13219
1995,1,24,6,12199
1995,6,13,4,7915
1995,9,12,6,12229
1995,6,14,3,10760
1995,11,4,3,8917
1995,9,6,6,9642
1995,8,11,6,14540
1995,2,10,4,9031
1995,2,9,4,10551
1995,9,27,7,13227
1995,2,12,5,10143
1995,1,5,3,10008
1995,12,28,7,8283
1995,5,22,1,9974
1995,8,9,3,11748
1995,5,2,3,8773
1995,4,8,2,11943
1995,2,17,1,11787
1995,2,20,4,13880
1995,2,19,2,11979
1995,8,21,6,10907
1995,11,19,3,13431
1995,9,1,5,9130
1995,12,23,4,8659
1995,1,22,7,12189
1995,4,9,7,8962
1995,5,19,3,7798
1995,1,31,7,13063
1995,9,29,5,9196
1995,2,17,6,12855
1995,2,7,1,8846
1995,10,26,5,11370
1995,5,14,1,14540
1995,8,15,7,12337
1995,9,4,2,10380
1995,10,7,5,11847
1995,2,23,4,9408
1995,3,14,1,12317
1995,12,10,7,7491
1995,6,14,2,12004
1995,5,4,7,13154
1995,10,11,2,10551
1995,10,20,1,9294
1995,2,17,4,8542
1995,3,12,5,14540
1995,7,3,1,10056
1995,10,3,3,13806
1995,10,9,7,10437
1995,8,18,3,8221
1995,10,25,5,11221
1995,4,1,3,9589
1995,12,6,2,14475
1995,4,8,4,8546
1995,7,19,7,11593
1995,7,30,4,10467
1995,1,18,1,12171
1995,11,13,6,11183
1995,6,13,5,9988
1995,4,10,1,11774
1995,7,30,4,8801
1995,6,27,1,14362
1995,5,16,7,7045
1995,9,25,1,13296
1995,8,31,3,12631
1995,3,11,6,9188
1995,8,11,7,12733
1995,8,18,7,11265
1995,8,20,1,13053
1995,4,24,5,7516
1995,3,30,2,7781
1995,8,9,5,9260
1995,4,17,4,11596
1995,2,28,2,9351
1995,6,18,1,10346
1995,7,24,3,14287
1995,3,2,2,13970
1995,8,22,3,12621
1995,1,3,4,10603
1995,6,24,7,11071
1995,8,7,7,11927
1995,9,25,5,9647
1995,1,14,4,11032
1995,11,26,3,10873
1995,2,7,1,9336
1995,7,24,2,7508
1995,10,27,3,7319
1995,9,15,6,12385
1995,9,15,4,8070
1995,9,25,6,10714
1995,2,10,3,9763
1995,2,6,2,12125
1995,11,18,6,9981
1995,11,19,3,12506
1995,5,17,5,9931
1995,5,10,4,12284
1995,12,7,4,13781
1995,9,10,5,10818
1995,11,15,5,9137
1995,11,2,2,8955
1995,7,11,1,12033
1995,4,6,1,9122
1995,6,29,5,10254
1996,9,30,7,10950
1996,6,11,3,11808
1996,3,24,3,12876
1996,8,16,5,14362
1996,8,12,4,7146
1996,8,11,6,8145
1996,12,22,6,10629
1996,1,26,3,11389
1996,2,3,7,12066
1996,6,11,5,10567
1996,9,19,3,9187
1996,12,1,3,12687
1996,6,7,2,8879
1996,1,14,6,12212
1996,2,21,3,11740
1996,1,3,2,7025
1996,1,8,5,10763
1996,12,9,6,7247
1996,6,31,5,12357
1996,9,30,5,11697
1996,4,21,1,14095
1996,8,9,2,11011
1996,1,14,2,12528
1996,12,16,5,13237
1996,10,21,5,11812
1996,7,19,6,11912
1996,6,30,6,10601
1996,5,6,7,7605
1996,3,16,4,12683
1996,10,18,2,11811
1996,6,24,1,14443
1996,12,23,1,10690
1996,1,15,4,9836
1996,4,8,5,9984
1996,5,6,7,13025
1996,10,2,3,9993
1996,10,4,3,12344
1996,2,24,5,10540
1996,5,11,6,12340
1996,3,12,7,11660
1996,1,29,3,14540
1996,1,15,1,8763
1996,3,25,2,9231
1996,10,19,1,9328
1996,3,20,6,11981
1996,5,1,2,12368
1996,2,8,2,12302
1996,9,26,4,11714
1996,5,15,2,12323
1996,5,19,5,14540
1996,6,3,4,14482
1996,6,30,7,10675
1996,3,27,5,11139
1996,11,3,7,11441
1996,1,24,6,10088
1996,1,18,6,11407
1996,11,20,4,11486
1996,11,5,4,10512
1996,5,22,2,10929
1996,9,5,6,9790
1996,4,28,1,9979
1996,6,12,6,12183
1996,8,31,5,10879
1996,5,27,1,9904
1996,10,5,1,13551
1996,3,23,1,11772
1996,9,18,2,7424
1996,2,17,2,10103
1996,12,16,2,9571
1996,11,2,1,10199
1996,3,15,4,12791
1996,10,17,4,13381
1996,1,25,2,9410
1996,7,3,3,11543
1996,11,10,6,9276
1996,8,12,5,8703
1996,3,12,2,12454
1996,2,14,3,9158
1996,4,16,5,7659
1996,3,4,6,9109
1996,3,28,3,9460
1996,5,7,4,10448
1996,2,27,6,8754
1996,7,18,2,7363
1996,10,19,1,10713
1996,2,20,1,12067
1996,12,14,7,13644
1996,3,19,6,8759
1996,3,3,6,10840
1996,8,5,5,10975
1996,12,27,6,11882
1996,12,23,1,11512
1996,12,12,1,6922
1996,7,8,5,8089
1996,10,6,1,10648
1996,12,30,5,13901
1996,8,3,7,11247
1996,9,28,3,11491
1996,10,25,3,12211
1996,2,17,2,12117
1996,5,4,7,11948
1996,8,4,6,8333
1996,2,26,1,11075
1996,9,25,7,11441
1996,11,16,4,12937
1996,4,24,4,10325
1996,9,5,7,10249
1996,10,8,2,7883
1996,11,18,7,8486
1996,5,7,1,9935
1996,6,28,1,10371
1996,11,23,3,10767
1996,5,19,1,11272
1996,4,6,4,12760
1996,7,22,5,13064
1996,5,14,5,13896
1996,6,16,7,13318
1996,9,23,2,13516
1996,9,7,3,12988
1996,5,23,1,10608
1996,10,30,5,9637
1996,7,21,4,9373
1996,12,25,4,14540
1996,2,7,2,9964
1996,9,17,7,7587
1996,7,5,6,9802
1996,10,17,1,9308
1996,7,4,3,10073
1996,3,13,5,9891
1996,12,13,4,9474
1996,4,14,3,9763
1996,4,8,1,11173
1996,3,18,7,9967
1996,9,20,5,14405
1996,9,25,6,8561
1996,10,24,4,14540
1996,10,6,3,11385
1996,1,14,4,10324
1996,8,18,2,14312
1996,12,4,2,11941
1996,2,22,5,11032
1996,12,23,4,8428
1996,9,18,6,14540
1996,9,11,4,10530
1996,3,29,1,8459
1996,2,27,1,12151
1996,6,21,7,10552
1996,4,26,3,12998
1996,7,13,4,8205
1996,1,1,1,12153
1996,11,23,1,9664
1996,12,20,7,11401
1996,10,25,2,10422
1996,8,26,7,13079
1996,12,22,1,8281
1996,12,14,6,14540
1996,8,16,4,11516
1996,1,5,3,10454
1996,1,27,4,10530
1996,6,16,5,12290
1996,3,28,2,12509
1996,7,2,1,8329
1996,5,13,6,9695
1996,10,11,3,8225
1996,10,12,5,9407
1996,4,15,3,14540
1996,4,14,3,13607
1996,4,9,3,10170
1996,2,17,7,12164
1996,2,18,6,9018
1996,2,13,2,13488
1996,1,19,1,12019
1996,4,2,2,10400
1996,1,11,4,12080
1996,1,8,1,11799
1996,4,14,2,12478
1996,6,25,6,10766
1996,6,17,5,11173
1996,5,12,1,11307
1996,3,19,7,12647
1996,6,7,1,7486
1996,2,19,1,8008
1996,11,26,3,11974
1996,3,15,5,8909
1996,6,5,1,8810
1996,4,16,7,7490
1996,2,10,5,10831
1996,12,15,1,13276
1996,8,8,6,11493
1996,5,28,1,12981
1996,3,3,6,8440
1996,8,4,4,13217
1996,4,19,7,14028
1996,11,28,6,12560
1996,7,30,5,12412
1996,5,22,3,13603
1996,9,18,3,6443
1996,8,17,6,12999
1996,3,17,3,8391
1996,7,29,2,12579
1996,1,30,4,8580
1996,9,21,4,11704
1996,1,3,2,12434
1996,3,4,6,10533
1996,4,8,5,10686
1996,4,30,7,6671
1996,10,15,3,11996
1996,5,15,5,12934
1996,7,24,5,9045
1996,11,5,7,9665
1996,2,1,6,11314
1996,10,15,5,10237
1996,5,24,5,13872
1996,6,22,5,10344
1996,6,25,7,10006
1996,1,13,2,12992
1996,11,27,6,12018
1996,8,18,1,9010
1996,3,6,2,11543
1996,2,26,1,8389
1996,10,31,1,10384
1996,8,16,4,8731
1996,12,25,2,10375
1996,4,26,1,8569
1996,6,5,2,10767
1996,1,20,4,13770
1996,12,29,4,13351
1996,11,20,3,11364
1996,11,17,6,9601
1996,5,26,6,10857
1996,10,21,5,11016
1996,8,5,1,8757
1996,10,17,5,12483
1996,1,13,1,11300
1996,4,12,6,12207
1996,7,25,5,12426
1996,4,1,5,8647
1996,11,6,3,14540
1996,2,3,3,13197
1996,2,17,6,11799
1996,12,19,1,12442
1996,12,3,5,10663
1996,4,10,7,13107
1996,10,24,5,10384
1996,8,26,4,12226
1996,1,3,2,10519
1996,3,20,4,9295
1996,11,28,6,8979
1996,10,17,7,13315
1996,2,23,3,12249
1996,12,17,7,9969
1996,3,11,5,11244
1996,1,8,2,8741
1996,8,6,2,13257
1996,11,6,6,11459
1996,1,1,4,12565
1996,4,6,2,7784
1996,3,24,7,9440
1996,9,6,7,9386
1996,1,5,2,11335
1996,3,4,5,14540
1996,2,7,1,9869
1996,1,18,7,11358
1996,2,7,5,10803
1996,2,10,5,11942
1996,3,1,2,11691
1996,12,9,4,9543
1996,12,20,2,11256
1996,8,11,7,13051
1996,3,23,5,9955
1996,8,5,7,9159
1996,9,12,6,12596
1996,10,3,7,10078
1996,7,17,7,11070
1996,9,19,5,11033
1996,12,28,6,10758
1996,10,15,2,12990
1996,6,9,7,11210
1996,2,22,7,10303
1996,4,14,4,10910
1996,12,16,6,13321
1996,10,30,2,10408
1996,11,21,5,11319
1996,3,18,4,10509
1996,4,27,4,6534
1996,7,22,1,13180
1996,6,9,2,8958
1996,5,3,7,13208
1996,2,3,1,12705
1996,4,26,2,10258
1996,5,3,4,12768
1996,9,23,4,12752
1996,7,6,6,10162
1996,1,7,5,10270
1996,2,2,5,10797
1996,2,6,6,10126
1996,9,6,6,11789
1996,2,20,4,11423
1996,3,5,7,9976
1996,8,18,7,10945
1996,8,15,4,11641
1996,9,10,4,11144
1996,4,28,4,11795
1996,6,20,7,13076
1996,10,28,7,14540
1996,11,7,4,11729
1996,11,9,6,9467
1996,3,18,5,7211
1996,12,30,7,12362
1996,3,11,2,8000
1996,10,20,6,12965
1996,11,28,3,13950
1996,11,18,2,12058
1996,3,15,3,11580
1996,5,6,1,12970
1996,6,27,3,11911
1996,6,28,6,11888
1996,4,22,6,9156
1996,3,11,6,7777
1996,10,15,2,12186
1996,6,14,3,11163
1996,1,5,5,11510
1996,5,20,6,9381
1996,6,7,3,8033
1996,5,22,7,11453
1996,10,12,7,8530
1996,10,6,2,9999
1996,7,13,4,13260
1996,10,2,2,7785
1996,7,7,7,13328
1996,6,22,2,11443
1996,2,2,7,12419
1996,7,14,4,13485
1996,7,2,6,9182
1996,11,12,1,11340
1996,7,2,6,13791
1996,11,20,1,10406
1996,6,6,3,14113
1996,8,9,2,8080
1996,6,22,5,10354
1996,6,28,4,13629
1996,3,23,5,12499
1996,6,31,4,11967
1996,1,20,5,8315
1996,7,22,1,10394
1996,8,19,5,7897
1996,5,4,1,9954
1996,4,19,5,12291
1996,5,19,1,13421
1996,3,22,2,8776
1996,3,21,2,10697
1996,10,22,2,11495
1996,8,13,5,9181
1996,3,22,1,12631
1996,12,25,7,10416
1996,4,5,7,7820
1996,4,18,7,7563
1996,5,15,3,9555
1996,10,12,7,8556
1996,1,23,6,9711
1996,6,24,7,10700
1997,8,3,5,8974
1997,1,18,3,9970
1997,2,26,6,9271
1997,9,18,4,12571
1997,2,12,4,10236
1997,11,3,4,13125
1997,1,23,2,11974
1997,9,13,3,10120
1997,1,8,1,10144
1997,5,28,1,10639
1997,2,27,2,13418
1997,7,13,4,9860
1997,7,27,3,11130
1997,6,15,4,9285
1997,2,3,3,11372
1997,9,8,4,10524
1997,7,16,2,11691
1997,3,2,4,13449
1997,2,31,4,10772
1997,1,23,7,13427
1997,7,19,4,11098
1997,3,22,3,9289
