series,year,month,count,rate,date
Mining and Extraction,2009,10,14.0,3.9,2022-07-27T20:21:04
Mining and Extraction,2006,9,20.0,5.0,2020-02-14T03:50:22
Mining and Extraction,2007,5,48.0,3.8,2021-09-11T21:30:22
Mining and Extraction,2002,12,30.0,4.1,2021-10-22T23:36:15
Mining and Extraction,2009,7,25.0,6.8,2020-08-24T19:32:50
Mining and Extraction,2005,8,15.0,7.6,2024-03-10T03:27:41
Mining and Extraction,2005,2,65.0,5.3,2022-08-12T21:00:40
Mining and Extraction,2006,11,34.0,1.2,2022-02-05T11:44:02
Mining and Extraction,2009,12,18.0,8.4,2022-05-29T14:15:46
Mining and Extraction,2005,2,35.0,7.2,2023-05-16T16:55:22
Mining and Extraction,2009,10,36.0,9.0,2020-10-10T08:20:07
Mining and Extraction,2000,9,24.0,7.8,2020-11-07T00:10:37
Mining and Extraction,2004,1,18.0,2.9,2021-05-20T00:23:16
Mining and Extraction,2004,7,53.0,4.4,2023-06-07T21:37:38
Mining and Extraction,2000,3,41.0,3.4,2024-02-01T15:36:44
Mining and Extraction,2008,5,52.0,3.7,2022-12-02T03:06:43
Mining and Extraction,2006,8,32.0,5.0,2021-12-11T04:16:11
Mining and Extraction,2007,4,17.0,4.2,2024-07-17T19:28:54
Mining and Extraction,2006,12,29.0,2.9,2024-07-10T19:29:04
Mining and Extraction,2006,3,17.0,5.4,2020-03-02T14:25:22
Mining and Extraction,2001,7,30.0,9.0,2022-03-15T22:20:34
Mining and Extraction,2009,1,50.0,2.9,2021-09-28T23:21:47
Mining and Extraction,2001,1,65.0,9.3,2022-07-16T21:26:19
Mining and Extraction,2007,12,43.0,1.6,2024-09-24T07:27:21
Mining and Extraction,2007,8,63.0,2.6,2024-04-10T19:01:40
Mining and Extraction,2002,10,38.0,3.3,2022-03-26T18:57:23
Mining and Extraction,2003,6,14.0,5.9,2024-07-15T08:25:13
Mining and Extraction,2003,4,31.0,1.3,2023-10-20T12:01:42
Mining and Extraction,2009,12,67.0,4.0,2023-04-26T00:01:28
Mining and Extraction,2004,1,14.0,6.6,2020-07-03T09:57:42
Mining and Extraction,2000,1,23.0,3.3,2020-02-07T09:13:56
Mining and Extraction,2009,5,13.0,5.0,2024-01-19T10:09:00
Mining and Extraction,2008,8,13.0,2.9,2024-01-29T14:28:50
Mining and Extraction,2005,5,27.0,2.1,2023-07-25T01:02:43
Mining and Extraction,2004,1,59.0,2.0,2020-05-19T18:12:32
Mining and Extraction,2007,6,34.0,6.2,2020-05-04T14:04:49
Mining and Extraction,2001,7,12.0,4.1,2022-07-25T15:50:24
Mining and Extraction,2000,12,27.0,7.7,2022-11-28T12:41:31
Mining and Extraction,2002,5,13.0,6.1,2022-09-26T10:53:47
Mining and Extraction,2002,1,44.0,5.4,2022-04-01T15:23:03
Mining and Extraction,2002,5,31.0,10.3,2022-05-02T10:26:07
Mining and Extraction,2003,4,20.0,1.0,2020-02-03T15:53:09
Mining and Extraction,2004,8,12.0,5.0,2024-12-23T14:00:06
Mining and Extraction,2007,8,57.0,6.3,2021-06-17T02:31:02
Mining and Extraction,2007,1,70.0,5.2,2020-06-04T18:20:04
Mining and Extraction,2004,7,19.0,4.4,2023-09-30T01:59:00
Mining and Extraction,2008,3,31.0,4.2,2024-09-10T10:37:41
Mining and Extraction,2004,3,38.0,2.9,2022-06-07T11:26:48
Mining and Extraction,2001,1,19.0,5.2,2024-12-06T03:11:04
Mining and Extraction,2005,5,12.0,3.0,2021-08-18T10:39:20
Mining and Extraction,2009,3,29.0,3.1,2023-07-18T03:20:52
Mining and Extraction,2000,4,28.0,7.0,2023-04-26T03:16:39
Mining and Extraction,2006,4,33.0,3.7,2024-01-23T13:11:25
Mining and Extraction,2008,10,31.0,2.7,2021-04-26T02:07:24
Mining and Extraction,2004,9,27.0,2.6,2021-01-04T20:24:54
Mining and Extraction,2010,3,17.0,7.0,2020-01-18T08:33:09
Mining and Extraction,2003,6,14.0,13.3,2024-07-10T16:25:07
Mining and Extraction,2007,11,14.0,2.4,2024-04-01T06:27:34
Mining and Extraction,2005,7,32.0,8.5,2021-08-10T08:10:06
Mining and Extraction,2002,12,10.0,4.1,2021-08-19T07:40:28
Mining and Extraction,2001,9,31.0,6.4,2024-08-20T23:40:23
Mining and Extraction,2003,9,57.0,2.9,2021-10-15T06:36:36
Mining and Extraction,2004,11,16.0,6.2,2022-04-15T19:52:32
Mining and Extraction,2004,11,19.0,2.5,2023-09-03T19:11:49
Mining and Extraction,2003,6,5.0,2.0,2021-01-17T06:27:47
Mining and Extraction,2007,8,20.0,1.9,2021-05-21T17:28:14
Mining and Extraction,2003,9,21.0,3.2,2023-02-01T16:01:06
Mining and Extraction,2006,11,40.0,3.6,2023-08-31T12:09:40
Mining and Extraction,2010,2,20.0,6.0,2024-05-05T22:05:10
Mining and Extraction,2006,11,27.0,9.6,2022-03-08T21:14:36
Mining and Extraction,2005,7,14.0,2.7,2020-05-17T08:51:13
Mining and Extraction,2005,9,26.0,4.3,2020-10-21T17:58:39
Mining and Extraction,2008,10,12.0,4.1,2020-11-14T02:26:35
Mining and Extraction,2001,12,17.0,7.1,2022-03-30T07:04:12
Mining and Extraction,2005,1,32.0,4.3,2020-02-11T12:58:20
Mining and Extraction,2006,2,23.0,6.8,2022-10-01T22:50:27
Mining and Extraction,2006,6,33.0,2.8,2023-06-13T08:52:06
Mining and Extraction,2001,8,43.0,2.2,2020-05-16T03:53:25
Mining and Extraction,2001,5,35.0,4.1,2021-12-16T14:51:13
Mining and Extraction,2001,2,13.0,0.4,2024-03-18T02:21:09
Mining and Extraction,2009,9,42.0,8.2,2024-08-14T01:31:14
Mining and Extraction,2004,3,13.0,5.7,2023-04-30T07:38:44
Mining and Extraction,2003,2,25.0,7.2,2022-07-24T18:46:28
Mining and Extraction,2004,11,25.0,1.9,2022-08-26T19:54:03
Mining and Extraction,2009,1,31.0,2.7,2024-04-10T12:09:06
Mining and Extraction,2008,4,11.0,5.8,2022-12-31T02:38:39
Mining and Extraction,2006,8,33.0,6.3,2021-11-19T16:42:14
Mining and Extraction,2002,3,33.0,1.7,2023-03-25T13:53:43
Mining and Extraction,2009,5,15.0,8.2,2024-05-18T11:15:43
Mining and Extraction,2007,6,25.0,3.6,2021-05-08T15:01:14
Mining and Extraction,2010,11,19.0,0.5,2023-06-13T16:48:49
Mining and Extraction,2008,6,45.0,4.0,2023-05-20T04:32:27
Mining and Extraction,2000,2,90.0,3.1,2020-10-29T01:42:08
Mining and Extraction,2001,4,27.0,15.4,2022-04-17T23:57:20
Mining and Extraction,2003,5,19.0,1.8,2024-06-11T02:32:07
Mining and Extraction,2000,7,33.0,3.2,2022-04-25T19:43:24
Mining and Extraction,2008,9,43.0,4.9,2022-07-31T17:20:46
Mining and Extraction,2000,11,39.0,5.6,2022-01-01T02:08:11
Mining and Extraction,2007,11,9.0,4.5,2022-07-05T17:51:53
Mining and Extraction,2002,10,26.0,1.8,2021-03-08T04:41:52
Mining and Extraction,2004,8,63.0,5.6,2023-10-20T13:34:00
Mining and Extraction,2004,2,29.0,3.5,2023-12-02T18:41:44
Mining and Extraction,2003,8,10.0,2.3,2023-08-20T14:47:58
Mining and Extraction,2003,5,34.0,4.6,2022-08-20T08:04:39
Mining and Extraction,2004,3,13.0,3.8,2020-12-06T09:50:11
Mining and Extraction,2002,3,17.0,9.2,2021-03-12T12:46:10
Mining and Extraction,2003,11,28.0,12.7,2023-07-24T03:45:21
Mining and Extraction,2008,6,18.0,4.6,2022-08-31T12:56:13
Mining and Extraction,2007,8,38.0,8.9,2021-09-07T12:03:36
Mining and Extraction,2008,1,21.0,4.2,2023-02-21T19:37:03
Mining and Extraction,2000,10,11.0,10.4,2021-03-20T21:13:31
Mining and Extraction,2008,4,51.0,2.8,2022-12-12T17:55:26
Mining and Extraction,2008,6,31.0,6.4,2021-04-28T04:18:45
Mining and Extraction,2000,12,51.0,4.9,2023-06-30T16:28:19
Mining and Extraction,2009,8,19.0,6.2,2020-04-19T08:10:22
Mining and Extraction,2002,11,35.0,10.2,2020-05-30T21:26:46
Mining and Extraction,2008,1,13.0,1.5,2021-12-29T05:24:29
Mining and Extraction,2005,9,15.0,3.9,2024-10-26T14:32:47
Mining and Extraction,2008,7,52.0,4.8,2020-06-13T16:56:57
Mining and Extraction,2006,5,146.0,7.1,2021-03-01T12:53:05
Construction,2000,7,908.0,4.8,2020-04-24T12:36:50
Construction,2004,8,348.0,7.5,2023-01-02T11:38:24
Construction,2000,2,813.0,8.0,2020-01-08T11:48:06
Construction,2002,4,695.0,6.3,2022-06-03T16:39:26
Construction,2002,9,764.0,11.7,2020-01-24T04:22:49
Construction,2002,3,748.0,13.0,2024-07-09T21:43:53
Construction,2001,8,1395.0,5.1,2024-03-09T01:57:50
Construction,2000,12,686.0,13.3,2021-11-20T18:33:06
Construction,2006,11,886.0,8.5,2024-07-08T04:02:14
Construction,2008,2,771.0,22.4,2024-01-24T03:18:06
Construction,2006,6,1007.0,13.0,2024-02-20T05:51:04
Construction,2002,2,1113.0,11.2,2024-07-09T12:30:44
Construction,2001,4,1303.0,4.2,2022-02-01T13:57:49
Construction,2009,2,712.0,10.3,2021-11-19T16:59:03
Construction,2004,10,669.0,7.6,2024-02-02T17:25:30
Construction,2000,1,1370.0,6.3,2023-03-08T04:07:05
Construction,2000,3,909.0,16.6,2021-04-24T00:19:43
Construction,2006,6,1041.0,13.0,2021-05-28T02:14:21
Construction,2001,8,999.0,5.5,2024-04-05T22:30:35
Construction,2001,8,792.0,13.4,2021-06-13T04:18:34
Construction,2003,3,1023.0,14.0,2020-03-28T00:40:07
Construction,2009,5,1768.0,6.4,2022-05-28T12:50:51
Construction,2001,5,750.0,8.7,2020-08-31T05:02:14
Construction,2002,6,973.0,11.8,2022-08-11T03:37:05
Construction,2006,12,1264.0,9.3,2021-12-09T21:26:15
Construction,2004,6,407.0,7.1,2024-11-20T22:37:02
Construction,2004,7,315.0,13.9,2021-08-31T18:53:00
Construction,2009,9,606.0,5.4,2020-12-19T23:01:57
Construction,2007,2,674.0,6.7,2023-04-23T07:32:24
Construction,2004,11,465.0,8.0,2023-04-21T11:40:43
Construction,2009,6,1134.0,8.3,2020-08-21T23:46:50
Construction,2007,11,889.0,10.5,2023-10-03T05:14:20
Construction,2004,3,1162.0,8.4,2024-07-29T17:37:08
Construction,2009,11,731.0,8.5,2020-05-07T03:12:33
Construction,2005,2,918.0,12.4,2020-04-26T19:24:51
Construction,2009,6,564.0,13.4,2023-02-25T14:23:15
Construction,2001,8,1072.0,6.2,2020-12-19T17:29:48
Construction,2006,6,1085.0,4.9,2023-11-03T19:59:04
Construction,2002,11,1391.0,6.1,2020-11-13T00:49:50
Construction,2007,2,601.0,13.3,2021-05-26T15:17:26
Construction,2004,11,417.0,6.0,2023-10-02T22:00:40
Construction,2001,5,797.0,12.6,2023-10-29T02:02:21
Construction,2003,5,1784.0,5.3,2022-12-18T23:35:58
Construction,2006,11,708.0,20.9,2020-10-19T13:35:20
Construction,2005,4,863.0,6.2,2022-12-26T05:01:41
Construction,2001,3,1075.0,10.0,2022-12-05T08:47:37
Construction,2006,3,702.0,5.8,2020-11-22T10:54:52
Construction,2005,5,725.0,6.5,2021-01-18T05:22:37
Construction,2002,12,1093.0,6.9,2022-07-01T15:38:31
Construction,2008,7,766.0,13.3,2021-05-21T23:47:11
Construction,2010,7,1268.0,5.0,2020-04-26T08:15:41
Construction,2002,12,548.0,11.2,2024-06-07T02:32:31
Construction,2000,3,1310.0,7.6,2024-04-17T02:22:52
Construction,2004,10,844.0,7.6,2021-02-05T18:09:07
Construction,2004,9,1068.0,11.8,2024-10-30T08:40:46
Construction,2007,5,1822.0,4.7,2023-01-30T05:15:16
Construction,2005,8,1009.0,5.9,2022-06-08T06:24:22
Construction,2005,1,646.0,5.6,2023-09-06T12:06:44
Construction,2001,8,656.0,8.0,2024-01-04T19:48:51
Construction,2002,3,381.0,4.9,2020-11-13T19:53:55
Construction,2002,11,1141.0,7.4,2023-06-21T08:46:13
Construction,2006,1,443.0,8.3,2021-12-21T14:05:51
Construction,2009,4,394.0,5.4,2024-03-03T18:32:51
Construction,2004,8,597.0,5.6,2024-08-08T17:24:00
Construction,2008,8,1077.0,10.8,2024-09-30T07:10:52
Construction,2002,9,629.0,24.5,2023-07-17T11:36:58
Construction,2005,12,1125.0,12.8,2021-06-28T16:29:30
Construction,2009,5,342.0,8.5,2020-09-27T00:11:55
Construction,2005,10,558.0,9.9,2024-04-02T15:23:14
Construction,2008,1,617.0,11.6,2021-12-20T21:54:37
Construction,2000,1,1250.0,8.5,2021-03-10T13:03:36
Construction,2000,1,859.0,6.0,2020-02-21T12:44:22
Construction,2000,3,662.0,6.4,2023-01-16T09:04:16
Construction,2004,3,948.0,11.7,2023-06-28T17:59:31
Construction,2009,6,747.0,8.3,2023-08-07T07:15:56
Construction,2006,5,1401.0,10.7,2020-10-10T15:45:12
Construction,2000,10,1090.0,6.1,2023-01-20T07:24:27
Construction,2008,10,1167.0,8.7,2023-08-14T15:28:06
Construction,2007,2,636.0,8.2,2020-06-27T10:20:02
Construction,2001,11,385.0,13.6,2024-10-24T18:21:01
Construction,2005,8,773.0,9.2,2020-08-26T19:03:24
Construction,2001,2,821.0,10.0,2023-10-31T03:46:28
Construction,2006,5,858.0,11.4,2022-06-07T18:30:35
Construction,2009,10,1078.0,6.0,2024-04-07T12:49:26
Construction,2004,4,963.0,8.0,2023-09-13T06:30:33
Construction,2002,4,1394.0,10.7,2023-07-25T18:20:56
Construction,2000,1,861.0,3.6,2022-06-14T14:20:20
Construction,2008,9,1454.0,26.6,2022-07-19T03:08:55
Construction,2006,9,878.0,6.1,2020-02-16T03:20:40
Construction,2001,12,510.0,5.9,2022-06-16T03:57:13
Construction,2004,1,788.0,11.7,2020-11-16T04:32:30
Construction,2008,1,596.0,6.1,2020-03-02T15:49:23
Construction,2000,5,662.0,8.8,2021-12-27T03:17:58
Construction,2010,2,330.0,6.7,2024-07-09T23:18:02
Construction,2004,2,665.0,10.0,2020-10-29T13:29:00
Construction,2009,12,441.0,6.0,2023-03-17T04:36:05
Construction,2001,11,1216.0,7.1,2022-08-26T00:39:08
Construction,2007,4,1052.0,13.1,2021-07-19T05:58:03
Construction,2001,1,646.0,13.5,2021-07-02T20:48:02
Construction,2000,12,1009.0,14.9,2022-10-14T15:49:12
Construction,2008,2,947.0,6.1,2024-01-15T09:48:24
Construction,2005,3,554.0,5.2,2020-06-25T16:05:29
Construction,2000,4,1087.0,5.9,2021-07-04T05:25:22
Construction,2005,12,775.0,17.8,2022-03-19T15:05:16
Construction,2006,1,1087.0,11.5,2020-07-07T13:42:16
Construction,2000,9,693.0,21.9,2020-04-16T04:46:59
Construction,2009,12,796.0,7.0,2020-06-17T03:26:57
Construction,2001,10,656.0,10.7,2021-04-26T20:59:30
Construction,2004,5,372.0,11.6,2023-12-16T21:54:10
Construction,2004,2,572.0,27.1,2021-03-09T16:12:43
Construction,2007,6,824.0,7.9,2022-05-29T16:52:47
Construction,2007,7,692.0,8.2,2024-01-25T01:49:35
Construction,2000,3,473.0,11.2,2023-11-18T23:02:12
Construction,2000,12,1233.0,16.2,2024-10-17T22:54:47
Construction,2009,2,611.0,11.8,2022-02-05T04:43:25
Construction,2004,8,1786.0,8.7,2024-02-21T07:41:33
Construction,2007,8,702.0,6.6,2022-03-24T04:26:23
Construction,2004,5,741.0,10.3,2023-02-28T16:00:36
Construction,2000,6,781.0,7.6,2023-04-19T19:42:47
Construction,2002,7,455.0,12.4,2023-09-30T16:19:47
Construction,2002,6,1650.0,2.3,2022-11-19T20:38:05
Construction,2003,2,1249.0,12.5,2021-12-04T16:37:58
Manufacturing,2005,9,1172.0,2.6,2022-11-27T20:23:45
Manufacturing,2006,3,2279.0,8.9,2020-06-30T00:52:31
Manufacturing,2002,11,986.0,2.8,2021-03-17T01:12:47
Manufacturing,2009,11,616.0,6.2,2024-11-06T02:52:25
Manufacturing,2006,4,711.0,5.0,2023-08-31T10:13:19
Manufacturing,2003,3,1035.0,5.4,2024-10-25T13:32:35
Manufacturing,2007,3,689.0,7.6,2020-03-13T08:44:05
Manufacturing,2002,9,986.0,6.9,2020-02-08T21:55:53
Manufacturing,2002,1,616.0,8.2,2024-12-26T15:27:56
Manufacturing,2008,6,1097.0,5.5,2023-01-21T05:04:18
Manufacturing,2006,11,607.0,5.5,2020-10-22T10:22:27
Manufacturing,2000,4,729.0,5.1,2023-08-07T11:14:45
Manufacturing,2007,9,704.0,6.9,2022-11-23T14:52:13
Manufacturing,2008,6,612.0,3.3,2023-09-11T02:15:53
Manufacturing,2006,11,999.0,4.0,2020-09-15T19:59:39
Manufacturing,2010,12,768.0,4.0,2024-09-03T05:39:29
Manufacturing,2004,11,1774.0,4.2,2020-10-20T23:39:49
Manufacturing,2008,10,657.0,5.8,2022-01-25T17:44:49
Manufacturing,2004,1,1397.0,4.7,2024-02-17T10:32:07
Manufacturing,2000,8,810.0,5.4,2021-07-16T15:05:43
Manufacturing,2005,8,739.0,7.8,2020-06-29T08:50:10
Manufacturing,2002,5,1128.0,6.0,2020-10-04T12:41:10
Manufacturing,2005,6,754.0,5.8,2021-08-10T17:45:57
Manufacturing,2002,3,2440.0,6.3,2020-08-25T18:43:19
Manufacturing,2000,3,731.0,5.2,2021-08-05T05:16:05
Manufacturing,2002,2,713.0,5.4,2023-01-23T22:03:01
Manufacturing,2002,11,1286.0,3.7,2024-11-14T13:27:33
Manufacturing,2003,6,2440.0,6.9,2021-11-26T20:08:36
Manufacturing,2008,9,2440.0,3.5,2023-05-10T02:26:35
Manufacturing,2005,10,860.0,2.5,2024-11-14T10:35:52
Manufacturing,2003,3,2440.0,7.6,2023-08-05T10:50:28
Manufacturing,2005,5,1075.0,5.1,2022-07-20T03:14:44
Manufacturing,2000,5,774.0,6.0,2021-06-03T03:57:59
Manufacturing,2006,6,851.0,5.3,2022-05-16T10:15:32
Manufacturing,2009,6,660.0,5.6,2023-12-19T02:13:08
Manufacturing,2002,11,615.0,6.4,2024-01-26T20:09:09
Manufacturing,2005,6,716.0,4.5,2024-12-17T12:42:27
Manufacturing,2004,1,940.0,7.1,2024-09-24T14:30:19
Manufacturing,2002,4,2440.0,4.5,2022-11-04T10:38:15
Manufacturing,2008,1,667.0,8.7,2020-11-07T22:10:49
Manufacturing,2001,8,704.0,5.3,2024-04-14T03:02:07
Manufacturing,2000,5,635.0,3.7,2022-11-22T01:59:16
Manufacturing,2007,2,659.0,7.3,2022-03-01T21:32:06
Manufacturing,2001,6,754.0,5.6,2023-10-01T17:22:16
Manufacturing,2008,7,670.0,3.7,2023-02-26T06:16:03
Manufacturing,2005,12,1477.0,12.5,2023-12-18T06:52:23
Manufacturing,2004,8,1238.0,8.4,2020-10-06T09:04:42
Manufacturing,2007,11,623.0,8.0,2021-04-10T08:16:31
Manufacturing,2005,6,684.0,3.4,2022-10-22T18:27:05
Manufacturing,2005,3,629.0,3.5,2020-06-14T03:40:02
Manufacturing,2002,1,607.0,6.3,2022-06-10T05:02:42
Manufacturing,2010,8,2034.0,11.2,2023-06-09T00:31:11
Manufacturing,2009,5,807.0,2.5,2023-02-12T22:45:35
Manufacturing,2005,5,2194.0,5.2,2023-10-28T19:38:07
Manufacturing,2007,11,1121.0,5.6,2020-04-06T15:33:52
Manufacturing,2009,9,866.0,8.2,2021-07-01T22:32:10
Manufacturing,2002,1,624.0,4.4,2020-07-08T12:44:42
Manufacturing,2000,3,609.0,5.2,2022-02-09T00:33:35
Manufacturing,2000,1,851.0,7.3,2023-04-09T15:07:11
Manufacturing,2008,10,627.0,8.5,2020-11-08T22:54:04
Manufacturing,2008,4,660.0,7.7,2023-09-21T02:03:07
Manufacturing,2009,8,1001.0,3.9,2024-03-12T16:02:39
Manufacturing,2001,9,689.0,5.1,2020-08-24T20:03:18
Manufacturing,2006,7,956.0,4.0,2020-01-23T07:46:08
Manufacturing,2001,12,602.0,7.4,2020-02-03T04:58:00
Manufacturing,2002,2,2047.0,9.3,2020-06-04T03:33:13
Manufacturing,2006,5,906.0,5.1,2022-06-24T19:19:21
Manufacturing,2004,5,2440.0,7.5,2020-12-13T12:10:25
Manufacturing,2006,9,807.0,5.4,2023-01-26T10:29:10
Manufacturing,2006,7,686.0,4.9,2021-04-19T11:32:10
Manufacturing,2005,2,2440.0,3.2,2023-12-24T20:02:49
Manufacturing,2005,9,727.0,6.6,2020-08-21T22:18:11
Manufacturing,2005,6,632.0,8.0,2021-03-22T03:24:57
