competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Haribo Sour Bears,1,1,1,0,0,0,0,0,0,0.491918143,0.274949821,41.600939
Jawbusters,1,1,0,0,1,0,0,0,1,0.820697697,0.051350522,26.903722
Baby Ruth,0,0,0,0,0,0,0,0,1,0.380097853,0.847797393,62.883133
Fruit Chews,0,0,0,0,0,0,1,0,1,0.08111109,0.456057915,61.208592
Smarties candy,0,0,1,0,0,0,0,1,0,0.837811961,0.099009218,36.903846
Runts,1,1,0,0,1,0,0,0,0,0.073339363,0.091837014,38.940124
Chewey Lemonhead Fruit Mix,0,1,1,0,0,0,0,0,1,0.584535417,0.374059551,62.540401
Nerds,1,0,0,0,0,0,1,1,1,0.510856053,0.799034704,42.86371
Tootsie Roll Midgies,0,1,0,0,0,0,0,0,0,0.931215485,0.297498143,44.81104
Mounds,0,1,0,0,0,0,0,0,0,0.48999217,0.050193373,23.181468
Nestle Crunch,1,0,1,1,0,0,0,0,0,0.325377868,0.352360507,65.226713
Lemonhead,0,1,1,0,0,0,0,0,0,0.07617957,0.766874001,71.24501
Nerds,0,0,0,0,0,0,1,0,1,0.800378514,0.955217535,52.406842
Mike & Ike,0,0,0,0,0,0,1,1,0,0.864459261,0.650422669,30.915437
Milk Duds,1,1,0,0,0,0,0,0,1,0.713939475,0.631119973,80.606717
Snickers Crisper,1,1,0,0,0,1,0,0,1,0.578768989,0.524989164,47.945325
Chiclets,1,0,0,0,0,0,0,0,1,0.211099072,0.402377201,57.212368
Baby Ruth,0,1,0,0,0,0,0,0,0,0.161930203,0.594937533,74.663954
Hershey's Kisses,1,0,0,0,0,1,0,0,0,0.715596967,0.639006448,63.798922
Hershey's Milk Chocolate,0,0,0,0,1,0,1,0,0,0.953694678,0.210501593,57.789405
3 Musketeers,0,0,0,0,0,0,0,0,1,0.823116494,0.36757777,46.71332
Air Heads,1,0,0,0,0,0,0,0,0,0.082838094,0.077842455,41.132256
Haribo Gold Bears,0,1,1,0,0,0,0,0,1,0.234985573,0.650143065,40.70111
Nestle Butterfinger,1,0,0,0,0,0,1,0,1,0.803763717,0.4332236,47.779395
Reese's Peanut Butter cup,1,1,0,0,0,0,0,0,1,0.045747775,0.370182649,65.96972
Starburst,1,0,1,0,0,0,0,0,0,0.451051845,0.088901104,46.873822
Peanut M&Ms,1,0,0,0,0,0,0,0,1,0.184041233,0.762346444,50.472936
Caramel Apple Pops,1,0,1,0,0,0,0,0,0,0.638252986,0.621217672,46.75381
Milk Duds,0,1,0,0,0,0,0,0,1,0.532759895,0.465406297,54.698089
Jawbusters,1,1,0,0,0,0,1,0,0,0.967242066,0.424651838,48.651197
Candy Corn,0,0,1,1,0,0,0,0,1,0.770607438,0.254926656,32.39677
Mike & Ike,0,0,0,0,0,0,0,0,0,0.767741822,0.063299557,68.429145
Chiclets,0,1,0,0,0,0,1,0,1,0.611299437,0.91448161,41.569455
Root Beer Barrels,0,0,0,0,0,0,0,1,1,0.951291067,0.608200423,38.867595
Snickers Crisper,0,1,0,0,0,0,0,0,0,0.72602454,0.787715303,39.816278
Chiclets,1,0,1,0,0,0,0,1,1,0.19544303,0.111582807,40.474235
Fruit Chews,0,0,0,1,1,0,0,0,0,0.043522238,0.903619184,39.690581
Twizzlers,0,1,0,1,0,0,1,1,1,0.475152073,0.557861641,64.496109
Laffy Taffy,0,0,0,0,0,0,0,0,0,0.685723238,0.383797386,50.228839
Milk Duds,0,0,0,1,0,0,0,0,0,0.122890058,0.379002643,50.287753
Smarties candy,0,0,0,0,0,0,0,0,0,0.292042027,0.131821014,45.140767
Haribo Sour Bears,0,0,0,1,0,0,0,0,0,0.374291701,0.463975225,59.220303
