Date,CO2,adjusted CO2
1968-05-07,331.89,330.79
1968-06-06,330.75,330.84
1968-07-06,330.66,330.57
1968-08-05,334.69,331.03
1968-09-04,334.32,331.06
1968-10-04,332.31,331.03
1968-11-03,333.31,331.69
1968-12-03,333.45,331.66
1969-01-02,333.39,331.77
1969-02-01,332.61,331.62
1969-03-03,333.53,331.87
1969-04-02,332.39,332.75
1969-05-02,336.75,332.62
1969-06-01,332.41,331.88
1969-07-01,333.7,332.43
1969-07-31,332.02,332.83
1969-08-30,336.47,332.78
1969-09-29,334.36,333.2
1969-10-29,334.68,333.21
1969-11-28,334.71,332.75
1969-12-28,333.5,333.36
1970-01-27,335.75,333.63
1970-02-26,334.18,334.14
1970-03-28,335.52,333.41
1970-04-27,335.82,333.86
1970-05-27,334.27,333.97
1970-06-26,335.28,334.77
1970-07-26,335.81,334.58
1970-08-25,336.02,334.68
1970-09-24,335.56,335.02
1970-10-24,336.16,334.18
1970-11-23,337.45,335.18
1970-12-23,336.5,334.59
1971-01-22,334.49,334.94
1971-02-21,336.28,335.32
1971-03-23,336.49,335.64
1971-04-22,336.89,335.68
1971-05-22,337.13,336.0
1971-06-21,334.97,335.72
1971-07-21,338.35,335.93
1971-08-20,337.81,335.9
1971-09-19,337.09,336.38
1971-10-19,336.97,335.81
1971-11-18,338.48,336.69
1971-12-18,337.36,336.84
1972-01-17,336.6,336.58
1972-02-16,335.12,337.64
1972-03-17,340.15,336.95
1972-04-16,337.38,337.08
1972-05-16,339.06,337.04
1972-06-15,339.73,337.15
1972-07-15,339.22,337.34
1972-08-14,337.92,338.06
1972-09-13,338.25,338.09
1972-10-13,337.46,338.47
1972-11-12,339.38,338.07
1972-12-12,338.09,338.11
1973-01-11,339.33,338.33
1973-02-10,340.96,338.63
1973-03-12,339.99,338.62
1973-04-11,339.61,338.77
1973-05-11,338.41,339.42
1973-06-10,343.39,339.36
1973-07-10,343.4,339.18
1973-08-09,340.06,339.25
1973-09-08,341.61,339.23
1973-10-08,339.07,339.53
1973-11-07,339.9,339.48
1973-12-07,341.07,339.52
1974-01-06,340.18,339.54
1974-02-05,342.12,339.85
1974-03-07,342.66,340.42
1974-04-06,340.31,339.95
1974-05-06,341.27,340.17
1974-06-05,341.08,341.23
1974-07-05,337.73,340.44
1974-08-04,342.41,341.06
1974-09-03,344.11,340.83
1974-10-03,342.79,340.96
1974-11-02,345.7,341.34
1974-12-02,341.76,341.7
1975-01-01,342.99,341.41
1975-01-31,341.7,341.32
1975-03-02,342.59,341.25
1975-04-01,342.52,342.04
1975-05-01,341.56,341.61
1975-05-31,344.43,341.96
1975-06-30,341.67,341.82
1975-07-30,342.68,342.61
1975-08-29,343.08,342.68
1975-09-28,344.13,343.0
1975-10-28,342.72,342.27
1975-11-27,344.83,343.16
1975-12-27,344.27,343.3
1976-01-26,342.54,342.86
1976-02-25,343.73,343.48
1976-03-26,344.29,343.33
1976-04-25,347.67,343.41
1976-05-25,345.3,343.47
1976-06-24,342.83,343.78
1976-07-24,341.64,344.1
1976-08-23,344.34,343.67
1976-09-22,346.11,343.71
1976-10-22,344.23,345.41
1976-11-21,347.0,344.28
1976-12-21,347.59,344.93
1977-01-20,346.84,344.7
1977-02-19,345.29,345.06
1977-03-21,345.53,344.58
1977-04-20,346.17,345.18
1977-05-20,347.15,345.33
1977-06-19,345.79,345.33
1977-07-19,346.82,345.22
1977-08-18,346.24,345.66
1977-09-17,347.81,345.87
1977-10-17,344.25,345.49
1977-11-16,347.29,345.89
1977-12-16,350.36,345.68
1978-01-15,348.23,346.4
1978-02-14,349.38,346.55
1978-03-16,345.67,346.51
1978-04-15,346.05,346.6
1978-05-15,349.32,346.63
1978-06-14,348.07,347.37
1978-07-14,347.52,347.07
1978-08-13,349.24,346.66
1978-09-12,348.99,347.41
1978-10-12,346.93,347.51
1978-11-11,346.13,347.28
1978-12-11,347.41,348.1
1979-01-10,348.92,347.02
1979-02-09,347.91,348.65
1979-03-11,351.0,348.17
1979-04-10,349.27,348.02
1979-05-10,348.96,348.48
1979-06-09,348.85,348.79
1979-07-09,348.56,348.56
1979-08-08,349.6,348.91
1979-09-07,350.26,348.86
1979-10-07,350.33,349.0
1979-11-06,351.17,348.95
1979-12-06,349.92,349.63
1980-01-05,350.2,349.27
1980-02-04,349.9,349.83
1980-03-05,352.06,350.24
1980-04-04,351.81,349.45
1980-05-04,350.34,350.07
1980-06-03,352.04,349.59
1980-07-03,351.91,349.94
1980-08-02,353.34,350.13
1980-09-01,353.73,350.78
1980-10-01,351.24,350.54
1980-10-31,351.1,350.12
1980-11-30,354.82,351.01
1980-12-30,352.14,351.42
1981-01-29,351.63,351.78
1981-02-28,351.6,351.3
1981-03-30,355.66,351.32
1981-04-29,352.54,351.44
1981-05-29,353.28,351.62
1981-06-28,353.97,351.91
1981-07-28,352.97,352.97
1981-08-27,352.88,352.28
1981-09-26,354.31,351.96
1981-10-26,352.01,352.43
1981-11-25,352.87,352.48
1981-12-25,354.48,352.58
1982-01-24,356.19,353.42
1982-02-23,354.61,353.0
1982-03-25,355.93,353.5
1982-04-24,354.7,352.38
1982-05-24,355.95,353.57
1982-06-23,358.13,353.23
1982-07-23,354.81,353.64
1982-08-22,355.69,353.73
1982-09-21,356.29,353.85
1982-10-21,354.34,353.64
1982-11-20,357.26,354.5
1982-12-20,357.65,354.32
1983-01-19,356.57,354.83
1983-02-18,356.2,354.34
1983-03-20,356.85,355.27
1983-04-19,354.11,354.42
1983-05-19,355.09,354.72
1983-06-18,356.57,355.17
1983-07-18,353.85,355.32
1983-08-17,358.5,355.05
1983-09-16,353.51,355.85
1983-10-16,357.5,355.29
1983-11-15,356.22,355.49
1983-12-15,356.76,355.95
1984-01-14,356.45,356.24
1984-02-13,356.01,356.7
1984-03-14,356.73,356.22
1984-04-13,356.26,356.08
1984-05-13,357.66,356.82
1984-06-12,357.51,356.09
1984-07-12,358.0,356.73
1984-08-11,357.54,357.28
1984-09-10,358.12,356.19
1984-10-10,357.01,357.13
1984-11-09,357.56,357.17
1984-12-09,357.43,356.85
1985-01-08,360.81,357.12
1985-02-07,358.53,357.6
1985-03-09,359.94,357.64
1985-04-08,358.49,357.69
1985-05-08,363.59,358.2
1985-06-07,356.7,357.83
1985-07-07,358.69,358.57
1985-08-06,357.25,358.66
1985-09-05,358.24,358.34
1985-10-05,359.23,358.06
1985-11-04,360.52,358.84
1985-12-04,360.18,358.88
1986-01-03,361.46,358.85
1986-02-02,358.72,359.23
1986-03-04,361.82,359.36
1986-04-03,362.1,360.11
1986-05-03,360.47,359.66
1986-06-02,361.05,359.86
1986-07-02,360.72,360.49
1986-08-01,361.22,359.87
1986-08-31,359.87,360.31
1986-09-30,360.41,360.38
1986-10-30,363.15,360.47
1986-11-29,363.79,360.88
1986-12-29,362.24,360.81
1987-01-28,360.78,360.48
1987-02-27,361.65,360.92
1987-03-29,361.65,361.18
1987-04-28,362.57,360.83
1987-05-28,363.45,361.34
1987-06-27,358.27,361.84
1987-07-27,362.8,361.44
1987-08-26,363.91,362.08
1987-09-25,362.1,361.4
1987-10-25,362.73,362.32
1987-11-24,363.42,361.92
1987-12-24,361.98,362.18
1988-01-23,360.46,362.6
1988-02-22,362.08,362.9
1988-03-23,363.97,362.28
1988-04-22,363.75,363.5
1988-05-22,364.22,362.98
1988-06-21,365.01,363.14
1988-07-21,363.46,363.34
1988-08-20,366.91,362.8
1988-09-19,367.13,362.87
1988-10-19,365.4,363.71
1988-11-18,363.96,363.84
1988-12-18,365.91,364.27
1989-01-17,362.39,364.15
1989-02-16,365.24,364.74
1989-03-18,362.99,364.2
1989-04-17,364.31,363.94
1989-05-17,366.98,364.24
1989-06-16,364.79,364.7
1989-07-16,365.61,364.49
1989-08-15,364.14,364.78
1989-09-14,365.15,364.87
1989-10-14,365.83,364.85
1989-11-13,367.41,365.31
1989-12-13,367.59,365.52
1990-01-12,367.54,365.81
1990-02-11,367.73,365.71
1990-03-13,368.85,365.91
1990-04-12,368.5,366.01
1990-05-12,364.97,366.43
1990-06-11,367.26,365.79
1990-07-11,366.8,366.84
1990-08-10,366.3,366.36
1990-09-09,367.77,366.61
1990-10-09,370.86,367.09
1990-11-08,367.59,367.09
1990-12-08,367.02,367.74
1991-01-07,367.54,366.7
1991-02-06,369.48,367.47
1991-03-08,366.45,367.28
1991-04-07,368.65,367.22
1991-05-07,370.2,367.74
1991-06-06,367.0,367.99
1991-07-06,369.93,367.59
1991-08-05,368.56,368.07
1991-09-04,371.0,368.08
1991-10-04,369.32,367.86
1991-11-03,368.63,368.3
1991-12-03,369.94,368.32
1992-01-02,369.53,368.33
1992-02-01,367.93,368.13
1992-03-02,370.64,369.24
1992-04-01,368.8,369.17
1992-05-01,370.0,369.12
1992-05-31,372.67,369.28
1992-06-30,370.63,369.1
1992-07-30,369.85,369.4
1992-08-29,373.22,369.02
1992-09-28,370.96,370.08
1992-10-28,368.54,370.35
1992-11-27,370.27,370.57
1992-12-27,370.81,370.17
1993-01-26,371.86,370.76
1993-02-25,371.62,370.27
1993-03-27,369.85,370.71
1993-04-26,371.09,370.63
1993-05-26,373.16,371.54
1993-06-25,372.05,371.11
1993-07-25,374.87,370.79
1993-08-24,374.82,371.0
1993-09-23,372.78,371.09
1993-10-23,374.54,371.47
1993-11-22,373.92,371.47
1993-12-22,373.27,372.03
1994-01-21,374.49,371.8
1994-02-20,374.57,372.42
1994-03-22,372.42,372.49
1994-04-21,373.68,372.46
1994-05-21,374.92,372.95
1994-06-20,374.54,372.53
1994-07-20,372.75,372.33
1994-08-19,375.71,373.2
1994-09-18,375.64,373.12
1994-10-18,373.34,373.09
1994-11-17,373.66,373.39
1994-12-17,375.89,373.32
1995-01-16,373.83,373.59
1995-02-15,374.14,373.74
1995-03-17,376.33,373.42
1995-04-16,375.53,374.23
1995-05-16,375.12,374.64
1995-06-15,376.24,374.58
1995-07-15,374.0,374.39
1995-08-14,375.32,374.46
1995-09-13,376.84,374.83
1995-10-13,376.92,375.06
1995-11-12,375.12,375.06
1995-12-12,379.5,375.28
1996-01-11,375.7,375.73
1996-02-10,378.68,375.81
1996-03-11,376.36,375.36
1996-04-10,376.25,375.96
1996-05-10,377.44,375.38
1996-06-09,377.94,376.29
1996-07-09,377.03,376.05
1996-08-08,378.91,375.95
1996-09-07,376.86,376.62
1996-10-07,376.44,376.37
1996-11-06,377.49,377.0
1996-12-06,377.26,376.41
1997-01-05,377.05,376.87
1997-02-04,379.68,377.22
1997-03-06,380.73,376.78
1997-04-05,378.83,377.56
1997-05-05,378.65,377.28
1997-06-04,379.97,377.64
1997-07-04,377.76,377.73
1997-08-03,379.42,378.15
1997-09-02,378.93,377.95
1997-10-02,377.75,377.76
1997-11-01,379.83,378.28
1997-12-01,379.83,378.71
1997-12-31,379.13,378.64
1998-01-30,378.85,378.05
1998-03-01,376.41,378.38
1998-03-31,380.87,378.94
1998-04-30,380.43,378.31
1998-05-30,380.68,379.5
1998-06-29,381.27,379.19
1998-07-29,381.24,379.48
1998-08-28,380.76,379.92
1998-09-27,379.68,379.36
1998-10-27,383.32,379.14
1998-11-26,380.11,379.67
1998-12-26,381.92,379.65
1999-01-25,381.82,380.3
1999-02-24,379.9,380.26
1999-03-26,381.67,379.79
1999-04-25,381.68,380.13
1999-05-25,383.57,380.65
1999-06-24,383.77,380.14
1999-07-24,383.05,381.44
1999-08-23,385.64,381.27
1999-09-22,383.62,381.17
1999-10-22,384.82,381.32
1999-11-21,381.45,380.88
1999-12-21,384.95,381.51
2000-01-20,383.73,381.86
2000-02-19,383.42,381.71
2000-03-20,381.93,381.37
2000-04-19,381.53,381.81
2000-05-19,383.46,381.66
2000-06-18,384.94,381.72
2000-07-18,382.71,382.5
2000-08-17,383.71,383.3
2000-09-16,383.63,383.52
2000-10-16,384.73,382.7
2000-11-15,381.61,382.61
2000-12-15,384.01,382.89
2001-01-14,386.55,383.82
2001-02-13,384.95,383.41
2001-03-15,384.54,383.68
2001-04-14,383.67,383.81
2001-05-14,382.59,383.6
2001-06-13,387.44,383.47
2001-07-13,383.22,383.39
2001-08-12,385.93,383.94
2001-09-11,385.47,384.43
2001-10-11,386.62,385.19
2001-11-10,386.7,384.43
2001-12-10,385.9,384.6
2002-01-09,385.9,385.03
2002-02-08,386.13,384.6
2002-03-10,386.38,384.84
2002-04-09,386.83,385.3
2002-05-09,388.98,385.6
2002-06-08,388.43,385.55
2002-07-08,385.25,385.21
2002-08-07,386.14,385.64
2002-09-06,388.89,386.24
2002-10-06,387.03,385.92
2002-11-05,386.84,386.31
2002-12-05,386.92,385.92
2003-01-04,389.27,386.29
2003-02-03,387.01,385.99
2003-03-05,385.57,386.64
2003-04-04,387.62,387.21
2003-05-04,389.11,386.52
2003-06-03,388.22,387.17
2003-07-03,386.15,387.35
2003-08-02,388.92,387.25
2003-09-01,389.43,387.63
2003-10-01,386.1,386.63
2003-10-31,389.09,388.16
2003-11-30,389.79,388.11
2003-12-30,390.96,387.76
2004-01-29,389.97,388.32
2004-02-28,388.22,388.56
2004-03-29,391.45,388.28
2004-04-28,391.8,388.64
2004-05-28,390.75,388.43
2004-06-27,389.82,388.89
2004-07-27,390.21,389.0
2004-08-26,389.98,388.55
2004-09-25,390.36,389.31
2004-10-25,390.51,389.59
2004-11-24,389.85,389.02
2004-12-24,391.56,389.38
2005-01-23,391.84,389.36
2005-02-22,392.15,389.4
2005-03-24,392.05,389.53
2005-04-23,392.71,390.21
2005-05-23,390.6,390.59
2005-06-22,390.6,390.66
2005-07-22,389.72,390.59
2005-08-21,391.81,390.93
2005-09-20,390.51,390.86
2005-10-20,390.33,390.97
2005-11-19,390.28,390.5
2005-12-19,394.43,390.55
2006-01-18,390.78,390.93
2006-02-17,394.04,391.26
2006-03-19,392.33,391.34
2006-04-18,391.9,390.88
2006-05-18,394.11,391.95
2006-06-17,394.13,391.79
2006-07-17,392.47,391.58
2006-08-16,393.11,392.36
2006-09-15,395.07,392.26
2006-10-15,393.9,392.79
2006-11-14,392.4,391.7
2006-12-14,393.99,392.57
2007-01-13,394.17,392.65
2007-02-12,394.17,393.32
2007-03-14,395.59,393.64
2007-04-13,393.76,393.48
2007-05-13,395.25,393.29
2007-06-12,394.53,393.2
2007-07-12,395.54,393.68
2007-08-11,394.52,393.64
2007-09-10,393.93,393.74
2007-10-10,395.75,394.04
2007-11-09,396.32,393.99
2007-12-09,395.83,394.41
2008-01-08,398.18,394.14
2008-02-07,395.26,394.19
2008-03-08,396.51,394.42
2008-04-07,395.83,394.99
2008-05-07,396.26,394.83
2008-06-06,396.21,395.1
2008-07-06,397.01,395.22
2008-08-05,393.84,395.49
2008-09-04,396.35,395.26
2008-10-04,396.94,396.02
2008-11-03,395.94,395.57
2008-12-03,399.59,395.18
2009-01-02,397.25,396.06
2009-02-01,396.69,395.75
2009-03-03,396.81,395.97
2009-04-02,396.46,396.42
2009-05-02,397.57,396.84
2009-06-01,398.75,395.96
2009-07-01,397.91,396.28
2009-07-31,397.81,396.92
2009-08-30,396.49,396.98
2009-09-29,397.65,396.64
2009-10-29,399.85,397.86
2009-11-28,398.37,397.07
2009-12-28,398.28,397.36
2010-01-27,397.9,397.79
2010-02-26,401.1,397.4
2010-03-28,397.53,398.18
2010-04-27,397.25,398.19
2010-05-27,397.74,398.38
2010-06-26,398.41,398.14
2010-07-26,398.77,398.17
2010-08-25,399.63,398.53
2010-09-24,400.09,398.86
2010-10-24,399.73,399.04
2010-11-23,401.33,399.31
2010-12-23,398.02,398.98
2011-01-22,401.46,399.23
2011-02-21,398.38,399.56
2011-03-23,401.79,399.94
2011-04-22,402.57,400.07
2011-05-22,399.89,399.89
2011-06-21,401.72,399.71
2011-07-21,400.72,400.27
2011-08-20,400.48,399.65
2011-09-19,402.57,400.79
2011-10-19,401.1,400.68
2011-11-18,400.87,400.6
2011-12-18,402.98,400.61
2012-01-17,402.59,400.92
2012-02-16,403.61,401.34
2012-03-17,404.19,401.45
2012-04-16,401.11,401.51
2012-05-16,401.61,400.87
2012-06-15,403.63,401.34
2012-07-15,403.16,401.6
2012-08-14,402.29,402.23
2012-09-13,404.28,401.79
2012-10-13,401.46,402.17
2012-11-12,402.45,401.94
2012-12-12,403.13,402.0
2013-01-11,402.32,402.52
2013-02-10,402.94,402.38
2013-03-12,403.29,402.56
2013-04-11,405.23,402.89
2013-05-11,405.71,402.45
2013-06-10,403.53,402.57
2013-07-10,405.72,403.3
2013-08-09,405.21,403.15
2013-09-08,404.39,402.59
2013-10-08,402.86,402.85
2013-11-07,403.6,403.57
2013-12-07,405.08,403.75
2014-01-06,403.96,403.44
2014-02-05,404.83,404.07
2014-03-07,405.78,404.07
2014-04-06,405.9,404.14
2014-05-06,404.82,404.71
2014-06-05,405.11,404.02
2014-07-05,406.57,404.78
2014-08-04,405.93,404.88
2014-09-03,406.66,404.68
2014-10-03,408.51,405.08
2014-11-02,407.09,405.17
2014-12-02,406.27,405.86
2015-01-01,407.58,405.79
2015-01-31,407.65,406.0
2015-03-02,405.99,406.43
2015-04-01,407.82,406.48
2015-05-01,406.58,405.97
2015-05-31,406.92,405.85
2015-06-30,406.92,406.69
2015-07-30,408.69,406.25
2015-08-29,408.23,406.41
2015-09-28,407.85,406.53
2015-10-28,410.17,406.91
2015-11-27,406.83,407.4
2015-12-27,405.65,406.4
2016-01-26,409.01,407.1
2016-02-25,407.73,408.2
2016-03-26,408.22,407.37
2016-04-25,409.69,407.86
2016-05-25,408.56,408.01
2016-06-24,409.17,407.91
2016-07-24,408.12,408.17
2016-08-23,409.89,407.86
2016-09-22,408.54,408.1
2016-10-22,409.89,408.9
2016-11-21,408.81,408.8
2016-12-21,409.51,409.02
2017-01-20,409.42,409.46
2017-02-19,408.06,409.84
2017-03-21,412.42,408.86
2017-04-20,409.79,409.02
2017-05-20,410.51,409.3
2017-06-19,410.8,410.04
2017-07-19,409.73,409.58
2017-08-18,410.33,409.64
2017-09-17,411.02,410.32
2017-10-17,411.57,409.79
2017-11-16,411.23,410.55
2017-12-16,412.05,409.95
2018-01-15,414.84,410.8
2018-02-14,414.29,411.17
2018-03-16,412.59,410.82
2018-04-15,412.81,410.4
2018-05-15,413.42,411.07
2018-06-14,411.05,411.29
2018-07-14,409.99,411.16
2018-08-13,412.9,411.94
2018-09-12,413.98,411.74
2018-10-12,413.79,411.7
2018-11-11,413.93,411.66
2018-12-11,412.64,411.98
