method,number,orbital_period,mass,distance,year
Radial Velocity,1,1289.0,3.0,46.93,2002
Radial Velocity,1,256.78,,38.99,1999
Transit,1,2.484193,,260.0,2013
Transit,1,1.3371182,,,2011
Radial Velocity,1,851.8,6.1,,2007
Transit,4,9.6739283,,,2012
Transit,1,2.810595,,193.0,2011
Radial Velocity,1,2582.7,,47.26,2005
Transit,2,42.1516418,,,2012
Transit,5,8.7522,,303.0,2011
Radial Velocity,2,613.8,,68.35,2010
Radial Velocity,1,5.118,,,2014
Radial Velocity,1,528.07,,31.79,2011
Radial Velocity,1,70.46,,30.5,2005
Radial Velocity,1,268.94,1.47,,2009
Radial Velocity,2,923.8,3.24,16.57,2005
Radial Velocity,1,498.9,,84.03,2009
Radial Velocity,4,643.25,,15.28,2000
Imaging,1,,,36.0,2013
Radial Velocity,2,152.6,0.17,35.59,2011
Radial Velocity,1,472.0,,50.43,2010
Radial Velocity,1,1951.0,,,2008
Transit,1,,,395.0,2011
Radial Velocity,1,380.85,1.99,,2008
Radial Velocity,1,4.9437,,40.73,2002
Transit,2,,,,2011
Radial Velocity,3,580.0,,135.0,2012
Imaging,1,,,40.85,2006
Transit,2,20.8613,,2100.0,2011
Radial Velocity,1,3724.7,,48.43,2011
Radial Velocity,1,1311.0,1.26,,2002
Transit,2,42.1516418,,,2012
Pulsation Timing Variations,1,1170.0,,,2007
Radial Velocity,1,1143.0,,,2003
Imaging,4,,,39.94,2008
Radial Velocity,1,4.230785,0.472,,1995
Radial Velocity,2,3.698,,150.0,2009
Radial Velocity,1,4885.0,3.1,189.39,2009
Radial Velocity,1,383.7,1.16,52.8,2007
Transit,2,5.005425,,354.0,2011
Radial Velocity,1,615.0,0.29,,2011
Transit,2,15.3348,,,2011
Radial Velocity,6,2248.0,,39.39,2010
Radial Velocity,6,2248.0,0.205,39.39,2010
Radial Velocity,1,2371.0,,37.05,2008
Eclipse Timing Variations,2,2883.5,,500.0,2010
Radial Velocity,1,714.3,,,2007
Radial Velocity,1,1143.0,6.8,,2003
Radial Velocity,3,603.0,0.079,14.97,2013
Radial Velocity,1,,1.21,12.87,2003
Radial Velocity,3,2831.6,1.68,47.3,2012
Radial Velocity,2,1046.0,,28.04,2011
Radial Velocity,1,1845.0,,8.77,2006
Radial Velocity,6,7.2004,,,2011
Radial Velocity,1,10.8985,,38.56,2002
Radial Velocity,1,2.21857578,,19.25,2005
Transit,2,26.136,,,2013
Transit,1,2.875317,,70.0,2010
Radial Velocity,6,122.72,0.074,39.39,2010
Radial Velocity,1,26.73,,94.07,2006
Radial Velocity,1,4.072,1.33,63.49,2005
Radial Velocity,1,392.6,0.91,,2011
Transit,1,1.2119189,,,2002
Microlensing,1,1970.0,,,2010
Transit,4,22.342989,,,2013
Radial Velocity,1,26.73,0.71,94.07,2006
Transit,2,8.9858,,,2011
Transit,2,2.91626,,214.0,2009
Transit,2,17.849,,,2013
Transit,2,,,2100.0,2011
Radial Velocity,1,431.88,2.07,77.82,2001
Radial Velocity,3,3008.0,7.2,52.83,2009
Transit,1,3.57878087,,570.0,2013
Radial Velocity,1,479.1,3.88,97.28,2008
Transit,1,1.855558,,770.0,2011
Radial Velocity,2,1008.0,,42.68,2009
Radial Velocity,1,118.96,1.13,28.07,2000
Radial Velocity,6,91.61,,6.8,2013
Radial Velocity,1,380.85,,44.5,2008
Radial Velocity,2,5000.0,0.82,,2009
Radial Velocity,2,379.63,,,2009
Radial Velocity,2,937.7,,28.04,2003
Radial Velocity,1,2502.0,,3.22,2000
Radial Velocity,1,41.397,,11.03,2010
Astrometry,1,1016.0,,14.98,2010
Radial Velocity,1,55.806,,20.82,2009
Radial Velocity,1,331.5,,,2009
Transit,1,8.886593,,,2009
Radial Velocity,1,1125.7,9.76,121.36,2008
Transit,5,3.6961219,,,2011
Imaging,1,,,,2004
Transit,4,43.8445,,,2014
Radial Velocity,1,57.0,,,2010
Transit,1,2.718659,,,2010
Transit,2,7.1073,,,2011
Radial Velocity,1,330.0,0.223,,2011
Imaging,1,,,91.83,2013
Transit,4,22.342989,,,2013
Imaging,1,,,140.0,2010
Radial Velocity,2,95.415,,34.07,2011
Transit,6,46.6888,,,2010
Transit,1,3.332687,,542.0,2012
Transit,2,8.0109434,,,2012
Transit,2,27.9481449,,,2012
Transit,1,,,396.0,2010
Transit Timing Variations,2,57.011,,855.0,2012
Radial Velocity,1,386.3,1.62,34.57,2003
Transit,3,7.1316185,,,2012
Radial Velocity,1,956.0,0.37,55.93,2009
Transit,2,191.2318,,,2013
Transit,2,15.9654,,,2014
Transit,2,9.2869944,,2119.0,2011
Radial Velocity,2,789.0,,,2014
Radial Velocity,1,1183.0,,89.85,2002
Radial Velocity,1,351.5,,67.39,2007
Transit,1,3.1606296,,1200.0,2013
Radial Velocity,2,125.94,,,2013
Radial Velocity,2,10.866,,21.52,2011
Radial Velocity,1,963.0,2.54,,2004
Radial Velocity,1,1544.0,1.49,98.52,2011
Transit,5,10.3117,,,2014
Radial Velocity,1,62.218,0.229,11.11,2003
Radial Velocity,2,18.357,0.039,52.03,2013
Transit,2,15.3348,,,2011
Radial Velocity,1,874.774,,,2008
Transit,1,4.640382,,249.0,2012
Transit,1,2.875317,,70.0,2010
Transit,5,13.17562,,,2011
Radial Velocity,3,1931.0,4.05,47.3,2009
Radial Velocity,1,1001.7,,32.56,2005
Transit,2,31.884,,,2013
Radial Velocity,2,53.881,,,2011
Transit,5,10.854092,,290.0,2011
Radial Velocity,6,2248.0,0.205,39.39,2010
Radial Velocity,2,14.3098,0.839,42.43,2000
Radial Velocity,1,8.7836,,9.42,2008
Radial Velocity,1,2819.654,,,2002
Transit,1,16.2385,,,2014
Radial Velocity,1,1733.0,,26.95,2011
Radial Velocity,1,277.02,1.7,80.64,2013
Transit,2,10.338523,,90.0,2010
Radial Velocity,1,1159.2,1.373,26.5,2009
Radial Velocity,1,43.6,0.47,36.14,2008
Radial Velocity,4,4205.8,,,2004
Radial Velocity,2,220.078,,27.46,2003
Transit,1,3.91405,,2000.0,2007
Transit,1,3.101278,,,2004
Transit,7,124.9144,,,2013
Radial Velocity,2,525.8,,8.82,2011
Transit,1,3.922727,,,2010
Astrometry,1,246.36,,20.77,2013
Transit,1,3.90512,,800.0,2010
Radial Velocity,2,5000.0,,25.65,2009
Transit,1,1.72086123,,1056.0,2014
Transit,2,2.42629,,,2014
Transit,1,8.158715,,87.0,2010
Transit,1,1.846835,,,2007
Transit,1,1.7429935,,200.0,2008
Radial Velocity,1,2.1375,1.5,91.16,2006
Transit,3,6.88705,,,2014
Radial Velocity,2,3.8728,,20.1,2013
Radial Velocity,2,,2.6,,2005
Transit,2,22.951,,,2013
Radial Velocity,1,,,43.03,2004
Transit,1,3.0927616,,90.0,2008
Radial Velocity,1,4.6455,,,2010
Radial Velocity,2,14.182,,28.6,2011
Radial Velocity,2,408.6,2.24,68.54,2004
Radial Velocity,1,1311.0,,33.29,2002
Transit,1,1.354133,,360.0,2013
Radial Velocity,3,5.6363,0.0117,,2011
Transit,1,3.6936411,,,2012
Transit Timing Variations,2,22.3395,,,2013
Radial Velocity,1,303.0,,92.51,2003
Transit,1,3.056536,,,2007
Radial Velocity,2,3.698,,150.0,2009
Radial Velocity,3,962.0,0.64,26.15,2008
Radial Velocity,2,345.72,,,2009
Radial Velocity,5,44.38,0.165,12.53,2004
Transit,1,11.5231,,,2014
Radial Velocity,4,3848.86,,13.47,2010
Radial Velocity,1,187.83,,84.03,2012
Transit,3,6.88705,,,2014
Transit,2,21.40239,,,2012
Radial Velocity,1,1294.0,2.1,26.52,2002
Radial Velocity,1,428.5,8.78,38.52,2009
Transit,1,,,180.0,2010
Transit,2,21.40239,,,2012
Radial Velocity,2,9017.8,,44.8,2011
Radial Velocity,1,192.0,6.575,,2013
Radial Velocity,3,1931.0,4.05,47.3,2009
Transit,1,3.92289,,480.0,2008
Orbital Brightness Modulation,1,,,,2013
Transit,1,1.796,,8500.0,2006
Radial Velocity,2,30.93,0.076,56.92,2013
Transit,1,3.234723,,,2009
Radial Velocity,2,19.382,,66.89,2013
Transit,7,331.60059,,780.0,2013
Transit,2,11.6092567,,,2012
Transit,1,2.797436,,,2011
Transit,1,3.00516,,,2013
Radial Velocity,1,672.1,,289.02,2012
Transit,2,36.855,,,2013
Transit,1,1.43037,,,2011
Radial Velocity,1,2.54858,,36.52,2003
Radial Velocity,1,124.6,9.18,149.25,2013
Transit,3,7.64159,,,2011
Radial Velocity,1,3.369,0.76,50.2,2004
Radial Velocity,1,,,,2012
Eclipse Timing Variations,1,4343.5,,,2012
Transit,1,3.67724,,,2007
Radial Velocity,1,4885.0,3.1,189.39,2009
Radial Velocity,1,3.52474859,,47.08,1999
Transit,1,1.212884,,393.0,2010
Transit,1,3.052401,,,2010
Radial Velocity,1,373.3,,121.8,2009
Transit,1,3.9791,,,2007
Radial Velocity,2,53.881,,32.31,2011
Transit,2,23.654,,,2013
Radial Velocity,1,383.7,,52.8,2007
Transit,1,2.77596,,235.0,2010
Radial Velocity,1,373.3,,,2009
Transit,1,1.43037,,,2011
Radial Velocity,5,4909.0,,12.53,2002
Radial Velocity,1,47.84,,49.33,2009
Radial Velocity,1,1244.0,0.38,68.35,2009
Radial Velocity,3,12.083,0.0292,26.91,2011
Transit,5,6.098493,,290.0,2011
Radial Velocity,1,443.4,2.6,138.5,2011
Radial Velocity,1,2496.0,,55.01,2009
Radial Velocity,1,990.0,,59.84,2009
Transit,1,4.60358,,,2014
Radial Velocity,1,883.0,2.2,,2011
Transit,4,9.6739283,,,2012
Radial Velocity,1,1544.0,,98.52,2011
Microlensing,1,,,3600.0,2013
Transit,1,3.6623866,,240.0,2012
Radial Velocity,1,392.6,,,2011
Radial Velocity,1,5.8881,0.367,53.08,2013
Transit,1,8.886593,,,2009
Transit,1,2.4855335,,,2008
Radial Velocity,2,1155.7,,55.31,2012
Transit,1,4.1137912,,,2012
Radial Velocity,2,55.0,,42.88,2004
Radial Velocity,2,7.126816,,19.72,1998
Radial Velocity,1,3.024,,33.41,2000
Transit,3,1.592851,,,2010
Radial Velocity,1,104.84,0.12,,2011
Radial Velocity,1,2.985625,,43.53,2002
Transit,2,191.2318,,,2013
Radial Velocity,3,1078.0,,14.08,1996
Radial Velocity,1,17.991,0.62,,2005
Transit,1,2.455239,,333.0,2011
Radial Velocity,2,1160.9,0.1507,,2011
Transit,2,13.749,,,2013
Radial Velocity,1,1075.2,,32.56,1999
Radial Velocity,1,1544.0,,,2011
Transit,1,,,,2013
Radial Velocity,1,1075.2,6.21,32.56,1999
Transit,2,8.0109434,,,2012
Radial Velocity,1,157.57,,140.85,2011
Radial Velocity,1,1143.0,6.8,28.88,2003
Radial Velocity,5,44.38,0.165,12.53,2004
Transit,1,3.056536,,314.0,2007
Transit,2,7.053,,,2012
Radial Velocity,1,874.774,,56.95,2008
Radial Velocity,2,46.025,0.0318,42.52,2011
Transit,1,6.87349,,2700.0,2010
Transit,1,16.2385,,,2014
Transit,2,12.0717249,,,2012
Radial Velocity,2,3452.0,,68.54,2014
Microlensing,1,,,7720.0,2012
Radial Velocity,1,16.2,,,2010
Imaging,1,,,91.57,2013
Radial Velocity,1,1544.0,,98.52,2011
Radial Velocity,1,104.84,,33.48,2011
Transit,6,46.6888,,613.0,2010
Transit,4,3.743208,,,2013
Transit,1,4.1137912,,124.22,2012
Radial Velocity,1,4.9437,0.115,40.73,2002
Radial Velocity,2,408.6,,68.54,2004
Transit,2,13.722341,,,2013
Transit,1,3.332687,,542.0,2012
Radial Velocity,1,521.0,1.8,114.15,2011
Transit,1,228.776,,,2011
Radial Velocity,1,21.21663,,78.25,2007
Imaging,1,,,131.93,2010
Imaging,1,,,165.0,2007
Radial Velocity,1,1475.0,7.0,72.57,2009
Transit,1,1.54168,,,2014
Radial Velocity,6,20.432,,12.83,2008
Radial Velocity,1,5.8881,,53.08,2013
Radial Velocity,2,1945.0,0.622,33.98,2005
Radial Velocity,1,396.03,,131.75,2010
Transit,3,1.865169,,,2011
Transit,1,4.322482,,242.0,2010
Transit,1,7.8457,,222.0,2014
Radial Velocity,2,520.0,,,2008
Radial Velocity,1,2.64385,,10.23,2004
Radial Velocity,4,9.6386,,15.28,2004
Radial Velocity,3,11.577,,,2011
Radial Velocity,1,36.96,,93.2,2007
Transit,2,10.3376,,1400.0,2011
Transit,1,10.863502,,190.0,2010
Radial Velocity,1,3.3135,3.9,15.6,1996
Transit,2,12.883,,,2012
Transit,1,8.158715,,87.0,2010
Microlensing,2,5100.0,,,2008
Radial Velocity,2,1178.4,2.1,52.72,2006
Transit,1,2.152226,,147.0,2007
Imaging,1,,,,2013
Radial Velocity,2,152.6,0.17,35.59,2011
Radial Velocity,2,9017.8,,44.8,2011
Transit,2,,,,2014
Radial Velocity,3,1931.0,4.05,47.3,2009
Transit,3,143.34394,,1400.0,2012
Radial Velocity,1,1143.0,6.8,28.88,2003
Transit,1,1.43037,,,2011
Radial Velocity,3,2473.0,8.06,,2003
Radial Velocity,1,5.24,,59.03,2005
Radial Velocity,1,714.3,10.6,,2007
Radial Velocity,2,567.0,0.33,43.53,2009
Transit,1,3.52254,,,2010
Imaging,1,,,120.0,2013
Radial Velocity,1,903.3,,13.79,2003
Radial Velocity,1,1800.0,1.15,,2008
Radial Velocity,2,428.5,,214.0,2009
Transit,1,3.1915239,,174.0,2007
Transit,1,3.57532,,,2014
Transit,1,3.039577,,204.0,2011
Radial Velocity,1,2209.0,1.06,45.23,2012
Transit,1,3.764825,,,2010
Transit,1,,,134.0,2010
Transit,1,2.797436,,411.0,2011
Microlensing,1,,,2570.0,2012
Radial Velocity,4,3.14942,0.006,6.27,2005
Radial Velocity,2,3186.0,,46.84,2012
Radial Velocity,1,104.84,0.12,33.48,2011
Radial Velocity,1,655.6,,37.54,2008
Transit,1,4.0378962,,,2009
Transit,1,1.4857108,,800.0,2011
Transit,5,3.6961219,,290.0,2011
Transit,1,2.150008,,283.0,2011
Eclipse Timing Variations,2,5573.55,,500.0,2010
Radial Velocity,2,9017.8,,44.8,2011
Transit,1,1.7635892,,,2011
Transit,1,2.7566004,,250.0,2010
Radial Velocity,1,3638.0,,,2012
Transit,1,2.46502,,,2014
Transit,2,35.736,,,2013
Transit,2,10.5016,,,2012
Transit,2,26.136,,,2013
Transit,1,1.7429935,,200.0,2008
Radial Velocity,3,27.582,,14.56,2011
Transit,1,4.411953,,160.0,2012
Radial Velocity,1,380.85,1.99,44.5,2008
Microlensing,1,3300.0,,,2006
Radial Velocity,1,3.51,,28.94,1999
Radial Velocity,4,310.55,,15.28,2006
Radial Velocity,1,443.4,2.6,,2011
Radial Velocity,1,3416.0,0.64,4.94,2008
Radial Velocity,1,974.0,,70.97,2007
Radial Velocity,2,7.126816,1.39,,1998
Astrometry,1,246.36,,,2013
Transit,2,54.414,,,2013
Radial Velocity,1,990.0,4.4,,2009
Radial Velocity,1,464.3,,106.38,2009
Transit,1,3.030065,,152.3,2004
Radial Velocity,1,3342.0,,18.06,2006
Transit,1,3.1260876,,,2011
Radial Velocity,1,883.0,2.2,121.36,2011
Imaging,4,170000.0,,39.94,2008
Imaging,1,,,131.93,2010
Transit,1,1.796,,,2006
Transit,1,105.599,,600.0,2012
Radial Velocity,1,6.838,0.94,47.37,2006
Radial Velocity,1,,9.76,121.36,2008
Transit,1,5.508023,,166.0,2010
Radial Velocity,1,4951.0,6.8,42.77,2012
Transit,5,19.57706,,,2011
Radial Velocity,1,305.5,20.6,92.51,2013
Radial Velocity,1,1319.0,13.0,54.92,2010
Transit,2,54.414,,,2013
Transit,6,118.3807,,613.0,2010
Transit,2,21.2227,,,2014
Radial Velocity,1,3.3135,,,1996
Transit,2,16.3850021,,,2012
Radial Velocity,1,912.0,,121.07,2011
Microlensing,1,,,1760.0,2013
Radial Velocity,1,479.1,3.88,97.28,2008
Radial Velocity,1,2082.0,4.5,97.66,2013
Transit,6,13.0241,,613.0,2010
Transit,1,3.474474,,387.0,2011
Transit,1,4.37809,,330.0,2012
Transit,1,2.484193,,260.0,2013
Radial Velocity,1,1117.0,,56.18,2010
Microlensing,1,,,,2004
Transit,2,51.538,,,2012
Radial Velocity,1,835.477,11.09,97.66,2009
Transit,2,10.416,,,2013
Transit,1,3.0927616,,90.0,2008
Radial Velocity,2,4046.0,2.0,,2011
Microlensing,1,3300.0,,,2006
Transit,1,3.54846,,,2009
Radial Velocity,3,962.0,,,2008
Imaging,1,,,52.4,2004
Radial Velocity,1,137.48,,,2013
Transit,1,3.5327313,,300.0,2010
Transit,1,228.776,,61.0,2011
Transit,3,35.3331,,,2014
Transit,2,9.77,,,2012
Imaging,1,,,145.0,2013
Radial Velocity,1,1973.0,,55.04,2005
Radial Velocity,3,3008.0,7.2,52.83,2009
Radial Velocity,1,647.3,4.0,221.24,2011
Radial Velocity,1,331.5,0.96,59.28,2009
Radial Velocity,1,500.0,1.07,27.13,2002
Radial Velocity,1,610.0,2.2,170.07,2009
Transit,1,17.833648,,132.0,2013
Transit,5,41.02902,,,2011
Radial Velocity,6,5.75962,,39.39,2010
Radial Velocity,2,161.97,,,2012
Radial Velocity,2,11.849,,43.08,2011
Radial Velocity,1,2.21857578,,19.25,2005
Transit,2,16.3850021,,,2012
Radial Velocity,6,62.24,0.008,6.8,2013
Radial Velocity,2,,,56.5,2012
Radial Velocity,1,3.4442,,53.71,2005
Radial Velocity,1,4.6455,,,2010
Transit,5,5.714932,,,2013
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Transit,1,1.7429935,,200.0,2008
Radial Velocity,1,423.841,,18.24,2000
Radial Velocity,1,192.0,,,2013
Radial Velocity,1,1294.0,,,2002
Transit,5,3.6961219,,290.0,2011
Microlensing,1,,,2800.0,2012
Transit,1,2.838971,,455.0,2012
Radial Velocity,1,1561.0,7.71,51.97,2003
Radial Velocity,3,,,16.13,2012
Radial Velocity,1,2157.0,1.78,30.88,2009
Radial Velocity,1,778.1,,138.5,2011
Transit,2,17.2513,,,2011
Transit,2,33.60134,,855.0,2012
Transit,1,13.2406,,345.0,2010
Transit,2,21.2227,,,2014
Microlensing,1,3500.0,,,2005
Radial Velocity,2,194.3,,43.4,2007
Radial Velocity,2,58.11289,,37.88,1998
Transit,1,4.008778,,215.0,2010
Transit,2,11.776,,,2013
Radial Velocity,2,1270.2,,,2007
Transit,1,228.776,,61.0,2011
Radial Velocity,1,1319.0,13.0,,2010
Radial Velocity,1,772.0,,127.88,2011
Imaging,1,,,52.03,2012
Radial Velocity,1,1544.0,,98.52,2011
Eclipse Timing Variations,1,2900.0,,,2011
Radial Velocity,3,32.03,,25.87,2011
Transit,1,4.3050011,,,2012
Radial Velocity,3,559.4,3.0,52.83,2007
Transit,1,5.723186,,,2011
Radial Velocity,1,2208.0,1.45,,2012
Radial Velocity,1,358.0,0.64,32.62,2009
Transit,2,22.951,,,2013
Radial Velocity,2,428.5,15.2,214.0,2009
Radial Velocity,6,7.2004,,6.8,2011
Transit,2,10.416,,,2013
Radial Velocity,1,111.7,2.1,14.9,2009
Transit,1,5.6334729,,135.32,2007
Transit,1,1.420033,,,2010
Transit,2,9.37647,,,2012
Transit,1,11.5231,,,2014
Imaging,1,,,18.39,2006
Radial Velocity,1,181.4,3.2,45.52,2013
Radial Velocity,3,952.0,,52.88,2009
Transit,5,5.714932,,368.0,2013
Transit,3,1.592851,,650.0,2010
Radial Velocity,1,3416.0,,4.94,2008
Radial Velocity,1,396.03,,131.75,2010
Transit,2,,,,2012
Radial Velocity,1,2231.0,,28.76,2003
Radial Velocity,2,825.0,,,2010
Transit,2,8.1453,,1200.0,2011
Radial Velocity,2,201.83,3.1548,25.7,2008
Imaging,1,,,91.57,2013
Transit,1,3.577469,,343.0,2010
Transit,1,2.2167421,,340.0,2012
Transit,1,4.353011,,,2009
Radial Velocity,4,982.0,,,2014
Eclipse Timing Variations,2,3321.0,,130.72,2008
Transit,1,,,,2010
Radial Velocity,1,,,10.32,2009
Radial Velocity,2,525.8,,8.82,2011
Radial Velocity,1,277.02,1.7,,2013
Radial Velocity,1,1155.0,,,2005
Transit,4,3.743208,,,2013
Radial Velocity,1,677.8,19.8,,2007
Transit,1,3.4059096,,,2010
Transit,2,11.776,,,2013
Radial Velocity,1,1279.0,,31.03,2002
Radial Velocity,1,4.072,,63.49,2005
Transit,2,42.1516418,,,2012
Microlensing,1,,,,2010
Radial Velocity,4,3.14942,,,2005
Transit,2,17.849,,,2013
Radial Velocity,1,10.7085,,29.76,1999
Radial Velocity,1,3.52474859,,,1999
Transit,2,13.2907,,1400.0,2011
Radial Velocity,1,5.24,0.28,59.03,2005
Radial Velocity,1,1049.0,0.79,,2009
Transit,4,3.743208,,,2013
Transit,1,3.90512,,800.0,2010
Radial Velocity,1,5.24,,,2005
Transit,3,38.91,,650.0,2010
Radial Velocity,3,952.0,0.57,52.88,2009
Radial Velocity,3,,0.0292,26.91,2011
Radial Velocity,2,1008.0,,42.68,2009
Transit,1,2.691548,,322.0,2014
Radial Velocity,1,1523.0,2.6,44.05,2009
Microlensing,1,3500.0,,,2005
Transit,5,22.7802,,303.0,2012
Eclipse Timing Variations,2,5840.0,,,2011
Microlensing,1,,,,2013
Radial Velocity,3,12.083,,,2011
Radial Velocity,3,123.0,,,2014
Radial Velocity,3,1931.0,4.05,47.3,2009
Transit,2,13.749,,,2013
Radial Velocity,1,2.8758911,,78.86,2005
Transit,1,4.3050011,,400.0,2012
Radial Velocity,1,5.0505,,44.46,2013
Radial Velocity,2,395.8,,68.54,2002
Transit,1,3.24674,,2250.0,2011
Radial Velocity,2,10.866,0.0097,21.52,2011
Radial Velocity,5,14.651,0.8,12.53,1996
Radial Velocity,1,439.3,0.502,60.46,2005
Transit,1,3.7224747,,121.7,2008
Radial Velocity,1,431.8,3.1,,2011
Radial Velocity,1,383.7,1.16,52.8,2007
Radial Velocity,1,17.991,0.62,42.37,2005
Transit,1,13.2406,,345.0,2010
Transit,2,9.2869944,,2119.0,2011
Radial Velocity,4,,,15.28,2006
Radial Velocity,2,572.4,1.26,35.59,2003
Radial Velocity,1,1800.0,1.15,96.99,2008
Radial Velocity,2,110.9,,59.03,2010
Radial Velocity,2,191.99,0.101,38.64,2011
Radial Velocity,1,326.03,19.4,110.62,2007
Transit,1,2.455239,,,2011
Transit,2,13.83989,,,2012
Transit,1,1.846835,,220.0,2007
Transit,2,2.91626,,,2009
Radial Velocity,1,121.71,1.54,,2014
Imaging,1,7336.5,,25.0,2009
Radial Velocity,1,2597.0,,33.01,2004
Radial Velocity,1,6.838,0.94,,2006
Radial Velocity,4,4205.8,1.814,15.28,2004
Radial Velocity,1,1260.0,,53.05,2008
Radial Velocity,2,25.648,,52.03,2013
Transit,5,5.66793,,,2011
Transit,2,27.9481449,,,2012
Transit,1,2.3114243,,310.0,2013
Radial Velocity,1,1966.1,1.34,48.64,2011
Radial Velocity,1,15.609,,,2005
Radial Velocity,1,714.3,10.6,,2007
Radial Velocity,1,594.9,7.6,,2006
Radial Velocity,1,2209.0,1.06,45.23,2012
Radial Velocity,1,,,,2012
Radial Velocity,1,526.62,,44.05,2007
Radial Velocity,1,6.276,,58.82,2001
Radial Velocity,1,875.5,9.9,352.11,2012
Radial Velocity,2,428.5,,214.0,2009
Transit,1,3.6936411,,,2012
Radial Velocity,1,431.8,3.1,167.5,2011
Transit,1,4.3176782,,120.0,2010
Transit,1,3.7354417,,,2009
Pulsar Timing,1,36525.0,,,2003
Imaging,1,,,40.85,2006
